context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?' response:	All of you sneaking around like this, you're like pestering flies!
context: I- it's no good! This is still going to take some time!\Shoot it! Shoot it, already!\I- it's no use...Just a little longer...\For someone too stubborn to die...Are you still hanging around here?\I'll show you the power of someone too stubborn to die!\Piccolo-san...\Piccolo may be intent on dying.\He probably used up the greater part of his power in that blindside attack. response:	He's risking his own life to buy time for Goku to finish the Genki Dama!
context: Shoot it! Shoot it, already!\I- it's no use...Just a little longer...\For someone too stubborn to die...Are you still hanging around here?\I'll show you the power of someone too stubborn to die!\Piccolo-san...\Piccolo may be intent on dying.\He probably used up the greater part of his power in that blindside attack.\He's risking his own life to buy time for Goku to finish the Genki Dama! response:	Piccolo-san!
context: I- it's no use...Just a little longer...\For someone too stubborn to die...Are you still hanging around here?\I'll show you the power of someone too stubborn to die!\Piccolo-san...\Piccolo may be intent on dying.\He probably used up the greater part of his power in that blindside attack.\He's risking his own life to buy time for Goku to finish the Genki Dama!\Piccolo-san! response:	Wait, Gohan!
context: For someone too stubborn to die...Are you still hanging around here?\I'll show you the power of someone too stubborn to die!\Piccolo-san...\Piccolo may be intent on dying.\He probably used up the greater part of his power in that blindside attack.\He's risking his own life to buy time for Goku to finish the Genki Dama!\Piccolo-san!\Wait, Gohan! response:	Goku, please hurry!
context: I'll show you the power of someone too stubborn to die!\Piccolo-san...\Piccolo may be intent on dying.\He probably used up the greater part of his power in that blindside attack.\He's risking his own life to buy time for Goku to finish the Genki Dama!\Piccolo-san!\Wait, Gohan!\Goku, please hurry! response:	That was useless.
context: Piccolo-san...\Piccolo may be intent on dying.\He probably used up the greater part of his power in that blindside attack.\He's risking his own life to buy time for Goku to finish the Genki Dama!\Piccolo-san!\Wait, Gohan!\Goku, please hurry!\That was useless. response:	Didn't you get it when I told you it was useless?
context: Piccolo may be intent on dying.\He probably used up the greater part of his power in that blindside attack.\He's risking his own life to buy time for Goku to finish the Genki Dama!\Piccolo-san!\Wait, Gohan!\Goku, please hurry!\That was useless.\Didn't you get it when I told you it was useless? response:	Apparently, you wish to die early.
context: He probably used up the greater part of his power in that blindside attack.\He's risking his own life to buy time for Goku to finish the Genki Dama!\Piccolo-san!\Wait, Gohan!\Goku, please hurry!\That was useless.\Didn't you get it when I told you it was useless?\Apparently, you wish to die early. response:	Goku! Hurry...hurry and complete the Genki Dama!
context: He's risking his own life to buy time for Goku to finish the Genki Dama!\Piccolo-san!\Wait, Gohan!\Goku, please hurry!\That was useless.\Didn't you get it when I told you it was useless?\Apparently, you wish to die early.\Goku! Hurry...hurry and complete the Genki Dama! response:	Piccolo...
context: Piccolo-san!\Wait, Gohan!\Goku, please hurry!\That was useless.\Didn't you get it when I told you it was useless?\Apparently, you wish to die early.\Goku! Hurry...hurry and complete the Genki Dama!\Piccolo... response:	Piccolo...
context: Wait, Gohan!\Goku, please hurry!\That was useless.\Didn't you get it when I told you it was useless?\Apparently, you wish to die early.\Goku! Hurry...hurry and complete the Genki Dama!\Piccolo...\Piccolo... response:	-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!
context: Goku, please hurry!\That was useless.\Didn't you get it when I told you it was useless?\Apparently, you wish to die early.\Goku! Hurry...hurry and complete the Genki Dama!\Piccolo...\Piccolo...\-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful! response:	Here goes!
context: That was useless.\Didn't you get it when I told you it was useless?\Apparently, you wish to die early.\Goku! Hurry...hurry and complete the Genki Dama!\Piccolo...\Piccolo...\-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!\Here goes! response:	Oh, look out!
context: Didn't you get it when I told you it was useless?\Apparently, you wish to die early.\Goku! Hurry...hurry and complete the Genki Dama!\Piccolo...\Piccolo...\-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!\Here goes!\Oh, look out! response:	Save me!
context: Apparently, you wish to die early.\Goku! Hurry...hurry and complete the Genki Dama!\Piccolo...\Piccolo...\-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!\Here goes!\Oh, look out!\Save me! response:	You guys,
context: Goku! Hurry...hurry and complete the Genki Dama!\Piccolo...\Piccolo...\-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!\Here goes!\Oh, look out!\Save me!\You guys, response:	Attack! Attack, I say!
context: Piccolo...\Piccolo...\-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!\Here goes!\Oh, look out!\Save me!\You guys,\Attack! Attack, I say! response:	That's easy for you to say!
context: Piccolo...\-Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!\Here goes!\Oh, look out!\Save me!\You guys,\Attack! Attack, I say!\That's easy for you to say! response:	They're even...stronger...guys than...Vegeta was!
context: -Tenshinhan... -These guys pushed Vegeta around like he was a baby! Be careful!\Here goes!\Oh, look out!\Save me!\You guys,\Attack! Attack, I say!\That's easy for you to say!\They're even...stronger...guys than...Vegeta was! response:	Dammit, I'll do it!
context: Here goes!\Oh, look out!\Save me!\You guys,\Attack! Attack, I say!\That's easy for you to say!\They're even...stronger...guys than...Vegeta was!\Dammit, I'll do it! response:	What?
context: Oh, look out!\Save me!\You guys,\Attack! Attack, I say!\That's easy for you to say!\They're even...stronger...guys than...Vegeta was!\Dammit, I'll do it!\What? response:	You're weaker than we thought, aren't you!?
context: Save me!\You guys,\Attack! Attack, I say!\That's easy for you to say!\They're even...stronger...guys than...Vegeta was!\Dammit, I'll do it!\What?\You're weaker than we thought, aren't you!? response:	What!?
context: You guys,\Attack! Attack, I say!\That's easy for you to say!\They're even...stronger...guys than...Vegeta was!\Dammit, I'll do it!\What?\You're weaker than we thought, aren't you!?\What!? response:	We can win this!
context: Attack! Attack, I say!\That's easy for you to say!\They're even...stronger...guys than...Vegeta was!\Dammit, I'll do it!\What?\You're weaker than we thought, aren't you!?\What!?\We can win this! response:	All right, me too!
context: That's easy for you to say!\They're even...stronger...guys than...Vegeta was!\Dammit, I'll do it!\What?\You're weaker than we thought, aren't you!?\What!?\We can win this!\All right, me too! response:	I get it! It's not that they're weak, it's that we're strong!
context: They're even...stronger...guys than...Vegeta was!\Dammit, I'll do it!\What?\You're weaker than we thought, aren't you!?\What!?\We can win this!\All right, me too!\I get it! It's not that they're weak, it's that we're strong! response:	This is the result of our training! The fruits of having received Kaio-sama's judicious training!
context: Dammit, I'll do it!\What?\You're weaker than we thought, aren't you!?\What!?\We can win this!\All right, me too!\I get it! It's not that they're weak, it's that we're strong!\This is the result of our training! The fruits of having received Kaio-sama's judicious training! response:	They're better than I thought.
context: What?\You're weaker than we thought, aren't you!?\What!?\We can win this!\All right, me too!\I get it! It's not that they're weak, it's that we're strong!\This is the result of our training! The fruits of having received Kaio-sama's judicious training!\They're better than I thought. response:	Hey, if we get serious, they'll be no problem!
context: You're weaker than we thought, aren't you!?\What!?\We can win this!\All right, me too!\I get it! It's not that they're weak, it's that we're strong!\This is the result of our training! The fruits of having received Kaio-sama's judicious training!\They're better than I thought.\Hey, if we get serious, they'll be no problem! response:	Hey, ReaCoom, shake it off!
context: What!?\We can win this!\All right, me too!\I get it! It's not that they're weak, it's that we're strong!\This is the result of our training! The fruits of having received Kaio-sama's judicious training!\They're better than I thought.\Hey, if we get serious, they'll be no problem!\Hey, ReaCoom, shake it off! response:	Nice! This is how it ought to be!
context: We can win this!\All right, me too!\I get it! It's not that they're weak, it's that we're strong!\This is the result of our training! The fruits of having received Kaio-sama's judicious training!\They're better than I thought.\Hey, if we get serious, they'll be no problem!\Hey, ReaCoom, shake it off!\Nice! This is how it ought to be! response:	I am totally up for this!
context: All right, me too!\I get it! It's not that they're weak, it's that we're strong!\This is the result of our training! The fruits of having received Kaio-sama's judicious training!\They're better than I thought.\Hey, if we get serious, they'll be no problem!\Hey, ReaCoom, shake it off!\Nice! This is how it ought to be!\I am totally up for this! response:	ReaCoom Body Attack!!
context: I get it! It's not that they're weak, it's that we're strong!\This is the result of our training! The fruits of having received Kaio-sama's judicious training!\They're better than I thought.\Hey, if we get serious, they'll be no problem!\Hey, ReaCoom, shake it off!\Nice! This is how it ought to be!\I am totally up for this!\ReaCoom Body Attack!! response:	All right...!
context: This is the result of our training! The fruits of having received Kaio-sama's judicious training!\They're better than I thought.\Hey, if we get serious, they'll be no problem!\Hey, ReaCoom, shake it off!\Nice! This is how it ought to be!\I am totally up for this!\ReaCoom Body Attack!!\All right...! response:	Hey!
context: They're better than I thought.\Hey, if we get serious, they'll be no problem!\Hey, ReaCoom, shake it off!\Nice! This is how it ought to be!\I am totally up for this!\ReaCoom Body Attack!!\All right...!\Hey! response:	Ginyu Special Corps' Red Magma, Jheese!
context: Hey, if we get serious, they'll be no problem!\Hey, ReaCoom, shake it off!\Nice! This is how it ought to be!\I am totally up for this!\ReaCoom Body Attack!!\All right...!\Hey!\Ginyu Special Corps' Red Magma, Jheese! response:	Ginyu Special Corps' Blue Hurricane, Butta!
context: Hey, ReaCoom, shake it off!\Nice! This is how it ought to be!\I am totally up for this!\ReaCoom Body Attack!!\All right...!\Hey!\Ginyu Special Corps' Red Magma, Jheese!\Ginyu Special Corps' Blue Hurricane, Butta! response:	Now!
context: Nice! This is how it ought to be!\I am totally up for this!\ReaCoom Body Attack!!\All right...!\Hey!\Ginyu Special Corps' Red Magma, Jheese!\Ginyu Special Corps' Blue Hurricane, Butta!\Now! response:	Goku, isn't the Genki Dama ready yet?
context: I am totally up for this!\ReaCoom Body Attack!!\All right...!\Hey!\Ginyu Special Corps' Red Magma, Jheese!\Ginyu Special Corps' Blue Hurricane, Butta!\Now!\Goku, isn't the Genki Dama ready yet? response:	Still longer, Goku? I've just about reached my limit.
context: ReaCoom Body Attack!!\All right...!\Hey!\Ginyu Special Corps' Red Magma, Jheese!\Ginyu Special Corps' Blue Hurricane, Butta!\Now!\Goku, isn't the Genki Dama ready yet?\Still longer, Goku? I've just about reached my limit. response:	Just a little longer...
context: All right...!\Hey!\Ginyu Special Corps' Red Magma, Jheese!\Ginyu Special Corps' Blue Hurricane, Butta!\Now!\Goku, isn't the Genki Dama ready yet?\Still longer, Goku? I've just about reached my limit.\Just a little longer... response:	Just a little longer, and it will beat Freeza...
context: Hey!\Ginyu Special Corps' Red Magma, Jheese!\Ginyu Special Corps' Blue Hurricane, Butta!\Now!\Goku, isn't the Genki Dama ready yet?\Still longer, Goku? I've just about reached my limit.\Just a little longer...\Just a little longer, and it will beat Freeza... response:	As you wish, I'll kill you first.
context: Ginyu Special Corps' Red Magma, Jheese!\Ginyu Special Corps' Blue Hurricane, Butta!\Now!\Goku, isn't the Genki Dama ready yet?\Still longer, Goku? I've just about reached my limit.\Just a little longer...\Just a little longer, and it will beat Freeza...\As you wish, I'll kill you first. response:	Those guys, they scraped that together with what little Ki they had left!
context: Ginyu Special Corps' Blue Hurricane, Butta!\Now!\Goku, isn't the Genki Dama ready yet?\Still longer, Goku? I've just about reached my limit.\Just a little longer...\Just a little longer, and it will beat Freeza...\As you wish, I'll kill you first.\Those guys, they scraped that together with what little Ki they had left! response:	That there should still be some flies there that had not run away...
context: Now!\Goku, isn't the Genki Dama ready yet?\Still longer, Goku? I've just about reached my limit.\Just a little longer...\Just a little longer, and it will beat Freeza...\As you wish, I'll kill you first.\Those guys, they scraped that together with what little Ki they had left!\That there should still be some flies there that had not run away... response:	You folks really are good at annoying someone...
context: Goku, isn't the Genki Dama ready yet?\Still longer, Goku? I've just about reached my limit.\Just a little longer...\Just a little longer, and it will beat Freeza...\As you wish, I'll kill you first.\Those guys, they scraped that together with what little Ki they had left!\That there should still be some flies there that had not run away...\You folks really are good at annoying someone... response:	This is as far as it goes! I'm going to trash you, along with the whole planet!
context: Still longer, Goku? I've just about reached my limit.\Just a little longer...\Just a little longer, and it will beat Freeza...\As you wish, I'll kill you first.\Those guys, they scraped that together with what little Ki they had left!\That there should still be some flies there that had not run away...\You folks really are good at annoying someone...\This is as far as it goes! I'm going to trash you, along with the whole planet! response:	Goku! Still not yet!?
context: Just a little longer...\Just a little longer, and it will beat Freeza...\As you wish, I'll kill you first.\Those guys, they scraped that together with what little Ki they had left!\That there should still be some flies there that had not run away...\You folks really are good at annoying someone...\This is as far as it goes! I'm going to trash you, along with the whole planet!\Goku! Still not yet!? response:	Okay, it's finished!
context: Just a little longer, and it will beat Freeza...\As you wish, I'll kill you first.\Those guys, they scraped that together with what little Ki they had left!\That there should still be some flies there that had not run away...\You folks really are good at annoying someone...\This is as far as it goes! I'm going to trash you, along with the whole planet!\Goku! Still not yet!?\Okay, it's finished! response:	Do it, Goku!
context: As you wish, I'll kill you first.\Those guys, they scraped that together with what little Ki they had left!\That there should still be some flies there that had not run away...\You folks really are good at annoying someone...\This is as far as it goes! I'm going to trash you, along with the whole planet!\Goku! Still not yet!?\Okay, it's finished!\Do it, Goku! response:	Father!
context: Those guys, they scraped that together with what little Ki they had left!\That there should still be some flies there that had not run away...\You folks really are good at annoying someone...\This is as far as it goes! I'm going to trash you, along with the whole planet!\Goku! Still not yet!?\Okay, it's finished!\Do it, Goku!\Father! response:	O- oh, crap!
context: That there should still be some flies there that had not run away...\You folks really are good at annoying someone...\This is as far as it goes! I'm going to trash you, along with the whole planet!\Goku! Still not yet!?\Okay, it's finished!\Do it, Goku!\Father!\O- oh, crap! response:	Get down!
context: You folks really are good at annoying someone...\This is as far as it goes! I'm going to trash you, along with the whole planet!\Goku! Still not yet!?\Okay, it's finished!\Do it, Goku!\Father!\O- oh, crap!\Get down! response:	I- I'll just take this and...
context: This is as far as it goes! I'm going to trash you, along with the whole planet!\Goku! Still not yet!?\Okay, it's finished!\Do it, Goku!\Father!\O- oh, crap!\Get down!\I- I'll just take this and... response:	I- I'll just take this and...
context: Goku! Still not yet!?\Okay, it's finished!\Do it, Goku!\Father!\O- oh, crap!\Get down!\I- I'll just take this and...\I- I'll just take this and... response:	I'll take this and...
context: Okay, it's finished!\Do it, Goku!\Father!\O- oh, crap!\Get down!\I- I'll just take this and...\I- I'll just take this and...\I'll take this and... response:	I'll take this and...
context: Do it, Goku!\Father!\O- oh, crap!\Get down!\I- I'll just take this and...\I- I'll just take this and...\I'll take this and...\I'll take this and... response:	Oh, what's this!?
context: Father!\O- oh, crap!\Get down!\I- I'll just take this and...\I- I'll just take this and...\I'll take this and...\I'll take this and...\Oh, what's this!? response:	H- he did it! Goku beat Freeza... He beat Freeza!!
context: O- oh, crap!\Get down!\I- I'll just take this and...\I- I'll just take this and...\I'll take this and...\I'll take this and...\Oh, what's this!?\H- he did it! Goku beat Freeza... He beat Freeza!! response:	Yeah, he really beat Freeza! He did it! He did it!
context: Get down!\I- I'll just take this and...\I- I'll just take this and...\I'll take this and...\I'll take this and...\Oh, what's this!?\H- he did it! Goku beat Freeza... He beat Freeza!!\Yeah, he really beat Freeza! He did it! He did it! response:	-He beat him! -Goku did it!
context: I- I'll just take this and...\I- I'll just take this and...\I'll take this and...\I'll take this and...\Oh, what's this!?\H- he did it! Goku beat Freeza... He beat Freeza!!\Yeah, he really beat Freeza! He did it! He did it!\-He beat him! -Goku did it! response:	Has Freeza-sama lost?
context: I- I'll just take this and...\I'll take this and...\I'll take this and...\Oh, what's this!?\H- he did it! Goku beat Freeza... He beat Freeza!!\Yeah, he really beat Freeza! He did it! He did it!\-He beat him! -Goku did it!\Has Freeza-sama lost? response:	I- impossible!
context: I'll take this and...\I'll take this and...\Oh, what's this!?\H- he did it! Goku beat Freeza... He beat Freeza!!\Yeah, he really beat Freeza! He did it! He did it!\-He beat him! -Goku did it!\Has Freeza-sama lost?\I- impossible! response:	It's a lie!
context: I'll take this and...\Oh, what's this!?\H- he did it! Goku beat Freeza... He beat Freeza!!\Yeah, he really beat Freeza! He did it! He did it!\-He beat him! -Goku did it!\Has Freeza-sama lost?\I- impossible!\It's a lie! response:	Goku has won!
context: Oh, what's this!?\H- he did it! Goku beat Freeza... He beat Freeza!!\Yeah, he really beat Freeza! He did it! He did it!\-He beat him! -Goku did it!\Has Freeza-sama lost?\I- impossible!\It's a lie!\Goku has won! response:	He did it!
context: H- he did it! Goku beat Freeza... He beat Freeza!!\Yeah, he really beat Freeza! He did it! He did it!\-He beat him! -Goku did it!\Has Freeza-sama lost?\I- impossible!\It's a lie!\Goku has won!\He did it! response:	Kuririn-san!
context: Yeah, he really beat Freeza! He did it! He did it!\-He beat him! -Goku did it!\Has Freeza-sama lost?\I- impossible!\It's a lie!\Goku has won!\He did it!\Kuririn-san! response:	Yo! You all right?
context: -He beat him! -Goku did it!\Has Freeza-sama lost?\I- impossible!\It's a lie!\Goku has won!\He did it!\Kuririn-san!\Yo! You all right? response:	Y-yes!
context: Has Freeza-sama lost?\I- impossible!\It's a lie!\Goku has won!\He did it!\Kuririn-san!\Yo! You all right?\Y-yes! response:	It's all completely changed.
context: I- impossible!\It's a lie!\Goku has won!\He did it!\Kuririn-san!\Yo! You all right?\Y-yes!\It's all completely changed. response:	Yeah.
context: It's a lie!\Goku has won!\He did it!\Kuririn-san!\Yo! You all right?\Y-yes!\It's all completely changed.\Yeah. response:	Where's father?
context: Goku has won!\He did it!\Kuririn-san!\Yo! You all right?\Y-yes!\It's all completely changed.\Yeah.\Where's father? response:	Where's Uncle Piccolo?
context: He did it!\Kuririn-san!\Yo! You all right?\Y-yes!\It's all completely changed.\Yeah.\Where's father?\Where's Uncle Piccolo? response:	The super-giant Genki Dama finally detonates! Has Freeza really been laid to rest?
context: Kuririn-san!\Yo! You all right?\Y-yes!\It's all completely changed.\Yeah.\Where's father?\Where's Uncle Piccolo?\The super-giant Genki Dama finally detonates! Has Freeza really been laid to rest? response:	And what of Goku? What of Piccolo?
