context: Give me a status report! response:	Ships from Le Garite and De Metrio are exchanging fire.
context: Ships that have lost their subspace fields can go ahead and break formation!\Tell them to avoid returning fire as much as possible!\Any response from Le Garite?\We're trying all channels, but they continue to maintain silence.\What's the meaning of this, Dizelmine?!\How could I even think of breaking my vow\and cease pursuit of my own path?\I had already decided that day to defeat him, and return the Polyhedron to its rightful form. response:	I will now fulfill my duty as king.
context: Tell them to avoid returning fire as much as possible!\Any response from Le Garite?\We're trying all channels, but they continue to maintain silence.\What's the meaning of this, Dizelmine?!\How could I even think of breaking my vow\and cease pursuit of my own path?\I had already decided that day to defeat him, and return the Polyhedron to its rightful form.\I will now fulfill my duty as king. response:	Back then we tried to fly with propellers that couldn't do it
context: Any response from Le Garite?\We're trying all channels, but they continue to maintain silence.\What's the meaning of this, Dizelmine?!\How could I even think of breaking my vow\and cease pursuit of my own path?\I had already decided that day to defeat him, and return the Polyhedron to its rightful form.\I will now fulfill my duty as king.\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: We're trying all channels, but they continue to maintain silence.\What's the meaning of this, Dizelmine?!\How could I even think of breaking my vow\and cease pursuit of my own path?\I had already decided that day to defeat him, and return the Polyhedron to its rightful form.\I will now fulfill my duty as king.\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: What's the meaning of this, Dizelmine?!\How could I even think of breaking my vow\and cease pursuit of my own path?\I had already decided that day to defeat him, and return the Polyhedron to its rightful form.\I will now fulfill my duty as king.\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: How could I even think of breaking my vow\and cease pursuit of my own path?\I had already decided that day to defeat him, and return the Polyhedron to its rightful form.\I will now fulfill my duty as king.\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: and cease pursuit of my own path?\I had already decided that day to defeat him, and return the Polyhedron to its rightful form.\I will now fulfill my duty as king.\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: I had already decided that day to defeat him, and return the Polyhedron to its rightful form.\I will now fulfill my duty as king.\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: I will now fulfill my duty as king.\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	full of conviction
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\full of conviction response:	full of conviction
context: We always live\We always live\We always live\We always live\We always live\We always live\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\We always live\We always live\We always live\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\We always live\We always live\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\We always live\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	that we are misunderstood
