context: Unforgivable! Unforgivable! Unforgivable! response:	What's unforgivable?
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys. response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon! response:	And my friends are the smart and sweet Ami Mizuno,
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno, response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	Dream of a White Dress! Usagi Becomes a Bride
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Dream of a White Dress! Usagi Becomes a Bride response:	Home Economics Room
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Dream of a White Dress! Usagi Becomes a Bride\Home Economics Room response:	Darts
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Dream of a White Dress! Usagi Becomes a Bride\Home Economics Room\Darts response:	Darts This is how you make darts.
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Dream of a White Dress! Usagi Becomes a Bride\Home Economics Room\Darts\Darts This is how you make darts. response:	This is how you make darts.
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Dream of a White Dress! Usagi Becomes a Bride\Home Economics Room\Darts\Darts This is how you make darts.\This is how you make darts. response:	Another chocolate parfait, please.
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Dream of a White Dress! Usagi Becomes a Bride\Home Economics Room\Darts\Darts This is how you make darts.\This is how you make darts.\Another chocolate parfait, please. response:	I wonder what's the matter with Ms. Akiyama?
context: But anyway, I just have to do my best!\Dream of a White Dress! Usagi Becomes a Bride\Home Economics Room\Darts\Darts This is how you make darts.\This is how you make darts.\Another chocolate parfait, please.\I wonder what's the matter with Ms. Akiyama? response:	I can't stand it. It's because of that home economics class.
context: Dream of a White Dress! Usagi Becomes a Bride\Home Economics Room\Darts\Darts This is how you make darts.\This is how you make darts.\Another chocolate parfait, please.\I wonder what's the matter with Ms. Akiyama?\I can't stand it. It's because of that home economics class. response:	I'm so sleepy.
context: Home Economics Room\Darts\Darts This is how you make darts.\This is how you make darts.\Another chocolate parfait, please.\I wonder what's the matter with Ms. Akiyama?\I can't stand it. It's because of that home economics class.\I'm so sleepy. response:	Ms. Akiyama used to be so enthusiastic about sewing.
context: Darts\Darts This is how you make darts.\This is how you make darts.\Another chocolate parfait, please.\I wonder what's the matter with Ms. Akiyama?\I can't stand it. It's because of that home economics class.\I'm so sleepy.\Ms. Akiyama used to be so enthusiastic about sewing. response:	It is because...
context: Darts This is how you make darts.\This is how you make darts.\Another chocolate parfait, please.\I wonder what's the matter with Ms. Akiyama?\I can't stand it. It's because of that home economics class.\I'm so sleepy.\Ms. Akiyama used to be so enthusiastic about sewing.\It is because... response:	Why are you always showing up from the least expected places?!
context: This is how you make darts.\Another chocolate parfait, please.\I wonder what's the matter with Ms. Akiyama?\I can't stand it. It's because of that home economics class.\I'm so sleepy.\Ms. Akiyama used to be so enthusiastic about sewing.\It is because...\Why are you always showing up from the least expected places?! response:	The reason Ms. Higure Akiyama is acting weird...
context: Another chocolate parfait, please.\I wonder what's the matter with Ms. Akiyama?\I can't stand it. It's because of that home economics class.\I'm so sleepy.\Ms. Akiyama used to be so enthusiastic about sewing.\It is because...\Why are you always showing up from the least expected places?!\The reason Ms. Higure Akiyama is acting weird... response:	Engagement?!
context: I wonder what's the matter with Ms. Akiyama?\I can't stand it. It's because of that home economics class.\I'm so sleepy.\Ms. Akiyama used to be so enthusiastic about sewing.\It is because...\Why are you always showing up from the least expected places?!\The reason Ms. Higure Akiyama is acting weird...\Engagement?! response:	Yes! Higure Akiyama, 34 years old and still single.
context: I can't stand it. It's because of that home economics class.\I'm so sleepy.\Ms. Akiyama used to be so enthusiastic about sewing.\It is because...\Why are you always showing up from the least expected places?!\The reason Ms. Higure Akiyama is acting weird...\Engagement?!\Yes! Higure Akiyama, 34 years old and still single. response:	Ms. Akiyama has wished with all her heart to get married
context: I'm so sleepy.\Ms. Akiyama used to be so enthusiastic about sewing.\It is because...\Why are you always showing up from the least expected places?!\The reason Ms. Higure Akiyama is acting weird...\Engagement?!\Yes! Higure Akiyama, 34 years old and still single.\Ms. Akiyama has wished with all her heart to get married response:	and her greatest dream of her life is to have a luxurious wedding
context: Ms. Akiyama used to be so enthusiastic about sewing.\It is because...\Why are you always showing up from the least expected places?!\The reason Ms. Higure Akiyama is acting weird...\Engagement?!\Yes! Higure Akiyama, 34 years old and still single.\Ms. Akiyama has wished with all her heart to get married\and her greatest dream of her life is to have a luxurious wedding response:	in a wedding dress that she made herself.
context: It is because...\Why are you always showing up from the least expected places?!\The reason Ms. Higure Akiyama is acting weird...\Engagement?!\Yes! Higure Akiyama, 34 years old and still single.\Ms. Akiyama has wished with all her heart to get married\and her greatest dream of her life is to have a luxurious wedding\in a wedding dress that she made herself. response:	Higure, I'm a dull business man
context: Why are you always showing up from the least expected places?!\The reason Ms. Higure Akiyama is acting weird...\Engagement?!\Yes! Higure Akiyama, 34 years old and still single.\Ms. Akiyama has wished with all her heart to get married\and her greatest dream of her life is to have a luxurious wedding\in a wedding dress that she made herself.\Higure, I'm a dull business man response:	with no status or savings,
context: The reason Ms. Higure Akiyama is acting weird...\Engagement?!\Yes! Higure Akiyama, 34 years old and still single.\Ms. Akiyama has wished with all her heart to get married\and her greatest dream of her life is to have a luxurious wedding\in a wedding dress that she made herself.\Higure, I'm a dull business man\with no status or savings, response:	and I'm not tall at all either.
context: Engagement?!\Yes! Higure Akiyama, 34 years old and still single.\Ms. Akiyama has wished with all her heart to get married\and her greatest dream of her life is to have a luxurious wedding\in a wedding dress that she made herself.\Higure, I'm a dull business man\with no status or savings,\and I'm not tall at all either. response:	I cannot give you a very big wedding reception,
context: Yes! Higure Akiyama, 34 years old and still single.\Ms. Akiyama has wished with all her heart to get married\and her greatest dream of her life is to have a luxurious wedding\in a wedding dress that she made herself.\Higure, I'm a dull business man\with no status or savings,\and I'm not tall at all either.\I cannot give you a very big wedding reception, response:	but will you... but will you marry me?
context: Ms. Akiyama has wished with all her heart to get married\and her greatest dream of her life is to have a luxurious wedding\in a wedding dress that she made herself.\Higure, I'm a dull business man\with no status or savings,\and I'm not tall at all either.\I cannot give you a very big wedding reception,\but will you... but will you marry me? response:	Yes.
context: and her greatest dream of her life is to have a luxurious wedding\in a wedding dress that she made herself.\Higure, I'm a dull business man\with no status or savings,\and I'm not tall at all either.\I cannot give you a very big wedding reception,\but will you... but will you marry me?\Yes. response:	He may not be what you'd call ideal,
context: in a wedding dress that she made herself.\Higure, I'm a dull business man\with no status or savings,\and I'm not tall at all either.\I cannot give you a very big wedding reception,\but will you... but will you marry me?\Yes.\He may not be what you'd call ideal, response:	but as long as there's love...
context: Higure, I'm a dull business man\with no status or savings,\and I'm not tall at all either.\I cannot give you a very big wedding reception,\but will you... but will you marry me?\Yes.\He may not be what you'd call ideal,\but as long as there's love... response:	That's being soft! Always have high, limitless ideals!
context: with no status or savings,\and I'm not tall at all either.\I cannot give you a very big wedding reception,\but will you... but will you marry me?\Yes.\He may not be what you'd call ideal,\but as long as there's love...\That's being soft! Always have high, limitless ideals! response:	If there's a handsome guy, I'll go after him and catch him!
context: and I'm not tall at all either.\I cannot give you a very big wedding reception,\but will you... but will you marry me?\Yes.\He may not be what you'd call ideal,\but as long as there's love...\That's being soft! Always have high, limitless ideals!\If there's a handsome guy, I'll go after him and catch him! response:	My goal is to get married before I turn 25!
context: I cannot give you a very big wedding reception,\but will you... but will you marry me?\Yes.\He may not be what you'd call ideal,\but as long as there's love...\That's being soft! Always have high, limitless ideals!\If there's a handsome guy, I'll go after him and catch him!\My goal is to get married before I turn 25! response:	Miss Usagi, you don't mean that!
context: but will you... but will you marry me?\Yes.\He may not be what you'd call ideal,\but as long as there's love...\That's being soft! Always have high, limitless ideals!\If there's a handsome guy, I'll go after him and catch him!\My goal is to get married before I turn 25!\Miss Usagi, you don't mean that! response:	Ms. Akiyama!
context: Yes.\He may not be what you'd call ideal,\but as long as there's love...\That's being soft! Always have high, limitless ideals!\If there's a handsome guy, I'll go after him and catch him!\My goal is to get married before I turn 25!\Miss Usagi, you don't mean that!\Ms. Akiyama! response:	Ms. Sakurada...
context: He may not be what you'd call ideal,\but as long as there's love...\That's being soft! Always have high, limitless ideals!\If there's a handsome guy, I'll go after him and catch him!\My goal is to get married before I turn 25!\Miss Usagi, you don't mean that!\Ms. Akiyama!\Ms. Sakurada... response:	What are you doing?
context: but as long as there's love...\That's being soft! Always have high, limitless ideals!\If there's a handsome guy, I'll go after him and catch him!\My goal is to get married before I turn 25!\Miss Usagi, you don't mean that!\Ms. Akiyama!\Ms. Sakurada...\What are you doing? response:	Oh, were you thinking about your fiance?
context: That's being soft! Always have high, limitless ideals!\If there's a handsome guy, I'll go after him and catch him!\My goal is to get married before I turn 25!\Miss Usagi, you don't mean that!\Ms. Akiyama!\Ms. Sakurada...\What are you doing?\Oh, were you thinking about your fiance? response:	Oh, no...
context: If there's a handsome guy, I'll go after him and catch him!\My goal is to get married before I turn 25!\Miss Usagi, you don't mean that!\Ms. Akiyama!\Ms. Sakurada...\What are you doing?\Oh, were you thinking about your fiance?\Oh, no... response:	Wow! This silk is beautiful!
context: My goal is to get married before I turn 25!\Miss Usagi, you don't mean that!\Ms. Akiyama!\Ms. Sakurada...\What are you doing?\Oh, were you thinking about your fiance?\Oh, no...\Wow! This silk is beautiful! response:	Didn't you say you were going to
context: Miss Usagi, you don't mean that!\Ms. Akiyama!\Ms. Sakurada...\What are you doing?\Oh, were you thinking about your fiance?\Oh, no...\Wow! This silk is beautiful!\Didn't you say you were going to response:	sew your own wedding dress for the ceremony?
context: Ms. Akiyama!\Ms. Sakurada...\What are you doing?\Oh, were you thinking about your fiance?\Oh, no...\Wow! This silk is beautiful!\Didn't you say you were going to\sew your own wedding dress for the ceremony? response:	Yes, but I haven't been able to find a silk cloth that I like,
context: Ms. Sakurada...\What are you doing?\Oh, were you thinking about your fiance?\Oh, no...\Wow! This silk is beautiful!\Didn't you say you were going to\sew your own wedding dress for the ceremony?\Yes, but I haven't been able to find a silk cloth that I like, response:	even though I already have the design for it.
context: What are you doing?\Oh, were you thinking about your fiance?\Oh, no...\Wow! This silk is beautiful!\Didn't you say you were going to\sew your own wedding dress for the ceremony?\Yes, but I haven't been able to find a silk cloth that I like,\even though I already have the design for it. response:	Hang in there!
context: Oh, were you thinking about your fiance?\Oh, no...\Wow! This silk is beautiful!\Didn't you say you were going to\sew your own wedding dress for the ceremony?\Yes, but I haven't been able to find a silk cloth that I like,\even though I already have the design for it.\Hang in there! response:	You absolutely must complete a fabulous wedding gown
context: Oh, no...\Wow! This silk is beautiful!\Didn't you say you were going to\sew your own wedding dress for the ceremony?\Yes, but I haven't been able to find a silk cloth that I like,\even though I already have the design for it.\Hang in there!\You absolutely must complete a fabulous wedding gown response:	and have a wonderful ceremony!
context: Wow! This silk is beautiful!\Didn't you say you were going to\sew your own wedding dress for the ceremony?\Yes, but I haven't been able to find a silk cloth that I like,\even though I already have the design for it.\Hang in there!\You absolutely must complete a fabulous wedding gown\and have a wonderful ceremony! response:	After all, I'm counting on meeting my future husband
context: Didn't you say you were going to\sew your own wedding dress for the ceremony?\Yes, but I haven't been able to find a silk cloth that I like,\even though I already have the design for it.\Hang in there!\You absolutely must complete a fabulous wedding gown\and have a wonderful ceremony!\After all, I'm counting on meeting my future husband response:	at your wedding reception!
context: sew your own wedding dress for the ceremony?\Yes, but I haven't been able to find a silk cloth that I like,\even though I already have the design for it.\Hang in there!\You absolutely must complete a fabulous wedding gown\and have a wonderful ceremony!\After all, I'm counting on meeting my future husband\at your wedding reception! response:	Okay, I'll do my best.
context: Yes, but I haven't been able to find a silk cloth that I like,\even though I already have the design for it.\Hang in there!\You absolutely must complete a fabulous wedding gown\and have a wonderful ceremony!\After all, I'm counting on meeting my future husband\at your wedding reception!\Okay, I'll do my best. response:	I better work hard, too!
context: even though I already have the design for it.\Hang in there!\You absolutely must complete a fabulous wedding gown\and have a wonderful ceremony!\After all, I'm counting on meeting my future husband\at your wedding reception!\Okay, I'll do my best.\I better work hard, too! response:	The stars know everything.
context: Hang in there!\You absolutely must complete a fabulous wedding gown\and have a wonderful ceremony!\After all, I'm counting on meeting my future husband\at your wedding reception!\Okay, I'll do my best.\I better work hard, too!\The stars know everything. response:	The star Vega...
context: You absolutely must complete a fabulous wedding gown\and have a wonderful ceremony!\After all, I'm counting on meeting my future husband\at your wedding reception!\Okay, I'll do my best.\I better work hard, too!\The stars know everything.\The star Vega... response:	The tears of Lyra's Vega fill the heavens,
context: and have a wonderful ceremony!\After all, I'm counting on meeting my future husband\at your wedding reception!\Okay, I'll do my best.\I better work hard, too!\The stars know everything.\The star Vega...\The tears of Lyra's Vega fill the heavens, response:	but they cannot cross the vast Milky Way.
context: After all, I'm counting on meeting my future husband\at your wedding reception!\Okay, I'll do my best.\I better work hard, too!\The stars know everything.\The star Vega...\The tears of Lyra's Vega fill the heavens,\but they cannot cross the vast Milky Way. response:	The woman about to shine her brightest under the light of Vega
context: at your wedding reception!\Okay, I'll do my best.\I better work hard, too!\The stars know everything.\The star Vega...\The tears of Lyra's Vega fill the heavens,\but they cannot cross the vast Milky Way.\The woman about to shine her brightest under the light of Vega response:	is Higure Akiyama.
context: Okay, I'll do my best.\I better work hard, too!\The stars know everything.\The star Vega...\The tears of Lyra's Vega fill the heavens,\but they cannot cross the vast Milky Way.\The woman about to shine her brightest under the light of Vega\is Higure Akiyama. response:	I know who my next target is!
context: I better work hard, too!\The stars know everything.\The star Vega...\The tears of Lyra's Vega fill the heavens,\but they cannot cross the vast Milky Way.\The woman about to shine her brightest under the light of Vega\is Higure Akiyama.\I know who my next target is! response:	Juban Hall
context: The stars know everything.\The star Vega...\The tears of Lyra's Vega fill the heavens,\but they cannot cross the vast Milky Way.\The woman about to shine her brightest under the light of Vega\is Higure Akiyama.\I know who my next target is!\Juban Hall response:	Juban Hall Wow! Congratulations! She is so beautiful!
context: The star Vega...\The tears of Lyra's Vega fill the heavens,\but they cannot cross the vast Milky Way.\The woman about to shine her brightest under the light of Vega\is Higure Akiyama.\I know who my next target is!\Juban Hall\Juban Hall Wow! Congratulations! She is so beautiful! response:	Wow! Congratulations! She is so beautiful!
context: The tears of Lyra's Vega fill the heavens,\but they cannot cross the vast Milky Way.\The woman about to shine her brightest under the light of Vega\is Higure Akiyama.\I know who my next target is!\Juban Hall\Juban Hall Wow! Congratulations! She is so beautiful!\Wow! Congratulations! She is so beautiful! response:	It's so wonderful! Please be happy!
context: but they cannot cross the vast Milky Way.\The woman about to shine her brightest under the light of Vega\is Higure Akiyama.\I know who my next target is!\Juban Hall\Juban Hall Wow! Congratulations! She is so beautiful!\Wow! Congratulations! She is so beautiful!\It's so wonderful! Please be happy! response:	Wow...
context: The woman about to shine her brightest under the light of Vega\is Higure Akiyama.\I know who my next target is!\Juban Hall\Juban Hall Wow! Congratulations! She is so beautiful!\Wow! Congratulations! She is so beautiful!\It's so wonderful! Please be happy!\Wow... response:	A bride! She looks great!
context: is Higure Akiyama.\I know who my next target is!\Juban Hall\Juban Hall Wow! Congratulations! She is so beautiful!\Wow! Congratulations! She is so beautiful!\It's so wonderful! Please be happy!\Wow...\A bride! She looks great! response:	That's got to be the dream of every girl in love. One day, I'll also...
context: I know who my next target is!\Juban Hall\Juban Hall Wow! Congratulations! She is so beautiful!\Wow! Congratulations! She is so beautiful!\It's so wonderful! Please be happy!\Wow...\A bride! She looks great!\That's got to be the dream of every girl in love. One day, I'll also... response:	No, no. Bring it more this way!
context: Juban Hall\Juban Hall Wow! Congratulations! She is so beautiful!\Wow! Congratulations! She is so beautiful!\It's so wonderful! Please be happy!\Wow...\A bride! She looks great!\That's got to be the dream of every girl in love. One day, I'll also...\No, no. Bring it more this way! response:	Handmade Wedding Dress Contest Okay, that's perfect. Hurry!
context: Juban Hall Wow! Congratulations! She is so beautiful!\Wow! Congratulations! She is so beautiful!\It's so wonderful! Please be happy!\Wow...\A bride! She looks great!\That's got to be the dream of every girl in love. One day, I'll also...\No, no. Bring it more this way!\Handmade Wedding Dress Contest Okay, that's perfect. Hurry! response:	Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?
context: Wow! Congratulations! She is so beautiful!\It's so wonderful! Please be happy!\Wow...\A bride! She looks great!\That's got to be the dream of every girl in love. One day, I'll also...\No, no. Bring it more this way!\Handmade Wedding Dress Contest Okay, that's perfect. Hurry!\Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest? response:	What's this? A handmade wedding dress contest?
context: It's so wonderful! Please be happy!\Wow...\A bride! She looks great!\That's got to be the dream of every girl in love. One day, I'll also...\No, no. Bring it more this way!\Handmade Wedding Dress Contest Okay, that's perfect. Hurry!\Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?\What's this? A handmade wedding dress contest? response:	The grand prize is a free wedding reception?!
context: Wow...\A bride! She looks great!\That's got to be the dream of every girl in love. One day, I'll also...\No, no. Bring it more this way!\Handmade Wedding Dress Contest Okay, that's perfect. Hurry!\Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?\What's this? A handmade wedding dress contest?\The grand prize is a free wedding reception?! response:	Handmade Wedding Dress Contest
context: A bride! She looks great!\That's got to be the dream of every girl in love. One day, I'll also...\No, no. Bring it more this way!\Handmade Wedding Dress Contest Okay, that's perfect. Hurry!\Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?\What's this? A handmade wedding dress contest?\The grand prize is a free wedding reception?!\Handmade Wedding Dress Contest response:	A grand wedding reception!
context: That's got to be the dream of every girl in love. One day, I'll also...\No, no. Bring it more this way!\Handmade Wedding Dress Contest Okay, that's perfect. Hurry!\Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?\What's this? A handmade wedding dress contest?\The grand prize is a free wedding reception?!\Handmade Wedding Dress Contest\A grand wedding reception! response:	And my groom will be...
context: No, no. Bring it more this way!\Handmade Wedding Dress Contest Okay, that's perfect. Hurry!\Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?\What's this? A handmade wedding dress contest?\The grand prize is a free wedding reception?!\Handmade Wedding Dress Contest\A grand wedding reception!\And my groom will be... response:	Tuxedo Mask!
context: Handmade Wedding Dress Contest Okay, that's perfect. Hurry!\Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?\What's this? A handmade wedding dress contest?\The grand prize is a free wedding reception?!\Handmade Wedding Dress Contest\A grand wedding reception!\And my groom will be...\Tuxedo Mask! response:	Motoki!
context: Handmade Wedding Dress Contest Grand Prize A Free Wedding Reception What's this? A handmade wedding dress contest?\What's this? A handmade wedding dress contest?\The grand prize is a free wedding reception?!\Handmade Wedding Dress Contest\A grand wedding reception!\And my groom will be...\Tuxedo Mask!\Motoki! response:	I'm so happy! This is bliss!
context: What's this? A handmade wedding dress contest?\The grand prize is a free wedding reception?!\Handmade Wedding Dress Contest\A grand wedding reception!\And my groom will be...\Tuxedo Mask!\Motoki!\I'm so happy! This is bliss! response:	Oh, but I'm not good at sewing.
context: The grand prize is a free wedding reception?!\Handmade Wedding Dress Contest\A grand wedding reception!\And my groom will be...\Tuxedo Mask!\Motoki!\I'm so happy! This is bliss!\Oh, but I'm not good at sewing. response:	I could never make a dress!
context: Handmade Wedding Dress Contest\A grand wedding reception!\And my groom will be...\Tuxedo Mask!\Motoki!\I'm so happy! This is bliss!\Oh, but I'm not good at sewing.\I could never make a dress! response:	Hey, hey!
context: A grand wedding reception!\And my groom will be...\Tuxedo Mask!\Motoki!\I'm so happy! This is bliss!\Oh, but I'm not good at sewing.\I could never make a dress!\Hey, hey! response:	It's says a free wedding reception,
context: And my groom will be...\Tuxedo Mask!\Motoki!\I'm so happy! This is bliss!\Oh, but I'm not good at sewing.\I could never make a dress!\Hey, hey!\It's says a free wedding reception, response:	but what if the woman doesn't have a fiance... No, I mean...
