context: This... isn't obligatory chocolate, is it? response:	Um... couldn't you just make it obligatory chocolate?
context: You hit me with the corner of that box.\It was damn careless.\Shut up, would you.\Are you seriously going to go around behaving like this?\You might get arrested for assault.\What's that supposed to mean? I don't understand.\You idiot. I'm the one who doesn't understand.\Is that any way to give someone honmei chocolate? response:	Accept it!
context: It was damn careless.\Shut up, would you.\Are you seriously going to go around behaving like this?\You might get arrested for assault.\What's that supposed to mean? I don't understand.\You idiot. I'm the one who doesn't understand.\Is that any way to give someone honmei chocolate?\Accept it! response:	That happened because you said those stupid things!
context: Shut up, would you.\Are you seriously going to go around behaving like this?\You might get arrested for assault.\What's that supposed to mean? I don't understand.\You idiot. I'm the one who doesn't understand.\Is that any way to give someone honmei chocolate?\Accept it!\That happened because you said those stupid things! response:	What do you mean, stupid?
context: Are you seriously going to go around behaving like this?\You might get arrested for assault.\What's that supposed to mean? I don't understand.\You idiot. I'm the one who doesn't understand.\Is that any way to give someone honmei chocolate?\Accept it!\That happened because you said those stupid things!\What do you mean, stupid? response:	I gave it a lot of thought before I responded.
context: You might get arrested for assault.\What's that supposed to mean? I don't understand.\You idiot. I'm the one who doesn't understand.\Is that any way to give someone honmei chocolate?\Accept it!\That happened because you said those stupid things!\What do you mean, stupid?\I gave it a lot of thought before I responded. response:	But you just ignored me and threw the chocolate at me.
context: What's that supposed to mean? I don't understand.\You idiot. I'm the one who doesn't understand.\Is that any way to give someone honmei chocolate?\Accept it!\That happened because you said those stupid things!\What do you mean, stupid?\I gave it a lot of thought before I responded.\But you just ignored me and threw the chocolate at me. response:	And even then...
context: You idiot. I'm the one who doesn't understand.\Is that any way to give someone honmei chocolate?\Accept it!\That happened because you said those stupid things!\What do you mean, stupid?\I gave it a lot of thought before I responded.\But you just ignored me and threw the chocolate at me.\And even then... response:	IDIOT MIDGET
context: Is that any way to give someone honmei chocolate?\Accept it!\That happened because you said those stupid things!\What do you mean, stupid?\I gave it a lot of thought before I responded.\But you just ignored me and threw the chocolate at me.\And even then...\IDIOT MIDGET response:	There was even icing in the shape of a turd on it!
context: Accept it!\That happened because you said those stupid things!\What do you mean, stupid?\I gave it a lot of thought before I responded.\But you just ignored me and threw the chocolate at me.\And even then...\IDIOT MIDGET\There was even icing in the shape of a turd on it! response:	That wasn't my fault!
context: That happened because you said those stupid things!\What do you mean, stupid?\I gave it a lot of thought before I responded.\But you just ignored me and threw the chocolate at me.\And even then...\IDIOT MIDGET\There was even icing in the shape of a turd on it!\That wasn't my fault! response:	Haruka switched my chocolate!
context: What do you mean, stupid?\I gave it a lot of thought before I responded.\But you just ignored me and threw the chocolate at me.\And even then...\IDIOT MIDGET\There was even icing in the shape of a turd on it!\That wasn't my fault!\Haruka switched my chocolate! response:	I gave you a proper one later, didn't I?
context: I gave it a lot of thought before I responded.\But you just ignored me and threw the chocolate at me.\And even then...\IDIOT MIDGET\There was even icing in the shape of a turd on it!\That wasn't my fault!\Haruka switched my chocolate!\I gave you a proper one later, didn't I? response:	Nakao-chi's information 2.
context: But you just ignored me and threw the chocolate at me.\And even then...\IDIOT MIDGET\There was even icing in the shape of a turd on it!\That wasn't my fault!\Haruka switched my chocolate!\I gave you a proper one later, didn't I?\Nakao-chi's information 2. response:	Suppose she was my girlfriend. Then we'd have to kiss.
context: And even then...\IDIOT MIDGET\There was even icing in the shape of a turd on it!\That wasn't my fault!\Haruka switched my chocolate!\I gave you a proper one later, didn't I?\Nakao-chi's information 2.\Suppose she was my girlfriend. Then we'd have to kiss. response:	Don't you think that's kind of comical?
context: IDIOT MIDGET\There was even icing in the shape of a turd on it!\That wasn't my fault!\Haruka switched my chocolate!\I gave you a proper one later, didn't I?\Nakao-chi's information 2.\Suppose she was my girlfriend. Then we'd have to kiss.\Don't you think that's kind of comical? response:	Or something along those lines, right?
context: There was even icing in the shape of a turd on it!\That wasn't my fault!\Haruka switched my chocolate!\I gave you a proper one later, didn't I?\Nakao-chi's information 2.\Suppose she was my girlfriend. Then we'd have to kiss.\Don't you think that's kind of comical?\Or something along those lines, right? response:	Wh-What?
context: That wasn't my fault!\Haruka switched my chocolate!\I gave you a proper one later, didn't I?\Nakao-chi's information 2.\Suppose she was my girlfriend. Then we'd have to kiss.\Don't you think that's kind of comical?\Or something along those lines, right?\Wh-What? response:	The next time we see each other, it'll be in the courtroom!
context: Haruka switched my chocolate!\I gave you a proper one later, didn't I?\Nakao-chi's information 2.\Suppose she was my girlfriend. Then we'd have to kiss.\Don't you think that's kind of comical?\Or something along those lines, right?\Wh-What?\The next time we see each other, it'll be in the courtroom! response:	Plaintiff
context: I gave you a proper one later, didn't I?\Nakao-chi's information 2.\Suppose she was my girlfriend. Then we'd have to kiss.\Don't you think that's kind of comical?\Or something along those lines, right?\Wh-What?\The next time we see each other, it'll be in the courtroom!\Plaintiff response:	I'll sue you for slander!
context: Nakao-chi's information 2.\Suppose she was my girlfriend. Then we'd have to kiss.\Don't you think that's kind of comical?\Or something along those lines, right?\Wh-What?\The next time we see each other, it'll be in the courtroom!\Plaintiff\I'll sue you for slander! response:	Defendant
context: Suppose she was my girlfriend. Then we'd have to kiss.\Don't you think that's kind of comical?\Or something along those lines, right?\Wh-What?\The next time we see each other, it'll be in the courtroom!\Plaintiff\I'll sue you for slander!\Defendant response:	Bring it on!
context: Don't you think that's kind of comical?\Or something along those lines, right?\Wh-What?\The next time we see each other, it'll be in the courtroom!\Plaintiff\I'll sue you for slander!\Defendant\Bring it on! response:	Did Koizumi-san really get rejected?
context: Or something along those lines, right?\Wh-What?\The next time we see each other, it'll be in the courtroom!\Plaintiff\I'll sue you for slander!\Defendant\Bring it on!\Did Koizumi-san really get rejected? response:	They're no different from before.
context: Wh-What?\The next time we see each other, it'll be in the courtroom!\Plaintiff\I'll sue you for slander!\Defendant\Bring it on!\Did Koizumi-san really get rejected?\They're no different from before. response:	Even rudeness has its limits!
context: The next time we see each other, it'll be in the courtroom!\Plaintiff\I'll sue you for slander!\Defendant\Bring it on!\Did Koizumi-san really get rejected?\They're no different from before.\Even rudeness has its limits! response:	Kiss...
context: Plaintiff\I'll sue you for slander!\Defendant\Bring it on!\Did Koizumi-san really get rejected?\They're no different from before.\Even rudeness has its limits!\Kiss... response:	Kiss...
context: I'll sue you for slander!\Defendant\Bring it on!\Did Koizumi-san really get rejected?\They're no different from before.\Even rudeness has its limits!\Kiss...\Kiss... response:	What's so funny?!
context: Defendant\Bring it on!\Did Koizumi-san really get rejected?\They're no different from before.\Even rudeness has its limits!\Kiss...\Kiss...\What's so funny?! response:	I was just thinking that Otani-kun probably couldn't even reach Risa's lips.
context: Bring it on!\Did Koizumi-san really get rejected?\They're no different from before.\Even rudeness has its limits!\Kiss...\Kiss...\What's so funny?!\I was just thinking that Otani-kun probably couldn't even reach Risa's lips. response:	Th-That's...
context: Did Koizumi-san really get rejected?\They're no different from before.\Even rudeness has its limits!\Kiss...\Kiss...\What's so funny?!\I was just thinking that Otani-kun probably couldn't even reach Risa's lips.\Th-That's... response:	Kiss...
context: They're no different from before.\Even rudeness has its limits!\Kiss...\Kiss...\What's so funny?!\I was just thinking that Otani-kun probably couldn't even reach Risa's lips.\Th-That's...\Kiss... response:	That's funny. It really is funny.
context: Even rudeness has its limits!\Kiss...\Kiss...\What's so funny?!\I was just thinking that Otani-kun probably couldn't even reach Risa's lips.\Th-That's...\Kiss...\That's funny. It really is funny. response:	Don't you think?
context: Kiss...\Kiss...\What's so funny?!\I was just thinking that Otani-kun probably couldn't even reach Risa's lips.\Th-That's...\Kiss...\That's funny. It really is funny.\Don't you think? response:	It's not like that's gonna happen, anyway. We're not even dating.
context: Kiss...\What's so funny?!\I was just thinking that Otani-kun probably couldn't even reach Risa's lips.\Th-That's...\Kiss...\That's funny. It really is funny.\Don't you think?\It's not like that's gonna happen, anyway. We're not even dating. response:	What are you talking about? You can't think like that.
context: What's so funny?!\I was just thinking that Otani-kun probably couldn't even reach Risa's lips.\Th-That's...\Kiss...\That's funny. It really is funny.\Don't you think?\It's not like that's gonna happen, anyway. We're not even dating.\What are you talking about? You can't think like that. response:	If confessing didn't work,
context: I was just thinking that Otani-kun probably couldn't even reach Risa's lips.\Th-That's...\Kiss...\That's funny. It really is funny.\Don't you think?\It's not like that's gonna happen, anyway. We're not even dating.\What are you talking about? You can't think like that.\If confessing didn't work, response:	Ugh. That might work for you, Seiko-chan...
context: Th-That's...\Kiss...\That's funny. It really is funny.\Don't you think?\It's not like that's gonna happen, anyway. We're not even dating.\What are you talking about? You can't think like that.\If confessing didn't work,\Ugh. That might work for you, Seiko-chan... response:	Say, Seiko-chan, you've kissed Otani before, right?
context: Kiss...\That's funny. It really is funny.\Don't you think?\It's not like that's gonna happen, anyway. We're not even dating.\What are you talking about? You can't think like that.\If confessing didn't work,\Ugh. That might work for you, Seiko-chan...\Say, Seiko-chan, you've kissed Otani before, right? response:	That was a nice scene.
context: That's funny. It really is funny.\Don't you think?\It's not like that's gonna happen, anyway. We're not even dating.\What are you talking about? You can't think like that.\If confessing didn't work,\Ugh. That might work for you, Seiko-chan...\Say, Seiko-chan, you've kissed Otani before, right?\That was a nice scene. response:	Ah! I'm embarrassed!
context: Don't you think?\It's not like that's gonna happen, anyway. We're not even dating.\What are you talking about? You can't think like that.\If confessing didn't work,\Ugh. That might work for you, Seiko-chan...\Say, Seiko-chan, you've kissed Otani before, right?\That was a nice scene.\Ah! I'm embarrassed! response:	Don't be shy, now.
context: It's not like that's gonna happen, anyway. We're not even dating.\What are you talking about? You can't think like that.\If confessing didn't work,\Ugh. That might work for you, Seiko-chan...\Say, Seiko-chan, you've kissed Otani before, right?\That was a nice scene.\Ah! I'm embarrassed!\Don't be shy, now. response:	Whatever.
context: What are you talking about? You can't think like that.\If confessing didn't work,\Ugh. That might work for you, Seiko-chan...\Say, Seiko-chan, you've kissed Otani before, right?\That was a nice scene.\Ah! I'm embarrassed!\Don't be shy, now.\Whatever. response:	It's not like I wanted to kiss him anyway.
context: If confessing didn't work,\Ugh. That might work for you, Seiko-chan...\Say, Seiko-chan, you've kissed Otani before, right?\That was a nice scene.\Ah! I'm embarrassed!\Don't be shy, now.\Whatever.\It's not like I wanted to kiss him anyway. response:	It's like your love-point level is lower than an elementary student's.
context: Ugh. That might work for you, Seiko-chan...\Say, Seiko-chan, you've kissed Otani before, right?\That was a nice scene.\Ah! I'm embarrassed!\Don't be shy, now.\Whatever.\It's not like I wanted to kiss him anyway.\It's like your love-point level is lower than an elementary student's. response:	Just how old are you?
context: Say, Seiko-chan, you've kissed Otani before, right?\That was a nice scene.\Ah! I'm embarrassed!\Don't be shy, now.\Whatever.\It's not like I wanted to kiss him anyway.\It's like your love-point level is lower than an elementary student's.\Just how old are you? response:	I'm just a kid, of course.
context: That was a nice scene.\Ah! I'm embarrassed!\Don't be shy, now.\Whatever.\It's not like I wanted to kiss him anyway.\It's like your love-point level is lower than an elementary student's.\Just how old are you?\I'm just a kid, of course. response:	I've never kissed anyone.
context: Ah! I'm embarrassed!\Don't be shy, now.\Whatever.\It's not like I wanted to kiss him anyway.\It's like your love-point level is lower than an elementary student's.\Just how old are you?\I'm just a kid, of course.\I've never kissed anyone. response:	Oh, then why do you want to be his girlfriend?
context: Don't be shy, now.\Whatever.\It's not like I wanted to kiss him anyway.\It's like your love-point level is lower than an elementary student's.\Just how old are you?\I'm just a kid, of course.\I've never kissed anyone.\Oh, then why do you want to be his girlfriend? response:	Why, you ask...
context: Whatever.\It's not like I wanted to kiss him anyway.\It's like your love-point level is lower than an elementary student's.\Just how old are you?\I'm just a kid, of course.\I've never kissed anyone.\Oh, then why do you want to be his girlfriend?\Why, you ask... response:	I mean isn't it so that you can walk hand in hand..
context: It's not like I wanted to kiss him anyway.\It's like your love-point level is lower than an elementary student's.\Just how old are you?\I'm just a kid, of course.\I've never kissed anyone.\Oh, then why do you want to be his girlfriend?\Why, you ask...\I mean isn't it so that you can walk hand in hand.. response:	Or kiss...
context: It's like your love-point level is lower than an elementary student's.\Just how old are you?\I'm just a kid, of course.\I've never kissed anyone.\Oh, then why do you want to be his girlfriend?\Why, you ask...\I mean isn't it so that you can walk hand in hand..\Or kiss... response:	Or get hot and heavy?
context: Just how old are you?\I'm just a kid, of course.\I've never kissed anyone.\Oh, then why do you want to be his girlfriend?\Why, you ask...\I mean isn't it so that you can walk hand in hand..\Or kiss...\Or get hot and heavy? response:	Not really.
context: I'm just a kid, of course.\I've never kissed anyone.\Oh, then why do you want to be his girlfriend?\Why, you ask...\I mean isn't it so that you can walk hand in hand..\Or kiss...\Or get hot and heavy?\Not really. response:	It's okay. It's okay.
context: I've never kissed anyone.\Oh, then why do you want to be his girlfriend?\Why, you ask...\I mean isn't it so that you can walk hand in hand..\Or kiss...\Or get hot and heavy?\Not really.\It's okay. It's okay. response:	As long as she and Otani-kun can be like...
context: Oh, then why do you want to be his girlfriend?\Why, you ask...\I mean isn't it so that you can walk hand in hand..\Or kiss...\Or get hot and heavy?\Not really.\It's okay. It's okay.\As long as she and Otani-kun can be like... response:	Yay! Umibouzu!
context: Why, you ask...\I mean isn't it so that you can walk hand in hand..\Or kiss...\Or get hot and heavy?\Not really.\It's okay. It's okay.\As long as she and Otani-kun can be like...\Yay! Umibouzu! response:	That's so cute!
context: I mean isn't it so that you can walk hand in hand..\Or kiss...\Or get hot and heavy?\Not really.\It's okay. It's okay.\As long as she and Otani-kun can be like...\Yay! Umibouzu!\That's so cute! response:	Don't make fun of me!
context: Or kiss...\Or get hot and heavy?\Not really.\It's okay. It's okay.\As long as she and Otani-kun can be like...\Yay! Umibouzu!\That's so cute!\Don't make fun of me! response:	Man. Everyone is so damn rude.
context: Or get hot and heavy?\Not really.\It's okay. It's okay.\As long as she and Otani-kun can be like...\Yay! Umibouzu!\That's so cute!\Don't make fun of me!\Man. Everyone is so damn rude. response:	No good, no good. It really is comical.
context: Not really.\It's okay. It's okay.\As long as she and Otani-kun can be like...\Yay! Umibouzu!\That's so cute!\Don't make fun of me!\Man. Everyone is so damn rude.\No good, no good. It really is comical. response:	Why the hell are you so damn short?!
context: It's okay. It's okay.\As long as she and Otani-kun can be like...\Yay! Umibouzu!\That's so cute!\Don't make fun of me!\Man. Everyone is so damn rude.\No good, no good. It really is comical.\Why the hell are you so damn short?! response:	It's pissing me off!
context: As long as she and Otani-kun can be like...\Yay! Umibouzu!\That's so cute!\Don't make fun of me!\Man. Everyone is so damn rude.\No good, no good. It really is comical.\Why the hell are you so damn short?!\It's pissing me off! response:	Wh-What did you say? I'll smack you!
context: Yay! Umibouzu!\That's so cute!\Don't make fun of me!\Man. Everyone is so damn rude.\No good, no good. It really is comical.\Why the hell are you so damn short?!\It's pissing me off!\Wh-What did you say? I'll smack you! response:	Hey, wait up.
context: That's so cute!\Don't make fun of me!\Man. Everyone is so damn rude.\No good, no good. It really is comical.\Why the hell are you so damn short?!\It's pissing me off!\Wh-What did you say? I'll smack you!\Hey, wait up. response:	What?
context: Don't make fun of me!\Man. Everyone is so damn rude.\No good, no good. It really is comical.\Why the hell are you so damn short?!\It's pissing me off!\Wh-What did you say? I'll smack you!\Hey, wait up.\What? response:	Here you go. My treat.
context: Man. Everyone is so damn rude.\No good, no good. It really is comical.\Why the hell are you so damn short?!\It's pissing me off!\Wh-What did you say? I'll smack you!\Hey, wait up.\What?\Here you go. My treat. response:	What's this?
context: No good, no good. It really is comical.\Why the hell are you so damn short?!\It's pissing me off!\Wh-What did you say? I'll smack you!\Hey, wait up.\What?\Here you go. My treat.\What's this? response:	These... These...
context: Why the hell are you so damn short?!\It's pissing me off!\Wh-What did you say? I'll smack you!\Hey, wait up.\What?\Here you go. My treat.\What's this?\These... These... response:	These are...
context: It's pissing me off!\Wh-What did you say? I'll smack you!\Hey, wait up.\What?\Here you go. My treat.\What's this?\These... These...\These are... response:	In return for Christmas and Valentine's Day.
context: Wh-What did you say? I'll smack you!\Hey, wait up.\What?\Here you go. My treat.\What's this?\These... These...\These are...\In return for Christmas and Valentine's Day. response:	White Day would be too late, so I thought I'd give them to you now.
context: Hey, wait up.\What?\Here you go. My treat.\What's this?\These... These...\These are...\In return for Christmas and Valentine's Day.\White Day would be too late, so I thought I'd give them to you now. response:	Seriously?
context: What?\Here you go. My treat.\What's this?\These... These...\These are...\In return for Christmas and Valentine's Day.\White Day would be too late, so I thought I'd give them to you now.\Seriously? response:	Yep. I waited in line for them all morning yesterday.
context: Here you go. My treat.\What's this?\These... These...\These are...\In return for Christmas and Valentine's Day.\White Day would be too late, so I thought I'd give them to you now.\Seriously?\Yep. I waited in line for them all morning yesterday. response:	Oh! What's this? Seat 3?
context: What's this?\These... These...\These are...\In return for Christmas and Valentine's Day.\White Day would be too late, so I thought I'd give them to you now.\Seriously?\Yep. I waited in line for them all morning yesterday.\Oh! What's this? Seat 3? response:	We'll be in the front row!
context: These... These...\These are...\In return for Christmas and Valentine's Day.\White Day would be too late, so I thought I'd give them to you now.\Seriously?\Yep. I waited in line for them all morning yesterday.\Oh! What's this? Seat 3?\We'll be in the front row! response:	We'll even be able to distinguish Umibouzu's pores.
context: These are...\In return for Christmas and Valentine's Day.\White Day would be too late, so I thought I'd give them to you now.\Seriously?\Yep. I waited in line for them all morning yesterday.\Oh! What's this? Seat 3?\We'll be in the front row!\We'll even be able to distinguish Umibouzu's pores. response:	You're awesome, Otani! You're awesome!
context: In return for Christmas and Valentine's Day.\White Day would be too late, so I thought I'd give them to you now.\Seriously?\Yep. I waited in line for them all morning yesterday.\Oh! What's this? Seat 3?\We'll be in the front row!\We'll even be able to distinguish Umibouzu's pores.\You're awesome, Otani! You're awesome! response:	One more time, one more time.
context: White Day would be too late, so I thought I'd give them to you now.\Seriously?\Yep. I waited in line for them all morning yesterday.\Oh! What's this? Seat 3?\We'll be in the front row!\We'll even be able to distinguish Umibouzu's pores.\You're awesome, Otani! You're awesome!\One more time, one more time. response:	Otani, you're so manly! Otani, you're so cool!
context: Seriously?\Yep. I waited in line for them all morning yesterday.\Oh! What's this? Seat 3?\We'll be in the front row!\We'll even be able to distinguish Umibouzu's pores.\You're awesome, Otani! You're awesome!\One more time, one more time.\Otani, you're so manly! Otani, you're so cool! response:	Well, yes.
context: Yep. I waited in line for them all morning yesterday.\Oh! What's this? Seat 3?\We'll be in the front row!\We'll even be able to distinguish Umibouzu's pores.\You're awesome, Otani! You're awesome!\One more time, one more time.\Otani, you're so manly! Otani, you're so cool!\Well, yes. response:	What if he looks right at us?
context: Oh! What's this? Seat 3?\We'll be in the front row!\We'll even be able to distinguish Umibouzu's pores.\You're awesome, Otani! You're awesome!\One more time, one more time.\Otani, you're so manly! Otani, you're so cool!\Well, yes.\What if he looks right at us? response:	We could shake his hand.
context: We'll be in the front row!\We'll even be able to distinguish Umibouzu's pores.\You're awesome, Otani! You're awesome!\One more time, one more time.\Otani, you're so manly! Otani, you're so cool!\Well, yes.\What if he looks right at us?\We could shake his hand. response:	Maybe he'll remember us from Hokkaido.
context: We'll even be able to distinguish Umibouzu's pores.\You're awesome, Otani! You're awesome!\One more time, one more time.\Otani, you're so manly! Otani, you're so cool!\Well, yes.\What if he looks right at us?\We could shake his hand.\Maybe he'll remember us from Hokkaido. response:	Maybe he'll even call out to us!
context: You're awesome, Otani! You're awesome!\One more time, one more time.\Otani, you're so manly! Otani, you're so cool!\Well, yes.\What if he looks right at us?\We could shake his hand.\Maybe he'll remember us from Hokkaido.\Maybe he'll even call out to us! response:	Yay! Umibouzu!
context: One more time, one more time.\Otani, you're so manly! Otani, you're so cool!\Well, yes.\What if he looks right at us?\We could shake his hand.\Maybe he'll remember us from Hokkaido.\Maybe he'll even call out to us!\Yay! Umibouzu! response:	Thank you very much. I humbly accept.
context: Otani, you're so manly! Otani, you're so cool!\Well, yes.\What if he looks right at us?\We could shake his hand.\Maybe he'll remember us from Hokkaido.\Maybe he'll even call out to us!\Yay! Umibouzu!\Thank you very much. I humbly accept. response:	Who the heck are you?
context: Well, yes.\What if he looks right at us?\We could shake his hand.\Maybe he'll remember us from Hokkaido.\Maybe he'll even call out to us!\Yay! Umibouzu!\Thank you very much. I humbly accept.\Who the heck are you? response:	So, when's the concert?
context: What if he looks right at us?\We could shake his hand.\Maybe he'll remember us from Hokkaido.\Maybe he'll even call out to us!\Yay! Umibouzu!\Thank you very much. I humbly accept.\Who the heck are you?\So, when's the concert? response:	The day after the graduation ceremony.
context: We could shake his hand.\Maybe he'll remember us from Hokkaido.\Maybe he'll even call out to us!\Yay! Umibouzu!\Thank you very much. I humbly accept.\Who the heck are you?\So, when's the concert?\The day after the graduation ceremony. response:	Never mind. I am just a kid after all.
context: Maybe he'll remember us from Hokkaido.\Maybe he'll even call out to us!\Yay! Umibouzu!\Thank you very much. I humbly accept.\Who the heck are you?\So, when's the concert?\The day after the graduation ceremony.\Never mind. I am just a kid after all. response:	I didn't say anything.
context: Maybe he'll even call out to us!\Yay! Umibouzu!\Thank you very much. I humbly accept.\Who the heck are you?\So, when's the concert?\The day after the graduation ceremony.\Never mind. I am just a kid after all.\I didn't say anything. response:	It's been a while since you've been on a date with just the two of you.
context: Yay! Umibouzu!\Thank you very much. I humbly accept.\Who the heck are you?\So, when's the concert?\The day after the graduation ceremony.\Never mind. I am just a kid after all.\I didn't say anything.\It's been a while since you've been on a date with just the two of you. response:	It's not a date or anything! There's not much romance between...
context: Thank you very much. I humbly accept.\Who the heck are you?\So, when's the concert?\The day after the graduation ceremony.\Never mind. I am just a kid after all.\I didn't say anything.\It's been a while since you've been on a date with just the two of you.\It's not a date or anything! There's not much romance between... response:	Then make some romance, you idiot!
context: Who the heck are you?\So, when's the concert?\The day after the graduation ceremony.\Never mind. I am just a kid after all.\I didn't say anything.\It's been a while since you've been on a date with just the two of you.\It's not a date or anything! There's not much romance between...\Then make some romance, you idiot! response:	Are you just going to let all that effort with the honmei chocolate go to waste?
context: So, when's the concert?\The day after the graduation ceremony.\Never mind. I am just a kid after all.\I didn't say anything.\It's been a while since you've been on a date with just the two of you.\It's not a date or anything! There's not much romance between...\Then make some romance, you idiot!\Are you just going to let all that effort with the honmei chocolate go to waste? response:	Your goal is to be a kissable girl! Chu!
context: The day after the graduation ceremony.\Never mind. I am just a kid after all.\I didn't say anything.\It's been a while since you've been on a date with just the two of you.\It's not a date or anything! There's not much romance between...\Then make some romance, you idiot!\Are you just going to let all that effort with the honmei chocolate go to waste?\Your goal is to be a kissable girl! Chu! response:	Enough with the chu-chu!
context: Never mind. I am just a kid after all.\I didn't say anything.\It's been a while since you've been on a date with just the two of you.\It's not a date or anything! There's not much romance between...\Then make some romance, you idiot!\Are you just going to let all that effort with the honmei chocolate go to waste?\Your goal is to be a kissable girl! Chu!\Enough with the chu-chu! response:	What are you, a mouse?
context: I didn't say anything.\It's been a while since you've been on a date with just the two of you.\It's not a date or anything! There's not much romance between...\Then make some romance, you idiot!\Are you just going to let all that effort with the honmei chocolate go to waste?\Your goal is to be a kissable girl! Chu!\Enough with the chu-chu!\What are you, a mouse? response:	Darling!
