context: So far, he's hit a right fly and been struck-out. response:	So far, he's hit a right fly and been struck-out. Something's off.
context: The score is still seven to zero. But I kind of ended up rooting for the losing side.\The score is still seven to zero.\The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.\The score is still seven to zero.\The score is still seven to zero. Incoming call: Haruhi Suzumiya\The score is still seven to zero.\The gap between the scores is big,\but Kumamoto still has a chance if they can hold out here. response:	But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.
context: The score is still seven to zero.\The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.\The score is still seven to zero.\The score is still seven to zero. Incoming call: Haruhi Suzumiya\The score is still seven to zero.\The gap between the scores is big,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing. response:	Kyon, the phone's ringing.
context: The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.\The score is still seven to zero.\The score is still seven to zero. Incoming call: Haruhi Suzumiya\The score is still seven to zero.\The gap between the scores is big,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.\Kyon, the phone's ringing. response:	The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.
context: The score is still seven to zero.\The score is still seven to zero. Incoming call: Haruhi Suzumiya\The score is still seven to zero.\The gap between the scores is big,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.\Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing. response:	The passionate voices cheering from the third base bleachers have not died down.
context: The score is still seven to zero. Incoming call: Haruhi Suzumiya\The score is still seven to zero.\The gap between the scores is big,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.\Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. response:	The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.
context: The score is still seven to zero.\The gap between the scores is big,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.\Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down.\The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me. response:	I know, you don't have to tell me.
context: The gap between the scores is big,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.\Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down.\The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.\I know, you don't have to tell me. response:	There's Suzuki, they need him to do his best, don't they, Mr. Kiru?
context: but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.\Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down.\The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.\I know, you don't have to tell me.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? response:	There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.
context: But Kumamoto still has a chance if they can hold out here. Kyon, the phone's ringing.\Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down.\The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.\I know, you don't have to tell me.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station. response:	You're not doing anything today, right? We're meeting at 2PM in front of the station.
context: Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down.\The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.\I know, you don't have to tell me.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station. response:	That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.
context: The passionate voices cheering from the third base bleachers have not died down. Kyon, the phone's ringing.\The passionate voices cheering from the third base bleachers have not died down.\The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.\I know, you don't have to tell me.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station. response:	You're not doing anything today, right? We're meeting at 2PM in front of the station.
context: The passionate voices cheering from the third base bleachers have not died down.\The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.\I know, you don't have to tell me.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station. response:	After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.
context: The passionate voices cheering from the third base bleachers have not died down. I know, you don't have to tell me.\I know, you don't have to tell me.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station. response:	After all, you never know how a match is going to turn out. They still have hope.
context: I know, you don't have to tell me.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. response:	After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.
context: There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. Be sure to show up. response:	After all, you never know how a match is going to turn out. They still have hope.
context: There's Suzuki, they need him to do his best, don't they, Mr. Kiru? You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.\After all, you never know how a match is going to turn out. They still have hope. response:	After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...
context: You're not doing anything today, right? We're meeting at 2PM in front of the station.\That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything... response:	I didn't even say anything...
context: That's true. You're not doing anything today, right? We're meeting at 2PM in front of the station.\You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...\I didn't even say anything... response:	Right. I didn't even say anything...
context: You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...\I didn't even say anything...\Right. I didn't even say anything... response:	Next, stepping up to the batter's box we have number four, Kashima, a senior.
context: After all, you never know how a match is going to turn out. They still have hope. You're not doing anything today, right? We're meeting at 2PM in front of the station.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...\I didn't even say anything...\Right. I didn't even say anything...\Next, stepping up to the batter's box we have number four, Kashima, a senior. response:	Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...
context: After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...\I didn't even say anything...\Right. I didn't even say anything...\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this... response:	- What? - I forgot to mention this...
context: After all, you never know how a match is going to turn out. They still have hope. Be sure to show up.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...\I didn't even say anything...\Right. I didn't even say anything...\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...\- What? - I forgot to mention this... response:	After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...
context: After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...\I didn't even say anything...\Right. I didn't even say anything...\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...\- What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this... response:	After last year's summer tournament, he was chosen for the team that went to Cuba.
context: After all, you never know how a match is going to turn out. They still have hope. I didn't even say anything...\I didn't even say anything...\Right. I didn't even say anything...\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...\- What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. response:	After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.
context: I didn't even say anything...\Right. I didn't even say anything...\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...\- What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba.\After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money. response:	Bring a swimsuit and plenty of money.
context: Right. I didn't even say anything...\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...\- What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba.\After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.\Bring a swimsuit and plenty of money. response:	In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.
context: Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...\- What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba.\After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.\Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money. response:	In the fourth inning, he hit a three-run home run.
context: Next, stepping up to the batter's box we have number four, Kashima, a senior. - What? - I forgot to mention this...\- What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba.\After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.\Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. response:	In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!
context: - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba.\After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.\Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out! response:	And be sure to bring your bike. That's all, over and out!
context: After last year's summer tournament, he was chosen for the team that went to Cuba. - What? - I forgot to mention this...\After last year's summer tournament, he was chosen for the team that went to Cuba.\After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.\Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!\And be sure to bring your bike. That's all, over and out! response:	And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out!
context: After last year's summer tournament, he was chosen for the team that went to Cuba.\After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.\Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!\And be sure to bring your bike. That's all, over and out!\And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out! response:	And the first pitch is a strike. No problems there. I still haven't...
context: After last year's summer tournament, he was chosen for the team that went to Cuba. Bring a swimsuit and plenty of money.\Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!\And be sure to bring your bike. That's all, over and out!\And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out!\And the first pitch is a strike. No problems there. I still haven't... response:	And the first pitch is a strike. No problems there.
context: Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!\And be sure to bring your bike. That's all, over and out!\And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out!\And the first pitch is a strike. No problems there. I still haven't...\And the first pitch is a strike. No problems there. response:	That was a good pitch.
context: In the fourth inning, he hit a three-run home run. Bring a swimsuit and plenty of money.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!\And be sure to bring your bike. That's all, over and out!\And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out!\And the first pitch is a strike. No problems there. I still haven't...\And the first pitch is a strike. No problems there.\That was a good pitch. response:	That was a good pitch. I had the feeling that I knew what Haruhi was going to say.
context: In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!\And be sure to bring your bike. That's all, over and out!\And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out!\And the first pitch is a strike. No problems there. I still haven't...\And the first pitch is a strike. No problems there.\That was a good pitch.\That was a good pitch. I had the feeling that I knew what Haruhi was going to say. response:	I had the feeling that I knew what Haruhi was going to say.
context: In the fourth inning, he hit a three-run home run. And be sure to bring your bike. That's all, over and out!\And be sure to bring your bike. That's all, over and out!\And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out!\And the first pitch is a strike. No problems there. I still haven't...\And the first pitch is a strike. No problems there.\That was a good pitch.\That was a good pitch. I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say. response:	That was a strong, straight pitch, thrown a little high and inside. I had the feeling that I knew what Haruhi was going to say.
context: And be sure to bring your bike. That's all, over and out!\And there's Suzuki with a big windup... And be sure to bring your bike. That's all, over and out!\And the first pitch is a strike. No problems there. I still haven't...\And the first pitch is a strike. No problems there.\That was a good pitch.\That was a good pitch. I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say.\That was a strong, straight pitch, thrown a little high and inside. I had the feeling that I knew what Haruhi was going to say. response:	That was a strong, straight pitch, thrown a little high and inside.
