context: Crap, that's the second bell. response:	We're not going to make it!
context: I think we knew that.\So I'm Strelka and Belka's big sister!\Big sister?\I've been taking care of them since they were this little.\They were naughty little rascals back then.\They're dogs, but they're even smarter than me now.\The fact that you admit that is, uh...\They want to play more! response:	Try throwing this.
context: So I'm Strelka and Belka's big sister!\Big sister?\I've been taking care of them since they were this little.\They were naughty little rascals back then.\They're dogs, but they're even smarter than me now.\The fact that you admit that is, uh...\They want to play more!\Try throwing this. response:	Okay! Go fetch!
context: Big sister?\I've been taking care of them since they were this little.\They were naughty little rascals back then.\They're dogs, but they're even smarter than me now.\The fact that you admit that is, uh...\They want to play more!\Try throwing this.\Okay! Go fetch! response:	Wafu!
context: I've been taking care of them since they were this little.\They were naughty little rascals back then.\They're dogs, but they're even smarter than me now.\The fact that you admit that is, uh...\They want to play more!\Try throwing this.\Okay! Go fetch!\Wafu! response:	Did you see that?
context: They were naughty little rascals back then.\They're dogs, but they're even smarter than me now.\The fact that you admit that is, uh...\They want to play more!\Try throwing this.\Okay! Go fetch!\Wafu!\Did you see that? response:	The way she moved...
context: They're dogs, but they're even smarter than me now.\The fact that you admit that is, uh...\They want to play more!\Try throwing this.\Okay! Go fetch!\Wafu!\Did you see that?\The way she moved... response:	I caught it this time!
context: The fact that you admit that is, uh...\They want to play more!\Try throwing this.\Okay! Go fetch!\Wafu!\Did you see that?\The way she moved...\I caught it this time! response:	We could use her on our team!
context: They want to play more!\Try throwing this.\Okay! Go fetch!\Wafu!\Did you see that?\The way she moved...\I caught it this time!\We could use her on our team! response:	Oh? Noumi Kudryavka-kun, is it?
context: Try throwing this.\Okay! Go fetch!\Wafu!\Did you see that?\The way she moved...\I caught it this time!\We could use her on our team!\Oh? Noumi Kudryavka-kun, is it? response:	You transferred here recently after moving back to Japan, right?
context: Okay! Go fetch!\Wafu!\Did you see that?\The way she moved...\I caught it this time!\We could use her on our team!\Oh? Noumi Kudryavka-kun, is it?\You transferred here recently after moving back to Japan, right? response:	Yes, but... um...
context: Wafu!\Did you see that?\The way she moved...\I caught it this time!\We could use her on our team!\Oh? Noumi Kudryavka-kun, is it?\You transferred here recently after moving back to Japan, right?\Yes, but... um... response:	What am I doing here?
context: Did you see that?\The way she moved...\I caught it this time!\We could use her on our team!\Oh? Noumi Kudryavka-kun, is it?\You transferred here recently after moving back to Japan, right?\Yes, but... um...\What am I doing here? response:	Sorry, Kud.
context: The way she moved...\I caught it this time!\We could use her on our team!\Oh? Noumi Kudryavka-kun, is it?\You transferred here recently after moving back to Japan, right?\Yes, but... um...\What am I doing here?\Sorry, Kud. response:	We'd like you to join us.
context: I caught it this time!\We could use her on our team!\Oh? Noumi Kudryavka-kun, is it?\You transferred here recently after moving back to Japan, right?\Yes, but... um...\What am I doing here?\Sorry, Kud.\We'd like you to join us. response:	Do you want to play baseball with us?
context: We could use her on our team!\Oh? Noumi Kudryavka-kun, is it?\You transferred here recently after moving back to Japan, right?\Yes, but... um...\What am I doing here?\Sorry, Kud.\We'd like you to join us.\Do you want to play baseball with us? response:	We need more people on our team.
context: Oh? Noumi Kudryavka-kun, is it?\You transferred here recently after moving back to Japan, right?\Yes, but... um...\What am I doing here?\Sorry, Kud.\We'd like you to join us.\Do you want to play baseball with us?\We need more people on our team. response:	Baseball?
context: You transferred here recently after moving back to Japan, right?\Yes, but... um...\What am I doing here?\Sorry, Kud.\We'd like you to join us.\Do you want to play baseball with us?\We need more people on our team.\Baseball? response:	What's that?
context: Yes, but... um...\What am I doing here?\Sorry, Kud.\We'd like you to join us.\Do you want to play baseball with us?\We need more people on our team.\Baseball?\What's that? response:	You don't know baseball?
context: What am I doing here?\Sorry, Kud.\We'd like you to join us.\Do you want to play baseball with us?\We need more people on our team.\Baseball?\What's that?\You don't know baseball? response:	It's no surprise.
context: Sorry, Kud.\We'd like you to join us.\Do you want to play baseball with us?\We need more people on our team.\Baseball?\What's that?\You don't know baseball?\It's no surprise. response:	They don't care for baseball in the country that Noumi-kun lived in.
context: We'd like you to join us.\Do you want to play baseball with us?\We need more people on our team.\Baseball?\What's that?\You don't know baseball?\It's no surprise.\They don't care for baseball in the country that Noumi-kun lived in. response:	It's something like baseball in English.
context: Do you want to play baseball with us?\We need more people on our team.\Baseball?\What's that?\You don't know baseball?\It's no surprise.\They don't care for baseball in the country that Noumi-kun lived in.\It's something like baseball in English. response:	Oh! Baseball!
context: We need more people on our team.\Baseball?\What's that?\You don't know baseball?\It's no surprise.\They don't care for baseball in the country that Noumi-kun lived in.\It's something like baseball in English.\Oh! Baseball! response:	I've heard of that!
context: Baseball?\What's that?\You don't know baseball?\It's no surprise.\They don't care for baseball in the country that Noumi-kun lived in.\It's something like baseball in English.\Oh! Baseball!\I've heard of that! response:	The name of our team is Little Busters.
context: What's that?\You don't know baseball?\It's no surprise.\They don't care for baseball in the country that Noumi-kun lived in.\It's something like baseball in English.\Oh! Baseball!\I've heard of that!\The name of our team is Little Busters. response:	It'll be a lot of fun if you join!
context: You don't know baseball?\It's no surprise.\They don't care for baseball in the country that Noumi-kun lived in.\It's something like baseball in English.\Oh! Baseball!\I've heard of that!\The name of our team is Little Busters.\It'll be a lot of fun if you join! response:	Really?
context: It's no surprise.\They don't care for baseball in the country that Noumi-kun lived in.\It's something like baseball in English.\Oh! Baseball!\I've heard of that!\The name of our team is Little Busters.\It'll be a lot of fun if you join!\Really? response:	And you'll get some muscles on you if you play, too.
context: They don't care for baseball in the country that Noumi-kun lived in.\It's something like baseball in English.\Oh! Baseball!\I've heard of that!\The name of our team is Little Busters.\It'll be a lot of fun if you join!\Really?\And you'll get some muscles on you if you play, too. response:	But...
context: It's something like baseball in English.\Oh! Baseball!\I've heard of that!\The name of our team is Little Busters.\It'll be a lot of fun if you join!\Really?\And you'll get some muscles on you if you play, too.\But... response:	I don't know anything about baseball.
context: Oh! Baseball!\I've heard of that!\The name of our team is Little Busters.\It'll be a lot of fun if you join!\Really?\And you'll get some muscles on you if you play, too.\But...\I don't know anything about baseball. response:	That's okay.
context: I've heard of that!\The name of our team is Little Busters.\It'll be a lot of fun if you join!\Really?\And you'll get some muscles on you if you play, too.\But...\I don't know anything about baseball.\That's okay. response:	I don't know anything about it either.
context: The name of our team is Little Busters.\It'll be a lot of fun if you join!\Really?\And you'll get some muscles on you if you play, too.\But...\I don't know anything about baseball.\That's okay.\I don't know anything about it either. response:	I have no clue what I'm doing!
context: It'll be a lot of fun if you join!\Really?\And you'll get some muscles on you if you play, too.\But...\I don't know anything about baseball.\That's okay.\I don't know anything about it either.\I have no clue what I'm doing! response:	These two make a good case for it.
context: Really?\And you'll get some muscles on you if you play, too.\But...\I don't know anything about baseball.\That's okay.\I don't know anything about it either.\I have no clue what I'm doing!\These two make a good case for it. response:	Either way, how about giving it a try, Noumi?
context: And you'll get some muscles on you if you play, too.\But...\I don't know anything about baseball.\That's okay.\I don't know anything about it either.\I have no clue what I'm doing!\These two make a good case for it.\Either way, how about giving it a try, Noumi? response:	Okay!
context: But...\I don't know anything about baseball.\That's okay.\I don't know anything about it either.\I have no clue what I'm doing!\These two make a good case for it.\Either way, how about giving it a try, Noumi?\Okay! response:	So I catch the ball with this?
context: I don't know anything about baseball.\That's okay.\I don't know anything about it either.\I have no clue what I'm doing!\These two make a good case for it.\Either way, how about giving it a try, Noumi?\Okay!\So I catch the ball with this? response:	That's right.
context: That's okay.\I don't know anything about it either.\I have no clue what I'm doing!\These two make a good case for it.\Either way, how about giving it a try, Noumi?\Okay!\So I catch the ball with this?\That's right. response:	Just catch it like you did with the frisbee earlier.
context: I don't know anything about it either.\I have no clue what I'm doing!\These two make a good case for it.\Either way, how about giving it a try, Noumi?\Okay!\So I catch the ball with this?\That's right.\Just catch it like you did with the frisbee earlier. response:	Okay.
context: I have no clue what I'm doing!\These two make a good case for it.\Either way, how about giving it a try, Noumi?\Okay!\So I catch the ball with this?\That's right.\Just catch it like you did with the frisbee earlier.\Okay. response:	Now then, Noumi. Get out there.
context: These two make a good case for it.\Either way, how about giving it a try, Noumi?\Okay!\So I catch the ball with this?\That's right.\Just catch it like you did with the frisbee earlier.\Okay.\Now then, Noumi. Get out there. response:	Roger!
context: Either way, how about giving it a try, Noumi?\Okay!\So I catch the ball with this?\That's right.\Just catch it like you did with the frisbee earlier.\Okay.\Now then, Noumi. Get out there.\Roger! response:	Should we try with her a bit farther away, Kyousuke?
context: Okay!\So I catch the ball with this?\That's right.\Just catch it like you did with the frisbee earlier.\Okay.\Now then, Noumi. Get out there.\Roger!\Should we try with her a bit farther away, Kyousuke? response:	Yeah, you're right.
context: So I catch the ball with this?\That's right.\Just catch it like you did with the frisbee earlier.\Okay.\Now then, Noumi. Get out there.\Roger!\Should we try with her a bit farther away, Kyousuke?\Yeah, you're right. response:	A bit farther back and to my right!
context: That's right.\Just catch it like you did with the frisbee earlier.\Okay.\Now then, Noumi. Get out there.\Roger!\Should we try with her a bit farther away, Kyousuke?\Yeah, you're right.\A bit farther back and to my right! response:	Roger!
context: Just catch it like you did with the frisbee earlier.\Okay.\Now then, Noumi. Get out there.\Roger!\Should we try with her a bit farther away, Kyousuke?\Yeah, you're right.\A bit farther back and to my right!\Roger! response:	Um... Naoe-san!
context: Okay.\Now then, Noumi. Get out there.\Roger!\Should we try with her a bit farther away, Kyousuke?\Yeah, you're right.\A bit farther back and to my right!\Roger!\Um... Naoe-san! response:	Did my Roger just now sound native?
context: Now then, Noumi. Get out there.\Roger!\Should we try with her a bit farther away, Kyousuke?\Yeah, you're right.\A bit farther back and to my right!\Roger!\Um... Naoe-san!\Did my Roger just now sound native? response:	Huh?
context: Roger!\Should we try with her a bit farther away, Kyousuke?\Yeah, you're right.\A bit farther back and to my right!\Roger!\Um... Naoe-san!\Did my Roger just now sound native?\Huh? response:	Uh... Yeah, maybe.
context: Should we try with her a bit farther away, Kyousuke?\Yeah, you're right.\A bit farther back and to my right!\Roger!\Um... Naoe-san!\Did my Roger just now sound native?\Huh?\Uh... Yeah, maybe. response:	Wafuu!
context: Yeah, you're right.\A bit farther back and to my right!\Roger!\Um... Naoe-san!\Did my Roger just now sound native?\Huh?\Uh... Yeah, maybe.\Wafuu! response:	Man, she's like a little dog...
context: A bit farther back and to my right!\Roger!\Um... Naoe-san!\Did my Roger just now sound native?\Huh?\Uh... Yeah, maybe.\Wafuu!\Man, she's like a little dog... response:	Yeah.
context: Roger!\Um... Naoe-san!\Did my Roger just now sound native?\Huh?\Uh... Yeah, maybe.\Wafuu!\Man, she's like a little dog...\Yeah. response:	All right! Let's get started!
context: Um... Naoe-san!\Did my Roger just now sound native?\Huh?\Uh... Yeah, maybe.\Wafuu!\Man, she's like a little dog...\Yeah.\All right! Let's get started! response:	Wow, she's amazing!
context: Did my Roger just now sound native?\Huh?\Uh... Yeah, maybe.\Wafuu!\Man, she's like a little dog...\Yeah.\All right! Let's get started!\Wow, she's amazing! response:	Didn't expect that...
context: Huh?\Uh... Yeah, maybe.\Wafuu!\Man, she's like a little dog...\Yeah.\All right! Let's get started!\Wow, she's amazing!\Didn't expect that... response:	She's good!
context: Uh... Yeah, maybe.\Wafuu!\Man, she's like a little dog...\Yeah.\All right! Let's get started!\Wow, she's amazing!\Didn't expect that...\She's good! response:	It seems we've found a diamond in the rough.
context: Wafuu!\Man, she's like a little dog...\Yeah.\All right! Let's get started!\Wow, she's amazing!\Didn't expect that...\She's good!\It seems we've found a diamond in the rough. response:	Kud, you're in!
context: Man, she's like a little dog...\Yeah.\All right! Let's get started!\Wow, she's amazing!\Didn't expect that...\She's good!\It seems we've found a diamond in the rough.\Kud, you're in! response:	Really?
context: Yeah.\All right! Let's get started!\Wow, she's amazing!\Didn't expect that...\She's good!\It seems we've found a diamond in the rough.\Kud, you're in!\Really? response:	Yeah.
context: All right! Let's get started!\Wow, she's amazing!\Didn't expect that...\She's good!\It seems we've found a diamond in the rough.\Kud, you're in!\Really?\Yeah. response:	Starting today, Noumi Kudryavka is a member of the Little Busters.
context: Wow, she's amazing!\Didn't expect that...\She's good!\It seems we've found a diamond in the rough.\Kud, you're in!\Really?\Yeah.\Starting today, Noumi Kudryavka is a member of the Little Busters. response:	Yay! Good job!
context: Didn't expect that...\She's good!\It seems we've found a diamond in the rough.\Kud, you're in!\Really?\Yeah.\Starting today, Noumi Kudryavka is a member of the Little Busters.\Yay! Good job! response:	Friends...
context: She's good!\It seems we've found a diamond in the rough.\Kud, you're in!\Really?\Yeah.\Starting today, Noumi Kudryavka is a member of the Little Busters.\Yay! Good job!\Friends... response:	My first friends since coming to this school...
context: It seems we've found a diamond in the rough.\Kud, you're in!\Really?\Yeah.\Starting today, Noumi Kudryavka is a member of the Little Busters.\Yay! Good job!\Friends...\My first friends since coming to this school... response:	I don't know what to say...
context: Kud, you're in!\Really?\Yeah.\Starting today, Noumi Kudryavka is a member of the Little Busters.\Yay! Good job!\Friends...\My first friends since coming to this school...\I don't know what to say... response:	I hope we can be the best of friends!
context: Really?\Yeah.\Starting today, Noumi Kudryavka is a member of the Little Busters.\Yay! Good job!\Friends...\My first friends since coming to this school...\I don't know what to say...\I hope we can be the best of friends! response:	You got it, Kud-o!
context: Yeah.\Starting today, Noumi Kudryavka is a member of the Little Busters.\Yay! Good job!\Friends...\My first friends since coming to this school...\I don't know what to say...\I hope we can be the best of friends!\You got it, Kud-o! response:	I'm very happy to have another cute girl on our team.
context: Starting today, Noumi Kudryavka is a member of the Little Busters.\Yay! Good job!\Friends...\My first friends since coming to this school...\I don't know what to say...\I hope we can be the best of friends!\You got it, Kud-o!\I'm very happy to have another cute girl on our team. response:	I'm gonna spin you all day long!
context: Yay! Good job!\Friends...\My first friends since coming to this school...\I don't know what to say...\I hope we can be the best of friends!\You got it, Kud-o!\I'm very happy to have another cute girl on our team.\I'm gonna spin you all day long! response:	Spin, spin, spin!
context: Friends...\My first friends since coming to this school...\I don't know what to say...\I hope we can be the best of friends!\You got it, Kud-o!\I'm very happy to have another cute girl on our team.\I'm gonna spin you all day long!\Spin, spin, spin! response:	Hey, stop. Her head's spinning.
context: My first friends since coming to this school...\I don't know what to say...\I hope we can be the best of friends!\You got it, Kud-o!\I'm very happy to have another cute girl on our team.\I'm gonna spin you all day long!\Spin, spin, spin!\Hey, stop. Her head's spinning. response:	Noumi-san!
context: I don't know what to say...\I hope we can be the best of friends!\You got it, Kud-o!\I'm very happy to have another cute girl on our team.\I'm gonna spin you all day long!\Spin, spin, spin!\Hey, stop. Her head's spinning.\Noumi-san! response:	Oh, it's the Resident Assistant!
context: I hope we can be the best of friends!\You got it, Kud-o!\I'm very happy to have another cute girl on our team.\I'm gonna spin you all day long!\Spin, spin, spin!\Hey, stop. Her head's spinning.\Noumi-san!\Oh, it's the Resident Assistant! response:	You have another package!
context: You got it, Kud-o!\I'm very happy to have another cute girl on our team.\I'm gonna spin you all day long!\Spin, spin, spin!\Hey, stop. Her head's spinning.\Noumi-san!\Oh, it's the Resident Assistant!\You have another package! response:	Could you sign for it?
context: I'm very happy to have another cute girl on our team.\I'm gonna spin you all day long!\Spin, spin, spin!\Hey, stop. Her head's spinning.\Noumi-san!\Oh, it's the Resident Assistant!\You have another package!\Could you sign for it? response:	Okay!
context: I'm gonna spin you all day long!\Spin, spin, spin!\Hey, stop. Her head's spinning.\Noumi-san!\Oh, it's the Resident Assistant!\You have another package!\Could you sign for it?\Okay! response:	It must be another package from Grandpa.
context: Spin, spin, spin!\Hey, stop. Her head's spinning.\Noumi-san!\Oh, it's the Resident Assistant!\You have another package!\Could you sign for it?\Okay!\It must be another package from Grandpa. response:	I'll be going now!
context: Hey, stop. Her head's spinning.\Noumi-san!\Oh, it's the Resident Assistant!\You have another package!\Could you sign for it?\Okay!\It must be another package from Grandpa.\I'll be going now! response:	Need any help?
context: Noumi-san!\Oh, it's the Resident Assistant!\You have another package!\Could you sign for it?\Okay!\It must be another package from Grandpa.\I'll be going now!\Need any help? response:	No, I'll be fine!
context: Oh, it's the Resident Assistant!\You have another package!\Could you sign for it?\Okay!\It must be another package from Grandpa.\I'll be going now!\Need any help?\No, I'll be fine! response:	I knew it.
context: You have another package!\Could you sign for it?\Okay!\It must be another package from Grandpa.\I'll be going now!\Need any help?\No, I'll be fine!\I knew it. response:	She's not fine at all.
context: Could you sign for it?\Okay!\It must be another package from Grandpa.\I'll be going now!\Need any help?\No, I'll be fine!\I knew it.\She's not fine at all. response:	Yeah.
context: Okay!\It must be another package from Grandpa.\I'll be going now!\Need any help?\No, I'll be fine!\I knew it.\She's not fine at all.\Yeah. response:	Let us help you with that, Kud-o.
context: It must be another package from Grandpa.\I'll be going now!\Need any help?\No, I'll be fine!\I knew it.\She's not fine at all.\Yeah.\Let us help you with that, Kud-o. response:	Th-Thank you!
context: I'll be going now!\Need any help?\No, I'll be fine!\I knew it.\She's not fine at all.\Yeah.\Let us help you with that, Kud-o.\Th-Thank you! response:	May I help you?
context: Need any help?\No, I'll be fine!\I knew it.\She's not fine at all.\Yeah.\Let us help you with that, Kud-o.\Th-Thank you!\May I help you? response:	No, um, that's what we're supposed to say.
context: No, I'll be fine!\I knew it.\She's not fine at all.\Yeah.\Let us help you with that, Kud-o.\Th-Thank you!\May I help you?\No, um, that's what we're supposed to say. response:	Um...
context: I knew it.\She's not fine at all.\Yeah.\Let us help you with that, Kud-o.\Th-Thank you!\May I help you?\No, um, that's what we're supposed to say.\Um... response:	In this case, it's...
context: She's not fine at all.\Yeah.\Let us help you with that, Kud-o.\Th-Thank you!\May I help you?\No, um, that's what we're supposed to say.\Um...\In this case, it's... response:	Help me!
