context: In the northern area... response:	Multiple Ashikabis and Sekireis are moving suspiciously...
context: Ah, that's better.\Hey, did the Discipline Squad exist before I became an Ashikabi?\Yes, it did. It was only two of us then, though...\The Sekirei of Fate, Number 08, Yume.\An individual Sekirei larva was stolen by underground operatives!\Retrieve it without fail!\The Sekirei engine was destroyed.\That chick's done. response:	My unfulfilled wish...
context: Hey, did the Discipline Squad exist before I became an Ashikabi?\Yes, it did. It was only two of us then, though...\The Sekirei of Fate, Number 08, Yume.\An individual Sekirei larva was stolen by underground operatives!\Retrieve it without fail!\The Sekirei engine was destroyed.\That chick's done.\My unfulfilled wish... response:	I ask you to realize it for me.
context: Yes, it did. It was only two of us then, though...\The Sekirei of Fate, Number 08, Yume.\An individual Sekirei larva was stolen by underground operatives!\Retrieve it without fail!\The Sekirei engine was destroyed.\That chick's done.\My unfulfilled wish...\I ask you to realize it for me. response:	Someday, you will spread your wings,
context: The Sekirei of Fate, Number 08, Yume.\An individual Sekirei larva was stolen by underground operatives!\Retrieve it without fail!\The Sekirei engine was destroyed.\That chick's done.\My unfulfilled wish...\I ask you to realize it for me.\Someday, you will spread your wings, response:	and meet your destined one somewhere in this world,
context: An individual Sekirei larva was stolen by underground operatives!\Retrieve it without fail!\The Sekirei engine was destroyed.\That chick's done.\My unfulfilled wish...\I ask you to realize it for me.\Someday, you will spread your wings,\and meet your destined one somewhere in this world, response:	then fall in love.
context: Retrieve it without fail!\The Sekirei engine was destroyed.\That chick's done.\My unfulfilled wish...\I ask you to realize it for me.\Someday, you will spread your wings,\and meet your destined one somewhere in this world,\then fall in love. response:	Yume.
context: The Sekirei engine was destroyed.\That chick's done.\My unfulfilled wish...\I ask you to realize it for me.\Someday, you will spread your wings,\and meet your destined one somewhere in this world,\then fall in love.\Yume. response:	You can't mean to...
context: That chick's done.\My unfulfilled wish...\I ask you to realize it for me.\Someday, you will spread your wings,\and meet your destined one somewhere in this world,\then fall in love.\Yume.\You can't mean to... response:	Stop messing around!
context: My unfulfilled wish...\I ask you to realize it for me.\Someday, you will spread your wings,\and meet your destined one somewhere in this world,\then fall in love.\Yume.\You can't mean to...\Stop messing around! response:	Was that other Sekirei strong, then?
context: I ask you to realize it for me.\Someday, you will spread your wings,\and meet your destined one somewhere in this world,\then fall in love.\Yume.\You can't mean to...\Stop messing around!\Was that other Sekirei strong, then? response:	She was in the Discipline Squad...
context: Someday, you will spread your wings,\and meet your destined one somewhere in this world,\then fall in love.\Yume.\You can't mean to...\Stop messing around!\Was that other Sekirei strong, then?\She was in the Discipline Squad... response:	Yeah, she was strong.
context: and meet your destined one somewhere in this world,\then fall in love.\Yume.\You can't mean to...\Stop messing around!\Was that other Sekirei strong, then?\She was in the Discipline Squad...\Yeah, she was strong. response:	Then it's a shame she's dead.
context: then fall in love.\Yume.\You can't mean to...\Stop messing around!\Was that other Sekirei strong, then?\She was in the Discipline Squad...\Yeah, she was strong.\Then it's a shame she's dead. response:	Yes, it's a shame indeed.
context: Yume.\You can't mean to...\Stop messing around!\Was that other Sekirei strong, then?\She was in the Discipline Squad...\Yeah, she was strong.\Then it's a shame she's dead.\Yes, it's a shame indeed. response:	I was going to kill her with my own hands...
context: You can't mean to...\Stop messing around!\Was that other Sekirei strong, then?\She was in the Discipline Squad...\Yeah, she was strong.\Then it's a shame she's dead.\Yes, it's a shame indeed.\I was going to kill her with my own hands... response:	I wonder if Mu-chan can survive tonight.
context: Stop messing around!\Was that other Sekirei strong, then?\She was in the Discipline Squad...\Yeah, she was strong.\Then it's a shame she's dead.\Yes, it's a shame indeed.\I was going to kill her with my own hands...\I wonder if Mu-chan can survive tonight. response:	Now my life is blooming then falling
context: Was that other Sekirei strong, then?\She was in the Discipline Squad...\Yeah, she was strong.\Then it's a shame she's dead.\Yes, it's a shame indeed.\I was going to kill her with my own hands...\I wonder if Mu-chan can survive tonight.\Now my life is blooming then falling response:	I grab destiny tight
context: She was in the Discipline Squad...\Yeah, she was strong.\Then it's a shame she's dead.\Yes, it's a shame indeed.\I was going to kill her with my own hands...\I wonder if Mu-chan can survive tonight.\Now my life is blooming then falling\I grab destiny tight response:	There's no more hesitation anymore
context: Yeah, she was strong.\Then it's a shame she's dead.\Yes, it's a shame indeed.\I was going to kill her with my own hands...\I wonder if Mu-chan can survive tonight.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore response:	Tying our bond
context: Then it's a shame she's dead.\Yes, it's a shame indeed.\I was going to kill her with my own hands...\I wonder if Mu-chan can survive tonight.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond response:	To the sky waiting for the dawn
context: Yes, it's a shame indeed.\I was going to kill her with my own hands...\I wonder if Mu-chan can survive tonight.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn response:	Holding you, my love, tightly
context: I was going to kill her with my own hands...\I wonder if Mu-chan can survive tonight.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly response:	I present an unbreakable prayer
context: I wonder if Mu-chan can survive tonight.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer response:	We all are still in the darkness
context: Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness response:	Right now I just
context: I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just response:	Want to touch you deep in your heart
context: There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart response:	And give you all of my overflowing passion
context: Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion response:	I spread out my wings
context: To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings response:	Toward the future of our dreams
context: Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams response:	On them are engraved
context: I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved response:	The feeling you gave me that day
context: We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day response:	The words of our oath
context: Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath response:	Will make a miracle happen
context: Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen response:	My pounding heart, take off now!
context: And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now! response:	My wish can fly high, high up
context: I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up response:	Feather 11: The Sekirei Symbol Disappears
context: Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 11: The Sekirei Symbol Disappears response:	Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!
context: On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 11: The Sekirei Symbol Disappears\Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind! response:	Ah, what a pleasant wind!
context: The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 11: The Sekirei Symbol Disappears\Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!\Ah, what a pleasant wind! response:	It's just right for the romantic departure of the young.
context: The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 11: The Sekirei Symbol Disappears\Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!\Ah, what a pleasant wind!\It's just right for the romantic departure of the young. response:	Are you observing, too?
context: Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 11: The Sekirei Symbol Disappears\Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!\Ah, what a pleasant wind!\It's just right for the romantic departure of the young.\Are you observing, too? response:	As the Guardian of Sekireis, I'd like to see the whole story
context: My pounding heart, take off now!\My wish can fly high, high up\Feather 11: The Sekirei Symbol Disappears\Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!\Ah, what a pleasant wind!\It's just right for the romantic departure of the young.\Are you observing, too?\As the Guardian of Sekireis, I'd like to see the whole story response:	of this violation of our rule.
context: My wish can fly high, high up\Feather 11: The Sekirei Symbol Disappears\Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!\Ah, what a pleasant wind!\It's just right for the romantic departure of the young.\Are you observing, too?\As the Guardian of Sekireis, I'd like to see the whole story\of this violation of our rule. response:	Don't you need to help them?
context: Feather 11: The Sekirei Symbol Disappears\Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!\Ah, what a pleasant wind!\It's just right for the romantic departure of the young.\Are you observing, too?\As the Guardian of Sekireis, I'd like to see the whole story\of this violation of our rule.\Don't you need to help them? response:	You seemed to be quite excited last night.
context: Feather 11: The Sekirei Symbol Disappears Ah, what a pleasant wind!\Ah, what a pleasant wind!\It's just right for the romantic departure of the young.\Are you observing, too?\As the Guardian of Sekireis, I'd like to see the whole story\of this violation of our rule.\Don't you need to help them?\You seemed to be quite excited last night. response:	That's because if I go out to help, I can't watch.
context: Ah, what a pleasant wind!\It's just right for the romantic departure of the young.\Are you observing, too?\As the Guardian of Sekireis, I'd like to see the whole story\of this violation of our rule.\Don't you need to help them?\You seemed to be quite excited last night.\That's because if I go out to help, I can't watch. response:	You can't watch?
context: It's just right for the romantic departure of the young.\Are you observing, too?\As the Guardian of Sekireis, I'd like to see the whole story\of this violation of our rule.\Don't you need to help them?\You seemed to be quite excited last night.\That's because if I go out to help, I can't watch.\You can't watch? response:	That boy...
context: Are you observing, too?\As the Guardian of Sekireis, I'd like to see the whole story\of this violation of our rule.\Don't you need to help them?\You seemed to be quite excited last night.\That's because if I go out to help, I can't watch.\You can't watch?\That boy... response:	What will he show me?
context: As the Guardian of Sekireis, I'd like to see the whole story\of this violation of our rule.\Don't you need to help them?\You seemed to be quite excited last night.\That's because if I go out to help, I can't watch.\You can't watch?\That boy...\What will he show me? response:	The plan goes like this.
context: of this violation of our rule.\Don't you need to help them?\You seemed to be quite excited last night.\That's because if I go out to help, I can't watch.\You can't watch?\That boy...\What will he show me?\The plan goes like this. response:	Matsu can only hack the surveillance satellites for about an hour.
context: Don't you need to help them?\You seemed to be quite excited last night.\That's because if I go out to help, I can't watch.\You can't watch?\That boy...\What will he show me?\The plan goes like this.\Matsu can only hack the surveillance satellites for about an hour. response:	That means we must be done within an hour of commencing the plan.
context: You seemed to be quite excited last night.\That's because if I go out to help, I can't watch.\You can't watch?\That boy...\What will he show me?\The plan goes like this.\Matsu can only hack the surveillance satellites for about an hour.\That means we must be done within an hour of commencing the plan. response:	You'll make a fuss at the checkpoint on the bridge and attract their attention.
context: That's because if I go out to help, I can't watch.\You can't watch?\That boy...\What will he show me?\The plan goes like this.\Matsu can only hack the surveillance satellites for about an hour.\That means we must be done within an hour of commencing the plan.\You'll make a fuss at the checkpoint on the bridge and attract their attention. response:	Danger Keep Out
context: You can't watch?\That boy...\What will he show me?\The plan goes like this.\Matsu can only hack the surveillance satellites for about an hour.\That means we must be done within an hour of commencing the plan.\You'll make a fuss at the checkpoint on the bridge and attract their attention.\Danger Keep Out response:	Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,
context: That boy...\What will he show me?\The plan goes like this.\Matsu can only hack the surveillance satellites for about an hour.\That means we must be done within an hour of commencing the plan.\You'll make a fuss at the checkpoint on the bridge and attract their attention.\Danger Keep Out\Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation, response:	Meanwhile, we'll hit the railroad's electric power substation,
context: What will he show me?\The plan goes like this.\Matsu can only hack the surveillance satellites for about an hour.\That means we must be done within an hour of commencing the plan.\You'll make a fuss at the checkpoint on the bridge and attract their attention.\Danger Keep Out\Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,\Meanwhile, we'll hit the railroad's electric power substation, response:	- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,
context: The plan goes like this.\Matsu can only hack the surveillance satellites for about an hour.\That means we must be done within an hour of commencing the plan.\You'll make a fuss at the checkpoint on the bridge and attract their attention.\Danger Keep Out\Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,\Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation, response:	- This is so boring... - We have no choice. It's part of the plan. And stop the trains.
context: Matsu can only hack the surveillance satellites for about an hour.\That means we must be done within an hour of commencing the plan.\You'll make a fuss at the checkpoint on the bridge and attract their attention.\Danger Keep Out\Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,\Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. And stop the trains. response:	Enough to so they can't resume service for a while.
context: That means we must be done within an hour of commencing the plan.\You'll make a fuss at the checkpoint on the bridge and attract their attention.\Danger Keep Out\Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,\Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. And stop the trains.\Enough to so they can't resume service for a while. response:	Take that chance to run along the rail track to escape.
context: You'll make a fuss at the checkpoint on the bridge and attract their attention.\Danger Keep Out\Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,\Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. And stop the trains.\Enough to so they can't resume service for a while.\Take that chance to run along the rail track to escape. response:	Five seconds left.
context: Danger Keep Out\Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,\Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. And stop the trains.\Enough to so they can't resume service for a while.\Take that chance to run along the rail track to escape.\Five seconds left. response:	Four.
context: Danger Keep Out Meanwhile, we'll hit the railroad's electric power substation,\Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. And stop the trains.\Enough to so they can't resume service for a while.\Take that chance to run along the rail track to escape.\Five seconds left.\Four. response:	Three.
context: Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. And stop the trains.\Enough to so they can't resume service for a while.\Take that chance to run along the rail track to escape.\Five seconds left.\Four.\Three. response:	Two.
context: - This is so boring... - We have no choice. It's part of the plan. Meanwhile, we'll hit the railroad's electric power substation,\- This is so boring... - We have no choice. It's part of the plan. And stop the trains.\Enough to so they can't resume service for a while.\Take that chance to run along the rail track to escape.\Five seconds left.\Four.\Three.\Two. response:	One.
context: - This is so boring... - We have no choice. It's part of the plan. And stop the trains.\Enough to so they can't resume service for a while.\Take that chance to run along the rail track to escape.\Five seconds left.\Four.\Three.\Two.\One. response:	Commence the operation!
context: Enough to so they can't resume service for a while.\Take that chance to run along the rail track to escape.\Five seconds left.\Four.\Three.\Two.\One.\Commence the operation! response:	Musubi-chan!
context: Take that chance to run along the rail track to escape.\Five seconds left.\Four.\Three.\Two.\One.\Commence the operation!\Musubi-chan! response:	Yes!
context: Five seconds left.\Four.\Three.\Two.\One.\Commence the operation!\Musubi-chan!\Yes! response:	Let's go!
context: Four.\Three.\Two.\One.\Commence the operation!\Musubi-chan!\Yes!\Let's go! response:	It's time.
context: Three.\Two.\One.\Commence the operation!\Musubi-chan!\Yes!\Let's go!\It's time. response:	Now, go!
context: Two.\One.\Commence the operation!\Musubi-chan!\Yes!\Let's go!\It's time.\Now, go! response:	Thunderstorm of our pact, destroy our Ashikabi's misfortune!
context: One.\Commence the operation!\Musubi-chan!\Yes!\Let's go!\It's time.\Now, go!\Thunderstorm of our pact, destroy our Ashikabi's misfortune! response:	God's Song!
context: Commence the operation!\Musubi-chan!\Yes!\Let's go!\It's time.\Now, go!\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\God's Song! response:	What was that?
context: Musubi-chan!\Yes!\Let's go!\It's time.\Now, go!\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\God's Song!\What was that? response:	What are you doing here so late all alone?
context: Yes!\Let's go!\It's time.\Now, go!\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\God's Song!\What was that?\What are you doing here so late all alone? response:	Where is your mom or dad?
context: Let's go!\It's time.\Now, go!\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\God's Song!\What was that?\What are you doing here so late all alone?\Where is your mom or dad? response:	No...
context: It's time.\Now, go!\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\God's Song!\What was that?\What are you doing here so late all alone?\Where is your mom or dad?\No... response:	Wait! She's on the checklist!
context: Now, go!\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\God's Song!\What was that?\What are you doing here so late all alone?\Where is your mom or dad?\No...\Wait! She's on the checklist! response:	She's a Sekirei!
context: Thunderstorm of our pact, destroy our Ashikabi's misfortune!\God's Song!\What was that?\What are you doing here so late all alone?\Where is your mom or dad?\No...\Wait! She's on the checklist!\She's a Sekirei! response:	What happened?!
context: God's Song!\What was that?\What are you doing here so late all alone?\Where is your mom or dad?\No...\Wait! She's on the checklist!\She's a Sekirei!\What happened?! response:	What are these?!
context: What was that?\What are you doing here so late all alone?\Where is your mom or dad?\No...\Wait! She's on the checklist!\She's a Sekirei!\What happened?!\What are these?! response:	That's amazing, Ku-chan!
context: What are you doing here so late all alone?\Where is your mom or dad?\No...\Wait! She's on the checklist!\She's a Sekirei!\What happened?!\What are these?!\That's amazing, Ku-chan! response:	Hey!
context: Where is your mom or dad?\No...\Wait! She's on the checklist!\She's a Sekirei!\What happened?!\What are these?!\That's amazing, Ku-chan!\Hey! response:	Yeah?
context: No...\Wait! She's on the checklist!\She's a Sekirei!\What happened?!\What are these?!\That's amazing, Ku-chan!\Hey!\Yeah? response:	This has become a really big deal.
context: Wait! She's on the checklist!\She's a Sekirei!\What happened?!\What are these?!\That's amazing, Ku-chan!\Hey!\Yeah?\This has become a really big deal. response:	Are you sure it's all right to do this for us?
context: She's a Sekirei!\What happened?!\What are these?!\That's amazing, Ku-chan!\Hey!\Yeah?\This has become a really big deal.\Are you sure it's all right to do this for us? response:	We no longer have a choice, now that we've come this far.
context: What happened?!\What are these?!\That's amazing, Ku-chan!\Hey!\Yeah?\This has become a really big deal.\Are you sure it's all right to do this for us?\We no longer have a choice, now that we've come this far. response:	Sahashi, you might be an incredible guy.
context: What are these?!\That's amazing, Ku-chan!\Hey!\Yeah?\This has become a really big deal.\Are you sure it's all right to do this for us?\We no longer have a choice, now that we've come this far.\Sahashi, you might be an incredible guy. response:	What? Why?
context: That's amazing, Ku-chan!\Hey!\Yeah?\This has become a really big deal.\Are you sure it's all right to do this for us?\We no longer have a choice, now that we've come this far.\Sahashi, you might be an incredible guy.\What? Why? response:	They're doing things in a pretty flashy manner.
context: Hey!\Yeah?\This has become a really big deal.\Are you sure it's all right to do this for us?\We no longer have a choice, now that we've come this far.\Sahashi, you might be an incredible guy.\What? Why?\They're doing things in a pretty flashy manner. response:	You know what they say: Fires and fights are the highlights of the capital.
context: Yeah?\This has become a really big deal.\Are you sure it's all right to do this for us?\We no longer have a choice, now that we've come this far.\Sahashi, you might be an incredible guy.\What? Why?\They're doing things in a pretty flashy manner.\You know what they say: Fires and fights are the highlights of the capital. response:	Oh my!
context: This has become a really big deal.\Are you sure it's all right to do this for us?\We no longer have a choice, now that we've come this far.\Sahashi, you might be an incredible guy.\What? Why?\They're doing things in a pretty flashy manner.\You know what they say: Fires and fights are the highlights of the capital.\Oh my! response:	It appears the winds have changed.
context: Are you sure it's all right to do this for us?\We no longer have a choice, now that we've come this far.\Sahashi, you might be an incredible guy.\What? Why?\They're doing things in a pretty flashy manner.\You know what they say: Fires and fights are the highlights of the capital.\Oh my!\It appears the winds have changed. response:	I've just gotten a report that the surveillance satellite system's gone down.
context: We no longer have a choice, now that we've come this far.\Sahashi, you might be an incredible guy.\What? Why?\They're doing things in a pretty flashy manner.\You know what they say: Fires and fights are the highlights of the capital.\Oh my!\It appears the winds have changed.\I've just gotten a report that the surveillance satellite system's gone down. response:	It's me.
context: Sahashi, you might be an incredible guy.\What? Why?\They're doing things in a pretty flashy manner.\You know what they say: Fires and fights are the highlights of the capital.\Oh my!\It appears the winds have changed.\I've just gotten a report that the surveillance satellite system's gone down.\It's me. response:	An explosion at the substation?
context: What? Why?\They're doing things in a pretty flashy manner.\You know what they say: Fires and fights are the highlights of the capital.\Oh my!\It appears the winds have changed.\I've just gotten a report that the surveillance satellite system's gone down.\It's me.\An explosion at the substation? response:	Don't panic. Report on the situation!
context: They're doing things in a pretty flashy manner.\You know what they say: Fires and fights are the highlights of the capital.\Oh my!\It appears the winds have changed.\I've just gotten a report that the surveillance satellite system's gone down.\It's me.\An explosion at the substation?\Don't panic. Report on the situation! response:	Excuse me, but I'll contact you later.
context: You know what they say: Fires and fights are the highlights of the capital.\Oh my!\It appears the winds have changed.\I've just gotten a report that the surveillance satellite system's gone down.\It's me.\An explosion at the substation?\Don't panic. Report on the situation!\Excuse me, but I'll contact you later. response:	The checkpoint at the north block...
context: Oh my!\It appears the winds have changed.\I've just gotten a report that the surveillance satellite system's gone down.\It's me.\An explosion at the substation?\Don't panic. Report on the situation!\Excuse me, but I'll contact you later.\The checkpoint at the north block... response:	What?
context: It appears the winds have changed.\I've just gotten a report that the surveillance satellite system's gone down.\It's me.\An explosion at the substation?\Don't panic. Report on the situation!\Excuse me, but I'll contact you later.\The checkpoint at the north block...\What? response:	You bastard, how could you!
context: I've just gotten a report that the surveillance satellite system's gone down.\It's me.\An explosion at the substation?\Don't panic. Report on the situation!\Excuse me, but I'll contact you later.\The checkpoint at the north block...\What?\You bastard, how could you! response:	You knew it from the start!
context: It's me.\An explosion at the substation?\Don't panic. Report on the situation!\Excuse me, but I'll contact you later.\The checkpoint at the north block...\What?\You bastard, how could you!\You knew it from the start! response:	Takami-kun, I'm the Game Master.
context: An explosion at the substation?\Don't panic. Report on the situation!\Excuse me, but I'll contact you later.\The checkpoint at the north block...\What?\You bastard, how could you!\You knew it from the start!\Takami-kun, I'm the Game Master. response:	Games are more exciting when the players make improvised moves.
context: Don't panic. Report on the situation!\Excuse me, but I'll contact you later.\The checkpoint at the north block...\What?\You bastard, how could you!\You knew it from the start!\Takami-kun, I'm the Game Master.\Games are more exciting when the players make improvised moves. response:	As the Game Master,
context: Excuse me, but I'll contact you later.\The checkpoint at the north block...\What?\You bastard, how could you!\You knew it from the start!\Takami-kun, I'm the Game Master.\Games are more exciting when the players make improvised moves.\As the Game Master, response:	I have but to enjoy it.
context: The checkpoint at the north block...\What?\You bastard, how could you!\You knew it from the start!\Takami-kun, I'm the Game Master.\Games are more exciting when the players make improvised moves.\As the Game Master,\I have but to enjoy it. response:	Trains on all the lines have stopped.
context: What?\You bastard, how could you!\You knew it from the start!\Takami-kun, I'm the Game Master.\Games are more exciting when the players make improvised moves.\As the Game Master,\I have but to enjoy it.\Trains on all the lines have stopped. response:	Good! How about the checkpoint?
context: You bastard, how could you!\You knew it from the start!\Takami-kun, I'm the Game Master.\Games are more exciting when the players make improvised moves.\As the Game Master,\I have but to enjoy it.\Trains on all the lines have stopped.\Good! How about the checkpoint? response:	Kusano-tan's diversionary tactic is also succe...
context: You knew it from the start!\Takami-kun, I'm the Game Master.\Games are more exciting when the players make improvised moves.\As the Game Master,\I have but to enjoy it.\Trains on all the lines have stopped.\Good! How about the checkpoint?\Kusano-tan's diversionary tactic is also succe... response:	That's strange.
