context: Sorry. response:	What?
context: What is this place?\Yahiro?\Who's that sleeping there?\He's Yahiro's younger brother. His name is Samukawa Jun.\Is it your first time seeing that?\It's what an Apocalyse Virus patient looks like when he reaches Stage IV.\Among other things, this is a cutting-edge facility for providing relief\to those who were infected in an unforeseen accident response:	or developed symptoms because the vaccine didn't agree with them.
context: Yahiro?\Who's that sleeping there?\He's Yahiro's younger brother. His name is Samukawa Jun.\Is it your first time seeing that?\It's what an Apocalyse Virus patient looks like when he reaches Stage IV.\Among other things, this is a cutting-edge facility for providing relief\to those who were infected in an unforeseen accident\or developed symptoms because the vaccine didn't agree with them. response:	Ten years ago, the Apocalypse Virus pandemic
context: Who's that sleeping there?\He's Yahiro's younger brother. His name is Samukawa Jun.\Is it your first time seeing that?\It's what an Apocalyse Virus patient looks like when he reaches Stage IV.\Among other things, this is a cutting-edge facility for providing relief\to those who were infected in an unforeseen accident\or developed symptoms because the vaccine didn't agree with them.\Ten years ago, the Apocalypse Virus pandemic response:	and the violent riot that arose from it, Lost Christmas,
context: He's Yahiro's younger brother. His name is Samukawa Jun.\Is it your first time seeing that?\It's what an Apocalyse Virus patient looks like when he reaches Stage IV.\Among other things, this is a cutting-edge facility for providing relief\to those who were infected in an unforeseen accident\or developed symptoms because the vaccine didn't agree with them.\Ten years ago, the Apocalypse Virus pandemic\and the violent riot that arose from it, Lost Christmas, response:	spread disorder throughout this country.
context: Is it your first time seeing that?\It's what an Apocalyse Virus patient looks like when he reaches Stage IV.\Among other things, this is a cutting-edge facility for providing relief\to those who were infected in an unforeseen accident\or developed symptoms because the vaccine didn't agree with them.\Ten years ago, the Apocalypse Virus pandemic\and the violent riot that arose from it, Lost Christmas,\spread disorder throughout this country. response:	We at GHQ managed to successfully bring the outbreak under control
context: It's what an Apocalyse Virus patient looks like when he reaches Stage IV.\Among other things, this is a cutting-edge facility for providing relief\to those who were infected in an unforeseen accident\or developed symptoms because the vaccine didn't agree with them.\Ten years ago, the Apocalypse Virus pandemic\and the violent riot that arose from it, Lost Christmas,\spread disorder throughout this country.\We at GHQ managed to successfully bring the outbreak under control response:	with the vaccine we later developed,
context: Among other things, this is a cutting-edge facility for providing relief\to those who were infected in an unforeseen accident\or developed symptoms because the vaccine didn't agree with them.\Ten years ago, the Apocalypse Virus pandemic\and the violent riot that arose from it, Lost Christmas,\spread disorder throughout this country.\We at GHQ managed to successfully bring the outbreak under control\with the vaccine we later developed, response:	and the world successfully regained a measure of order at last.
context: to those who were infected in an unforeseen accident\or developed symptoms because the vaccine didn't agree with them.\Ten years ago, the Apocalypse Virus pandemic\and the violent riot that arose from it, Lost Christmas,\spread disorder throughout this country.\We at GHQ managed to successfully bring the outbreak under control\with the vaccine we later developed,\and the world successfully regained a measure of order at last. response:	That is why I can't forgive Undertaker
context: or developed symptoms because the vaccine didn't agree with them.\Ten years ago, the Apocalypse Virus pandemic\and the violent riot that arose from it, Lost Christmas,\spread disorder throughout this country.\We at GHQ managed to successfully bring the outbreak under control\with the vaccine we later developed,\and the world successfully regained a measure of order at last.\That is why I can't forgive Undertaker response:	for trying to disturb the order we're desperately working to protect.
context: Ten years ago, the Apocalypse Virus pandemic\and the violent riot that arose from it, Lost Christmas,\spread disorder throughout this country.\We at GHQ managed to successfully bring the outbreak under control\with the vaccine we later developed,\and the world successfully regained a measure of order at last.\That is why I can't forgive Undertaker\for trying to disturb the order we're desperately working to protect. response:	Ouma, I don't understand.
context: and the violent riot that arose from it, Lost Christmas,\spread disorder throughout this country.\We at GHQ managed to successfully bring the outbreak under control\with the vaccine we later developed,\and the world successfully regained a measure of order at last.\That is why I can't forgive Undertaker\for trying to disturb the order we're desperately working to protect.\Ouma, I don't understand. response:	Why would a smart boy like you trample on our goodwill?
context: spread disorder throughout this country.\We at GHQ managed to successfully bring the outbreak under control\with the vaccine we later developed,\and the world successfully regained a measure of order at last.\That is why I can't forgive Undertaker\for trying to disturb the order we're desperately working to protect.\Ouma, I don't understand.\Why would a smart boy like you trample on our goodwill? response:	Goodwill, you said?
context: We at GHQ managed to successfully bring the outbreak under control\with the vaccine we later developed,\and the world successfully regained a measure of order at last.\That is why I can't forgive Undertaker\for trying to disturb the order we're desperately working to protect.\Ouma, I don't understand.\Why would a smart boy like you trample on our goodwill?\Goodwill, you said? response:	What kind of goodwill was that?
context: with the vaccine we later developed,\and the world successfully regained a measure of order at last.\That is why I can't forgive Undertaker\for trying to disturb the order we're desperately working to protect.\Ouma, I don't understand.\Why would a smart boy like you trample on our goodwill?\Goodwill, you said?\What kind of goodwill was that? response:	What are you referring to?
context: and the world successfully regained a measure of order at last.\That is why I can't forgive Undertaker\for trying to disturb the order we're desperately working to protect.\Ouma, I don't understand.\Why would a smart boy like you trample on our goodwill?\Goodwill, you said?\What kind of goodwill was that?\What are you referring to? response:	I mean, people were killed right in front of me! By you people!
context: That is why I can't forgive Undertaker\for trying to disturb the order we're desperately working to protect.\Ouma, I don't understand.\Why would a smart boy like you trample on our goodwill?\Goodwill, you said?\What kind of goodwill was that?\What are you referring to?\I mean, people were killed right in front of me! By you people! response:	The people in that fort are unregistered citizens.
context: for trying to disturb the order we're desperately working to protect.\Ouma, I don't understand.\Why would a smart boy like you trample on our goodwill?\Goodwill, you said?\What kind of goodwill was that?\What are you referring to?\I mean, people were killed right in front of me! By you people!\The people in that fort are unregistered citizens. response:	They also refuse regular inoculations.
context: Ouma, I don't understand.\Why would a smart boy like you trample on our goodwill?\Goodwill, you said?\What kind of goodwill was that?\What are you referring to?\I mean, people were killed right in front of me! By you people!\The people in that fort are unregistered citizens.\They also refuse regular inoculations. response:	You could call it a hotbed of contagion.
context: Why would a smart boy like you trample on our goodwill?\Goodwill, you said?\What kind of goodwill was that?\What are you referring to?\I mean, people were killed right in front of me! By you people!\The people in that fort are unregistered citizens.\They also refuse regular inoculations.\You could call it a hotbed of contagion. response:	And that makes it okay to kill them?!
context: Goodwill, you said?\What kind of goodwill was that?\What are you referring to?\I mean, people were killed right in front of me! By you people!\The people in that fort are unregistered citizens.\They also refuse regular inoculations.\You could call it a hotbed of contagion.\And that makes it okay to kill them?! response:	Our soldiers were killed, too.
context: What kind of goodwill was that?\What are you referring to?\I mean, people were killed right in front of me! By you people!\The people in that fort are unregistered citizens.\They also refuse regular inoculations.\You could call it a hotbed of contagion.\And that makes it okay to kill them?!\Our soldiers were killed, too. response:	They have hometowns, just like you.
context: What are you referring to?\I mean, people were killed right in front of me! By you people!\The people in that fort are unregistered citizens.\They also refuse regular inoculations.\You could call it a hotbed of contagion.\And that makes it okay to kill them?!\Our soldiers were killed, too.\They have hometowns, just like you. response:	Do you think they wanted to die on foreign soil?
context: I mean, people were killed right in front of me! By you people!\The people in that fort are unregistered citizens.\They also refuse regular inoculations.\You could call it a hotbed of contagion.\And that makes it okay to kill them?!\Our soldiers were killed, too.\They have hometowns, just like you.\Do you think they wanted to die on foreign soil? response:	But Gai said we were doing that to save the people in the fort!
context: The people in that fort are unregistered citizens.\They also refuse regular inoculations.\You could call it a hotbed of contagion.\And that makes it okay to kill them?!\Our soldiers were killed, too.\They have hometowns, just like you.\Do you think they wanted to die on foreign soil?\But Gai said we were doing that to save the people in the fort! response:	Then why is he trying to free a mass murderer?
context: They also refuse regular inoculations.\You could call it a hotbed of contagion.\And that makes it okay to kill them?!\Our soldiers were killed, too.\They have hometowns, just like you.\Do you think they wanted to die on foreign soil?\But Gai said we were doing that to save the people in the fort!\Then why is he trying to free a mass murderer? response:	The man behind the Sky Tree bombing, Kido Kenji.
context: You could call it a hotbed of contagion.\And that makes it okay to kill them?!\Our soldiers were killed, too.\They have hometowns, just like you.\Do you think they wanted to die on foreign soil?\But Gai said we were doing that to save the people in the fort!\Then why is he trying to free a mass murderer?\The man behind the Sky Tree bombing, Kido Kenji. response:	Undertaker has declared that they will take him from us by force.
context: And that makes it okay to kill them?!\Our soldiers were killed, too.\They have hometowns, just like you.\Do you think they wanted to die on foreign soil?\But Gai said we were doing that to save the people in the fort!\Then why is he trying to free a mass murderer?\The man behind the Sky Tree bombing, Kido Kenji.\Undertaker has declared that they will take him from us by force. response:	Him, not you.
context: Our soldiers were killed, too.\They have hometowns, just like you.\Do you think they wanted to die on foreign soil?\But Gai said we were doing that to save the people in the fort!\Then why is he trying to free a mass murderer?\The man behind the Sky Tree bombing, Kido Kenji.\Undertaker has declared that they will take him from us by force.\Him, not you. response:	Ouma, I'll tell you a little secret.
