context: How beautiful you must have been when you were alive... response:	Midoriko.
context: But...\So where'd you get this Jewel shard?\Now that you know about my Sacred Jewel,\you'd betterhand over that fellow quietly.\Why don't you leave that Jewel shard here\and quietly get lost!\Impudent kid!\Know the might of my power! response:	Nothing to brag about!
context: So where'd you get this Jewel shard?\Now that you know about my Sacred Jewel,\you'd betterhand over that fellow quietly.\Why don't you leave that Jewel shard here\and quietly get lost!\Impudent kid!\Know the might of my power!\Nothing to brag about! response:	Ridiculous... this isn't supposed to happen!
context: Now that you know about my Sacred Jewel,\you'd betterhand over that fellow quietly.\Why don't you leave that Jewel shard here\and quietly get lost!\Impudent kid!\Know the might of my power!\Nothing to brag about!\Ridiculous... this isn't supposed to happen! response:	Huh?
context: you'd betterhand over that fellow quietly.\Why don't you leave that Jewel shard here\and quietly get lost!\Impudent kid!\Know the might of my power!\Nothing to brag about!\Ridiculous... this isn't supposed to happen!\Huh? response:	What's that?
context: Why don't you leave that Jewel shard here\and quietly get lost!\Impudent kid!\Know the might of my power!\Nothing to brag about!\Ridiculous... this isn't supposed to happen!\Huh?\What's that? response:	The Sacred Jewel!
context: and quietly get lost!\Impudent kid!\Know the might of my power!\Nothing to brag about!\Ridiculous... this isn't supposed to happen!\Huh?\What's that?\The Sacred Jewel! response:	Impossible!
context: Impudent kid!\Know the might of my power!\Nothing to brag about!\Ridiculous... this isn't supposed to happen!\Huh?\What's that?\The Sacred Jewel!\Impossible! response:	Huh? What's this?
context: Know the might of my power!\Nothing to brag about!\Ridiculous... this isn't supposed to happen!\Huh?\What's that?\The Sacred Jewel!\Impossible!\Huh? What's this? response:	Inuyasha shattered the Jewel!
context: Nothing to brag about!\Ridiculous... this isn't supposed to happen!\Huh?\What's that?\The Sacred Jewel!\Impossible!\Huh? What's this?\Inuyasha shattered the Jewel! response:	Fool! The Sacred Jewel wouldn't break so easily!
context: Ridiculous... this isn't supposed to happen!\Huh?\What's that?\The Sacred Jewel!\Impossible!\Huh? What's this?\Inuyasha shattered the Jewel!\Fool! The Sacred Jewel wouldn't break so easily! response:	But I sensed the same presence.
context: Huh?\What's that?\The Sacred Jewel!\Impossible!\Huh? What's this?\Inuyasha shattered the Jewel!\Fool! The Sacred Jewel wouldn't break so easily!\But I sensed the same presence. response:	It's an imitation Sacred Jewel.
context: What's that?\The Sacred Jewel!\Impossible!\Huh? What's this?\Inuyasha shattered the Jewel!\Fool! The Sacred Jewel wouldn't break so easily!\But I sensed the same presence.\It's an imitation Sacred Jewel. response:	Huh?!
context: The Sacred Jewel!\Impossible!\Huh? What's this?\Inuyasha shattered the Jewel!\Fool! The Sacred Jewel wouldn't break so easily!\But I sensed the same presence.\It's an imitation Sacred Jewel.\Huh?! response:	There is a demon trying to duplicate the Sacred Jewel.
context: Impossible!\Huh? What's this?\Inuyasha shattered the Jewel!\Fool! The Sacred Jewel wouldn't break so easily!\But I sensed the same presence.\It's an imitation Sacred Jewel.\Huh?!\There is a demon trying to duplicate the Sacred Jewel. response:	What're you talking about?!
context: Huh? What's this?\Inuyasha shattered the Jewel!\Fool! The Sacred Jewel wouldn't break so easily!\But I sensed the same presence.\It's an imitation Sacred Jewel.\Huh?!\There is a demon trying to duplicate the Sacred Jewel.\What're you talking about?! response:	Pardon me, but may I have a drink of water?
context: Inuyasha shattered the Jewel!\Fool! The Sacred Jewel wouldn't break so easily!\But I sensed the same presence.\It's an imitation Sacred Jewel.\Huh?!\There is a demon trying to duplicate the Sacred Jewel.\What're you talking about?!\Pardon me, but may I have a drink of water? response:	Oh...
context: Fool! The Sacred Jewel wouldn't break so easily!\But I sensed the same presence.\It's an imitation Sacred Jewel.\Huh?!\There is a demon trying to duplicate the Sacred Jewel.\What're you talking about?!\Pardon me, but may I have a drink of water?\Oh... response:	Please drink this.
context: But I sensed the same presence.\It's an imitation Sacred Jewel.\Huh?!\There is a demon trying to duplicate the Sacred Jewel.\What're you talking about?!\Pardon me, but may I have a drink of water?\Oh...\Please drink this. response:	Ohh... this is...
context: It's an imitation Sacred Jewel.\Huh?!\There is a demon trying to duplicate the Sacred Jewel.\What're you talking about?!\Pardon me, but may I have a drink of water?\Oh...\Please drink this.\Ohh... this is... response:	such a beautiful water container.
context: Huh?!\There is a demon trying to duplicate the Sacred Jewel.\What're you talking about?!\Pardon me, but may I have a drink of water?\Oh...\Please drink this.\Ohh... this is...\such a beautiful water container. response:	Just who is he?
context: There is a demon trying to duplicate the Sacred Jewel.\What're you talking about?!\Pardon me, but may I have a drink of water?\Oh...\Please drink this.\Ohh... this is...\such a beautiful water container.\Just who is he? response:	My name is Izumo.
context: What're you talking about?!\Pardon me, but may I have a drink of water?\Oh...\Please drink this.\Ohh... this is...\such a beautiful water container.\Just who is he?\My name is Izumo. response:	My family has served as guujifor centuries.
context: Pardon me, but may I have a drink of water?\Oh...\Please drink this.\Ohh... this is...\such a beautiful water container.\Just who is he?\My name is Izumo.\My family has served as guujifor centuries. response:	Guuji? What's that?
context: Oh...\Please drink this.\Ohh... this is...\such a beautiful water container.\Just who is he?\My name is Izumo.\My family has served as guujifor centuries.\Guuji? What's that? response:	Beats me.
context: Please drink this.\Ohh... this is...\such a beautiful water container.\Just who is he?\My name is Izumo.\My family has served as guujifor centuries.\Guuji? What's that?\Beats me. response:	They are shrine keepers. Like my grandfather.
context: Ohh... this is...\such a beautiful water container.\Just who is he?\My name is Izumo.\My family has served as guujifor centuries.\Guuji? What's that?\Beats me.\They are shrine keepers. Like my grandfather. response:	I see! That's why you are a priestess.
context: such a beautiful water container.\Just who is he?\My name is Izumo.\My family has served as guujifor centuries.\Guuji? What's that?\Beats me.\They are shrine keepers. Like my grandfather.\I see! That's why you are a priestess. response:	Go on!
context: Just who is he?\My name is Izumo.\My family has served as guujifor centuries.\Guuji? What's that?\Beats me.\They are shrine keepers. Like my grandfather.\I see! That's why you are a priestess.\Go on! response:	I began my studies in order to better serve the gods.
context: My name is Izumo.\My family has served as guujifor centuries.\Guuji? What's that?\Beats me.\They are shrine keepers. Like my grandfather.\I see! That's why you are a priestess.\Go on!\I began my studies in order to better serve the gods. response:	And I became engrossed in scholarship
context: My family has served as guujifor centuries.\Guuji? What's that?\Beats me.\They are shrine keepers. Like my grandfather.\I see! That's why you are a priestess.\Go on!\I began my studies in order to better serve the gods.\And I became engrossed in scholarship response:	and traveled to many countries to learn, research and record.
context: Guuji? What's that?\Beats me.\They are shrine keepers. Like my grandfather.\I see! That's why you are a priestess.\Go on!\I began my studies in order to better serve the gods.\And I became engrossed in scholarship\and traveled to many countries to learn, research and record. response:	I don't care about you!
context: Beats me.\They are shrine keepers. Like my grandfather.\I see! That's why you are a priestess.\Go on!\I began my studies in order to better serve the gods.\And I became engrossed in scholarship\and traveled to many countries to learn, research and record.\I don't care about you! response:	Tell us about the imitation Sacred Jewel!
context: They are shrine keepers. Like my grandfather.\I see! That's why you are a priestess.\Go on!\I began my studies in order to better serve the gods.\And I became engrossed in scholarship\and traveled to many countries to learn, research and record.\I don't care about you!\Tell us about the imitation Sacred Jewel! response:	The purpose of my studies
context: I see! That's why you are a priestess.\Go on!\I began my studies in order to better serve the gods.\And I became engrossed in scholarship\and traveled to many countries to learn, research and record.\I don't care about you!\Tell us about the imitation Sacred Jewel!\The purpose of my studies response:	is precisely to learn about the Sacred Jewel.
context: Go on!\I began my studies in order to better serve the gods.\And I became engrossed in scholarship\and traveled to many countries to learn, research and record.\I don't care about you!\Tell us about the imitation Sacred Jewel!\The purpose of my studies\is precisely to learn about the Sacred Jewel. response:	That's why you know about its existence.
context: I began my studies in order to better serve the gods.\And I became engrossed in scholarship\and traveled to many countries to learn, research and record.\I don't care about you!\Tell us about the imitation Sacred Jewel!\The purpose of my studies\is precisely to learn about the Sacred Jewel.\That's why you know about its existence. response:	All the universe, everything in life, is created from four spirits.
context: And I became engrossed in scholarship\and traveled to many countries to learn, research and record.\I don't care about you!\Tell us about the imitation Sacred Jewel!\The purpose of my studies\is precisely to learn about the Sacred Jewel.\That's why you know about its existence.\All the universe, everything in life, is created from four spirits. response:	Aramitama, Nigimitama, Kushimitama and Sakimitama.
context: and traveled to many countries to learn, research and record.\I don't care about you!\Tell us about the imitation Sacred Jewel!\The purpose of my studies\is precisely to learn about the Sacred Jewel.\That's why you know about its existence.\All the universe, everything in life, is created from four spirits.\Aramitama, Nigimitama, Kushimitama and Sakimitama. response:	When these four spirits are in synthesis, they become one,
context: I don't care about you!\Tell us about the imitation Sacred Jewel!\The purpose of my studies\is precisely to learn about the Sacred Jewel.\That's why you know about its existence.\All the universe, everything in life, is created from four spirits.\Aramitama, Nigimitama, Kushimitama and Sakimitama.\When these four spirits are in synthesis, they become one, response:	and in the human body becomes the heart.
context: Tell us about the imitation Sacred Jewel!\The purpose of my studies\is precisely to learn about the Sacred Jewel.\That's why you know about its existence.\All the universe, everything in life, is created from four spirits.\Aramitama, Nigimitama, Kushimitama and Sakimitama.\When these four spirits are in synthesis, they become one,\and in the human body becomes the heart. response:	Are we going back to that again!?
context: The purpose of my studies\is precisely to learn about the Sacred Jewel.\That's why you know about its existence.\All the universe, everything in life, is created from four spirits.\Aramitama, Nigimitama, Kushimitama and Sakimitama.\When these four spirits are in synthesis, they become one,\and in the human body becomes the heart.\Are we going back to that again!? response:	I heard that before, but I neverreally understood.
context: is precisely to learn about the Sacred Jewel.\That's why you know about its existence.\All the universe, everything in life, is created from four spirits.\Aramitama, Nigimitama, Kushimitama and Sakimitama.\When these four spirits are in synthesis, they become one,\and in the human body becomes the heart.\Are we going back to that again!?\I heard that before, but I neverreally understood. response:	Same here...
context: That's why you know about its existence.\All the universe, everything in life, is created from four spirits.\Aramitama, Nigimitama, Kushimitama and Sakimitama.\When these four spirits are in synthesis, they become one,\and in the human body becomes the heart.\Are we going back to that again!?\I heard that before, but I neverreally understood.\Same here... response:	Explain how that demon got possession of
context: All the universe, everything in life, is created from four spirits.\Aramitama, Nigimitama, Kushimitama and Sakimitama.\When these four spirits are in synthesis, they become one,\and in the human body becomes the heart.\Are we going back to that again!?\I heard that before, but I neverreally understood.\Same here...\Explain how that demon got possession of response:	the fake Sacred Jewel!
context: Aramitama, Nigimitama, Kushimitama and Sakimitama.\When these four spirits are in synthesis, they become one,\and in the human body becomes the heart.\Are we going back to that again!?\I heard that before, but I neverreally understood.\Same here...\Explain how that demon got possession of\the fake Sacred Jewel! response:	Because someone gave it to him.
context: When these four spirits are in synthesis, they become one,\and in the human body becomes the heart.\Are we going back to that again!?\I heard that before, but I neverreally understood.\Same here...\Explain how that demon got possession of\the fake Sacred Jewel!\Because someone gave it to him. response:	Who?
context: and in the human body becomes the heart.\Are we going back to that again!?\I heard that before, but I neverreally understood.\Same here...\Explain how that demon got possession of\the fake Sacred Jewel!\Because someone gave it to him.\Who? response:	Ademon.
context: Are we going back to that again!?\I heard that before, but I neverreally understood.\Same here...\Explain how that demon got possession of\the fake Sacred Jewel!\Because someone gave it to him.\Who?\Ademon. response:	You looking for a fight?!
context: I heard that before, but I neverreally understood.\Same here...\Explain how that demon got possession of\the fake Sacred Jewel!\Because someone gave it to him.\Who?\Ademon.\You looking for a fight?! response:	No, ljust...
context: Same here...\Explain how that demon got possession of\the fake Sacred Jewel!\Because someone gave it to him.\Who?\Ademon.\You looking for a fight?!\No, ljust... response:	Stop it, Inuyasha!
context: Explain how that demon got possession of\the fake Sacred Jewel!\Because someone gave it to him.\Who?\Ademon.\You looking for a fight?!\No, ljust...\Stop it, Inuyasha! response:	Um...
context: the fake Sacred Jewel!\Because someone gave it to him.\Who?\Ademon.\You looking for a fight?!\No, ljust...\Stop it, Inuyasha!\Um... response:	Why was that demon chasing you anyway?
context: Because someone gave it to him.\Who?\Ademon.\You looking for a fight?!\No, ljust...\Stop it, Inuyasha!\Um...\Why was that demon chasing you anyway? response:	Well, that's because I saw the demons.
context: Who?\Ademon.\You looking for a fight?!\No, ljust...\Stop it, Inuyasha!\Um...\Why was that demon chasing you anyway?\Well, that's because I saw the demons. response:	Huh?
context: Ademon.\You looking for a fight?!\No, ljust...\Stop it, Inuyasha!\Um...\Why was that demon chasing you anyway?\Well, that's because I saw the demons.\Huh? response:	I heard that there was a shrine which told the legend of the Sacred Jewel.
context: You looking for a fight?!\No, ljust...\Stop it, Inuyasha!\Um...\Why was that demon chasing you anyway?\Well, that's because I saw the demons.\Huh?\I heard that there was a shrine which told the legend of the Sacred Jewel. response:	And I made my way to the mountain path.
context: No, ljust...\Stop it, Inuyasha!\Um...\Why was that demon chasing you anyway?\Well, that's because I saw the demons.\Huh?\I heard that there was a shrine which told the legend of the Sacred Jewel.\And I made my way to the mountain path. response:	Buteventually, I got lost.
context: Stop it, Inuyasha!\Um...\Why was that demon chasing you anyway?\Well, that's because I saw the demons.\Huh?\I heard that there was a shrine which told the legend of the Sacred Jewel.\And I made my way to the mountain path.\Buteventually, I got lost. response:	Then I came upon a demon
context: Um...\Why was that demon chasing you anyway?\Well, that's because I saw the demons.\Huh?\I heard that there was a shrine which told the legend of the Sacred Jewel.\And I made my way to the mountain path.\Buteventually, I got lost.\Then I came upon a demon response:	handing the Sacred Jewel to that demon you just saw.
context: Why was that demon chasing you anyway?\Well, that's because I saw the demons.\Huh?\I heard that there was a shrine which told the legend of the Sacred Jewel.\And I made my way to the mountain path.\Buteventually, I got lost.\Then I came upon a demon\handing the Sacred Jewel to that demon you just saw. response:	Was he called Naraku?
context: Well, that's because I saw the demons.\Huh?\I heard that there was a shrine which told the legend of the Sacred Jewel.\And I made my way to the mountain path.\Buteventually, I got lost.\Then I came upon a demon\handing the Sacred Jewel to that demon you just saw.\Was he called Naraku? response:	No. He called himself Orochidayu.
context: Huh?\I heard that there was a shrine which told the legend of the Sacred Jewel.\And I made my way to the mountain path.\Buteventually, I got lost.\Then I came upon a demon\handing the Sacred Jewel to that demon you just saw.\Was he called Naraku?\No. He called himself Orochidayu. response:	And he said that the Jewel was not yet complete,
context: I heard that there was a shrine which told the legend of the Sacred Jewel.\And I made my way to the mountain path.\Buteventually, I got lost.\Then I came upon a demon\handing the Sacred Jewel to that demon you just saw.\Was he called Naraku?\No. He called himself Orochidayu.\And he said that the Jewel was not yet complete, response:	but that soon a true Sacred Jewel would be made.
context: And I made my way to the mountain path.\Buteventually, I got lost.\Then I came upon a demon\handing the Sacred Jewel to that demon you just saw.\Was he called Naraku?\No. He called himself Orochidayu.\And he said that the Jewel was not yet complete,\but that soon a true Sacred Jewel would be made. response:	You're saying that a demon is making Sacred Jewels?
