context: Maccachin, behave while I'm gone, okay? response:	Don't you dare steal any steamed buns.
context: Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji\Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko\At Skate America,\Leo de la Iglesia won his first gold in his home country,\while Guang-Hong Ji placed third. Both will now compete in the Cup of China.\At Skate Canada, Jean-Jacques Leroy,\Second Event: Skate Canada\Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola response:	Grand Prix Cup of China Begins Tomorrow!!!
context: Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko\At Skate America,\Leo de la Iglesia won his first gold in his home country,\while Guang-Hong Ji placed third. Both will now compete in the Cup of China.\At Skate Canada, Jean-Jacques Leroy,\Second Event: Skate Canada\Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola\Grand Prix Cup of China Begins Tomorrow!!! response:	the bronze medalist at last year's Grand Prix Final, won the gold.
context: At Skate America,\Leo de la Iglesia won his first gold in his home country,\while Guang-Hong Ji placed third. Both will now compete in the Cup of China.\At Skate Canada, Jean-Jacques Leroy,\Second Event: Skate Canada\Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola\Grand Prix Cup of China Begins Tomorrow!!!\the bronze medalist at last year's Grand Prix Final, won the gold. response:	We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.
context: Leo de la Iglesia won his first gold in his home country,\while Guang-Hong Ji placed third. Both will now compete in the Cup of China.\At Skate Canada, Jean-Jacques Leroy,\Second Event: Skate Canada\Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola\Grand Prix Cup of China Begins Tomorrow!!!\the bronze medalist at last year's Grand Prix Final, won the gold.\We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event. response:	And finally, tomorrow will be our third event in the series, the Cup of China.
context: while Guang-Hong Ji placed third. Both will now compete in the Cup of China.\At Skate Canada, Jean-Jacques Leroy,\Second Event: Skate Canada\Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola\Grand Prix Cup of China Begins Tomorrow!!!\the bronze medalist at last year's Grand Prix Final, won the gold.\We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.\And finally, tomorrow will be our third event in the series, the Cup of China. response:	Third Event
context: At Skate Canada, Jean-Jacques Leroy,\Second Event: Skate Canada\Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola\Grand Prix Cup of China Begins Tomorrow!!!\the bronze medalist at last year's Grand Prix Final, won the gold.\We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.\And finally, tomorrow will be our third event in the series, the Cup of China.\Third Event response:	China
context: Second Event: Skate Canada\Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola\Grand Prix Cup of China Begins Tomorrow!!!\the bronze medalist at last year's Grand Prix Final, won the gold.\We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.\And finally, tomorrow will be our third event in the series, the Cup of China.\Third Event\China response:	Grand Prix Cup of China Begins Tomorrow!!!
context: Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola\Grand Prix Cup of China Begins Tomorrow!!!\the bronze medalist at last year's Grand Prix Final, won the gold.\We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.\And finally, tomorrow will be our third event in the series, the Cup of China.\Third Event\China\Grand Prix Cup of China Begins Tomorrow!!! response:	Japan's late bloomer,
context: Grand Prix Cup of China Begins Tomorrow!!!\the bronze medalist at last year's Grand Prix Final, won the gold.\We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.\And finally, tomorrow will be our third event in the series, the Cup of China.\Third Event\China\Grand Prix Cup of China Begins Tomorrow!!!\Japan's late bloomer, response:	Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.
context: the bronze medalist at last year's Grand Prix Final, won the gold.\We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.\And finally, tomorrow will be our third event in the series, the Cup of China.\Third Event\China\Grand Prix Cup of China Begins Tomorrow!!!\Japan's late bloomer,\Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification. response:	My theme in this year's Grand Prix series is love.
context: We also saw an awe-inspiring Yuri Plisetsky, age 15, win silver at his first senior event.\And finally, tomorrow will be our third event in the series, the Cup of China.\Third Event\China\Grand Prix Cup of China Begins Tomorrow!!!\Japan's late bloomer,\Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.\My theme in this year's Grand Prix series is love. response:	He's declared his program theme to be love.
context: And finally, tomorrow will be our third event in the series, the Cup of China.\Third Event\China\Grand Prix Cup of China Begins Tomorrow!!!\Japan's late bloomer,\Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.\My theme in this year's Grand Prix series is love.\He's declared his program theme to be love. response:	Katsuki Yuri, Age 23
context: Third Event\China\Grand Prix Cup of China Begins Tomorrow!!!\Japan's late bloomer,\Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.\My theme in this year's Grand Prix series is love.\He's declared his program theme to be love.\Katsuki Yuri, Age 23 response:	Love Katsuki Yuri
context: China\Grand Prix Cup of China Begins Tomorrow!!!\Japan's late bloomer,\Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.\My theme in this year's Grand Prix series is love.\He's declared his program theme to be love.\Katsuki Yuri, Age 23\Love Katsuki Yuri response:	I'll prove it to myself with a Grand Prix Final gold medal!
context: Grand Prix Cup of China Begins Tomorrow!!!\Japan's late bloomer,\Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.\My theme in this year's Grand Prix series is love.\He's declared his program theme to be love.\Katsuki Yuri, Age 23\Love Katsuki Yuri\I'll prove it to myself with a Grand Prix Final gold medal! response:	Survive with the power of love.
context: Japan's late bloomer,\Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.\My theme in this year's Grand Prix series is love.\He's declared his program theme to be love.\Katsuki Yuri, Age 23\Love Katsuki Yuri\I'll prove it to myself with a Grand Prix Final gold medal!\Survive with the power of love. response:	Survive with the power of love...
context: Katsuki Yuri, age 23, will be aiming for his second consecutive Final qualification.\My theme in this year's Grand Prix series is love.\He's declared his program theme to be love.\Katsuki Yuri, Age 23\Love Katsuki Yuri\I'll prove it to myself with a Grand Prix Final gold medal!\Survive with the power of love.\Survive with the power of love... response:	Huh? How much power of love do I have?
context: My theme in this year's Grand Prix series is love.\He's declared his program theme to be love.\Katsuki Yuri, Age 23\Love Katsuki Yuri\I'll prove it to myself with a Grand Prix Final gold medal!\Survive with the power of love.\Survive with the power of love...\Huh? How much power of love do I have? response:	Yuri, let's go have hot pot already.
context: He's declared his program theme to be love.\Katsuki Yuri, Age 23\Love Katsuki Yuri\I'll prove it to myself with a Grand Prix Final gold medal!\Survive with the power of love.\Survive with the power of love...\Huh? How much power of love do I have?\Yuri, let's go have hot pot already. response:	Hey, I'm in the middle of an interview!
context: Katsuki Yuri, Age 23\Love Katsuki Yuri\I'll prove it to myself with a Grand Prix Final gold medal!\Survive with the power of love.\Survive with the power of love...\Huh? How much power of love do I have?\Yuri, let's go have hot pot already.\Hey, I'm in the middle of an interview! response:	Oh, Yakov!
context: Love Katsuki Yuri\I'll prove it to myself with a Grand Prix Final gold medal!\Survive with the power of love.\Survive with the power of love...\Huh? How much power of love do I have?\Yuri, let's go have hot pot already.\Hey, I'm in the middle of an interview!\Oh, Yakov! response:	Hey, hey...
context: I'll prove it to myself with a Grand Prix Final gold medal!\Survive with the power of love.\Survive with the power of love...\Huh? How much power of love do I have?\Yuri, let's go have hot pot already.\Hey, I'm in the middle of an interview!\Oh, Yakov!\Hey, hey... response:	Want to come eat hot pot with us?
context: Survive with the power of love.\Survive with the power of love...\Huh? How much power of love do I have?\Yuri, let's go have hot pot already.\Hey, I'm in the middle of an interview!\Oh, Yakov!\Hey, hey...\Want to come eat hot pot with us? response:	Hey, why are you ignoring me?
context: Survive with the power of love...\Huh? How much power of love do I have?\Yuri, let's go have hot pot already.\Hey, I'm in the middle of an interview!\Oh, Yakov!\Hey, hey...\Want to come eat hot pot with us?\Hey, why are you ignoring me? response:	Victor!
context: Huh? How much power of love do I have?\Yuri, let's go have hot pot already.\Hey, I'm in the middle of an interview!\Oh, Yakov!\Hey, hey...\Want to come eat hot pot with us?\Hey, why are you ignoring me?\Victor! response:	Listen, I feel sick when I see you playing pretend-coach.
context: Yuri, let's go have hot pot already.\Hey, I'm in the middle of an interview!\Oh, Yakov!\Hey, hey...\Want to come eat hot pot with us?\Hey, why are you ignoring me?\Victor!\Listen, I feel sick when I see you playing pretend-coach. response:	I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.
context: Hey, I'm in the middle of an interview!\Oh, Yakov!\Hey, hey...\Want to come eat hot pot with us?\Hey, why are you ignoring me?\Victor!\Listen, I feel sick when I see you playing pretend-coach.\I'd prefer if you'd only talk to me when you're ready to plead for your return to skating. response:	Got it?
context: Oh, Yakov!\Hey, hey...\Want to come eat hot pot with us?\Hey, why are you ignoring me?\Victor!\Listen, I feel sick when I see you playing pretend-coach.\I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.\Got it? response:	Yakov's not interested.
context: Hey, hey...\Want to come eat hot pot with us?\Hey, why are you ignoring me?\Victor!\Listen, I feel sick when I see you playing pretend-coach.\I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.\Got it?\Yakov's not interested. response:	Let's go.
context: Want to come eat hot pot with us?\Hey, why are you ignoring me?\Victor!\Listen, I feel sick when I see you playing pretend-coach.\I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.\Got it?\Yakov's not interested.\Let's go. response:	Look, Yuri!
context: Hey, why are you ignoring me?\Victor!\Listen, I feel sick when I see you playing pretend-coach.\I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.\Got it?\Yakov's not interested.\Let's go.\Look, Yuri! response:	Shanghai crab!
context: Victor!\Listen, I feel sick when I see you playing pretend-coach.\I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.\Got it?\Yakov's not interested.\Let's go.\Look, Yuri!\Shanghai crab! response:	Drunken shrimp!
context: Listen, I feel sick when I see you playing pretend-coach.\I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.\Got it?\Yakov's not interested.\Let's go.\Look, Yuri!\Shanghai crab!\Drunken shrimp! response:	Duck blood!
context: I'd prefer if you'd only talk to me when you're ready to plead for your return to skating.\Got it?\Yakov's not interested.\Let's go.\Look, Yuri!\Shanghai crab!\Drunken shrimp!\Duck blood! response:	Vkusno!
context: Got it?\Yakov's not interested.\Let's go.\Look, Yuri!\Shanghai crab!\Drunken shrimp!\Duck blood!\Vkusno! response:	Huh? You're not eating the shrimp?
context: Yakov's not interested.\Let's go.\Look, Yuri!\Shanghai crab!\Drunken shrimp!\Duck blood!\Vkusno!\Huh? You're not eating the shrimp? response:	It's right before the competition, so I want to avoid raw food.
context: Let's go.\Look, Yuri!\Shanghai crab!\Drunken shrimp!\Duck blood!\Vkusno!\Huh? You're not eating the shrimp?\It's right before the competition, so I want to avoid raw food. response:	It's really good.
context: Look, Yuri!\Shanghai crab!\Drunken shrimp!\Duck blood!\Vkusno!\Huh? You're not eating the shrimp?\It's right before the competition, so I want to avoid raw food.\It's really good. response:	I ran my mouth too much at the press conference.
context: Shanghai crab!\Drunken shrimp!\Duck blood!\Vkusno!\Huh? You're not eating the shrimp?\It's right before the competition, so I want to avoid raw food.\It's really good.\I ran my mouth too much at the press conference. response:	What will people say if I lose after all that?
context: Drunken shrimp!\Duck blood!\Vkusno!\Huh? You're not eating the shrimp?\It's right before the competition, so I want to avoid raw food.\It's really good.\I ran my mouth too much at the press conference.\What will people say if I lose after all that? response:	Oh, Yuri?
context: Duck blood!\Vkusno!\Huh? You're not eating the shrimp?\It's right before the competition, so I want to avoid raw food.\It's really good.\I ran my mouth too much at the press conference.\What will people say if I lose after all that?\Oh, Yuri? response:	Phichit-kun!
context: Vkusno!\Huh? You're not eating the shrimp?\It's right before the competition, so I want to avoid raw food.\It's really good.\I ran my mouth too much at the press conference.\What will people say if I lose after all that?\Oh, Yuri?\Phichit-kun! response:	Phichit Chulanont, Age 20
context: Huh? You're not eating the shrimp?\It's right before the competition, so I want to avoid raw food.\It's really good.\I ran my mouth too much at the press conference.\What will people say if I lose after all that?\Oh, Yuri?\Phichit-kun!\Phichit Chulanont, Age 20 response:	So this is where you were eating.
context: It's right before the competition, so I want to avoid raw food.\It's really good.\I ran my mouth too much at the press conference.\What will people say if I lose after all that?\Oh, Yuri?\Phichit-kun!\Phichit Chulanont, Age 20\So this is where you were eating. response:	Hi.
context: It's really good.\I ran my mouth too much at the press conference.\What will people say if I lose after all that?\Oh, Yuri?\Phichit-kun!\Phichit Chulanont, Age 20\So this is where you were eating.\Hi. response:	Oh, hello.
context: I ran my mouth too much at the press conference.\What will people say if I lose after all that?\Oh, Yuri?\Phichit-kun!\Phichit Chulanont, Age 20\So this is where you were eating.\Hi.\Oh, hello. response:	But talk about a coincidence.
context: What will people say if I lose after all that?\Oh, Yuri?\Phichit-kun!\Phichit Chulanont, Age 20\So this is where you were eating.\Hi.\Oh, hello.\But talk about a coincidence. response:	Oh, can I invite Ciao Ciao?
context: Oh, Yuri?\Phichit-kun!\Phichit Chulanont, Age 20\So this is where you were eating.\Hi.\Oh, hello.\But talk about a coincidence.\Oh, can I invite Ciao Ciao? response:	Huh?
context: Phichit-kun!\Phichit Chulanont, Age 20\So this is where you were eating.\Hi.\Oh, hello.\But talk about a coincidence.\Oh, can I invite Ciao Ciao?\Huh? response:	You want to see him, don't you?
context: Phichit Chulanont, Age 20\So this is where you were eating.\Hi.\Oh, hello.\But talk about a coincidence.\Oh, can I invite Ciao Ciao?\Huh?\You want to see him, don't you? response:	Not really...
context: So this is where you were eating.\Hi.\Oh, hello.\But talk about a coincidence.\Oh, can I invite Ciao Ciao?\Huh?\You want to see him, don't you?\Not really... response:	Ciao, ciao!
context: Hi.\Oh, hello.\But talk about a coincidence.\Oh, can I invite Ciao Ciao?\Huh?\You want to see him, don't you?\Not really...\Ciao, ciao! response:	Um, hello.
context: Oh, hello.\But talk about a coincidence.\Oh, can I invite Ciao Ciao?\Huh?\You want to see him, don't you?\Not really...\Ciao, ciao!\Um, hello. response:	Want some shrimp?
context: But talk about a coincidence.\Oh, can I invite Ciao Ciao?\Huh?\You want to see him, don't you?\Not really...\Ciao, ciao!\Um, hello.\Want some shrimp? response:	Oh, that kind of food doesn't agree with me
context: Oh, can I invite Ciao Ciao?\Huh?\You want to see him, don't you?\Not really...\Ciao, ciao!\Um, hello.\Want some shrimp?\Oh, that kind of food doesn't agree with me response:	It's really good!
context: Huh?\You want to see him, don't you?\Not really...\Ciao, ciao!\Um, hello.\Want some shrimp?\Oh, that kind of food doesn't agree with me\It's really good! response:	Guang-Hong Ji, Age 17
context: You want to see him, don't you?\Not really...\Ciao, ciao!\Um, hello.\Want some shrimp?\Oh, that kind of food doesn't agree with me\It's really good!\Guang-Hong Ji, Age 17 response:	Guang-Hong!
context: Not really...\Ciao, ciao!\Um, hello.\Want some shrimp?\Oh, that kind of food doesn't agree with me\It's really good!\Guang-Hong Ji, Age 17\Guang-Hong! response:	I thought I'd find you eating here.
context: Ciao, ciao!\Um, hello.\Want some shrimp?\Oh, that kind of food doesn't agree with me\It's really good!\Guang-Hong Ji, Age 17\Guang-Hong!\I thought I'd find you eating here. response:	Leo-kun...
context: Um, hello.\Want some shrimp?\Oh, that kind of food doesn't agree with me\It's really good!\Guang-Hong Ji, Age 17\Guang-Hong!\I thought I'd find you eating here.\Leo-kun... response:	First Win Leo de la Iglesia, Age 19
context: Want some shrimp?\Oh, that kind of food doesn't agree with me\It's really good!\Guang-Hong Ji, Age 17\Guang-Hong!\I thought I'd find you eating here.\Leo-kun...\First Win Leo de la Iglesia, Age 19 response:	I was worried because you weren't answering.
context: Oh, that kind of food doesn't agree with me\It's really good!\Guang-Hong Ji, Age 17\Guang-Hong!\I thought I'd find you eating here.\Leo-kun...\First Win Leo de la Iglesia, Age 19\I was worried because you weren't answering. response:	Sorry, sorry.
context: It's really good!\Guang-Hong Ji, Age 17\Guang-Hong!\I thought I'd find you eating here.\Leo-kun...\First Win Leo de la Iglesia, Age 19\I was worried because you weren't answering.\Sorry, sorry. response:	I got a call from Phichit.
context: Guang-Hong Ji, Age 17\Guang-Hong!\I thought I'd find you eating here.\Leo-kun...\First Win Leo de la Iglesia, Age 19\I was worried because you weren't answering.\Sorry, sorry.\I got a call from Phichit. response:	He wants me to come to a hot pot place to interpret.
context: Guang-Hong!\I thought I'd find you eating here.\Leo-kun...\First Win Leo de la Iglesia, Age 19\I was worried because you weren't answering.\Sorry, sorry.\I got a call from Phichit.\He wants me to come to a hot pot place to interpret. response:	Huh? But I don't like hot pot.
context: I thought I'd find you eating here.\Leo-kun...\First Win Leo de la Iglesia, Age 19\I was worried because you weren't answering.\Sorry, sorry.\I got a call from Phichit.\He wants me to come to a hot pot place to interpret.\Huh? But I don't like hot pot. response:	Victor's there, too.
context: Leo-kun...\First Win Leo de la Iglesia, Age 19\I was worried because you weren't answering.\Sorry, sorry.\I got a call from Phichit.\He wants me to come to a hot pot place to interpret.\Huh? But I don't like hot pot.\Victor's there, too. response:	I'll go!
context: First Win Leo de la Iglesia, Age 19\I was worried because you weren't answering.\Sorry, sorry.\I got a call from Phichit.\He wants me to come to a hot pot place to interpret.\Huh? But I don't like hot pot.\Victor's there, too.\I'll go! response:	Right?
context: I was worried because you weren't answering.\Sorry, sorry.\I got a call from Phichit.\He wants me to come to a hot pot place to interpret.\Huh? But I don't like hot pot.\Victor's there, too.\I'll go!\Right? response:	I want a selfie with him to post online!
context: Sorry, sorry.\I got a call from Phichit.\He wants me to come to a hot pot place to interpret.\Huh? But I don't like hot pot.\Victor's there, too.\I'll go!\Right?\I want a selfie with him to post online! response:	Okay, let's get right to it.
context: I got a call from Phichit.\He wants me to come to a hot pot place to interpret.\Huh? But I don't like hot pot.\Victor's there, too.\I'll go!\Right?\I want a selfie with him to post online!\Okay, let's get right to it. response:	Yay!
context: He wants me to come to a hot pot place to interpret.\Huh? But I don't like hot pot.\Victor's there, too.\I'll go!\Right?\I want a selfie with him to post online!\Okay, let's get right to it.\Yay! response:	Georgi Popovich, Age 27
context: Huh? But I don't like hot pot.\Victor's there, too.\I'll go!\Right?\I want a selfie with him to post online!\Okay, let's get right to it.\Yay!\Georgi Popovich, Age 27 response:	So young...
context: Victor's there, too.\I'll go!\Right?\I want a selfie with him to post online!\Okay, let's get right to it.\Yay!\Georgi Popovich, Age 27\So young... response:	Hurry up and finish.
