context: Inari... response:	You shut Uka up in the Ama-no-Iwato?
context: You wouldn't want that to happen, would you?\Sis...\She needs some time by herself to do some soul-searching...\in the Ama-no-Iwato, which only we can open.\Inari, Konkon, Koi Iroha\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa response:	I sighed involuntarily
context: Sis...\She needs some time by herself to do some soul-searching...\in the Ama-no-Iwato, which only we can open.\Inari, Konkon, Koi Iroha\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\I sighed involuntarily response:	I sighed involuntarily
context: She needs some time by herself to do some soul-searching...\in the Ama-no-Iwato, which only we can open.\Inari, Konkon, Koi Iroha\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\I sighed involuntarily\I sighed involuntarily response:	I sighed involuntarily
context: in the Ama-no-Iwato, which only we can open.\Inari, Konkon, Koi Iroha\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\I sighed involuntarily\I sighed involuntarily\I sighed involuntarily response:	Inari, Konkon, Koi Iroha
context: Inari, Konkon, Koi Iroha\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\I sighed involuntarily\I sighed involuntarily\I sighed involuntarily\Inari, Konkon, Koi Iroha response:	takai takai sora no mukou ni
context: nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\I sighed involuntarily\I sighed involuntarily\I sighed involuntarily\Inari, Konkon, Koi Iroha\takai takai sora no mukou ni response:	takai takai sora no mukou ni
context: nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa\I sighed involuntarily\I sighed involuntarily\I sighed involuntarily\Inari, Konkon, Koi Iroha\takai takai sora no mukou ni\takai takai sora no mukou ni response:	takai takai sora no mukou ni
context: nanige naku tsuita tameiki wa\I sighed involuntarily\I sighed involuntarily\I sighed involuntarily\Inari, Konkon, Koi Iroha\takai takai sora no mukou ni\takai takai sora no mukou ni\takai takai sora no mukou ni response:	and that little bit of sadness
context: I sighed involuntarily\I sighed involuntarily\I sighed involuntarily\Inari, Konkon, Koi Iroha\takai takai sora no mukou ni\takai takai sora no mukou ni\takai takai sora no mukou ni\and that little bit of sadness response:	and that little bit of sadness
context: I sighed involuntarily\I sighed involuntarily\Inari, Konkon, Koi Iroha\takai takai sora no mukou ni\takai takai sora no mukou ni\takai takai sora no mukou ni\and that little bit of sadness\and that little bit of sadness response:	and that little bit of sadness
context: I sighed involuntarily\Inari, Konkon, Koi Iroha\takai takai sora no mukou ni\takai takai sora no mukou ni\takai takai sora no mukou ni\and that little bit of sadness\and that little bit of sadness\and that little bit of sadness response:	habataite kietetta
context: Inari, Konkon, Koi Iroha\takai takai sora no mukou ni\takai takai sora no mukou ni\takai takai sora no mukou ni\and that little bit of sadness\and that little bit of sadness\and that little bit of sadness\habataite kietetta response:	habataite kietetta
context: takai takai sora no mukou ni\takai takai sora no mukou ni\takai takai sora no mukou ni\and that little bit of sadness\and that little bit of sadness\and that little bit of sadness\habataite kietetta\habataite kietetta response:	habataite kietetta
context: takai takai sora no mukou ni\takai takai sora no mukou ni\and that little bit of sadness\and that little bit of sadness\and that little bit of sadness\habataite kietetta\habataite kietetta\habataite kietetta response:	flew with the birds to vanish in the distance
context: takai takai sora no mukou ni\and that little bit of sadness\and that little bit of sadness\and that little bit of sadness\habataite kietetta\habataite kietetta\habataite kietetta\flew with the birds to vanish in the distance response:	flew with the birds to vanish in the distance
context: and that little bit of sadness\and that little bit of sadness\and that little bit of sadness\habataite kietetta\habataite kietetta\habataite kietetta\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance response:	flew with the birds to vanish in the distance
context: and that little bit of sadness\and that little bit of sadness\habataite kietetta\habataite kietetta\habataite kietetta\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance response:	guuzen no misu mo waratte shake hands
context: and that little bit of sadness\habataite kietetta\habataite kietetta\habataite kietetta\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\guuzen no misu mo waratte shake hands response:	guuzen no misu mo waratte shake hands
context: habataite kietetta\habataite kietetta\habataite kietetta\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands response:	guuzen no misu mo waratte shake hands
context: habataite kietetta\habataite kietetta\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands response:	We committed our share of faux-pas, then shook hands
context: habataite kietetta\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\We committed our share of faux-pas, then shook hands response:	We committed our share of faux-pas, then shook hands
context: flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands response:	We committed our share of faux-pas, then shook hands
context: flew with the birds to vanish in the distance\flew with the birds to vanish in the distance\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands response:	sonna fuu ni otona ni wa narenakatta keredo
context: flew with the birds to vanish in the distance\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\sonna fuu ni otona ni wa narenakatta keredo response:	sonna fuu ni otona ni wa narenakatta keredo
context: guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo response:	sonna fuu ni otona ni wa narenakatta keredo
context: guuzen no misu mo waratte shake hands\guuzen no misu mo waratte shake hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo response:	That didn't really turn us into adults,
context: guuzen no misu mo waratte shake hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\That didn't really turn us into adults, response:	That didn't really turn us into adults,
context: We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\That didn't really turn us into adults,\That didn't really turn us into adults, response:	That didn't really turn us into adults,
context: We committed our share of faux-pas, then shook hands\We committed our share of faux-pas, then shook hands\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\That didn't really turn us into adults,\That didn't really turn us into adults,\That didn't really turn us into adults, response:	ima wa sukoshi wakaru yo
context: We committed our share of faux-pas, then shook hands\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\That didn't really turn us into adults,\That didn't really turn us into adults,\That didn't really turn us into adults,\ima wa sukoshi wakaru yo response:	ima wa sukoshi wakaru yo
context: sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\That didn't really turn us into adults,\That didn't really turn us into adults,\That didn't really turn us into adults,\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo response:	ima wa sukoshi wakaru yo
context: sonna fuu ni otona ni wa narenakatta keredo\sonna fuu ni otona ni wa narenakatta keredo\That didn't really turn us into adults,\That didn't really turn us into adults,\That didn't really turn us into adults,\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo response:	but now I understand
context: sonna fuu ni otona ni wa narenakatta keredo\That didn't really turn us into adults,\That didn't really turn us into adults,\That didn't really turn us into adults,\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\but now I understand response:	but now I understand
context: That didn't really turn us into adults,\That didn't really turn us into adults,\That didn't really turn us into adults,\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\but now I understand\but now I understand response:	but now I understand
context: That didn't really turn us into adults,\That didn't really turn us into adults,\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\but now I understand\but now I understand\but now I understand response:	akogareta dareka no kage wo nazoru dake ja
context: That didn't really turn us into adults,\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\but now I understand\but now I understand\but now I understand\akogareta dareka no kage wo nazoru dake ja response:	akogareta dareka no kage wo nazoru dake ja
context: ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\but now I understand\but now I understand\but now I understand\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja response:	akogareta dareka no kage wo nazoru dake ja
context: ima wa sukoshi wakaru yo\ima wa sukoshi wakaru yo\but now I understand\but now I understand\but now I understand\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja response:	that just imitating those you admire
context: ima wa sukoshi wakaru yo\but now I understand\but now I understand\but now I understand\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\that just imitating those you admire response:	that just imitating those you admire
context: but now I understand\but now I understand\but now I understand\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\that just imitating those you admire\that just imitating those you admire response:	that just imitating those you admire
context: but now I understand\but now I understand\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\that just imitating those you admire\that just imitating those you admire\that just imitating those you admire response:	kimi ni todokanai tte
context: but now I understand\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\that just imitating those you admire\that just imitating those you admire\that just imitating those you admire\kimi ni todokanai tte response:	kimi ni todokanai tte
context: akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\that just imitating those you admire\that just imitating those you admire\that just imitating those you admire\kimi ni todokanai tte\kimi ni todokanai tte response:	kimi ni todokanai tte
context: akogareta dareka no kage wo nazoru dake ja\akogareta dareka no kage wo nazoru dake ja\that just imitating those you admire\that just imitating those you admire\that just imitating those you admire\kimi ni todokanai tte\kimi ni todokanai tte\kimi ni todokanai tte response:	is not enough to reach you
context: akogareta dareka no kage wo nazoru dake ja\that just imitating those you admire\that just imitating those you admire\that just imitating those you admire\kimi ni todokanai tte\kimi ni todokanai tte\kimi ni todokanai tte\is not enough to reach you response:	is not enough to reach you
context: that just imitating those you admire\that just imitating those you admire\that just imitating those you admire\kimi ni todokanai tte\kimi ni todokanai tte\kimi ni todokanai tte\is not enough to reach you\is not enough to reach you response:	is not enough to reach you
context: that just imitating those you admire\that just imitating those you admire\kimi ni todokanai tte\kimi ni todokanai tte\kimi ni todokanai tte\is not enough to reach you\is not enough to reach you\is not enough to reach you response:	nee itsuka tsutaeru yo
context: that just imitating those you admire\kimi ni todokanai tte\kimi ni todokanai tte\kimi ni todokanai tte\is not enough to reach you\is not enough to reach you\is not enough to reach you\nee itsuka tsutaeru yo response:	nee itsuka tsutaeru yo
context: kimi ni todokanai tte\kimi ni todokanai tte\kimi ni todokanai tte\is not enough to reach you\is not enough to reach you\is not enough to reach you\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo response:	nee itsuka tsutaeru yo
context: kimi ni todokanai tte\kimi ni todokanai tte\is not enough to reach you\is not enough to reach you\is not enough to reach you\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo response:	One day I'll tell you of my feelings
context: kimi ni todokanai tte\is not enough to reach you\is not enough to reach you\is not enough to reach you\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\One day I'll tell you of my feelings response:	One day I'll tell you of my feelings
context: is not enough to reach you\is not enough to reach you\is not enough to reach you\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\One day I'll tell you of my feelings\One day I'll tell you of my feelings response:	One day I'll tell you of my feelings
context: is not enough to reach you\is not enough to reach you\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\One day I'll tell you of my feelings\One day I'll tell you of my feelings\One day I'll tell you of my feelings response:	dakishimeta negaigoto kimi ni mitsukaranai you ni
context: is not enough to reach you\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\One day I'll tell you of my feelings\One day I'll tell you of my feelings\One day I'll tell you of my feelings\dakishimeta negaigoto kimi ni mitsukaranai you ni response:	dakishimeta negaigoto kimi ni mitsukaranai you ni
context: nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\One day I'll tell you of my feelings\One day I'll tell you of my feelings\One day I'll tell you of my feelings\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni response:	dakishimeta negaigoto kimi ni mitsukaranai you ni
context: nee itsuka tsutaeru yo\nee itsuka tsutaeru yo\One day I'll tell you of my feelings\One day I'll tell you of my feelings\One day I'll tell you of my feelings\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni response:	I didn't want you to know of my wishes,
context: nee itsuka tsutaeru yo\One day I'll tell you of my feelings\One day I'll tell you of my feelings\One day I'll tell you of my feelings\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\I didn't want you to know of my wishes, response:	I didn't want you to know of my wishes,
context: One day I'll tell you of my feelings\One day I'll tell you of my feelings\One day I'll tell you of my feelings\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\I didn't want you to know of my wishes,\I didn't want you to know of my wishes, response:	I didn't want you to know of my wishes,
context: One day I'll tell you of my feelings\One day I'll tell you of my feelings\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\I didn't want you to know of my wishes, response:	watashi no koe ni tokasu yo
context: One day I'll tell you of my feelings\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\watashi no koe ni tokasu yo response:	watashi no koe ni tokasu yo
context: dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo response:	watashi no koe ni tokasu yo
context: dakishimeta negaigoto kimi ni mitsukaranai you ni\dakishimeta negaigoto kimi ni mitsukaranai you ni\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo response:	so I lowered my voice
context: dakishimeta negaigoto kimi ni mitsukaranai you ni\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\so I lowered my voice response:	so I lowered my voice
context: I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\so I lowered my voice\so I lowered my voice response:	so I lowered my voice
context: I didn't want you to know of my wishes,\I didn't want you to know of my wishes,\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\so I lowered my voice\so I lowered my voice\so I lowered my voice response:	kamisama ni sasayaita
context: I didn't want you to know of my wishes,\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\so I lowered my voice\so I lowered my voice\so I lowered my voice\kamisama ni sasayaita response:	kamisama ni sasayaita
context: watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\so I lowered my voice\so I lowered my voice\so I lowered my voice\kamisama ni sasayaita\kamisama ni sasayaita response:	kamisama ni sasayaita
context: watashi no koe ni tokasu yo\watashi no koe ni tokasu yo\so I lowered my voice\so I lowered my voice\so I lowered my voice\kamisama ni sasayaita\kamisama ni sasayaita\kamisama ni sasayaita response:	and whispered to the gods
context: watashi no koe ni tokasu yo\so I lowered my voice\so I lowered my voice\so I lowered my voice\kamisama ni sasayaita\kamisama ni sasayaita\kamisama ni sasayaita\and whispered to the gods response:	and whispered to the gods
context: so I lowered my voice\so I lowered my voice\so I lowered my voice\kamisama ni sasayaita\kamisama ni sasayaita\kamisama ni sasayaita\and whispered to the gods\and whispered to the gods response:	and whispered to the gods
context: so I lowered my voice\so I lowered my voice\kamisama ni sasayaita\kamisama ni sasayaita\kamisama ni sasayaita\and whispered to the gods\and whispered to the gods\and whispered to the gods response:	mainichi ni koi shiteru kono kirameki tayasanaide
context: so I lowered my voice\kamisama ni sasayaita\kamisama ni sasayaita\kamisama ni sasayaita\and whispered to the gods\and whispered to the gods\and whispered to the gods\mainichi ni koi shiteru kono kirameki tayasanaide response:	mainichi ni koi shiteru kono kirameki tayasanaide
context: kamisama ni sasayaita\kamisama ni sasayaita\kamisama ni sasayaita\and whispered to the gods\and whispered to the gods\and whispered to the gods\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide response:	mainichi ni koi shiteru kono kirameki tayasanaide
context: kamisama ni sasayaita\kamisama ni sasayaita\and whispered to the gods\and whispered to the gods\and whispered to the gods\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide response:	Every day I feel the love inside my heart and hope I won't faint
context: kamisama ni sasayaita\and whispered to the gods\and whispered to the gods\and whispered to the gods\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\Every day I feel the love inside my heart and hope I won't faint response:	Every day I feel the love inside my heart and hope I won't faint
context: and whispered to the gods\and whispered to the gods\and whispered to the gods\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint response:	Every day I feel the love inside my heart and hope I won't faint
context: and whispered to the gods\and whispered to the gods\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint response:	somatta hoo wo naderu kaze
context: and whispered to the gods\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\somatta hoo wo naderu kaze response:	somatta hoo wo naderu kaze
context: mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze response:	somatta hoo wo naderu kaze
context: mainichi ni koi shiteru kono kirameki tayasanaide\mainichi ni koi shiteru kono kirameki tayasanaide\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze response:	The wind turns my cheeks red
context: mainichi ni koi shiteru kono kirameki tayasanaide\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\The wind turns my cheeks red response:	The wind turns my cheeks red
context: Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\The wind turns my cheeks red\The wind turns my cheeks red response:	The wind turns my cheeks red
context: Every day I feel the love inside my heart and hope I won't faint\Every day I feel the love inside my heart and hope I won't faint\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\The wind turns my cheeks red\The wind turns my cheeks red\The wind turns my cheeks red response:	itsu made mo tonari de waratteite
context: Every day I feel the love inside my heart and hope I won't faint\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\The wind turns my cheeks red\The wind turns my cheeks red\The wind turns my cheeks red\itsu made mo tonari de waratteite response:	itsu made mo tonari de waratteite
context: somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\The wind turns my cheeks red\The wind turns my cheeks red\The wind turns my cheeks red\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite response:	itsu made mo tonari de waratteite
context: somatta hoo wo naderu kaze\somatta hoo wo naderu kaze\The wind turns my cheeks red\The wind turns my cheeks red\The wind turns my cheeks red\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite response:	Please keep smiling next to me
context: somatta hoo wo naderu kaze\The wind turns my cheeks red\The wind turns my cheeks red\The wind turns my cheeks red\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\Please keep smiling next to me response:	Please keep smiling next to me
context: The wind turns my cheeks red\The wind turns my cheeks red\The wind turns my cheeks red\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\Please keep smiling next to me\Please keep smiling next to me response:	Please keep smiling next to me
context: The wind turns my cheeks red\The wind turns my cheeks red\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\Please keep smiling next to me\Please keep smiling next to me\Please keep smiling next to me response:	Huh? Lady Uka's not back yet?
context: The wind turns my cheeks red\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\Please keep smiling next to me\Please keep smiling next to me\Please keep smiling next to me\Huh? Lady Uka's not back yet? response:	But it's November!
context: itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\Please keep smiling next to me\Please keep smiling next to me\Please keep smiling next to me\Huh? Lady Uka's not back yet?\But it's November! response:	Well, it's never really exactly one month...
context: itsu made mo tonari de waratteite\itsu made mo tonari de waratteite\Please keep smiling next to me\Please keep smiling next to me\Please keep smiling next to me\Huh? Lady Uka's not back yet?\But it's November!\Well, it's never really exactly one month... response:	We can only assume she must still be in Izumo.
context: itsu made mo tonari de waratteite\Please keep smiling next to me\Please keep smiling next to me\Please keep smiling next to me\Huh? Lady Uka's not back yet?\But it's November!\Well, it's never really exactly one month...\We can only assume she must still be in Izumo. response:	Huh.
context: Please keep smiling next to me\Please keep smiling next to me\Please keep smiling next to me\Huh? Lady Uka's not back yet?\But it's November!\Well, it's never really exactly one month...\We can only assume she must still be in Izumo.\Huh. response:	I wonder when she's coming back.
