context: My birthday? response:	Yeah, your birthday. When is it?
context: Jupiter centric, Pisces, B type with a wood aspect.\It is all clear to me now!\Moriyama is a hopeless romantic who always walks her own path!\She's a dreamer, but escaping reality in a good way!\And you, Izumo?\October 11th... A type.\It is all clear to me now!\Izumo is an idealist who interacts equally with everyone! response:	Though she's good at adapting to her environment,
context: It is all clear to me now!\Moriyama is a hopeless romantic who always walks her own path!\She's a dreamer, but escaping reality in a good way!\And you, Izumo?\October 11th... A type.\It is all clear to me now!\Izumo is an idealist who interacts equally with everyone!\Though she's good at adapting to her environment, response:	she takes her ideals seriously and often complains about reality.
context: Moriyama is a hopeless romantic who always walks her own path!\She's a dreamer, but escaping reality in a good way!\And you, Izumo?\October 11th... A type.\It is all clear to me now!\Izumo is an idealist who interacts equally with everyone!\Though she's good at adapting to her environment,\she takes her ideals seriously and often complains about reality. response:	Amazing!
context: She's a dreamer, but escaping reality in a good way!\And you, Izumo?\October 11th... A type.\It is all clear to me now!\Izumo is an idealist who interacts equally with everyone!\Though she's good at adapting to her environment,\she takes her ideals seriously and often complains about reality.\Amazing! response:	What exactly are you doing?
context: And you, Izumo?\October 11th... A type.\It is all clear to me now!\Izumo is an idealist who interacts equally with everyone!\Though she's good at adapting to her environment,\she takes her ideals seriously and often complains about reality.\Amazing!\What exactly are you doing? response:	Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.
context: October 11th... A type.\It is all clear to me now!\Izumo is an idealist who interacts equally with everyone!\Though she's good at adapting to her environment,\she takes her ideals seriously and often complains about reality.\Amazing!\What exactly are you doing?\Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny. response:	I've got it all in my head.
context: It is all clear to me now!\Izumo is an idealist who interacts equally with everyone!\Though she's good at adapting to her environment,\she takes her ideals seriously and often complains about reality.\Amazing!\What exactly are you doing?\Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.\I've got it all in my head. response:	Why don't you use your head for useful studies instead?
context: Izumo is an idealist who interacts equally with everyone!\Though she's good at adapting to her environment,\she takes her ideals seriously and often complains about reality.\Amazing!\What exactly are you doing?\Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.\I've got it all in my head.\Why don't you use your head for useful studies instead? response:	Oh come on, I know you're interested.
context: Though she's good at adapting to her environment,\she takes her ideals seriously and often complains about reality.\Amazing!\What exactly are you doing?\Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.\I've got it all in my head.\Why don't you use your head for useful studies instead?\Oh come on, I know you're interested. response:	Goodbye.
context: she takes her ideals seriously and often complains about reality.\Amazing!\What exactly are you doing?\Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.\I've got it all in my head.\Why don't you use your head for useful studies instead?\Oh come on, I know you're interested.\Goodbye. response:	Izumo is really hard to get to.
context: Amazing!\What exactly are you doing?\Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.\I've got it all in my head.\Why don't you use your head for useful studies instead?\Oh come on, I know you're interested.\Goodbye.\Izumo is really hard to get to. response:	Tell me my fortune too!
context: What exactly are you doing?\Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.\I've got it all in my head.\Why don't you use your head for useful studies instead?\Oh come on, I know you're interested.\Goodbye.\Izumo is really hard to get to.\Tell me my fortune too! response:	Nope, I can't do it for guys.
context: Fortune-telling from your star sign, your blood type, and the Four Pillars of Destiny.\I've got it all in my head.\Why don't you use your head for useful studies instead?\Oh come on, I know you're interested.\Goodbye.\Izumo is really hard to get to.\Tell me my fortune too!\Nope, I can't do it for guys. response:	Why?
context: I've got it all in my head.\Why don't you use your head for useful studies instead?\Oh come on, I know you're interested.\Goodbye.\Izumo is really hard to get to.\Tell me my fortune too!\Nope, I can't do it for guys.\Why? response:	I can only tell the fortune of girls!
context: Why don't you use your head for useful studies instead?\Oh come on, I know you're interested.\Goodbye.\Izumo is really hard to get to.\Tell me my fortune too!\Nope, I can't do it for guys.\Why?\I can only tell the fortune of girls! response:	It's not the same to do it for guys.
context: Oh come on, I know you're interested.\Goodbye.\Izumo is really hard to get to.\Tell me my fortune too!\Nope, I can't do it for guys.\Why?\I can only tell the fortune of girls!\It's not the same to do it for guys. response:	Who cares, my birthday is -
context: Goodbye.\Izumo is really hard to get to.\Tell me my fortune too!\Nope, I can't do it for guys.\Why?\I can only tell the fortune of girls!\It's not the same to do it for guys.\Who cares, my birthday is - response:	I'm telling you that it won't work!
context: Izumo is really hard to get to.\Tell me my fortune too!\Nope, I can't do it for guys.\Why?\I can only tell the fortune of girls!\It's not the same to do it for guys.\Who cares, my birthday is -\I'm telling you that it won't work! response:	I wonder how Satan's son was born...
context: Tell me my fortune too!\Nope, I can't do it for guys.\Why?\I can only tell the fortune of girls!\It's not the same to do it for guys.\Who cares, my birthday is -\I'm telling you that it won't work!\I wonder how Satan's son was born... response:	Yeah...
context: Nope, I can't do it for guys.\Why?\I can only tell the fortune of girls!\It's not the same to do it for guys.\Who cares, my birthday is -\I'm telling you that it won't work!\I wonder how Satan's son was born...\Yeah... response:	What is it?
context: Why?\I can only tell the fortune of girls!\It's not the same to do it for guys.\Who cares, my birthday is -\I'm telling you that it won't work!\I wonder how Satan's son was born...\Yeah...\What is it? response:	Kamiki's birthday is so close!
context: I can only tell the fortune of girls!\It's not the same to do it for guys.\Who cares, my birthday is -\I'm telling you that it won't work!\I wonder how Satan's son was born...\Yeah...\What is it?\Kamiki's birthday is so close! response:	We should organize a surprise birthday party for Kamiki!
context: It's not the same to do it for guys.\Who cares, my birthday is -\I'm telling you that it won't work!\I wonder how Satan's son was born...\Yeah...\What is it?\Kamiki's birthday is so close!\We should organize a surprise birthday party for Kamiki! response:	Why do we have to celebrate her birthday?
context: Who cares, my birthday is -\I'm telling you that it won't work!\I wonder how Satan's son was born...\Yeah...\What is it?\Kamiki's birthday is so close!\We should organize a surprise birthday party for Kamiki!\Why do we have to celebrate her birthday? response:	Bon, we decided by majority rule, so don't complain!
context: I'm telling you that it won't work!\I wonder how Satan's son was born...\Yeah...\What is it?\Kamiki's birthday is so close!\We should organize a surprise birthday party for Kamiki!\Why do we have to celebrate her birthday?\Bon, we decided by majority rule, so don't complain! response:	Then let's decide on everyone's duties!
context: I wonder how Satan's son was born...\Yeah...\What is it?\Kamiki's birthday is so close!\We should organize a surprise birthday party for Kamiki!\Why do we have to celebrate her birthday?\Bon, we decided by majority rule, so don't complain!\Then let's decide on everyone's duties! response:	What do you do at a birthday party?
context: Yeah...\What is it?\Kamiki's birthday is so close!\We should organize a surprise birthday party for Kamiki!\Why do we have to celebrate her birthday?\Bon, we decided by majority rule, so don't complain!\Then let's decide on everyone's duties!\What do you do at a birthday party? response:	There should be presents... and a cake.
context: What is it?\Kamiki's birthday is so close!\We should organize a surprise birthday party for Kamiki!\Why do we have to celebrate her birthday?\Bon, we decided by majority rule, so don't complain!\Then let's decide on everyone's duties!\What do you do at a birthday party?\There should be presents... and a cake. response:	We should prepare snacks and drinks too.
context: Kamiki's birthday is so close!\We should organize a surprise birthday party for Kamiki!\Why do we have to celebrate her birthday?\Bon, we decided by majority rule, so don't complain!\Then let's decide on everyone's duties!\What do you do at a birthday party?\There should be presents... and a cake.\We should prepare snacks and drinks too. response:	And decorate the room...
context: We should organize a surprise birthday party for Kamiki!\Why do we have to celebrate her birthday?\Bon, we decided by majority rule, so don't complain!\Then let's decide on everyone's duties!\What do you do at a birthday party?\There should be presents... and a cake.\We should prepare snacks and drinks too.\And decorate the room... response:	I see!
context: Why do we have to celebrate her birthday?\Bon, we decided by majority rule, so don't complain!\Then let's decide on everyone's duties!\What do you do at a birthday party?\There should be presents... and a cake.\We should prepare snacks and drinks too.\And decorate the room...\I see! response:	Presents, huh? I wonder what would make her happy.
context: Bon, we decided by majority rule, so don't complain!\Then let's decide on everyone's duties!\What do you do at a birthday party?\There should be presents... and a cake.\We should prepare snacks and drinks too.\And decorate the room...\I see!\Presents, huh? I wonder what would make her happy. response:	It must be some kind of meat.
context: Then let's decide on everyone's duties!\What do you do at a birthday party?\There should be presents... and a cake.\We should prepare snacks and drinks too.\And decorate the room...\I see!\Presents, huh? I wonder what would make her happy.\It must be some kind of meat. response:	Barbeque or sukiyaki or roast beef...
context: What do you do at a birthday party?\There should be presents... and a cake.\We should prepare snacks and drinks too.\And decorate the room...\I see!\Presents, huh? I wonder what would make her happy.\It must be some kind of meat.\Barbeque or sukiyaki or roast beef... response:	That's just what you'd want to eat.
context: There should be presents... and a cake.\We should prepare snacks and drinks too.\And decorate the room...\I see!\Presents, huh? I wonder what would make her happy.\It must be some kind of meat.\Barbeque or sukiyaki or roast beef...\That's just what you'd want to eat. response:	A spit roasted turkey would be nice too... it would fit the party.
context: We should prepare snacks and drinks too.\And decorate the room...\I see!\Presents, huh? I wonder what would make her happy.\It must be some kind of meat.\Barbeque or sukiyaki or roast beef...\That's just what you'd want to eat.\A spit roasted turkey would be nice too... it would fit the party. response:	I've never seen one in my life though...
context: And decorate the room...\I see!\Presents, huh? I wonder what would make her happy.\It must be some kind of meat.\Barbeque or sukiyaki or roast beef...\That's just what you'd want to eat.\A spit roasted turkey would be nice too... it would fit the party.\I've never seen one in my life though... response:	Okumura, your menu is starting to sound a bit weird.
context: I see!\Presents, huh? I wonder what would make her happy.\It must be some kind of meat.\Barbeque or sukiyaki or roast beef...\That's just what you'd want to eat.\A spit roasted turkey would be nice too... it would fit the party.\I've never seen one in my life though...\Okumura, your menu is starting to sound a bit weird. response:	A flower bouquet would be nice, wouldn't it?
context: Presents, huh? I wonder what would make her happy.\It must be some kind of meat.\Barbeque or sukiyaki or roast beef...\That's just what you'd want to eat.\A spit roasted turkey would be nice too... it would fit the party.\I've never seen one in my life though...\Okumura, your menu is starting to sound a bit weird.\A flower bouquet would be nice, wouldn't it? response:	Thank you, Shima!
context: It must be some kind of meat.\Barbeque or sukiyaki or roast beef...\That's just what you'd want to eat.\A spit roasted turkey would be nice too... it would fit the party.\I've never seen one in my life though...\Okumura, your menu is starting to sound a bit weird.\A flower bouquet would be nice, wouldn't it?\Thank you, Shima! response:	You can't eat flowers!
context: Barbeque or sukiyaki or roast beef...\That's just what you'd want to eat.\A spit roasted turkey would be nice too... it would fit the party.\I've never seen one in my life though...\Okumura, your menu is starting to sound a bit weird.\A flower bouquet would be nice, wouldn't it?\Thank you, Shima!\You can't eat flowers! response:	Rin!
context: That's just what you'd want to eat.\A spit roasted turkey would be nice too... it would fit the party.\I've never seen one in my life though...\Okumura, your menu is starting to sound a bit weird.\A flower bouquet would be nice, wouldn't it?\Thank you, Shima!\You can't eat flowers!\Rin! response:	There are many edible flowers!
context: A spit roasted turkey would be nice too... it would fit the party.\I've never seen one in my life though...\Okumura, your menu is starting to sound a bit weird.\A flower bouquet would be nice, wouldn't it?\Thank you, Shima!\You can't eat flowers!\Rin!\There are many edible flowers! response:	Our garden has them too in the spring.
context: I've never seen one in my life though...\Okumura, your menu is starting to sound a bit weird.\A flower bouquet would be nice, wouldn't it?\Thank you, Shima!\You can't eat flowers!\Rin!\There are many edible flowers!\Our garden has them too in the spring. response:	Even you, Moriyama?
context: Okumura, your menu is starting to sound a bit weird.\A flower bouquet would be nice, wouldn't it?\Thank you, Shima!\You can't eat flowers!\Rin!\There are many edible flowers!\Our garden has them too in the spring.\Even you, Moriyama? response:	Shut the hell up, all of you!
context: A flower bouquet would be nice, wouldn't it?\Thank you, Shima!\You can't eat flowers!\Rin!\There are many edible flowers!\Our garden has them too in the spring.\Even you, Moriyama?\Shut the hell up, all of you! response:	Shima arranges the present! Research it and have it ready by Sunday!
context: Thank you, Shima!\You can't eat flowers!\Rin!\There are many edible flowers!\Our garden has them too in the spring.\Even you, Moriyama?\Shut the hell up, all of you!\Shima arranges the present! Research it and have it ready by Sunday! response:	Roger!
context: You can't eat flowers!\Rin!\There are many edible flowers!\Our garden has them too in the spring.\Even you, Moriyama?\Shut the hell up, all of you!\Shima arranges the present! Research it and have it ready by Sunday!\Roger! response:	Okumura prepares the cake! Don't buy one, bake one yourself!
context: Rin!\There are many edible flowers!\Our garden has them too in the spring.\Even you, Moriyama?\Shut the hell up, all of you!\Shima arranges the present! Research it and have it ready by Sunday!\Roger!\Okumura prepares the cake! Don't buy one, bake one yourself! response:	Sure! I've never made sweets before though.
context: There are many edible flowers!\Our garden has them too in the spring.\Even you, Moriyama?\Shut the hell up, all of you!\Shima arranges the present! Research it and have it ready by Sunday!\Roger!\Okumura prepares the cake! Don't buy one, bake one yourself!\Sure! I've never made sweets before though. response:	Konekomaru, you do the shopping and act as Okumura's advisor.
context: Our garden has them too in the spring.\Even you, Moriyama?\Shut the hell up, all of you!\Shima arranges the present! Research it and have it ready by Sunday!\Roger!\Okumura prepares the cake! Don't buy one, bake one yourself!\Sure! I've never made sweets before though.\Konekomaru, you do the shopping and act as Okumura's advisor. response:	Moriyama and I will decorate the room.
context: Even you, Moriyama?\Shut the hell up, all of you!\Shima arranges the present! Research it and have it ready by Sunday!\Roger!\Okumura prepares the cake! Don't buy one, bake one yourself!\Sure! I've never made sweets before though.\Konekomaru, you do the shopping and act as Okumura's advisor.\Moriyama and I will decorate the room. response:	You ain't half bad at getting stuff done, Bon.
context: Shut the hell up, all of you!\Shima arranges the present! Research it and have it ready by Sunday!\Roger!\Okumura prepares the cake! Don't buy one, bake one yourself!\Sure! I've never made sweets before though.\Konekomaru, you do the shopping and act as Okumura's advisor.\Moriyama and I will decorate the room.\You ain't half bad at getting stuff done, Bon. response:	Bon, could I do something else...
context: Shima arranges the present! Research it and have it ready by Sunday!\Roger!\Okumura prepares the cake! Don't buy one, bake one yourself!\Sure! I've never made sweets before though.\Konekomaru, you do the shopping and act as Okumura's advisor.\Moriyama and I will decorate the room.\You ain't half bad at getting stuff done, Bon.\Bon, could I do something else... response:	It's okay, I know how much you love Japanese sweets!
context: Roger!\Okumura prepares the cake! Don't buy one, bake one yourself!\Sure! I've never made sweets before though.\Konekomaru, you do the shopping and act as Okumura's advisor.\Moriyama and I will decorate the room.\You ain't half bad at getting stuff done, Bon.\Bon, could I do something else...\It's okay, I know how much you love Japanese sweets! response:	You'll do fine!
context: Okumura prepares the cake! Don't buy one, bake one yourself!\Sure! I've never made sweets before though.\Konekomaru, you do the shopping and act as Okumura's advisor.\Moriyama and I will decorate the room.\You ain't half bad at getting stuff done, Bon.\Bon, could I do something else...\It's okay, I know how much you love Japanese sweets!\You'll do fine! response:	But cakes and Japanese sweets are very different...
context: Sure! I've never made sweets before though.\Konekomaru, you do the shopping and act as Okumura's advisor.\Moriyama and I will decorate the room.\You ain't half bad at getting stuff done, Bon.\Bon, could I do something else...\It's okay, I know how much you love Japanese sweets!\You'll do fine!\But cakes and Japanese sweets are very different... response:	You can do it!
context: Konekomaru, you do the shopping and act as Okumura's advisor.\Moriyama and I will decorate the room.\You ain't half bad at getting stuff done, Bon.\Bon, could I do something else...\It's okay, I know how much you love Japanese sweets!\You'll do fine!\But cakes and Japanese sweets are very different...\You can do it! response:	Let's do our best, Konekomaru!
context: Moriyama and I will decorate the room.\You ain't half bad at getting stuff done, Bon.\Bon, could I do something else...\It's okay, I know how much you love Japanese sweets!\You'll do fine!\But cakes and Japanese sweets are very different...\You can do it!\Let's do our best, Konekomaru! response:	Yeah...
context: You ain't half bad at getting stuff done, Bon.\Bon, could I do something else...\It's okay, I know how much you love Japanese sweets!\You'll do fine!\But cakes and Japanese sweets are very different...\You can do it!\Let's do our best, Konekomaru!\Yeah... response:	Keep this a secret from everyone. Be very careful.
context: Bon, could I do something else...\It's okay, I know how much you love Japanese sweets!\You'll do fine!\But cakes and Japanese sweets are very different...\You can do it!\Let's do our best, Konekomaru!\Yeah...\Keep this a secret from everyone. Be very careful. response:	Good luck, everyone!
context: It's okay, I know how much you love Japanese sweets!\You'll do fine!\But cakes and Japanese sweets are very different...\You can do it!\Let's do our best, Konekomaru!\Yeah...\Keep this a secret from everyone. Be very careful.\Good luck, everyone! response:	A birthday, huh?
context: You'll do fine!\But cakes and Japanese sweets are very different...\You can do it!\Let's do our best, Konekomaru!\Yeah...\Keep this a secret from everyone. Be very careful.\Good luck, everyone!\A birthday, huh? response:	Ah, Shima! Are you looking for someone?
context: But cakes and Japanese sweets are very different...\You can do it!\Let's do our best, Konekomaru!\Yeah...\Keep this a secret from everyone. Be very careful.\Good luck, everyone!\A birthday, huh?\Ah, Shima! Are you looking for someone? response:	Umm, just... Is Paku around?
context: You can do it!\Let's do our best, Konekomaru!\Yeah...\Keep this a secret from everyone. Be very careful.\Good luck, everyone!\A birthday, huh?\Ah, Shima! Are you looking for someone?\Umm, just... Is Paku around? response:	She just came back.
context: Let's do our best, Konekomaru!\Yeah...\Keep this a secret from everyone. Be very careful.\Good luck, everyone!\A birthday, huh?\Ah, Shima! Are you looking for someone?\Umm, just... Is Paku around?\She just came back. response:	Paku!
context: Yeah...\Keep this a secret from everyone. Be very careful.\Good luck, everyone!\A birthday, huh?\Ah, Shima! Are you looking for someone?\Umm, just... Is Paku around?\She just came back.\Paku! response:	What's going on?
context: Keep this a secret from everyone. Be very careful.\Good luck, everyone!\A birthday, huh?\Ah, Shima! Are you looking for someone?\Umm, just... Is Paku around?\She just came back.\Paku!\What's going on? response:	Can I have a word with you? Come with me for a second.
context: Good luck, everyone!\A birthday, huh?\Ah, Shima! Are you looking for someone?\Umm, just... Is Paku around?\She just came back.\Paku!\What's going on?\Can I have a word with you? Come with me for a second. response:	No way, those two...!
context: A birthday, huh?\Ah, Shima! Are you looking for someone?\Umm, just... Is Paku around?\She just came back.\Paku!\What's going on?\Can I have a word with you? Come with me for a second.\No way, those two...! response:	Sorry to drag you out here so suddenly.
context: Ah, Shima! Are you looking for someone?\Umm, just... Is Paku around?\She just came back.\Paku!\What's going on?\Can I have a word with you? Come with me for a second.\No way, those two...!\Sorry to drag you out here so suddenly. response:	I don't mind.
context: Umm, just... Is Paku around?\She just came back.\Paku!\What's going on?\Can I have a word with you? Come with me for a second.\No way, those two...!\Sorry to drag you out here so suddenly.\I don't mind. response:	Great, you're so nice, Paku!
context: She just came back.\Paku!\What's going on?\Can I have a word with you? Come with me for a second.\No way, those two...!\Sorry to drag you out here so suddenly.\I don't mind.\Great, you're so nice, Paku! response:	Your looks and your kindness are both top grade!
context: Paku!\What's going on?\Can I have a word with you? Come with me for a second.\No way, those two...!\Sorry to drag you out here so suddenly.\I don't mind.\Great, you're so nice, Paku!\Your looks and your kindness are both top grade! response:	Okumura, read the recipe for me, please.
context: What's going on?\Can I have a word with you? Come with me for a second.\No way, those two...!\Sorry to drag you out here so suddenly.\I don't mind.\Great, you're so nice, Paku!\Your looks and your kindness are both top grade!\Okumura, read the recipe for me, please. response:	Sure, let's see.
context: Can I have a word with you? Come with me for a second.\No way, those two...!\Sorry to drag you out here so suddenly.\I don't mind.\Great, you're so nice, Paku!\Your looks and your kindness are both top grade!\Okumura, read the recipe for me, please.\Sure, let's see. response:	Four eggs, 200 grams of sugar, flour...
context: No way, those two...!\Sorry to drag you out here so suddenly.\I don't mind.\Great, you're so nice, Paku!\Your looks and your kindness are both top grade!\Okumura, read the recipe for me, please.\Sure, let's see.\Four eggs, 200 grams of sugar, flour... response:	What are you two doing?
context: Sorry to drag you out here so suddenly.\I don't mind.\Great, you're so nice, Paku!\Your looks and your kindness are both top grade!\Okumura, read the recipe for me, please.\Sure, let's see.\Four eggs, 200 grams of sugar, flour...\What are you two doing? response:	I'll leave the rest to you!
context: I don't mind.\Great, you're so nice, Paku!\Your looks and your kindness are both top grade!\Okumura, read the recipe for me, please.\Sure, let's see.\Four eggs, 200 grams of sugar, flour...\What are you two doing?\I'll leave the rest to you! response:	What?
context: Great, you're so nice, Paku!\Your looks and your kindness are both top grade!\Okumura, read the recipe for me, please.\Sure, let's see.\Four eggs, 200 grams of sugar, flour...\What are you two doing?\I'll leave the rest to you!\What? response:	No-Nothing! See you later!
context: Your looks and your kindness are both top grade!\Okumura, read the recipe for me, please.\Sure, let's see.\Four eggs, 200 grams of sugar, flour...\What are you two doing?\I'll leave the rest to you!\What?\No-Nothing! See you later! response:	And that's how it's done.
context: Okumura, read the recipe for me, please.\Sure, let's see.\Four eggs, 200 grams of sugar, flour...\What are you two doing?\I'll leave the rest to you!\What?\No-Nothing! See you later!\And that's how it's done. response:	Amazing! Suguro, you're so good at handicrafts!
context: Sure, let's see.\Four eggs, 200 grams of sugar, flour...\What are you two doing?\I'll leave the rest to you!\What?\No-Nothing! See you later!\And that's how it's done.\Amazing! Suguro, you're so good at handicrafts! response:	Well...
context: Four eggs, 200 grams of sugar, flour...\What are you two doing?\I'll leave the rest to you!\What?\No-Nothing! See you later!\And that's how it's done.\Amazing! Suguro, you're so good at handicrafts!\Well... response:	Umm...
context: What are you two doing?\I'll leave the rest to you!\What?\No-Nothing! See you later!\And that's how it's done.\Amazing! Suguro, you're so good at handicrafts!\Well...\Umm... response:	What are you doing?
context: I'll leave the rest to you!\What?\No-Nothing! See you later!\And that's how it's done.\Amazing! Suguro, you're so good at handicrafts!\Well...\Umm...\What are you doing? response:	Umm, well, we're just...
context: What?\No-Nothing! See you later!\And that's how it's done.\Amazing! Suguro, you're so good at handicrafts!\Well...\Umm...\What are you doing?\Umm, well, we're just... response:	It's none of your business!
context: No-Nothing! See you later!\And that's how it's done.\Amazing! Suguro, you're so good at handicrafts!\Well...\Umm...\What are you doing?\Umm, well, we're just...\It's none of your business! response:	Hey! Wait, Suguro!
context: And that's how it's done.\Amazing! Suguro, you're so good at handicrafts!\Well...\Umm...\What are you doing?\Umm, well, we're just...\It's none of your business!\Hey! Wait, Suguro! response:	Just... what?
context: Amazing! Suguro, you're so good at handicrafts!\Well...\Umm...\What are you doing?\Umm, well, we're just...\It's none of your business!\Hey! Wait, Suguro!\Just... what? response:	Are you going out with him?
context: Well...\Umm...\What are you doing?\Umm, well, we're just...\It's none of your business!\Hey! Wait, Suguro!\Just... what?\Are you going out with him? response:	Huh?
context: Umm...\What are you doing?\Umm, well, we're just...\It's none of your business!\Hey! Wait, Suguro!\Just... what?\Are you going out with him?\Huh? response:	You were chatting during the lunch break like two little birdies.
context: What are you doing?\Umm, well, we're just...\It's none of your business!\Hey! Wait, Suguro!\Just... what?\Are you going out with him?\Huh?\You were chatting during the lunch break like two little birdies. response:	Ah, Shima? No way!
context: Umm, well, we're just...\It's none of your business!\Hey! Wait, Suguro!\Just... what?\Are you going out with him?\Huh?\You were chatting during the lunch break like two little birdies.\Ah, Shima? No way! response:	Really?
context: It's none of your business!\Hey! Wait, Suguro!\Just... what?\Are you going out with him?\Huh?\You were chatting during the lunch break like two little birdies.\Ah, Shima? No way!\Really? response:	Really! He just asked me about the upcoming bir -
context: Hey! Wait, Suguro!\Just... what?\Are you going out with him?\Huh?\You were chatting during the lunch break like two little birdies.\Ah, Shima? No way!\Really?\Really! He just asked me about the upcoming bir - response:	Never mind then... I was worried because he's such a flirt.
context: Just... what?\Are you going out with him?\Huh?\You were chatting during the lunch break like two little birdies.\Ah, Shima? No way!\Really?\Really! He just asked me about the upcoming bir -\Never mind then... I was worried because he's such a flirt. response:	What are you making, Rin?
context: Are you going out with him?\Huh?\You were chatting during the lunch break like two little birdies.\Ah, Shima? No way!\Really?\Really! He just asked me about the upcoming bir -\Never mind then... I was worried because he's such a flirt.\What are you making, Rin? response:	A birthday cake!
context: Huh?\You were chatting during the lunch break like two little birdies.\Ah, Shima? No way!\Really?\Really! He just asked me about the upcoming bir -\Never mind then... I was worried because he's such a flirt.\What are you making, Rin?\A birthday cake! response:	Cake? What's a cake?
context: You were chatting during the lunch break like two little birdies.\Ah, Shima? No way!\Really?\Really! He just asked me about the upcoming bir -\Never mind then... I was worried because he's such a flirt.\What are you making, Rin?\A birthday cake!\Cake? What's a cake? response:	You'll know once you see it.
context: Ah, Shima? No way!\Really?\Really! He just asked me about the upcoming bir -\Never mind then... I was worried because he's such a flirt.\What are you making, Rin?\A birthday cake!\Cake? What's a cake?\You'll know once you see it. response:	After all that happened...
context: Really?\Really! He just asked me about the upcoming bir -\Never mind then... I was worried because he's such a flirt.\What are you making, Rin?\A birthday cake!\Cake? What's a cake?\You'll know once you see it.\After all that happened... response:	It's so awkward to be alone with Okumura.
context: Really! He just asked me about the upcoming bir -\Never mind then... I was worried because he's such a flirt.\What are you making, Rin?\A birthday cake!\Cake? What's a cake?\You'll know once you see it.\After all that happened...\It's so awkward to be alone with Okumura. response:	What's next?
context: Never mind then... I was worried because he's such a flirt.\What are you making, Rin?\A birthday cake!\Cake? What's a cake?\You'll know once you see it.\After all that happened...\It's so awkward to be alone with Okumura.\What's next? response:	Umm, you sieve the flour and mix it well with the rest.
context: What are you making, Rin?\A birthday cake!\Cake? What's a cake?\You'll know once you see it.\After all that happened...\It's so awkward to be alone with Okumura.\What's next?\Umm, you sieve the flour and mix it well with the rest. response:	I'll do it!
context: A birthday cake!\Cake? What's a cake?\You'll know once you see it.\After all that happened...\It's so awkward to be alone with Okumura.\What's next?\Umm, you sieve the flour and mix it well with the rest.\I'll do it! response:	Konekomaru, you're good! You really haven't done this before?
context: Cake? What's a cake?\You'll know once you see it.\After all that happened...\It's so awkward to be alone with Okumura.\What's next?\Umm, you sieve the flour and mix it well with the rest.\I'll do it!\Konekomaru, you're good! You really haven't done this before? response:	Yeah, I just watched and learned.
context: You'll know once you see it.\After all that happened...\It's so awkward to be alone with Okumura.\What's next?\Umm, you sieve the flour and mix it well with the rest.\I'll do it!\Konekomaru, you're good! You really haven't done this before?\Yeah, I just watched and learned. response:	But you too are so good at this, it's hard to believe that this is your first time.
