context: OZ is a virtual world that can be enjoyed response:	by people from all over the world.
context: so you can relax and enjoy.\Inside the shopping mall you can find music, movies, furniture,\food, cars, real estate, souvenirs and more\from all over the globe, just like in the real world.\If you wish to shop around more, try the Galleria.\World-famous brand name stores can be found here,\and you can even buy items to decorate your avatar.\But what's most necessary in OZ is nothing other than... response:	Communication.
context: Inside the shopping mall you can find music, movies, furniture,\food, cars, real estate, souvenirs and more\from all over the globe, just like in the real world.\If you wish to shop around more, try the Galleria.\World-famous brand name stores can be found here,\and you can even buy items to decorate your avatar.\But what's most necessary in OZ is nothing other than...\Communication. response:	OZ supports instantaneous translation services for every language in the world,
context: food, cars, real estate, souvenirs and more\from all over the globe, just like in the real world.\If you wish to shop around more, try the Galleria.\World-famous brand name stores can be found here,\and you can even buy items to decorate your avatar.\But what's most necessary in OZ is nothing other than...\Communication.\OZ supports instantaneous translation services for every language in the world, response:	so you can enjoy conversation with anybody, no matter where they might hail from.
context: from all over the globe, just like in the real world.\If you wish to shop around more, try the Galleria.\World-famous brand name stores can be found here,\and you can even buy items to decorate your avatar.\But what's most necessary in OZ is nothing other than...\Communication.\OZ supports instantaneous translation services for every language in the world,\so you can enjoy conversation with anybody, no matter where they might hail from. response:	There are currently 4 million active communities in OZ.
context: If you wish to shop around more, try the Galleria.\World-famous brand name stores can be found here,\and you can even buy items to decorate your avatar.\But what's most necessary in OZ is nothing other than...\Communication.\OZ supports instantaneous translation services for every language in the world,\so you can enjoy conversation with anybody, no matter where they might hail from.\There are currently 4 million active communities in OZ. response:	Through your avatar,
context: World-famous brand name stores can be found here,\and you can even buy items to decorate your avatar.\But what's most necessary in OZ is nothing other than...\Communication.\OZ supports instantaneous translation services for every language in the world,\so you can enjoy conversation with anybody, no matter where they might hail from.\There are currently 4 million active communities in OZ.\Through your avatar, response:	you can also try your hand at various sports.
context: and you can even buy items to decorate your avatar.\But what's most necessary in OZ is nothing other than...\Communication.\OZ supports instantaneous translation services for every language in the world,\so you can enjoy conversation with anybody, no matter where they might hail from.\There are currently 4 million active communities in OZ.\Through your avatar,\you can also try your hand at various sports. response:	OZ supports a lively business environment as well,
context: But what's most necessary in OZ is nothing other than...\Communication.\OZ supports instantaneous translation services for every language in the world,\so you can enjoy conversation with anybody, no matter where they might hail from.\There are currently 4 million active communities in OZ.\Through your avatar,\you can also try your hand at various sports.\OZ supports a lively business environment as well, response:	and companies worldwide have set up branches inside OZ.
context: Communication.\OZ supports instantaneous translation services for every language in the world,\so you can enjoy conversation with anybody, no matter where they might hail from.\There are currently 4 million active communities in OZ.\Through your avatar,\you can also try your hand at various sports.\OZ supports a lively business environment as well,\and companies worldwide have set up branches inside OZ. response:	You can open an office here, too.
context: OZ supports instantaneous translation services for every language in the world,\so you can enjoy conversation with anybody, no matter where they might hail from.\There are currently 4 million active communities in OZ.\Through your avatar,\you can also try your hand at various sports.\OZ supports a lively business environment as well,\and companies worldwide have set up branches inside OZ.\You can open an office here, too. response:	Furthermore, many administrative bodies and local governments
context: so you can enjoy conversation with anybody, no matter where they might hail from.\There are currently 4 million active communities in OZ.\Through your avatar,\you can also try your hand at various sports.\OZ supports a lively business environment as well,\and companies worldwide have set up branches inside OZ.\You can open an office here, too.\Furthermore, many administrative bodies and local governments response:	can be dealt with through OZ.
context: There are currently 4 million active communities in OZ.\Through your avatar,\you can also try your hand at various sports.\OZ supports a lively business environment as well,\and companies worldwide have set up branches inside OZ.\You can open an office here, too.\Furthermore, many administrative bodies and local governments\can be dealt with through OZ. response:	You can pay your taxes and take care of various legal processes.
context: Through your avatar,\you can also try your hand at various sports.\OZ supports a lively business environment as well,\and companies worldwide have set up branches inside OZ.\You can open an office here, too.\Furthermore, many administrative bodies and local governments\can be dealt with through OZ.\You can pay your taxes and take care of various legal processes. response:	Finally, let us introduce the guardian spirits of OZ,
context: you can also try your hand at various sports.\OZ supports a lively business environment as well,\and companies worldwide have set up branches inside OZ.\You can open an office here, too.\Furthermore, many administrative bodies and local governments\can be dealt with through OZ.\You can pay your taxes and take care of various legal processes.\Finally, let us introduce the guardian spirits of OZ, response:	John and Yoko.
context: OZ supports a lively business environment as well,\and companies worldwide have set up branches inside OZ.\You can open an office here, too.\Furthermore, many administrative bodies and local governments\can be dealt with through OZ.\You can pay your taxes and take care of various legal processes.\Finally, let us introduce the guardian spirits of OZ,\John and Yoko. response:	Now, it's time for you to start an engaging life inside OZ.
context: and companies worldwide have set up branches inside OZ.\You can open an office here, too.\Furthermore, many administrative bodies and local governments\can be dealt with through OZ.\You can pay your taxes and take care of various legal processes.\Finally, let us introduce the guardian spirits of OZ,\John and Yoko.\Now, it's time for you to start an engaging life inside OZ. response:	Monday, July 26th,
context: You can open an office here, too.\Furthermore, many administrative bodies and local governments\can be dealt with through OZ.\You can pay your taxes and take care of various legal processes.\Finally, let us introduce the guardian spirits of OZ,\John and Yoko.\Now, it's time for you to start an engaging life inside OZ.\Monday, July 26th, response:	Afternoon News.
context: Furthermore, many administrative bodies and local governments\can be dealt with through OZ.\You can pay your taxes and take care of various legal processes.\Finally, let us introduce the guardian spirits of OZ,\John and Yoko.\Now, it's time for you to start an engaging life inside OZ.\Monday, July 26th,\Afternoon News. response:	This morning, the planetary probe Arawashi
context: can be dealt with through OZ.\You can pay your taxes and take care of various legal processes.\Finally, let us introduce the guardian spirits of OZ,\John and Yoko.\Now, it's time for you to start an engaging life inside OZ.\Monday, July 26th,\Afternoon News.\This morning, the planetary probe Arawashi response:	moved from its orbit around the Sun to circle the Earth.
context: You can pay your taxes and take care of various legal processes.\Finally, let us introduce the guardian spirits of OZ,\John and Yoko.\Now, it's time for you to start an engaging life inside OZ.\Monday, July 26th,\Afternoon News.\This morning, the planetary probe Arawashi\moved from its orbit around the Sun to circle the Earth. response:	Through Arawashi experienced many problems during its journey,
context: Finally, let us introduce the guardian spirits of OZ,\John and Yoko.\Now, it's time for you to start an engaging life inside OZ.\Monday, July 26th,\Afternoon News.\This morning, the planetary probe Arawashi\moved from its orbit around the Sun to circle the Earth.\Through Arawashi experienced many problems during its journey, response:	the plans to send the solar sample capsule
context: John and Yoko.\Now, it's time for you to start an engaging life inside OZ.\Monday, July 26th,\Afternoon News.\This morning, the planetary probe Arawashi\moved from its orbit around the Sun to circle the Earth.\Through Arawashi experienced many problems during its journey,\the plans to send the solar sample capsule response:	gathered from the planetoid Matokawa to Earth
context: Now, it's time for you to start an engaging life inside OZ.\Monday, July 26th,\Afternoon News.\This morning, the planetary probe Arawashi\moved from its orbit around the Sun to circle the Earth.\Through Arawashi experienced many problems during its journey,\the plans to send the solar sample capsule\gathered from the planetoid Matokawa to Earth response:	are proceeding as scheduled.
context: Monday, July 26th,\Afternoon News.\This morning, the planetary probe Arawashi\moved from its orbit around the Sun to circle the Earth.\Through Arawashi experienced many problems during its journey,\the plans to send the solar sample capsule\gathered from the planetoid Matokawa to Earth\are proceeding as scheduled. response:	And now for our next item.
context: Afternoon News.\This morning, the planetary probe Arawashi\moved from its orbit around the Sun to circle the Earth.\Through Arawashi experienced many problems during its journey,\the plans to send the solar sample capsule\gathered from the planetoid Matokawa to Earth\are proceeding as scheduled.\And now for our next item. response:	If I'd just tried a little harder I could've represented Japan...
context: This morning, the planetary probe Arawashi\moved from its orbit around the Sun to circle the Earth.\Through Arawashi experienced many problems during its journey,\the plans to send the solar sample capsule\gathered from the planetoid Matokawa to Earth\are proceeding as scheduled.\And now for our next item.\If I'd just tried a little harder I could've represented Japan... response:	That again? Just give it a re...
context: moved from its orbit around the Sun to circle the Earth.\Through Arawashi experienced many problems during its journey,\the plans to send the solar sample capsule\gathered from the planetoid Matokawa to Earth\are proceeding as scheduled.\And now for our next item.\If I'd just tried a little harder I could've represented Japan...\That again? Just give it a re... response:	Hey, part-timers! Quit slacking!
context: Through Arawashi experienced many problems during its journey,\the plans to send the solar sample capsule\gathered from the planetoid Matokawa to Earth\are proceeding as scheduled.\And now for our next item.\If I'd just tried a little harder I could've represented Japan...\That again? Just give it a re...\Hey, part-timers! Quit slacking! response:	Yes sir.
context: the plans to send the solar sample capsule\gathered from the planetoid Matokawa to Earth\are proceeding as scheduled.\And now for our next item.\If I'd just tried a little harder I could've represented Japan...\That again? Just give it a re...\Hey, part-timers! Quit slacking!\Yes sir. response:	But it's really a shame.
context: gathered from the planetoid Matokawa to Earth\are proceeding as scheduled.\And now for our next item.\If I'd just tried a little harder I could've represented Japan...\That again? Just give it a re...\Hey, part-timers! Quit slacking!\Yes sir.\But it's really a shame. response:	Oh, shove it.
context: are proceeding as scheduled.\And now for our next item.\If I'd just tried a little harder I could've represented Japan...\That again? Just give it a re...\Hey, part-timers! Quit slacking!\Yes sir.\But it's really a shame.\Oh, shove it. response:	Try and find something else to do.
context: And now for our next item.\If I'd just tried a little harder I could've represented Japan...\That again? Just give it a re...\Hey, part-timers! Quit slacking!\Yes sir.\But it's really a shame.\Oh, shove it.\Try and find something else to do. response:	Let's think up something to do for summer vacation.
context: If I'd just tried a little harder I could've represented Japan...\That again? Just give it a re...\Hey, part-timers! Quit slacking!\Yes sir.\But it's really a shame.\Oh, shove it.\Try and find something else to do.\Let's think up something to do for summer vacation. response:	Girls! C'mon, girls!
context: That again? Just give it a re...\Hey, part-timers! Quit slacking!\Yes sir.\But it's really a shame.\Oh, shove it.\Try and find something else to do.\Let's think up something to do for summer vacation.\Girls! C'mon, girls! response:	Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?
context: Hey, part-timers! Quit slacking!\Yes sir.\But it's really a shame.\Oh, shove it.\Try and find something else to do.\Let's think up something to do for summer vacation.\Girls! C'mon, girls!\Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right? response:	Watermelon and fireworks are enough for me.
context: Yes sir.\But it's really a shame.\Oh, shove it.\Try and find something else to do.\Let's think up something to do for summer vacation.\Girls! C'mon, girls!\Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?\Watermelon and fireworks are enough for me. response:	Don't be such a wimp.
context: But it's really a shame.\Oh, shove it.\Try and find something else to do.\Let's think up something to do for summer vacation.\Girls! C'mon, girls!\Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?\Watermelon and fireworks are enough for me.\Don't be such a wimp. response:	I don't care either way.
context: Oh, shove it.\Try and find something else to do.\Let's think up something to do for summer vacation.\Girls! C'mon, girls!\Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?\Watermelon and fireworks are enough for me.\Don't be such a wimp.\I don't care either way. response:	Anybody up for a part-time job?
context: Try and find something else to do.\Let's think up something to do for summer vacation.\Girls! C'mon, girls!\Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?\Watermelon and fireworks are enough for me.\Don't be such a wimp.\I don't care either way.\Anybody up for a part-time job? response:	We're actually in the middle of one...
context: Let's think up something to do for summer vacation.\Girls! C'mon, girls!\Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?\Watermelon and fireworks are enough for me.\Don't be such a wimp.\I don't care either way.\Anybody up for a part-time job?\We're actually in the middle of one... response:	A job?
context: Girls! C'mon, girls!\Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?\Watermelon and fireworks are enough for me.\Don't be such a wimp.\I don't care either way.\Anybody up for a part-time job?\We're actually in the middle of one...\A job? response:	We're running additional system maintenance on OZ.
context: Watermelon, fireworks, and girls. That's what comes to mind when you say summer, right?\Watermelon and fireworks are enough for me.\Don't be such a wimp.\I don't care either way.\Anybody up for a part-time job?\We're actually in the middle of one...\A job?\We're running additional system maintenance on OZ. response:	On OZ? That's amazing!
context: Watermelon and fireworks are enough for me.\Don't be such a wimp.\I don't care either way.\Anybody up for a part-time job?\We're actually in the middle of one...\A job?\We're running additional system maintenance on OZ.\On OZ? That's amazing! response:	No, no. We're just code monkeys. It's nothing special.
context: Don't be such a wimp.\I don't care either way.\Anybody up for a part-time job?\We're actually in the middle of one...\A job?\We're running additional system maintenance on OZ.\On OZ? That's amazing!\No, no. We're just code monkeys. It's nothing special. response:	I see, so you were already working... darn.
context: I don't care either way.\Anybody up for a part-time job?\We're actually in the middle of one...\A job?\We're running additional system maintenance on OZ.\On OZ? That's amazing!\No, no. We're just code monkeys. It's nothing special.\I see, so you were already working... darn. response:	Isn't there anyone who's free?
context: Anybody up for a part-time job?\We're actually in the middle of one...\A job?\We're running additional system maintenance on OZ.\On OZ? That's amazing!\No, no. We're just code monkeys. It's nothing special.\I see, so you were already working... darn.\Isn't there anyone who's free? response:	Umm, Natsuki-sempai! If you're okay with me...
context: We're actually in the middle of one...\A job?\We're running additional system maintenance on OZ.\On OZ? That's amazing!\No, no. We're just code monkeys. It's nothing special.\I see, so you were already working... darn.\Isn't there anyone who's free?\Umm, Natsuki-sempai! If you're okay with me... response:	Really?
context: A job?\We're running additional system maintenance on OZ.\On OZ? That's amazing!\No, no. We're just code monkeys. It's nothing special.\I see, so you were already working... darn.\Isn't there anyone who's free?\Umm, Natsuki-sempai! If you're okay with me...\Really? response:	Hey, what about this?
context: We're running additional system maintenance on OZ.\On OZ? That's amazing!\No, no. We're just code monkeys. It's nothing special.\I see, so you were already working... darn.\Isn't there anyone who's free?\Umm, Natsuki-sempai! If you're okay with me...\Really?\Hey, what about this? response:	Sorry, I don't think I can do it after all.
context: On OZ? That's amazing!\No, no. We're just code monkeys. It's nothing special.\I see, so you were already working... darn.\Isn't there anyone who's free?\Umm, Natsuki-sempai! If you're okay with me...\Really?\Hey, what about this?\Sorry, I don't think I can do it after all. response:	No good, huh?
context: No, no. We're just code monkeys. It's nothing special.\I see, so you were already working... darn.\Isn't there anyone who's free?\Umm, Natsuki-sempai! If you're okay with me...\Really?\Hey, what about this?\Sorry, I don't think I can do it after all.\No good, huh? response:	All you'd have to do is follow me into the country...
context: I see, so you were already working... darn.\Isn't there anyone who's free?\Umm, Natsuki-sempai! If you're okay with me...\Really?\Hey, what about this?\Sorry, I don't think I can do it after all.\No good, huh?\All you'd have to do is follow me into the country... response:	Then I'll do it!
context: Isn't there anyone who's free?\Umm, Natsuki-sempai! If you're okay with me...\Really?\Hey, what about this?\Sorry, I don't think I can do it after all.\No good, huh?\All you'd have to do is follow me into the country...\Then I'll do it! response:	What the hell?
context: Umm, Natsuki-sempai! If you're okay with me...\Really?\Hey, what about this?\Sorry, I don't think I can do it after all.\No good, huh?\All you'd have to do is follow me into the country...\Then I'll do it!\What the hell? response:	Then... me too!
context: Really?\Hey, what about this?\Sorry, I don't think I can do it after all.\No good, huh?\All you'd have to do is follow me into the country...\Then I'll do it!\What the hell?\Then... me too! response:	But two's a bit much.
context: Hey, what about this?\Sorry, I don't think I can do it after all.\No good, huh?\All you'd have to do is follow me into the country...\Then I'll do it!\What the hell?\Then... me too!\But two's a bit much. response:	All I need is one.
context: Sorry, I don't think I can do it after all.\No good, huh?\All you'd have to do is follow me into the country...\Then I'll do it!\What the hell?\Then... me too!\But two's a bit much.\All I need is one. response:	I'll take on anyone!
context: No good, huh?\All you'd have to do is follow me into the country...\Then I'll do it!\What the hell?\Then... me too!\But two's a bit much.\All I need is one.\I'll take on anyone! response:	- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki
context: All you'd have to do is follow me into the country...\Then I'll do it!\What the hell?\Then... me too!\But two's a bit much.\All I need is one.\I'll take on anyone!\- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki response:	Ah, Kenji-kun! Over here!
context: Then I'll do it!\What the hell?\Then... me too!\But two's a bit much.\All I need is one.\I'll take on anyone!\- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki\Ah, Kenji-kun! Over here! response:	Sorry I'm late.
context: What the hell?\Then... me too!\But two's a bit much.\All I need is one.\I'll take on anyone!\- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki\Ah, Kenji-kun! Over here!\Sorry I'm late. response:	Nah, you're right on time.
context: Then... me too!\But two's a bit much.\All I need is one.\I'll take on anyone!\- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki\Ah, Kenji-kun! Over here!\Sorry I'm late.\Nah, you're right on time. response:	Sakuma-kun would've probably run late.
context: But two's a bit much.\All I need is one.\I'll take on anyone!\- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki\Ah, Kenji-kun! Over here!\Sorry I'm late.\Nah, you're right on time.\Sakuma-kun would've probably run late. response:	I'll do whatever you want.
context: All I need is one.\I'll take on anyone!\- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki\Ah, Kenji-kun! Over here!\Sorry I'm late.\Nah, you're right on time.\Sakuma-kun would've probably run late.\I'll do whatever you want. response:	Thanks.
context: I'll take on anyone!\- When are you coming? - I'm getting on the train right now. Wait for me! Natsuki\Ah, Kenji-kun! Over here!\Sorry I'm late.\Nah, you're right on time.\Sakuma-kun would've probably run late.\I'll do whatever you want.\Thanks. response:	For now, I just want you to carry my stuff.
context: - When are you coming? - I'm getting on the train right now. Wait for me! Natsuki\Ah, Kenji-kun! Over here!\Sorry I'm late.\Nah, you're right on time.\Sakuma-kun would've probably run late.\I'll do whatever you want.\Thanks.\For now, I just want you to carry my stuff. response:	We're going to Ueda in Nagano?
context: Ah, Kenji-kun! Over here!\Sorry I'm late.\Nah, you're right on time.\Sakuma-kun would've probably run late.\I'll do whatever you want.\Thanks.\For now, I just want you to carry my stuff.\We're going to Ueda in Nagano? response:	It's my Grandma's birthday party.
context: Sorry I'm late.\Nah, you're right on time.\Sakuma-kun would've probably run late.\I'll do whatever you want.\Thanks.\For now, I just want you to carry my stuff.\We're going to Ueda in Nagano?\It's my Grandma's birthday party. response:	Relatives are coming from all over the country,
context: Nah, you're right on time.\Sakuma-kun would've probably run late.\I'll do whatever you want.\Thanks.\For now, I just want you to carry my stuff.\We're going to Ueda in Nagano?\It's my Grandma's birthday party.\Relatives are coming from all over the country, response:	and we're really strapped for able bodies.
context: Sakuma-kun would've probably run late.\I'll do whatever you want.\Thanks.\For now, I just want you to carry my stuff.\We're going to Ueda in Nagano?\It's my Grandma's birthday party.\Relatives are coming from all over the country,\and we're really strapped for able bodies. response:	But anyway, what was that about representing Japan?
context: I'll do whatever you want.\Thanks.\For now, I just want you to carry my stuff.\We're going to Ueda in Nagano?\It's my Grandma's birthday party.\Relatives are coming from all over the country,\and we're really strapped for able bodies.\But anyway, what was that about representing Japan? response:	I heard about it from Sakuma-kun.
context: Thanks.\For now, I just want you to carry my stuff.\We're going to Ueda in Nagano?\It's my Grandma's birthday party.\Relatives are coming from all over the country,\and we're really strapped for able bodies.\But anyway, what was that about representing Japan?\I heard about it from Sakuma-kun. response:	He said you almost made it.
context: For now, I just want you to carry my stuff.\We're going to Ueda in Nagano?\It's my Grandma's birthday party.\Relatives are coming from all over the country,\and we're really strapped for able bodies.\But anyway, what was that about representing Japan?\I heard about it from Sakuma-kun.\He said you almost made it. response:	What kind of contest was it?
context: We're going to Ueda in Nagano?\It's my Grandma's birthday party.\Relatives are coming from all over the country,\and we're really strapped for able bodies.\But anyway, what was that about representing Japan?\I heard about it from Sakuma-kun.\He said you almost made it.\What kind of contest was it? response:	A math Olympiad.
context: It's my Grandma's birthday party.\Relatives are coming from all over the country,\and we're really strapped for able bodies.\But anyway, what was that about representing Japan?\I heard about it from Sakuma-kun.\He said you almost made it.\What kind of contest was it?\A math Olympiad. response:	An Olympiad? What's that?
context: Relatives are coming from all over the country,\and we're really strapped for able bodies.\But anyway, what was that about representing Japan?\I heard about it from Sakuma-kun.\He said you almost made it.\What kind of contest was it?\A math Olympiad.\An Olympiad? What's that? response:	So you're good at math, huh.
context: and we're really strapped for able bodies.\But anyway, what was that about representing Japan?\I heard about it from Sakuma-kun.\He said you almost made it.\What kind of contest was it?\A math Olympiad.\An Olympiad? What's that?\So you're good at math, huh. response:	Umm, I guess.
context: But anyway, what was that about representing Japan?\I heard about it from Sakuma-kun.\He said you almost made it.\What kind of contest was it?\A math Olympiad.\An Olympiad? What's that?\So you're good at math, huh.\Umm, I guess. response:	Math is all I'm really good at.
context: I heard about it from Sakuma-kun.\He said you almost made it.\What kind of contest was it?\A math Olympiad.\An Olympiad? What's that?\So you're good at math, huh.\Umm, I guess.\Math is all I'm really good at. response:	Calculate something.
context: He said you almost made it.\What kind of contest was it?\A math Olympiad.\An Olympiad? What's that?\So you're good at math, huh.\Umm, I guess.\Math is all I'm really good at.\Calculate something. response:	Okay. Sempai, when were you born?
context: What kind of contest was it?\A math Olympiad.\An Olympiad? What's that?\So you're good at math, huh.\Umm, I guess.\Math is all I'm really good at.\Calculate something.\Okay. Sempai, when were you born? response:	Me? July 19th, 1992.
context: A math Olympiad.\An Olympiad? What's that?\So you're good at math, huh.\Umm, I guess.\Math is all I'm really good at.\Calculate something.\Okay. Sempai, when were you born?\Me? July 19th, 1992. response:	It was a Sunday.
context: An Olympiad? What's that?\So you're good at math, huh.\Umm, I guess.\Math is all I'm really good at.\Calculate something.\Okay. Sempai, when were you born?\Me? July 19th, 1992.\It was a Sunday. response:	July 19th, 1992 was a Sunday.
context: So you're good at math, huh.\Umm, I guess.\Math is all I'm really good at.\Calculate something.\Okay. Sempai, when were you born?\Me? July 19th, 1992.\It was a Sunday.\July 19th, 1992 was a Sunday. response:	Did you memorize all that?
context: Umm, I guess.\Math is all I'm really good at.\Calculate something.\Okay. Sempai, when were you born?\Me? July 19th, 1992.\It was a Sunday.\July 19th, 1992 was a Sunday.\Did you memorize all that? response:	No.
context: Math is all I'm really good at.\Calculate something.\Okay. Sempai, when were you born?\Me? July 19th, 1992.\It was a Sunday.\July 19th, 1992 was a Sunday.\Did you memorize all that?\No. response:	It's something called modular calculation, and... was I right?
context: Calculate something.\Okay. Sempai, when were you born?\Me? July 19th, 1992.\It was a Sunday.\July 19th, 1992 was a Sunday.\Did you memorize all that?\No.\It's something called modular calculation, and... was I right? response:	Sorry.
context: Okay. Sempai, when were you born?\Me? July 19th, 1992.\It was a Sunday.\July 19th, 1992 was a Sunday.\Did you memorize all that?\No.\It's something called modular calculation, and... was I right?\Sorry. response:	I don't know what day it was.
context: Me? July 19th, 1992.\It was a Sunday.\July 19th, 1992 was a Sunday.\Did you memorize all that?\No.\It's something called modular calculation, and... was I right?\Sorry.\I don't know what day it was. response:	Ueda, Ueda.
context: It was a Sunday.\July 19th, 1992 was a Sunday.\Did you memorize all that?\No.\It's something called modular calculation, and... was I right?\Sorry.\I don't know what day it was.\Ueda, Ueda. response:	It's Grandma's 90th birthday this year, so...
context: July 19th, 1992 was a Sunday.\Did you memorize all that?\No.\It's something called modular calculation, and... was I right?\Sorry.\I don't know what day it was.\Ueda, Ueda.\It's Grandma's 90th birthday this year, so... response:	I see, she was born in 1920! She's lived very long, hasn't she?
context: Did you memorize all that?\No.\It's something called modular calculation, and... was I right?\Sorry.\I don't know what day it was.\Ueda, Ueda.\It's Grandma's 90th birthday this year, so...\I see, she was born in 1920! She's lived very long, hasn't she? response:	Natsuki-chan?
context: No.\It's something called modular calculation, and... was I right?\Sorry.\I don't know what day it was.\Ueda, Ueda.\It's Grandma's 90th birthday this year, so...\I see, she was born in 1920! She's lived very long, hasn't she?\Natsuki-chan? response:	Natsuki-chan!
context: It's something called modular calculation, and... was I right?\Sorry.\I don't know what day it was.\Ueda, Ueda.\It's Grandma's 90th birthday this year, so...\I see, she was born in 1920! She's lived very long, hasn't she?\Natsuki-chan?\Natsuki-chan! response:	Noriko-obasan!
context: Sorry.\I don't know what day it was.\Ueda, Ueda.\It's Grandma's 90th birthday this year, so...\I see, she was born in 1920! She's lived very long, hasn't she?\Natsuki-chan?\Natsuki-chan!\Noriko-obasan! response:	Long time no see!
