context: July 15th (Thurs) 8:30 PM response:	This isn't good... This isn't good at all!
context: I can apply a bandage myself.\Okay...\I just got my fingers caught in the door, that's all.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 8:50 PM\Hayato Kawajiri?\Are you saying this grade-schooler has something to do with Yoshikage Kira? response:	Episode 35 Bites the Dust, Part 1
context: Okay...\I just got my fingers caught in the door, that's all.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 8:50 PM\Hayato Kawajiri?\Are you saying this grade-schooler has something to do with Yoshikage Kira?\Episode 35 Bites the Dust, Part 1 response:	We're not 100 sure yet,
context: I just got my fingers caught in the door, that's all.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 8:50 PM\Hayato Kawajiri?\Are you saying this grade-schooler has something to do with Yoshikage Kira?\Episode 35 Bites the Dust, Part 1\We're not 100 sure yet, response:	but Rohan-sensei said something bugs him about it.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 8:50 PM\Hayato Kawajiri?\Are you saying this grade-schooler has something to do with Yoshikage Kira?\Episode 35 Bites the Dust, Part 1\We're not 100 sure yet,\but Rohan-sensei said something bugs him about it. response:	True, there's something wrong if he's secretly taking videos of his dad.
context: Diamond is Unbreakable\July 15th (Thurs) 8:50 PM\Hayato Kawajiri?\Are you saying this grade-schooler has something to do with Yoshikage Kira?\Episode 35 Bites the Dust, Part 1\We're not 100 sure yet,\but Rohan-sensei said something bugs him about it.\True, there's something wrong if he's secretly taking videos of his dad. response:	So, tomorrow morning, we're thinking of meeting up
context: July 15th (Thurs) 8:50 PM\Hayato Kawajiri?\Are you saying this grade-schooler has something to do with Yoshikage Kira?\Episode 35 Bites the Dust, Part 1\We're not 100 sure yet,\but Rohan-sensei said something bugs him about it.\True, there's something wrong if he's secretly taking videos of his dad.\So, tomorrow morning, we're thinking of meeting up response:	and going to visit Hayato Kawajiri's house.
context: Hayato Kawajiri?\Are you saying this grade-schooler has something to do with Yoshikage Kira?\Episode 35 Bites the Dust, Part 1\We're not 100 sure yet,\but Rohan-sensei said something bugs him about it.\True, there's something wrong if he's secretly taking videos of his dad.\So, tomorrow morning, we're thinking of meeting up\and going to visit Hayato Kawajiri's house. response:	Apparently, Rohan-sensei's already found the address.
context: Are you saying this grade-schooler has something to do with Yoshikage Kira?\Episode 35 Bites the Dust, Part 1\We're not 100 sure yet,\but Rohan-sensei said something bugs him about it.\True, there's something wrong if he's secretly taking videos of his dad.\So, tomorrow morning, we're thinking of meeting up\and going to visit Hayato Kawajiri's house.\Apparently, Rohan-sensei's already found the address. response:	That bastard Rohan sure works fast.
context: Episode 35 Bites the Dust, Part 1\We're not 100 sure yet,\but Rohan-sensei said something bugs him about it.\True, there's something wrong if he's secretly taking videos of his dad.\So, tomorrow morning, we're thinking of meeting up\and going to visit Hayato Kawajiri's house.\Apparently, Rohan-sensei's already found the address.\That bastard Rohan sure works fast. response:	All right. I just have to invite Okuyasu, right?
context: We're not 100 sure yet,\but Rohan-sensei said something bugs him about it.\True, there's something wrong if he's secretly taking videos of his dad.\So, tomorrow morning, we're thinking of meeting up\and going to visit Hayato Kawajiri's house.\Apparently, Rohan-sensei's already found the address.\That bastard Rohan sure works fast.\All right. I just have to invite Okuyasu, right? response:	And of course, there's Jotaro, too.
context: but Rohan-sensei said something bugs him about it.\True, there's something wrong if he's secretly taking videos of his dad.\So, tomorrow morning, we're thinking of meeting up\and going to visit Hayato Kawajiri's house.\Apparently, Rohan-sensei's already found the address.\That bastard Rohan sure works fast.\All right. I just have to invite Okuyasu, right?\And of course, there's Jotaro, too. response:	I'll talk to Jotaro.
context: True, there's something wrong if he's secretly taking videos of his dad.\So, tomorrow morning, we're thinking of meeting up\and going to visit Hayato Kawajiri's house.\Apparently, Rohan-sensei's already found the address.\That bastard Rohan sure works fast.\All right. I just have to invite Okuyasu, right?\And of course, there's Jotaro, too.\I'll talk to Jotaro. response:	All right. See you tomorrow at 8:30 AM
context: So, tomorrow morning, we're thinking of meeting up\and going to visit Hayato Kawajiri's house.\Apparently, Rohan-sensei's already found the address.\That bastard Rohan sure works fast.\All right. I just have to invite Okuyasu, right?\And of course, there's Jotaro, too.\I'll talk to Jotaro.\All right. See you tomorrow at 8:30 AM response:	at the intersection with the Pepsi sign.
context: and going to visit Hayato Kawajiri's house.\Apparently, Rohan-sensei's already found the address.\That bastard Rohan sure works fast.\All right. I just have to invite Okuyasu, right?\And of course, there's Jotaro, too.\I'll talk to Jotaro.\All right. See you tomorrow at 8:30 AM\at the intersection with the Pepsi sign. response:	Got it.
context: Apparently, Rohan-sensei's already found the address.\That bastard Rohan sure works fast.\All right. I just have to invite Okuyasu, right?\And of course, there's Jotaro, too.\I'll talk to Jotaro.\All right. See you tomorrow at 8:30 AM\at the intersection with the Pepsi sign.\Got it. response:	8:30, huh? I'm gonna be late for school.
context: That bastard Rohan sure works fast.\All right. I just have to invite Okuyasu, right?\And of course, there's Jotaro, too.\I'll talk to Jotaro.\All right. See you tomorrow at 8:30 AM\at the intersection with the Pepsi sign.\Got it.\8:30, huh? I'm gonna be late for school. response:	But if we talk to this kid, we might find something out.
context: All right. I just have to invite Okuyasu, right?\And of course, there's Jotaro, too.\I'll talk to Jotaro.\All right. See you tomorrow at 8:30 AM\at the intersection with the Pepsi sign.\Got it.\8:30, huh? I'm gonna be late for school.\But if we talk to this kid, we might find something out. response:	Are you okay?
context: And of course, there's Jotaro, too.\I'll talk to Jotaro.\All right. See you tomorrow at 8:30 AM\at the intersection with the Pepsi sign.\Got it.\8:30, huh? I'm gonna be late for school.\But if we talk to this kid, we might find something out.\Are you okay? response:	You're acting a bit strange, darling...
context: I'll talk to Jotaro.\All right. See you tomorrow at 8:30 AM\at the intersection with the Pepsi sign.\Got it.\8:30, huh? I'm gonna be late for school.\But if we talk to this kid, we might find something out.\Are you okay?\You're acting a bit strange, darling... response:	And you look pale.
context: All right. See you tomorrow at 8:30 AM\at the intersection with the Pepsi sign.\Got it.\8:30, huh? I'm gonna be late for school.\But if we talk to this kid, we might find something out.\Are you okay?\You're acting a bit strange, darling...\And you look pale. response:	I told you, it's nothing.
context: at the intersection with the Pepsi sign.\Got it.\8:30, huh? I'm gonna be late for school.\But if we talk to this kid, we might find something out.\Are you okay?\You're acting a bit strange, darling...\And you look pale.\I told you, it's nothing. response:	I caught my fingers in the door.
context: Got it.\8:30, huh? I'm gonna be late for school.\But if we talk to this kid, we might find something out.\Are you okay?\You're acting a bit strange, darling...\And you look pale.\I told you, it's nothing.\I caught my fingers in the door. response:	Can you blame me for being pale?
context: 8:30, huh? I'm gonna be late for school.\But if we talk to this kid, we might find something out.\Are you okay?\You're acting a bit strange, darling...\And you look pale.\I told you, it's nothing.\I caught my fingers in the door.\Can you blame me for being pale? response:	More importantly, can you make me some tea?
context: But if we talk to this kid, we might find something out.\Are you okay?\You're acting a bit strange, darling...\And you look pale.\I told you, it's nothing.\I caught my fingers in the door.\Can you blame me for being pale?\More importantly, can you make me some tea? response:	I'll be down soon.
context: Are you okay?\You're acting a bit strange, darling...\And you look pale.\I told you, it's nothing.\I caught my fingers in the door.\Can you blame me for being pale?\More importantly, can you make me some tea?\I'll be down soon. response:	Of course.
context: You're acting a bit strange, darling...\And you look pale.\I told you, it's nothing.\I caught my fingers in the door.\Can you blame me for being pale?\More importantly, can you make me some tea?\I'll be down soon.\Of course. response:	This just came to me out of the blue,
context: And you look pale.\I told you, it's nothing.\I caught my fingers in the door.\Can you blame me for being pale?\More importantly, can you make me some tea?\I'll be down soon.\Of course.\This just came to me out of the blue, response:	but lately, I can't help but think that you're immortal.
context: I told you, it's nothing.\I caught my fingers in the door.\Can you blame me for being pale?\More importantly, can you make me some tea?\I'll be down soon.\Of course.\This just came to me out of the blue,\but lately, I can't help but think that you're immortal. response:	I'll go make you that tea now.
context: I caught my fingers in the door.\Can you blame me for being pale?\More importantly, can you make me some tea?\I'll be down soon.\Of course.\This just came to me out of the blue,\but lately, I can't help but think that you're immortal.\I'll go make you that tea now. response:	If something happens to me, your secret's going to be found out!
context: Can you blame me for being pale?\More importantly, can you make me some tea?\I'll be down soon.\Of course.\This just came to me out of the blue,\but lately, I can't help but think that you're immortal.\I'll go make you that tea now.\If something happens to me, your secret's going to be found out! response:	Don't you lay a finger on me or my mom!
context: More importantly, can you make me some tea?\I'll be down soon.\Of course.\This just came to me out of the blue,\but lately, I can't help but think that you're immortal.\I'll go make you that tea now.\If something happens to me, your secret's going to be found out!\Don't you lay a finger on me or my mom! response:	This isn't a deal!
context: I'll be down soon.\Of course.\This just came to me out of the blue,\but lately, I can't help but think that you're immortal.\I'll go make you that tea now.\If something happens to me, your secret's going to be found out!\Don't you lay a finger on me or my mom!\This isn't a deal! response:	You have to listen to me! Got it?!
context: Of course.\This just came to me out of the blue,\but lately, I can't help but think that you're immortal.\I'll go make you that tea now.\If something happens to me, your secret's going to be found out!\Don't you lay a finger on me or my mom!\This isn't a deal!\You have to listen to me! Got it?! response:	You're too naIve!
context: This just came to me out of the blue,\but lately, I can't help but think that you're immortal.\I'll go make you that tea now.\If something happens to me, your secret's going to be found out!\Don't you lay a finger on me or my mom!\This isn't a deal!\You have to listen to me! Got it?!\You're too naIve! response:	Do you really think I would allow that?
context: but lately, I can't help but think that you're immortal.\I'll go make you that tea now.\If something happens to me, your secret's going to be found out!\Don't you lay a finger on me or my mom!\This isn't a deal!\You have to listen to me! Got it?!\You're too naIve!\Do you really think I would allow that? response:	I can't believe you actually got rid of Hayato.
context: I'll go make you that tea now.\If something happens to me, your secret's going to be found out!\Don't you lay a finger on me or my mom!\This isn't a deal!\You have to listen to me! Got it?!\You're too naIve!\Do you really think I would allow that?\I can't believe you actually got rid of Hayato. response:	What a stupid thing to do.
context: If something happens to me, your secret's going to be found out!\Don't you lay a finger on me or my mom!\This isn't a deal!\You have to listen to me! Got it?!\You're too naIve!\Do you really think I would allow that?\I can't believe you actually got rid of Hayato.\What a stupid thing to do. response:	I'm trying to think of what to do right now.
context: Don't you lay a finger on me or my mom!\This isn't a deal!\You have to listen to me! Got it?!\You're too naIve!\Do you really think I would allow that?\I can't believe you actually got rid of Hayato.\What a stupid thing to do.\I'm trying to think of what to do right now. response:	It's no use thinking about it.
context: This isn't a deal!\You have to listen to me! Got it?!\You're too naIve!\Do you really think I would allow that?\I can't believe you actually got rid of Hayato.\What a stupid thing to do.\I'm trying to think of what to do right now.\It's no use thinking about it. response:	I see you made it look like he fell and hit his head,
context: You have to listen to me! Got it?!\You're too naIve!\Do you really think I would allow that?\I can't believe you actually got rid of Hayato.\What a stupid thing to do.\I'm trying to think of what to do right now.\It's no use thinking about it.\I see you made it look like he fell and hit his head, response:	but the timing was unfortunate.
context: You're too naIve!\Do you really think I would allow that?\I can't believe you actually got rid of Hayato.\What a stupid thing to do.\I'm trying to think of what to do right now.\It's no use thinking about it.\I see you made it look like he fell and hit his head,\but the timing was unfortunate. response:	That Rohan Kishibe has started investigating Hayato Kawajiri.
context: Do you really think I would allow that?\I can't believe you actually got rid of Hayato.\What a stupid thing to do.\I'm trying to think of what to do right now.\It's no use thinking about it.\I see you made it look like he fell and hit his head,\but the timing was unfortunate.\That Rohan Kishibe has started investigating Hayato Kawajiri. response:	They're still not positive that Kosaku Kawajiri is you,
context: I can't believe you actually got rid of Hayato.\What a stupid thing to do.\I'm trying to think of what to do right now.\It's no use thinking about it.\I see you made it look like he fell and hit his head,\but the timing was unfortunate.\That Rohan Kishibe has started investigating Hayato Kawajiri.\They're still not positive that Kosaku Kawajiri is you, response:	but they're coming to check this house tomorrow.
context: What a stupid thing to do.\I'm trying to think of what to do right now.\It's no use thinking about it.\I see you made it look like he fell and hit his head,\but the timing was unfortunate.\That Rohan Kishibe has started investigating Hayato Kawajiri.\They're still not positive that Kosaku Kawajiri is you,\but they're coming to check this house tomorrow. response:	It's a bad idea to stay in this house any longer.
context: I'm trying to think of what to do right now.\It's no use thinking about it.\I see you made it look like he fell and hit his head,\but the timing was unfortunate.\That Rohan Kishibe has started investigating Hayato Kawajiri.\They're still not positive that Kosaku Kawajiri is you,\but they're coming to check this house tomorrow.\It's a bad idea to stay in this house any longer. response:	Shut up. I'm thinking right now.
context: It's no use thinking about it.\I see you made it look like he fell and hit his head,\but the timing was unfortunate.\That Rohan Kishibe has started investigating Hayato Kawajiri.\They're still not positive that Kosaku Kawajiri is you,\but they're coming to check this house tomorrow.\It's a bad idea to stay in this house any longer.\Shut up. I'm thinking right now. response:	Ever since you were a child, when things didn't go your way
context: I see you made it look like he fell and hit his head,\but the timing was unfortunate.\That Rohan Kishibe has started investigating Hayato Kawajiri.\They're still not positive that Kosaku Kawajiri is you,\but they're coming to check this house tomorrow.\It's a bad idea to stay in this house any longer.\Shut up. I'm thinking right now.\Ever since you were a child, when things didn't go your way response:	and there was nothing you could do, you would always bite your nails.
context: but the timing was unfortunate.\That Rohan Kishibe has started investigating Hayato Kawajiri.\They're still not positive that Kosaku Kawajiri is you,\but they're coming to check this house tomorrow.\It's a bad idea to stay in this house any longer.\Shut up. I'm thinking right now.\Ever since you were a child, when things didn't go your way\and there was nothing you could do, you would always bite your nails. response:	You poor thing.
context: That Rohan Kishibe has started investigating Hayato Kawajiri.\They're still not positive that Kosaku Kawajiri is you,\but they're coming to check this house tomorrow.\It's a bad idea to stay in this house any longer.\Shut up. I'm thinking right now.\Ever since you were a child, when things didn't go your way\and there was nothing you could do, you would always bite your nails.\You poor thing. response:	You must be in so much despair right now.
context: They're still not positive that Kosaku Kawajiri is you,\but they're coming to check this house tomorrow.\It's a bad idea to stay in this house any longer.\Shut up. I'm thinking right now.\Ever since you were a child, when things didn't go your way\and there was nothing you could do, you would always bite your nails.\You poor thing.\You must be in so much despair right now. response:	There's no other way around it.
context: but they're coming to check this house tomorrow.\It's a bad idea to stay in this house any longer.\Shut up. I'm thinking right now.\Ever since you were a child, when things didn't go your way\and there was nothing you could do, you would always bite your nails.\You poor thing.\You must be in so much despair right now.\There's no other way around it. response:	You're going to have to leave this town, Yoshikage.
context: It's a bad idea to stay in this house any longer.\Shut up. I'm thinking right now.\Ever since you were a child, when things didn't go your way\and there was nothing you could do, you would always bite your nails.\You poor thing.\You must be in so much despair right now.\There's no other way around it.\You're going to have to leave this town, Yoshikage. response:	If you go now, you can escape to someplace they can't follow you, before they find out.
context: Shut up. I'm thinking right now.\Ever since you were a child, when things didn't go your way\and there was nothing you could do, you would always bite your nails.\You poor thing.\You must be in so much despair right now.\There's no other way around it.\You're going to have to leave this town, Yoshikage.\If you go now, you can escape to someplace they can't follow you, before they find out. response:	Are you telling me to flee Morioh?
context: Ever since you were a child, when things didn't go your way\and there was nothing you could do, you would always bite your nails.\You poor thing.\You must be in so much despair right now.\There's no other way around it.\You're going to have to leave this town, Yoshikage.\If you go now, you can escape to someplace they can't follow you, before they find out.\Are you telling me to flee Morioh? response:	You know very well that I'm done with living my life in fear,
context: and there was nothing you could do, you would always bite your nails.\You poor thing.\You must be in so much despair right now.\There's no other way around it.\You're going to have to leave this town, Yoshikage.\If you go now, you can escape to someplace they can't follow you, before they find out.\Are you telling me to flee Morioh?\You know very well that I'm done with living my life in fear, response:	having to worry about someone coming after me!
context: You poor thing.\You must be in so much despair right now.\There's no other way around it.\You're going to have to leave this town, Yoshikage.\If you go now, you can escape to someplace they can't follow you, before they find out.\Are you telling me to flee Morioh?\You know very well that I'm done with living my life in fear,\having to worry about someone coming after me! response:	I will never leave this town.
context: You must be in so much despair right now.\There's no other way around it.\You're going to have to leave this town, Yoshikage.\If you go now, you can escape to someplace they can't follow you, before they find out.\Are you telling me to flee Morioh?\You know very well that I'm done with living my life in fear,\having to worry about someone coming after me!\I will never leave this town. response:	What?!
context: There's no other way around it.\You're going to have to leave this town, Yoshikage.\If you go now, you can escape to someplace they can't follow you, before they find out.\Are you telling me to flee Morioh?\You know very well that I'm done with living my life in fear,\having to worry about someone coming after me!\I will never leave this town.\What?! response:	The arrow acted on its own! I didn't do anything!
context: You're going to have to leave this town, Yoshikage.\If you go now, you can escape to someplace they can't follow you, before they find out.\Are you telling me to flee Morioh?\You know very well that I'm done with living my life in fear,\having to worry about someone coming after me!\I will never leave this town.\What?!\The arrow acted on its own! I didn't do anything! response:	I didn't even touch the arrow!
context: If you go now, you can escape to someplace they can't follow you, before they find out.\Are you telling me to flee Morioh?\You know very well that I'm done with living my life in fear,\having to worry about someone coming after me!\I will never leave this town.\What?!\The arrow acted on its own! I didn't do anything!\I didn't even touch the arrow! response:	Th-The arrow...
context: Are you telling me to flee Morioh?\You know very well that I'm done with living my life in fear,\having to worry about someone coming after me!\I will never leave this town.\What?!\The arrow acted on its own! I didn't do anything!\I didn't even touch the arrow!\Th-The arrow... response:	Y-Yoshikage!
context: You know very well that I'm done with living my life in fear,\having to worry about someone coming after me!\I will never leave this town.\What?!\The arrow acted on its own! I didn't do anything!\I didn't even touch the arrow!\Th-The arrow...\Y-Yoshikage! response:	Hayato! Hayato?!
context: having to worry about someone coming after me!\I will never leave this town.\What?!\The arrow acted on its own! I didn't do anything!\I didn't even touch the arrow!\Th-The arrow...\Y-Yoshikage!\Hayato! Hayato?! response:	July 16th (Fri) 7:30 AM
context: I will never leave this town.\What?!\The arrow acted on its own! I didn't do anything!\I didn't even touch the arrow!\Th-The arrow...\Y-Yoshikage!\Hayato! Hayato?!\July 16th (Fri) 7:30 AM response:	Are you planning to sleep all day, Hayato?
context: What?!\The arrow acted on its own! I didn't do anything!\I didn't even touch the arrow!\Th-The arrow...\Y-Yoshikage!\Hayato! Hayato?!\July 16th (Fri) 7:30 AM\Are you planning to sleep all day, Hayato? response:	Hurry up and wake
context: The arrow acted on its own! I didn't do anything!\I didn't even touch the arrow!\Th-The arrow...\Y-Yoshikage!\Hayato! Hayato?!\July 16th (Fri) 7:30 AM\Are you planning to sleep all day, Hayato?\Hurry up and wake response:	What, you're already awake? That's a surprise.
