context: You've lost contact with Metal Bat? response:	Yes. I've already contacted every hero higher than Class A for backup.
context: Monsters?!\Interesting. It's been reported that Metal Bat is facing off with Centichoro,\so where is he now?\Unbelievable.\Monsters whose threat levels are Demon and above have randomly appeared\in multiple locations.\We can't keep up with them.\Martial Arts Tournament response:	As I figured, you're already pretty beat-up.
context: Interesting. It's been reported that Metal Bat is facing off with Centichoro,\so where is he now?\Unbelievable.\Monsters whose threat levels are Demon and above have randomly appeared\in multiple locations.\We can't keep up with them.\Martial Arts Tournament\As I figured, you're already pretty beat-up. response:	I wanted to see just how strong you are,
context: so where is he now?\Unbelievable.\Monsters whose threat levels are Demon and above have randomly appeared\in multiple locations.\We can't keep up with them.\Martial Arts Tournament\As I figured, you're already pretty beat-up.\I wanted to see just how strong you are, response:	but I don't think that's going to happen right now.
context: Unbelievable.\Monsters whose threat levels are Demon and above have randomly appeared\in multiple locations.\We can't keep up with them.\Martial Arts Tournament\As I figured, you're already pretty beat-up.\I wanted to see just how strong you are,\but I don't think that's going to happen right now. response:	Don't underestimate me!
context: Monsters whose threat levels are Demon and above have randomly appeared\in multiple locations.\We can't keep up with them.\Martial Arts Tournament\As I figured, you're already pretty beat-up.\I wanted to see just how strong you are,\but I don't think that's going to happen right now.\Don't underestimate me! response:	You've lost so much blood. You'll probably pass out at any second.
context: in multiple locations.\We can't keep up with them.\Martial Arts Tournament\As I figured, you're already pretty beat-up.\I wanted to see just how strong you are,\but I don't think that's going to happen right now.\Don't underestimate me!\You've lost so much blood. You'll probably pass out at any second. response:	Not to mention you've got multiple fractures.
context: We can't keep up with them.\Martial Arts Tournament\As I figured, you're already pretty beat-up.\I wanted to see just how strong you are,\but I don't think that's going to happen right now.\Don't underestimate me!\You've lost so much blood. You'll probably pass out at any second.\Not to mention you've got multiple fractures. response:	What's keeping you upright? Your pride as a hero?
context: Martial Arts Tournament\As I figured, you're already pretty beat-up.\I wanted to see just how strong you are,\but I don't think that's going to happen right now.\Don't underestimate me!\You've lost so much blood. You'll probably pass out at any second.\Not to mention you've got multiple fractures.\What's keeping you upright? Your pride as a hero? response:	His swings are even faster now.
context: As I figured, you're already pretty beat-up.\I wanted to see just how strong you are,\but I don't think that's going to happen right now.\Don't underestimate me!\You've lost so much blood. You'll probably pass out at any second.\Not to mention you've got multiple fractures.\What's keeping you upright? Your pride as a hero?\His swings are even faster now. response:	They're also more powerful.
context: I wanted to see just how strong you are,\but I don't think that's going to happen right now.\Don't underestimate me!\You've lost so much blood. You'll probably pass out at any second.\Not to mention you've got multiple fractures.\What's keeping you upright? Your pride as a hero?\His swings are even faster now.\They're also more powerful. response:	Don't tell me he's...
context: but I don't think that's going to happen right now.\Don't underestimate me!\You've lost so much blood. You'll probably pass out at any second.\Not to mention you've got multiple fractures.\What's keeping you upright? Your pride as a hero?\His swings are even faster now.\They're also more powerful.\Don't tell me he's... response:	No, there's no doubt about it.
context: Don't underestimate me!\You've lost so much blood. You'll probably pass out at any second.\Not to mention you've got multiple fractures.\What's keeping you upright? Your pride as a hero?\His swings are even faster now.\They're also more powerful.\Don't tell me he's...\No, there's no doubt about it. response:	The more damage he takes, the more his physical abilities improve.
context: You've lost so much blood. You'll probably pass out at any second.\Not to mention you've got multiple fractures.\What's keeping you upright? Your pride as a hero?\His swings are even faster now.\They're also more powerful.\Don't tell me he's...\No, there's no doubt about it.\The more damage he takes, the more his physical abilities improve. response:	What's the principle behind your strength?
context: Not to mention you've got multiple fractures.\What's keeping you upright? Your pride as a hero?\His swings are even faster now.\They're also more powerful.\Don't tell me he's...\No, there's no doubt about it.\The more damage he takes, the more his physical abilities improve.\What's the principle behind your strength? response:	Who the hell cares about principles?
context: What's keeping you upright? Your pride as a hero?\His swings are even faster now.\They're also more powerful.\Don't tell me he's...\No, there's no doubt about it.\The more damage he takes, the more his physical abilities improve.\What's the principle behind your strength?\Who the hell cares about principles? response:	I'm just pumped up.
context: His swings are even faster now.\They're also more powerful.\Don't tell me he's...\No, there's no doubt about it.\The more damage he takes, the more his physical abilities improve.\What's the principle behind your strength?\Who the hell cares about principles?\I'm just pumped up. response:	The hell?
context: They're also more powerful.\Don't tell me he's...\No, there's no doubt about it.\The more damage he takes, the more his physical abilities improve.\What's the principle behind your strength?\Who the hell cares about principles?\I'm just pumped up.\The hell? response:	Just come at me already, hero hunter.
context: Don't tell me he's...\No, there's no doubt about it.\The more damage he takes, the more his physical abilities improve.\What's the principle behind your strength?\Who the hell cares about principles?\I'm just pumped up.\The hell?\Just come at me already, hero hunter. response:	I've still got a giant centipede to deal with after I'm through with you!
context: No, there's no doubt about it.\The more damage he takes, the more his physical abilities improve.\What's the principle behind your strength?\Who the hell cares about principles?\I'm just pumped up.\The hell?\Just come at me already, hero hunter.\I've still got a giant centipede to deal with after I'm through with you! response:	He's still...
context: The more damage he takes, the more his physical abilities improve.\What's the principle behind your strength?\Who the hell cares about principles?\I'm just pumped up.\The hell?\Just come at me already, hero hunter.\I've still got a giant centipede to deal with after I'm through with you!\He's still... response:	Let's see how long you can stay pumped up.
context: What's the principle behind your strength?\Who the hell cares about principles?\I'm just pumped up.\The hell?\Just come at me already, hero hunter.\I've still got a giant centipede to deal with after I'm through with you!\He's still...\Let's see how long you can stay pumped up. response:	I'll play with you for a bit.
context: Who the hell cares about principles?\I'm just pumped up.\The hell?\Just come at me already, hero hunter.\I've still got a giant centipede to deal with after I'm through with you!\He's still...\Let's see how long you can stay pumped up.\I'll play with you for a bit. response:	I'm over here!
context: I'm just pumped up.\The hell?\Just come at me already, hero hunter.\I've still got a giant centipede to deal with after I'm through with you!\He's still...\Let's see how long you can stay pumped up.\I'll play with you for a bit.\I'm over here! response:	Dumbass!
context: The hell?\Just come at me already, hero hunter.\I've still got a giant centipede to deal with after I'm through with you!\He's still...\Let's see how long you can stay pumped up.\I'll play with you for a bit.\I'm over here!\Dumbass! response:	I can't forgive muggers or hero hunters.
context: Just come at me already, hero hunter.\I've still got a giant centipede to deal with after I'm through with you!\He's still...\Let's see how long you can stay pumped up.\I'll play with you for a bit.\I'm over here!\Dumbass!\I can't forgive muggers or hero hunters. response:	You're rotten to the core, and I'll beat that right out of you!
context: I've still got a giant centipede to deal with after I'm through with you!\He's still...\Let's see how long you can stay pumped up.\I'll play with you for a bit.\I'm over here!\Dumbass!\I can't forgive muggers or hero hunters.\You're rotten to the core, and I'll beat that right out of you! response:	You ain't gonna hit me, dumbass!
context: He's still...\Let's see how long you can stay pumped up.\I'll play with you for a bit.\I'm over here!\Dumbass!\I can't forgive muggers or hero hunters.\You're rotten to the core, and I'll beat that right out of you!\You ain't gonna hit me, dumbass! response:	Are you just going to keep swinging that thing around until you die?
context: Let's see how long you can stay pumped up.\I'll play with you for a bit.\I'm over here!\Dumbass!\I can't forgive muggers or hero hunters.\You're rotten to the core, and I'll beat that right out of you!\You ain't gonna hit me, dumbass!\Are you just going to keep swinging that thing around until you die? response:	Until I die?
context: I'll play with you for a bit.\I'm over here!\Dumbass!\I can't forgive muggers or hero hunters.\You're rotten to the core, and I'll beat that right out of you!\You ain't gonna hit me, dumbass!\Are you just going to keep swinging that thing around until you die?\Until I die? response:	I'm not that nice.
context: I'm over here!\Dumbass!\I can't forgive muggers or hero hunters.\You're rotten to the core, and I'll beat that right out of you!\You ain't gonna hit me, dumbass!\Are you just going to keep swinging that thing around until you die?\Until I die?\I'm not that nice. response:	I'll swing it until I win!
context: Dumbass!\I can't forgive muggers or hero hunters.\You're rotten to the core, and I'll beat that right out of you!\You ain't gonna hit me, dumbass!\Are you just going to keep swinging that thing around until you die?\Until I die?\I'm not that nice.\I'll swing it until I win! response:	Killer Move... Pumped-Up Brutal Tornado!
context: I can't forgive muggers or hero hunters.\You're rotten to the core, and I'll beat that right out of you!\You ain't gonna hit me, dumbass!\Are you just going to keep swinging that thing around until you die?\Until I die?\I'm not that nice.\I'll swing it until I win!\Killer Move... Pumped-Up Brutal Tornado! response:	Brutal Tornado
context: You're rotten to the core, and I'll beat that right out of you!\You ain't gonna hit me, dumbass!\Are you just going to keep swinging that thing around until you die?\Until I die?\I'm not that nice.\I'll swing it until I win!\Killer Move... Pumped-Up Brutal Tornado!\Brutal Tornado response:	Huh? You're just spinning around in circles!
context: You ain't gonna hit me, dumbass!\Are you just going to keep swinging that thing around until you die?\Until I die?\I'm not that nice.\I'll swing it until I win!\Killer Move... Pumped-Up Brutal Tornado!\Brutal Tornado\Huh? You're just spinning around in circles! response:	Don't make me laugh!
context: Are you just going to keep swinging that thing around until you die?\Until I die?\I'm not that nice.\I'll swing it until I win!\Killer Move... Pumped-Up Brutal Tornado!\Brutal Tornado\Huh? You're just spinning around in circles!\Don't make me laugh! response:	Unfortunately for you, I can deflect every one of your amateurish blows.
context: Until I die?\I'm not that nice.\I'll swing it until I win!\Killer Move... Pumped-Up Brutal Tornado!\Brutal Tornado\Huh? You're just spinning around in circles!\Don't make me laugh!\Unfortunately for you, I can deflect every one of your amateurish blows. response:	He finally went down.
context: I'm not that nice.\I'll swing it until I win!\Killer Move... Pumped-Up Brutal Tornado!\Brutal Tornado\Huh? You're just spinning around in circles!\Don't make me laugh!\Unfortunately for you, I can deflect every one of your amateurish blows.\He finally went down. response:	Tank-Top Master and Metal Bat are both just musclebrains.
context: I'll swing it until I win!\Killer Move... Pumped-Up Brutal Tornado!\Brutal Tornado\Huh? You're just spinning around in circles!\Don't make me laugh!\Unfortunately for you, I can deflect every one of your amateurish blows.\He finally went down.\Tank-Top Master and Metal Bat are both just musclebrains. response:	They lack hand-to-hand martial arts skills.
context: Killer Move... Pumped-Up Brutal Tornado!\Brutal Tornado\Huh? You're just spinning around in circles!\Don't make me laugh!\Unfortunately for you, I can deflect every one of your amateurish blows.\He finally went down.\Tank-Top Master and Metal Bat are both just musclebrains.\They lack hand-to-hand martial arts skills. response:	Crushing the Hero Association might be easier than I thought.
context: Brutal Tornado\Huh? You're just spinning around in circles!\Don't make me laugh!\Unfortunately for you, I can deflect every one of your amateurish blows.\He finally went down.\Tank-Top Master and Metal Bat are both just musclebrains.\They lack hand-to-hand martial arts skills.\Crushing the Hero Association might be easier than I thought. response:	You've got to be kidding me.
context: Huh? You're just spinning around in circles!\Don't make me laugh!\Unfortunately for you, I can deflect every one of your amateurish blows.\He finally went down.\Tank-Top Master and Metal Bat are both just musclebrains.\They lack hand-to-hand martial arts skills.\Crushing the Hero Association might be easier than I thought.\You've got to be kidding me. response:	Did his attacks pack more of a punch than I thought?
context: Don't make me laugh!\Unfortunately for you, I can deflect every one of your amateurish blows.\He finally went down.\Tank-Top Master and Metal Bat are both just musclebrains.\They lack hand-to-hand martial arts skills.\Crushing the Hero Association might be easier than I thought.\You've got to be kidding me.\Did his attacks pack more of a punch than I thought? response:	I might've been in trouble if he'd managed to land one on me.
context: Unfortunately for you, I can deflect every one of your amateurish blows.\He finally went down.\Tank-Top Master and Metal Bat are both just musclebrains.\They lack hand-to-hand martial arts skills.\Crushing the Hero Association might be easier than I thought.\You've got to be kidding me.\Did his attacks pack more of a punch than I thought?\I might've been in trouble if he'd managed to land one on me. response:	Big Brother!
context: He finally went down.\Tank-Top Master and Metal Bat are both just musclebrains.\They lack hand-to-hand martial arts skills.\Crushing the Hero Association might be easier than I thought.\You've got to be kidding me.\Did his attacks pack more of a punch than I thought?\I might've been in trouble if he'd managed to land one on me.\Big Brother! response:	Big Brother Bat.
context: Tank-Top Master and Metal Bat are both just musclebrains.\They lack hand-to-hand martial arts skills.\Crushing the Hero Association might be easier than I thought.\You've got to be kidding me.\Did his attacks pack more of a punch than I thought?\I might've been in trouble if he'd managed to land one on me.\Big Brother!\Big Brother Bat. response:	What are you doing?
context: They lack hand-to-hand martial arts skills.\Crushing the Hero Association might be easier than I thought.\You've got to be kidding me.\Did his attacks pack more of a punch than I thought?\I might've been in trouble if he'd managed to land one on me.\Big Brother!\Big Brother Bat.\What are you doing? response:	Who is that?
context: Crushing the Hero Association might be easier than I thought.\You've got to be kidding me.\Did his attacks pack more of a punch than I thought?\I might've been in trouble if he'd managed to land one on me.\Big Brother!\Big Brother Bat.\What are you doing?\Who is that? response:	His little sister?
context: You've got to be kidding me.\Did his attacks pack more of a punch than I thought?\I might've been in trouble if he'd managed to land one on me.\Big Brother!\Big Brother Bat.\What are you doing?\Who is that?\His little sister? response:	Zenko, stay back!
context: Did his attacks pack more of a punch than I thought?\I might've been in trouble if he'd managed to land one on me.\Big Brother!\Big Brother Bat.\What are you doing?\Who is that?\His little sister?\Zenko, stay back! response:	Big Brother!
context: I might've been in trouble if he'd managed to land one on me.\Big Brother!\Big Brother Bat.\What are you doing?\Who is that?\His little sister?\Zenko, stay back!\Big Brother! response:	You missed the perfect opportunity.
context: Big Brother!\Big Brother Bat.\What are you doing?\Who is that?\His little sister?\Zenko, stay back!\Big Brother!\You missed the perfect opportunity. response:	This time, I'll finish you off for good!
context: Big Brother Bat.\What are you doing?\Who is that?\His little sister?\Zenko, stay back!\Big Brother!\You missed the perfect opportunity.\This time, I'll finish you off for good! response:	You can't!
context: What are you doing?\Who is that?\His little sister?\Zenko, stay back!\Big Brother!\You missed the perfect opportunity.\This time, I'll finish you off for good!\You can't! response:	Big Brother promised me that he'd never expose me to violence!
context: Who is that?\His little sister?\Zenko, stay back!\Big Brother!\You missed the perfect opportunity.\This time, I'll finish you off for good!\You can't!\Big Brother promised me that he'd never expose me to violence! response:	So no more fighting!
context: His little sister?\Zenko, stay back!\Big Brother!\You missed the perfect opportunity.\This time, I'll finish you off for good!\You can't!\Big Brother promised me that he'd never expose me to violence!\So no more fighting! response:	Huh?
context: Zenko, stay back!\Big Brother!\You missed the perfect opportunity.\This time, I'll finish you off for good!\You can't!\Big Brother promised me that he'd never expose me to violence!\So no more fighting!\Huh? response:	The fight's over!
context: Big Brother!\You missed the perfect opportunity.\This time, I'll finish you off for good!\You can't!\Big Brother promised me that he'd never expose me to violence!\So no more fighting!\Huh?\The fight's over! response:	And why the hell should I have to follow your family rules?
context: You missed the perfect opportunity.\This time, I'll finish you off for good!\You can't!\Big Brother promised me that he'd never expose me to violence!\So no more fighting!\Huh?\The fight's over!\And why the hell should I have to follow your family rules? response:	No more!
context: This time, I'll finish you off for good!\You can't!\Big Brother promised me that he'd never expose me to violence!\So no more fighting!\Huh?\The fight's over!\And why the hell should I have to follow your family rules?\No more! response:	Oh, yeah. I just remembered I had something else to do.
context: You can't!\Big Brother promised me that he'd never expose me to violence!\So no more fighting!\Huh?\The fight's over!\And why the hell should I have to follow your family rules?\No more!\Oh, yeah. I just remembered I had something else to do. response:	I don't have time to waste on you fools.
context: Big Brother promised me that he'd never expose me to violence!\So no more fighting!\Huh?\The fight's over!\And why the hell should I have to follow your family rules?\No more!\Oh, yeah. I just remembered I had something else to do.\I don't have time to waste on you fools. response:	You're the one who attacked me!
context: So no more fighting!\Huh?\The fight's over!\And why the hell should I have to follow your family rules?\No more!\Oh, yeah. I just remembered I had something else to do.\I don't have time to waste on you fools.\You're the one who attacked me! response:	Guess you get to live a little longer, Metal Bat.
context: Huh?\The fight's over!\And why the hell should I have to follow your family rules?\No more!\Oh, yeah. I just remembered I had something else to do.\I don't have time to waste on you fools.\You're the one who attacked me!\Guess you get to live a little longer, Metal Bat. response:	What?!
context: The fight's over!\And why the hell should I have to follow your family rules?\No more!\Oh, yeah. I just remembered I had something else to do.\I don't have time to waste on you fools.\You're the one who attacked me!\Guess you get to live a little longer, Metal Bat.\What?! response:	Big Brother! Let's hurry up and go home!
context: And why the hell should I have to follow your family rules?\No more!\Oh, yeah. I just remembered I had something else to do.\I don't have time to waste on you fools.\You're the one who attacked me!\Guess you get to live a little longer, Metal Bat.\What?!\Big Brother! Let's hurry up and go home! response:	There's a giant monster, too.
context: No more!\Oh, yeah. I just remembered I had something else to do.\I don't have time to waste on you fools.\You're the one who attacked me!\Guess you get to live a little longer, Metal Bat.\What?!\Big Brother! Let's hurry up and go home!\There's a giant monster, too. response:	Oh, right! That family's in danger.
context: Oh, yeah. I just remembered I had something else to do.\I don't have time to waste on you fools.\You're the one who attacked me!\Guess you get to live a little longer, Metal Bat.\What?!\Big Brother! Let's hurry up and go home!\There's a giant monster, too.\Oh, right! That family's in danger. response:	I have to hurry.
context: I don't have time to waste on you fools.\You're the one who attacked me!\Guess you get to live a little longer, Metal Bat.\What?!\Big Brother! Let's hurry up and go home!\There's a giant monster, too.\Oh, right! That family's in danger.\I have to hurry. response:	Wait, you're joking, right?
context: You're the one who attacked me!\Guess you get to live a little longer, Metal Bat.\What?!\Big Brother! Let's hurry up and go home!\There's a giant monster, too.\Oh, right! That family's in danger.\I have to hurry.\Wait, you're joking, right? response:	Come on! Don't do this!
context: Guess you get to live a little longer, Metal Bat.\What?!\Big Brother! Let's hurry up and go home!\There's a giant monster, too.\Oh, right! That family's in danger.\I have to hurry.\Wait, you're joking, right?\Come on! Don't do this! response:	You're gonna die!
context: What?!\Big Brother! Let's hurry up and go home!\There's a giant monster, too.\Oh, right! That family's in danger.\I have to hurry.\Wait, you're joking, right?\Come on! Don't do this!\You're gonna die! response:	You go on home, Zenko.
context: Big Brother! Let's hurry up and go home!\There's a giant monster, too.\Oh, right! That family's in danger.\I have to hurry.\Wait, you're joking, right?\Come on! Don't do this!\You're gonna die!\You go on home, Zenko. response:	Ugh! You stubborn oaf!
context: There's a giant monster, too.\Oh, right! That family's in danger.\I have to hurry.\Wait, you're joking, right?\Come on! Don't do this!\You're gonna die!\You go on home, Zenko.\Ugh! You stubborn oaf! response:	Huh? Big Brother?
context: Oh, right! That family's in danger.\I have to hurry.\Wait, you're joking, right?\Come on! Don't do this!\You're gonna die!\You go on home, Zenko.\Ugh! You stubborn oaf!\Huh? Big Brother? response:	Hello?
context: I have to hurry.\Wait, you're joking, right?\Come on! Don't do this!\You're gonna die!\You go on home, Zenko.\Ugh! You stubborn oaf!\Huh? Big Brother?\Hello? response:	So that's the hero hunter everyone's talking about.
context: Wait, you're joking, right?\Come on! Don't do this!\You're gonna die!\You go on home, Zenko.\Ugh! You stubborn oaf!\Huh? Big Brother?\Hello?\So that's the hero hunter everyone's talking about. response:	Not bad for a human.
context: Come on! Don't do this!\You're gonna die!\You go on home, Zenko.\Ugh! You stubborn oaf!\Huh? Big Brother?\Hello?\So that's the hero hunter everyone's talking about.\Not bad for a human. response:	He's a coward for not finishing him off.
context: You're gonna die!\You go on home, Zenko.\Ugh! You stubborn oaf!\Huh? Big Brother?\Hello?\So that's the hero hunter everyone's talking about.\Not bad for a human.\He's a coward for not finishing him off. response:	No, that guy may actually prove useful, Hedrojellyfish.
context: You go on home, Zenko.\Ugh! You stubborn oaf!\Huh? Big Brother?\Hello?\So that's the hero hunter everyone's talking about.\Not bad for a human.\He's a coward for not finishing him off.\No, that guy may actually prove useful, Hedrojellyfish. response:	Hey, that's Metal Bat's little sister.
context: Ugh! You stubborn oaf!\Huh? Big Brother?\Hello?\So that's the hero hunter everyone's talking about.\Not bad for a human.\He's a coward for not finishing him off.\No, that guy may actually prove useful, Hedrojellyfish.\Hey, that's Metal Bat's little sister. response:	The more hostages, the better.
context: Huh? Big Brother?\Hello?\So that's the hero hunter everyone's talking about.\Not bad for a human.\He's a coward for not finishing him off.\No, that guy may actually prove useful, Hedrojellyfish.\Hey, that's Metal Bat's little sister.\The more hostages, the better. response:	Hey.
context: Hello?\So that's the hero hunter everyone's talking about.\Not bad for a human.\He's a coward for not finishing him off.\No, that guy may actually prove useful, Hedrojellyfish.\Hey, that's Metal Bat's little sister.\The more hostages, the better.\Hey. response:	So you're the creepy gaze I was sensing.
context: So that's the hero hunter everyone's talking about.\Not bad for a human.\He's a coward for not finishing him off.\No, that guy may actually prove useful, Hedrojellyfish.\Hey, that's Metal Bat's little sister.\The more hostages, the better.\Hey.\So you're the creepy gaze I was sensing. response:	It's still alive?
