context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: So... What did you want to talk about?\If we don't hurry, the cafeteria will probably be really crowded...\Um...\He gives off a cold intimidation, different from Kacchan...\I was overpowered.\So much so that I broke my pledge.\He didn't use it even if it would be to his advantage...\His left side... response:	Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...
context: If we don't hurry, the cafeteria will probably be really crowded...\Um...\He gives off a cold intimidation, different from Kacchan...\I was overpowered.\So much so that I broke my pledge.\He didn't use it even if it would be to his advantage...\His left side...\Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka... response:	None of them felt it.
context: Um...\He gives off a cold intimidation, different from Kacchan...\I was overpowered.\So much so that I broke my pledge.\He didn't use it even if it would be to his advantage...\His left side...\Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...\None of them felt it. response:	At that last instant,
context: He gives off a cold intimidation, different from Kacchan...\I was overpowered.\So much so that I broke my pledge.\He didn't use it even if it would be to his advantage...\His left side...\Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...\None of them felt it.\At that last instant, response:	I was the only one who was overpowered.
context: I was overpowered.\So much so that I broke my pledge.\He didn't use it even if it would be to his advantage...\His left side...\Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...\None of them felt it.\At that last instant,\I was the only one who was overpowered. response:	Only me, who had experienced All Might's full power up close.
context: So much so that I broke my pledge.\He didn't use it even if it would be to his advantage...\His left side...\Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...\None of them felt it.\At that last instant,\I was the only one who was overpowered.\Only me, who had experienced All Might's full power up close. response:	What... does... that mean...?
context: He didn't use it even if it would be to his advantage...\His left side...\Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...\None of them felt it.\At that last instant,\I was the only one who was overpowered.\Only me, who had experienced All Might's full power up close.\What... does... that mean...? response:	It means I felt something similar coming from you.
context: His left side...\Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...\None of them felt it.\At that last instant,\I was the only one who was overpowered.\Only me, who had experienced All Might's full power up close.\What... does... that mean...?\It means I felt something similar coming from you. response:	Midoriya, are you...
context: Iida, Kaminari, Yaoyorozu, Tokoyami, Uraraka...\None of them felt it.\At that last instant,\I was the only one who was overpowered.\Only me, who had experienced All Might's full power up close.\What... does... that mean...?\It means I felt something similar coming from you.\Midoriya, are you... response:	Secret... love child...?!
context: None of them felt it.\At that last instant,\I was the only one who was overpowered.\Only me, who had experienced All Might's full power up close.\What... does... that mean...?\It means I felt something similar coming from you.\Midoriya, are you...\Secret... love child...?! response:	All Might has his eye on you, doesn't he?
context: At that last instant,\I was the only one who was overpowered.\Only me, who had experienced All Might's full power up close.\What... does... that mean...?\It means I felt something similar coming from you.\Midoriya, are you...\Secret... love child...?!\All Might has his eye on you, doesn't he? response:	I-I see... So that's what he was thinking!
context: I was the only one who was overpowered.\Only me, who had experienced All Might's full power up close.\What... does... that mean...?\It means I felt something similar coming from you.\Midoriya, are you...\Secret... love child...?!\All Might has his eye on you, doesn't he?\I-I see... So that's what he was thinking! response:	Well? Are you?
context: Only me, who had experienced All Might's full power up close.\What... does... that mean...?\It means I felt something similar coming from you.\Midoriya, are you...\Secret... love child...?!\All Might has his eye on you, doesn't he?\I-I see... So that's what he was thinking!\Well? Are you? response:	Th-That's not it!
context: What... does... that mean...?\It means I felt something similar coming from you.\Midoriya, are you...\Secret... love child...?!\All Might has his eye on you, doesn't he?\I-I see... So that's what he was thinking!\Well? Are you?\Th-That's not it! response:	I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,
context: It means I felt something similar coming from you.\Midoriya, are you...\Secret... love child...?!\All Might has his eye on you, doesn't he?\I-I see... So that's what he was thinking!\Well? Are you?\Th-That's not it!\I mean, even if I was, I would say I wasn't, so I don't think you'd believe me, response:	but anyway, that's not how it is...
context: Midoriya, are you...\Secret... love child...?!\All Might has his eye on you, doesn't he?\I-I see... So that's what he was thinking!\Well? Are you?\Th-That's not it!\I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,\but anyway, that's not how it is... response:	In the first place, let me ask you something...
context: Secret... love child...?!\All Might has his eye on you, doesn't he?\I-I see... So that's what he was thinking!\Well? Are you?\Th-That's not it!\I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,\but anyway, that's not how it is...\In the first place, let me ask you something... response:	Why do you think that about me...?
context: All Might has his eye on you, doesn't he?\I-I see... So that's what he was thinking!\Well? Are you?\Th-That's not it!\I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,\but anyway, that's not how it is...\In the first place, let me ask you something...\Why do you think that about me...? response:	Since you said, that's not how it is,
context: I-I see... So that's what he was thinking!\Well? Are you?\Th-That's not it!\I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,\but anyway, that's not how it is...\In the first place, let me ask you something...\Why do you think that about me...?\Since you said, that's not how it is, response:	that means there's a connection between
context: Well? Are you?\Th-That's not it!\I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,\but anyway, that's not how it is...\In the first place, let me ask you something...\Why do you think that about me...?\Since you said, that's not how it is,\that means there's a connection between response:	you two that you can't talk about, right?
context: Th-That's not it!\I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,\but anyway, that's not how it is...\In the first place, let me ask you something...\Why do you think that about me...?\Since you said, that's not how it is,\that means there's a connection between\you two that you can't talk about, right? response:	Endeavor's my old man.
context: I mean, even if I was, I would say I wasn't, so I don't think you'd believe me,\but anyway, that's not how it is...\In the first place, let me ask you something...\Why do you think that about me...?\Since you said, that's not how it is,\that means there's a connection between\you two that you can't talk about, right?\Endeavor's my old man. response:	I'm sure you know that he's been stuck as the number two hero for forever.
context: but anyway, that's not how it is...\In the first place, let me ask you something...\Why do you think that about me...?\Since you said, that's not how it is,\that means there's a connection between\you two that you can't talk about, right?\Endeavor's my old man.\I'm sure you know that he's been stuck as the number two hero for forever. response:	If you have something from the number one hero, then I...
context: In the first place, let me ask you something...\Why do you think that about me...?\Since you said, that's not how it is,\that means there's a connection between\you two that you can't talk about, right?\Endeavor's my old man.\I'm sure you know that he's been stuck as the number two hero for forever.\If you have something from the number one hero, then I... response:	Hey!
context: Why do you think that about me...?\Since you said, that's not how it is,\that means there's a connection between\you two that you can't talk about, right?\Endeavor's my old man.\I'm sure you know that he's been stuck as the number two hero for forever.\If you have something from the number one hero, then I...\Hey! response:	Long time no see!
context: Since you said, that's not how it is,\that means there's a connection between\you two that you can't talk about, right?\Endeavor's my old man.\I'm sure you know that he's been stuck as the number two hero for forever.\If you have something from the number one hero, then I...\Hey!\Long time no see! response:	Let's have tea, Endeavor!
context: that means there's a connection between\you two that you can't talk about, right?\Endeavor's my old man.\I'm sure you know that he's been stuck as the number two hero for forever.\If you have something from the number one hero, then I...\Hey!\Long time no see!\Let's have tea, Endeavor! response:	All Might...
context: you two that you can't talk about, right?\Endeavor's my old man.\I'm sure you know that he's been stuck as the number two hero for forever.\If you have something from the number one hero, then I...\Hey!\Long time no see!\Let's have tea, Endeavor!\All Might... response:	I haven't seen you since that talk we had with the press ten years ago, huh?
context: Endeavor's my old man.\I'm sure you know that he's been stuck as the number two hero for forever.\If you have something from the number one hero, then I...\Hey!\Long time no see!\Let's have tea, Endeavor!\All Might...\I haven't seen you since that talk we had with the press ten years ago, huh? response:	I saw you, so I thought I'd say hi.
context: I'm sure you know that he's been stuck as the number two hero for forever.\If you have something from the number one hero, then I...\Hey!\Long time no see!\Let's have tea, Endeavor!\All Might...\I haven't seen you since that talk we had with the press ten years ago, huh?\I saw you, so I thought I'd say hi. response:	I see. Well, you've already done that. Leave me.
context: If you have something from the number one hero, then I...\Hey!\Long time no see!\Let's have tea, Endeavor!\All Might...\I haven't seen you since that talk we had with the press ten years ago, huh?\I saw you, so I thought I'd say hi.\I see. Well, you've already done that. Leave me. response:	Tea? What a joke. I'm going to the restroom. Begone!
context: Hey!\Long time no see!\Let's have tea, Endeavor!\All Might...\I haven't seen you since that talk we had with the press ten years ago, huh?\I saw you, so I thought I'd say hi.\I see. Well, you've already done that. Leave me.\Tea? What a joke. I'm going to the restroom. Begone! response:	Don't be so cold!
context: Long time no see!\Let's have tea, Endeavor!\All Might...\I haven't seen you since that talk we had with the press ten years ago, huh?\I saw you, so I thought I'd say hi.\I see. Well, you've already done that. Leave me.\Tea? What a joke. I'm going to the restroom. Begone!\Don't be so cold! response:	Your son, Young Shoto, did wonderfully without even using half of his power.
context: Let's have tea, Endeavor!\All Might...\I haven't seen you since that talk we had with the press ten years ago, huh?\I saw you, so I thought I'd say hi.\I see. Well, you've already done that. Leave me.\Tea? What a joke. I'm going to the restroom. Begone!\Don't be so cold!\Your son, Young Shoto, did wonderfully without even using half of his power. response:	Is it because he was taught well?
context: All Might...\I haven't seen you since that talk we had with the press ten years ago, huh?\I saw you, so I thought I'd say hi.\I see. Well, you've already done that. Leave me.\Tea? What a joke. I'm going to the restroom. Begone!\Don't be so cold!\Your son, Young Shoto, did wonderfully without even using half of his power.\Is it because he was taught well? response:	What are you trying to say?
context: I haven't seen you since that talk we had with the press ten years ago, huh?\I saw you, so I thought I'd say hi.\I see. Well, you've already done that. Leave me.\Tea? What a joke. I'm going to the restroom. Begone!\Don't be so cold!\Your son, Young Shoto, did wonderfully without even using half of his power.\Is it because he was taught well?\What are you trying to say? response:	Why, I seriously want to know
context: I saw you, so I thought I'd say hi.\I see. Well, you've already done that. Leave me.\Tea? What a joke. I'm going to the restroom. Begone!\Don't be so cold!\Your son, Young Shoto, did wonderfully without even using half of his power.\Is it because he was taught well?\What are you trying to say?\Why, I seriously want to know response:	how to raise the next generation.
context: I see. Well, you've already done that. Leave me.\Tea? What a joke. I'm going to the restroom. Begone!\Don't be so cold!\Your son, Young Shoto, did wonderfully without even using half of his power.\Is it because he was taught well?\What are you trying to say?\Why, I seriously want to know\how to raise the next generation. response:	Do you think I'd tell you?
context: Tea? What a joke. I'm going to the restroom. Begone!\Don't be so cold!\Your son, Young Shoto, did wonderfully without even using half of his power.\Is it because he was taught well?\What are you trying to say?\Why, I seriously want to know\how to raise the next generation.\Do you think I'd tell you? response:	You look clueless as usual, and it's getting on my nerves.
context: Don't be so cold!\Your son, Young Shoto, did wonderfully without even using half of his power.\Is it because he was taught well?\What are you trying to say?\Why, I seriously want to know\how to raise the next generation.\Do you think I'd tell you?\You look clueless as usual, and it's getting on my nerves. response:	Sorry...
context: Your son, Young Shoto, did wonderfully without even using half of his power.\Is it because he was taught well?\What are you trying to say?\Why, I seriously want to know\how to raise the next generation.\Do you think I'd tell you?\You look clueless as usual, and it's getting on my nerves.\Sorry... response:	Just remember this-
context: Is it because he was taught well?\What are you trying to say?\Why, I seriously want to know\how to raise the next generation.\Do you think I'd tell you?\You look clueless as usual, and it's getting on my nerves.\Sorry...\Just remember this- response:	I will make that into a hero that will surpass you one day.
context: What are you trying to say?\Why, I seriously want to know\how to raise the next generation.\Do you think I'd tell you?\You look clueless as usual, and it's getting on my nerves.\Sorry...\Just remember this-\I will make that into a hero that will surpass you one day. response:	That was why I created him.
context: Why, I seriously want to know\how to raise the next generation.\Do you think I'd tell you?\You look clueless as usual, and it's getting on my nerves.\Sorry...\Just remember this-\I will make that into a hero that will surpass you one day.\That was why I created him. response:	What are you...?
context: how to raise the next generation.\Do you think I'd tell you?\You look clueless as usual, and it's getting on my nerves.\Sorry...\Just remember this-\I will make that into a hero that will surpass you one day.\That was why I created him.\What are you...? response:	He's in his rebellious stage right now,
context: Do you think I'd tell you?\You look clueless as usual, and it's getting on my nerves.\Sorry...\Just remember this-\I will make that into a hero that will surpass you one day.\That was why I created him.\What are you...?\He's in his rebellious stage right now, response:	but he will definitely surpass you.
context: You look clueless as usual, and it's getting on my nerves.\Sorry...\Just remember this-\I will make that into a hero that will surpass you one day.\That was why I created him.\What are you...?\He's in his rebellious stage right now,\but he will definitely surpass you. response:	I will make sure of it!
context: Sorry...\Just remember this-\I will make that into a hero that will surpass you one day.\That was why I created him.\What are you...?\He's in his rebellious stage right now,\but he will definitely surpass you.\I will make sure of it! response:	My old man has a strong desire to rise in the world.
context: Just remember this-\I will make that into a hero that will surpass you one day.\That was why I created him.\What are you...?\He's in his rebellious stage right now,\but he will definitely surpass you.\I will make sure of it!\My old man has a strong desire to rise in the world. response:	As a hero, he won a name for himself with crushing force.
context: I will make that into a hero that will surpass you one day.\That was why I created him.\What are you...?\He's in his rebellious stage right now,\but he will definitely surpass you.\I will make sure of it!\My old man has a strong desire to rise in the world.\As a hero, he won a name for himself with crushing force. response:	Because of that, the living legend, All Might, is a great eyesore to him.
context: That was why I created him.\What are you...?\He's in his rebellious stage right now,\but he will definitely surpass you.\I will make sure of it!\My old man has a strong desire to rise in the world.\As a hero, he won a name for himself with crushing force.\Because of that, the living legend, All Might, is a great eyesore to him. response:	Since he couldn't surpass All Might, he moved onto his next plan.
context: What are you...?\He's in his rebellious stage right now,\but he will definitely surpass you.\I will make sure of it!\My old man has a strong desire to rise in the world.\As a hero, he won a name for himself with crushing force.\Because of that, the living legend, All Might, is a great eyesore to him.\Since he couldn't surpass All Might, he moved onto his next plan. response:	What are you talking about, Todoroki...?
context: He's in his rebellious stage right now,\but he will definitely surpass you.\I will make sure of it!\My old man has a strong desire to rise in the world.\As a hero, he won a name for himself with crushing force.\Because of that, the living legend, All Might, is a great eyesore to him.\Since he couldn't surpass All Might, he moved onto his next plan.\What are you talking about, Todoroki...? response:	What are you trying to tell me?
context: but he will definitely surpass you.\I will make sure of it!\My old man has a strong desire to rise in the world.\As a hero, he won a name for himself with crushing force.\Because of that, the living legend, All Might, is a great eyesore to him.\Since he couldn't surpass All Might, he moved onto his next plan.\What are you talking about, Todoroki...?\What are you trying to tell me? response:	You've heard of Quirk marriages, right?
context: I will make sure of it!\My old man has a strong desire to rise in the world.\As a hero, he won a name for himself with crushing force.\Because of that, the living legend, All Might, is a great eyesore to him.\Since he couldn't surpass All Might, he moved onto his next plan.\What are you talking about, Todoroki...?\What are you trying to tell me?\You've heard of Quirk marriages, right? response:	That thing that became a problem
context: My old man has a strong desire to rise in the world.\As a hero, he won a name for himself with crushing force.\Because of that, the living legend, All Might, is a great eyesore to him.\Since he couldn't surpass All Might, he moved onto his next plan.\What are you talking about, Todoroki...?\What are you trying to tell me?\You've heard of Quirk marriages, right?\That thing that became a problem response:	for the second and third generation after superpowers appeared.
context: As a hero, he won a name for himself with crushing force.\Because of that, the living legend, All Might, is a great eyesore to him.\Since he couldn't surpass All Might, he moved onto his next plan.\What are you talking about, Todoroki...?\What are you trying to tell me?\You've heard of Quirk marriages, right?\That thing that became a problem\for the second and third generation after superpowers appeared. response:	Choosing a spouse based only on
context: Because of that, the living legend, All Might, is a great eyesore to him.\Since he couldn't surpass All Might, he moved onto his next plan.\What are you talking about, Todoroki...?\What are you trying to tell me?\You've heard of Quirk marriages, right?\That thing that became a problem\for the second and third generation after superpowers appeared.\Choosing a spouse based only on response:	strengthening your own Quirk and passing it onto your children,
context: Since he couldn't surpass All Might, he moved onto his next plan.\What are you talking about, Todoroki...?\What are you trying to tell me?\You've heard of Quirk marriages, right?\That thing that became a problem\for the second and third generation after superpowers appeared.\Choosing a spouse based only on\strengthening your own Quirk and passing it onto your children, response:	forcing people into marriage.
context: What are you talking about, Todoroki...?\What are you trying to tell me?\You've heard of Quirk marriages, right?\That thing that became a problem\for the second and third generation after superpowers appeared.\Choosing a spouse based only on\strengthening your own Quirk and passing it onto your children,\forcing people into marriage. response:	The old-fashioned way of thinking brought about by a lack of ethics.
context: What are you trying to tell me?\You've heard of Quirk marriages, right?\That thing that became a problem\for the second and third generation after superpowers appeared.\Choosing a spouse based only on\strengthening your own Quirk and passing it onto your children,\forcing people into marriage.\The old-fashioned way of thinking brought about by a lack of ethics. response:	He is a man with both accomplishments and money.
context: You've heard of Quirk marriages, right?\That thing that became a problem\for the second and third generation after superpowers appeared.\Choosing a spouse based only on\strengthening your own Quirk and passing it onto your children,\forcing people into marriage.\The old-fashioned way of thinking brought about by a lack of ethics.\He is a man with both accomplishments and money. response:	He won over my mother's relatives and got a hold of my mother's Quirk.
context: That thing that became a problem\for the second and third generation after superpowers appeared.\Choosing a spouse based only on\strengthening your own Quirk and passing it onto your children,\forcing people into marriage.\The old-fashioned way of thinking brought about by a lack of ethics.\He is a man with both accomplishments and money.\He won over my mother's relatives and got a hold of my mother's Quirk. response:	He is trying to fulfill his own desire by raising me to be
context: for the second and third generation after superpowers appeared.\Choosing a spouse based only on\strengthening your own Quirk and passing it onto your children,\forcing people into marriage.\The old-fashioned way of thinking brought about by a lack of ethics.\He is a man with both accomplishments and money.\He won over my mother's relatives and got a hold of my mother's Quirk.\He is trying to fulfill his own desire by raising me to be response:	a hero to surpass All Might.
context: Choosing a spouse based only on\strengthening your own Quirk and passing it onto your children,\forcing people into marriage.\The old-fashioned way of thinking brought about by a lack of ethics.\He is a man with both accomplishments and money.\He won over my mother's relatives and got a hold of my mother's Quirk.\He is trying to fulfill his own desire by raising me to be\a hero to surpass All Might. response:	It's so annoying...
context: strengthening your own Quirk and passing it onto your children,\forcing people into marriage.\The old-fashioned way of thinking brought about by a lack of ethics.\He is a man with both accomplishments and money.\He won over my mother's relatives and got a hold of my mother's Quirk.\He is trying to fulfill his own desire by raising me to be\a hero to surpass All Might.\It's so annoying... response:	I won't become the tool of scum like that.
context: forcing people into marriage.\The old-fashioned way of thinking brought about by a lack of ethics.\He is a man with both accomplishments and money.\He won over my mother's relatives and got a hold of my mother's Quirk.\He is trying to fulfill his own desire by raising me to be\a hero to surpass All Might.\It's so annoying...\I won't become the tool of scum like that. response:	In my memories, my mother is always crying.
context: The old-fashioned way of thinking brought about by a lack of ethics.\He is a man with both accomplishments and money.\He won over my mother's relatives and got a hold of my mother's Quirk.\He is trying to fulfill his own desire by raising me to be\a hero to surpass All Might.\It's so annoying...\I won't become the tool of scum like that.\In my memories, my mother is always crying. response:	Your left side is unsightly,
context: He is a man with both accomplishments and money.\He won over my mother's relatives and got a hold of my mother's Quirk.\He is trying to fulfill his own desire by raising me to be\a hero to surpass All Might.\It's so annoying...\I won't become the tool of scum like that.\In my memories, my mother is always crying.\Your left side is unsightly, response:	my mother said as she poured boiling water on me.
context: He won over my mother's relatives and got a hold of my mother's Quirk.\He is trying to fulfill his own desire by raising me to be\a hero to surpass All Might.\It's so annoying...\I won't become the tool of scum like that.\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me. response:	Basically, I picked a fight with you to show him what I can do,
context: He is trying to fulfill his own desire by raising me to be\a hero to surpass All Might.\It's so annoying...\I won't become the tool of scum like that.\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Basically, I picked a fight with you to show him what I can do, response:	without using my damn old man's Quirk...
context: a hero to surpass All Might.\It's so annoying...\I won't become the tool of scum like that.\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Basically, I picked a fight with you to show him what I can do,\without using my damn old man's Quirk... response:	No...
context: It's so annoying...\I won't become the tool of scum like that.\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Basically, I picked a fight with you to show him what I can do,\without using my damn old man's Quirk...\No... response:	I'll reject him completely by winning first place without using it.
context: I won't become the tool of scum like that.\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Basically, I picked a fight with you to show him what I can do,\without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it. response:	The world he talked about was so different that honestly, I was scared.
context: In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Basically, I picked a fight with you to show him what I can do,\without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\The world he talked about was so different that honestly, I was scared. response:	I thought about how it could be so different for us
context: Your left side is unsightly,\my mother said as she poured boiling water on me.\Basically, I picked a fight with you to show him what I can do,\without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\The world he talked about was so different that honestly, I was scared.\I thought about how it could be so different for us response:	even if we were aiming for the same thing.
context: my mother said as she poured boiling water on me.\Basically, I picked a fight with you to show him what I can do,\without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\The world he talked about was so different that honestly, I was scared.\I thought about how it could be so different for us\even if we were aiming for the same thing. response:	I don't care if you can't tell me how you're connected to All Might.
context: Basically, I picked a fight with you to show him what I can do,\without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\The world he talked about was so different that honestly, I was scared.\I thought about how it could be so different for us\even if we were aiming for the same thing.\I don't care if you can't tell me how you're connected to All Might. response:	No matter what you are to All Might,
context: without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\The world he talked about was so different that honestly, I was scared.\I thought about how it could be so different for us\even if we were aiming for the same thing.\I don't care if you can't tell me how you're connected to All Might.\No matter what you are to All Might, response:	I will rise above you with just my right side.
context: No...\I'll reject him completely by winning first place without using it.\The world he talked about was so different that honestly, I was scared.\I thought about how it could be so different for us\even if we were aiming for the same thing.\I don't care if you can't tell me how you're connected to All Might.\No matter what you are to All Might,\I will rise above you with just my right side. response:	Sorry for wasting your time.
context: I'll reject him completely by winning first place without using it.\The world he talked about was so different that honestly, I was scared.\I thought about how it could be so different for us\even if we were aiming for the same thing.\I don't care if you can't tell me how you're connected to All Might.\No matter what you are to All Might,\I will rise above you with just my right side.\Sorry for wasting your time. response:	If this were a comic, he'd be the main character.
