context: If only we could be together for ever and ever. response:	But, in reality...
context: Wrong! Totally wrong!\Sold out?!\Can we send the programs to the printers yet?\Arima? I just saw him a second ago...\Rats, he just left.\Nope, he hasn't been here.\Nope, he hasn't come over here.\I think I heard his voice a while ago. response:	He blew through here really fast. Oh no! The curtain!
context: Sold out?!\Can we send the programs to the printers yet?\Arima? I just saw him a second ago...\Rats, he just left.\Nope, he hasn't been here.\Nope, he hasn't come over here.\I think I heard his voice a while ago.\He blew through here really fast. Oh no! The curtain! response:	Senpai! Another misprint!
context: Can we send the programs to the printers yet?\Arima? I just saw him a second ago...\Rats, he just left.\Nope, he hasn't been here.\Nope, he hasn't come over here.\I think I heard his voice a while ago.\He blew through here really fast. Oh no! The curtain!\Senpai! Another misprint! response:	Pretend you didn't see it!
context: Arima? I just saw him a second ago...\Rats, he just left.\Nope, he hasn't been here.\Nope, he hasn't come over here.\I think I heard his voice a while ago.\He blew through here really fast. Oh no! The curtain!\Senpai! Another misprint!\Pretend you didn't see it! response:	It's no use! Not even Jolt is working any more!
context: Rats, he just left.\Nope, he hasn't been here.\Nope, he hasn't come over here.\I think I heard his voice a while ago.\He blew through here really fast. Oh no! The curtain!\Senpai! Another misprint!\Pretend you didn't see it!\It's no use! Not even Jolt is working any more! response:	I wanna go home...
context: Nope, he hasn't been here.\Nope, he hasn't come over here.\I think I heard his voice a while ago.\He blew through here really fast. Oh no! The curtain!\Senpai! Another misprint!\Pretend you didn't see it!\It's no use! Not even Jolt is working any more!\I wanna go home... response:	What the hell is up with this busy-ness?
context: Nope, he hasn't come over here.\I think I heard his voice a while ago.\He blew through here really fast. Oh no! The curtain!\Senpai! Another misprint!\Pretend you didn't see it!\It's no use! Not even Jolt is working any more!\I wanna go home...\What the hell is up with this busy-ness? response:	It's beyond any thought of eating lunch with Arima at this point.
context: I think I heard his voice a while ago.\He blew through here really fast. Oh no! The curtain!\Senpai! Another misprint!\Pretend you didn't see it!\It's no use! Not even Jolt is working any more!\I wanna go home...\What the hell is up with this busy-ness?\It's beyond any thought of eating lunch with Arima at this point. response:	If this keeps up, I'll die.
context: He blew through here really fast. Oh no! The curtain!\Senpai! Another misprint!\Pretend you didn't see it!\It's no use! Not even Jolt is working any more!\I wanna go home...\What the hell is up with this busy-ness?\It's beyond any thought of eating lunch with Arima at this point.\If this keeps up, I'll die. response:	Senpai, I handed in the list...
context: Senpai! Another misprint!\Pretend you didn't see it!\It's no use! Not even Jolt is working any more!\I wanna go home...\What the hell is up with this busy-ness?\It's beyond any thought of eating lunch with Arima at this point.\If this keeps up, I'll die.\Senpai, I handed in the list... response:	He's gone. Wonder where he went?
context: Pretend you didn't see it!\It's no use! Not even Jolt is working any more!\I wanna go home...\What the hell is up with this busy-ness?\It's beyond any thought of eating lunch with Arima at this point.\If this keeps up, I'll die.\Senpai, I handed in the list...\He's gone. Wonder where he went? response:	Oh, well.
context: It's no use! Not even Jolt is working any more!\I wanna go home...\What the hell is up with this busy-ness?\It's beyond any thought of eating lunch with Arima at this point.\If this keeps up, I'll die.\Senpai, I handed in the list...\He's gone. Wonder where he went?\Oh, well. response:	I wonder if Arima's feeling like this, too.
context: I wanna go home...\What the hell is up with this busy-ness?\It's beyond any thought of eating lunch with Arima at this point.\If this keeps up, I'll die.\Senpai, I handed in the list...\He's gone. Wonder where he went?\Oh, well.\I wonder if Arima's feeling like this, too. response:	Good morning, Miyazawa.
context: What the hell is up with this busy-ness?\It's beyond any thought of eating lunch with Arima at this point.\If this keeps up, I'll die.\Senpai, I handed in the list...\He's gone. Wonder where he went?\Oh, well.\I wonder if Arima's feeling like this, too.\Good morning, Miyazawa. response:	You're really amazing.
context: It's beyond any thought of eating lunch with Arima at this point.\If this keeps up, I'll die.\Senpai, I handed in the list...\He's gone. Wonder where he went?\Oh, well.\I wonder if Arima's feeling like this, too.\Good morning, Miyazawa.\You're really amazing. response:	You're letting your face slip.
context: If this keeps up, I'll die.\Senpai, I handed in the list...\He's gone. Wonder where he went?\Oh, well.\I wonder if Arima's feeling like this, too.\Good morning, Miyazawa.\You're really amazing.\You're letting your face slip. response:	I wanted you to know that I like you.
context: Senpai, I handed in the list...\He's gone. Wonder where he went?\Oh, well.\I wonder if Arima's feeling like this, too.\Good morning, Miyazawa.\You're really amazing.\You're letting your face slip.\I wanted you to know that I like you. response:	I fell asleep.
context: He's gone. Wonder where he went?\Oh, well.\I wonder if Arima's feeling like this, too.\Good morning, Miyazawa.\You're really amazing.\You're letting your face slip.\I wanted you to know that I like you.\I fell asleep. response:	I had a memory dream.
context: Oh, well.\I wonder if Arima's feeling like this, too.\Good morning, Miyazawa.\You're really amazing.\You're letting your face slip.\I wanted you to know that I like you.\I fell asleep.\I had a memory dream. response:	That's right, until a short time ago that's how things were.
context: I wonder if Arima's feeling like this, too.\Good morning, Miyazawa.\You're really amazing.\You're letting your face slip.\I wanted you to know that I like you.\I fell asleep.\I had a memory dream.\That's right, until a short time ago that's how things were. response:	I was still Miss Goody-Two-Shoes, and I hated Arima.
context: Good morning, Miyazawa.\You're really amazing.\You're letting your face slip.\I wanted you to know that I like you.\I fell asleep.\I had a memory dream.\That's right, until a short time ago that's how things were.\I was still Miss Goody-Two-Shoes, and I hated Arima. response:	Arima was always with me.
context: You're really amazing.\You're letting your face slip.\I wanted you to know that I like you.\I fell asleep.\I had a memory dream.\That's right, until a short time ago that's how things were.\I was still Miss Goody-Two-Shoes, and I hated Arima.\Arima was always with me. response:	Yes, always with me.
context: You're letting your face slip.\I wanted you to know that I like you.\I fell asleep.\I had a memory dream.\That's right, until a short time ago that's how things were.\I was still Miss Goody-Two-Shoes, and I hated Arima.\Arima was always with me.\Yes, always with me. response:	I want to see him. I want to be with him.
context: I wanted you to know that I like you.\I fell asleep.\I had a memory dream.\That's right, until a short time ago that's how things were.\I was still Miss Goody-Two-Shoes, and I hated Arima.\Arima was always with me.\Yes, always with me.\I want to see him. I want to be with him. response:	I didn't think about it at all then.
context: I fell asleep.\I had a memory dream.\That's right, until a short time ago that's how things were.\I was still Miss Goody-Two-Shoes, and I hated Arima.\Arima was always with me.\Yes, always with me.\I want to see him. I want to be with him.\I didn't think about it at all then. response:	That I'd love Arima this much...
context: I had a memory dream.\That's right, until a short time ago that's how things were.\I was still Miss Goody-Two-Shoes, and I hated Arima.\Arima was always with me.\Yes, always with me.\I want to see him. I want to be with him.\I didn't think about it at all then.\That I'd love Arima this much... response:	Days till the Athletics Festival
context: That's right, until a short time ago that's how things were.\I was still Miss Goody-Two-Shoes, and I hated Arima.\Arima was always with me.\Yes, always with me.\I want to see him. I want to be with him.\I didn't think about it at all then.\That I'd love Arima this much...\Days till the Athletics Festival response:	There you are!
context: I was still Miss Goody-Two-Shoes, and I hated Arima.\Arima was always with me.\Yes, always with me.\I want to see him. I want to be with him.\I didn't think about it at all then.\That I'd love Arima this much...\Days till the Athletics Festival\There you are! response:	Miyazawa!
context: Arima was always with me.\Yes, always with me.\I want to see him. I want to be with him.\I didn't think about it at all then.\That I'd love Arima this much...\Days till the Athletics Festival\There you are!\Miyazawa! response:	Arima! Arima!
context: Yes, always with me.\I want to see him. I want to be with him.\I didn't think about it at all then.\That I'd love Arima this much...\Days till the Athletics Festival\There you are!\Miyazawa!\Arima! Arima! response:	Oh, there you are!
context: I want to see him. I want to be with him.\I didn't think about it at all then.\That I'd love Arima this much...\Days till the Athletics Festival\There you are!\Miyazawa!\Arima! Arima!\Oh, there you are! response:	Arima, we need you for a minute!
context: I didn't think about it at all then.\That I'd love Arima this much...\Days till the Athletics Festival\There you are!\Miyazawa!\Arima! Arima!\Oh, there you are!\Arima, we need you for a minute! response:	Don't bug me about every fucking thing, GOD DAMMIT!
context: That I'd love Arima this much...\Days till the Athletics Festival\There you are!\Miyazawa!\Arima! Arima!\Oh, there you are!\Arima, we need you for a minute!\Don't bug me about every fucking thing, GOD DAMMIT! response:	Sorry. Could I have just a small break?
context: Days till the Athletics Festival\There you are!\Miyazawa!\Arima! Arima!\Oh, there you are!\Arima, we need you for a minute!\Don't bug me about every fucking thing, GOD DAMMIT!\Sorry. Could I have just a small break? response:	Sure. Go right ahead. No pressure.
context: There you are!\Miyazawa!\Arima! Arima!\Oh, there you are!\Arima, we need you for a minute!\Don't bug me about every fucking thing, GOD DAMMIT!\Sorry. Could I have just a small break?\Sure. Go right ahead. No pressure. response:	I'm all burnt out.
context: Miyazawa!\Arima! Arima!\Oh, there you are!\Arima, we need you for a minute!\Don't bug me about every fucking thing, GOD DAMMIT!\Sorry. Could I have just a small break?\Sure. Go right ahead. No pressure.\I'm all burnt out. response:	Arima's having a pretty tough time, too.
context: Arima! Arima!\Oh, there you are!\Arima, we need you for a minute!\Don't bug me about every fucking thing, GOD DAMMIT!\Sorry. Could I have just a small break?\Sure. Go right ahead. No pressure.\I'm all burnt out.\Arima's having a pretty tough time, too. response:	This mess will be over by tomorrow.
context: Oh, there you are!\Arima, we need you for a minute!\Don't bug me about every fucking thing, GOD DAMMIT!\Sorry. Could I have just a small break?\Sure. Go right ahead. No pressure.\I'm all burnt out.\Arima's having a pretty tough time, too.\This mess will be over by tomorrow. response:	Um, you...you been doing okay?
context: Arima, we need you for a minute!\Don't bug me about every fucking thing, GOD DAMMIT!\Sorry. Could I have just a small break?\Sure. Go right ahead. No pressure.\I'm all burnt out.\Arima's having a pretty tough time, too.\This mess will be over by tomorrow.\Um, you...you been doing okay? response:	What? Oh, just great! And you?
context: Don't bug me about every fucking thing, GOD DAMMIT!\Sorry. Could I have just a small break?\Sure. Go right ahead. No pressure.\I'm all burnt out.\Arima's having a pretty tough time, too.\This mess will be over by tomorrow.\Um, you...you been doing okay?\What? Oh, just great! And you? response:	Except for that little outburst back there...
context: Sorry. Could I have just a small break?\Sure. Go right ahead. No pressure.\I'm all burnt out.\Arima's having a pretty tough time, too.\This mess will be over by tomorrow.\Um, you...you been doing okay?\What? Oh, just great! And you?\Except for that little outburst back there... response:	Oh, I'm fine, too.
context: Sure. Go right ahead. No pressure.\I'm all burnt out.\Arima's having a pretty tough time, too.\This mess will be over by tomorrow.\Um, you...you been doing okay?\What? Oh, just great! And you?\Except for that little outburst back there...\Oh, I'm fine, too. response:	Oh. OK.
context: I'm all burnt out.\Arima's having a pretty tough time, too.\This mess will be over by tomorrow.\Um, you...you been doing okay?\What? Oh, just great! And you?\Except for that little outburst back there...\Oh, I'm fine, too.\Oh. OK. response:	Uhm... yeah.
context: Arima's having a pretty tough time, too.\This mess will be over by tomorrow.\Um, you...you been doing okay?\What? Oh, just great! And you?\Except for that little outburst back there...\Oh, I'm fine, too.\Oh. OK.\Uhm... yeah. response:	*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*
context: This mess will be over by tomorrow.\Um, you...you been doing okay?\What? Oh, just great! And you?\Except for that little outburst back there...\Oh, I'm fine, too.\Oh. OK.\Uhm... yeah.\*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!* response:	Sorry!
context: Um, you...you been doing okay?\What? Oh, just great! And you?\Except for that little outburst back there...\Oh, I'm fine, too.\Oh. OK.\Uhm... yeah.\*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*\Sorry! response:	I'm supposed to say something smooth at a time like this...
context: What? Oh, just great! And you?\Except for that little outburst back there...\Oh, I'm fine, too.\Oh. OK.\Uhm... yeah.\*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*\Sorry!\I'm supposed to say something smooth at a time like this... response:	It's ok! I can't think of anything either!
context: Except for that little outburst back there...\Oh, I'm fine, too.\Oh. OK.\Uhm... yeah.\*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*\Sorry!\I'm supposed to say something smooth at a time like this...\It's ok! I can't think of anything either! response:	Yeah, it wasn't any fun for me, either.
context: Oh, I'm fine, too.\Oh. OK.\Uhm... yeah.\*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*\Sorry!\I'm supposed to say something smooth at a time like this...\It's ok! I can't think of anything either!\Yeah, it wasn't any fun for me, either. response:	The Athletics Festival sucks.
context: Oh. OK.\Uhm... yeah.\*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*\Sorry!\I'm supposed to say something smooth at a time like this...\It's ok! I can't think of anything either!\Yeah, it wasn't any fun for me, either.\The Athletics Festival sucks. response:	I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.
context: Uhm... yeah.\*Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*\Sorry!\I'm supposed to say something smooth at a time like this...\It's ok! I can't think of anything either!\Yeah, it wasn't any fun for me, either.\The Athletics Festival sucks.\I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all. response:	Nice weather.
context: *Why're we being so self conscious?* - *I feel awkward when I haven't seen you in a while!*\Sorry!\I'm supposed to say something smooth at a time like this...\It's ok! I can't think of anything either!\Yeah, it wasn't any fun for me, either.\The Athletics Festival sucks.\I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.\Nice weather. response:	What?
context: Sorry!\I'm supposed to say something smooth at a time like this...\It's ok! I can't think of anything either!\Yeah, it wasn't any fun for me, either.\The Athletics Festival sucks.\I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.\Nice weather.\What? response:	I have to get back. See ya.
context: I'm supposed to say something smooth at a time like this...\It's ok! I can't think of anything either!\Yeah, it wasn't any fun for me, either.\The Athletics Festival sucks.\I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.\Nice weather.\What?\I have to get back. See ya. response:	More than anything else... that freaked me out.
context: It's ok! I can't think of anything either!\Yeah, it wasn't any fun for me, either.\The Athletics Festival sucks.\I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.\Nice weather.\What?\I have to get back. See ya.\More than anything else... that freaked me out. response:	I hope we can always be together.
context: Yeah, it wasn't any fun for me, either.\The Athletics Festival sucks.\I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.\Nice weather.\What?\I have to get back. See ya.\More than anything else... that freaked me out.\I hope we can always be together. response:	Alrighty then! Let's do it!
context: The Athletics Festival sucks.\I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.\Nice weather.\What?\I have to get back. See ya.\More than anything else... that freaked me out.\I hope we can always be together.\Alrighty then! Let's do it! response:	The actual Athletics Festival was really great.
context: I don't want to have anything to do with the School Festival or the field trip anymore. 0014,809 -> 0018,111 We haven't been able to do anything that couples do at all.\Nice weather.\What?\I have to get back. See ya.\More than anything else... that freaked me out.\I hope we can always be together.\Alrighty then! Let's do it!\The actual Athletics Festival was really great. response:	Arima looked really cool when he got serious.
context: Nice weather.\What?\I have to get back. See ya.\More than anything else... that freaked me out.\I hope we can always be together.\Alrighty then! Let's do it!\The actual Athletics Festival was really great.\Arima looked really cool when he got serious. response:	And we finally got to eat lunch together.
context: What?\I have to get back. See ya.\More than anything else... that freaked me out.\I hope we can always be together.\Alrighty then! Let's do it!\The actual Athletics Festival was really great.\Arima looked really cool when he got serious.\And we finally got to eat lunch together. response:	Around this time of year the groups that people hang out with get generally settled by class and club activities.
context: I have to get back. See ya.\More than anything else... that freaked me out.\I hope we can always be together.\Alrighty then! Let's do it!\The actual Athletics Festival was really great.\Arima looked really cool when he got serious.\And we finally got to eat lunch together.\Around this time of year the groups that people hang out with get generally settled by class and club activities. response:	This is also the time when the instant couples...
context: More than anything else... that freaked me out.\I hope we can always be together.\Alrighty then! Let's do it!\The actual Athletics Festival was really great.\Arima looked really cool when he got serious.\And we finally got to eat lunch together.\Around this time of year the groups that people hang out with get generally settled by class and club activities.\This is also the time when the instant couples... response:	New couples began popping up all over the place.
context: I hope we can always be together.\Alrighty then! Let's do it!\The actual Athletics Festival was really great.\Arima looked really cool when he got serious.\And we finally got to eat lunch together.\Around this time of year the groups that people hang out with get generally settled by class and club activities.\This is also the time when the instant couples...\New couples began popping up all over the place. response:	But this is a pair of guys...
context: Alrighty then! Let's do it!\The actual Athletics Festival was really great.\Arima looked really cool when he got serious.\And we finally got to eat lunch together.\Around this time of year the groups that people hang out with get generally settled by class and club activities.\This is also the time when the instant couples...\New couples began popping up all over the place.\But this is a pair of guys... response:	Both of them are good-looking, so they stand out.
context: The actual Athletics Festival was really great.\Arima looked really cool when he got serious.\And we finally got to eat lunch together.\Around this time of year the groups that people hang out with get generally settled by class and club activities.\This is also the time when the instant couples...\New couples began popping up all over the place.\But this is a pair of guys...\Both of them are good-looking, so they stand out. response:	Hey hey, what's that guy's name?
context: Arima looked really cool when he got serious.\And we finally got to eat lunch together.\Around this time of year the groups that people hang out with get generally settled by class and club activities.\This is also the time when the instant couples...\New couples began popping up all over the place.\But this is a pair of guys...\Both of them are good-looking, so they stand out.\Hey hey, what's that guy's name? response:	Oh, Asaba?
context: And we finally got to eat lunch together.\Around this time of year the groups that people hang out with get generally settled by class and club activities.\This is also the time when the instant couples...\New couples began popping up all over the place.\But this is a pair of guys...\Both of them are good-looking, so they stand out.\Hey hey, what's that guy's name?\Oh, Asaba? response:	What?! Miyazawa, don't you know who Asaba is?
context: Around this time of year the groups that people hang out with get generally settled by class and club activities.\This is also the time when the instant couples...\New couples began popping up all over the place.\But this is a pair of guys...\Both of them are good-looking, so they stand out.\Hey hey, what's that guy's name?\Oh, Asaba?\What?! Miyazawa, don't you know who Asaba is? response:	He's Asaba Hideaki from class 1-F.
