context: Look over here. response:	J-Jotaro! L-Look!
context: He's an office employee, and not married.\If he had a wife,\he wouldn't have brought his jacket here for a button repair.\He's between the ages of 25 and 35, and he looks pretty rich.\Judging from the material and design, that jacket was a high-end brand.\Even if we don't follow him now,\we've significantly narrowed down who it might be.\I-I see... response:	W-Wait! That doesn't mean we shouldn't go after him!
context: If he had a wife,\he wouldn't have brought his jacket here for a button repair.\He's between the ages of 25 and 35, and he looks pretty rich.\Judging from the material and design, that jacket was a high-end brand.\Even if we don't follow him now,\we've significantly narrowed down who it might be.\I-I see...\W-Wait! That doesn't mean we shouldn't go after him! response:	He's a murderer!
context: he wouldn't have brought his jacket here for a button repair.\He's between the ages of 25 and 35, and he looks pretty rich.\Judging from the material and design, that jacket was a high-end brand.\Even if we don't follow him now,\we've significantly narrowed down who it might be.\I-I see...\W-Wait! That doesn't mean we shouldn't go after him!\He's a murderer! response:	It's not that I don't want to pursue him, but we can't.
context: He's between the ages of 25 and 35, and he looks pretty rich.\Judging from the material and design, that jacket was a high-end brand.\Even if we don't follow him now,\we've significantly narrowed down who it might be.\I-I see...\W-Wait! That doesn't mean we shouldn't go after him!\He's a murderer!\It's not that I don't want to pursue him, but we can't. response:	Because that bomb Stand is somewhere over there.
context: Judging from the material and design, that jacket was a high-end brand.\Even if we don't follow him now,\we've significantly narrowed down who it might be.\I-I see...\W-Wait! That doesn't mean we shouldn't go after him!\He's a murderer!\It's not that I don't want to pursue him, but we can't.\Because that bomb Stand is somewhere over there. response:	Huh?! The Stand?
context: Even if we don't follow him now,\we've significantly narrowed down who it might be.\I-I see...\W-Wait! That doesn't mean we shouldn't go after him!\He's a murderer!\It's not that I don't want to pursue him, but we can't.\Because that bomb Stand is somewhere over there.\Huh?! The Stand? response:	Y-You saw it?
context: we've significantly narrowed down who it might be.\I-I see...\W-Wait! That doesn't mean we shouldn't go after him!\He's a murderer!\It's not that I don't want to pursue him, but we can't.\Because that bomb Stand is somewhere over there.\Huh?! The Stand?\Y-You saw it? response:	I didn't see it, but it must be there.
context: I-I see...\W-Wait! That doesn't mean we shouldn't go after him!\He's a murderer!\It's not that I don't want to pursue him, but we can't.\Because that bomb Stand is somewhere over there.\Huh?! The Stand?\Y-You saw it?\I didn't see it, but it must be there. response:	Slowly walk outside through the door.
context: W-Wait! That doesn't mean we shouldn't go after him!\He's a murderer!\It's not that I don't want to pursue him, but we can't.\Because that bomb Stand is somewhere over there.\Huh?! The Stand?\Y-You saw it?\I didn't see it, but it must be there.\Slowly walk outside through the door. response:	It must be? Hang on.
context: He's a murderer!\It's not that I don't want to pursue him, but we can't.\Because that bomb Stand is somewhere over there.\Huh?! The Stand?\Y-You saw it?\I didn't see it, but it must be there.\Slowly walk outside through the door.\It must be? Hang on. response:	How can you know it must be there if you can't see it?
context: It's not that I don't want to pursue him, but we can't.\Because that bomb Stand is somewhere over there.\Huh?! The Stand?\Y-You saw it?\I didn't see it, but it must be there.\Slowly walk outside through the door.\It must be? Hang on.\How can you know it must be there if you can't see it? response:	If he were the kind of guy to leave right after getting rid of the shop owner,
context: Because that bomb Stand is somewhere over there.\Huh?! The Stand?\Y-You saw it?\I didn't see it, but it must be there.\Slowly walk outside through the door.\It must be? Hang on.\How can you know it must be there if you can't see it?\If he were the kind of guy to leave right after getting rid of the shop owner, response:	then he never could've kept getting away with killing for fifteen years.
context: Huh?! The Stand?\Y-You saw it?\I didn't see it, but it must be there.\Slowly walk outside through the door.\It must be? Hang on.\How can you know it must be there if you can't see it?\If he were the kind of guy to leave right after getting rid of the shop owner,\then he never could've kept getting away with killing for fifteen years. response:	He's someone who gets rid of all evidence.
context: Y-You saw it?\I didn't see it, but it must be there.\Slowly walk outside through the door.\It must be? Hang on.\How can you know it must be there if you can't see it?\If he were the kind of guy to leave right after getting rid of the shop owner,\then he never could've kept getting away with killing for fifteen years.\He's someone who gets rid of all evidence. response:	Which means he plans to get rid of us.
context: I didn't see it, but it must be there.\Slowly walk outside through the door.\It must be? Hang on.\How can you know it must be there if you can't see it?\If he were the kind of guy to leave right after getting rid of the shop owner,\then he never could've kept getting away with killing for fifteen years.\He's someone who gets rid of all evidence.\Which means he plans to get rid of us. response:	Hold on a sec... Aren't you being too cautious?
context: Slowly walk outside through the door.\It must be? Hang on.\How can you know it must be there if you can't see it?\If he were the kind of guy to leave right after getting rid of the shop owner,\then he never could've kept getting away with killing for fifteen years.\He's someone who gets rid of all evidence.\Which means he plans to get rid of us.\Hold on a sec... Aren't you being too cautious? response:	If the Stand isn't here,
context: It must be? Hang on.\How can you know it must be there if you can't see it?\If he were the kind of guy to leave right after getting rid of the shop owner,\then he never could've kept getting away with killing for fifteen years.\He's someone who gets rid of all evidence.\Which means he plans to get rid of us.\Hold on a sec... Aren't you being too cautious?\If the Stand isn't here, response:	the murderer must be far away with that jacket by now.
context: How can you know it must be there if you can't see it?\If he were the kind of guy to leave right after getting rid of the shop owner,\then he never could've kept getting away with killing for fifteen years.\He's someone who gets rid of all evidence.\Which means he plans to get rid of us.\Hold on a sec... Aren't you being too cautious?\If the Stand isn't here,\the murderer must be far away with that jacket by now. response:	Listen up, Koichi.
context: If he were the kind of guy to leave right after getting rid of the shop owner,\then he never could've kept getting away with killing for fifteen years.\He's someone who gets rid of all evidence.\Which means he plans to get rid of us.\Hold on a sec... Aren't you being too cautious?\If the Stand isn't here,\the murderer must be far away with that jacket by now.\Listen up, Koichi. response:	Observing doesn't simply mean to look. It means to look carefully.
context: then he never could've kept getting away with killing for fifteen years.\He's someone who gets rid of all evidence.\Which means he plans to get rid of us.\Hold on a sec... Aren't you being too cautious?\If the Stand isn't here,\the murderer must be far away with that jacket by now.\Listen up, Koichi.\Observing doesn't simply mean to look. It means to look carefully. response:	Look
context: He's someone who gets rid of all evidence.\Which means he plans to get rid of us.\Hold on a sec... Aren't you being too cautious?\If the Stand isn't here,\the murderer must be far away with that jacket by now.\Listen up, Koichi.\Observing doesn't simply mean to look. It means to look carefully.\Look response:	Look Carefully
context: Which means he plans to get rid of us.\Hold on a sec... Aren't you being too cautious?\If the Stand isn't here,\the murderer must be far away with that jacket by now.\Listen up, Koichi.\Observing doesn't simply mean to look. It means to look carefully.\Look\Look Carefully response:	It doesn't mean to just listen, but to listen well.
context: Hold on a sec... Aren't you being too cautious?\If the Stand isn't here,\the murderer must be far away with that jacket by now.\Listen up, Koichi.\Observing doesn't simply mean to look. It means to look carefully.\Look\Look Carefully\It doesn't mean to just listen, but to listen well. response:	Listen
context: If the Stand isn't here,\the murderer must be far away with that jacket by now.\Listen up, Koichi.\Observing doesn't simply mean to look. It means to look carefully.\Look\Look Carefully\It doesn't mean to just listen, but to listen well.\Listen response:	Listen Well
context: the murderer must be far away with that jacket by now.\Listen up, Koichi.\Observing doesn't simply mean to look. It means to look carefully.\Look\Look Carefully\It doesn't mean to just listen, but to listen well.\Listen\Listen Well response:	Otherwise,
context: Listen up, Koichi.\Observing doesn't simply mean to look. It means to look carefully.\Look\Look Carefully\It doesn't mean to just listen, but to listen well.\Listen\Listen Well\Otherwise, response:	we're going to die.
context: Observing doesn't simply mean to look. It means to look carefully.\Look\Look Carefully\It doesn't mean to just listen, but to listen well.\Listen\Listen Well\Otherwise,\we're going to die. response:	H-He's sounding high-and-mighty, but my Reverb isn't useless.
context: Look\Look Carefully\It doesn't mean to just listen, but to listen well.\Listen\Listen Well\Otherwise,\we're going to die.\H-He's sounding high-and-mighty, but my Reverb isn't useless. response:	It's matured a lot, so isn't Jotaro underestimating me a bit?
context: Look Carefully\It doesn't mean to just listen, but to listen well.\Listen\Listen Well\Otherwise,\we're going to die.\H-He's sounding high-and-mighty, but my Reverb isn't useless.\It's matured a lot, so isn't Jotaro underestimating me a bit? response:	I wonder if the bomb Stand is really still around.
context: It doesn't mean to just listen, but to listen well.\Listen\Listen Well\Otherwise,\we're going to die.\H-He's sounding high-and-mighty, but my Reverb isn't useless.\It's matured a lot, so isn't Jotaro underestimating me a bit?\I wonder if the bomb Stand is really still around. response:	If it's not, we're gonna look really stupid!
context: Listen\Listen Well\Otherwise,\we're going to die.\H-He's sounding high-and-mighty, but my Reverb isn't useless.\It's matured a lot, so isn't Jotaro underestimating me a bit?\I wonder if the bomb Stand is really still around.\If it's not, we're gonna look really stupid! response:	Look over here.
context: Listen Well\Otherwise,\we're going to die.\H-He's sounding high-and-mighty, but my Reverb isn't useless.\It's matured a lot, so isn't Jotaro underestimating me a bit?\I wonder if the bomb Stand is really still around.\If it's not, we're gonna look really stupid!\Look over here. response:	I-It's really here!
context: Otherwise,\we're going to die.\H-He's sounding high-and-mighty, but my Reverb isn't useless.\It's matured a lot, so isn't Jotaro underestimating me a bit?\I wonder if the bomb Stand is really still around.\If it's not, we're gonna look really stupid!\Look over here.\I-It's really here! response:	I-If I keep touching it, it'll explode!
context: we're going to die.\H-He's sounding high-and-mighty, but my Reverb isn't useless.\It's matured a lot, so isn't Jotaro underestimating me a bit?\I wonder if the bomb Stand is really still around.\If it's not, we're gonna look really stupid!\Look over here.\I-It's really here!\I-If I keep touching it, it'll explode! response:	Star Platinum!
context: H-He's sounding high-and-mighty, but my Reverb isn't useless.\It's matured a lot, so isn't Jotaro underestimating me a bit?\I wonder if the bomb Stand is really still around.\If it's not, we're gonna look really stupid!\Look over here.\I-It's really here!\I-If I keep touching it, it'll explode!\Star Platinum! response:	After all those hits I landed... This thing's pretty hard.
context: It's matured a lot, so isn't Jotaro underestimating me a bit?\I wonder if the bomb Stand is really still around.\If it's not, we're gonna look really stupid!\Look over here.\I-It's really here!\I-If I keep touching it, it'll explode!\Star Platinum!\After all those hits I landed... This thing's pretty hard. response:	It's going to explode!
context: I wonder if the bomb Stand is really still around.\If it's not, we're gonna look really stupid!\Look over here.\I-It's really here!\I-If I keep touching it, it'll explode!\Star Platinum!\After all those hits I landed... This thing's pretty hard.\It's going to explode! response:	Star Platinum! The World!
context: If it's not, we're gonna look really stupid!\Look over here.\I-It's really here!\I-If I keep touching it, it'll explode!\Star Platinum!\After all those hits I landed... This thing's pretty hard.\It's going to explode!\Star Platinum! The World! response:	I hate doing anything that's tiring, so I'm going to destroy you now.
context: Look over here.\I-It's really here!\I-If I keep touching it, it'll explode!\Star Platinum!\After all those hits I landed... This thing's pretty hard.\It's going to explode!\Star Platinum! The World!\I hate doing anything that's tiring, so I'm going to destroy you now. response:	Y-Yes! You must have stopped time.
context: I-It's really here!\I-If I keep touching it, it'll explode!\Star Platinum!\After all those hits I landed... This thing's pretty hard.\It's going to explode!\Star Platinum! The World!\I hate doing anything that's tiring, so I'm going to destroy you now.\Y-Yes! You must have stopped time. response:	Now no matter how much we touch it, it won't explode!
context: I-If I keep touching it, it'll explode!\Star Platinum!\After all those hits I landed... This thing's pretty hard.\It's going to explode!\Star Platinum! The World!\I hate doing anything that's tiring, so I'm going to destroy you now.\Y-Yes! You must have stopped time.\Now no matter how much we touch it, it won't explode! response:	I will make sure the people searching for me
context: Star Platinum!\After all those hits I landed... This thing's pretty hard.\It's going to explode!\Star Platinum! The World!\I hate doing anything that's tiring, so I'm going to destroy you now.\Y-Yes! You must have stopped time.\Now no matter how much we touch it, it won't explode!\I will make sure the people searching for me response:	die in an explosion.
context: After all those hits I landed... This thing's pretty hard.\It's going to explode!\Star Platinum! The World!\I hate doing anything that's tiring, so I'm going to destroy you now.\Y-Yes! You must have stopped time.\Now no matter how much we touch it, it won't explode!\I will make sure the people searching for me\die in an explosion. response:	My Deadly Queen's Heart Attack always gets its prey, no matter what.
context: It's going to explode!\Star Platinum! The World!\I hate doing anything that's tiring, so I'm going to destroy you now.\Y-Yes! You must have stopped time.\Now no matter how much we touch it, it won't explode!\I will make sure the people searching for me\die in an explosion.\My Deadly Queen's Heart Attack always gets its prey, no matter what. response:	I-Impossible! It wasn't destroyed by Star Platinum's power!
context: Star Platinum! The World!\I hate doing anything that's tiring, so I'm going to destroy you now.\Y-Yes! You must have stopped time.\Now no matter how much we touch it, it won't explode!\I will make sure the people searching for me\die in an explosion.\My Deadly Queen's Heart Attack always gets its prey, no matter what.\I-Impossible! It wasn't destroyed by Star Platinum's power! response:	A-A Stand that's this hard... Impossible!
context: I hate doing anything that's tiring, so I'm going to destroy you now.\Y-Yes! You must have stopped time.\Now no matter how much we touch it, it won't explode!\I will make sure the people searching for me\die in an explosion.\My Deadly Queen's Heart Attack always gets its prey, no matter what.\I-Impossible! It wasn't destroyed by Star Platinum's power!\A-A Stand that's this hard... Impossible! response:	Stay back, Koichi.
context: Y-Yes! You must have stopped time.\Now no matter how much we touch it, it won't explode!\I will make sure the people searching for me\die in an explosion.\My Deadly Queen's Heart Attack always gets its prey, no matter what.\I-Impossible! It wasn't destroyed by Star Platinum's power!\A-A Stand that's this hard... Impossible!\Stay back, Koichi. response:	It's still perfectly fine! It hasn't slowed down at all!
context: Now no matter how much we touch it, it won't explode!\I will make sure the people searching for me\die in an explosion.\My Deadly Queen's Heart Attack always gets its prey, no matter what.\I-Impossible! It wasn't destroyed by Star Platinum's power!\A-A Stand that's this hard... Impossible!\Stay back, Koichi.\It's still perfectly fine! It hasn't slowed down at all! response:	Get back, Koichi!
context: I will make sure the people searching for me\die in an explosion.\My Deadly Queen's Heart Attack always gets its prey, no matter what.\I-Impossible! It wasn't destroyed by Star Platinum's power!\A-A Stand that's this hard... Impossible!\Stay back, Koichi.\It's still perfectly fine! It hasn't slowed down at all!\Get back, Koichi! response:	Y-You've hit it so much that you're hurt,
context: die in an explosion.\My Deadly Queen's Heart Attack always gets its prey, no matter what.\I-Impossible! It wasn't destroyed by Star Platinum's power!\A-A Stand that's this hard... Impossible!\Stay back, Koichi.\It's still perfectly fine! It hasn't slowed down at all!\Get back, Koichi!\Y-You've hit it so much that you're hurt, response:	but it hasn't sustained any damage!
context: My Deadly Queen's Heart Attack always gets its prey, no matter what.\I-Impossible! It wasn't destroyed by Star Platinum's power!\A-A Stand that's this hard... Impossible!\Stay back, Koichi.\It's still perfectly fine! It hasn't slowed down at all!\Get back, Koichi!\Y-You've hit it so much that you're hurt,\but it hasn't sustained any damage! response:	Get further back, Koichi!
context: I-Impossible! It wasn't destroyed by Star Platinum's power!\A-A Stand that's this hard... Impossible!\Stay back, Koichi.\It's still perfectly fine! It hasn't slowed down at all!\Get back, Koichi!\Y-You've hit it so much that you're hurt,\but it hasn't sustained any damage!\Get further back, Koichi! response:	Ow, ow, ow, ow, ow.
context: A-A Stand that's this hard... Impossible!\Stay back, Koichi.\It's still perfectly fine! It hasn't slowed down at all!\Get back, Koichi!\Y-You've hit it so much that you're hurt,\but it hasn't sustained any damage!\Get further back, Koichi!\Ow, ow, ow, ow, ow. response:	What are you doing?!
context: Stay back, Koichi.\It's still perfectly fine! It hasn't slowed down at all!\Get back, Koichi!\Y-You've hit it so much that you're hurt,\but it hasn't sustained any damage!\Get further back, Koichi!\Ow, ow, ow, ow, ow.\What are you doing?! response:	It'll explode if you're touching it! Let it go, quickly!
context: It's still perfectly fine! It hasn't slowed down at all!\Get back, Koichi!\Y-You've hit it so much that you're hurt,\but it hasn't sustained any damage!\Get further back, Koichi!\Ow, ow, ow, ow, ow.\What are you doing?!\It'll explode if you're touching it! Let it go, quickly! response:	Look over here.
context: Get back, Koichi!\Y-You've hit it so much that you're hurt,\but it hasn't sustained any damage!\Get further back, Koichi!\Ow, ow, ow, ow, ow.\What are you doing?!\It'll explode if you're touching it! Let it go, quickly!\Look over here. response:	Good grief. I've never met such a sturdy Stand.
context: Y-You've hit it so much that you're hurt,\but it hasn't sustained any damage!\Get further back, Koichi!\Ow, ow, ow, ow, ow.\What are you doing?!\It'll explode if you're touching it! Let it go, quickly!\Look over here.\Good grief. I've never met such a sturdy Stand. response:	I think my confidence is going to break first.
context: but it hasn't sustained any damage!\Get further back, Koichi!\Ow, ow, ow, ow, ow.\What are you doing?!\It'll explode if you're touching it! Let it go, quickly!\Look over here.\Good grief. I've never met such a sturdy Stand.\I think my confidence is going to break first. response:	J-Jotaro, at this rate, it's going to blow us up!
context: Get further back, Koichi!\Ow, ow, ow, ow, ow.\What are you doing?!\It'll explode if you're touching it! Let it go, quickly!\Look over here.\Good grief. I've never met such a sturdy Stand.\I think my confidence is going to break first.\J-Jotaro, at this rate, it's going to blow us up! response:	You need to get further away.
context: Ow, ow, ow, ow, ow.\What are you doing?!\It'll explode if you're touching it! Let it go, quickly!\Look over here.\Good grief. I've never met such a sturdy Stand.\I think my confidence is going to break first.\J-Jotaro, at this rate, it's going to blow us up!\You need to get further away. response:	This time, I'm going to take it apart for sure.
context: What are you doing?!\It'll explode if you're touching it! Let it go, quickly!\Look over here.\Good grief. I've never met such a sturdy Stand.\I think my confidence is going to break first.\J-Jotaro, at this rate, it's going to blow us up!\You need to get further away.\This time, I'm going to take it apart for sure. response:	I-I'd like to say something.
context: It'll explode if you're touching it! Let it go, quickly!\Look over here.\Good grief. I've never met such a sturdy Stand.\I think my confidence is going to break first.\J-Jotaro, at this rate, it's going to blow us up!\You need to get further away.\This time, I'm going to take it apart for sure.\I-I'd like to say something. response:	A Stand controlled from far away
context: Look over here.\Good grief. I've never met such a sturdy Stand.\I think my confidence is going to break first.\J-Jotaro, at this rate, it's going to blow us up!\You need to get further away.\This time, I'm going to take it apart for sure.\I-I'd like to say something.\A Stand controlled from far away response:	doesn't move with that much power.
context: Good grief. I've never met such a sturdy Stand.\I think my confidence is going to break first.\J-Jotaro, at this rate, it's going to blow us up!\You need to get further away.\This time, I'm going to take it apart for sure.\I-I'd like to say something.\A Stand controlled from far away\doesn't move with that much power. response:	But that thing's power and explosive attacks...
context: I think my confidence is going to break first.\J-Jotaro, at this rate, it's going to blow us up!\You need to get further away.\This time, I'm going to take it apart for sure.\I-I'd like to say something.\A Stand controlled from far away\doesn't move with that much power.\But that thing's power and explosive attacks... response:	The power behind those explosions wouldn't be possible if the user wasn't nearby.
context: J-Jotaro, at this rate, it's going to blow us up!\You need to get further away.\This time, I'm going to take it apart for sure.\I-I'd like to say something.\A Stand controlled from far away\doesn't move with that much power.\But that thing's power and explosive attacks...\The power behind those explosions wouldn't be possible if the user wasn't nearby. response:	The user should be within fifteen... no, ten meters of here!
context: You need to get further away.\This time, I'm going to take it apart for sure.\I-I'd like to say something.\A Stand controlled from far away\doesn't move with that much power.\But that thing's power and explosive attacks...\The power behind those explosions wouldn't be possible if the user wasn't nearby.\The user should be within fifteen... no, ten meters of here! response:	And?
