context: 3 years ago response:	3 years ago
context: I can't be so brash\I can't be so brash\I'm going to crash\I'm going to crash\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you response:	If this moment was for me
context: I can't be so brash\I'm going to crash\I'm going to crash\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me response:	If this moment was for me
context: I'm going to crash\I'm going to crash\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me response:	I try to hear, lend my ear
context: I'm going to crash\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear response:	I try to hear, lend my ear
context: 'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear response:	Voices inside willing to join it all
context: 'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all response:	Voices inside willing to join it all
context: I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all response:	Again
context: I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\Again response:	Again
context: If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\Again\Again response:	'Cause I feel
context: If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\Again\Again\'Cause I feel response:	'Cause I feel
context: I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\Again\Again\'Cause I feel\'Cause I feel response:	I can't always show my everything to you
context: I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\Again\Again\'Cause I feel\'Cause I feel\I can't always show my everything to you response:	I can't always show my everything to you
context: Voices inside willing to join it all\Voices inside willing to join it all\Again\Again\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you response:	If this moment was for me
context: Voices inside willing to join it all\Again\Again\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me response:	If this moment was for me
context: Again\Again\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me response:	I try to hear, lend my ear
context: Again\'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear response:	I try to hear, lend my ear
context: 'Cause I feel\'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear response:	Voices inside willing to join it all
context: 'Cause I feel\I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all response:	Voices inside willing to join it all
context: I can't always show my everything to you\I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all response:	So it goes
context: I can't always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\So it goes response:	So it goes
context: If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\So it goes\So it goes response:	Again
context: If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\So it goes\So it goes\Again response:	Again
context: I try to hear, lend my ear\I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\So it goes\So it goes\Again\Again response:	The Occupation Aptitude Test guarantees you a stable life
context: I try to hear, lend my ear\Voices inside willing to join it all\Voices inside willing to join it all\So it goes\So it goes\Again\Again\The Occupation Aptitude Test guarantees you a stable life response:	in which your talents are used to their fullest,
context: Voices inside willing to join it all\Voices inside willing to join it all\So it goes\So it goes\Again\Again\The Occupation Aptitude Test guarantees you a stable life\in which your talents are used to their fullest, response:	leading to a more civilized life for humanity.
context: Voices inside willing to join it all\So it goes\So it goes\Again\Again\The Occupation Aptitude Test guarantees you a stable life\in which your talents are used to their fullest,\leading to a more civilized life for humanity. response:	The OAT has created a world where anyone can enjoy art, nature and peace.
context: So it goes\So it goes\Again\Again\The Occupation Aptitude Test guarantees you a stable life\in which your talents are used to their fullest,\leading to a more civilized life for humanity.\The OAT has created a world where anyone can enjoy art, nature and peace. response:	Loaning Service... Loaning Service...
context: So it goes\Again\Again\The Occupation Aptitude Test guarantees you a stable life\in which your talents are used to their fullest,\leading to a more civilized life for humanity.\The OAT has created a world where anyone can enjoy art, nature and peace.\Loaning Service... Loaning Service... response:	Excuse me.
context: Again\Again\The Occupation Aptitude Test guarantees you a stable life\in which your talents are used to their fullest,\leading to a more civilized life for humanity.\The OAT has created a world where anyone can enjoy art, nature and peace.\Loaning Service... Loaning Service...\Excuse me. response:	You are Ms. Kunizuka, right?
context: Again\The Occupation Aptitude Test guarantees you a stable life\in which your talents are used to their fullest,\leading to a more civilized life for humanity.\The OAT has created a world where anyone can enjoy art, nature and peace.\Loaning Service... Loaning Service...\Excuse me.\You are Ms. Kunizuka, right? response:	The items you requested to borrow and purchase have arrived.
context: The Occupation Aptitude Test guarantees you a stable life\in which your talents are used to their fullest,\leading to a more civilized life for humanity.\The OAT has created a world where anyone can enjoy art, nature and peace.\Loaning Service... Loaning Service...\Excuse me.\You are Ms. Kunizuka, right?\The items you requested to borrow and purchase have arrived. response:	Please check the list.
context: in which your talents are used to their fullest,\leading to a more civilized life for humanity.\The OAT has created a world where anyone can enjoy art, nature and peace.\Loaning Service... Loaning Service...\Excuse me.\You are Ms. Kunizuka, right?\The items you requested to borrow and purchase have arrived.\Please check the list. response:	Excuse me...
context: leading to a more civilized life for humanity.\The OAT has created a world where anyone can enjoy art, nature and peace.\Loaning Service... Loaning Service...\Excuse me.\You are Ms. Kunizuka, right?\The items you requested to borrow and purchase have arrived.\Please check the list.\Excuse me... response:	Yes?
context: The OAT has created a world where anyone can enjoy art, nature and peace.\Loaning Service... Loaning Service...\Excuse me.\You are Ms. Kunizuka, right?\The items you requested to borrow and purchase have arrived.\Please check the list.\Excuse me...\Yes? response:	I don't see the Ernie Ball strings I requested to purchase in here.
context: Loaning Service... Loaning Service...\Excuse me.\You are Ms. Kunizuka, right?\The items you requested to borrow and purchase have arrived.\Please check the list.\Excuse me...\Yes?\I don't see the Ernie Ball strings I requested to purchase in here. response:	The purchase was not approved.
context: Excuse me.\You are Ms. Kunizuka, right?\The items you requested to borrow and purchase have arrived.\Please check the list.\Excuse me...\Yes?\I don't see the Ernie Ball strings I requested to purchase in here.\The purchase was not approved. response:	Why not?! I've requested them several times already!
context: You are Ms. Kunizuka, right?\The items you requested to borrow and purchase have arrived.\Please check the list.\Excuse me...\Yes?\I don't see the Ernie Ball strings I requested to purchase in here.\The purchase was not approved.\Why not?! I've requested them several times already! response:	Please submit another request to purchase them.
context: The items you requested to borrow and purchase have arrived.\Please check the list.\Excuse me...\Yes?\I don't see the Ernie Ball strings I requested to purchase in here.\The purchase was not approved.\Why not?! I've requested them several times already!\Please submit another request to purchase them. response:	Hey! I haven't played the guitar for over six months now!
context: Please check the list.\Excuse me...\Yes?\I don't see the Ernie Ball strings I requested to purchase in here.\The purchase was not approved.\Why not?! I've requested them several times already!\Please submit another request to purchase them.\Hey! I haven't played the guitar for over six months now! response:	Look how soft my fingertips have gotten!
context: Excuse me...\Yes?\I don't see the Ernie Ball strings I requested to purchase in here.\The purchase was not approved.\Why not?! I've requested them several times already!\Please submit another request to purchase them.\Hey! I haven't played the guitar for over six months now!\Look how soft my fingertips have gotten! response:	I can't play like this!
context: Yes?\I don't see the Ernie Ball strings I requested to purchase in here.\The purchase was not approved.\Why not?! I've requested them several times already!\Please submit another request to purchase them.\Hey! I haven't played the guitar for over six months now!\Look how soft my fingertips have gotten!\I can't play like this! response:	Your Hue has changed.
context: I don't see the Ernie Ball strings I requested to purchase in here.\The purchase was not approved.\Why not?! I've requested them several times already!\Please submit another request to purchase them.\Hey! I haven't played the guitar for over six months now!\Look how soft my fingertips have gotten!\I can't play like this!\Your Hue has changed. response:	It is now dark yellow.
context: The purchase was not approved.\Why not?! I've requested them several times already!\Please submit another request to purchase them.\Hey! I haven't played the guitar for over six months now!\Look how soft my fingertips have gotten!\I can't play like this!\Your Hue has changed.\It is now dark yellow. response:	Don't worry. Please calm down.
context: Why not?! I've requested them several times already!\Please submit another request to purchase them.\Hey! I haven't played the guitar for over six months now!\Look how soft my fingertips have gotten!\I can't play like this!\Your Hue has changed.\It is now dark yellow.\Don't worry. Please calm down. response:	Your Hue has been stable recently.
context: Please submit another request to purchase them.\Hey! I haven't played the guitar for over six months now!\Look how soft my fingertips have gotten!\I can't play like this!\Your Hue has changed.\It is now dark yellow.\Don't worry. Please calm down.\Your Hue has been stable recently. response:	You'll be able to leave here soon.
context: Hey! I haven't played the guitar for over six months now!\Look how soft my fingertips have gotten!\I can't play like this!\Your Hue has changed.\It is now dark yellow.\Don't worry. Please calm down.\Your Hue has been stable recently.\You'll be able to leave here soon. response:	When you do, you can play music or do whatever else you want.
context: Look how soft my fingertips have gotten!\I can't play like this!\Your Hue has changed.\It is now dark yellow.\Don't worry. Please calm down.\Your Hue has been stable recently.\You'll be able to leave here soon.\When you do, you can play music or do whatever else you want. response:	This is a crucial time for you, so please be patient.
context: I can't play like this!\Your Hue has changed.\It is now dark yellow.\Don't worry. Please calm down.\Your Hue has been stable recently.\You'll be able to leave here soon.\When you do, you can play music or do whatever else you want.\This is a crucial time for you, so please be patient. response:	I'll leave the supplement here.
context: Your Hue has changed.\It is now dark yellow.\Don't worry. Please calm down.\Your Hue has been stable recently.\You'll be able to leave here soon.\When you do, you can play music or do whatever else you want.\This is a crucial time for you, so please be patient.\I'll leave the supplement here. response:	Loaning Service...
context: It is now dark yellow.\Don't worry. Please calm down.\Your Hue has been stable recently.\You'll be able to leave here soon.\When you do, you can play music or do whatever else you want.\This is a crucial time for you, so please be patient.\I'll leave the supplement here.\Loaning Service... response:	You're just wasting your time, visiting me over and over again.
context: Don't worry. Please calm down.\Your Hue has been stable recently.\You'll be able to leave here soon.\When you do, you can play music or do whatever else you want.\This is a crucial time for you, so please be patient.\I'll leave the supplement here.\Loaning Service...\You're just wasting your time, visiting me over and over again. response:	Sorry, but we came regarding a different matter today.
context: Your Hue has been stable recently.\You'll be able to leave here soon.\When you do, you can play music or do whatever else you want.\This is a crucial time for you, so please be patient.\I'll leave the supplement here.\Loaning Service...\You're just wasting your time, visiting me over and over again.\Sorry, but we came regarding a different matter today. response:	What?
context: You'll be able to leave here soon.\When you do, you can play music or do whatever else you want.\This is a crucial time for you, so please be patient.\I'll leave the supplement here.\Loaning Service...\You're just wasting your time, visiting me over and over again.\Sorry, but we came regarding a different matter today.\What? response:	We've had a number of street scanners damaged over the past few months.
context: When you do, you can play music or do whatever else you want.\This is a crucial time for you, so please be patient.\I'll leave the supplement here.\Loaning Service...\You're just wasting your time, visiting me over and over again.\Sorry, but we came regarding a different matter today.\What?\We've had a number of street scanners damaged over the past few months. response:	The means of vandalism weren't consistent and the incidents each had different culprits.
context: This is a crucial time for you, so please be patient.\I'll leave the supplement here.\Loaning Service...\You're just wasting your time, visiting me over and over again.\Sorry, but we came regarding a different matter today.\What?\We've had a number of street scanners damaged over the past few months.\The means of vandalism weren't consistent and the incidents each had different culprits. response:	At first, we thought that these incidents were not connected,
context: I'll leave the supplement here.\Loaning Service...\You're just wasting your time, visiting me over and over again.\Sorry, but we came regarding a different matter today.\What?\We've had a number of street scanners damaged over the past few months.\The means of vandalism weren't consistent and the incidents each had different culprits.\At first, we thought that these incidents were not connected, response:	but when we tracked and plotted out the culprits' movements,
context: Loaning Service...\You're just wasting your time, visiting me over and over again.\Sorry, but we came regarding a different matter today.\What?\We've had a number of street scanners damaged over the past few months.\The means of vandalism weren't consistent and the incidents each had different culprits.\At first, we thought that these incidents were not connected,\but when we tracked and plotted out the culprits' movements, response:	we found that they all hang out in Kitazawa, in Setagaya Ward.
context: You're just wasting your time, visiting me over and over again.\Sorry, but we came regarding a different matter today.\What?\We've had a number of street scanners damaged over the past few months.\The means of vandalism weren't consistent and the incidents each had different culprits.\At first, we thought that these incidents were not connected,\but when we tracked and plotted out the culprits' movements,\we found that they all hang out in Kitazawa, in Setagaya Ward. response:	We think that some sort of antisocial community has formed there.
context: Sorry, but we came regarding a different matter today.\What?\We've had a number of street scanners damaged over the past few months.\The means of vandalism weren't consistent and the incidents each had different culprits.\At first, we thought that these incidents were not connected,\but when we tracked and plotted out the culprits' movements,\we found that they all hang out in Kitazawa, in Setagaya Ward.\We think that some sort of antisocial community has formed there. response:	We want to take it out.
context: What?\We've had a number of street scanners damaged over the past few months.\The means of vandalism weren't consistent and the incidents each had different culprits.\At first, we thought that these incidents were not connected,\but when we tracked and plotted out the culprits' movements,\we found that they all hang out in Kitazawa, in Setagaya Ward.\We think that some sort of antisocial community has formed there.\We want to take it out. response:	So?
context: We've had a number of street scanners damaged over the past few months.\The means of vandalism weren't consistent and the incidents each had different culprits.\At first, we thought that these incidents were not connected,\but when we tracked and plotted out the culprits' movements,\we found that they all hang out in Kitazawa, in Setagaya Ward.\We think that some sort of antisocial community has formed there.\We want to take it out.\So? response:	We'd like you to help us.
context: The means of vandalism weren't consistent and the incidents each had different culprits.\At first, we thought that these incidents were not connected,\but when we tracked and plotted out the culprits' movements,\we found that they all hang out in Kitazawa, in Setagaya Ward.\We think that some sort of antisocial community has formed there.\We want to take it out.\So?\We'd like you to help us. response:	You used to be a musician based in the Kitazawa area, right,
context: At first, we thought that these incidents were not connected,\but when we tracked and plotted out the culprits' movements,\we found that they all hang out in Kitazawa, in Setagaya Ward.\We think that some sort of antisocial community has formed there.\We want to take it out.\So?\We'd like you to help us.\You used to be a musician based in the Kitazawa area, right, response:	Ms. Kunizuka Yayoi of Amalgam?
context: but when we tracked and plotted out the culprits' movements,\we found that they all hang out in Kitazawa, in Setagaya Ward.\We think that some sort of antisocial community has formed there.\We want to take it out.\So?\We'd like you to help us.\You used to be a musician based in the Kitazawa area, right,\Ms. Kunizuka Yayoi of Amalgam? response:	You must know every inch of Kitazawa.
context: we found that they all hang out in Kitazawa, in Setagaya Ward.\We think that some sort of antisocial community has formed there.\We want to take it out.\So?\We'd like you to help us.\You used to be a musician based in the Kitazawa area, right,\Ms. Kunizuka Yayoi of Amalgam?\You must know every inch of Kitazawa. response:	What is it?
context: We think that some sort of antisocial community has formed there.\We want to take it out.\So?\We'd like you to help us.\You used to be a musician based in the Kitazawa area, right,\Ms. Kunizuka Yayoi of Amalgam?\You must know every inch of Kitazawa.\What is it? response:	Yeah, got it.
context: We want to take it out.\So?\We'd like you to help us.\You used to be a musician based in the Kitazawa area, right,\Ms. Kunizuka Yayoi of Amalgam?\You must know every inch of Kitazawa.\What is it?\Yeah, got it. response:	What is it?
context: So?\We'd like you to help us.\You used to be a musician based in the Kitazawa area, right,\Ms. Kunizuka Yayoi of Amalgam?\You must know every inch of Kitazawa.\What is it?\Yeah, got it.\What is it? response:	That was Sasayama.
context: We'd like you to help us.\You used to be a musician based in the Kitazawa area, right,\Ms. Kunizuka Yayoi of Amalgam?\You must know every inch of Kitazawa.\What is it?\Yeah, got it.\What is it?\That was Sasayama. response:	He said he's tired of waiting.
context: You used to be a musician based in the Kitazawa area, right,\Ms. Kunizuka Yayoi of Amalgam?\You must know every inch of Kitazawa.\What is it?\Yeah, got it.\What is it?\That was Sasayama.\He said he's tired of waiting. response:	Oh? Where's Kougami?
context: Ms. Kunizuka Yayoi of Amalgam?\You must know every inch of Kitazawa.\What is it?\Yeah, got it.\What is it?\That was Sasayama.\He said he's tired of waiting.\Oh? Where's Kougami? response:	He's working, you moron.
context: You must know every inch of Kitazawa.\What is it?\Yeah, got it.\What is it?\That was Sasayama.\He said he's tired of waiting.\Oh? Where's Kougami?\He's working, you moron. response:	Hey, no smoking in the car.
context: What is it?\Yeah, got it.\What is it?\That was Sasayama.\He said he's tired of waiting.\Oh? Where's Kougami?\He's working, you moron.\Hey, no smoking in the car. response:	Okay, okay.
context: Yeah, got it.\What is it?\That was Sasayama.\He said he's tired of waiting.\Oh? Where's Kougami?\He's working, you moron.\Hey, no smoking in the car.\Okay, okay. response:	You don't have to work, Mr. Gino?
context: What is it?\That was Sasayama.\He said he's tired of waiting.\Oh? Where's Kougami?\He's working, you moron.\Hey, no smoking in the car.\Okay, okay.\You don't have to work, Mr. Gino? response:	My work is done for the day.
context: That was Sasayama.\He said he's tired of waiting.\Oh? Where's Kougami?\He's working, you moron.\Hey, no smoking in the car.\Okay, okay.\You don't have to work, Mr. Gino?\My work is done for the day. response:	So the candidate this time is a former Sibyl-authorized artist?
context: He said he's tired of waiting.\Oh? Where's Kougami?\He's working, you moron.\Hey, no smoking in the car.\Okay, okay.\You don't have to work, Mr. Gino?\My work is done for the day.\So the candidate this time is a former Sibyl-authorized artist? response:	Yeah.
context: Oh? Where's Kougami?\He's working, you moron.\Hey, no smoking in the car.\Okay, okay.\You don't have to work, Mr. Gino?\My work is done for the day.\So the candidate this time is a former Sibyl-authorized artist?\Yeah. response:	How in the heck did someone who was once an authorized artist end up becoming a latent criminal?
context: He's working, you moron.\Hey, no smoking in the car.\Okay, okay.\You don't have to work, Mr. Gino?\My work is done for the day.\So the candidate this time is a former Sibyl-authorized artist?\Yeah.\How in the heck did someone who was once an authorized artist end up becoming a latent criminal? response:	Beats me.
context: Hey, no smoking in the car.\Okay, okay.\You don't have to work, Mr. Gino?\My work is done for the day.\So the candidate this time is a former Sibyl-authorized artist?\Yeah.\How in the heck did someone who was once an authorized artist end up becoming a latent criminal?\Beats me. response:	But I hear that there are many cases where people's Hues become clouded
context: Okay, okay.\You don't have to work, Mr. Gino?\My work is done for the day.\So the candidate this time is a former Sibyl-authorized artist?\Yeah.\How in the heck did someone who was once an authorized artist end up becoming a latent criminal?\Beats me.\But I hear that there are many cases where people's Hues become clouded response:	when they become deeply involved in their art.
context: You don't have to work, Mr. Gino?\My work is done for the day.\So the candidate this time is a former Sibyl-authorized artist?\Yeah.\How in the heck did someone who was once an authorized artist end up becoming a latent criminal?\Beats me.\But I hear that there are many cases where people's Hues become clouded\when they become deeply involved in their art. response:	I see...
context: My work is done for the day.\So the candidate this time is a former Sibyl-authorized artist?\Yeah.\How in the heck did someone who was once an authorized artist end up becoming a latent criminal?\Beats me.\But I hear that there are many cases where people's Hues become clouded\when they become deeply involved in their art.\I see... response:	It probably means that a strong passion such as art, something capable of moving people,
context: So the candidate this time is a former Sibyl-authorized artist?\Yeah.\How in the heck did someone who was once an authorized artist end up becoming a latent criminal?\Beats me.\But I hear that there are many cases where people's Hues become clouded\when they become deeply involved in their art.\I see...\It probably means that a strong passion such as art, something capable of moving people, response:	can act not only as a medicine but also as a poison.
