context: I was having a dream... response:	Please wake up, groom.
context: The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Yo, who's that?\Someone's sitting with Uesugi?\That never happens!\She isn't wearing our uniform... response:	Wait, how did this even happen?
context: The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Yo, who's that?\Someone's sitting with Uesugi?\That never happens!\She isn't wearing our uniform...\Wait, how did this even happen? response:	I got here first.
context: The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Yo, who's that?\Someone's sitting with Uesugi?\That never happens!\She isn't wearing our uniform...\Wait, how did this even happen?\I got here first. response:	The next table over is available.
context: The Quintessential Quintuplets\Yo, who's that?\Someone's sitting with Uesugi?\That never happens!\She isn't wearing our uniform...\Wait, how did this even happen?\I got here first.\The next table over is available. response:	Move, please.
context: Yo, who's that?\Someone's sitting with Uesugi?\That never happens!\She isn't wearing our uniform...\Wait, how did this even happen?\I got here first.\The next table over is available.\Move, please. response:	This is where I sit every day.
context: Someone's sitting with Uesugi?\That never happens!\She isn't wearing our uniform...\Wait, how did this even happen?\I got here first.\The next table over is available.\Move, please.\This is where I sit every day. response:	You move.
context: That never happens!\She isn't wearing our uniform...\Wait, how did this even happen?\I got here first.\The next table over is available.\Move, please.\This is where I sit every day.\You move. response:	Look, Uesugi-kun's having lunch with a girl.
context: She isn't wearing our uniform...\Wait, how did this even happen?\I got here first.\The next table over is available.\Move, please.\This is where I sit every day.\You move.\Look, Uesugi-kun's having lunch with a girl. response:	For real? Yikes!
context: Wait, how did this even happen?\I got here first.\The next table over is available.\Move, please.\This is where I sit every day.\You move.\Look, Uesugi-kun's having lunch with a girl.\For real? Yikes! response:	Tch. Those stupid...
context: I got here first.\The next table over is available.\Move, please.\This is where I sit every day.\You move.\Look, Uesugi-kun's having lunch with a girl.\For real? Yikes!\Tch. Those stupid... response:	She's all red.
context: The next table over is available.\Move, please.\This is where I sit every day.\You move.\Look, Uesugi-kun's having lunch with a girl.\For real? Yikes!\Tch. Those stupid...\She's all red. response:	No one forced you, you know.
context: Move, please.\This is where I sit every day.\You move.\Look, Uesugi-kun's having lunch with a girl.\For real? Yikes!\Tch. Those stupid...\She's all red.\No one forced you, you know. response:	Udon for 250 yen.
context: This is where I sit every day.\You move.\Look, Uesugi-kun's having lunch with a girl.\For real? Yikes!\Tch. Those stupid...\She's all red.\No one forced you, you know.\Udon for 250 yen. response:	Two shrimp tempura for 150 each.
context: You move.\Look, Uesugi-kun's having lunch with a girl.\For real? Yikes!\Tch. Those stupid...\She's all red.\No one forced you, you know.\Udon for 250 yen.\Two shrimp tempura for 150 each. response:	Squid tempura for 100.
context: Look, Uesugi-kun's having lunch with a girl.\For real? Yikes!\Tch. Those stupid...\She's all red.\No one forced you, you know.\Udon for 250 yen.\Two shrimp tempura for 150 each.\Squid tempura for 100. response:	Chicken tempura.
context: For real? Yikes!\Tch. Those stupid...\She's all red.\No one forced you, you know.\Udon for 250 yen.\Two shrimp tempura for 150 each.\Squid tempura for 100.\Chicken tempura. response:	Yam tempura.
context: Tch. Those stupid...\She's all red.\No one forced you, you know.\Udon for 250 yen.\Two shrimp tempura for 150 each.\Squid tempura for 100.\Chicken tempura.\Yam tempura. response:	And a pudding dessert to top it off!
context: She's all red.\No one forced you, you know.\Udon for 250 yen.\Two shrimp tempura for 150 each.\Squid tempura for 100.\Chicken tempura.\Yam tempura.\And a pudding dessert to top it off! response:	Yen
context: No one forced you, you know.\Udon for 250 yen.\Two shrimp tempura for 150 each.\Squid tempura for 100.\Chicken tempura.\Yam tempura.\And a pudding dessert to top it off!\Yen response:	Yen
context: Udon for 250 yen.\Two shrimp tempura for 150 each.\Squid tempura for 100.\Chicken tempura.\Yam tempura.\And a pudding dessert to top it off!\Yen\Yen response:	Over 1,000 yen on lunch? What are you, filthy rich?!
context: Two shrimp tempura for 150 each.\Squid tempura for 100.\Chicken tempura.\Yam tempura.\And a pudding dessert to top it off!\Yen\Yen\Over 1,000 yen on lunch? What are you, filthy rich?! response:	Well, do as you like.
context: Squid tempura for 100.\Chicken tempura.\Yam tempura.\And a pudding dessert to top it off!\Yen\Yen\Over 1,000 yen on lunch? What are you, filthy rich?!\Well, do as you like. response:	Time to eat.
context: Chicken tempura.\Yam tempura.\And a pudding dessert to top it off!\Yen\Yen\Over 1,000 yen on lunch? What are you, filthy rich?!\Well, do as you like.\Time to eat. response:	Mind your manners.
context: Yam tempura.\And a pudding dessert to top it off!\Yen\Yen\Over 1,000 yen on lunch? What are you, filthy rich?!\Well, do as you like.\Time to eat.\Mind your manners. response:	Studying in the middle of lunch?
context: And a pudding dessert to top it off!\Yen\Yen\Over 1,000 yen on lunch? What are you, filthy rich?!\Well, do as you like.\Time to eat.\Mind your manners.\Studying in the middle of lunch? response:	I'm reviewing my exam.
context: Yen\Yen\Over 1,000 yen on lunch? What are you, filthy rich?!\Well, do as you like.\Time to eat.\Mind your manners.\Studying in the middle of lunch?\I'm reviewing my exam. response:	Leave me alone.
context: Yen\Over 1,000 yen on lunch? What are you, filthy rich?!\Well, do as you like.\Time to eat.\Mind your manners.\Studying in the middle of lunch?\I'm reviewing my exam.\Leave me alone. response:	You must be pretty screwed.
context: Over 1,000 yen on lunch? What are you, filthy rich?!\Well, do as you like.\Time to eat.\Mind your manners.\Studying in the middle of lunch?\I'm reviewing my exam.\Leave me alone.\You must be pretty screwed. response:	What did you get?
context: Well, do as you like.\Time to eat.\Mind your manners.\Studying in the middle of lunch?\I'm reviewing my exam.\Leave me alone.\You must be pretty screwed.\What did you get? response:	H-Hey!
context: Time to eat.\Mind your manners.\Studying in the middle of lunch?\I'm reviewing my exam.\Leave me alone.\You must be pretty screwed.\What did you get?\H-Hey! response:	Let's see, Uesugi Futaro-kun.
context: Mind your manners.\Studying in the middle of lunch?\I'm reviewing my exam.\Leave me alone.\You must be pretty screwed.\What did you get?\H-Hey!\Let's see, Uesugi Futaro-kun. response:	You scored...
context: Studying in the middle of lunch?\I'm reviewing my exam.\Leave me alone.\You must be pretty screwed.\What did you get?\H-Hey!\Let's see, Uesugi Futaro-kun.\You scored... response:	O-One hundred?!
context: I'm reviewing my exam.\Leave me alone.\You must be pretty screwed.\What did you get?\H-Hey!\Let's see, Uesugi Futaro-kun.\You scored...\O-One hundred?! response:	Is this real?
context: Leave me alone.\You must be pretty screwed.\What did you get?\H-Hey!\Let's see, Uesugi Futaro-kun.\You scored...\O-One hundred?!\Is this real? response:	Oh, man, that's embarrassing.
context: You must be pretty screwed.\What did you get?\H-Hey!\Let's see, Uesugi Futaro-kun.\You scored...\O-One hundred?!\Is this real?\Oh, man, that's embarrassing. response:	You showed me this on purpose!
context: What did you get?\H-Hey!\Let's see, Uesugi Futaro-kun.\You scored...\O-One hundred?!\Is this real?\Oh, man, that's embarrassing.\You showed me this on purpose! response:	I hate to admit it, but I'm not great at studies.
context: H-Hey!\Let's see, Uesugi Futaro-kun.\You scored...\O-One hundred?!\Is this real?\Oh, man, that's embarrassing.\You showed me this on purpose!\I hate to admit it, but I'm not great at studies. response:	I envy you.
context: Let's see, Uesugi Futaro-kun.\You scored...\O-One hundred?!\Is this real?\Oh, man, that's embarrassing.\You showed me this on purpose!\I hate to admit it, but I'm not great at studies.\I envy you. response:	I know!
context: You scored...\O-One hundred?!\Is this real?\Oh, man, that's embarrassing.\You showed me this on purpose!\I hate to admit it, but I'm not great at studies.\I envy you.\I know! response:	Lady Luck brought you to my table! You should help me study!
context: O-One hundred?!\Is this real?\Oh, man, that's embarrassing.\You showed me this on purpose!\I hate to admit it, but I'm not great at studies.\I envy you.\I know!\Lady Luck brought you to my table! You should help me study! response:	Thank you for the meal.
context: Is this real?\Oh, man, that's embarrassing.\You showed me this on purpose!\I hate to admit it, but I'm not great at studies.\I envy you.\I know!\Lady Luck brought you to my table! You should help me study!\Thank you for the meal. response:	You're done eating already?!
context: Oh, man, that's embarrassing.\You showed me this on purpose!\I hate to admit it, but I'm not great at studies.\I envy you.\I know!\Lady Luck brought you to my table! You should help me study!\Thank you for the meal.\You're done eating already?! response:	Are you really full?
context: You showed me this on purpose!\I hate to admit it, but I'm not great at studies.\I envy you.\I know!\Lady Luck brought you to my table! You should help me study!\Thank you for the meal.\You're done eating already?!\Are you really full? response:	Shall I share some of mine?
context: I hate to admit it, but I'm not great at studies.\I envy you.\I know!\Lady Luck brought you to my table! You should help me study!\Thank you for the meal.\You're done eating already?!\Are you really full?\Shall I share some of mine? response:	If anything, you ordered way too much.
context: I envy you.\I know!\Lady Luck brought you to my table! You should help me study!\Thank you for the meal.\You're done eating already?!\Are you really full?\Shall I share some of mine?\If anything, you ordered way too much. response:	You'll gain weight.
context: I know!\Lady Luck brought you to my table! You should help me study!\Thank you for the meal.\You're done eating already?!\Are you really full?\Shall I share some of mine?\If anything, you ordered way too much.\You'll gain weight. response:	Gain...
context: Lady Luck brought you to my table! You should help me study!\Thank you for the meal.\You're done eating already?!\Are you really full?\Shall I share some of mine?\If anything, you ordered way too much.\You'll gain weight.\Gain... response:	I've never met anyone so insensitive!
context: Thank you for the meal.\You're done eating already?!\Are you really full?\Shall I share some of mine?\If anything, you ordered way too much.\You'll gain weight.\Gain...\I've never met anyone so insensitive! response:	I'm not giving you anything!
context: You're done eating already?!\Are you really full?\Shall I share some of mine?\If anything, you ordered way too much.\You'll gain weight.\Gain...\I've never met anyone so insensitive!\I'm not giving you anything! response:	Uesugi Raiha
context: Are you really full?\Shall I share some of mine?\If anything, you ordered way too much.\You'll gain weight.\Gain...\I've never met anyone so insensitive!\I'm not giving you anything!\Uesugi Raiha response:	Are you eating alone again? Call me o
context: Shall I share some of mine?\If anything, you ordered way too much.\You'll gain weight.\Gain...\I've never met anyone so insensitive!\I'm not giving you anything!\Uesugi Raiha\Are you eating alone again? Call me o response:	We can clear our debt?
context: If anything, you ordered way too much.\You'll gain weight.\Gain...\I've never met anyone so insensitive!\I'm not giving you anything!\Uesugi Raiha\Are you eating alone again? Call me o\We can clear our debt? response:	Dad found a good part-time job.
context: You'll gain weight.\Gain...\I've never met anyone so insensitive!\I'm not giving you anything!\Uesugi Raiha\Are you eating alone again? Call me o\We can clear our debt?\Dad found a good part-time job. response:	A rich family moved in just recently,
context: Gain...\I've never met anyone so insensitive!\I'm not giving you anything!\Uesugi Raiha\Are you eating alone again? Call me o\We can clear our debt?\Dad found a good part-time job.\A rich family moved in just recently, response:	and they're looking for a tutor for their daughter.
context: I've never met anyone so insensitive!\I'm not giving you anything!\Uesugi Raiha\Are you eating alone again? Call me o\We can clear our debt?\Dad found a good part-time job.\A rich family moved in just recently,\and they're looking for a tutor for their daughter. response:	A tutor?
context: I'm not giving you anything!\Uesugi Raiha\Are you eating alone again? Call me o\We can clear our debt?\Dad found a good part-time job.\A rich family moved in just recently,\and they're looking for a tutor for their daughter.\A tutor? response:	A fun, homely workplace.
context: Uesugi Raiha\Are you eating alone again? Call me o\We can clear our debt?\Dad found a good part-time job.\A rich family moved in just recently,\and they're looking for a tutor for their daughter.\A tutor?\A fun, homely workplace. response:	And they're paying five times the market price.
context: Are you eating alone again? Call me o\We can clear our debt?\Dad found a good part-time job.\A rich family moved in just recently,\and they're looking for a tutor for their daughter.\A tutor?\A fun, homely workplace.\And they're paying five times the market price. response:	Uh, that sounds really sketchy.
context: We can clear our debt?\Dad found a good part-time job.\A rich family moved in just recently,\and they're looking for a tutor for their daughter.\A tutor?\A fun, homely workplace.\And they're paying five times the market price.\Uh, that sounds really sketchy. response:	I heard people can get by on just one kidney.
context: Dad found a good part-time job.\A rich family moved in just recently,\and they're looking for a tutor for their daughter.\A tutor?\A fun, homely workplace.\And they're paying five times the market price.\Uh, that sounds really sketchy.\I heard people can get by on just one kidney. response:	Y-You're telling me to give one up?!
context: A rich family moved in just recently,\and they're looking for a tutor for their daughter.\A tutor?\A fun, homely workplace.\And they're paying five times the market price.\Uh, that sounds really sketchy.\I heard people can get by on just one kidney.\Y-You're telling me to give one up?! response:	I'm kidding.
context: and they're looking for a tutor for their daughter.\A tutor?\A fun, homely workplace.\And they're paying five times the market price.\Uh, that sounds really sketchy.\I heard people can get by on just one kidney.\Y-You're telling me to give one up?!\I'm kidding. response:	But now you can eat a bellyful,
context: A tutor?\A fun, homely workplace.\And they're paying five times the market price.\Uh, that sounds really sketchy.\I heard people can get by on just one kidney.\Y-You're telling me to give one up?!\I'm kidding.\But now you can eat a bellyful, response:	Onii-chan.
context: A fun, homely workplace.\And they're paying five times the market price.\Uh, that sounds really sketchy.\I heard people can get by on just one kidney.\Y-You're telling me to give one up?!\I'm kidding.\But now you can eat a bellyful,\Onii-chan. response:	So what's this daughter like?
context: And they're paying five times the market price.\Uh, that sounds really sketchy.\I heard people can get by on just one kidney.\Y-You're telling me to give one up?!\I'm kidding.\But now you can eat a bellyful,\Onii-chan.\So what's this daughter like? response:	She's in high school.
context: Uh, that sounds really sketchy.\I heard people can get by on just one kidney.\Y-You're telling me to give one up?!\I'm kidding.\But now you can eat a bellyful,\Onii-chan.\So what's this daughter like?\She's in high school. response:	They said she's transferring to your school.
context: I heard people can get by on just one kidney.\Y-You're telling me to give one up?!\I'm kidding.\But now you can eat a bellyful,\Onii-chan.\So what's this daughter like?\She's in high school.\They said she's transferring to your school. response:	Her name is, uh, Nakano...
context: Y-You're telling me to give one up?!\I'm kidding.\But now you can eat a bellyful,\Onii-chan.\So what's this daughter like?\She's in high school.\They said she's transferring to your school.\Her name is, uh, Nakano... response:	Nakano Itsuki.
context: I'm kidding.\But now you can eat a bellyful,\Onii-chan.\So what's this daughter like?\She's in high school.\They said she's transferring to your school.\Her name is, uh, Nakano...\Nakano Itsuki. response:	Pleased to meet you.
context: But now you can eat a bellyful,\Onii-chan.\So what's this daughter like?\She's in high school.\They said she's transferring to your school.\Her name is, uh, Nakano...\Nakano Itsuki.\Pleased to meet you. response:	I know this girl!
context: Onii-chan.\So what's this daughter like?\She's in high school.\They said she's transferring to your school.\Her name is, uh, Nakano...\Nakano Itsuki.\Pleased to meet you.\I know this girl! response:	The transfer student's a girl?
context: So what's this daughter like?\She's in high school.\They said she's transferring to your school.\Her name is, uh, Nakano...\Nakano Itsuki.\Pleased to meet you.\I know this girl!\The transfer student's a girl? response:	She's actually cute.
context: She's in high school.\They said she's transferring to your school.\Her name is, uh, Nakano...\Nakano Itsuki.\Pleased to meet you.\I know this girl!\The transfer student's a girl?\She's actually cute. response:	That uniform's from Kurobara Girls' School, isn't it?
context: They said she's transferring to your school.\Her name is, uh, Nakano...\Nakano Itsuki.\Pleased to meet you.\I know this girl!\The transfer student's a girl?\She's actually cute.\That uniform's from Kurobara Girls' School, isn't it? response:	Seriously? She must be rich as hell!
context: Her name is, uh, Nakano...\Nakano Itsuki.\Pleased to meet you.\I know this girl!\The transfer student's a girl?\She's actually cute.\That uniform's from Kurobara Girls' School, isn't it?\Seriously? She must be rich as hell! response:	A rich transfer student?
context: Nakano Itsuki.\Pleased to meet you.\I know this girl!\The transfer student's a girl?\She's actually cute.\That uniform's from Kurobara Girls' School, isn't it?\Seriously? She must be rich as hell!\A rich transfer student? response:	So she's the one?
context: Pleased to meet you.\I know this girl!\The transfer student's a girl?\She's actually cute.\That uniform's from Kurobara Girls' School, isn't it?\Seriously? She must be rich as hell!\A rich transfer student?\So she's the one? response:	H-Hey.
context: I know this girl!\The transfer student's a girl?\She's actually cute.\That uniform's from Kurobara Girls' School, isn't it?\Seriously? She must be rich as hell!\A rich transfer student?\So she's the one?\H-Hey. response:	Nice to meet you.
context: The transfer student's a girl?\She's actually cute.\That uniform's from Kurobara Girls' School, isn't it?\Seriously? She must be rich as hell!\A rich transfer student?\So she's the one?\H-Hey.\Nice to meet you. response:	U-Uh oh.
context: She's actually cute.\That uniform's from Kurobara Girls' School, isn't it?\Seriously? She must be rich as hell!\A rich transfer student?\So she's the one?\H-Hey.\Nice to meet you.\U-Uh oh. response:	Here you go. Barbecue beef combo without the beef.
context: That uniform's from Kurobara Girls' School, isn't it?\Seriously? She must be rich as hell!\A rich transfer student?\So she's the one?\H-Hey.\Nice to meet you.\U-Uh oh.\Here you go. Barbecue beef combo without the beef. response:	I messed up yesterday,
context: Seriously? She must be rich as hell!\A rich transfer student?\So she's the one?\H-Hey.\Nice to meet you.\U-Uh oh.\Here you go. Barbecue beef combo without the beef.\I messed up yesterday, response:	but if that transfer student rejects me,
context: A rich transfer student?\So she's the one?\H-Hey.\Nice to meet you.\U-Uh oh.\Here you go. Barbecue beef combo without the beef.\I messed up yesterday,\but if that transfer student rejects me, response:	I lose my tutoring opportunity.
context: So she's the one?\H-Hey.\Nice to meet you.\U-Uh oh.\Here you go. Barbecue beef combo without the beef.\I messed up yesterday,\but if that transfer student rejects me,\I lose my tutoring opportunity. response:	I have to get back on her good side.
context: H-Hey.\Nice to meet you.\U-Uh oh.\Here you go. Barbecue beef combo without the beef.\I messed up yesterday,\but if that transfer student rejects me,\I lose my tutoring opportunity.\I have to get back on her good side. response:	I'm back. I wanted to sit beside you again.
context: Nice to meet you.\U-Uh oh.\Here you go. Barbecue beef combo without the beef.\I messed up yesterday,\but if that transfer student rejects me,\I lose my tutoring opportunity.\I have to get back on her good side.\I'm back. I wanted to sit beside you again. response:	Of course, not just for lunch, but for studying, too.
context: U-Uh oh.\Here you go. Barbecue beef combo without the beef.\I messed up yesterday,\but if that transfer student rejects me,\I lose my tutoring opportunity.\I have to get back on her good side.\I'm back. I wanted to sit beside you again.\Of course, not just for lunch, but for studying, too. response:	Oh, my!
context: Here you go. Barbecue beef combo without the beef.\I messed up yesterday,\but if that transfer student rejects me,\I lose my tutoring opportunity.\I have to get back on her good side.\I'm back. I wanted to sit beside you again.\Of course, not just for lunch, but for studying, too.\Oh, my! response:	Perfect.
context: I messed up yesterday,\but if that transfer student rejects me,\I lose my tutoring opportunity.\I have to get back on her good side.\I'm back. I wanted to sit beside you again.\Of course, not just for lunch, but for studying, too.\Oh, my!\Perfect. response:	Thanks for waiting.
context: but if that transfer student rejects me,\I lose my tutoring opportunity.\I have to get back on her good side.\I'm back. I wanted to sit beside you again.\Of course, not just for lunch, but for studying, too.\Oh, my!\Perfect.\Thanks for waiting. response:	She's eating with her friends.
context: I lose my tutoring opportunity.\I have to get back on her good side.\I'm back. I wanted to sit beside you again.\Of course, not just for lunch, but for studying, too.\Oh, my!\Perfect.\Thanks for waiting.\She's eating with her friends. response:	I'm sorry, but this table is full.
context: I have to get back on her good side.\I'm back. I wanted to sit beside you again.\Of course, not just for lunch, but for studying, too.\Oh, my!\Perfect.\Thanks for waiting.\She's eating with her friends.\I'm sorry, but this table is full. response:	Hey, you. Leaving just like that?
context: I'm back. I wanted to sit beside you again.\Of course, not just for lunch, but for studying, too.\Oh, my!\Perfect.\Thanks for waiting.\She's eating with her friends.\I'm sorry, but this table is full.\Hey, you. Leaving just like that? response:	You're after Itsuki-chan, aren't you?
context: Of course, not just for lunch, but for studying, too.\Oh, my!\Perfect.\Thanks for waiting.\She's eating with her friends.\I'm sorry, but this table is full.\Hey, you. Leaving just like that?\You're after Itsuki-chan, aren't you? response:	I'm not after her.
context: Oh, my!\Perfect.\Thanks for waiting.\She's eating with her friends.\I'm sorry, but this table is full.\Hey, you. Leaving just like that?\You're after Itsuki-chan, aren't you?\I'm not after her. response:	What? So it is Itsuki-chan?
context: Perfect.\Thanks for waiting.\She's eating with her friends.\I'm sorry, but this table is full.\Hey, you. Leaving just like that?\You're after Itsuki-chan, aren't you?\I'm not after her.\What? So it is Itsuki-chan? response:	What was it about her that got you?
context: Thanks for waiting.\She's eating with her friends.\I'm sorry, but this table is full.\Hey, you. Leaving just like that?\You're after Itsuki-chan, aren't you?\I'm not after her.\What? So it is Itsuki-chan?\What was it about her that got you? response:	How proper she is? You do seem like you'd be into that.
context: She's eating with her friends.\I'm sorry, but this table is full.\Hey, you. Leaving just like that?\You're after Itsuki-chan, aren't you?\I'm not after her.\What? So it is Itsuki-chan?\What was it about her that got you?\How proper she is? You do seem like you'd be into that. response:	I know, I'll go get her.
context: I'm sorry, but this table is full.\Hey, you. Leaving just like that?\You're after Itsuki-chan, aren't you?\I'm not after her.\What? So it is Itsuki-chan?\What was it about her that got you?\How proper she is? You do seem like you'd be into that.\I know, I'll go get her. response:	Wait.
context: Hey, you. Leaving just like that?\You're after Itsuki-chan, aren't you?\I'm not after her.\What? So it is Itsuki-chan?\What was it about her that got you?\How proper she is? You do seem like you'd be into that.\I know, I'll go get her.\Wait. response:	I don't need your help.
context: You're after Itsuki-chan, aren't you?\I'm not after her.\What? So it is Itsuki-chan?\What was it about her that got you?\How proper she is? You do seem like you'd be into that.\I know, I'll go get her.\Wait.\I don't need your help. response:	My problems are my own to figure out.
context: I'm not after her.\What? So it is Itsuki-chan?\What was it about her that got you?\How proper she is? You do seem like you'd be into that.\I know, I'll go get her.\Wait.\I don't need your help.\My problems are my own to figure out. response:	That's pretty manly, coming from a studyholic.
context: What? So it is Itsuki-chan?\What was it about her that got you?\How proper she is? You do seem like you'd be into that.\I know, I'll go get her.\Wait.\I don't need your help.\My problems are my own to figure out.\That's pretty manly, coming from a studyholic. response:	You can come to your Big Sis Ichika if you ever need help.
context: What was it about her that got you?\How proper she is? You do seem like you'd be into that.\I know, I'll go get her.\Wait.\I don't need your help.\My problems are my own to figure out.\That's pretty manly, coming from a studyholic.\You can come to your Big Sis Ichika if you ever need help. response:	I bet this is going to be fun.
context: How proper she is? You do seem like you'd be into that.\I know, I'll go get her.\Wait.\I don't need your help.\My problems are my own to figure out.\That's pretty manly, coming from a studyholic.\You can come to your Big Sis Ichika if you ever need help.\I bet this is going to be fun. response:	Big Sis? What?
context: I know, I'll go get her.\Wait.\I don't need your help.\My problems are my own to figure out.\That's pretty manly, coming from a studyholic.\You can come to your Big Sis Ichika if you ever need help.\I bet this is going to be fun.\Big Sis? What? response:	We're in the same year.
context: Wait.\I don't need your help.\My problems are my own to figure out.\That's pretty manly, coming from a studyholic.\You can come to your Big Sis Ichika if you ever need help.\I bet this is going to be fun.\Big Sis? What?\We're in the same year. response:	I think.
context: I don't need your help.\My problems are my own to figure out.\That's pretty manly, coming from a studyholic.\You can come to your Big Sis Ichika if you ever need help.\I bet this is going to be fun.\Big Sis? What?\We're in the same year.\I think. response:	This is bad, though.
context: My problems are my own to figure out.\That's pretty manly, coming from a studyholic.\You can come to your Big Sis Ichika if you ever need help.\I bet this is going to be fun.\Big Sis? What?\We're in the same year.\I think.\This is bad, though. response:	I'm meeting her as her tutor today, after school.
