context: I don't see you up this early very often, Ichika. response:	Although I'm still the last one of the five of us.
context: Miku!\What about him?\Dunno.\Maybe he's still asleep.\So he actually stayed over.\Well, that'll be over with soon enough.\You should come study with us.\It's actually pretty fun. response:	No thanks.
context: What about him?\Dunno.\Maybe he's still asleep.\So he actually stayed over.\Well, that'll be over with soon enough.\You should come study with us.\It's actually pretty fun.\No thanks. response:	Don't let him manipulate you, Itsuki.
context: Dunno.\Maybe he's still asleep.\So he actually stayed over.\Well, that'll be over with soon enough.\You should come study with us.\It's actually pretty fun.\No thanks.\Don't let him manipulate you, Itsuki. response:	You should be more honest with yourself.
context: Maybe he's still asleep.\So he actually stayed over.\Well, that'll be over with soon enough.\You should come study with us.\It's actually pretty fun.\No thanks.\Don't let him manipulate you, Itsuki.\You should be more honest with yourself. response:	I just can't get along with him.
context: So he actually stayed over.\Well, that'll be over with soon enough.\You should come study with us.\It's actually pretty fun.\No thanks.\Don't let him manipulate you, Itsuki.\You should be more honest with yourself.\I just can't get along with him. response:	I butted heads with him the other day, too.
context: Well, that'll be over with soon enough.\You should come study with us.\It's actually pretty fun.\No thanks.\Don't let him manipulate you, Itsuki.\You should be more honest with yourself.\I just can't get along with him.\I butted heads with him the other day, too. response:	I find myself getting hung up on the most trivial things.
context: You should come study with us.\It's actually pretty fun.\No thanks.\Don't let him manipulate you, Itsuki.\You should be more honest with yourself.\I just can't get along with him.\I butted heads with him the other day, too.\I find myself getting hung up on the most trivial things. response:	I can't be like you or Miku, Ichika.
context: It's actually pretty fun.\No thanks.\Don't let him manipulate you, Itsuki.\You should be more honest with yourself.\I just can't get along with him.\I butted heads with him the other day, too.\I find myself getting hung up on the most trivial things.\I can't be like you or Miku, Ichika. response:	You can, Itsuki.
context: No thanks.\Don't let him manipulate you, Itsuki.\You should be more honest with yourself.\I just can't get along with him.\I butted heads with him the other day, too.\I find myself getting hung up on the most trivial things.\I can't be like you or Miku, Ichika.\You can, Itsuki. response:	Say what?
context: Don't let him manipulate you, Itsuki.\You should be more honest with yourself.\I just can't get along with him.\I butted heads with him the other day, too.\I find myself getting hung up on the most trivial things.\I can't be like you or Miku, Ichika.\You can, Itsuki.\Say what? response:	Put your hair to the side like this, and...
context: You should be more honest with yourself.\I just can't get along with him.\I butted heads with him the other day, too.\I find myself getting hung up on the most trivial things.\I can't be like you or Miku, Ichika.\You can, Itsuki.\Say what?\Put your hair to the side like this, and... response:	There!
context: I just can't get along with him.\I butted heads with him the other day, too.\I find myself getting hung up on the most trivial things.\I can't be like you or Miku, Ichika.\You can, Itsuki.\Say what?\Put your hair to the side like this, and...\There! response:	We made a Miku.
context: I butted heads with him the other day, too.\I find myself getting hung up on the most trivial things.\I can't be like you or Miku, Ichika.\You can, Itsuki.\Say what?\Put your hair to the side like this, and...\There!\We made a Miku. response:	I'm being serious here.
context: I find myself getting hung up on the most trivial things.\I can't be like you or Miku, Ichika.\You can, Itsuki.\Say what?\Put your hair to the side like this, and...\There!\We made a Miku.\I'm being serious here. response:	My bad.
context: I can't be like you or Miku, Ichika.\You can, Itsuki.\Say what?\Put your hair to the side like this, and...\There!\We made a Miku.\I'm being serious here.\My bad. response:	It's a quintuplet joke.
context: You can, Itsuki.\Say what?\Put your hair to the side like this, and...\There!\We made a Miku.\I'm being serious here.\My bad.\It's a quintuplet joke. response:	Ichika!
context: Say what?\Put your hair to the side like this, and...\There!\We made a Miku.\I'm being serious here.\My bad.\It's a quintuplet joke.\Ichika! response:	You parted her hair the wrong way.
context: Put your hair to the side like this, and...\There!\We made a Miku.\I'm being serious here.\My bad.\It's a quintuplet joke.\Ichika!\You parted her hair the wrong way. response:	Also, Itsuki, make a sleepier face.
context: There!\We made a Miku.\I'm being serious here.\My bad.\It's a quintuplet joke.\Ichika!\You parted her hair the wrong way.\Also, Itsuki, make a sleepier face. response:	We don't need this cowlick.
context: We made a Miku.\I'm being serious here.\My bad.\It's a quintuplet joke.\Ichika!\You parted her hair the wrong way.\Also, Itsuki, make a sleepier face.\We don't need this cowlick. response:	Please stop toying with me!
context: I'm being serious here.\My bad.\It's a quintuplet joke.\Ichika!\You parted her hair the wrong way.\Also, Itsuki, make a sleepier face.\We don't need this cowlick.\Please stop toying with me! response:	Hey, Miku isn't here right now, so let's see if we can fool him.
context: My bad.\It's a quintuplet joke.\Ichika!\You parted her hair the wrong way.\Also, Itsuki, make a sleepier face.\We don't need this cowlick.\Please stop toying with me!\Hey, Miku isn't here right now, so let's see if we can fool him. response:	Seriously?
context: It's a quintuplet joke.\Ichika!\You parted her hair the wrong way.\Also, Itsuki, make a sleepier face.\We don't need this cowlick.\Please stop toying with me!\Hey, Miku isn't here right now, so let's see if we can fool him.\Seriously? response:	We have to get her changed, then.
context: Ichika!\You parted her hair the wrong way.\Also, Itsuki, make a sleepier face.\We don't need this cowlick.\Please stop toying with me!\Hey, Miku isn't here right now, so let's see if we can fool him.\Seriously?\We have to get her changed, then. response:	Um...
context: You parted her hair the wrong way.\Also, Itsuki, make a sleepier face.\We don't need this cowlick.\Please stop toying with me!\Hey, Miku isn't here right now, so let's see if we can fool him.\Seriously?\We have to get her changed, then.\Um... response:	It's fine.
context: Also, Itsuki, make a sleepier face.\We don't need this cowlick.\Please stop toying with me!\Hey, Miku isn't here right now, so let's see if we can fool him.\Seriously?\We have to get her changed, then.\Um...\It's fine. response:	There's no way that guy can tell us apart.
context: We don't need this cowlick.\Please stop toying with me!\Hey, Miku isn't here right now, so let's see if we can fool him.\Seriously?\We have to get her changed, then.\Um...\It's fine.\There's no way that guy can tell us apart. response:	The Quintessential Quintuplets
context: Please stop toying with me!\Hey, Miku isn't here right now, so let's see if we can fool him.\Seriously?\We have to get her changed, then.\Um...\It's fine.\There's no way that guy can tell us apart.\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: Hey, Miku isn't here right now, so let's see if we can fool him.\Seriously?\We have to get her changed, then.\Um...\It's fine.\There's no way that guy can tell us apart.\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: Seriously?\We have to get her changed, then.\Um...\It's fine.\There's no way that guy can tell us apart.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: We have to get her changed, then.\Um...\It's fine.\There's no way that guy can tell us apart.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	What the hell is going on?
context: Um...\It's fine.\There's no way that guy can tell us apart.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\What the hell is going on? response:	And who's the one sleeping next to me?
context: It's fine.\There's no way that guy can tell us apart.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\What the hell is going on?\And who's the one sleeping next to me? response:	I slept in Miku's room last night, and then...
context: There's no way that guy can tell us apart.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\What the hell is going on?\And who's the one sleeping next to me?\I slept in Miku's room last night, and then... response:	Right, it was Miku wearing these pajamas.
context: The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\What the hell is going on?\And who's the one sleeping next to me?\I slept in Miku's room last night, and then...\Right, it was Miku wearing these pajamas. response:	Is it Miku?
context: The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\What the hell is going on?\And who's the one sleeping next to me?\I slept in Miku's room last night, and then...\Right, it was Miku wearing these pajamas.\Is it Miku? response:	Sh-Shoot.
context: The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\What the hell is going on?\And who's the one sleeping next to me?\I slept in Miku's room last night, and then...\Right, it was Miku wearing these pajamas.\Is it Miku?\Sh-Shoot. response:	Things will get complicated if she wakes up.
context: The Quintessential Quintuplets\What the hell is going on?\And who's the one sleeping next to me?\I slept in Miku's room last night, and then...\Right, it was Miku wearing these pajamas.\Is it Miku?\Sh-Shoot.\Things will get complicated if she wakes up. response:	Especially if someone else saw.
context: What the hell is going on?\And who's the one sleeping next to me?\I slept in Miku's room last night, and then...\Right, it was Miku wearing these pajamas.\Is it Miku?\Sh-Shoot.\Things will get complicated if she wakes up.\Especially if someone else saw. response:	M-Miku?!
context: And who's the one sleeping next to me?\I slept in Miku's room last night, and then...\Right, it was Miku wearing these pajamas.\Is it Miku?\Sh-Shoot.\Things will get complicated if she wakes up.\Especially if someone else saw.\M-Miku?! response:	Wait, Miku's inside.
context: I slept in Miku's room last night, and then...\Right, it was Miku wearing these pajamas.\Is it Miku?\Sh-Shoot.\Things will get complicated if she wakes up.\Especially if someone else saw.\M-Miku?!\Wait, Miku's inside. response:	Which means she's...
context: Right, it was Miku wearing these pajamas.\Is it Miku?\Sh-Shoot.\Things will get complicated if she wakes up.\Especially if someone else saw.\M-Miku?!\Wait, Miku's inside.\Which means she's... response:	Those pajamas...
context: Is it Miku?\Sh-Shoot.\Things will get complicated if she wakes up.\Especially if someone else saw.\M-Miku?!\Wait, Miku's inside.\Which means she's...\Those pajamas... response:	Wh-What's up, Itsuki?
context: Sh-Shoot.\Things will get complicated if she wakes up.\Especially if someone else saw.\M-Miku?!\Wait, Miku's inside.\Which means she's...\Those pajamas...\Wh-What's up, Itsuki? response:	You can tell, huh?
context: Things will get complicated if she wakes up.\Especially if someone else saw.\M-Miku?!\Wait, Miku's inside.\Which means she's...\Those pajamas...\Wh-What's up, Itsuki?\You can tell, huh? response:	Um...
context: Especially if someone else saw.\M-Miku?!\Wait, Miku's inside.\Which means she's...\Those pajamas...\Wh-What's up, Itsuki?\You can tell, huh?\Um... response:	About the upcoming midterms...
context: M-Miku?!\Wait, Miku's inside.\Which means she's...\Those pajamas...\Wh-What's up, Itsuki?\You can tell, huh?\Um...\About the upcoming midterms... response:	A-A-Are we done here? Can I go?
context: Wait, Miku's inside.\Which means she's...\Those pajamas...\Wh-What's up, Itsuki?\You can tell, huh?\Um...\About the upcoming midterms...\A-A-Are we done here? Can I go? response:	Hey!
context: Which means she's...\Those pajamas...\Wh-What's up, Itsuki?\You can tell, huh?\Um...\About the upcoming midterms...\A-A-Are we done here? Can I go?\Hey! response:	Get going. I need to get changed.
context: Those pajamas...\Wh-What's up, Itsuki?\You can tell, huh?\Um...\About the upcoming midterms...\A-A-Are we done here? Can I go?\Hey!\Get going. I need to get changed. response:	I don't care anymore!
context: Wh-What's up, Itsuki?\You can tell, huh?\Um...\About the upcoming midterms...\A-A-Are we done here? Can I go?\Hey!\Get going. I need to get changed.\I don't care anymore! response:	Crap...
context: You can tell, huh?\Um...\About the upcoming midterms...\A-A-Are we done here? Can I go?\Hey!\Get going. I need to get changed.\I don't care anymore!\Crap... response:	I could have just let her talk to me outside.
context: Um...\About the upcoming midterms...\A-A-Are we done here? Can I go?\Hey!\Get going. I need to get changed.\I don't care anymore!\Crap...\I could have just let her talk to me outside. response:	Futaro-kun.
context: About the upcoming midterms...\A-A-Are we done here? Can I go?\Hey!\Get going. I need to get changed.\I don't care anymore!\Crap...\I could have just let her talk to me outside.\Futaro-kun. response:	Have you seen Miku?
context: A-A-Are we done here? Can I go?\Hey!\Get going. I need to get changed.\I don't care anymore!\Crap...\I could have just let her talk to me outside.\Futaro-kun.\Have you seen Miku? response:	Oh, um...
context: Hey!\Get going. I need to get changed.\I don't care anymore!\Crap...\I could have just let her talk to me outside.\Futaro-kun.\Have you seen Miku?\Oh, um... response:	The library, maybe?
context: Get going. I need to get changed.\I don't care anymore!\Crap...\I could have just let her talk to me outside.\Futaro-kun.\Have you seen Miku?\Oh, um...\The library, maybe? response:	That sounds good.
context: I don't care anymore!\Crap...\I could have just let her talk to me outside.\Futaro-kun.\Have you seen Miku?\Oh, um...\The library, maybe?\That sounds good. response:	Why don't we go study in the library for a change of pace?
context: Crap...\I could have just let her talk to me outside.\Futaro-kun.\Have you seen Miku?\Oh, um...\The library, maybe?\That sounds good.\Why don't we go study in the library for a change of pace? response:	S-Sure, let's do that.
context: I could have just let her talk to me outside.\Futaro-kun.\Have you seen Miku?\Oh, um...\The library, maybe?\That sounds good.\Why don't we go study in the library for a change of pace?\S-Sure, let's do that. response:	I'll let Yotsuba know.
context: Futaro-kun.\Have you seen Miku?\Oh, um...\The library, maybe?\That sounds good.\Why don't we go study in the library for a change of pace?\S-Sure, let's do that.\I'll let Yotsuba know. response:	Let's see...
context: Have you seen Miku?\Oh, um...\The library, maybe?\That sounds good.\Why don't we go study in the library for a change of pace?\S-Sure, let's do that.\I'll let Yotsuba know.\Let's see... response:	Where's Miku?
context: Oh, um...\The library, maybe?\That sounds good.\Why don't we go study in the library for a change of pace?\S-Sure, let's do that.\I'll let Yotsuba know.\Let's see...\Where's Miku? response:	She's not here.
context: The library, maybe?\That sounds good.\Why don't we go study in the library for a change of pace?\S-Sure, let's do that.\I'll let Yotsuba know.\Let's see...\Where's Miku?\She's not here. response:	Is this the right thing to do?
context: That sounds good.\Why don't we go study in the library for a change of pace?\S-Sure, let's do that.\I'll let Yotsuba know.\Let's see...\Where's Miku?\She's not here.\Is this the right thing to do? response:	Even if it means getting expelled, I'm never having you teach me!
context: Why don't we go study in the library for a change of pace?\S-Sure, let's do that.\I'll let Yotsuba know.\Let's see...\Where's Miku?\She's not here.\Is this the right thing to do?\Even if it means getting expelled, I'm never having you teach me! response:	Thinking about that just pisses me off.
context: S-Sure, let's do that.\I'll let Yotsuba know.\Let's see...\Where's Miku?\She's not here.\Is this the right thing to do?\Even if it means getting expelled, I'm never having you teach me!\Thinking about that just pisses me off. response:	Forget it!
context: I'll let Yotsuba know.\Let's see...\Where's Miku?\She's not here.\Is this the right thing to do?\Even if it means getting expelled, I'm never having you teach me!\Thinking about that just pisses me off.\Forget it! response:	But there are some things that only you can do,
context: Let's see...\Where's Miku?\She's not here.\Is this the right thing to do?\Even if it means getting expelled, I'm never having you teach me!\Thinking about that just pisses me off.\Forget it!\But there are some things that only you can do, response:	so I'm counting on you.
context: Where's Miku?\She's not here.\Is this the right thing to do?\Even if it means getting expelled, I'm never having you teach me!\Thinking about that just pisses me off.\Forget it!\But there are some things that only you can do,\so I'm counting on you. response:	Uesugi-san?
context: She's not here.\Is this the right thing to do?\Even if it means getting expelled, I'm never having you teach me!\Thinking about that just pisses me off.\Forget it!\But there are some things that only you can do,\so I'm counting on you.\Uesugi-san? response:	Is something wrong?
context: Is this the right thing to do?\Even if it means getting expelled, I'm never having you teach me!\Thinking about that just pisses me off.\Forget it!\But there are some things that only you can do,\so I'm counting on you.\Uesugi-san?\Is something wrong? response:	Oh, no, well...
context: Even if it means getting expelled, I'm never having you teach me!\Thinking about that just pisses me off.\Forget it!\But there are some things that only you can do,\so I'm counting on you.\Uesugi-san?\Is something wrong?\Oh, no, well... response:	Yotsuba, hypothetically...
context: Thinking about that just pisses me off.\Forget it!\But there are some things that only you can do,\so I'm counting on you.\Uesugi-san?\Is something wrong?\Oh, no, well...\Yotsuba, hypothetically... response:	Let's say one of you gets held back a year because of their grades.
context: Forget it!\But there are some things that only you can do,\so I'm counting on you.\Uesugi-san?\Is something wrong?\Oh, no, well...\Yotsuba, hypothetically...\Let's say one of you gets held back a year because of their grades. response:	What will you do?
context: But there are some things that only you can do,\so I'm counting on you.\Uesugi-san?\Is something wrong?\Oh, no, well...\Yotsuba, hypothetically...\Let's say one of you gets held back a year because of their grades.\What will you do? response:	I'll redo my second year with her.
context: so I'm counting on you.\Uesugi-san?\Is something wrong?\Oh, no, well...\Yotsuba, hypothetically...\Let's say one of you gets held back a year because of their grades.\What will you do?\I'll redo my second year with her. response:	Then again, I'll probably be the one that fails.
context: Uesugi-san?\Is something wrong?\Oh, no, well...\Yotsuba, hypothetically...\Let's say one of you gets held back a year because of their grades.\What will you do?\I'll redo my second year with her.\Then again, I'll probably be the one that fails. response:	But with you here, it'll be all right.
context: Is something wrong?\Oh, no, well...\Yotsuba, hypothetically...\Let's say one of you gets held back a year because of their grades.\What will you do?\I'll redo my second year with her.\Then again, I'll probably be the one that fails.\But with you here, it'll be all right. response:	Uesugi-san?
context: Oh, no, well...\Yotsuba, hypothetically...\Let's say one of you gets held back a year because of their grades.\What will you do?\I'll redo my second year with her.\Then again, I'll probably be the one that fails.\But with you here, it'll be all right.\Uesugi-san? response:	Futaro-kun.
context: Yotsuba, hypothetically...\Let's say one of you gets held back a year because of their grades.\What will you do?\I'll redo my second year with her.\Then again, I'll probably be the one that fails.\But with you here, it'll be all right.\Uesugi-san?\Futaro-kun. response:	I forgot my pencil case.
context: Let's say one of you gets held back a year because of their grades.\What will you do?\I'll redo my second year with her.\Then again, I'll probably be the one that fails.\But with you here, it'll be all right.\Uesugi-san?\Futaro-kun.\I forgot my pencil case. response:	Ichika, I have plenty to write with.
context: What will you do?\I'll redo my second year with her.\Then again, I'll probably be the one that fails.\But with you here, it'll be all right.\Uesugi-san?\Futaro-kun.\I forgot my pencil case.\Ichika, I have plenty to write with. response:	We'll get started first.
context: I'll redo my second year with her.\Then again, I'll probably be the one that fails.\But with you here, it'll be all right.\Uesugi-san?\Futaro-kun.\I forgot my pencil case.\Ichika, I have plenty to write with.\We'll get started first. response:	Could you get my stuff?
context: Then again, I'll probably be the one that fails.\But with you here, it'll be all right.\Uesugi-san?\Futaro-kun.\I forgot my pencil case.\Ichika, I have plenty to write with.\We'll get started first.\Could you get my stuff? response:	All right.
context: But with you here, it'll be all right.\Uesugi-san?\Futaro-kun.\I forgot my pencil case.\Ichika, I have plenty to write with.\We'll get started first.\Could you get my stuff?\All right. response:	Be right back.
context: Uesugi-san?\Futaro-kun.\I forgot my pencil case.\Ichika, I have plenty to write with.\We'll get started first.\Could you get my stuff?\All right.\Be right back. response:	M-Miku?
context: Futaro-kun.\I forgot my pencil case.\Ichika, I have plenty to write with.\We'll get started first.\Could you get my stuff?\All right.\Be right back.\M-Miku? response:	Futaro.
context: I forgot my pencil case.\Ichika, I have plenty to write with.\We'll get started first.\Could you get my stuff?\All right.\Be right back.\M-Miku?\Futaro. response:	I-I thought you went to the library.
context: Ichika, I have plenty to write with.\We'll get started first.\Could you get my stuff?\All right.\Be right back.\M-Miku?\Futaro.\I-I thought you went to the library. response:	Came back to get something.
context: We'll get started first.\Could you get my stuff?\All right.\Be right back.\M-Miku?\Futaro.\I-I thought you went to the library.\Came back to get something. response:	Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.
context: Could you get my stuff?\All right.\Be right back.\M-Miku?\Futaro.\I-I thought you went to the library.\Came back to get something.\Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there. response:	F-Futaro.
context: All right.\Be right back.\M-Miku?\Futaro.\I-I thought you went to the library.\Came back to get something.\Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.\F-Futaro. response:	Uh...
context: Be right back.\M-Miku?\Futaro.\I-I thought you went to the library.\Came back to get something.\Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.\F-Futaro.\Uh... response:	About last night...
context: M-Miku?\Futaro.\I-I thought you went to the library.\Came back to get something.\Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.\F-Futaro.\Uh...\About last night... response:	Night?
context: Futaro.\I-I thought you went to the library.\Came back to get something.\Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.\F-Futaro.\Uh...\About last night...\Night? response:	Speaking of that, did you sleep well last night?
context: I-I thought you went to the library.\Came back to get something.\Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.\F-Futaro.\Uh...\About last night...\Night?\Speaking of that, did you sleep well last night? response:	I couldn't get used to the bed, so I slept on the living room floor.
context: Came back to get something.\Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.\F-Futaro.\Uh...\About last night...\Night?\Speaking of that, did you sleep well last night?\I couldn't get used to the bed, so I slept on the living room floor. response:	My back hurts, yo.
context: Ichika and Yotsuba are waiting, so go meet up with them. I'll see you there.\F-Futaro.\Uh...\About last night...\Night?\Speaking of that, did you sleep well last night?\I couldn't get used to the bed, so I slept on the living room floor.\My back hurts, yo. response:	O-Of course.
context: F-Futaro.\Uh...\About last night...\Night?\Speaking of that, did you sleep well last night?\I couldn't get used to the bed, so I slept on the living room floor.\My back hurts, yo.\O-Of course. response:	Thank goodness.
context: Uh...\About last night...\Night?\Speaking of that, did you sleep well last night?\I couldn't get used to the bed, so I slept on the living room floor.\My back hurts, yo.\O-Of course.\Thank goodness. response:	I'm lying, of course.
context: About last night...\Night?\Speaking of that, did you sleep well last night?\I couldn't get used to the bed, so I slept on the living room floor.\My back hurts, yo.\O-Of course.\Thank goodness.\I'm lying, of course. response:	But ignorance is probably bliss here.
context: Night?\Speaking of that, did you sleep well last night?\I couldn't get used to the bed, so I slept on the living room floor.\My back hurts, yo.\O-Of course.\Thank goodness.\I'm lying, of course.\But ignorance is probably bliss here. response:	Okay, see you at the library.
context: Speaking of that, did you sleep well last night?\I couldn't get used to the bed, so I slept on the living room floor.\My back hurts, yo.\O-Of course.\Thank goodness.\I'm lying, of course.\But ignorance is probably bliss here.\Okay, see you at the library. response:	Later.
context: I couldn't get used to the bed, so I slept on the living room floor.\My back hurts, yo.\O-Of course.\Thank goodness.\I'm lying, of course.\But ignorance is probably bliss here.\Okay, see you at the library.\Later. response:	Aside from that,
context: My back hurts, yo.\O-Of course.\Thank goodness.\I'm lying, of course.\But ignorance is probably bliss here.\Okay, see you at the library.\Later.\Aside from that, response:	there's another lie that I have to tell.
context: O-Of course.\Thank goodness.\I'm lying, of course.\But ignorance is probably bliss here.\Okay, see you at the library.\Later.\Aside from that,\there's another lie that I have to tell. response:	Hey, wake up.
context: Thank goodness.\I'm lying, of course.\But ignorance is probably bliss here.\Okay, see you at the library.\Later.\Aside from that,\there's another lie that I have to tell.\Hey, wake up. response:	Oh, sorry.
context: I'm lying, of course.\But ignorance is probably bliss here.\Okay, see you at the library.\Later.\Aside from that,\there's another lie that I have to tell.\Hey, wake up.\Oh, sorry. response:	Uh...
context: But ignorance is probably bliss here.\Okay, see you at the library.\Later.\Aside from that,\there's another lie that I have to tell.\Hey, wake up.\Oh, sorry.\Uh... response:	Um...
context: Okay, see you at the library.\Later.\Aside from that,\there's another lie that I have to tell.\Hey, wake up.\Oh, sorry.\Uh...\Um... response:	I finally found you,
context: Later.\Aside from that,\there's another lie that I have to tell.\Hey, wake up.\Oh, sorry.\Uh...\Um...\I finally found you, response:	Miku.
context: Aside from that,\there's another lie that I have to tell.\Hey, wake up.\Oh, sorry.\Uh...\Um...\I finally found you,\Miku. response:	You were avoiding me to skip out on studying, weren't you?
context: there's another lie that I have to tell.\Hey, wake up.\Oh, sorry.\Uh...\Um...\I finally found you,\Miku.\You were avoiding me to skip out on studying, weren't you? response:	You're going to get it now!
context: Hey, wake up.\Oh, sorry.\Uh...\Um...\I finally found you,\Miku.\You were avoiding me to skip out on studying, weren't you?\You're going to get it now! response:	Hey...
context: Oh, sorry.\Uh...\Um...\I finally found you,\Miku.\You were avoiding me to skip out on studying, weren't you?\You're going to get it now!\Hey... response:	Pick up your pen.
context: Uh...\Um...\I finally found you,\Miku.\You were avoiding me to skip out on studying, weren't you?\You're going to get it now!\Hey...\Pick up your pen. response:	Listen...
context: Um...\I finally found you,\Miku.\You were avoiding me to skip out on studying, weren't you?\You're going to get it now!\Hey...\Pick up your pen.\Listen... response:	Open the textbook.
context: I finally found you,\Miku.\You were avoiding me to skip out on studying, weren't you?\You're going to get it now!\Hey...\Pick up your pen.\Listen...\Open the textbook. response:	I'm not...
context: Miku.\You were avoiding me to skip out on studying, weren't you?\You're going to get it now!\Hey...\Pick up your pen.\Listen...\Open the textbook.\I'm not... response:	I'm going to be really strict with you as punishment!
context: You were avoiding me to skip out on studying, weren't you?\You're going to get it now!\Hey...\Pick up your pen.\Listen...\Open the textbook.\I'm not...\I'm going to be really strict with you as punishment! response:	You're not failing anything on my watch!
context: You're going to get it now!\Hey...\Pick up your pen.\Listen...\Open the textbook.\I'm not...\I'm going to be really strict with you as punishment!\You're not failing anything on my watch! response:	But I'm not...
context: Hey...\Pick up your pen.\Listen...\Open the textbook.\I'm not...\I'm going to be really strict with you as punishment!\You're not failing anything on my watch!\But I'm not... response:	I haven't seen Itsuki either, come to think of it.
context: Pick up your pen.\Listen...\Open the textbook.\I'm not...\I'm going to be really strict with you as punishment!\You're not failing anything on my watch!\But I'm not...\I haven't seen Itsuki either, come to think of it. response:	I bet she's busy studying in her room.
context: Listen...\Open the textbook.\I'm not...\I'm going to be really strict with you as punishment!\You're not failing anything on my watch!\But I'm not...\I haven't seen Itsuki either, come to think of it.\I bet she's busy studying in her room. response:	There's no way she'd be dozing off at her desk or anything, right?
context: Open the textbook.\I'm not...\I'm going to be really strict with you as punishment!\You're not failing anything on my watch!\But I'm not...\I haven't seen Itsuki either, come to think of it.\I bet she's busy studying in her room.\There's no way she'd be dozing off at her desk or anything, right? response:	Something the matter, Miku?
context: I'm not...\I'm going to be really strict with you as punishment!\You're not failing anything on my watch!\But I'm not...\I haven't seen Itsuki either, come to think of it.\I bet she's busy studying in her room.\There's no way she'd be dozing off at her desk or anything, right?\Something the matter, Miku? response:	You should be more honest with yourself.
context: I'm going to be really strict with you as punishment!\You're not failing anything on my watch!\But I'm not...\I haven't seen Itsuki either, come to think of it.\I bet she's busy studying in her room.\There's no way she'd be dozing off at her desk or anything, right?\Something the matter, Miku?\You should be more honest with yourself. response:	Th-There isn't...
