context: Karaoke Village response:	Kinoshita-kun, go clean up booth 13.
context: Cafe Kanoir\I mean...\I'm a girlfriend.\But... I don't know... It might give your clients the wrong idea.\I'm a girlfriend.\Yeah, but... a g-gif\I'm a girlfriend, okay?\It's perfectly normal for a girlfriend to give you gifts! response:	And it's agency policy!
context: I mean...\I'm a girlfriend.\But... I don't know... It might give your clients the wrong idea.\I'm a girlfriend.\Yeah, but... a g-gif\I'm a girlfriend, okay?\It's perfectly normal for a girlfriend to give you gifts!\And it's agency policy! response:	Uh, that much is true, but...
context: I'm a girlfriend.\But... I don't know... It might give your clients the wrong idea.\I'm a girlfriend.\Yeah, but... a g-gif\I'm a girlfriend, okay?\It's perfectly normal for a girlfriend to give you gifts!\And it's agency policy!\Uh, that much is true, but... response:	I know I'm totally nothhhh justified here...
context: But... I don't know... It might give your clients the wrong idea.\I'm a girlfriend.\Yeah, but... a g-gif\I'm a girlfriend, okay?\It's perfectly normal for a girlfriend to give you gifts!\And it's agency policy!\Uh, that much is true, but...\I know I'm totally nothhhh justified here... response:	I'd like to clear something up here and now.
context: I'm a girlfriend.\Yeah, but... a g-gif\I'm a girlfriend, okay?\It's perfectly normal for a girlfriend to give you gifts!\And it's agency policy!\Uh, that much is true, but...\I know I'm totally nothhhh justified here...\I'd like to clear something up here and now. response:	Have you fallen in love with me?
context: Yeah, but... a g-gif\I'm a girlfriend, okay?\It's perfectly normal for a girlfriend to give you gifts!\And it's agency policy!\Uh, that much is true, but...\I know I'm totally nothhhh justified here...\I'd like to clear something up here and now.\Have you fallen in love with me? response:	Huh... What?!
context: I'm a girlfriend, okay?\It's perfectly normal for a girlfriend to give you gifts!\And it's agency policy!\Uh, that much is true, but...\I know I'm totally nothhhh justified here...\I'd like to clear something up here and now.\Have you fallen in love with me?\Huh... What?! response:	I haven't.
context: It's perfectly normal for a girlfriend to give you gifts!\And it's agency policy!\Uh, that much is true, but...\I know I'm totally nothhhh justified here...\I'd like to clear something up here and now.\Have you fallen in love with me?\Huh... What?!\I haven't. response:	Exactly!
context: And it's agency policy!\Uh, that much is true, but...\I know I'm totally nothhhh justified here...\I'd like to clear something up here and now.\Have you fallen in love with me?\Huh... What?!\I haven't.\Exactly! response:	We're only playing pretend couple for our grandmas, right?
context: Uh, that much is true, but...\I know I'm totally nothhhh justified here...\I'd like to clear something up here and now.\Have you fallen in love with me?\Huh... What?!\I haven't.\Exactly!\We're only playing pretend couple for our grandmas, right? response:	Ruka-chan seems to think there's more to it,
context: I know I'm totally nothhhh justified here...\I'd like to clear something up here and now.\Have you fallen in love with me?\Huh... What?!\I haven't.\Exactly!\We're only playing pretend couple for our grandmas, right?\Ruka-chan seems to think there's more to it, response:	but I'm nothing more than a rental girlfriend.
context: I'd like to clear something up here and now.\Have you fallen in love with me?\Huh... What?!\I haven't.\Exactly!\We're only playing pretend couple for our grandmas, right?\Ruka-chan seems to think there's more to it,\but I'm nothing more than a rental girlfriend. response:	If you were actually into me, that'd change things entirely.
context: Have you fallen in love with me?\Huh... What?!\I haven't.\Exactly!\We're only playing pretend couple for our grandmas, right?\Ruka-chan seems to think there's more to it,\but I'm nothing more than a rental girlfriend.\If you were actually into me, that'd change things entirely. response:	Let's keep things clean,
context: Huh... What?!\I haven't.\Exactly!\We're only playing pretend couple for our grandmas, right?\Ruka-chan seems to think there's more to it,\but I'm nothing more than a rental girlfriend.\If you were actually into me, that'd change things entirely.\Let's keep things clean, response:	and this relationship purely business.
context: I haven't.\Exactly!\We're only playing pretend couple for our grandmas, right?\Ruka-chan seems to think there's more to it,\but I'm nothing more than a rental girlfriend.\If you were actually into me, that'd change things entirely.\Let's keep things clean,\and this relationship purely business. response:	Whoa, she's so pretty!
context: Exactly!\We're only playing pretend couple for our grandmas, right?\Ruka-chan seems to think there's more to it,\but I'm nothing more than a rental girlfriend.\If you were actually into me, that'd change things entirely.\Let's keep things clean,\and this relationship purely business.\Whoa, she's so pretty! response:	That dude's so lucky.
context: We're only playing pretend couple for our grandmas, right?\Ruka-chan seems to think there's more to it,\but I'm nothing more than a rental girlfriend.\If you were actually into me, that'd change things entirely.\Let's keep things clean,\and this relationship purely business.\Whoa, she's so pretty!\That dude's so lucky. response:	Hey! What have you two been getting up to?!
context: Ruka-chan seems to think there's more to it,\but I'm nothing more than a rental girlfriend.\If you were actually into me, that'd change things entirely.\Let's keep things clean,\and this relationship purely business.\Whoa, she's so pretty!\That dude's so lucky.\Hey! What have you two been getting up to?! response:	Ruka-chan?!
context: but I'm nothing more than a rental girlfriend.\If you were actually into me, that'd change things entirely.\Let's keep things clean,\and this relationship purely business.\Whoa, she's so pretty!\That dude's so lucky.\Hey! What have you two been getting up to?!\Ruka-chan?! response:	You told me you had other plans today!
context: If you were actually into me, that'd change things entirely.\Let's keep things clean,\and this relationship purely business.\Whoa, she's so pretty!\That dude's so lucky.\Hey! What have you two been getting up to?!\Ruka-chan?!\You told me you had other plans today! response:	Leap
context: Let's keep things clean,\and this relationship purely business.\Whoa, she's so pretty!\That dude's so lucky.\Hey! What have you two been getting up to?!\Ruka-chan?!\You told me you had other plans today!\Leap response:	It was a date with her?!
context: and this relationship purely business.\Whoa, she's so pretty!\That dude's so lucky.\Hey! What have you two been getting up to?!\Ruka-chan?!\You told me you had other plans today!\Leap\It was a date with her?! response:	You cheat!! You're cheating on me!!
context: Whoa, she's so pretty!\That dude's so lucky.\Hey! What have you two been getting up to?!\Ruka-chan?!\You told me you had other plans today!\Leap\It was a date with her?!\You cheat!! You're cheating on me!! response:	Why her, when you have me?!
context: That dude's so lucky.\Hey! What have you two been getting up to?!\Ruka-chan?!\You told me you had other plans today!\Leap\It was a date with her?!\You cheat!! You're cheating on me!!\Why her, when you have me?! response:	I got cheated on!!
context: Hey! What have you two been getting up to?!\Ruka-chan?!\You told me you had other plans today!\Leap\It was a date with her?!\You cheat!! You're cheating on me!!\Why her, when you have me?!\I got cheated on!! response:	U-Uh, I was just getting some life advice from her.
context: Ruka-chan?!\You told me you had other plans today!\Leap\It was a date with her?!\You cheat!! You're cheating on me!!\Why her, when you have me?!\I got cheated on!!\U-Uh, I was just getting some life advice from her. response:	I can't believe I just said that.
context: You told me you had other plans today!\Leap\It was a date with her?!\You cheat!! You're cheating on me!!\Why her, when you have me?!\I got cheated on!!\U-Uh, I was just getting some life advice from her.\I can't believe I just said that. response:	Well, you're going on a date with me now!
context: Leap\It was a date with her?!\You cheat!! You're cheating on me!!\Why her, when you have me?!\I got cheated on!!\U-Uh, I was just getting some life advice from her.\I can't believe I just said that.\Well, you're going on a date with me now! response:	But I have plans...
context: It was a date with her?!\You cheat!! You're cheating on me!!\Why her, when you have me?!\I got cheated on!!\U-Uh, I was just getting some life advice from her.\I can't believe I just said that.\Well, you're going on a date with me now!\But I have plans... response:	Cancel them!
context: You cheat!! You're cheating on me!!\Why her, when you have me?!\I got cheated on!!\U-Uh, I was just getting some life advice from her.\I can't believe I just said that.\Well, you're going on a date with me now!\But I have plans...\Cancel them! response:	What? Come on!
context: Why her, when you have me?!\I got cheated on!!\U-Uh, I was just getting some life advice from her.\I can't believe I just said that.\Well, you're going on a date with me now!\But I have plans...\Cancel them!\What? Come on! response:	Poker face...
context: I got cheated on!!\U-Uh, I was just getting some life advice from her.\I can't believe I just said that.\Well, you're going on a date with me now!\But I have plans...\Cancel them!\What? Come on!\Poker face... response:	A movie? The amusement park?
context: U-Uh, I was just getting some life advice from her.\I can't believe I just said that.\Well, you're going on a date with me now!\But I have plans...\Cancel them!\What? Come on!\Poker face...\A movie? The amusement park? response:	Here.
context: I can't believe I just said that.\Well, you're going on a date with me now!\But I have plans...\Cancel them!\What? Come on!\Poker face...\A movie? The amusement park?\Here. response:	Say ahh.
context: Well, you're going on a date with me now!\But I have plans...\Cancel them!\What? Come on!\Poker face...\A movie? The amusement park?\Here.\Say ahh. response:	Nom
context: But I have plans...\Cancel them!\What? Come on!\Poker face...\A movie? The amusement park?\Here.\Say ahh.\Nom response:	You ate it! So cute!
context: Cancel them!\What? Come on!\Poker face...\A movie? The amusement park?\Here.\Say ahh.\Nom\You ate it! So cute! response:	Nom
context: What? Come on!\Poker face...\A movie? The amusement park?\Here.\Say ahh.\Nom\You ate it! So cute!\Nom response:	Let's keep things clean, and this relationship purely business.
context: Poker face...\A movie? The amusement park?\Here.\Say ahh.\Nom\You ate it! So cute!\Nom\Let's keep things clean, and this relationship purely business. response:	Right... I'm just a partner in crime to Mizuhara.
context: A movie? The amusement park?\Here.\Say ahh.\Nom\You ate it! So cute!\Nom\Let's keep things clean, and this relationship purely business.\Right... I'm just a partner in crime to Mizuhara. response:	What was I getting carried away for?
context: Here.\Say ahh.\Nom\You ate it! So cute!\Nom\Let's keep things clean, and this relationship purely business.\Right... I'm just a partner in crime to Mizuhara.\What was I getting carried away for? response:	Danger
context: Say ahh.\Nom\You ate it! So cute!\Nom\Let's keep things clean, and this relationship purely business.\Right... I'm just a partner in crime to Mizuhara.\What was I getting carried away for?\Danger response:	Watch Your Back
context: Nom\You ate it! So cute!\Nom\Let's keep things clean, and this relationship purely business.\Right... I'm just a partner in crime to Mizuhara.\What was I getting carried away for?\Danger\Watch Your Back response:	Wait, what?
context: You ate it! So cute!\Nom\Let's keep things clean, and this relationship purely business.\Right... I'm just a partner in crime to Mizuhara.\What was I getting carried away for?\Danger\Watch Your Back\Wait, what? response:	A blindfold!?
context: Nom\Let's keep things clean, and this relationship purely business.\Right... I'm just a partner in crime to Mizuhara.\What was I getting carried away for?\Danger\Watch Your Back\Wait, what?\A blindfold!? response:	What are you doing?!
context: Let's keep things clean, and this relationship purely business.\Right... I'm just a partner in crime to Mizuhara.\What was I getting carried away for?\Danger\Watch Your Back\Wait, what?\A blindfold!?\What are you doing?! response:	Pull
context: Right... I'm just a partner in crime to Mizuhara.\What was I getting carried away for?\Danger\Watch Your Back\Wait, what?\A blindfold!?\What are you doing?!\Pull response:	I need to take you somewhere.
context: What was I getting carried away for?\Danger\Watch Your Back\Wait, what?\A blindfold!?\What are you doing?!\Pull\I need to take you somewhere. response:	Wh-Where?
context: Danger\Watch Your Back\Wait, what?\A blindfold!?\What are you doing?!\Pull\I need to take you somewhere.\Wh-Where? response:	This way.
context: Watch Your Back\Wait, what?\A blindfold!?\What are you doing?!\Pull\I need to take you somewhere.\Wh-Where?\This way. response:	Keep the blindfold on.
context: Wait, what?\A blindfold!?\What are you doing?!\Pull\I need to take you somewhere.\Wh-Where?\This way.\Keep the blindfold on. response:	That's so funny!
context: A blindfold!?\What are you doing?!\Pull\I need to take you somewhere.\Wh-Where?\This way.\Keep the blindfold on.\That's so funny! response:	What the heck?
context: What are you doing?!\Pull\I need to take you somewhere.\Wh-Where?\This way.\Keep the blindfold on.\That's so funny!\What the heck? response:	I guess I should do what she wants. I did do her wrong today, after all.
context: Pull\I need to take you somewhere.\Wh-Where?\This way.\Keep the blindfold on.\That's so funny!\What the heck?\I guess I should do what she wants. I did do her wrong today, after all. response:	Click
context: I need to take you somewhere.\Wh-Where?\This way.\Keep the blindfold on.\That's so funny!\What the heck?\I guess I should do what she wants. I did do her wrong today, after all.\Click response:	What's going on? Where are we?
context: Wh-Where?\This way.\Keep the blindfold on.\That's so funny!\What the heck?\I guess I should do what she wants. I did do her wrong today, after all.\Click\What's going on? Where are we? response:	You can take off the blindfold now.
context: This way.\Keep the blindfold on.\That's so funny!\What the heck?\I guess I should do what she wants. I did do her wrong today, after all.\Click\What's going on? Where are we?\You can take off the blindfold now. response:	Huh?
context: Keep the blindfold on.\That's so funny!\What the heck?\I guess I should do what she wants. I did do her wrong today, after all.\Click\What's going on? Where are we?\You can take off the blindfold now.\Huh? response:	Wh-What?!
context: That's so funny!\What the heck?\I guess I should do what she wants. I did do her wrong today, after all.\Click\What's going on? Where are we?\You can take off the blindfold now.\Huh?\Wh-What?! response:	Now
context: What the heck?\I guess I should do what she wants. I did do her wrong today, after all.\Click\What's going on? Where are we?\You can take off the blindfold now.\Huh?\Wh-What?!\Now response:	You have a new message.
context: I guess I should do what she wants. I did do her wrong today, after all.\Click\What's going on? Where are we?\You can take off the blindfold now.\Huh?\Wh-What?!\Now\You have a new message. response:	Where are you?
context: Click\What's going on? Where are we?\You can take off the blindfold now.\Huh?\Wh-What?!\Now\You have a new message.\Where are you? response:	Mizuhara
context: What's going on? Where are we?\You can take off the blindfold now.\Huh?\Wh-What?!\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: You can take off the blindfold now.\Huh?\Wh-What?!\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: Huh?\Wh-What?!\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: Wh-What?!\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	If you don't hurry up
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up response:	Mizuhara
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara response:	Mizuhara
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara response:	I'll charge you for an extension
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	Emergency
context: Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Emergency response:	Seriously, what is she thinking?!
context: Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Emergency\Seriously, what is she thinking?! response:	Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE
context: And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Emergency\Seriously, what is she thinking?!\Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE response:	A love hotel? There's impulsive, and then there's this!
context: Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Emergency\Seriously, what is she thinking?!\Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE\A love hotel? There's impulsive, and then there's this! response:	This is...
context: Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Emergency\Seriously, what is she thinking?!\Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE\A love hotel? There's impulsive, and then there's this!\This is... response:	This is just...
context: It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Emergency\Seriously, what is she thinking?!\Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE\A love hotel? There's impulsive, and then there's this!\This is...\This is just... response:	Super tempting, honestly!
context: Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Emergency\Seriously, what is she thinking?!\Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE\A love hotel? There's impulsive, and then there's this!\This is...\This is just...\Super tempting, honestly! response:	Kazuya-kun.
context: Emergency\Seriously, what is she thinking?!\Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE\A love hotel? There's impulsive, and then there's this!\This is...\This is just...\Super tempting, honestly!\Kazuya-kun. response:	Imposing
context: Seriously, what is she thinking?!\Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE\A love hotel? There's impulsive, and then there's this!\This is...\This is just...\Super tempting, honestly!\Kazuya-kun.\Imposing response:	Mind giving me an explanation?
context: Notice to Guests In the event that the cover is removed outside of an emergency, the offender will be fined 3,000 yen. HOTEL SMILE\A love hotel? There's impulsive, and then there's this!\This is...\This is just...\Super tempting, honestly!\Kazuya-kun.\Imposing\Mind giving me an explanation? response:	An explanation of what?
context: A love hotel? There's impulsive, and then there's this!\This is...\This is just...\Super tempting, honestly!\Kazuya-kun.\Imposing\Mind giving me an explanation?\An explanation of what? response:	Your relationship with Chizuru-san!
context: This is...\This is just...\Super tempting, honestly!\Kazuya-kun.\Imposing\Mind giving me an explanation?\An explanation of what?\Your relationship with Chizuru-san! response:	You two have gone way past rental girlfriend and client!
context: This is just...\Super tempting, honestly!\Kazuya-kun.\Imposing\Mind giving me an explanation?\An explanation of what?\Your relationship with Chizuru-san!\You two have gone way past rental girlfriend and client! response:	T-True.
