context: They're late. response:	Relax a little, Kei.
context: Yeah, she's gorgeous.\A lovely blue-eyed brunette. Every night she digs her nails into my skin.\Oh, you mean Kuroi.\Finally. There they are.\Let's get to work, then.\You got the cash, mister?\You shitheads are late.\The cops could be by at any minute. response:	The cash. Do you have it? Or not?
context: A lovely blue-eyed brunette. Every night she digs her nails into my skin.\Oh, you mean Kuroi.\Finally. There they are.\Let's get to work, then.\You got the cash, mister?\You shitheads are late.\The cops could be by at any minute.\The cash. Do you have it? Or not? response:	What about you? You got the stuff?
context: Oh, you mean Kuroi.\Finally. There they are.\Let's get to work, then.\You got the cash, mister?\You shitheads are late.\The cops could be by at any minute.\The cash. Do you have it? Or not?\What about you? You got the stuff? response:	It's supposed to be good quality stuff, right? Shipped straight from the source.
context: Finally. There they are.\Let's get to work, then.\You got the cash, mister?\You shitheads are late.\The cops could be by at any minute.\The cash. Do you have it? Or not?\What about you? You got the stuff?\It's supposed to be good quality stuff, right? Shipped straight from the source. response:	Show us the money. Money first.
context: Let's get to work, then.\You got the cash, mister?\You shitheads are late.\The cops could be by at any minute.\The cash. Do you have it? Or not?\What about you? You got the stuff?\It's supposed to be good quality stuff, right? Shipped straight from the source.\Show us the money. Money first. response:	You piece of shit...
context: You got the cash, mister?\You shitheads are late.\The cops could be by at any minute.\The cash. Do you have it? Or not?\What about you? You got the stuff?\It's supposed to be good quality stuff, right? Shipped straight from the source.\Show us the money. Money first.\You piece of shit... response:	Calm down.
context: You shitheads are late.\The cops could be by at any minute.\The cash. Do you have it? Or not?\What about you? You got the stuff?\It's supposed to be good quality stuff, right? Shipped straight from the source.\Show us the money. Money first.\You piece of shit...\Calm down. response:	Look, here it is. Fifty grand in cold, hard cash.
context: The cops could be by at any minute.\The cash. Do you have it? Or not?\What about you? You got the stuff?\It's supposed to be good quality stuff, right? Shipped straight from the source.\Show us the money. Money first.\You piece of shit...\Calm down.\Look, here it is. Fifty grand in cold, hard cash. response:	Now show us the stuff.
context: The cash. Do you have it? Or not?\What about you? You got the stuff?\It's supposed to be good quality stuff, right? Shipped straight from the source.\Show us the money. Money first.\You piece of shit...\Calm down.\Look, here it is. Fifty grand in cold, hard cash.\Now show us the stuff. response:	What do you think, mister?
context: What about you? You got the stuff?\It's supposed to be good quality stuff, right? Shipped straight from the source.\Show us the money. Money first.\You piece of shit...\Calm down.\Look, here it is. Fifty grand in cold, hard cash.\Now show us the stuff.\What do you think, mister? response:	A real fairy.
context: It's supposed to be good quality stuff, right? Shipped straight from the source.\Show us the money. Money first.\You piece of shit...\Calm down.\Look, here it is. Fifty grand in cold, hard cash.\Now show us the stuff.\What do you think, mister?\A real fairy. response:	Yeah, that's good quality, all right.
context: Show us the money. Money first.\You piece of shit...\Calm down.\Look, here it is. Fifty grand in cold, hard cash.\Now show us the stuff.\What do you think, mister?\A real fairy.\Yeah, that's good quality, all right. response:	Right, Kei?
context: You piece of shit...\Calm down.\Look, here it is. Fifty grand in cold, hard cash.\Now show us the stuff.\What do you think, mister?\A real fairy.\Yeah, that's good quality, all right.\Right, Kei? response:	A higher race, huh?
context: Calm down.\Look, here it is. Fifty grand in cold, hard cash.\Now show us the stuff.\What do you think, mister?\A real fairy.\Yeah, that's good quality, all right.\Right, Kei?\A higher race, huh? response:	You could make some really good drugs with this.
context: Look, here it is. Fifty grand in cold, hard cash.\Now show us the stuff.\What do you think, mister?\A real fairy.\Yeah, that's good quality, all right.\Right, Kei?\A higher race, huh?\You could make some really good drugs with this. response:	Where'd you get it?
context: Now show us the stuff.\What do you think, mister?\A real fairy.\Yeah, that's good quality, all right.\Right, Kei?\A higher race, huh?\You could make some really good drugs with this.\Where'd you get it? response:	Afraid that's a trade secret, mister.
context: What do you think, mister?\A real fairy.\Yeah, that's good quality, all right.\Right, Kei?\A higher race, huh?\You could make some really good drugs with this.\Where'd you get it?\Afraid that's a trade secret, mister. response:	Whatever. We'll take it.
context: A real fairy.\Yeah, that's good quality, all right.\Right, Kei?\A higher race, huh?\You could make some really good drugs with this.\Where'd you get it?\Afraid that's a trade secret, mister.\Whatever. We'll take it. response:	-Rick. -Right.
context: Yeah, that's good quality, all right.\Right, Kei?\A higher race, huh?\You could make some really good drugs with this.\Where'd you get it?\Afraid that's a trade secret, mister.\Whatever. We'll take it.\-Rick. -Right. response:	Thanks for the business, mister. Thanks.
context: Right, Kei?\A higher race, huh?\You could make some really good drugs with this.\Where'd you get it?\Afraid that's a trade secret, mister.\Whatever. We'll take it.\-Rick. -Right.\Thanks for the business, mister. Thanks. response:	Pleasure working with you guys. Glad it worked out.
context: A higher race, huh?\You could make some really good drugs with this.\Where'd you get it?\Afraid that's a trade secret, mister.\Whatever. We'll take it.\-Rick. -Right.\Thanks for the business, mister. Thanks.\Pleasure working with you guys. Glad it worked out. response:	I'm happy too. Now we can finally get to the point.
context: You could make some really good drugs with this.\Where'd you get it?\Afraid that's a trade secret, mister.\Whatever. We'll take it.\-Rick. -Right.\Thanks for the business, mister. Thanks.\Pleasure working with you guys. Glad it worked out.\I'm happy too. Now we can finally get to the point. response:	This is the San-Teresa Metropolitan Police.
context: Where'd you get it?\Afraid that's a trade secret, mister.\Whatever. We'll take it.\-Rick. -Right.\Thanks for the business, mister. Thanks.\Pleasure working with you guys. Glad it worked out.\I'm happy too. Now we can finally get to the point.\This is the San-Teresa Metropolitan Police. response:	You're under arrest.
context: Afraid that's a trade secret, mister.\Whatever. We'll take it.\-Rick. -Right.\Thanks for the business, mister. Thanks.\Pleasure working with you guys. Glad it worked out.\I'm happy too. Now we can finally get to the point.\This is the San-Teresa Metropolitan Police.\You're under arrest. response:	You bastards are cops?
context: Whatever. We'll take it.\-Rick. -Right.\Thanks for the business, mister. Thanks.\Pleasure working with you guys. Glad it worked out.\I'm happy too. Now we can finally get to the point.\This is the San-Teresa Metropolitan Police.\You're under arrest.\You bastards are cops? response:	You're under arrest for kidnapping and human trafficking.
context: -Rick. -Right.\Thanks for the business, mister. Thanks.\Pleasure working with you guys. Glad it worked out.\I'm happy too. Now we can finally get to the point.\This is the San-Teresa Metropolitan Police.\You're under arrest.\You bastards are cops?\You're under arrest for kidnapping and human trafficking. response:	This fairy is a Semanian citizen.
context: Thanks for the business, mister. Thanks.\Pleasure working with you guys. Glad it worked out.\I'm happy too. Now we can finally get to the point.\This is the San-Teresa Metropolitan Police.\You're under arrest.\You bastards are cops?\You're under arrest for kidnapping and human trafficking.\This fairy is a Semanian citizen. response:	On your knees, hands above your heads. Get to it.
context: Pleasure working with you guys. Glad it worked out.\I'm happy too. Now we can finally get to the point.\This is the San-Teresa Metropolitan Police.\You're under arrest.\You bastards are cops?\You're under arrest for kidnapping and human trafficking.\This fairy is a Semanian citizen.\On your knees, hands above your heads. Get to it. response:	Damn it! You shithead cops set us up!
context: I'm happy too. Now we can finally get to the point.\This is the San-Teresa Metropolitan Police.\You're under arrest.\You bastards are cops?\You're under arrest for kidnapping and human trafficking.\This fairy is a Semanian citizen.\On your knees, hands above your heads. Get to it.\Damn it! You shithead cops set us up! response:	You've got quite the potty mouth, don't you?
context: This is the San-Teresa Metropolitan Police.\You're under arrest.\You bastards are cops?\You're under arrest for kidnapping and human trafficking.\This fairy is a Semanian citizen.\On your knees, hands above your heads. Get to it.\Damn it! You shithead cops set us up!\You've got quite the potty mouth, don't you? response:	Rick, read'em their rights.
context: You're under arrest.\You bastards are cops?\You're under arrest for kidnapping and human trafficking.\This fairy is a Semanian citizen.\On your knees, hands above your heads. Get to it.\Damn it! You shithead cops set us up!\You've got quite the potty mouth, don't you?\Rick, read'em their rights. response:	You can do the honors, Kei.
context: You bastards are cops?\You're under arrest for kidnapping and human trafficking.\This fairy is a Semanian citizen.\On your knees, hands above your heads. Get to it.\Damn it! You shithead cops set us up!\You've got quite the potty mouth, don't you?\Rick, read'em their rights.\You can do the honors, Kei. response:	Alrighty, here we go.
context: You're under arrest for kidnapping and human trafficking.\This fairy is a Semanian citizen.\On your knees, hands above your heads. Get to it.\Damn it! You shithead cops set us up!\You've got quite the potty mouth, don't you?\Rick, read'em their rights.\You can do the honors, Kei.\Alrighty, here we go. response:	Listen carefully. You have the right to remain silent.
context: This fairy is a Semanian citizen.\On your knees, hands above your heads. Get to it.\Damn it! You shithead cops set us up!\You've got quite the potty mouth, don't you?\Rick, read'em their rights.\You can do the honors, Kei.\Alrighty, here we go.\Listen carefully. You have the right to remain silent. response:	Anything that comes out of that foul mouth of yours
context: On your knees, hands above your heads. Get to it.\Damn it! You shithead cops set us up!\You've got quite the potty mouth, don't you?\Rick, read'em their rights.\You can do the honors, Kei.\Alrighty, here we go.\Listen carefully. You have the right to remain silent.\Anything that comes out of that foul mouth of yours response:	may be used against you in a court of law.
context: Damn it! You shithead cops set us up!\You've got quite the potty mouth, don't you?\Rick, read'em their rights.\You can do the honors, Kei.\Alrighty, here we go.\Listen carefully. You have the right to remain silent.\Anything that comes out of that foul mouth of yours\may be used against you in a court of law. response:	You have the right to a lawyer.
context: You've got quite the potty mouth, don't you?\Rick, read'em their rights.\You can do the honors, Kei.\Alrighty, here we go.\Listen carefully. You have the right to remain silent.\Anything that comes out of that foul mouth of yours\may be used against you in a court of law.\You have the right to a lawyer. response:	If you can't afford to pay one of those meddling shitheads,
context: Rick, read'em their rights.\You can do the honors, Kei.\Alrighty, here we go.\Listen carefully. You have the right to remain silent.\Anything that comes out of that foul mouth of yours\may be used against you in a court of law.\You have the right to a lawyer.\If you can't afford to pay one of those meddling shitheads, response:	you will be provided a public defender.
context: You can do the honors, Kei.\Alrighty, here we go.\Listen carefully. You have the right to remain silent.\Anything that comes out of that foul mouth of yours\may be used against you in a court of law.\You have the right to a lawyer.\If you can't afford to pay one of those meddling shitheads,\you will be provided a public defender. response:	So grateful you could cry, right?
context: Alrighty, here we go.\Listen carefully. You have the right to remain silent.\Anything that comes out of that foul mouth of yours\may be used against you in a court of law.\You have the right to a lawyer.\If you can't afford to pay one of those meddling shitheads,\you will be provided a public defender.\So grateful you could cry, right? response:	Go to hell, pigs!
context: Listen carefully. You have the right to remain silent.\Anything that comes out of that foul mouth of yours\may be used against you in a court of law.\You have the right to a lawyer.\If you can't afford to pay one of those meddling shitheads,\you will be provided a public defender.\So grateful you could cry, right?\Go to hell, pigs! response:	Hey...
context: Anything that comes out of that foul mouth of yours\may be used against you in a court of law.\You have the right to a lawyer.\If you can't afford to pay one of those meddling shitheads,\you will be provided a public defender.\So grateful you could cry, right?\Go to hell, pigs!\Hey... response:	Rick!
context: may be used against you in a court of law.\You have the right to a lawyer.\If you can't afford to pay one of those meddling shitheads,\you will be provided a public defender.\So grateful you could cry, right?\Go to hell, pigs!\Hey...\Rick! response:	You pathetically weak barbarians...
context: You have the right to a lawyer.\If you can't afford to pay one of those meddling shitheads,\you will be provided a public defender.\So grateful you could cry, right?\Go to hell, pigs!\Hey...\Rick!\You pathetically weak barbarians... response:	I'm taking the girl.
context: If you can't afford to pay one of those meddling shitheads,\you will be provided a public defender.\So grateful you could cry, right?\Go to hell, pigs!\Hey...\Rick!\You pathetically weak barbarians...\I'm taking the girl. response:	That's no Earth language... Farbani?
context: you will be provided a public defender.\So grateful you could cry, right?\Go to hell, pigs!\Hey...\Rick!\You pathetically weak barbarians...\I'm taking the girl.\That's no Earth language... Farbani? response:	The fairy was always meant to come to me.
context: So grateful you could cry, right?\Go to hell, pigs!\Hey...\Rick!\You pathetically weak barbarians...\I'm taking the girl.\That's no Earth language... Farbani?\The fairy was always meant to come to me. response:	Shut your damn mouth, alien...
context: Go to hell, pigs!\Hey...\Rick!\You pathetically weak barbarians...\I'm taking the girl.\That's no Earth language... Farbani?\The fairy was always meant to come to me.\Shut your damn mouth, alien... response:	Rick...
context: Hey...\Rick!\You pathetically weak barbarians...\I'm taking the girl.\That's no Earth language... Farbani?\The fairy was always meant to come to me.\Shut your damn mouth, alien...\Rick... response:	Rick!
context: Rick!\You pathetically weak barbarians...\I'm taking the girl.\That's no Earth language... Farbani?\The fairy was always meant to come to me.\Shut your damn mouth, alien...\Rick...\Rick! response:	Damn it all!
context: You pathetically weak barbarians...\I'm taking the girl.\That's no Earth language... Farbani?\The fairy was always meant to come to me.\Shut your damn mouth, alien...\Rick...\Rick!\Damn it all! response:	Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.
context: I'm taking the girl.\That's no Earth language... Farbani?\The fairy was always meant to come to me.\Shut your damn mouth, alien...\Rick...\Rick!\Damn it all!\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific. response:	Beyond the gate lay a strange world filled with fairies and monsters.
context: That's no Earth language... Farbani?\The fairy was always meant to come to me.\Shut your damn mouth, alien...\Rick...\Rick!\Damn it all!\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters. response:	Kariaena Island. The city of San-Teresa.
context: The fairy was always meant to come to me.\Shut your damn mouth, alien...\Rick...\Rick!\Damn it all!\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa. response:	This city is Earth's front door.
context: Shut your damn mouth, alien...\Rick...\Rick!\Damn it all!\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door. response:	Over two million citizens from this other world live here.
context: Rick...\Rick!\Damn it all!\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here. response:	A mixture of different races and diverse cultures, haves and have-nots...
context: Rick!\Damn it all!\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots... response:	The world's newest city of dreams.
context: Damn it all!\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams. response:	But in the shadows of all this chaos lurked countless crimes.
context: Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes. response:	Drugs. Prostitution. Weapons smuggling.
context: Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling. response:	The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.
context: Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes. response:	Matoba, they found the perp's body.
context: This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.\Matoba, they found the perp's body. response:	-No entry! -It was lying on the road in Apple Hills.
context: Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.\Matoba, they found the perp's body.\-No entry! -It was lying on the road in Apple Hills. response:	Apple Hills? That's two miles away.
context: A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.\Matoba, they found the perp's body.\-No entry! -It was lying on the road in Apple Hills.\Apple Hills? That's two miles away. response:	Chief Roth, I got three clean hits with a 9mm.
context: The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.\Matoba, they found the perp's body.\-No entry! -It was lying on the road in Apple Hills.\Apple Hills? That's two miles away.\Chief Roth, I got three clean hits with a 9mm. response:	No way in hell he made it that far.
context: But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.\Matoba, they found the perp's body.\-No entry! -It was lying on the road in Apple Hills.\Apple Hills? That's two miles away.\Chief Roth, I got three clean hits with a 9mm.\No way in hell he made it that far. response:	If he was a normal criminal, no.
context: Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.\Matoba, they found the perp's body.\-No entry! -It was lying on the road in Apple Hills.\Apple Hills? That's two miles away.\Chief Roth, I got three clean hits with a 9mm.\No way in hell he made it that far.\If he was a normal criminal, no. response:	It was one of those goddamn aliens.
context: The San-Teresa Metropolitan Police maintained a special unit to deal with these crimes.\Matoba, they found the perp's body.\-No entry! -It was lying on the road in Apple Hills.\Apple Hills? That's two miles away.\Chief Roth, I got three clean hits with a 9mm.\No way in hell he made it that far.\If he was a normal criminal, no.\It was one of those goddamn aliens. response:	So he was being controlled by a Semanian wizard, you think?
context: Matoba, they found the perp's body.\-No entry! -It was lying on the road in Apple Hills.\Apple Hills? That's two miles away.\Chief Roth, I got three clean hits with a 9mm.\No way in hell he made it that far.\If he was a normal criminal, no.\It was one of those goddamn aliens.\So he was being controlled by a Semanian wizard, you think? response:	The perp was speaking in Farbani. Using vocab from their intellectual class.
context: -No entry! -It was lying on the road in Apple Hills.\Apple Hills? That's two miles away.\Chief Roth, I got three clean hits with a 9mm.\No way in hell he made it that far.\If he was a normal criminal, no.\It was one of those goddamn aliens.\So he was being controlled by a Semanian wizard, you think?\The perp was speaking in Farbani. Using vocab from their intellectual class. response:	He said that fairy was special.
context: Apple Hills? That's two miles away.\Chief Roth, I got three clean hits with a 9mm.\No way in hell he made it that far.\If he was a normal criminal, no.\It was one of those goddamn aliens.\So he was being controlled by a Semanian wizard, you think?\The perp was speaking in Farbani. Using vocab from their intellectual class.\He said that fairy was special. response:	I'll get things in order. Matoba, you get some rest.
context: Chief Roth, I got three clean hits with a 9mm.\No way in hell he made it that far.\If he was a normal criminal, no.\It was one of those goddamn aliens.\So he was being controlled by a Semanian wizard, you think?\The perp was speaking in Farbani. Using vocab from their intellectual class.\He said that fairy was special.\I'll get things in order. Matoba, you get some rest. response:	Not happening.
context: No way in hell he made it that far.\If he was a normal criminal, no.\It was one of those goddamn aliens.\So he was being controlled by a Semanian wizard, you think?\The perp was speaking in Farbani. Using vocab from their intellectual class.\He said that fairy was special.\I'll get things in order. Matoba, you get some rest.\Not happening. response:	My partner of four years was just killed.
context: If he was a normal criminal, no.\It was one of those goddamn aliens.\So he was being controlled by a Semanian wizard, you think?\The perp was speaking in Farbani. Using vocab from their intellectual class.\He said that fairy was special.\I'll get things in order. Matoba, you get some rest.\Not happening.\My partner of four years was just killed. response:	I'm gonna find him and make him pay.
context: It was one of those goddamn aliens.\So he was being controlled by a Semanian wizard, you think?\The perp was speaking in Farbani. Using vocab from their intellectual class.\He said that fairy was special.\I'll get things in order. Matoba, you get some rest.\Not happening.\My partner of four years was just killed.\I'm gonna find him and make him pay. response:	That's an order, Sergeant Matoba.
context: So he was being controlled by a Semanian wizard, you think?\The perp was speaking in Farbani. Using vocab from their intellectual class.\He said that fairy was special.\I'll get things in order. Matoba, you get some rest.\Not happening.\My partner of four years was just killed.\I'm gonna find him and make him pay.\That's an order, Sergeant Matoba. response:	I'm sorry about what happened to Rick.
context: The perp was speaking in Farbani. Using vocab from their intellectual class.\He said that fairy was special.\I'll get things in order. Matoba, you get some rest.\Not happening.\My partner of four years was just killed.\I'm gonna find him and make him pay.\That's an order, Sergeant Matoba.\I'm sorry about what happened to Rick. response:	But that's why you need to get some rest. Got it?
context: He said that fairy was special.\I'll get things in order. Matoba, you get some rest.\Not happening.\My partner of four years was just killed.\I'm gonna find him and make him pay.\That's an order, Sergeant Matoba.\I'm sorry about what happened to Rick.\But that's why you need to get some rest. Got it? response:	What the hell am I supposed to tell his wife?
context: I'll get things in order. Matoba, you get some rest.\Not happening.\My partner of four years was just killed.\I'm gonna find him and make him pay.\That's an order, Sergeant Matoba.\I'm sorry about what happened to Rick.\But that's why you need to get some rest. Got it?\What the hell am I supposed to tell his wife? response:	I'll talk to her.
context: Not happening.\My partner of four years was just killed.\I'm gonna find him and make him pay.\That's an order, Sergeant Matoba.\I'm sorry about what happened to Rick.\But that's why you need to get some rest. Got it?\What the hell am I supposed to tell his wife?\I'll talk to her. response:	No, I'll do it.
context: My partner of four years was just killed.\I'm gonna find him and make him pay.\That's an order, Sergeant Matoba.\I'm sorry about what happened to Rick.\But that's why you need to get some rest. Got it?\What the hell am I supposed to tell his wife?\I'll talk to her.\No, I'll do it. response:	I want your report on my desk by 9:00 AM tomorrow.
context: I'm gonna find him and make him pay.\That's an order, Sergeant Matoba.\I'm sorry about what happened to Rick.\But that's why you need to get some rest. Got it?\What the hell am I supposed to tell his wife?\I'll talk to her.\No, I'll do it.\I want your report on my desk by 9:00 AM tomorrow. response:	Roger.
context: That's an order, Sergeant Matoba.\I'm sorry about what happened to Rick.\But that's why you need to get some rest. Got it?\What the hell am I supposed to tell his wife?\I'll talk to her.\No, I'll do it.\I want your report on my desk by 9:00 AM tomorrow.\Roger. response:	Shit!
context: I'm sorry about what happened to Rick.\But that's why you need to get some rest. Got it?\What the hell am I supposed to tell his wife?\I'll talk to her.\No, I'll do it.\I want your report on my desk by 9:00 AM tomorrow.\Roger.\Shit! response:	Mister, I'll wash your car for you.
context: But that's why you need to get some rest. Got it?\What the hell am I supposed to tell his wife?\I'll talk to her.\No, I'll do it.\I want your report on my desk by 9:00 AM tomorrow.\Roger.\Shit!\Mister, I'll wash your car for you. response:	It doesn't need washing.
context: What the hell am I supposed to tell his wife?\I'll talk to her.\No, I'll do it.\I want your report on my desk by 9:00 AM tomorrow.\Roger.\Shit!\Mister, I'll wash your car for you.\It doesn't need washing. response:	Don't say that.
context: I'll talk to her.\No, I'll do it.\I want your report on my desk by 9:00 AM tomorrow.\Roger.\Shit!\Mister, I'll wash your car for you.\It doesn't need washing.\Don't say that. response:	See?
context: No, I'll do it.\I want your report on my desk by 9:00 AM tomorrow.\Roger.\Shit!\Mister, I'll wash your car for you.\It doesn't need washing.\Don't say that.\See? response:	Three hundred dollars. If you don't pay it, your car might get banged up.
context: I want your report on my desk by 9:00 AM tomorrow.\Roger.\Shit!\Mister, I'll wash your car for you.\It doesn't need washing.\Don't say that.\See?\Three hundred dollars. If you don't pay it, your car might get banged up. response:	Money. Now.
context: Roger.\Shit!\Mister, I'll wash your car for you.\It doesn't need washing.\Don't say that.\See?\Three hundred dollars. If you don't pay it, your car might get banged up.\Money. Now. response:	Scared, doreany?
context: Shit!\Mister, I'll wash your car for you.\It doesn't need washing.\Don't say that.\See?\Three hundred dollars. If you don't pay it, your car might get banged up.\Money. Now.\Scared, doreany? response:	Fine, fine. Calm down.
context: Mister, I'll wash your car for you.\It doesn't need washing.\Don't say that.\See?\Three hundred dollars. If you don't pay it, your car might get banged up.\Money. Now.\Scared, doreany?\Fine, fine. Calm down. response:	Hurry up!
context: It doesn't need washing.\Don't say that.\See?\Three hundred dollars. If you don't pay it, your car might get banged up.\Money. Now.\Scared, doreany?\Fine, fine. Calm down.\Hurry up! response:	Now, where'd I put it?
context: Don't say that.\See?\Three hundred dollars. If you don't pay it, your car might get banged up.\Money. Now.\Scared, doreany?\Fine, fine. Calm down.\Hurry up!\Now, where'd I put it? response:	There we go.
context: See?\Three hundred dollars. If you don't pay it, your car might get banged up.\Money. Now.\Scared, doreany?\Fine, fine. Calm down.\Hurry up!\Now, where'd I put it?\There we go. response:	Here.
context: Three hundred dollars. If you don't pay it, your car might get banged up.\Money. Now.\Scared, doreany?\Fine, fine. Calm down.\Hurry up!\Now, where'd I put it?\There we go.\Here. response:	Pick it up. And appreciate it.
context: Money. Now.\Scared, doreany?\Fine, fine. Calm down.\Hurry up!\Now, where'd I put it?\There we go.\Here.\Pick it up. And appreciate it. response:	You bastard...
context: Scared, doreany?\Fine, fine. Calm down.\Hurry up!\Now, where'd I put it?\There we go.\Here.\Pick it up. And appreciate it.\You bastard... response:	You're Semanians, right?
context: Fine, fine. Calm down.\Hurry up!\Now, where'd I put it?\There we go.\Here.\Pick it up. And appreciate it.\You bastard...\You're Semanians, right? response:	Earth may be weak, but there are scary people here. Remember that.
context: Hurry up!\Now, where'd I put it?\There we go.\Here.\Pick it up. And appreciate it.\You bastard...\You're Semanians, right?\Earth may be weak, but there are scary people here. Remember that. response:	Whatever...
context: Now, where'd I put it?\There we go.\Here.\Pick it up. And appreciate it.\You bastard...\You're Semanians, right?\Earth may be weak, but there are scary people here. Remember that.\Whatever... response:	Yes, sir, you mean.
