context: Zankoku na tenshi no youni Like an angel without a sense of mercy... response:	Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.
context: Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of... response:	Sono senaka niwa...everything that you've got behind you.
context: Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you. response:	Haruka mirai mezasu tameno Your wings are for seeking out...
context: Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out... response:	Hanega arukoto...a new future that only you can search for.
context: Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for. response:	Zankoku na tenshi no thesis The cruel angel's thesis bleeds...
context: Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds... response:	Madobe kara yagate tobitatsu...through a portal like your pulsing blood.
context: Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood. response:	Hotobashiru atsui pathos de If you should betray the chapel of your memories...
context: Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories... response:	Omoide wo uragiru nara...the cruel angel will enter the window of your soul.
context: Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul. response:	Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...
context: Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend... response:	Shonen yo shinwa ni nare. Embrace the universe like a blazing star!
context: Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star! response:	Correct, I have already arranged it with the committee.
context: Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\Correct, I have already arranged it with the committee. response:	The cargo left from Sasebo Port yesterday,
context: Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\Correct, I have already arranged it with the committee.\The cargo left from Sasebo Port yesterday, response:	and is now making its way here across the Pacific ocean.
context: Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\Correct, I have already arranged it with the committee.\The cargo left from Sasebo Port yesterday,\and is now making its way here across the Pacific ocean. response:	A MIG-55 D transport helicopter!
context: Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\Correct, I have already arranged it with the committee.\The cargo left from Sasebo Port yesterday,\and is now making its way here across the Pacific ocean.\A MIG-55 D transport helicopter! response:	I'd never have believed I'd get chance to fly in one.
context: Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\Correct, I have already arranged it with the committee.\The cargo left from Sasebo Port yesterday,\and is now making its way here across the Pacific ocean.\A MIG-55 D transport helicopter!\I'd never have believed I'd get chance to fly in one. response:	Thank God I have a buddy like you, Shinji!
context: Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\Correct, I have already arranged it with the committee.\The cargo left from Sasebo Port yesterday,\and is now making its way here across the Pacific ocean.\A MIG-55 D transport helicopter!\I'd never have believed I'd get chance to fly in one.\Thank God I have a buddy like you, Shinji! response:	I thought you guys must be sick of being cramped up,
context: Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\Correct, I have already arranged it with the committee.\The cargo left from Sasebo Port yesterday,\and is now making its way here across the Pacific ocean.\A MIG-55 D transport helicopter!\I'd never have believed I'd get chance to fly in one.\Thank God I have a buddy like you, Shinji!\I thought you guys must be sick of being cramped up, response:	so I just invited you on a date!
context: Correct, I have already arranged it with the committee.\The cargo left from Sasebo Port yesterday,\and is now making its way here across the Pacific ocean.\A MIG-55 D transport helicopter!\I'd never have believed I'd get chance to fly in one.\Thank God I have a buddy like you, Shinji!\I thought you guys must be sick of being cramped up,\so I just invited you on a date! response:	What?! Today is really a date?
context: The cargo left from Sasebo Port yesterday,\and is now making its way here across the Pacific ocean.\A MIG-55 D transport helicopter!\I'd never have believed I'd get chance to fly in one.\Thank God I have a buddy like you, Shinji!\I thought you guys must be sick of being cramped up,\so I just invited you on a date!\What?! Today is really a date? response:	I bought this cap for today, Misato!
context: and is now making its way here across the Pacific ocean.\A MIG-55 D transport helicopter!\I'd never have believed I'd get chance to fly in one.\Thank God I have a buddy like you, Shinji!\I thought you guys must be sick of being cramped up,\so I just invited you on a date!\What?! Today is really a date?\I bought this cap for today, Misato! response:	Where are we headed?
context: A MIG-55 D transport helicopter!\I'd never have believed I'd get chance to fly in one.\Thank God I have a buddy like you, Shinji!\I thought you guys must be sick of being cramped up,\so I just invited you on a date!\What?! Today is really a date?\I bought this cap for today, Misato!\Where are we headed? response:	We'll take a little jaunt across the Pacific on that gorgeous cruiser.
context: I'd never have believed I'd get chance to fly in one.\Thank God I have a buddy like you, Shinji!\I thought you guys must be sick of being cramped up,\so I just invited you on a date!\What?! Today is really a date?\I bought this cap for today, Misato!\Where are we headed?\We'll take a little jaunt across the Pacific on that gorgeous cruiser. response:	Wow! Five aircraft carriers and four battleships! What a fleet!
context: Thank God I have a buddy like you, Shinji!\I thought you guys must be sick of being cramped up,\so I just invited you on a date!\What?! Today is really a date?\I bought this cap for today, Misato!\Where are we headed?\We'll take a little jaunt across the Pacific on that gorgeous cruiser.\Wow! Five aircraft carriers and four battleships! What a fleet! response:	I'm absolutely sure the best thing in life is having a great buddy!
context: I thought you guys must be sick of being cramped up,\so I just invited you on a date!\What?! Today is really a date?\I bought this cap for today, Misato!\Where are we headed?\We'll take a little jaunt across the Pacific on that gorgeous cruiser.\Wow! Five aircraft carriers and four battleships! What a fleet!\I'm absolutely sure the best thing in life is having a great buddy! response:	That's your gorgeous cruiser?
context: so I just invited you on a date!\What?! Today is really a date?\I bought this cap for today, Misato!\Where are we headed?\We'll take a little jaunt across the Pacific on that gorgeous cruiser.\Wow! Five aircraft carriers and four battleships! What a fleet!\I'm absolutely sure the best thing in life is having a great buddy!\That's your gorgeous cruiser? response:	Yeah, she sure is gorgeous!
context: What?! Today is really a date?\I bought this cap for today, Misato!\Where are we headed?\We'll take a little jaunt across the Pacific on that gorgeous cruiser.\Wow! Five aircraft carriers and four battleships! What a fleet!\I'm absolutely sure the best thing in life is having a great buddy!\That's your gorgeous cruiser?\Yeah, she sure is gorgeous! response:	That's the pride of the U.N., the glorious regular carrier
context: I bought this cap for today, Misato!\Where are we headed?\We'll take a little jaunt across the Pacific on that gorgeous cruiser.\Wow! Five aircraft carriers and four battleships! What a fleet!\I'm absolutely sure the best thing in life is having a great buddy!\That's your gorgeous cruiser?\Yeah, she sure is gorgeous!\That's the pride of the U.N., the glorious regular carrier response:	Over the Rainbow!
context: Where are we headed?\We'll take a little jaunt across the Pacific on that gorgeous cruiser.\Wow! Five aircraft carriers and four battleships! What a fleet!\I'm absolutely sure the best thing in life is having a great buddy!\That's your gorgeous cruiser?\Yeah, she sure is gorgeous!\That's the pride of the U.N., the glorious regular carrier\Over the Rainbow! response:	It's huge.
context: We'll take a little jaunt across the Pacific on that gorgeous cruiser.\Wow! Five aircraft carriers and four battleships! What a fleet!\I'm absolutely sure the best thing in life is having a great buddy!\That's your gorgeous cruiser?\Yeah, she sure is gorgeous!\That's the pride of the U.N., the glorious regular carrier\Over the Rainbow!\It's huge. response:	I'm surprised that such a relic is still afloat.
context: Wow! Five aircraft carriers and four battleships! What a fleet!\I'm absolutely sure the best thing in life is having a great buddy!\That's your gorgeous cruiser?\Yeah, she sure is gorgeous!\That's the pride of the U.N., the glorious regular carrier\Over the Rainbow!\It's huge.\I'm surprised that such a relic is still afloat. response:	Naw, it's not so bad.
context: I'm absolutely sure the best thing in life is having a great buddy!\That's your gorgeous cruiser?\Yeah, she sure is gorgeous!\That's the pride of the U.N., the glorious regular carrier\Over the Rainbow!\It's huge.\I'm surprised that such a relic is still afloat.\Naw, it's not so bad. response:	It's a vintage model from just before the Second Impact.
context: That's your gorgeous cruiser?\Yeah, she sure is gorgeous!\That's the pride of the U.N., the glorious regular carrier\Over the Rainbow!\It's huge.\I'm surprised that such a relic is still afloat.\Naw, it's not so bad.\It's a vintage model from just before the Second Impact. response:	Damn, give me a break!
context: Yeah, she sure is gorgeous!\That's the pride of the U.N., the glorious regular carrier\Over the Rainbow!\It's huge.\I'm surprised that such a relic is still afloat.\Naw, it's not so bad.\It's a vintage model from just before the Second Impact.\Damn, give me a break! response:	That shrew's gone and brought a socket for that kid's toy,
context: That's the pride of the U.N., the glorious regular carrier\Over the Rainbow!\It's huge.\I'm surprised that such a relic is still afloat.\Naw, it's not so bad.\It's a vintage model from just before the Second Impact.\Damn, give me a break!\That shrew's gone and brought a socket for that kid's toy, response:	so the little gophers can run amuck!
context: Over the Rainbow!\It's huge.\I'm surprised that such a relic is still afloat.\Naw, it's not so bad.\It's a vintage model from just before the Second Impact.\Damn, give me a break!\That shrew's gone and brought a socket for that kid's toy,\so the little gophers can run amuck! response:	Oh! Cool! Awesome!
context: It's huge.\I'm surprised that such a relic is still afloat.\Naw, it's not so bad.\It's a vintage model from just before the Second Impact.\Damn, give me a break!\That shrew's gone and brought a socket for that kid's toy,\so the little gophers can run amuck!\Oh! Cool! Awesome! response:	Cool! Incredible!
context: I'm surprised that such a relic is still afloat.\Naw, it's not so bad.\It's a vintage model from just before the Second Impact.\Damn, give me a break!\That shrew's gone and brought a socket for that kid's toy,\so the little gophers can run amuck!\Oh! Cool! Awesome!\Cool! Incredible! response:	Cool! Mega-cool! Wow!
context: Naw, it's not so bad.\It's a vintage model from just before the Second Impact.\Damn, give me a break!\That shrew's gone and brought a socket for that kid's toy,\so the little gophers can run amuck!\Oh! Cool! Awesome!\Cool! Incredible!\Cool! Mega-cool! Wow! response:	This is way too cool!
context: It's a vintage model from just before the Second Impact.\Damn, give me a break!\That shrew's gone and brought a socket for that kid's toy,\so the little gophers can run amuck!\Oh! Cool! Awesome!\Cool! Incredible!\Cool! Mega-cool! Wow!\This is way too cool! response:	This kind of thing brings a tear to the heart of a real man!
context: Damn, give me a break!\That shrew's gone and brought a socket for that kid's toy,\so the little gophers can run amuck!\Oh! Cool! Awesome!\Cool! Incredible!\Cool! Mega-cool! Wow!\This is way too cool!\This kind of thing brings a tear to the heart of a real man! response:	Cool! Awesome! Neat! Wow! Wow!
context: That shrew's gone and brought a socket for that kid's toy,\so the little gophers can run amuck!\Oh! Cool! Awesome!\Cool! Incredible!\Cool! Mega-cool! Wow!\This is way too cool!\This kind of thing brings a tear to the heart of a real man!\Cool! Awesome! Neat! Wow! Wow! response:	Hey, wait! Wait!
context: so the little gophers can run amuck!\Oh! Cool! Awesome!\Cool! Incredible!\Cool! Mega-cool! Wow!\This is way too cool!\This kind of thing brings a tear to the heart of a real man!\Cool! Awesome! Neat! Wow! Wow!\Hey, wait! Wait! response:	Damn it!
context: Oh! Cool! Awesome!\Cool! Incredible!\Cool! Mega-cool! Wow!\This is way too cool!\This kind of thing brings a tear to the heart of a real man!\Cool! Awesome! Neat! Wow! Wow!\Hey, wait! Wait!\Damn it! response:	Stop! Stop, now!
context: Cool! Incredible!\Cool! Mega-cool! Wow!\This is way too cool!\This kind of thing brings a tear to the heart of a real man!\Cool! Awesome! Neat! Wow! Wow!\Hey, wait! Wait!\Damn it!\Stop! Stop, now! response:	Hello, Misato.
context: Cool! Mega-cool! Wow!\This is way too cool!\This kind of thing brings a tear to the heart of a real man!\Cool! Awesome! Neat! Wow! Wow!\Hey, wait! Wait!\Damn it!\Stop! Stop, now!\Hello, Misato. response:	How have you been?
context: This is way too cool!\This kind of thing brings a tear to the heart of a real man!\Cool! Awesome! Neat! Wow! Wow!\Hey, wait! Wait!\Damn it!\Stop! Stop, now!\Hello, Misato.\How have you been? response:	Fine. How'bout you? You've grown some, haven't you?
context: This kind of thing brings a tear to the heart of a real man!\Cool! Awesome! Neat! Wow! Wow!\Hey, wait! Wait!\Damn it!\Stop! Stop, now!\Hello, Misato.\How have you been?\Fine. How'bout you? You've grown some, haven't you? response:	And how!
context: Cool! Awesome! Neat! Wow! Wow!\Hey, wait! Wait!\Damn it!\Stop! Stop, now!\Hello, Misato.\How have you been?\Fine. How'bout you? You've grown some, haven't you?\And how! response:	I'm not just taller, my figure's filled out as well.
context: Hey, wait! Wait!\Damn it!\Stop! Stop, now!\Hello, Misato.\How have you been?\Fine. How'bout you? You've grown some, haven't you?\And how!\I'm not just taller, my figure's filled out as well. response:	Let me introduce you.
context: Damn it!\Stop! Stop, now!\Hello, Misato.\How have you been?\Fine. How'bout you? You've grown some, haven't you?\And how!\I'm not just taller, my figure's filled out as well.\Let me introduce you. response:	This is the pilot of Evangelion Unit 02, the Second Child,
context: Stop! Stop, now!\Hello, Misato.\How have you been?\Fine. How'bout you? You've grown some, haven't you?\And how!\I'm not just taller, my figure's filled out as well.\Let me introduce you.\This is the pilot of Evangelion Unit 02, the Second Child, response:	Asuka Langley Sohryu.
context: Hello, Misato.\How have you been?\Fine. How'bout you? You've grown some, haven't you?\And how!\I'm not just taller, my figure's filled out as well.\Let me introduce you.\This is the pilot of Evangelion Unit 02, the Second Child,\Asuka Langley Sohryu. response:	What did you do that for?!
context: How have you been?\Fine. How'bout you? You've grown some, haven't you?\And how!\I'm not just taller, my figure's filled out as well.\Let me introduce you.\This is the pilot of Evangelion Unit 02, the Second Child,\Asuka Langley Sohryu.\What did you do that for?! response:	That's the viewing fee. Quite a bargain, don't you think?
context: Fine. How'bout you? You've grown some, haven't you?\And how!\I'm not just taller, my figure's filled out as well.\Let me introduce you.\This is the pilot of Evangelion Unit 02, the Second Child,\Asuka Langley Sohryu.\What did you do that for?!\That's the viewing fee. Quite a bargain, don't you think? response:	What? You think it's worth that?! Here, take a look at mine!
context: And how!\I'm not just taller, my figure's filled out as well.\Let me introduce you.\This is the pilot of Evangelion Unit 02, the Second Child,\Asuka Langley Sohryu.\What did you do that for?!\That's the viewing fee. Quite a bargain, don't you think?\What? You think it's worth that?! Here, take a look at mine! response:	You insolent dork!
context: I'm not just taller, my figure's filled out as well.\Let me introduce you.\This is the pilot of Evangelion Unit 02, the Second Child,\Asuka Langley Sohryu.\What did you do that for?!\That's the viewing fee. Quite a bargain, don't you think?\What? You think it's worth that?! Here, take a look at mine!\You insolent dork! response:	So, which one is the famous Third Child?
context: Let me introduce you.\This is the pilot of Evangelion Unit 02, the Second Child,\Asuka Langley Sohryu.\What did you do that for?!\That's the viewing fee. Quite a bargain, don't you think?\What? You think it's worth that?! Here, take a look at mine!\You insolent dork!\So, which one is the famous Third Child? response:	Don't tell me it's him.
context: This is the pilot of Evangelion Unit 02, the Second Child,\Asuka Langley Sohryu.\What did you do that for?!\That's the viewing fee. Quite a bargain, don't you think?\What? You think it's worth that?! Here, take a look at mine!\You insolent dork!\So, which one is the famous Third Child?\Don't tell me it's him. response:	Don't worry, here he is.
context: Asuka Langley Sohryu.\What did you do that for?!\That's the viewing fee. Quite a bargain, don't you think?\What? You think it's worth that?! Here, take a look at mine!\You insolent dork!\So, which one is the famous Third Child?\Don't tell me it's him.\Don't worry, here he is. response:	Well, he looks kind of dull.
context: What did you do that for?!\That's the viewing fee. Quite a bargain, don't you think?\What? You think it's worth that?! Here, take a look at mine!\You insolent dork!\So, which one is the famous Third Child?\Don't tell me it's him.\Don't worry, here he is.\Well, he looks kind of dull. response:	I thought you were the leader of this gang of Boy Scouts,
context: That's the viewing fee. Quite a bargain, don't you think?\What? You think it's worth that?! Here, take a look at mine!\You insolent dork!\So, which one is the famous Third Child?\Don't tell me it's him.\Don't worry, here he is.\Well, he looks kind of dull.\I thought you were the leader of this gang of Boy Scouts, response:	but I was obviously mistaken.
context: What? You think it's worth that?! Here, take a look at mine!\You insolent dork!\So, which one is the famous Third Child?\Don't tell me it's him.\Don't worry, here he is.\Well, he looks kind of dull.\I thought you were the leader of this gang of Boy Scouts,\but I was obviously mistaken. response:	Thank you for your understanding, Captain.
context: You insolent dork!\So, which one is the famous Third Child?\Don't tell me it's him.\Don't worry, here he is.\Well, he looks kind of dull.\I thought you were the leader of this gang of Boy Scouts,\but I was obviously mistaken.\Thank you for your understanding, Captain. response:	Oh no, thank you for giving me the opportunity to baby-sit more kids.
context: So, which one is the famous Third Child?\Don't tell me it's him.\Don't worry, here he is.\Well, he looks kind of dull.\I thought you were the leader of this gang of Boy Scouts,\but I was obviously mistaken.\Thank you for your understanding, Captain.\Oh no, thank you for giving me the opportunity to baby-sit more kids. response:	We appreciate your assistance in the marine transport of Unit 02.
context: Don't tell me it's him.\Don't worry, here he is.\Well, he looks kind of dull.\I thought you were the leader of this gang of Boy Scouts,\but I was obviously mistaken.\Thank you for your understanding, Captain.\Oh no, thank you for giving me the opportunity to baby-sit more kids.\We appreciate your assistance in the marine transport of Unit 02. response:	Here are the specs for the emergency power supply socket.
context: Don't worry, here he is.\Well, he looks kind of dull.\I thought you were the leader of this gang of Boy Scouts,\but I was obviously mistaken.\Thank you for your understanding, Captain.\Oh no, thank you for giving me the opportunity to baby-sit more kids.\We appreciate your assistance in the marine transport of Unit 02.\Here are the specs for the emergency power supply socket. response:	In the first place, I'd never approve any request
context: Well, he looks kind of dull.\I thought you were the leader of this gang of Boy Scouts,\but I was obviously mistaken.\Thank you for your understanding, Captain.\Oh no, thank you for giving me the opportunity to baby-sit more kids.\We appreciate your assistance in the marine transport of Unit 02.\Here are the specs for the emergency power supply socket.\In the first place, I'd never approve any request response:	to activate that toy while at sea.
context: I thought you were the leader of this gang of Boy Scouts,\but I was obviously mistaken.\Thank you for your understanding, Captain.\Oh no, thank you for giving me the opportunity to baby-sit more kids.\We appreciate your assistance in the marine transport of Unit 02.\Here are the specs for the emergency power supply socket.\In the first place, I'd never approve any request\to activate that toy while at sea. response:	Why don't you just think of this as being prepared for an emergency?
context: but I was obviously mistaken.\Thank you for your understanding, Captain.\Oh no, thank you for giving me the opportunity to baby-sit more kids.\We appreciate your assistance in the marine transport of Unit 02.\Here are the specs for the emergency power supply socket.\In the first place, I'd never approve any request\to activate that toy while at sea.\Why don't you just think of this as being prepared for an emergency? response:	That's why the Pacific Fleet is guarding it.
context: Thank you for your understanding, Captain.\Oh no, thank you for giving me the opportunity to baby-sit more kids.\We appreciate your assistance in the marine transport of Unit 02.\Here are the specs for the emergency power supply socket.\In the first place, I'd never approve any request\to activate that toy while at sea.\Why don't you just think of this as being prepared for an emergency?\That's why the Pacific Fleet is guarding it. response:	When did the U.N. transform us into a bloody cargo service?
context: Oh no, thank you for giving me the opportunity to baby-sit more kids.\We appreciate your assistance in the marine transport of Unit 02.\Here are the specs for the emergency power supply socket.\In the first place, I'd never approve any request\to activate that toy while at sea.\Why don't you just think of this as being prepared for an emergency?\That's why the Pacific Fleet is guarding it.\When did the U.N. transform us into a bloody cargo service? response:	It was just after a certain organization was established.
context: We appreciate your assistance in the marine transport of Unit 02.\Here are the specs for the emergency power supply socket.\In the first place, I'd never approve any request\to activate that toy while at sea.\Why don't you just think of this as being prepared for an emergency?\That's why the Pacific Fleet is guarding it.\When did the U.N. transform us into a bloody cargo service?\It was just after a certain organization was established. response:	Guarding a toy! What a grandiose assignment for the Pacific Fleet!
context: Here are the specs for the emergency power supply socket.\In the first place, I'd never approve any request\to activate that toy while at sea.\Why don't you just think of this as being prepared for an emergency?\That's why the Pacific Fleet is guarding it.\When did the U.N. transform us into a bloody cargo service?\It was just after a certain organization was established.\Guarding a toy! What a grandiose assignment for the Pacific Fleet! response:	It's still not enough considering the importance of the Eva.
context: In the first place, I'd never approve any request\to activate that toy while at sea.\Why don't you just think of this as being prepared for an emergency?\That's why the Pacific Fleet is guarding it.\When did the U.N. transform us into a bloody cargo service?\It was just after a certain organization was established.\Guarding a toy! What a grandiose assignment for the Pacific Fleet!\It's still not enough considering the importance of the Eva. response:	Would you sign this document?
