context: Hot Summer Day response:	Spirits of the Dead
context: All you have to do is invite him on a trip. You can't tell me that's hard.\I can do it.\Very good. Always cherish your friends.\Stupid Gai. He doesn't understand my feelings at all.\Whoa! This place is so fancy!\What do your folks do for a living, Ouma?\Er...\What's with this mansion? response:	Gai said the Kuhouin Group arranged it for us.
context: I can do it.\Very good. Always cherish your friends.\Stupid Gai. He doesn't understand my feelings at all.\Whoa! This place is so fancy!\What do your folks do for a living, Ouma?\Er...\What's with this mansion?\Gai said the Kuhouin Group arranged it for us. response:	There you two go getting affectionate again.
context: Very good. Always cherish your friends.\Stupid Gai. He doesn't understand my feelings at all.\Whoa! This place is so fancy!\What do your folks do for a living, Ouma?\Er...\What's with this mansion?\Gai said the Kuhouin Group arranged it for us.\There you two go getting affectionate again. response:	Save it for when you're at home, okay?
context: Stupid Gai. He doesn't understand my feelings at all.\Whoa! This place is so fancy!\What do your folks do for a living, Ouma?\Er...\What's with this mansion?\Gai said the Kuhouin Group arranged it for us.\There you two go getting affectionate again.\Save it for when you're at home, okay? response:	Wh-Where did that come from?
context: Whoa! This place is so fancy!\What do your folks do for a living, Ouma?\Er...\What's with this mansion?\Gai said the Kuhouin Group arranged it for us.\There you two go getting affectionate again.\Save it for when you're at home, okay?\Wh-Where did that come from? response:	You do live together, don't you?
context: What do your folks do for a living, Ouma?\Er...\What's with this mansion?\Gai said the Kuhouin Group arranged it for us.\There you two go getting affectionate again.\Save it for when you're at home, okay?\Wh-Where did that come from?\You do live together, don't you? response:	Huh? What do you mean?
context: Er...\What's with this mansion?\Gai said the Kuhouin Group arranged it for us.\There you two go getting affectionate again.\Save it for when you're at home, okay?\Wh-Where did that come from?\You do live together, don't you?\Huh? What do you mean? response:	I caught'em in the act! They were going home together.
context: What's with this mansion?\Gai said the Kuhouin Group arranged it for us.\There you two go getting affectionate again.\Save it for when you're at home, okay?\Wh-Where did that come from?\You do live together, don't you?\Huh? What do you mean?\I caught'em in the act! They were going home together. response:	Let's ask the couple. How did your romance begin?
context: Gai said the Kuhouin Group arranged it for us.\There you two go getting affectionate again.\Save it for when you're at home, okay?\Wh-Where did that come from?\You do live together, don't you?\Huh? What do you mean?\I caught'em in the act! They were going home together.\Let's ask the couple. How did your romance begin? response:	Come on, stop it! There's nothing between Inori and me.
context: There you two go getting affectionate again.\Save it for when you're at home, okay?\Wh-Where did that come from?\You do live together, don't you?\Huh? What do you mean?\I caught'em in the act! They were going home together.\Let's ask the couple. How did your romance begin?\Come on, stop it! There's nothing between Inori and me. response:	She's got a violent older brother, and I happened to know her, so...
context: Save it for when you're at home, okay?\Wh-Where did that come from?\You do live together, don't you?\Huh? What do you mean?\I caught'em in the act! They were going home together.\Let's ask the couple. How did your romance begin?\Come on, stop it! There's nothing between Inori and me.\She's got a violent older brother, and I happened to know her, so... response:	Yeah, yeah. We don't need to hear excuses!
context: Wh-Where did that come from?\You do live together, don't you?\Huh? What do you mean?\I caught'em in the act! They were going home together.\Let's ask the couple. How did your romance begin?\Come on, stop it! There's nothing between Inori and me.\She's got a violent older brother, and I happened to know her, so...\Yeah, yeah. We don't need to hear excuses! response:	Let's leave the lovebirds alone and go hit the beach! Beach time!
context: You do live together, don't you?\Huh? What do you mean?\I caught'em in the act! They were going home together.\Let's ask the couple. How did your romance begin?\Come on, stop it! There's nothing between Inori and me.\She's got a violent older brother, and I happened to know her, so...\Yeah, yeah. We don't need to hear excuses!\Let's leave the lovebirds alone and go hit the beach! Beach time! response:	Wait, shouldn't we unpack and
context: Huh? What do you mean?\I caught'em in the act! They were going home together.\Let's ask the couple. How did your romance begin?\Come on, stop it! There's nothing between Inori and me.\She's got a violent older brother, and I happened to know her, so...\Yeah, yeah. We don't need to hear excuses!\Let's leave the lovebirds alone and go hit the beach! Beach time!\Wait, shouldn't we unpack and response:	That can wait!
context: I caught'em in the act! They were going home together.\Let's ask the couple. How did your romance begin?\Come on, stop it! There's nothing between Inori and me.\She's got a violent older brother, and I happened to know her, so...\Yeah, yeah. We don't need to hear excuses!\Let's leave the lovebirds alone and go hit the beach! Beach time!\Wait, shouldn't we unpack and\That can wait! response:	We're at a resort, guys! We gotta have all the fun we can!
context: Let's ask the couple. How did your romance begin?\Come on, stop it! There's nothing between Inori and me.\She's got a violent older brother, and I happened to know her, so...\Yeah, yeah. We don't need to hear excuses!\Let's leave the lovebirds alone and go hit the beach! Beach time!\Wait, shouldn't we unpack and\That can wait!\We're at a resort, guys! We gotta have all the fun we can! response:	Tamadate!
context: Come on, stop it! There's nothing between Inori and me.\She's got a violent older brother, and I happened to know her, so...\Yeah, yeah. We don't need to hear excuses!\Let's leave the lovebirds alone and go hit the beach! Beach time!\Wait, shouldn't we unpack and\That can wait!\We're at a resort, guys! We gotta have all the fun we can!\Tamadate! response:	We're at the beach! Woo-hoo!
context: She's got a violent older brother, and I happened to know her, so...\Yeah, yeah. We don't need to hear excuses!\Let's leave the lovebirds alone and go hit the beach! Beach time!\Wait, shouldn't we unpack and\That can wait!\We're at a resort, guys! We gotta have all the fun we can!\Tamadate!\We're at the beach! Woo-hoo! response:	Hurry up, everybody!
context: Yeah, yeah. We don't need to hear excuses!\Let's leave the lovebirds alone and go hit the beach! Beach time!\Wait, shouldn't we unpack and\That can wait!\We're at a resort, guys! We gotta have all the fun we can!\Tamadate!\We're at the beach! Woo-hoo!\Hurry up, everybody! response:	Jeez, he's so pushy!
context: Let's leave the lovebirds alone and go hit the beach! Beach time!\Wait, shouldn't we unpack and\That can wait!\We're at a resort, guys! We gotta have all the fun we can!\Tamadate!\We're at the beach! Woo-hoo!\Hurry up, everybody!\Jeez, he's so pushy! response:	He's just being himself.
context: Wait, shouldn't we unpack and\That can wait!\We're at a resort, guys! We gotta have all the fun we can!\Tamadate!\We're at the beach! Woo-hoo!\Hurry up, everybody!\Jeez, he's so pushy!\He's just being himself. response:	Sheesh...
context: That can wait!\We're at a resort, guys! We gotta have all the fun we can!\Tamadate!\We're at the beach! Woo-hoo!\Hurry up, everybody!\Jeez, he's so pushy!\He's just being himself.\Sheesh... response:	I have a hard time dealing with Souta.
context: We're at a resort, guys! We gotta have all the fun we can!\Tamadate!\We're at the beach! Woo-hoo!\Hurry up, everybody!\Jeez, he's so pushy!\He's just being himself.\Sheesh...\I have a hard time dealing with Souta. response:	He's pushy, he has no tact, and he's oblivious to everyone around him...
context: Tamadate!\We're at the beach! Woo-hoo!\Hurry up, everybody!\Jeez, he's so pushy!\He's just being himself.\Sheesh...\I have a hard time dealing with Souta.\He's pushy, he has no tact, and he's oblivious to everyone around him... response:	If it weren't for this mission, I'd never go on a trip with him...
context: We're at the beach! Woo-hoo!\Hurry up, everybody!\Jeez, he's so pushy!\He's just being himself.\Sheesh...\I have a hard time dealing with Souta.\He's pushy, he has no tact, and he's oblivious to everyone around him...\If it weren't for this mission, I'd never go on a trip with him... response:	A trip...
context: Hurry up, everybody!\Jeez, he's so pushy!\He's just being himself.\Sheesh...\I have a hard time dealing with Souta.\He's pushy, he has no tact, and he's oblivious to everyone around him...\If it weren't for this mission, I'd never go on a trip with him...\A trip... response:	I let my guard down, didn't I?
context: Jeez, he's so pushy!\He's just being himself.\Sheesh...\I have a hard time dealing with Souta.\He's pushy, he has no tact, and he's oblivious to everyone around him...\If it weren't for this mission, I'd never go on a trip with him...\A trip...\I let my guard down, didn't I? response:	You can do it, Hare!
context: He's just being himself.\Sheesh...\I have a hard time dealing with Souta.\He's pushy, he has no tact, and he's oblivious to everyone around him...\If it weren't for this mission, I'd never go on a trip with him...\A trip...\I let my guard down, didn't I?\You can do it, Hare! response:	Hey, Shu!
context: Sheesh...\I have a hard time dealing with Souta.\He's pushy, he has no tact, and he's oblivious to everyone around him...\If it weren't for this mission, I'd never go on a trip with him...\A trip...\I let my guard down, didn't I?\You can do it, Hare!\Hey, Shu! response:	Let's go swim with them!
context: I have a hard time dealing with Souta.\He's pushy, he has no tact, and he's oblivious to everyone around him...\If it weren't for this mission, I'd never go on a trip with him...\A trip...\I let my guard down, didn't I?\You can do it, Hare!\Hey, Shu!\Let's go swim with them! response:	Uh.. um...
context: He's pushy, he has no tact, and he's oblivious to everyone around him...\If it weren't for this mission, I'd never go on a trip with him...\A trip...\I let my guard down, didn't I?\You can do it, Hare!\Hey, Shu!\Let's go swim with them!\Uh.. um... response:	Hurry up!
context: If it weren't for this mission, I'd never go on a trip with him...\A trip...\I let my guard down, didn't I?\You can do it, Hare!\Hey, Shu!\Let's go swim with them!\Uh.. um...\Hurry up! response:	Hey...
context: A trip...\I let my guard down, didn't I?\You can do it, Hare!\Hey, Shu!\Let's go swim with them!\Uh.. um...\Hurry up!\Hey... response:	Hare!
context: I let my guard down, didn't I?\You can do it, Hare!\Hey, Shu!\Let's go swim with them!\Uh.. um...\Hurry up!\Hey...\Hare! response:	Hey, wait!
context: You can do it, Hare!\Hey, Shu!\Let's go swim with them!\Uh.. um...\Hurry up!\Hey...\Hare!\Hey, wait! response:	It seems Tamadate Souta made it here without issue.
context: Hey, Shu!\Let's go swim with them!\Uh.. um...\Hurry up!\Hey...\Hare!\Hey, wait!\It seems Tamadate Souta made it here without issue. response:	He's having way too much fun for someone on a mission!
context: Let's go swim with them!\Uh.. um...\Hurry up!\Hey...\Hare!\Hey, wait!\It seems Tamadate Souta made it here without issue.\He's having way too much fun for someone on a mission! response:	Should we really be lettin' them goof off?
context: Uh.. um...\Hurry up!\Hey...\Hare!\Hey, wait!\It seems Tamadate Souta made it here without issue.\He's having way too much fun for someone on a mission!\Should we really be lettin' them goof off? response:	Everything is going well so far. The issue here is the facility's security.
context: Hurry up!\Hey...\Hare!\Hey, wait!\It seems Tamadate Souta made it here without issue.\He's having way too much fun for someone on a mission!\Should we really be lettin' them goof off?\Everything is going well so far. The issue here is the facility's security. response:	Tsugumi and Ayase are looking into that now.
context: Hey...\Hare!\Hey, wait!\It seems Tamadate Souta made it here without issue.\He's having way too much fun for someone on a mission!\Should we really be lettin' them goof off?\Everything is going well so far. The issue here is the facility's security.\Tsugumi and Ayase are looking into that now. response:	So we're just on standby for a while, huh?
context: Hare!\Hey, wait!\It seems Tamadate Souta made it here without issue.\He's having way too much fun for someone on a mission!\Should we really be lettin' them goof off?\Everything is going well so far. The issue here is the facility's security.\Tsugumi and Ayase are looking into that now.\So we're just on standby for a while, huh? response:	But what the hell could be on this island, anyway?
context: Hey, wait!\It seems Tamadate Souta made it here without issue.\He's having way too much fun for someone on a mission!\Should we really be lettin' them goof off?\Everything is going well so far. The issue here is the facility's security.\Tsugumi and Ayase are looking into that now.\So we're just on standby for a while, huh?\But what the hell could be on this island, anyway? response:	Gai only knows, it seems.
context: It seems Tamadate Souta made it here without issue.\He's having way too much fun for someone on a mission!\Should we really be lettin' them goof off?\Everything is going well so far. The issue here is the facility's security.\Tsugumi and Ayase are looking into that now.\So we're just on standby for a while, huh?\But what the hell could be on this island, anyway?\Gai only knows, it seems. response:	Incidentally, Argo...
context: He's having way too much fun for someone on a mission!\Should we really be lettin' them goof off?\Everything is going well so far. The issue here is the facility's security.\Tsugumi and Ayase are looking into that now.\So we're just on standby for a while, huh?\But what the hell could be on this island, anyway?\Gai only knows, it seems.\Incidentally, Argo... response:	Aren't you overheated?
context: Should we really be lettin' them goof off?\Everything is going well so far. The issue here is the facility's security.\Tsugumi and Ayase are looking into that now.\So we're just on standby for a while, huh?\But what the hell could be on this island, anyway?\Gai only knows, it seems.\Incidentally, Argo...\Aren't you overheated? response:	Well, I'm fired up.
context: Everything is going well so far. The issue here is the facility's security.\Tsugumi and Ayase are looking into that now.\So we're just on standby for a while, huh?\But what the hell could be on this island, anyway?\Gai only knows, it seems.\Incidentally, Argo...\Aren't you overheated?\Well, I'm fired up. response:	Huh? Where's Shu?
context: Tsugumi and Ayase are looking into that now.\So we're just on standby for a while, huh?\But what the hell could be on this island, anyway?\Gai only knows, it seems.\Incidentally, Argo...\Aren't you overheated?\Well, I'm fired up.\Huh? Where's Shu? response:	He left before us. He said he had a stop to make.
context: So we're just on standby for a while, huh?\But what the hell could be on this island, anyway?\Gai only knows, it seems.\Incidentally, Argo...\Aren't you overheated?\Well, I'm fired up.\Huh? Where's Shu?\He left before us. He said he had a stop to make. response:	Come to think of it, Oshima is where his father's...
context: But what the hell could be on this island, anyway?\Gai only knows, it seems.\Incidentally, Argo...\Aren't you overheated?\Well, I'm fired up.\Huh? Where's Shu?\He left before us. He said he had a stop to make.\Come to think of it, Oshima is where his father's... response:	Um, I caught this!
context: Gai only knows, it seems.\Incidentally, Argo...\Aren't you overheated?\Well, I'm fired up.\Huh? Where's Shu?\He left before us. He said he had a stop to make.\Come to think of it, Oshima is where his father's...\Um, I caught this! response:	Thank you.
context: Incidentally, Argo...\Aren't you overheated?\Well, I'm fired up.\Huh? Where's Shu?\He left before us. He said he had a stop to make.\Come to think of it, Oshima is where his father's...\Um, I caught this!\Thank you. response:	Good afternoon.
context: Aren't you overheated?\Well, I'm fired up.\Huh? Where's Shu?\He left before us. He said he had a stop to make.\Come to think of it, Oshima is where his father's...\Um, I caught this!\Thank you.\Good afternoon. response:	Whoa! What a classy lady!
context: Well, I'm fired up.\Huh? Where's Shu?\He left before us. He said he had a stop to make.\Come to think of it, Oshima is where his father's...\Um, I caught this!\Thank you.\Good afternoon.\Whoa! What a classy lady! response:	Tsugumi, why are you in that ridiculous getup?
context: Huh? Where's Shu?\He left before us. He said he had a stop to make.\Come to think of it, Oshima is where his father's...\Um, I caught this!\Thank you.\Good afternoon.\Whoa! What a classy lady!\Tsugumi, why are you in that ridiculous getup? response:	Your outfit looks splendiferous on you too, Madame Ayase.
context: He left before us. He said he had a stop to make.\Come to think of it, Oshima is where his father's...\Um, I caught this!\Thank you.\Good afternoon.\Whoa! What a classy lady!\Tsugumi, why are you in that ridiculous getup?\Your outfit looks splendiferous on you too, Madame Ayase. response:	Dr. Ouma Kurosu, eh?
context: Come to think of it, Oshima is where his father's...\Um, I caught this!\Thank you.\Good afternoon.\Whoa! What a classy lady!\Tsugumi, why are you in that ridiculous getup?\Your outfit looks splendiferous on you too, Madame Ayase.\Dr. Ouma Kurosu, eh? response:	You know about him?
context: Um, I caught this!\Thank you.\Good afternoon.\Whoa! What a classy lady!\Tsugumi, why are you in that ridiculous getup?\Your outfit looks splendiferous on you too, Madame Ayase.\Dr. Ouma Kurosu, eh?\You know about him? response:	He was a professor at the old Tennozu College.
context: Thank you.\Good afternoon.\Whoa! What a classy lady!\Tsugumi, why are you in that ridiculous getup?\Your outfit looks splendiferous on you too, Madame Ayase.\Dr. Ouma Kurosu, eh?\You know about him?\He was a professor at the old Tennozu College. response:	He was also the leading expert on the Apocalypse Virus.
context: Good afternoon.\Whoa! What a classy lady!\Tsugumi, why are you in that ridiculous getup?\Your outfit looks splendiferous on you too, Madame Ayase.\Dr. Ouma Kurosu, eh?\You know about him?\He was a professor at the old Tennozu College.\He was also the leading expert on the Apocalypse Virus. response:	Seriously?
context: Whoa! What a classy lady!\Tsugumi, why are you in that ridiculous getup?\Your outfit looks splendiferous on you too, Madame Ayase.\Dr. Ouma Kurosu, eh?\You know about him?\He was a professor at the old Tennozu College.\He was also the leading expert on the Apocalypse Virus.\Seriously? response:	Why don't you know about him?
context: Tsugumi, why are you in that ridiculous getup?\Your outfit looks splendiferous on you too, Madame Ayase.\Dr. Ouma Kurosu, eh?\You know about him?\He was a professor at the old Tennozu College.\He was also the leading expert on the Apocalypse Virus.\Seriously?\Why don't you know about him? response:	We don't talk about stuff like that at home.
context: Your outfit looks splendiferous on you too, Madame Ayase.\Dr. Ouma Kurosu, eh?\You know about him?\He was a professor at the old Tennozu College.\He was also the leading expert on the Apocalypse Virus.\Seriously?\Why don't you know about him?\We don't talk about stuff like that at home. response:	I heard that he was Haruka's teacher, though...
context: Dr. Ouma Kurosu, eh?\You know about him?\He was a professor at the old Tennozu College.\He was also the leading expert on the Apocalypse Virus.\Seriously?\Why don't you know about him?\We don't talk about stuff like that at home.\I heard that he was Haruka's teacher, though... response:	Haruka?
context: You know about him?\He was a professor at the old Tennozu College.\He was also the leading expert on the Apocalypse Virus.\Seriously?\Why don't you know about him?\We don't talk about stuff like that at home.\I heard that he was Haruka's teacher, though...\Haruka? response:	Oh, she's my mom.
context: He was a professor at the old Tennozu College.\He was also the leading expert on the Apocalypse Virus.\Seriously?\Why don't you know about him?\We don't talk about stuff like that at home.\I heard that he was Haruka's teacher, though...\Haruka?\Oh, she's my mom. response:	Anyway, I don't really remember my dad.
context: He was also the leading expert on the Apocalypse Virus.\Seriously?\Why don't you know about him?\We don't talk about stuff like that at home.\I heard that he was Haruka's teacher, though...\Haruka?\Oh, she's my mom.\Anyway, I don't really remember my dad. response:	He died ten years ago, after all.
context: Seriously?\Why don't you know about him?\We don't talk about stuff like that at home.\I heard that he was Haruka's teacher, though...\Haruka?\Oh, she's my mom.\Anyway, I don't really remember my dad.\He died ten years ago, after all. response:	Lost Christmas, eh?
context: Why don't you know about him?\We don't talk about stuff like that at home.\I heard that he was Haruka's teacher, though...\Haruka?\Oh, she's my mom.\Anyway, I don't really remember my dad.\He died ten years ago, after all.\Lost Christmas, eh? response:	Everything changed after that day.
context: We don't talk about stuff like that at home.\I heard that he was Haruka's teacher, though...\Haruka?\Oh, she's my mom.\Anyway, I don't really remember my dad.\He died ten years ago, after all.\Lost Christmas, eh?\Everything changed after that day. response:	Say, what are you doing here?
context: I heard that he was Haruka's teacher, though...\Haruka?\Oh, she's my mom.\Anyway, I don't really remember my dad.\He died ten years ago, after all.\Lost Christmas, eh?\Everything changed after that day.\Say, what are you doing here? response:	It's not to visit a grave, is it?
context: Haruka?\Oh, she's my mom.\Anyway, I don't really remember my dad.\He died ten years ago, after all.\Lost Christmas, eh?\Everything changed after that day.\Say, what are you doing here?\It's not to visit a grave, is it? response:	No.
context: Oh, she's my mom.\Anyway, I don't really remember my dad.\He died ten years ago, after all.\Lost Christmas, eh?\Everything changed after that day.\Say, what are you doing here?\It's not to visit a grave, is it?\No. response:	That.
context: Anyway, I don't really remember my dad.\He died ten years ago, after all.\Lost Christmas, eh?\Everything changed after that day.\Say, what are you doing here?\It's not to visit a grave, is it?\No.\That. response:	A shrine?
context: He died ten years ago, after all.\Lost Christmas, eh?\Everything changed after that day.\Say, what are you doing here?\It's not to visit a grave, is it?\No.\That.\A shrine? response:	Look at it with these.
context: Lost Christmas, eh?\Everything changed after that day.\Say, what are you doing here?\It's not to visit a grave, is it?\No.\That.\A shrine?\Look at it with these. response:	Is that
context: Everything changed after that day.\Say, what are you doing here?\It's not to visit a grave, is it?\No.\That.\A shrine?\Look at it with these.\Is that response:	It's a secret GHQ facility. What I want is inside.
context: Say, what are you doing here?\It's not to visit a grave, is it?\No.\That.\A shrine?\Look at it with these.\Is that\It's a secret GHQ facility. What I want is inside. response:	What you want?
context: It's not to visit a grave, is it?\No.\That.\A shrine?\Look at it with these.\Is that\It's a secret GHQ facility. What I want is inside.\What you want? response:	The rock that started it all.
context: No.\That.\A shrine?\Look at it with these.\Is that\It's a secret GHQ facility. What I want is inside.\What you want?\The rock that started it all. response:	That's what we need to get our hands on most right now.
context: That.\A shrine?\Look at it with these.\Is that\It's a secret GHQ facility. What I want is inside.\What you want?\The rock that started it all.\That's what we need to get our hands on most right now. response:	You and the Void you draw will be the key to the operation.
