context: You just can't stand to be on your own! response:	Who isn't alone in this society?
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\You never learn, do you, Kougami?\Hold it right there,\Kougami. response:	Please don't move.
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\You never learn, do you, Kougami?\Hold it right there,\Kougami.\Please don't move. response:	Makishima is nearby.
context: Voices inside, one link to join it all\So it goes\Again\You never learn, do you, Kougami?\Hold it right there,\Kougami.\Please don't move.\Makishima is nearby. response:	Yes, I know. I'll apprehend him too.
context: So it goes\Again\You never learn, do you, Kougami?\Hold it right there,\Kougami.\Please don't move.\Makishima is nearby.\Yes, I know. I'll apprehend him too. response:	Are you going to handcuff me here and go after him all by yourself?
context: Again\You never learn, do you, Kougami?\Hold it right there,\Kougami.\Please don't move.\Makishima is nearby.\Yes, I know. I'll apprehend him too.\Are you going to handcuff me here and go after him all by yourself? response:	I'm not that reckless.
context: You never learn, do you, Kougami?\Hold it right there,\Kougami.\Please don't move.\Makishima is nearby.\Yes, I know. I'll apprehend him too.\Are you going to handcuff me here and go after him all by yourself?\I'm not that reckless. response:	This is locked in Paralyzer mode with the safety off.
context: Hold it right there,\Kougami.\Please don't move.\Makishima is nearby.\Yes, I know. I'll apprehend him too.\Are you going to handcuff me here and go after him all by yourself?\I'm not that reckless.\This is locked in Paralyzer mode with the safety off. response:	You should be able to use it too.
context: Kougami.\Please don't move.\Makishima is nearby.\Yes, I know. I'll apprehend him too.\Are you going to handcuff me here and go after him all by yourself?\I'm not that reckless.\This is locked in Paralyzer mode with the safety off.\You should be able to use it too. response:	Please help me catch him.
context: Please don't move.\Makishima is nearby.\Yes, I know. I'll apprehend him too.\Are you going to handcuff me here and go after him all by yourself?\I'm not that reckless.\This is locked in Paralyzer mode with the safety off.\You should be able to use it too.\Please help me catch him. response:	We'll use the Paralyzer on Makishima. Nothing more.
context: Makishima is nearby.\Yes, I know. I'll apprehend him too.\Are you going to handcuff me here and go after him all by yourself?\I'm not that reckless.\This is locked in Paralyzer mode with the safety off.\You should be able to use it too.\Please help me catch him.\We'll use the Paralyzer on Makishima. Nothing more. response:	If you try anything beyond that, I'll shoot you in the leg.
context: Yes, I know. I'll apprehend him too.\Are you going to handcuff me here and go after him all by yourself?\I'm not that reckless.\This is locked in Paralyzer mode with the safety off.\You should be able to use it too.\Please help me catch him.\We'll use the Paralyzer on Makishima. Nothing more.\If you try anything beyond that, I'll shoot you in the leg. response:	I'm surprised.
context: Are you going to handcuff me here and go after him all by yourself?\I'm not that reckless.\This is locked in Paralyzer mode with the safety off.\You should be able to use it too.\Please help me catch him.\We'll use the Paralyzer on Makishima. Nothing more.\If you try anything beyond that, I'll shoot you in the leg.\I'm surprised. response:	Well, I'm not surprised to see you toughen up.
context: I'm not that reckless.\This is locked in Paralyzer mode with the safety off.\You should be able to use it too.\Please help me catch him.\We'll use the Paralyzer on Makishima. Nothing more.\If you try anything beyond that, I'll shoot you in the leg.\I'm surprised.\Well, I'm not surprised to see you toughen up. response:	But you could stand to be a bit nicer about it.
context: This is locked in Paralyzer mode with the safety off.\You should be able to use it too.\Please help me catch him.\We'll use the Paralyzer on Makishima. Nothing more.\If you try anything beyond that, I'll shoot you in the leg.\I'm surprised.\Well, I'm not surprised to see you toughen up.\But you could stand to be a bit nicer about it. response:	Why are you so focused on making sure nobody kills Makishima?
context: You should be able to use it too.\Please help me catch him.\We'll use the Paralyzer on Makishima. Nothing more.\If you try anything beyond that, I'll shoot you in the leg.\I'm surprised.\Well, I'm not surprised to see you toughen up.\But you could stand to be a bit nicer about it.\Why are you so focused on making sure nobody kills Makishima? response:	Because it's illegal.
context: Please help me catch him.\We'll use the Paralyzer on Makishima. Nothing more.\If you try anything beyond that, I'll shoot you in the leg.\I'm surprised.\Well, I'm not surprised to see you toughen up.\But you could stand to be a bit nicer about it.\Why are you so focused on making sure nobody kills Makishima?\Because it's illegal. response:	Because I can't overlook a crime.
context: We'll use the Paralyzer on Makishima. Nothing more.\If you try anything beyond that, I'll shoot you in the leg.\I'm surprised.\Well, I'm not surprised to see you toughen up.\But you could stand to be a bit nicer about it.\Why are you so focused on making sure nobody kills Makishima?\Because it's illegal.\Because I can't overlook a crime. response:	Why are you going that far to obey the law
context: If you try anything beyond that, I'll shoot you in the leg.\I'm surprised.\Well, I'm not surprised to see you toughen up.\But you could stand to be a bit nicer about it.\Why are you so focused on making sure nobody kills Makishima?\Because it's illegal.\Because I can't overlook a crime.\Why are you going that far to obey the law response:	when that law can neither judge a criminal nor protect people?
context: I'm surprised.\Well, I'm not surprised to see you toughen up.\But you could stand to be a bit nicer about it.\Why are you so focused on making sure nobody kills Makishima?\Because it's illegal.\Because I can't overlook a crime.\Why are you going that far to obey the law\when that law can neither judge a criminal nor protect people? response:	The law doesn't protect people.
context: Well, I'm not surprised to see you toughen up.\But you could stand to be a bit nicer about it.\Why are you so focused on making sure nobody kills Makishima?\Because it's illegal.\Because I can't overlook a crime.\Why are you going that far to obey the law\when that law can neither judge a criminal nor protect people?\The law doesn't protect people. response:	People protect the law.
context: But you could stand to be a bit nicer about it.\Why are you so focused on making sure nobody kills Makishima?\Because it's illegal.\Because I can't overlook a crime.\Why are you going that far to obey the law\when that law can neither judge a criminal nor protect people?\The law doesn't protect people.\People protect the law. response:	People have always detested evil and sought out a righteous way of living.
context: Why are you so focused on making sure nobody kills Makishima?\Because it's illegal.\Because I can't overlook a crime.\Why are you going that far to obey the law\when that law can neither judge a criminal nor protect people?\The law doesn't protect people.\People protect the law.\People have always detested evil and sought out a righteous way of living. response:	The law is the accumulation of those people's feelings.
context: Because it's illegal.\Because I can't overlook a crime.\Why are you going that far to obey the law\when that law can neither judge a criminal nor protect people?\The law doesn't protect people.\People protect the law.\People have always detested evil and sought out a righteous way of living.\The law is the accumulation of those people's feelings. response:	They're neither the provisions nor the system.
context: Because I can't overlook a crime.\Why are you going that far to obey the law\when that law can neither judge a criminal nor protect people?\The law doesn't protect people.\People protect the law.\People have always detested evil and sought out a righteous way of living.\The law is the accumulation of those people's feelings.\They're neither the provisions nor the system. response:	They're the fragile and irreplaceable feelings that everyone carries in their hearts.
context: Why are you going that far to obey the law\when that law can neither judge a criminal nor protect people?\The law doesn't protect people.\People protect the law.\People have always detested evil and sought out a righteous way of living.\The law is the accumulation of those people's feelings.\They're neither the provisions nor the system.\They're the fragile and irreplaceable feelings that everyone carries in their hearts. response:	Compared to the power of anger and hatred,
context: when that law can neither judge a criminal nor protect people?\The law doesn't protect people.\People protect the law.\People have always detested evil and sought out a righteous way of living.\The law is the accumulation of those people's feelings.\They're neither the provisions nor the system.\They're the fragile and irreplaceable feelings that everyone carries in their hearts.\Compared to the power of anger and hatred, response:	they are something that can quite easily break down.
context: The law doesn't protect people.\People protect the law.\People have always detested evil and sought out a righteous way of living.\The law is the accumulation of those people's feelings.\They're neither the provisions nor the system.\They're the fragile and irreplaceable feelings that everyone carries in their hearts.\Compared to the power of anger and hatred,\they are something that can quite easily break down. response:	All throughout time, people have prayed for a better world.
context: People protect the law.\People have always detested evil and sought out a righteous way of living.\The law is the accumulation of those people's feelings.\They're neither the provisions nor the system.\They're the fragile and irreplaceable feelings that everyone carries in their hearts.\Compared to the power of anger and hatred,\they are something that can quite easily break down.\All throughout time, people have prayed for a better world. response:	In order for those prayers to continue to hold meaning,
context: People have always detested evil and sought out a righteous way of living.\The law is the accumulation of those people's feelings.\They're neither the provisions nor the system.\They're the fragile and irreplaceable feelings that everyone carries in their hearts.\Compared to the power of anger and hatred,\they are something that can quite easily break down.\All throughout time, people have prayed for a better world.\In order for those prayers to continue to hold meaning, response:	we have to try our best to protect it to the very end.
context: The law is the accumulation of those people's feelings.\They're neither the provisions nor the system.\They're the fragile and irreplaceable feelings that everyone carries in their hearts.\Compared to the power of anger and hatred,\they are something that can quite easily break down.\All throughout time, people have prayed for a better world.\In order for those prayers to continue to hold meaning,\we have to try our best to protect it to the very end. response:	We can't just give up on it.
context: They're neither the provisions nor the system.\They're the fragile and irreplaceable feelings that everyone carries in their hearts.\Compared to the power of anger and hatred,\they are something that can quite easily break down.\All throughout time, people have prayed for a better world.\In order for those prayers to continue to hold meaning,\we have to try our best to protect it to the very end.\We can't just give up on it. response:	If there ever comes a time when everyone feels that way,
context: They're the fragile and irreplaceable feelings that everyone carries in their hearts.\Compared to the power of anger and hatred,\they are something that can quite easily break down.\All throughout time, people have prayed for a better world.\In order for those prayers to continue to hold meaning,\we have to try our best to protect it to the very end.\We can't just give up on it.\If there ever comes a time when everyone feels that way, response:	the Sibyl System will probably disappear.
context: Compared to the power of anger and hatred,\they are something that can quite easily break down.\All throughout time, people have prayed for a better world.\In order for those prayers to continue to hold meaning,\we have to try our best to protect it to the very end.\We can't just give up on it.\If there ever comes a time when everyone feels that way,\the Sibyl System will probably disappear. response:	There'll no longer be any latent criminals or Enforcers.
context: they are something that can quite easily break down.\All throughout time, people have prayed for a better world.\In order for those prayers to continue to hold meaning,\we have to try our best to protect it to the very end.\We can't just give up on it.\If there ever comes a time when everyone feels that way,\the Sibyl System will probably disappear.\There'll no longer be any latent criminals or Enforcers. response:	But...
context: All throughout time, people have prayed for a better world.\In order for those prayers to continue to hold meaning,\we have to try our best to protect it to the very end.\We can't just give up on it.\If there ever comes a time when everyone feels that way,\the Sibyl System will probably disappear.\There'll no longer be any latent criminals or Enforcers.\But... response:	Tsk!
context: In order for those prayers to continue to hold meaning,\we have to try our best to protect it to the very end.\We can't just give up on it.\If there ever comes a time when everyone feels that way,\the Sibyl System will probably disappear.\There'll no longer be any latent criminals or Enforcers.\But...\Tsk! response:	Akane!
context: we have to try our best to protect it to the very end.\We can't just give up on it.\If there ever comes a time when everyone feels that way,\the Sibyl System will probably disappear.\There'll no longer be any latent criminals or Enforcers.\But...\Tsk!\Akane! response:	I wish...
context: We can't just give up on it.\If there ever comes a time when everyone feels that way,\the Sibyl System will probably disappear.\There'll no longer be any latent criminals or Enforcers.\But...\Tsk!\Akane!\I wish... response:	you guys would stop insulting us...
context: If there ever comes a time when everyone feels that way,\the Sibyl System will probably disappear.\There'll no longer be any latent criminals or Enforcers.\But...\Tsk!\Akane!\I wish...\you guys would stop insulting us... response:	already.
context: the Sibyl System will probably disappear.\There'll no longer be any latent criminals or Enforcers.\But...\Tsk!\Akane!\I wish...\you guys would stop insulting us...\already. response:	I see...
context: There'll no longer be any latent criminals or Enforcers.\But...\Tsk!\Akane!\I wish...\you guys would stop insulting us...\already.\I see... response:	You are...
context: But...\Tsk!\Akane!\I wish...\you guys would stop insulting us...\already.\I see...\You are... response:	N-No...
context: Tsk!\Akane!\I wish...\you guys would stop insulting us...\already.\I see...\You are...\N-No... response:	This is between the two of us.
context: Akane!\I wish...\you guys would stop insulting us...\already.\I see...\You are...\N-No...\This is between the two of us. response:	Kougami!
context: I wish...\you guys would stop insulting us...\already.\I see...\You are...\N-No...\This is between the two of us.\Kougami! response:	Everyone is alone.
context: you guys would stop insulting us...\already.\I see...\You are...\N-No...\This is between the two of us.\Kougami!\Everyone is alone. response:	Everyone is empty.
context: already.\I see...\You are...\N-No...\This is between the two of us.\Kougami!\Everyone is alone.\Everyone is empty. response:	People no longer have any need of others.
context: I see...\You are...\N-No...\This is between the two of us.\Kougami!\Everyone is alone.\Everyone is empty.\People no longer have any need of others. response:	You can always find a substitute for any talent.
context: You are...\N-No...\This is between the two of us.\Kougami!\Everyone is alone.\Everyone is empty.\People no longer have any need of others.\You can always find a substitute for any talent. response:	Any relationship can be replaced.
context: N-No...\This is between the two of us.\Kougami!\Everyone is alone.\Everyone is empty.\People no longer have any need of others.\You can always find a substitute for any talent.\Any relationship can be replaced. response:	That's the world I grew tired of.
context: This is between the two of us.\Kougami!\Everyone is alone.\Everyone is empty.\People no longer have any need of others.\You can always find a substitute for any talent.\Any relationship can be replaced.\That's the world I grew tired of. response:	And yet, for some reason...
context: Kougami!\Everyone is alone.\Everyone is empty.\People no longer have any need of others.\You can always find a substitute for any talent.\Any relationship can be replaced.\That's the world I grew tired of.\And yet, for some reason... response:	I can't even imagine someone else besides you killing me.
context: Everyone is alone.\Everyone is empty.\People no longer have any need of others.\You can always find a substitute for any talent.\Any relationship can be replaced.\That's the world I grew tired of.\And yet, for some reason...\I can't even imagine someone else besides you killing me. response:	Say, what do you think, Kougami?
context: Everyone is empty.\People no longer have any need of others.\You can always find a substitute for any talent.\Any relationship can be replaced.\That's the world I grew tired of.\And yet, for some reason...\I can't even imagine someone else besides you killing me.\Say, what do you think, Kougami? response:	After all this is done, will you be able to find a replacement for me?
context: People no longer have any need of others.\You can always find a substitute for any talent.\Any relationship can be replaced.\That's the world I grew tired of.\And yet, for some reason...\I can't even imagine someone else besides you killing me.\Say, what do you think, Kougami?\After all this is done, will you be able to find a replacement for me? response:	Sorry, but I hope I never do.
context: You can always find a substitute for any talent.\Any relationship can be replaced.\That's the world I grew tired of.\And yet, for some reason...\I can't even imagine someone else besides you killing me.\Say, what do you think, Kougami?\After all this is done, will you be able to find a replacement for me?\Sorry, but I hope I never do. response:	This destiny must have awaited them since long before they had even met.
context: Any relationship can be replaced.\That's the world I grew tired of.\And yet, for some reason...\I can't even imagine someone else besides you killing me.\Say, what do you think, Kougami?\After all this is done, will you be able to find a replacement for me?\Sorry, but I hope I never do.\This destiny must have awaited them since long before they had even met. response:	They were not like mere ships passing in the night.
context: That's the world I grew tired of.\And yet, for some reason...\I can't even imagine someone else besides you killing me.\Say, what do you think, Kougami?\After all this is done, will you be able to find a replacement for me?\Sorry, but I hope I never do.\This destiny must have awaited them since long before they had even met.\They were not like mere ships passing in the night. response:	It was not like they didn't understand each other.
context: And yet, for some reason...\I can't even imagine someone else besides you killing me.\Say, what do you think, Kougami?\After all this is done, will you be able to find a replacement for me?\Sorry, but I hope I never do.\This destiny must have awaited them since long before they had even met.\They were not like mere ships passing in the night.\It was not like they didn't understand each other. response:	They understood each other better than anyone else,
context: I can't even imagine someone else besides you killing me.\Say, what do you think, Kougami?\After all this is done, will you be able to find a replacement for me?\Sorry, but I hope I never do.\This destiny must have awaited them since long before they had even met.\They were not like mere ships passing in the night.\It was not like they didn't understand each other.\They understood each other better than anyone else, response:	and each was focused solely on the other.
context: Say, what do you think, Kougami?\After all this is done, will you be able to find a replacement for me?\Sorry, but I hope I never do.\This destiny must have awaited them since long before they had even met.\They were not like mere ships passing in the night.\It was not like they didn't understand each other.\They understood each other better than anyone else,\and each was focused solely on the other. response:	Kougami...
context: After all this is done, will you be able to find a replacement for me?\Sorry, but I hope I never do.\This destiny must have awaited them since long before they had even met.\They were not like mere ships passing in the night.\It was not like they didn't understand each other.\They understood each other better than anyone else,\and each was focused solely on the other.\Kougami... response:	The outcome of the attempt to capture Makishima Shougo was quite regrettable.
context: Sorry, but I hope I never do.\This destiny must have awaited them since long before they had even met.\They were not like mere ships passing in the night.\It was not like they didn't understand each other.\They understood each other better than anyone else,\and each was focused solely on the other.\Kougami...\The outcome of the attempt to capture Makishima Shougo was quite regrettable. response:	Does that mean I'm no longer needed?
context: This destiny must have awaited them since long before they had even met.\They were not like mere ships passing in the night.\It was not like they didn't understand each other.\They understood each other better than anyone else,\and each was focused solely on the other.\Kougami...\The outcome of the attempt to capture Makishima Shougo was quite regrettable.\Does that mean I'm no longer needed? response:	We have no choice but to downgrade our assessment of your abilities.
context: They were not like mere ships passing in the night.\It was not like they didn't understand each other.\They understood each other better than anyone else,\and each was focused solely on the other.\Kougami...\The outcome of the attempt to capture Makishima Shougo was quite regrettable.\Does that mean I'm no longer needed?\We have no choice but to downgrade our assessment of your abilities. response:	However, that does not mean that you possess a negative net worth.
context: It was not like they didn't understand each other.\They understood each other better than anyone else,\and each was focused solely on the other.\Kougami...\The outcome of the attempt to capture Makishima Shougo was quite regrettable.\Does that mean I'm no longer needed?\We have no choice but to downgrade our assessment of your abilities.\However, that does not mean that you possess a negative net worth. response:	Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.
context: They understood each other better than anyone else,\and each was focused solely on the other.\Kougami...\The outcome of the attempt to capture Makishima Shougo was quite regrettable.\Does that mean I'm no longer needed?\We have no choice but to downgrade our assessment of your abilities.\However, that does not mean that you possess a negative net worth.\Rather, you are still an individual of outstanding value with regards to managing the Sibyl System. response:	What do you mean?
context: and each was focused solely on the other.\Kougami...\The outcome of the attempt to capture Makishima Shougo was quite regrettable.\Does that mean I'm no longer needed?\We have no choice but to downgrade our assessment of your abilities.\However, that does not mean that you possess a negative net worth.\Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.\What do you mean? response:	You have a healthy, strong Psycho-Pass,
context: Kougami...\The outcome of the attempt to capture Makishima Shougo was quite regrettable.\Does that mean I'm no longer needed?\We have no choice but to downgrade our assessment of your abilities.\However, that does not mean that you possess a negative net worth.\Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.\What do you mean?\You have a healthy, strong Psycho-Pass, response:	as well as a clear mind and judgment.
context: The outcome of the attempt to capture Makishima Shougo was quite regrettable.\Does that mean I'm no longer needed?\We have no choice but to downgrade our assessment of your abilities.\However, that does not mean that you possess a negative net worth.\Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.\What do you mean?\You have a healthy, strong Psycho-Pass,\as well as a clear mind and judgment. response:	We can say that your qualities are as close to ideal as they come
context: Does that mean I'm no longer needed?\We have no choice but to downgrade our assessment of your abilities.\However, that does not mean that you possess a negative net worth.\Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.\What do you mean?\You have a healthy, strong Psycho-Pass,\as well as a clear mind and judgment.\We can say that your qualities are as close to ideal as they come response:	for serving as an example to the citizens of the coming new era.
context: We have no choice but to downgrade our assessment of your abilities.\However, that does not mean that you possess a negative net worth.\Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.\What do you mean?\You have a healthy, strong Psycho-Pass,\as well as a clear mind and judgment.\We can say that your qualities are as close to ideal as they come\for serving as an example to the citizens of the coming new era. response:	Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,
context: However, that does not mean that you possess a negative net worth.\Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.\What do you mean?\You have a healthy, strong Psycho-Pass,\as well as a clear mind and judgment.\We can say that your qualities are as close to ideal as they come\for serving as an example to the citizens of the coming new era.\Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System, response:	and that conflict continues to exist.
context: Rather, you are still an individual of outstanding value with regards to managing the Sibyl System.\What do you mean?\You have a healthy, strong Psycho-Pass,\as well as a clear mind and judgment.\We can say that your qualities are as close to ideal as they come\for serving as an example to the citizens of the coming new era.\Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,\and that conflict continues to exist. response:	If we can establish a means of winning you over to our side,
context: What do you mean?\You have a healthy, strong Psycho-Pass,\as well as a clear mind and judgment.\We can say that your qualities are as close to ideal as they come\for serving as an example to the citizens of the coming new era.\Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,\and that conflict continues to exist.\If we can establish a means of winning you over to our side, response:	we will be able to obtain valuable sample data for taking the governance of society to the next level.
context: You have a healthy, strong Psycho-Pass,\as well as a clear mind and judgment.\We can say that your qualities are as close to ideal as they come\for serving as an example to the citizens of the coming new era.\Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,\and that conflict continues to exist.\If we can establish a means of winning you over to our side,\we will be able to obtain valuable sample data for taking the governance of society to the next level. response:	What are you up to?
context: as well as a clear mind and judgment.\We can say that your qualities are as close to ideal as they come\for serving as an example to the citizens of the coming new era.\Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,\and that conflict continues to exist.\If we can establish a means of winning you over to our side,\we will be able to obtain valuable sample data for taking the governance of society to the next level.\What are you up to? response:	The true form of the Sibyl System is currently kept secret out of consideration for public opinion.
