context: Ourarch-enemy Naraku had totally concealed himself from us. response:	Fifty years ago, Onigumo the brigand gave rise to Naraku.
context: Every field is in ruins.\What happened?\A boar, perhaps?\It's very strange.\- There! - Huh?!\No mistake!\- Please wait! - Villagers?\You there... the silver haired one! response:	Those ears! He's not human!
context: What happened?\A boar, perhaps?\It's very strange.\- There! - Huh?!\No mistake!\- Please wait! - Villagers?\You there... the silver haired one!\Those ears! He's not human! response:	Do they mean you, Inuyasha?
context: A boar, perhaps?\It's very strange.\- There! - Huh?!\No mistake!\- Please wait! - Villagers?\You there... the silver haired one!\Those ears! He's not human!\Do they mean you, Inuyasha? response:	Who are you guys?
context: It's very strange.\- There! - Huh?!\No mistake!\- Please wait! - Villagers?\You there... the silver haired one!\Those ears! He's not human!\Do they mean you, Inuyasha?\Who are you guys? response:	Please save us, Dog God!
context: - There! - Huh?!\No mistake!\- Please wait! - Villagers?\You there... the silver haired one!\Those ears! He's not human!\Do they mean you, Inuyasha?\Who are you guys?\Please save us, Dog God! response:	Huh?
context: No mistake!\- Please wait! - Villagers?\You there... the silver haired one!\Those ears! He's not human!\Do they mean you, Inuyasha?\Who are you guys?\Please save us, Dog God!\Huh? response:	Dog God?
context: - Please wait! - Villagers?\You there... the silver haired one!\Those ears! He's not human!\Do they mean you, Inuyasha?\Who are you guys?\Please save us, Dog God!\Huh?\Dog God? response:	Dog God!
context: You there... the silver haired one!\Those ears! He's not human!\Do they mean you, Inuyasha?\Who are you guys?\Please save us, Dog God!\Huh?\Dog God?\Dog God! response:	Dog God!
context: Those ears! He's not human!\Do they mean you, Inuyasha?\Who are you guys?\Please save us, Dog God!\Huh?\Dog God?\Dog God!\Dog God! response:	Dog God!
context: Do they mean you, Inuyasha?\Who are you guys?\Please save us, Dog God!\Huh?\Dog God?\Dog God!\Dog God!\Dog God! response:	Dog God!
context: Who are you guys?\Please save us, Dog God!\Huh?\Dog God?\Dog God!\Dog God!\Dog God!\Dog God! response:	Dog God? Me?
context: Please save us, Dog God!\Huh?\Dog God?\Dog God!\Dog God!\Dog God!\Dog God!\Dog God? Me? response:	What's this? Pickled vegetables?!
context: Huh?\Dog God?\Dog God!\Dog God!\Dog God!\Dog God!\Dog God? Me?\What's this? Pickled vegetables?! response:	We realize that for someone of your stature,
context: Dog God?\Dog God!\Dog God!\Dog God!\Dog God!\Dog God? Me?\What's this? Pickled vegetables?!\We realize that for someone of your stature, response:	pickled vegetables may not suffice...
context: Dog God!\Dog God!\Dog God!\Dog God!\Dog God? Me?\What's this? Pickled vegetables?!\We realize that for someone of your stature,\pickled vegetables may not suffice... response:	But this is all we have in the village.
context: Dog God!\Dog God!\Dog God!\Dog God? Me?\What's this? Pickled vegetables?!\We realize that for someone of your stature,\pickled vegetables may not suffice...\But this is all we have in the village. response:	We have no choice but to appeal to you!
context: Dog God!\Dog God!\Dog God? Me?\What's this? Pickled vegetables?!\We realize that for someone of your stature,\pickled vegetables may not suffice...\But this is all we have in the village.\We have no choice but to appeal to you! response:	Hurry, hurry! Fan him! Fan him!
context: Dog God!\Dog God? Me?\What's this? Pickled vegetables?!\We realize that for someone of your stature,\pickled vegetables may not suffice...\But this is all we have in the village.\We have no choice but to appeal to you!\Hurry, hurry! Fan him! Fan him! response:	Appeal to Inuyasha? They must be very desperate.
context: Dog God? Me?\What's this? Pickled vegetables?!\We realize that for someone of your stature,\pickled vegetables may not suffice...\But this is all we have in the village.\We have no choice but to appeal to you!\Hurry, hurry! Fan him! Fan him!\Appeal to Inuyasha? They must be very desperate. response:	What do you mean by that?
context: What's this? Pickled vegetables?!\We realize that for someone of your stature,\pickled vegetables may not suffice...\But this is all we have in the village.\We have no choice but to appeal to you!\Hurry, hurry! Fan him! Fan him!\Appeal to Inuyasha? They must be very desperate.\What do you mean by that? response:	Ourfields are being ravaged by monkeys.
context: We realize that for someone of your stature,\pickled vegetables may not suffice...\But this is all we have in the village.\We have no choice but to appeal to you!\Hurry, hurry! Fan him! Fan him!\Appeal to Inuyasha? They must be very desperate.\What do you mean by that?\Ourfields are being ravaged by monkeys. response:	Monkeys?
context: pickled vegetables may not suffice...\But this is all we have in the village.\We have no choice but to appeal to you!\Hurry, hurry! Fan him! Fan him!\Appeal to Inuyasha? They must be very desperate.\What do you mean by that?\Ourfields are being ravaged by monkeys.\Monkeys? response:	We have long heard that monkeys feardogs.
context: But this is all we have in the village.\We have no choice but to appeal to you!\Hurry, hurry! Fan him! Fan him!\Appeal to Inuyasha? They must be very desperate.\What do you mean by that?\Ourfields are being ravaged by monkeys.\Monkeys?\We have long heard that monkeys feardogs. response:	Please, Dog God, lend us yourpowers!
context: We have no choice but to appeal to you!\Hurry, hurry! Fan him! Fan him!\Appeal to Inuyasha? They must be very desperate.\What do you mean by that?\Ourfields are being ravaged by monkeys.\Monkeys?\We have long heard that monkeys feardogs.\Please, Dog God, lend us yourpowers! response:	Please exterminate the monkeys!
context: Hurry, hurry! Fan him! Fan him!\Appeal to Inuyasha? They must be very desperate.\What do you mean by that?\Ourfields are being ravaged by monkeys.\Monkeys?\We have long heard that monkeys feardogs.\Please, Dog God, lend us yourpowers!\Please exterminate the monkeys! response:	I understand.
context: Appeal to Inuyasha? They must be very desperate.\What do you mean by that?\Ourfields are being ravaged by monkeys.\Monkeys?\We have long heard that monkeys feardogs.\Please, Dog God, lend us yourpowers!\Please exterminate the monkeys!\I understand. response:	We accept.
context: What do you mean by that?\Ourfields are being ravaged by monkeys.\Monkeys?\We have long heard that monkeys feardogs.\Please, Dog God, lend us yourpowers!\Please exterminate the monkeys!\I understand.\We accept. response:	Hey! I'm no Dog God!
context: Ourfields are being ravaged by monkeys.\Monkeys?\We have long heard that monkeys feardogs.\Please, Dog God, lend us yourpowers!\Please exterminate the monkeys!\I understand.\We accept.\Hey! I'm no Dog God! response:	What's with a little monkey business?
context: Monkeys?\We have long heard that monkeys feardogs.\Please, Dog God, lend us yourpowers!\Please exterminate the monkeys!\I understand.\We accept.\Hey! I'm no Dog God!\What's with a little monkey business? response:	We have no time!
context: We have long heard that monkeys feardogs.\Please, Dog God, lend us yourpowers!\Please exterminate the monkeys!\I understand.\We accept.\Hey! I'm no Dog God!\What's with a little monkey business?\We have no time! response:	Rest assured.
context: Please, Dog God, lend us yourpowers!\Please exterminate the monkeys!\I understand.\We accept.\Hey! I'm no Dog God!\What's with a little monkey business?\We have no time!\Rest assured. response:	Sango and I will continue on and keep searching for Naraku.
context: Please exterminate the monkeys!\I understand.\We accept.\Hey! I'm no Dog God!\What's with a little monkey business?\We have no time!\Rest assured.\Sango and I will continue on and keep searching for Naraku. response:	He's right.
context: I understand.\We accept.\Hey! I'm no Dog God!\What's with a little monkey business?\We have no time!\Rest assured.\Sango and I will continue on and keep searching for Naraku.\He's right. response:	Inuyasha, we can't ignore the villagers' plight.
context: We accept.\Hey! I'm no Dog God!\What's with a little monkey business?\We have no time!\Rest assured.\Sango and I will continue on and keep searching for Naraku.\He's right.\Inuyasha, we can't ignore the villagers' plight. response:	Damn... what a joke!
context: Hey! I'm no Dog God!\What's with a little monkey business?\We have no time!\Rest assured.\Sango and I will continue on and keep searching for Naraku.\He's right.\Inuyasha, we can't ignore the villagers' plight.\Damn... what a joke! response:	Why should I deal with monkeys?!
context: What's with a little monkey business?\We have no time!\Rest assured.\Sango and I will continue on and keep searching for Naraku.\He's right.\Inuyasha, we can't ignore the villagers' plight.\Damn... what a joke!\Why should I deal with monkeys?! response:	Can't be helped. You're the Dog God.
context: We have no time!\Rest assured.\Sango and I will continue on and keep searching for Naraku.\He's right.\Inuyasha, we can't ignore the villagers' plight.\Damn... what a joke!\Why should I deal with monkeys?!\Can't be helped. You're the Dog God. response:	Yup, the Dog God!
context: Rest assured.\Sango and I will continue on and keep searching for Naraku.\He's right.\Inuyasha, we can't ignore the villagers' plight.\Damn... what a joke!\Why should I deal with monkeys?!\Can't be helped. You're the Dog God.\Yup, the Dog God! response:	Is it you...?!
context: Sango and I will continue on and keep searching for Naraku.\He's right.\Inuyasha, we can't ignore the villagers' plight.\Damn... what a joke!\Why should I deal with monkeys?!\Can't be helped. You're the Dog God.\Yup, the Dog God!\Is it you...?! response:	D-Demon Monkey!
context: He's right.\Inuyasha, we can't ignore the villagers' plight.\Damn... what a joke!\Why should I deal with monkeys?!\Can't be helped. You're the Dog God.\Yup, the Dog God!\Is it you...?!\D-Demon Monkey! response:	Dog Demon, huh?!
context: Inuyasha, we can't ignore the villagers' plight.\Damn... what a joke!\Why should I deal with monkeys?!\Can't be helped. You're the Dog God.\Yup, the Dog God!\Is it you...?!\D-Demon Monkey!\Dog Demon, huh?! response:	So the villagers, knowing how I hate dogs, hired you, huh?
context: Damn... what a joke!\Why should I deal with monkeys?!\Can't be helped. You're the Dog God.\Yup, the Dog God!\Is it you...?!\D-Demon Monkey!\Dog Demon, huh?!\So the villagers, knowing how I hate dogs, hired you, huh? response:	Well, you'll die instead...!
context: Why should I deal with monkeys?!\Can't be helped. You're the Dog God.\Yup, the Dog God!\Is it you...?!\D-Demon Monkey!\Dog Demon, huh?!\So the villagers, knowing how I hate dogs, hired you, huh?\Well, you'll die instead...! response:	Now this is fun!
context: Can't be helped. You're the Dog God.\Yup, the Dog God!\Is it you...?!\D-Demon Monkey!\Dog Demon, huh?!\So the villagers, knowing how I hate dogs, hired you, huh?\Well, you'll die instead...!\Now this is fun! response:	It's better when the opponent's a demon!
context: Yup, the Dog God!\Is it you...?!\D-Demon Monkey!\Dog Demon, huh?!\So the villagers, knowing how I hate dogs, hired you, huh?\Well, you'll die instead...!\Now this is fun!\It's better when the opponent's a demon! response:	Huh?
context: Is it you...?!\D-Demon Monkey!\Dog Demon, huh?!\So the villagers, knowing how I hate dogs, hired you, huh?\Well, you'll die instead...!\Now this is fun!\It's better when the opponent's a demon!\Huh? response:	Little monkeys!
context: D-Demon Monkey!\Dog Demon, huh?!\So the villagers, knowing how I hate dogs, hired you, huh?\Well, you'll die instead...!\Now this is fun!\It's better when the opponent's a demon!\Huh?\Little monkeys! response:	Oh, how cute!
context: Dog Demon, huh?!\So the villagers, knowing how I hate dogs, hired you, huh?\Well, you'll die instead...!\Now this is fun!\It's better when the opponent's a demon!\Huh?\Little monkeys!\Oh, how cute! response:	Hey! Are you the ones plundering the village fields?
context: So the villagers, knowing how I hate dogs, hired you, huh?\Well, you'll die instead...!\Now this is fun!\It's better when the opponent's a demon!\Huh?\Little monkeys!\Oh, how cute!\Hey! Are you the ones plundering the village fields? response:	You win!
context: Well, you'll die instead...!\Now this is fun!\It's better when the opponent's a demon!\Huh?\Little monkeys!\Oh, how cute!\Hey! Are you the ones plundering the village fields?\You win! response:	Huh?
context: Now this is fun!\It's better when the opponent's a demon!\Huh?\Little monkeys!\Oh, how cute!\Hey! Are you the ones plundering the village fields?\You win!\Huh? response:	As proof that we'll never do evil again,
context: It's better when the opponent's a demon!\Huh?\Little monkeys!\Oh, how cute!\Hey! Are you the ones plundering the village fields?\You win!\Huh?\As proof that we'll never do evil again, response:	please accept our spiritual stone!
context: Huh?\Little monkeys!\Oh, how cute!\Hey! Are you the ones plundering the village fields?\You win!\Huh?\As proof that we'll never do evil again,\please accept our spiritual stone! response:	Inuyasha...
context: Little monkeys!\Oh, how cute!\Hey! Are you the ones plundering the village fields?\You win!\Huh?\As proof that we'll never do evil again,\please accept our spiritual stone!\Inuyasha... response:	What? Shippo?
context: Oh, how cute!\Hey! Are you the ones plundering the village fields?\You win!\Huh?\As proof that we'll never do evil again,\please accept our spiritual stone!\Inuyasha...\What? Shippo? response:	It's a basic trick in the mini-demon world
context: Hey! Are you the ones plundering the village fields?\You win!\Huh?\As proof that we'll never do evil again,\please accept our spiritual stone!\Inuyasha...\What? Shippo?\It's a basic trick in the mini-demon world response:	to catch your enemy off guard and make an offering.
context: You win!\Huh?\As proof that we'll never do evil again,\please accept our spiritual stone!\Inuyasha...\What? Shippo?\It's a basic trick in the mini-demon world\to catch your enemy off guard and make an offering. response:	So I don't think you should accept.
context: Huh?\As proof that we'll never do evil again,\please accept our spiritual stone!\Inuyasha...\What? Shippo?\It's a basic trick in the mini-demon world\to catch your enemy off guard and make an offering.\So I don't think you should accept. response:	Maybe it's too late.
context: As proof that we'll never do evil again,\please accept our spiritual stone!\Inuyasha...\What? Shippo?\It's a basic trick in the mini-demon world\to catch your enemy off guard and make an offering.\So I don't think you should accept.\Maybe it's too late. response:	Why didn't you say so sooner?!
context: please accept our spiritual stone!\Inuyasha...\What? Shippo?\It's a basic trick in the mini-demon world\to catch your enemy off guard and make an offering.\So I don't think you should accept.\Maybe it's too late.\Why didn't you say so sooner?! response:	Serves you right!
context: Inuyasha...\What? Shippo?\It's a basic trick in the mini-demon world\to catch your enemy off guard and make an offering.\So I don't think you should accept.\Maybe it's too late.\Why didn't you say so sooner?!\Serves you right! response:	The dog demon can't move!
context: What? Shippo?\It's a basic trick in the mini-demon world\to catch your enemy off guard and make an offering.\So I don't think you should accept.\Maybe it's too late.\Why didn't you say so sooner?!\Serves you right!\The dog demon can't move! response:	Moon, moon! Monkey butts are crimson red!
context: It's a basic trick in the mini-demon world\to catch your enemy off guard and make an offering.\So I don't think you should accept.\Maybe it's too late.\Why didn't you say so sooner?!\Serves you right!\The dog demon can't move!\Moon, moon! Monkey butts are crimson red! response:	Stupid fools!
context: to catch your enemy off guard and make an offering.\So I don't think you should accept.\Maybe it's too late.\Why didn't you say so sooner?!\Serves you right!\The dog demon can't move!\Moon, moon! Monkey butts are crimson red!\Stupid fools! response:	You'd better cut out your silly tricks!
context: So I don't think you should accept.\Maybe it's too late.\Why didn't you say so sooner?!\Serves you right!\The dog demon can't move!\Moon, moon! Monkey butts are crimson red!\Stupid fools!\You'd better cut out your silly tricks! response:	It's useless threatening us!
context: Maybe it's too late.\Why didn't you say so sooner?!\Serves you right!\The dog demon can't move!\Moon, moon! Monkey butts are crimson red!\Stupid fools!\You'd better cut out your silly tricks!\It's useless threatening us! response:	Until our spell is broken, you're stuck to the rock!
context: Why didn't you say so sooner?!\Serves you right!\The dog demon can't move!\Moon, moon! Monkey butts are crimson red!\Stupid fools!\You'd better cut out your silly tricks!\It's useless threatening us!\Until our spell is broken, you're stuck to the rock! response:	I see. Then...
context: Serves you right!\The dog demon can't move!\Moon, moon! Monkey butts are crimson red!\Stupid fools!\You'd better cut out your silly tricks!\It's useless threatening us!\Until our spell is broken, you're stuck to the rock!\I see. Then... response:	Then I'lljust clobber you with this hand!
context: The dog demon can't move!\Moon, moon! Monkey butts are crimson red!\Stupid fools!\You'd better cut out your silly tricks!\It's useless threatening us!\Until our spell is broken, you're stuck to the rock!\I see. Then...\Then I'lljust clobber you with this hand! response:	Inuyasha!
context: Moon, moon! Monkey butts are crimson red!\Stupid fools!\You'd better cut out your silly tricks!\It's useless threatening us!\Until our spell is broken, you're stuck to the rock!\I see. Then...\Then I'lljust clobber you with this hand!\Inuyasha! response:	Yay! Yay!
context: Stupid fools!\You'd better cut out your silly tricks!\It's useless threatening us!\Until our spell is broken, you're stuck to the rock!\I see. Then...\Then I'lljust clobber you with this hand!\Inuyasha!\Yay! Yay! response:	Afterthem, Kagome!
context: You'd better cut out your silly tricks!\It's useless threatening us!\Until our spell is broken, you're stuck to the rock!\I see. Then...\Then I'lljust clobber you with this hand!\Inuyasha!\Yay! Yay!\Afterthem, Kagome! response:	K-Kagome!
context: It's useless threatening us!\Until our spell is broken, you're stuck to the rock!\I see. Then...\Then I'lljust clobber you with this hand!\Inuyasha!\Yay! Yay!\Afterthem, Kagome!\K-Kagome! response:	Inuyasha... wait there!
context: Until our spell is broken, you're stuck to the rock!\I see. Then...\Then I'lljust clobber you with this hand!\Inuyasha!\Yay! Yay!\Afterthem, Kagome!\K-Kagome!\Inuyasha... wait there! response:	Oww... hey!
context: I see. Then...\Then I'lljust clobber you with this hand!\Inuyasha!\Yay! Yay!\Afterthem, Kagome!\K-Kagome!\Inuyasha... wait there!\Oww... hey! response:	We can't lose them!
context: Then I'lljust clobber you with this hand!\Inuyasha!\Yay! Yay!\Afterthem, Kagome!\K-Kagome!\Inuyasha... wait there!\Oww... hey!\We can't lose them! response:	Like they said, only the perpetrators can undo the spell!
context: Inuyasha!\Yay! Yay!\Afterthem, Kagome!\K-Kagome!\Inuyasha... wait there!\Oww... hey!\We can't lose them!\Like they said, only the perpetrators can undo the spell! response:	What?!
context: Yay! Yay!\Afterthem, Kagome!\K-Kagome!\Inuyasha... wait there!\Oww... hey!\We can't lose them!\Like they said, only the perpetrators can undo the spell!\What?! response:	Shippo!
context: Afterthem, Kagome!\K-Kagome!\Inuyasha... wait there!\Oww... hey!\We can't lose them!\Like they said, only the perpetrators can undo the spell!\What?!\Shippo! response:	Miroku, weren't we supposed to look for signs of Naraku?
context: K-Kagome!\Inuyasha... wait there!\Oww... hey!\We can't lose them!\Like they said, only the perpetrators can undo the spell!\What?!\Shippo!\Miroku, weren't we supposed to look for signs of Naraku? response:	We don't have Inuyasha who can sniff out Naraku...
context: Inuyasha... wait there!\Oww... hey!\We can't lose them!\Like they said, only the perpetrators can undo the spell!\What?!\Shippo!\Miroku, weren't we supposed to look for signs of Naraku?\We don't have Inuyasha who can sniff out Naraku... response:	Nordo we have Kagome who can sense the Sacred Jewel.
context: Oww... hey!\We can't lose them!\Like they said, only the perpetrators can undo the spell!\What?!\Shippo!\Miroku, weren't we supposed to look for signs of Naraku?\We don't have Inuyasha who can sniff out Naraku...\Nordo we have Kagome who can sense the Sacred Jewel. response:	So what can we do?
context: We can't lose them!\Like they said, only the perpetrators can undo the spell!\What?!\Shippo!\Miroku, weren't we supposed to look for signs of Naraku?\We don't have Inuyasha who can sniff out Naraku...\Nordo we have Kagome who can sense the Sacred Jewel.\So what can we do? response:	Hmm...
context: Like they said, only the perpetrators can undo the spell!\What?!\Shippo!\Miroku, weren't we supposed to look for signs of Naraku?\We don't have Inuyasha who can sniff out Naraku...\Nordo we have Kagome who can sense the Sacred Jewel.\So what can we do?\Hmm... response:	I had to say that or Inuyasha wouldn't have lifted a finger to help.
context: What?!\Shippo!\Miroku, weren't we supposed to look for signs of Naraku?\We don't have Inuyasha who can sniff out Naraku...\Nordo we have Kagome who can sense the Sacred Jewel.\So what can we do?\Hmm...\I had to say that or Inuyasha wouldn't have lifted a finger to help. response:	I'd better shape up!
context: Shippo!\Miroku, weren't we supposed to look for signs of Naraku?\We don't have Inuyasha who can sniff out Naraku...\Nordo we have Kagome who can sense the Sacred Jewel.\So what can we do?\Hmm...\I had to say that or Inuyasha wouldn't have lifted a finger to help.\I'd better shape up! response:	I'd better do something! I'd better do something!
context: Miroku, weren't we supposed to look for signs of Naraku?\We don't have Inuyasha who can sniff out Naraku...\Nordo we have Kagome who can sense the Sacred Jewel.\So what can we do?\Hmm...\I had to say that or Inuyasha wouldn't have lifted a finger to help.\I'd better shape up!\I'd better do something! I'd better do something! response:	Go!
context: We don't have Inuyasha who can sniff out Naraku...\Nordo we have Kagome who can sense the Sacred Jewel.\So what can we do?\Hmm...\I had to say that or Inuyasha wouldn't have lifted a finger to help.\I'd better shape up!\I'd better do something! I'd better do something!\Go! response:	What!
context: Nordo we have Kagome who can sense the Sacred Jewel.\So what can we do?\Hmm...\I had to say that or Inuyasha wouldn't have lifted a finger to help.\I'd better shape up!\I'd better do something! I'd better do something!\Go!\What! response:	Transform!
context: So what can we do?\Hmm...\I had to say that or Inuyasha wouldn't have lifted a finger to help.\I'd better shape up!\I'd better do something! I'd better do something!\Go!\What!\Transform! response:	Combine!
context: Hmm...\I had to say that or Inuyasha wouldn't have lifted a finger to help.\I'd better shape up!\I'd better do something! I'd better do something!\Go!\What!\Transform!\Combine! response:	Smashing Top!
context: I had to say that or Inuyasha wouldn't have lifted a finger to help.\I'd better shape up!\I'd better do something! I'd better do something!\Go!\What!\Transform!\Combine!\Smashing Top! response:	Spinning acorn!
context: I'd better shape up!\I'd better do something! I'd better do something!\Go!\What!\Transform!\Combine!\Smashing Top!\Spinning acorn! response:	You're pretty good!
context: I'd better do something! I'd better do something!\Go!\What!\Transform!\Combine!\Smashing Top!\Spinning acorn!\You're pretty good! response:	You too!
context: Go!\What!\Transform!\Combine!\Smashing Top!\Spinning acorn!\You're pretty good!\You too! response:	Okay, all of you.
context: What!\Transform!\Combine!\Smashing Top!\Spinning acorn!\You're pretty good!\You too!\Okay, all of you. response:	Time for a snack!
context: Transform!\Combine!\Smashing Top!\Spinning acorn!\You're pretty good!\You too!\Okay, all of you.\Time for a snack! response:	Why do you keep pillaging the fields?
context: Combine!\Smashing Top!\Spinning acorn!\You're pretty good!\You too!\Okay, all of you.\Time for a snack!\Why do you keep pillaging the fields? response:	We're not pillaging!
context: Smashing Top!\Spinning acorn!\You're pretty good!\You too!\Okay, all of you.\Time for a snack!\Why do you keep pillaging the fields?\We're not pillaging! response:	We're looking for the Monkey God who has been kidnapped.
context: Spinning acorn!\You're pretty good!\You too!\Okay, all of you.\Time for a snack!\Why do you keep pillaging the fields?\We're not pillaging!\We're looking for the Monkey God who has been kidnapped. response:	Monkey God?
context: You're pretty good!\You too!\Okay, all of you.\Time for a snack!\Why do you keep pillaging the fields?\We're not pillaging!\We're looking for the Monkey God who has been kidnapped.\Monkey God? response:	The deity who was enshrined in this village.
context: You too!\Okay, all of you.\Time for a snack!\Why do you keep pillaging the fields?\We're not pillaging!\We're looking for the Monkey God who has been kidnapped.\Monkey God?\The deity who was enshrined in this village. response:	As sprites who serve the Monkey God,
context: Okay, all of you.\Time for a snack!\Why do you keep pillaging the fields?\We're not pillaging!\We're looking for the Monkey God who has been kidnapped.\Monkey God?\The deity who was enshrined in this village.\As sprites who serve the Monkey God, response:	ourjob was to protect the shrine while continuing our training.
context: Time for a snack!\Why do you keep pillaging the fields?\We're not pillaging!\We're looking for the Monkey God who has been kidnapped.\Monkey God?\The deity who was enshrined in this village.\As sprites who serve the Monkey God,\ourjob was to protect the shrine while continuing our training. response:	But because of the war, the shrine was burned down.
context: Why do you keep pillaging the fields?\We're not pillaging!\We're looking for the Monkey God who has been kidnapped.\Monkey God?\The deity who was enshrined in this village.\As sprites who serve the Monkey God,\ourjob was to protect the shrine while continuing our training.\But because of the war, the shrine was burned down. response:	And the sacred object containing the spirit of the Monkey God was stolen!
context: We're not pillaging!\We're looking for the Monkey God who has been kidnapped.\Monkey God?\The deity who was enshrined in this village.\As sprites who serve the Monkey God,\ourjob was to protect the shrine while continuing our training.\But because of the war, the shrine was burned down.\And the sacred object containing the spirit of the Monkey God was stolen! response:	And you think that the sacred object is in the village?
context: We're looking for the Monkey God who has been kidnapped.\Monkey God?\The deity who was enshrined in this village.\As sprites who serve the Monkey God,\ourjob was to protect the shrine while continuing our training.\But because of the war, the shrine was burned down.\And the sacred object containing the spirit of the Monkey God was stolen!\And you think that the sacred object is in the village? response:	Yes.
context: Monkey God?\The deity who was enshrined in this village.\As sprites who serve the Monkey God,\ourjob was to protect the shrine while continuing our training.\But because of the war, the shrine was burned down.\And the sacred object containing the spirit of the Monkey God was stolen!\And you think that the sacred object is in the village?\Yes. response:	We believe that the sacred object is buried in the field.
context: The deity who was enshrined in this village.\As sprites who serve the Monkey God,\ourjob was to protect the shrine while continuing our training.\But because of the war, the shrine was burned down.\And the sacred object containing the spirit of the Monkey God was stolen!\And you think that the sacred object is in the village?\Yes.\We believe that the sacred object is buried in the field. response:	I know this because I had a dream message.
context: As sprites who serve the Monkey God,\ourjob was to protect the shrine while continuing our training.\But because of the war, the shrine was burned down.\And the sacred object containing the spirit of the Monkey God was stolen!\And you think that the sacred object is in the village?\Yes.\We believe that the sacred object is buried in the field.\I know this because I had a dream message. response:	I saw it, too.
context: ourjob was to protect the shrine while continuing our training.\But because of the war, the shrine was burned down.\And the sacred object containing the spirit of the Monkey God was stolen!\And you think that the sacred object is in the village?\Yes.\We believe that the sacred object is buried in the field.\I know this because I had a dream message.\I saw it, too. response:	I had one, too!
