context: Never before in all the world had such a mysterious phantom manifested... response:	And whenever that strange figure appeared before people,
context: If you don't work, you're gonna be flat broke.\I'm busy right now!\I'm sure you two can handle whatever the job is.\That's not the way it works. We're a team, remember?\Aye!\And when we work together as a team, it's gotta include you.\Natsu...\Plus, I'm starving! response:	Do you have anything to eat around here?
context: I'm busy right now!\I'm sure you two can handle whatever the job is.\That's not the way it works. We're a team, remember?\Aye!\And when we work together as a team, it's gotta include you.\Natsu...\Plus, I'm starving!\Do you have anything to eat around here? response:	You know...
context: I'm sure you two can handle whatever the job is.\That's not the way it works. We're a team, remember?\Aye!\And when we work together as a team, it's gotta include you.\Natsu...\Plus, I'm starving!\Do you have anything to eat around here?\You know... response:	This isn't a restaurant!
context: That's not the way it works. We're a team, remember?\Aye!\And when we work together as a team, it's gotta include you.\Natsu...\Plus, I'm starving!\Do you have anything to eat around here?\You know...\This isn't a restaurant! response:	The Terror of Invisible Lucy!
context: Aye!\And when we work together as a team, it's gotta include you.\Natsu...\Plus, I'm starving!\Do you have anything to eat around here?\You know...\This isn't a restaurant!\The Terror of Invisible Lucy! response:	I lost all my concentration!
context: And when we work together as a team, it's gotta include you.\Natsu...\Plus, I'm starving!\Do you have anything to eat around here?\You know...\This isn't a restaurant!\The Terror of Invisible Lucy!\I lost all my concentration! response:	Think I'll clear my head with a bath...
context: Natsu...\Plus, I'm starving!\Do you have anything to eat around here?\You know...\This isn't a restaurant!\The Terror of Invisible Lucy!\I lost all my concentration!\Think I'll clear my head with a bath... response:	Magic ointment...?
context: Plus, I'm starving!\Do you have anything to eat around here?\You know...\This isn't a restaurant!\The Terror of Invisible Lucy!\I lost all my concentration!\Think I'll clear my head with a bath...\Magic ointment...? response:	Oh, that's right. I prepared it myself, didn't I?
context: Do you have anything to eat around here?\You know...\This isn't a restaurant!\The Terror of Invisible Lucy!\I lost all my concentration!\Think I'll clear my head with a bath...\Magic ointment...?\Oh, that's right. I prepared it myself, didn't I? response:	Using this will make my skin so beautiful, it'll almost be translucent.
context: You know...\This isn't a restaurant!\The Terror of Invisible Lucy!\I lost all my concentration!\Think I'll clear my head with a bath...\Magic ointment...?\Oh, that's right. I prepared it myself, didn't I?\Using this will make my skin so beautiful, it'll almost be translucent. response:	It's been a long time, maybe I'll put some on...
context: This isn't a restaurant!\The Terror of Invisible Lucy!\I lost all my concentration!\Think I'll clear my head with a bath...\Magic ointment...?\Oh, that's right. I prepared it myself, didn't I?\Using this will make my skin so beautiful, it'll almost be translucent.\It's been a long time, maybe I'll put some on... response:	An invisible person...
context: The Terror of Invisible Lucy!\I lost all my concentration!\Think I'll clear my head with a bath...\Magic ointment...?\Oh, that's right. I prepared it myself, didn't I?\Using this will make my skin so beautiful, it'll almost be translucent.\It's been a long time, maybe I'll put some on...\An invisible person... response:	I wonder what I could do if that really happened to me.
context: I lost all my concentration!\Think I'll clear my head with a bath...\Magic ointment...?\Oh, that's right. I prepared it myself, didn't I?\Using this will make my skin so beautiful, it'll almost be translucent.\It's been a long time, maybe I'll put some on...\An invisible person...\I wonder what I could do if that really happened to me. response:	Surprise everyone...
context: Think I'll clear my head with a bath...\Magic ointment...?\Oh, that's right. I prepared it myself, didn't I?\Using this will make my skin so beautiful, it'll almost be translucent.\It's been a long time, maybe I'll put some on...\An invisible person...\I wonder what I could do if that really happened to me.\Surprise everyone... response:	And maybe it would be useful for work...
context: Magic ointment...?\Oh, that's right. I prepared it myself, didn't I?\Using this will make my skin so beautiful, it'll almost be translucent.\It's been a long time, maybe I'll put some on...\An invisible person...\I wonder what I could do if that really happened to me.\Surprise everyone...\And maybe it would be useful for work... response:	What a dreamer!
context: Oh, that's right. I prepared it myself, didn't I?\Using this will make my skin so beautiful, it'll almost be translucent.\It's been a long time, maybe I'll put some on...\An invisible person...\I wonder what I could do if that really happened to me.\Surprise everyone...\And maybe it would be useful for work...\What a dreamer! response:	Feel a little dizzy...
context: Using this will make my skin so beautiful, it'll almost be translucent.\It's been a long time, maybe I'll put some on...\An invisible person...\I wonder what I could do if that really happened to me.\Surprise everyone...\And maybe it would be useful for work...\What a dreamer!\Feel a little dizzy... response:	Huh?
context: It's been a long time, maybe I'll put some on...\An invisible person...\I wonder what I could do if that really happened to me.\Surprise everyone...\And maybe it would be useful for work...\What a dreamer!\Feel a little dizzy...\Huh? response:	What? What's this?!
context: An invisible person...\I wonder what I could do if that really happened to me.\Surprise everyone...\And maybe it would be useful for work...\What a dreamer!\Feel a little dizzy...\Huh?\What? What's this?! response:	I've really become invisible!
context: I wonder what I could do if that really happened to me.\Surprise everyone...\And maybe it would be useful for work...\What a dreamer!\Feel a little dizzy...\Huh?\What? What's this?!\I've really become invisible! response:	I see... I made this ointment seven years ago.
context: Surprise everyone...\And maybe it would be useful for work...\What a dreamer!\Feel a little dizzy...\Huh?\What? What's this?!\I've really become invisible!\I see... I made this ointment seven years ago. response:	Maybe is got so old that the effect has changed!
context: And maybe it would be useful for work...\What a dreamer!\Feel a little dizzy...\Huh?\What? What's this?!\I've really become invisible!\I see... I made this ointment seven years ago.\Maybe is got so old that the effect has changed! response:	I can't just stay like this!
context: What a dreamer!\Feel a little dizzy...\Huh?\What? What's this?!\I've really become invisible!\I see... I made this ointment seven years ago.\Maybe is got so old that the effect has changed!\I can't just stay like this! response:	I need Natsu and the rest to help me!
context: Feel a little dizzy...\Huh?\What? What's this?!\I've really become invisible!\I see... I made this ointment seven years ago.\Maybe is got so old that the effect has changed!\I can't just stay like this!\I need Natsu and the rest to help me! response:	This is bad... If I go outside like this, it'll cause a panic!
context: Huh?\What? What's this?!\I've really become invisible!\I see... I made this ointment seven years ago.\Maybe is got so old that the effect has changed!\I can't just stay like this!\I need Natsu and the rest to help me!\This is bad... If I go outside like this, it'll cause a panic! response:	Huh?
context: What? What's this?!\I've really become invisible!\I see... I made this ointment seven years ago.\Maybe is got so old that the effect has changed!\I can't just stay like this!\I need Natsu and the rest to help me!\This is bad... If I go outside like this, it'll cause a panic!\Huh? response:	That's strange. No one's there, but...
context: I've really become invisible!\I see... I made this ointment seven years ago.\Maybe is got so old that the effect has changed!\I can't just stay like this!\I need Natsu and the rest to help me!\This is bad... If I go outside like this, it'll cause a panic!\Huh?\That's strange. No one's there, but... response:	No one can see me, so I'd better be careful or they'll bump into me...
context: I see... I made this ointment seven years ago.\Maybe is got so old that the effect has changed!\I can't just stay like this!\I need Natsu and the rest to help me!\This is bad... If I go outside like this, it'll cause a panic!\Huh?\That's strange. No one's there, but...\No one can see me, so I'd better be careful or they'll bump into me... response:	Oh, I know. I'll stay off to the side.
context: Maybe is got so old that the effect has changed!\I can't just stay like this!\I need Natsu and the rest to help me!\This is bad... If I go outside like this, it'll cause a panic!\Huh?\That's strange. No one's there, but...\No one can see me, so I'd better be careful or they'll bump into me...\Oh, I know. I'll stay off to the side. response:	I came out in a hurry, but now that I think of it, I'm naked.
context: I can't just stay like this!\I need Natsu and the rest to help me!\This is bad... If I go outside like this, it'll cause a panic!\Huh?\That's strange. No one's there, but...\No one can see me, so I'd better be careful or they'll bump into me...\Oh, I know. I'll stay off to the side.\I came out in a hurry, but now that I think of it, I'm naked. response:	If the ointment wears off...
context: I need Natsu and the rest to help me!\This is bad... If I go outside like this, it'll cause a panic!\Huh?\That's strange. No one's there, but...\No one can see me, so I'd better be careful or they'll bump into me...\Oh, I know. I'll stay off to the side.\I came out in a hurry, but now that I think of it, I'm naked.\If the ointment wears off... response:	Although come to think of it, now that nobody can see me,
context: This is bad... If I go outside like this, it'll cause a panic!\Huh?\That's strange. No one's there, but...\No one can see me, so I'd better be careful or they'll bump into me...\Oh, I know. I'll stay off to the side.\I came out in a hurry, but now that I think of it, I'm naked.\If the ointment wears off...\Although come to think of it, now that nobody can see me, response:	even if I do this weird pose...
context: Huh?\That's strange. No one's there, but...\No one can see me, so I'd better be careful or they'll bump into me...\Oh, I know. I'll stay off to the side.\I came out in a hurry, but now that I think of it, I'm naked.\If the ointment wears off...\Although come to think of it, now that nobody can see me,\even if I do this weird pose... response:	Or this pose... or this pose...
context: That's strange. No one's there, but...\No one can see me, so I'd better be careful or they'll bump into me...\Oh, I know. I'll stay off to the side.\I came out in a hurry, but now that I think of it, I'm naked.\If the ointment wears off...\Although come to think of it, now that nobody can see me,\even if I do this weird pose...\Or this pose... or this pose... response:	Nobody can see it!
context: No one can see me, so I'd better be careful or they'll bump into me...\Oh, I know. I'll stay off to the side.\I came out in a hurry, but now that I think of it, I'm naked.\If the ointment wears off...\Although come to think of it, now that nobody can see me,\even if I do this weird pose...\Or this pose... or this pose...\Nobody can see it! response:	It's embarrassing, but fun!
context: Oh, I know. I'll stay off to the side.\I came out in a hurry, but now that I think of it, I'm naked.\If the ointment wears off...\Although come to think of it, now that nobody can see me,\even if I do this weird pose...\Or this pose... or this pose...\Nobody can see it!\It's embarrassing, but fun! response:	Though I feel like an idiot getting excited all by myself...
context: I came out in a hurry, but now that I think of it, I'm naked.\If the ointment wears off...\Although come to think of it, now that nobody can see me,\even if I do this weird pose...\Or this pose... or this pose...\Nobody can see it!\It's embarrassing, but fun!\Though I feel like an idiot getting excited all by myself... response:	Hey... Cut it out! Shoo!
context: If the ointment wears off...\Although come to think of it, now that nobody can see me,\even if I do this weird pose...\Or this pose... or this pose...\Nobody can see it!\It's embarrassing, but fun!\Though I feel like an idiot getting excited all by myself...\Hey... Cut it out! Shoo! response:	What's wrong? There's nothing there.
context: Although come to think of it, now that nobody can see me,\even if I do this weird pose...\Or this pose... or this pose...\Nobody can see it!\It's embarrassing, but fun!\Though I feel like an idiot getting excited all by myself...\Hey... Cut it out! Shoo!\What's wrong? There's nothing there. response:	Whose voice is that?
context: even if I do this weird pose...\Or this pose... or this pose...\Nobody can see it!\It's embarrassing, but fun!\Though I feel like an idiot getting excited all by myself...\Hey... Cut it out! Shoo!\What's wrong? There's nothing there.\Whose voice is that? response:	That was close.
context: Or this pose... or this pose...\Nobody can see it!\It's embarrassing, but fun!\Though I feel like an idiot getting excited all by myself...\Hey... Cut it out! Shoo!\What's wrong? There's nothing there.\Whose voice is that?\That was close. response:	I'd better get to Fairy Tail and fast...
context: Nobody can see it!\It's embarrassing, but fun!\Though I feel like an idiot getting excited all by myself...\Hey... Cut it out! Shoo!\What's wrong? There's nothing there.\Whose voice is that?\That was close.\I'd better get to Fairy Tail and fast... response:	What is that? Something's here!
context: It's embarrassing, but fun!\Though I feel like an idiot getting excited all by myself...\Hey... Cut it out! Shoo!\What's wrong? There's nothing there.\Whose voice is that?\That was close.\I'd better get to Fairy Tail and fast...\What is that? Something's here! response:	Weird!
context: Though I feel like an idiot getting excited all by myself...\Hey... Cut it out! Shoo!\What's wrong? There's nothing there.\Whose voice is that?\That was close.\I'd better get to Fairy Tail and fast...\What is that? Something's here!\Weird! response:	You're right! I feel something!
context: Hey... Cut it out! Shoo!\What's wrong? There's nothing there.\Whose voice is that?\That was close.\I'd better get to Fairy Tail and fast...\What is that? Something's here!\Weird!\You're right! I feel something! response:	It's soft and warm!
context: What's wrong? There's nothing there.\Whose voice is that?\That was close.\I'd better get to Fairy Tail and fast...\What is that? Something's here!\Weird!\You're right! I feel something!\It's soft and warm! response:	It feels like a person!
context: Whose voice is that?\That was close.\I'd better get to Fairy Tail and fast...\What is that? Something's here!\Weird!\You're right! I feel something!\It's soft and warm!\It feels like a person! response:	Oh, no...
context: That was close.\I'd better get to Fairy Tail and fast...\What is that? Something's here!\Weird!\You're right! I feel something!\It's soft and warm!\It feels like a person!\Oh, no... response:	Th-That tickles! Knock it off!
context: I'd better get to Fairy Tail and fast...\What is that? Something's here!\Weird!\You're right! I feel something!\It's soft and warm!\It feels like a person!\Oh, no...\Th-That tickles! Knock it off! response:	Don't touch me!
context: What is that? Something's here!\Weird!\You're right! I feel something!\It's soft and warm!\It feels like a person!\Oh, no...\Th-That tickles! Knock it off!\Don't touch me! response:	It ran away!
context: Weird!\You're right! I feel something!\It's soft and warm!\It feels like a person!\Oh, no...\Th-That tickles! Knock it off!\Don't touch me!\It ran away! response:	Come back here!
context: You're right! I feel something!\It's soft and warm!\It feels like a person!\Oh, no...\Th-That tickles! Knock it off!\Don't touch me!\It ran away!\Come back here! response:	It's an invisible ghost!
context: It's soft and warm!\It feels like a person!\Oh, no...\Th-That tickles! Knock it off!\Don't touch me!\It ran away!\Come back here!\It's an invisible ghost! response:	Let's catch it!
context: It feels like a person!\Oh, no...\Th-That tickles! Knock it off!\Don't touch me!\It ran away!\Come back here!\It's an invisible ghost!\Let's catch it! response:	Gimme a break! What a revolting development!
context: Oh, no...\Th-That tickles! Knock it off!\Don't touch me!\It ran away!\Come back here!\It's an invisible ghost!\Let's catch it!\Gimme a break! What a revolting development! response:	I know! I'll hide in here!
context: Th-That tickles! Knock it off!\Don't touch me!\It ran away!\Come back here!\It's an invisible ghost!\Let's catch it!\Gimme a break! What a revolting development!\I know! I'll hide in here! response:	Come back!
context: Don't touch me!\It ran away!\Come back here!\It's an invisible ghost!\Let's catch it!\Gimme a break! What a revolting development!\I know! I'll hide in here!\Come back! response:	Safe...
context: It ran away!\Come back here!\It's an invisible ghost!\Let's catch it!\Gimme a break! What a revolting development!\I know! I'll hide in here!\Come back!\Safe... response:	F-Finally made it...
context: Come back here!\It's an invisible ghost!\Let's catch it!\Gimme a break! What a revolting development!\I know! I'll hide in here!\Come back!\Safe...\F-Finally made it... response:	What a mooch, Natsu!
context: It's an invisible ghost!\Let's catch it!\Gimme a break! What a revolting development!\I know! I'll hide in here!\Come back!\Safe...\F-Finally made it...\What a mooch, Natsu! response:	Huh, so Lucy-nee literally booted you out?
context: Let's catch it!\Gimme a break! What a revolting development!\I know! I'll hide in here!\Come back!\Safe...\F-Finally made it...\What a mooch, Natsu!\Huh, so Lucy-nee literally booted you out? response:	Yeah, even though I was there to invite her out on a job!
context: Gimme a break! What a revolting development!\I know! I'll hide in here!\Come back!\Safe...\F-Finally made it...\What a mooch, Natsu!\Huh, so Lucy-nee literally booted you out?\Yeah, even though I was there to invite her out on a job! response:	It's only natural she'd be angry.
context: I know! I'll hide in here!\Come back!\Safe...\F-Finally made it...\What a mooch, Natsu!\Huh, so Lucy-nee literally booted you out?\Yeah, even though I was there to invite her out on a job!\It's only natural she'd be angry. response:	I hear you two sometimes even use her bath without asking.
context: Come back!\Safe...\F-Finally made it...\What a mooch, Natsu!\Huh, so Lucy-nee literally booted you out?\Yeah, even though I was there to invite her out on a job!\It's only natural she'd be angry.\I hear you two sometimes even use her bath without asking. response:	That's a flagrant breach of manners.
context: Safe...\F-Finally made it...\What a mooch, Natsu!\Huh, so Lucy-nee literally booted you out?\Yeah, even though I was there to invite her out on a job!\It's only natural she'd be angry.\I hear you two sometimes even use her bath without asking.\That's a flagrant breach of manners. response:	I agree.
context: F-Finally made it...\What a mooch, Natsu!\Huh, so Lucy-nee literally booted you out?\Yeah, even though I was there to invite her out on a job!\It's only natural she'd be angry.\I hear you two sometimes even use her bath without asking.\That's a flagrant breach of manners.\I agree. response:	Even though you're on the same team, a line needs to be drawn.
context: What a mooch, Natsu!\Huh, so Lucy-nee literally booted you out?\Yeah, even though I was there to invite her out on a job!\It's only natural she'd be angry.\I hear you two sometimes even use her bath without asking.\That's a flagrant breach of manners.\I agree.\Even though you're on the same team, a line needs to be drawn. response:	Whenever you're out of money, come over here and I'll feed you.
context: Huh, so Lucy-nee literally booted you out?\Yeah, even though I was there to invite her out on a job!\It's only natural she'd be angry.\I hear you two sometimes even use her bath without asking.\That's a flagrant breach of manners.\I agree.\Even though you're on the same team, a line needs to be drawn.\Whenever you're out of money, come over here and I'll feed you. response:	Although for inconsiderate jerks like you two,
context: Yeah, even though I was there to invite her out on a job!\It's only natural she'd be angry.\I hear you two sometimes even use her bath without asking.\That's a flagrant breach of manners.\I agree.\Even though you're on the same team, a line needs to be drawn.\Whenever you're out of money, come over here and I'll feed you.\Although for inconsiderate jerks like you two, response:	I'm sure this goes right over your heads.
context: It's only natural she'd be angry.\I hear you two sometimes even use her bath without asking.\That's a flagrant breach of manners.\I agree.\Even though you're on the same team, a line needs to be drawn.\Whenever you're out of money, come over here and I'll feed you.\Although for inconsiderate jerks like you two,\I'm sure this goes right over your heads. response:	But I think she could've been a little nicer to us!
context: I hear you two sometimes even use her bath without asking.\That's a flagrant breach of manners.\I agree.\Even though you're on the same team, a line needs to be drawn.\Whenever you're out of money, come over here and I'll feed you.\Although for inconsiderate jerks like you two,\I'm sure this goes right over your heads.\But I think she could've been a little nicer to us! response:	That kind of behavior is the reason she'll never be able to snag a boyfriend!
context: That's a flagrant breach of manners.\I agree.\Even though you're on the same team, a line needs to be drawn.\Whenever you're out of money, come over here and I'll feed you.\Although for inconsiderate jerks like you two,\I'm sure this goes right over your heads.\But I think she could've been a little nicer to us!\That kind of behavior is the reason she'll never be able to snag a boyfriend! response:	He's got her number!
context: I agree.\Even though you're on the same team, a line needs to be drawn.\Whenever you're out of money, come over here and I'll feed you.\Although for inconsiderate jerks like you two,\I'm sure this goes right over your heads.\But I think she could've been a little nicer to us!\That kind of behavior is the reason she'll never be able to snag a boyfriend!\He's got her number! response:	Or even if she got a boyfriend, I bet he'd run away first chance he had.
context: Even though you're on the same team, a line needs to be drawn.\Whenever you're out of money, come over here and I'll feed you.\Although for inconsiderate jerks like you two,\I'm sure this goes right over your heads.\But I think she could've been a little nicer to us!\That kind of behavior is the reason she'll never be able to snag a boyfriend!\He's got her number!\Or even if she got a boyfriend, I bet he'd run away first chance he had. response:	She was born a lady outside, but she's a barbarian on the inside.
context: Whenever you're out of money, come over here and I'll feed you.\Although for inconsiderate jerks like you two,\I'm sure this goes right over your heads.\But I think she could've been a little nicer to us!\That kind of behavior is the reason she'll never be able to snag a boyfriend!\He's got her number!\Or even if she got a boyfriend, I bet he'd run away first chance he had.\She was born a lady outside, but she's a barbarian on the inside. response:	Mm. Only a Man who was truly wild could be a match for her.
context: Although for inconsiderate jerks like you two,\I'm sure this goes right over your heads.\But I think she could've been a little nicer to us!\That kind of behavior is the reason she'll never be able to snag a boyfriend!\He's got her number!\Or even if she got a boyfriend, I bet he'd run away first chance he had.\She was born a lady outside, but she's a barbarian on the inside.\Mm. Only a Man who was truly wild could be a match for her. response:	Lucy should learn a little from Team Shadow Gear's Levy!
context: I'm sure this goes right over your heads.\But I think she could've been a little nicer to us!\That kind of behavior is the reason she'll never be able to snag a boyfriend!\He's got her number!\Or even if she got a boyfriend, I bet he'd run away first chance he had.\She was born a lady outside, but she's a barbarian on the inside.\Mm. Only a Man who was truly wild could be a match for her.\Lucy should learn a little from Team Shadow Gear's Levy! response:	She should act more like a lady!
