context: Otter No. 11 response:	Otter goes back to the sea!
context: I won't let you.\PORPHYRITIC ANDESITE\You too are supposed to hate humans,\Why are you getting in the way?\You won't understand.\I'm Otter Human.\Not an otter nor a human... But Halfway.\But this is who I am. response:	You -who denied remodeled himself- won't understand.
context: PORPHYRITIC ANDESITE\You too are supposed to hate humans,\Why are you getting in the way?\You won't understand.\I'm Otter Human.\Not an otter nor a human... But Halfway.\But this is who I am.\You -who denied remodeled himself- won't understand. response:	Don't give such unacceptable answers.
context: You too are supposed to hate humans,\Why are you getting in the way?\You won't understand.\I'm Otter Human.\Not an otter nor a human... But Halfway.\But this is who I am.\You -who denied remodeled himself- won't understand.\Don't give such unacceptable answers. response:	You shall be the prey for my tail.
context: Why are you getting in the way?\You won't understand.\I'm Otter Human.\Not an otter nor a human... But Halfway.\But this is who I am.\You -who denied remodeled himself- won't understand.\Don't give such unacceptable answers.\You shall be the prey for my tail. response:	Such tail shall not be used as an otter's tail.
context: You won't understand.\I'm Otter Human.\Not an otter nor a human... But Halfway.\But this is who I am.\You -who denied remodeled himself- won't understand.\Don't give such unacceptable answers.\You shall be the prey for my tail.\Such tail shall not be used as an otter's tail. response:	My tail is Carbon...
context: I'm Otter Human.\Not an otter nor a human... But Halfway.\But this is who I am.\You -who denied remodeled himself- won't understand.\Don't give such unacceptable answers.\You shall be the prey for my tail.\Such tail shall not be used as an otter's tail.\My tail is Carbon... response:	Thank you.. No. 11.
context: Not an otter nor a human... But Halfway.\But this is who I am.\You -who denied remodeled himself- won't understand.\Don't give such unacceptable answers.\You shall be the prey for my tail.\Such tail shall not be used as an otter's tail.\My tail is Carbon...\Thank you.. No. 11. response:	I knew you would stop No. 9.
context: But this is who I am.\You -who denied remodeled himself- won't understand.\Don't give such unacceptable answers.\You shall be the prey for my tail.\Such tail shall not be used as an otter's tail.\My tail is Carbon...\Thank you.. No. 11.\I knew you would stop No. 9. response:	Hamada-kun!
context: You -who denied remodeled himself- won't understand.\Don't give such unacceptable answers.\You shall be the prey for my tail.\Such tail shall not be used as an otter's tail.\My tail is Carbon...\Thank you.. No. 11.\I knew you would stop No. 9.\Hamada-kun! response:	I'm another Lost Number... Otter No. 8.
context: Don't give such unacceptable answers.\You shall be the prey for my tail.\Such tail shall not be used as an otter's tail.\My tail is Carbon...\Thank you.. No. 11.\I knew you would stop No. 9.\Hamada-kun!\I'm another Lost Number... Otter No. 8. response:	This place is not suitable for us.
context: You shall be the prey for my tail.\Such tail shall not be used as an otter's tail.\My tail is Carbon...\Thank you.. No. 11.\I knew you would stop No. 9.\Hamada-kun!\I'm another Lost Number... Otter No. 8.\This place is not suitable for us. response:	Farewell.
context: Such tail shall not be used as an otter's tail.\My tail is Carbon...\Thank you.. No. 11.\I knew you would stop No. 9.\Hamada-kun!\I'm another Lost Number... Otter No. 8.\This place is not suitable for us.\Farewell. response:	I was happy when you called me close friend.
context: My tail is Carbon...\Thank you.. No. 11.\I knew you would stop No. 9.\Hamada-kun!\I'm another Lost Number... Otter No. 8.\This place is not suitable for us.\Farewell.\I was happy when you called me close friend. response:	Hamada-kun.
context: Thank you.. No. 11.\I knew you would stop No. 9.\Hamada-kun!\I'm another Lost Number... Otter No. 8.\This place is not suitable for us.\Farewell.\I was happy when you called me close friend.\Hamada-kun. response:	Farewell.
context: I knew you would stop No. 9.\Hamada-kun!\I'm another Lost Number... Otter No. 8.\This place is not suitable for us.\Farewell.\I was happy when you called me close friend.\Hamada-kun.\Farewell. response:	Mr. Otter.
context: Hamada-kun!\I'm another Lost Number... Otter No. 8.\This place is not suitable for us.\Farewell.\I was happy when you called me close friend.\Hamada-kun.\Farewell.\Mr. Otter. response:	I see... you saved Hamada-kun...
context: I'm another Lost Number... Otter No. 8.\This place is not suitable for us.\Farewell.\I was happy when you called me close friend.\Hamada-kun.\Farewell.\Mr. Otter.\I see... you saved Hamada-kun... response:	Thank you.
context: This place is not suitable for us.\Farewell.\I was happy when you called me close friend.\Hamada-kun.\Farewell.\Mr. Otter.\I see... you saved Hamada-kun...\Thank you. response:	Mr. Otter, what will you do after this?
context: Farewell.\I was happy when you called me close friend.\Hamada-kun.\Farewell.\Mr. Otter.\I see... you saved Hamada-kun...\Thank you.\Mr. Otter, what will you do after this? response:	The supermarket near us needs a part-timer...
context: I was happy when you called me close friend.\Hamada-kun.\Farewell.\Mr. Otter.\I see... you saved Hamada-kun...\Thank you.\Mr. Otter, what will you do after this?\The supermarket near us needs a part-timer... response:	Here is not suitable for me too
context: Hamada-kun.\Farewell.\Mr. Otter.\I see... you saved Hamada-kun...\Thank you.\Mr. Otter, what will you do after this?\The supermarket near us needs a part-timer...\Here is not suitable for me too response:	I will go back.. to the home of everything.
context: Farewell.\Mr. Otter.\I see... you saved Hamada-kun...\Thank you.\Mr. Otter, what will you do after this?\The supermarket near us needs a part-timer...\Here is not suitable for me too\I will go back.. to the home of everything. response:	I'm free.
context: Mr. Otter.\I see... you saved Hamada-kun...\Thank you.\Mr. Otter, what will you do after this?\The supermarket near us needs a part-timer...\Here is not suitable for me too\I will go back.. to the home of everything.\I'm free. response:	The End.
context: I see... you saved Hamada-kun...\Thank you.\Mr. Otter, what will you do after this?\The supermarket near us needs a part-timer...\Here is not suitable for me too\I will go back.. to the home of everything.\I'm free.\The End. response:	La La La
context: Thank you.\Mr. Otter, what will you do after this?\The supermarket near us needs a part-timer...\Here is not suitable for me too\I will go back.. to the home of everything.\I'm free.\The End.\La La La response:	Otter Otter... Otter Otter
context: Mr. Otter, what will you do after this?\The supermarket near us needs a part-timer...\Here is not suitable for me too\I will go back.. to the home of everything.\I'm free.\The End.\La La La\Otter Otter... Otter Otter response:	Otter Otter Otter No. 11
context: The supermarket near us needs a part-timer...\Here is not suitable for me too\I will go back.. to the home of everything.\I'm free.\The End.\La La La\Otter Otter... Otter Otter\Otter Otter Otter No. 11 response:	No. 1 has a little long beard
context: Here is not suitable for me too\I will go back.. to the home of everything.\I'm free.\The End.\La La La\Otter Otter... Otter Otter\Otter Otter Otter No. 11\No. 1 has a little long beard response:	No. 2 has a good fur
context: I will go back.. to the home of everything.\I'm free.\The End.\La La La\Otter Otter... Otter Otter\Otter Otter Otter No. 11\No. 1 has a little long beard\No. 2 has a good fur response:	No. 3 has big ears... No. 4 has big chest
context: I'm free.\The End.\La La La\Otter Otter... Otter Otter\Otter Otter Otter No. 11\No. 1 has a little long beard\No. 2 has a good fur\No. 3 has big ears... No. 4 has big chest response:	No. 5 has charming eyes
context: The End.\La La La\Otter Otter... Otter Otter\Otter Otter Otter No. 11\No. 1 has a little long beard\No. 2 has a good fur\No. 3 has big ears... No. 4 has big chest\No. 5 has charming eyes response:	No. 6 has tried manicure
context: La La La\Otter Otter... Otter Otter\Otter Otter Otter No. 11\No. 1 has a little long beard\No. 2 has a good fur\No. 3 has big ears... No. 4 has big chest\No. 5 has charming eyes\No. 6 has tried manicure response:	No. 7 has tried pedicure
context: Otter Otter... Otter Otter\Otter Otter Otter No. 11\No. 1 has a little long beard\No. 2 has a good fur\No. 3 has big ears... No. 4 has big chest\No. 5 has charming eyes\No. 6 has tried manicure\No. 7 has tried pedicure response:	No. 8 9 have no records
context: Otter Otter Otter No. 11\No. 1 has a little long beard\No. 2 has a good fur\No. 3 has big ears... No. 4 has big chest\No. 5 has charming eyes\No. 6 has tried manicure\No. 7 has tried pedicure\No. 8 9 have no records response:	No. 10 has a 2-meters tail
context: No. 1 has a little long beard\No. 2 has a good fur\No. 3 has big ears... No. 4 has big chest\No. 5 has charming eyes\No. 6 has tried manicure\No. 7 has tried pedicure\No. 8 9 have no records\No. 10 has a 2-meters tail response:	And No. 11 ... We are No. 11
context: No. 2 has a good fur\No. 3 has big ears... No. 4 has big chest\No. 5 has charming eyes\No. 6 has tried manicure\No. 7 has tried pedicure\No. 8 9 have no records\No. 10 has a 2-meters tail\And No. 11 ... We are No. 11 response:	Otter Otter... Otter Otter
context: No. 3 has big ears... No. 4 has big chest\No. 5 has charming eyes\No. 6 has tried manicure\No. 7 has tried pedicure\No. 8 9 have no records\No. 10 has a 2-meters tail\And No. 11 ... We are No. 11\Otter Otter... Otter Otter response:	Otter Otter Otter No. 11
context: No. 5 has charming eyes\No. 6 has tried manicure\No. 7 has tried pedicure\No. 8 9 have no records\No. 10 has a 2-meters tail\And No. 11 ... We are No. 11\Otter Otter... Otter Otter\Otter Otter Otter No. 11 response:	Otter Otter Otter No. 11
context: No. 6 has tried manicure\No. 7 has tried pedicure\No. 8 9 have no records\No. 10 has a 2-meters tail\And No. 11 ... We are No. 11\Otter Otter... Otter Otter\Otter Otter Otter No. 11\Otter Otter Otter No. 11 response:	Favorite beefsteak well-done
