context: Milika here! response:	In this video, I try walking in on three of my classmates in a relationship.
context: Y-You're going to reject me?!\W-Wait, you!\Are you actually going to reject me?\I'm sorry. Really.\If you're just looking for a boyfriend, you'll find one in no time.\But I'm so cute, and I'm huge on MeTube.\I'm obviously better than those two!\Is that really how you choose who to date? response:	Are you actually that proper?!
context: W-Wait, you!\Are you actually going to reject me?\I'm sorry. Really.\If you're just looking for a boyfriend, you'll find one in no time.\But I'm so cute, and I'm huge on MeTube.\I'm obviously better than those two!\Is that really how you choose who to date?\Are you actually that proper?! response:	You're already dating two girls!
context: Are you actually going to reject me?\I'm sorry. Really.\If you're just looking for a boyfriend, you'll find one in no time.\But I'm so cute, and I'm huge on MeTube.\I'm obviously better than those two!\Is that really how you choose who to date?\Are you actually that proper?!\You're already dating two girls! response:	What's wrong with you?!
context: I'm sorry. Really.\If you're just looking for a boyfriend, you'll find one in no time.\But I'm so cute, and I'm huge on MeTube.\I'm obviously better than those two!\Is that really how you choose who to date?\Are you actually that proper?!\You're already dating two girls!\What's wrong with you?! response:	There'd be no end to it if I dated everyone who's cute.
context: If you're just looking for a boyfriend, you'll find one in no time.\But I'm so cute, and I'm huge on MeTube.\I'm obviously better than those two!\Is that really how you choose who to date?\Are you actually that proper?!\You're already dating two girls!\What's wrong with you?!\There'd be no end to it if I dated everyone who's cute. response:	Says a two-timer!
context: But I'm so cute, and I'm huge on MeTube.\I'm obviously better than those two!\Is that really how you choose who to date?\Are you actually that proper?!\You're already dating two girls!\What's wrong with you?!\There'd be no end to it if I dated everyone who's cute.\Says a two-timer! response:	I want you to understand that, more than anything,
context: I'm obviously better than those two!\Is that really how you choose who to date?\Are you actually that proper?!\You're already dating two girls!\What's wrong with you?!\There'd be no end to it if I dated everyone who's cute.\Says a two-timer!\I want you to understand that, more than anything, response:	I want to make my two girlfriends happy.
context: Is that really how you choose who to date?\Are you actually that proper?!\You're already dating two girls!\What's wrong with you?!\There'd be no end to it if I dated everyone who's cute.\Says a two-timer!\I want you to understand that, more than anything,\I want to make my two girlfriends happy. response:	Naoya...
context: Are you actually that proper?!\You're already dating two girls!\What's wrong with you?!\There'd be no end to it if I dated everyone who's cute.\Says a two-timer!\I want you to understand that, more than anything,\I want to make my two girlfriends happy.\Naoya... response:	Naoya-kun...
context: You're already dating two girls!\What's wrong with you?!\There'd be no end to it if I dated everyone who's cute.\Says a two-timer!\I want you to understand that, more than anything,\I want to make my two girlfriends happy.\Naoya...\Naoya-kun... response:	You'd have to be an idiot to reject me!
context: What's wrong with you?!\There'd be no end to it if I dated everyone who's cute.\Says a two-timer!\I want you to understand that, more than anything,\I want to make my two girlfriends happy.\Naoya...\Naoya-kun...\You'd have to be an idiot to reject me! response:	True...
context: There'd be no end to it if I dated everyone who's cute.\Says a two-timer!\I want you to understand that, more than anything,\I want to make my two girlfriends happy.\Naoya...\Naoya-kun...\You'd have to be an idiot to reject me!\True... response:	Naoya!
context: Says a two-timer!\I want you to understand that, more than anything,\I want to make my two girlfriends happy.\Naoya...\Naoya-kun...\You'd have to be an idiot to reject me!\True...\Naoya! response:	Naoya-kun!
context: I want you to understand that, more than anything,\I want to make my two girlfriends happy.\Naoya...\Naoya-kun...\You'd have to be an idiot to reject me!\True...\Naoya!\Naoya-kun! response:	Right?
context: I want to make my two girlfriends happy.\Naoya...\Naoya-kun...\You'd have to be an idiot to reject me!\True...\Naoya!\Naoya-kun!\Right? response:	But...
context: Naoya...\Naoya-kun...\You'd have to be an idiot to reject me!\True...\Naoya!\Naoya-kun!\Right?\But... response:	Sorry.
context: Naoya-kun...\You'd have to be an idiot to reject me!\True...\Naoya!\Naoya-kun!\Right?\But...\Sorry. response:	What's your deal?!
context: You'd have to be an idiot to reject me!\True...\Naoya!\Naoya-kun!\Right?\But...\Sorry.\What's your deal?! response:	Get it now?
context: True...\Naoya!\Naoya-kun!\Right?\But...\Sorry.\What's your deal?!\Get it now? response:	Naoya already has enough girlfriends in the two of us.
context: Naoya!\Naoya-kun!\Right?\But...\Sorry.\What's your deal?!\Get it now?\Naoya already has enough girlfriends in the two of us. response:	Damn you...
context: Naoya-kun!\Right?\But...\Sorry.\What's your deal?!\Get it now?\Naoya already has enough girlfriends in the two of us.\Damn you... response:	Huh?
context: Right?\But...\Sorry.\What's your deal?!\Get it now?\Naoya already has enough girlfriends in the two of us.\Damn you...\Huh? response:	What are you...
context: But...\Sorry.\What's your deal?!\Get it now?\Naoya already has enough girlfriends in the two of us.\Damn you...\Huh?\What are you... response:	They're G cups!
context: Sorry.\What's your deal?!\Get it now?\Naoya already has enough girlfriends in the two of us.\Damn you...\Huh?\What are you...\They're G cups! response:	I work on my waist to maintain my figure, too!
context: What's your deal?!\Get it now?\Naoya already has enough girlfriends in the two of us.\Damn you...\Huh?\What are you...\They're G cups!\I work on my waist to maintain my figure, too! response:	I lose.
context: Get it now?\Naoya already has enough girlfriends in the two of us.\Damn you...\Huh?\What are you...\They're G cups!\I work on my waist to maintain my figure, too!\I lose. response:	You might get a chance to squeeze these G cups if you go out with me.
context: Naoya already has enough girlfriends in the two of us.\Damn you...\Huh?\What are you...\They're G cups!\I work on my waist to maintain my figure, too!\I lose.\You might get a chance to squeeze these G cups if you go out with me. response:	That may be, but...
context: Damn you...\Huh?\What are you...\They're G cups!\I work on my waist to maintain my figure, too!\I lose.\You might get a chance to squeeze these G cups if you go out with me.\That may be, but... response:	Y-You can try them out right now.
context: Huh?\What are you...\They're G cups!\I work on my waist to maintain my figure, too!\I lose.\You might get a chance to squeeze these G cups if you go out with me.\That may be, but...\Y-You can try them out right now. response:	I don't care about your G cups.
context: What are you...\They're G cups!\I work on my waist to maintain my figure, too!\I lose.\You might get a chance to squeeze these G cups if you go out with me.\That may be, but...\Y-You can try them out right now.\I don't care about your G cups. response:	I'd rather squeeze the boobs of a girl I like!
context: They're G cups!\I work on my waist to maintain my figure, too!\I lose.\You might get a chance to squeeze these G cups if you go out with me.\That may be, but...\Y-You can try them out right now.\I don't care about your G cups.\I'd rather squeeze the boobs of a girl I like! response:	I-I can't believe I've been defeated by the likes of him.
context: I work on my waist to maintain my figure, too!\I lose.\You might get a chance to squeeze these G cups if you go out with me.\That may be, but...\Y-You can try them out right now.\I don't care about your G cups.\I'd rather squeeze the boobs of a girl I like!\I-I can't believe I've been defeated by the likes of him. response:	Why?
context: I lose.\You might get a chance to squeeze these G cups if you go out with me.\That may be, but...\Y-You can try them out right now.\I don't care about your G cups.\I'd rather squeeze the boobs of a girl I like!\I-I can't believe I've been defeated by the likes of him.\Why? response:	How pitiful...
context: You might get a chance to squeeze these G cups if you go out with me.\That may be, but...\Y-You can try them out right now.\I don't care about your G cups.\I'd rather squeeze the boobs of a girl I like!\I-I can't believe I've been defeated by the likes of him.\Why?\How pitiful... response:	Um...
context: That may be, but...\Y-You can try them out right now.\I don't care about your G cups.\I'd rather squeeze the boobs of a girl I like!\I-I can't believe I've been defeated by the likes of him.\Why?\How pitiful...\Um... response:	Wanna get going?
context: Y-You can try them out right now.\I don't care about your G cups.\I'd rather squeeze the boobs of a girl I like!\I-I can't believe I've been defeated by the likes of him.\Why?\How pitiful...\Um...\Wanna get going? response:	What should we have for dinner?
context: I don't care about your G cups.\I'd rather squeeze the boobs of a girl I like!\I-I can't believe I've been defeated by the likes of him.\Why?\How pitiful...\Um...\Wanna get going?\What should we have for dinner? response:	I was thinking nikujaga.
context: I'd rather squeeze the boobs of a girl I like!\I-I can't believe I've been defeated by the likes of him.\Why?\How pitiful...\Um...\Wanna get going?\What should we have for dinner?\I was thinking nikujaga. response:	Sounds nice.
context: I-I can't believe I've been defeated by the likes of him.\Why?\How pitiful...\Um...\Wanna get going?\What should we have for dinner?\I was thinking nikujaga.\Sounds nice. response:	Don't just abandon me!
context: Why?\How pitiful...\Um...\Wanna get going?\What should we have for dinner?\I was thinking nikujaga.\Sounds nice.\Don't just abandon me! response:	Wait, dinner?
context: How pitiful...\Um...\Wanna get going?\What should we have for dinner?\I was thinking nikujaga.\Sounds nice.\Don't just abandon me!\Wait, dinner? response:	You guys aren't...
context: Um...\Wanna get going?\What should we have for dinner?\I was thinking nikujaga.\Sounds nice.\Don't just abandon me!\Wait, dinner?\You guys aren't... response:	Hey, wait!
context: Wanna get going?\What should we have for dinner?\I was thinking nikujaga.\Sounds nice.\Don't just abandon me!\Wait, dinner?\You guys aren't...\Hey, wait! response:	Wait up!
context: What should we have for dinner?\I was thinking nikujaga.\Sounds nice.\Don't just abandon me!\Wait, dinner?\You guys aren't...\Hey, wait!\Wait up! response:	Are you three living together?!
context: I was thinking nikujaga.\Sounds nice.\Don't just abandon me!\Wait, dinner?\You guys aren't...\Hey, wait!\Wait up!\Are you three living together?! response:	Shoot...
context: Sounds nice.\Don't just abandon me!\Wait, dinner?\You guys aren't...\Hey, wait!\Wait up!\Are you three living together?!\Shoot... response:	Let's run!
context: Don't just abandon me!\Wait, dinner?\You guys aren't...\Hey, wait!\Wait up!\Are you three living together?!\Shoot...\Let's run! response:	R-Right.
context: Wait, dinner?\You guys aren't...\Hey, wait!\Wait up!\Are you three living together?!\Shoot...\Let's run!\R-Right. response:	Hurry, Naoya-kun!
context: You guys aren't...\Hey, wait!\Wait up!\Are you three living together?!\Shoot...\Let's run!\R-Right.\Hurry, Naoya-kun! response:	Hold it right there!
context: Hey, wait!\Wait up!\Are you three living together?!\Shoot...\Let's run!\R-Right.\Hurry, Naoya-kun!\Hold it right there! response:	Naoya!
context: Wait up!\Are you three living together?!\Shoot...\Let's run!\R-Right.\Hurry, Naoya-kun!\Hold it right there!\Naoya! response:	Naoya-kun!
context: Are you three living together?!\Shoot...\Let's run!\R-Right.\Hurry, Naoya-kun!\Hold it right there!\Naoya!\Naoya-kun! response:	I'll live with you, too.
context: Shoot...\Let's run!\R-Right.\Hurry, Naoya-kun!\Hold it right there!\Naoya!\Naoya-kun!\I'll live with you, too. response:	Listen up...
context: Let's run!\R-Right.\Hurry, Naoya-kun!\Hold it right there!\Naoya!\Naoya-kun!\I'll live with you, too.\Listen up... response:	I'll let you shoot me down today.
context: R-Right.\Hurry, Naoya-kun!\Hold it right there!\Naoya!\Naoya-kun!\I'll live with you, too.\Listen up...\I'll let you shoot me down today. response:	But I'm going to live with you and make you see what makes me so good.
context: Hurry, Naoya-kun!\Hold it right there!\Naoya!\Naoya-kun!\I'll live with you, too.\Listen up...\I'll let you shoot me down today.\But I'm going to live with you and make you see what makes me so good. response:	I'll even pay rent.
context: Hold it right there!\Naoya!\Naoya-kun!\I'll live with you, too.\Listen up...\I'll let you shoot me down today.\But I'm going to live with you and make you see what makes me so good.\I'll even pay rent. response:	And for food.
context: Naoya!\Naoya-kun!\I'll live with you, too.\Listen up...\I'll let you shoot me down today.\But I'm going to live with you and make you see what makes me so good.\I'll even pay rent.\And for food. response:	And for power and heating and Internet.
context: Naoya-kun!\I'll live with you, too.\Listen up...\I'll let you shoot me down today.\But I'm going to live with you and make you see what makes me so good.\I'll even pay rent.\And for food.\And for power and heating and Internet. response:	That's good enough for you, isn't it?
context: I'll live with you, too.\Listen up...\I'll let you shoot me down today.\But I'm going to live with you and make you see what makes me so good.\I'll even pay rent.\And for food.\And for power and heating and Internet.\That's good enough for you, isn't it? response:	Milika-san...
context: Listen up...\I'll let you shoot me down today.\But I'm going to live with you and make you see what makes me so good.\I'll even pay rent.\And for food.\And for power and heating and Internet.\That's good enough for you, isn't it?\Milika-san... response:	I don't condone a man and woman living under the same roof if they aren't in a relationship.
context: I'll let you shoot me down today.\But I'm going to live with you and make you see what makes me so good.\I'll even pay rent.\And for food.\And for power and heating and Internet.\That's good enough for you, isn't it?\Milika-san...\I don't condone a man and woman living under the same roof if they aren't in a relationship. response:	How are you so proper?!
context: But I'm going to live with you and make you see what makes me so good.\I'll even pay rent.\And for food.\And for power and heating and Internet.\That's good enough for you, isn't it?\Milika-san...\I don't condone a man and woman living under the same roof if they aren't in a relationship.\How are you so proper?! response:	How are you so proper when you're a two-timer?!
context: I'll even pay rent.\And for food.\And for power and heating and Internet.\That's good enough for you, isn't it?\Milika-san...\I don't condone a man and woman living under the same roof if they aren't in a relationship.\How are you so proper?!\How are you so proper when you're a two-timer?! response:	I'll be back!
context: And for food.\And for power and heating and Internet.\That's good enough for you, isn't it?\Milika-san...\I don't condone a man and woman living under the same roof if they aren't in a relationship.\How are you so proper?!\How are you so proper when you're a two-timer?!\I'll be back! response:	Nom, nom, nom...
context: And for power and heating and Internet.\That's good enough for you, isn't it?\Milika-san...\I don't condone a man and woman living under the same roof if they aren't in a relationship.\How are you so proper?!\How are you so proper when you're a two-timer?!\I'll be back!\Nom, nom, nom... response:	Girlfriend, Girlfriend
context: That's good enough for you, isn't it?\Milika-san...\I don't condone a man and woman living under the same roof if they aren't in a relationship.\How are you so proper?!\How are you so proper when you're a two-timer?!\I'll be back!\Nom, nom, nom...\Girlfriend, Girlfriend response:	We'd forgotten to eat, so we had to make it quick.
context: Milika-san...\I don't condone a man and woman living under the same roof if they aren't in a relationship.\How are you so proper?!\How are you so proper when you're a two-timer?!\I'll be back!\Nom, nom, nom...\Girlfriend, Girlfriend\We'd forgotten to eat, so we had to make it quick. response:	The Next Day After School
context: I don't condone a man and woman living under the same roof if they aren't in a relationship.\How are you so proper?!\How are you so proper when you're a two-timer?!\I'll be back!\Nom, nom, nom...\Girlfriend, Girlfriend\We'd forgotten to eat, so we had to make it quick.\The Next Day After School response:	I'm home.
context: How are you so proper?!\How are you so proper when you're a two-timer?!\I'll be back!\Nom, nom, nom...\Girlfriend, Girlfriend\We'd forgotten to eat, so we had to make it quick.\The Next Day After School\I'm home. response:	Nagisa-chan, what's for dinner?
context: How are you so proper when you're a two-timer?!\I'll be back!\Nom, nom, nom...\Girlfriend, Girlfriend\We'd forgotten to eat, so we had to make it quick.\The Next Day After School\I'm home.\Nagisa-chan, what's for dinner? response:	What's up?
context: I'll be back!\Nom, nom, nom...\Girlfriend, Girlfriend\We'd forgotten to eat, so we had to make it quick.\The Next Day After School\I'm home.\Nagisa-chan, what's for dinner?\What's up? response:	Wh-What is that?
context: Nom, nom, nom...\Girlfriend, Girlfriend\We'd forgotten to eat, so we had to make it quick.\The Next Day After School\I'm home.\Nagisa-chan, what's for dinner?\What's up?\Wh-What is that? response:	A tent?
context: Girlfriend, Girlfriend\We'd forgotten to eat, so we had to make it quick.\The Next Day After School\I'm home.\Nagisa-chan, what's for dinner?\What's up?\Wh-What is that?\A tent? response:	Milika!
context: We'd forgotten to eat, so we had to make it quick.\The Next Day After School\I'm home.\Nagisa-chan, what's for dinner?\What's up?\Wh-What is that?\A tent?\Milika! response:	If I can't live under the same roof, I'll live in the yard.
context: The Next Day After School\I'm home.\Nagisa-chan, what's for dinner?\What's up?\Wh-What is that?\A tent?\Milika!\If I can't live under the same roof, I'll live in the yard. response:	Oh, I get it. That's one solution.
context: I'm home.\Nagisa-chan, what's for dinner?\What's up?\Wh-What is that?\A tent?\Milika!\If I can't live under the same roof, I'll live in the yard.\Oh, I get it. That's one solution. response:	Is this really the time to be impressed?!
context: Nagisa-chan, what's for dinner?\What's up?\Wh-What is that?\A tent?\Milika!\If I can't live under the same roof, I'll live in the yard.\Oh, I get it. That's one solution.\Is this really the time to be impressed?! response:	But how did you know where we live?
context: What's up?\Wh-What is that?\A tent?\Milika!\If I can't live under the same roof, I'll live in the yard.\Oh, I get it. That's one solution.\Is this really the time to be impressed?!\But how did you know where we live? response:	Don't underestimate the Milika-sama.
context: Wh-What is that?\A tent?\Milika!\If I can't live under the same roof, I'll live in the yard.\Oh, I get it. That's one solution.\Is this really the time to be impressed?!\But how did you know where we live?\Don't underestimate the Milika-sama. response:	I secretly followed you here.
context: A tent?\Milika!\If I can't live under the same roof, I'll live in the yard.\Oh, I get it. That's one solution.\Is this really the time to be impressed?!\But how did you know where we live?\Don't underestimate the Milika-sama.\I secretly followed you here. response:	I'm so hungry.
context: Milika!\If I can't live under the same roof, I'll live in the yard.\Oh, I get it. That's one solution.\Is this really the time to be impressed?!\But how did you know where we live?\Don't underestimate the Milika-sama.\I secretly followed you here.\I'm so hungry. response:	I can't wait for Nagisa-chan's dinner.
context: If I can't live under the same roof, I'll live in the yard.\Oh, I get it. That's one solution.\Is this really the time to be impressed?!\But how did you know where we live?\Don't underestimate the Milika-sama.\I secretly followed you here.\I'm so hungry.\I can't wait for Nagisa-chan's dinner. response:	Yeah.
context: Oh, I get it. That's one solution.\Is this really the time to be impressed?!\But how did you know where we live?\Don't underestimate the Milika-sama.\I secretly followed you here.\I'm so hungry.\I can't wait for Nagisa-chan's dinner.\Yeah. response:	You're practically a stalker!
