context: The next day, Chizu-chan came to school looking refreshed, response:	as if she'd finally pulled a splinter out of her heart.
context: Just kidding.\You didn't think I was serious, did you?\Sorry, that's really not funny.\Oh, she's kidding.\No, I won't.\I already know what he'd say.\Huh?\What? response:	What?
context: You didn't think I was serious, did you?\Sorry, that's really not funny.\Oh, she's kidding.\No, I won't.\I already know what he'd say.\Huh?\What?\What? response:	Chi.
context: Sorry, that's really not funny.\Oh, she's kidding.\No, I won't.\I already know what he'd say.\Huh?\What?\What?\Chi. response:	Sorry, I'm borrowing Chi for a bit.
context: Oh, she's kidding.\No, I won't.\I already know what he'd say.\Huh?\What?\What?\Chi.\Sorry, I'm borrowing Chi for a bit. response:	Why?
context: No, I won't.\I already know what he'd say.\Huh?\What?\What?\Chi.\Sorry, I'm borrowing Chi for a bit.\Why? response:	Why?
context: I already know what he'd say.\Huh?\What?\What?\Chi.\Sorry, I'm borrowing Chi for a bit.\Why?\Why? response:	To see you.
context: Huh?\What?\What?\Chi.\Sorry, I'm borrowing Chi for a bit.\Why?\Why?\To see you. response:	Come on.
context: What?\What?\Chi.\Sorry, I'm borrowing Chi for a bit.\Why?\Why?\To see you.\Come on. response:	Chizu-chan,
context: What?\Chi.\Sorry, I'm borrowing Chi for a bit.\Why?\Why?\To see you.\Come on.\Chizu-chan, response:	your miniskirt.
context: Chi.\Sorry, I'm borrowing Chi for a bit.\Why?\Why?\To see you.\Come on.\Chizu-chan,\your miniskirt. response:	Oh, yeah.
context: Sorry, I'm borrowing Chi for a bit.\Why?\Why?\To see you.\Come on.\Chizu-chan,\your miniskirt.\Oh, yeah. response:	I hope she'll be able to say what she wants to say.
context: Why?\Why?\To see you.\Come on.\Chizu-chan,\your miniskirt.\Oh, yeah.\I hope she'll be able to say what she wants to say. response:	I hope she'll be at peace next time they meet.
context: Why?\To see you.\Come on.\Chizu-chan,\your miniskirt.\Oh, yeah.\I hope she'll be able to say what she wants to say.\I hope she'll be at peace next time they meet. response:	You want to go for tea or something?
context: To see you.\Come on.\Chizu-chan,\your miniskirt.\Oh, yeah.\I hope she'll be able to say what she wants to say.\I hope she'll be at peace next time they meet.\You want to go for tea or something? response:	Sure.
context: Come on.\Chizu-chan,\your miniskirt.\Oh, yeah.\I hope she'll be able to say what she wants to say.\I hope she'll be at peace next time they meet.\You want to go for tea or something?\Sure. response:	When did you get here?
context: Chizu-chan,\your miniskirt.\Oh, yeah.\I hope she'll be able to say what she wants to say.\I hope she'll be at peace next time they meet.\You want to go for tea or something?\Sure.\When did you get here? response:	Just now.
context: your miniskirt.\Oh, yeah.\I hope she'll be able to say what she wants to say.\I hope she'll be at peace next time they meet.\You want to go for tea or something?\Sure.\When did you get here?\Just now. response:	Are you staying the night?
context: Oh, yeah.\I hope she'll be able to say what she wants to say.\I hope she'll be at peace next time they meet.\You want to go for tea or something?\Sure.\When did you get here?\Just now.\Are you staying the night? response:	No, I'm going home tonight.
context: I hope she'll be able to say what she wants to say.\I hope she'll be at peace next time they meet.\You want to go for tea or something?\Sure.\When did you get here?\Just now.\Are you staying the night?\No, I'm going home tonight. response:	How about work?
context: I hope she'll be at peace next time they meet.\You want to go for tea or something?\Sure.\When did you get here?\Just now.\Are you staying the night?\No, I'm going home tonight.\How about work? response:	I worked hard today.
context: You want to go for tea or something?\Sure.\When did you get here?\Just now.\Are you staying the night?\No, I'm going home tonight.\How about work?\I worked hard today. response:	I wanted to finish early so I could come here.
context: Sure.\When did you get here?\Just now.\Are you staying the night?\No, I'm going home tonight.\How about work?\I worked hard today.\I wanted to finish early so I could come here. response:	And more work tomorrow morning already?
context: When did you get here?\Just now.\Are you staying the night?\No, I'm going home tonight.\How about work?\I worked hard today.\I wanted to finish early so I could come here.\And more work tomorrow morning already? response:	I guess you don't get home until midnight.
context: Just now.\Are you staying the night?\No, I'm going home tonight.\How about work?\I worked hard today.\I wanted to finish early so I could come here.\And more work tomorrow morning already?\I guess you don't get home until midnight. response:	Cut the boring talk, already.
context: Are you staying the night?\No, I'm going home tonight.\How about work?\I worked hard today.\I wanted to finish early so I could come here.\And more work tomorrow morning already?\I guess you don't get home until midnight.\Cut the boring talk, already. response:	No, I'm happy.
context: No, I'm going home tonight.\How about work?\I worked hard today.\I wanted to finish early so I could come here.\And more work tomorrow morning already?\I guess you don't get home until midnight.\Cut the boring talk, already.\No, I'm happy. response:	I'm really happy.
context: How about work?\I worked hard today.\I wanted to finish early so I could come here.\And more work tomorrow morning already?\I guess you don't get home until midnight.\Cut the boring talk, already.\No, I'm happy.\I'm really happy. response:	Hey, so...
context: I worked hard today.\I wanted to finish early so I could come here.\And more work tomorrow morning already?\I guess you don't get home until midnight.\Cut the boring talk, already.\No, I'm happy.\I'm really happy.\Hey, so... response:	Nice spin!
context: I wanted to finish early so I could come here.\And more work tomorrow morning already?\I guess you don't get home until midnight.\Cut the boring talk, already.\No, I'm happy.\I'm really happy.\Hey, so...\Nice spin! response:	What do you think? I'm wearing a miniskirt.
context: And more work tomorrow morning already?\I guess you don't get home until midnight.\Cut the boring talk, already.\No, I'm happy.\I'm really happy.\Hey, so...\Nice spin!\What do you think? I'm wearing a miniskirt. response:	Oh yeah, you've always liked showing off your legs.
context: I guess you don't get home until midnight.\Cut the boring talk, already.\No, I'm happy.\I'm really happy.\Hey, so...\Nice spin!\What do you think? I'm wearing a miniskirt.\Oh yeah, you've always liked showing off your legs. response:	Tireless as always.
context: Cut the boring talk, already.\No, I'm happy.\I'm really happy.\Hey, so...\Nice spin!\What do you think? I'm wearing a miniskirt.\Oh yeah, you've always liked showing off your legs.\Tireless as always. response:	I'm an old fart now, it's too cold for me.
context: No, I'm happy.\I'm really happy.\Hey, so...\Nice spin!\What do you think? I'm wearing a miniskirt.\Oh yeah, you've always liked showing off your legs.\Tireless as always.\I'm an old fart now, it's too cold for me. response:	Shoot, he's used to seeing it.
context: I'm really happy.\Hey, so...\Nice spin!\What do you think? I'm wearing a miniskirt.\Oh yeah, you've always liked showing off your legs.\Tireless as always.\I'm an old fart now, it's too cold for me.\Shoot, he's used to seeing it. response:	You're not an old fart.
context: Hey, so...\Nice spin!\What do you think? I'm wearing a miniskirt.\Oh yeah, you've always liked showing off your legs.\Tireless as always.\I'm an old fart now, it's too cold for me.\Shoot, he's used to seeing it.\You're not an old fart. response:	24 must seem old at your age.
context: Nice spin!\What do you think? I'm wearing a miniskirt.\Oh yeah, you've always liked showing off your legs.\Tireless as always.\I'm an old fart now, it's too cold for me.\Shoot, he's used to seeing it.\You're not an old fart.\24 must seem old at your age. response:	Yeah?
context: What do you think? I'm wearing a miniskirt.\Oh yeah, you've always liked showing off your legs.\Tireless as always.\I'm an old fart now, it's too cold for me.\Shoot, he's used to seeing it.\You're not an old fart.\24 must seem old at your age.\Yeah? response:	He's treating me even more like a kid than he would otherwise.
context: Oh yeah, you've always liked showing off your legs.\Tireless as always.\I'm an old fart now, it's too cold for me.\Shoot, he's used to seeing it.\You're not an old fart.\24 must seem old at your age.\Yeah?\He's treating me even more like a kid than he would otherwise. response:	What a waste of a nice pair of legs.
context: Tireless as always.\I'm an old fart now, it's too cold for me.\Shoot, he's used to seeing it.\You're not an old fart.\24 must seem old at your age.\Yeah?\He's treating me even more like a kid than he would otherwise.\What a waste of a nice pair of legs. response:	Oh well.
context: I'm an old fart now, it's too cold for me.\Shoot, he's used to seeing it.\You're not an old fart.\24 must seem old at your age.\Yeah?\He's treating me even more like a kid than he would otherwise.\What a waste of a nice pair of legs.\Oh well. response:	My poor thighs.
context: Shoot, he's used to seeing it.\You're not an old fart.\24 must seem old at your age.\Yeah?\He's treating me even more like a kid than he would otherwise.\What a waste of a nice pair of legs.\Oh well.\My poor thighs. response:	Oh yeah, where's your car?
context: You're not an old fart.\24 must seem old at your age.\Yeah?\He's treating me even more like a kid than he would otherwise.\What a waste of a nice pair of legs.\Oh well.\My poor thighs.\Oh yeah, where's your car? response:	I left it at home.
context: 24 must seem old at your age.\Yeah?\He's treating me even more like a kid than he would otherwise.\What a waste of a nice pair of legs.\Oh well.\My poor thighs.\Oh yeah, where's your car?\I left it at home. response:	Why?
context: Yeah?\He's treating me even more like a kid than he would otherwise.\What a waste of a nice pair of legs.\Oh well.\My poor thighs.\Oh yeah, where's your car?\I left it at home.\Why? response:	Because I didn't have a car when I used to hang out with you.
context: He's treating me even more like a kid than he would otherwise.\What a waste of a nice pair of legs.\Oh well.\My poor thighs.\Oh yeah, where's your car?\I left it at home.\Why?\Because I didn't have a car when I used to hang out with you. response:	I figured I'd walk with you today.
context: What a waste of a nice pair of legs.\Oh well.\My poor thighs.\Oh yeah, where's your car?\I left it at home.\Why?\Because I didn't have a car when I used to hang out with you.\I figured I'd walk with you today. response:	Hold on.
context: Oh well.\My poor thighs.\Oh yeah, where's your car?\I left it at home.\Why?\Because I didn't have a car when I used to hang out with you.\I figured I'd walk with you today.\Hold on. response:	Here, a meat bun.
context: My poor thighs.\Oh yeah, where's your car?\I left it at home.\Why?\Because I didn't have a car when I used to hang out with you.\I figured I'd walk with you today.\Hold on.\Here, a meat bun. response:	And a bean paste bun.
context: Oh yeah, where's your car?\I left it at home.\Why?\Because I didn't have a car when I used to hang out with you.\I figured I'd walk with you today.\Hold on.\Here, a meat bun.\And a bean paste bun. response:	You used to eat this all the time.
context: I left it at home.\Why?\Because I didn't have a car when I used to hang out with you.\I figured I'd walk with you today.\Hold on.\Here, a meat bun.\And a bean paste bun.\You used to eat this all the time. response:	A meat bun, or a bean paste bun.
context: Why?\Because I didn't have a car when I used to hang out with you.\I figured I'd walk with you today.\Hold on.\Here, a meat bun.\And a bean paste bun.\You used to eat this all the time.\A meat bun, or a bean paste bun. response:	A meat bun, or a bean paste bun.
context: Because I didn't have a car when I used to hang out with you.\I figured I'd walk with you today.\Hold on.\Here, a meat bun.\And a bean paste bun.\You used to eat this all the time.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun. response:	Which is it?
context: I figured I'd walk with you today.\Hold on.\Here, a meat bun.\And a bean paste bun.\You used to eat this all the time.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\Which is it? response:	I'll want savory stuff after sweet stuff.
context: Hold on.\Here, a meat bun.\And a bean paste bun.\You used to eat this all the time.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\Which is it?\I'll want savory stuff after sweet stuff. response:	But I'll run out of money.
context: Here, a meat bun.\And a bean paste bun.\You used to eat this all the time.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\Which is it?\I'll want savory stuff after sweet stuff.\But I'll run out of money. response:	But Mom will kill me if I eat two and spoil dinner.
context: And a bean paste bun.\You used to eat this all the time.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\Which is it?\I'll want savory stuff after sweet stuff.\But I'll run out of money.\But Mom will kill me if I eat two and spoil dinner. response:	But I want both.
context: You used to eat this all the time.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\Which is it?\I'll want savory stuff after sweet stuff.\But I'll run out of money.\But Mom will kill me if I eat two and spoil dinner.\But I want both. response:	Oh dear.
context: A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\Which is it?\I'll want savory stuff after sweet stuff.\But I'll run out of money.\But Mom will kill me if I eat two and spoil dinner.\But I want both.\Oh dear. response:	A meat bun, or a bean paste bun.
context: A meat bun, or a bean paste bun.\Which is it?\I'll want savory stuff after sweet stuff.\But I'll run out of money.\But Mom will kill me if I eat two and spoil dinner.\But I want both.\Oh dear.\A meat bun, or a bean paste bun. response:	A meat bun, or a bean paste bun.
context: Which is it?\I'll want savory stuff after sweet stuff.\But I'll run out of money.\But Mom will kill me if I eat two and spoil dinner.\But I want both.\Oh dear.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun. response:	One of each, please.
context: I'll want savory stuff after sweet stuff.\But I'll run out of money.\But Mom will kill me if I eat two and spoil dinner.\But I want both.\Oh dear.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\One of each, please. response:	Here.
context: But I'll run out of money.\But Mom will kill me if I eat two and spoil dinner.\But I want both.\Oh dear.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\One of each, please.\Here. response:	Let's have half.
context: But Mom will kill me if I eat two and spoil dinner.\But I want both.\Oh dear.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\One of each, please.\Here.\Let's have half. response:	Don't tell Ryu.
context: But I want both.\Oh dear.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\One of each, please.\Here.\Let's have half.\Don't tell Ryu. response:	Did you want more?
context: Oh dear.\A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\One of each, please.\Here.\Let's have half.\Don't tell Ryu.\Did you want more? response:	I guess you could have handled two.
context: A meat bun, or a bean paste bun.\A meat bun, or a bean paste bun.\One of each, please.\Here.\Let's have half.\Don't tell Ryu.\Did you want more?\I guess you could have handled two. response:	No, this is good.
context: A meat bun, or a bean paste bun.\One of each, please.\Here.\Let's have half.\Don't tell Ryu.\Did you want more?\I guess you could have handled two.\No, this is good. response:	Hey, look.
context: One of each, please.\Here.\Let's have half.\Don't tell Ryu.\Did you want more?\I guess you could have handled two.\No, this is good.\Hey, look. response:	That street lamp.
context: Here.\Let's have half.\Don't tell Ryu.\Did you want more?\I guess you could have handled two.\No, this is good.\Hey, look.\That street lamp. response:	I used to come down this street when I was out at night during high school.
context: Let's have half.\Don't tell Ryu.\Did you want more?\I guess you could have handled two.\No, this is good.\Hey, look.\That street lamp.\I used to come down this street when I was out at night during high school. response:	There'd often be a kid under that lamp.
context: Don't tell Ryu.\Did you want more?\I guess you could have handled two.\No, this is good.\Hey, look.\That street lamp.\I used to come down this street when I was out at night during high school.\There'd often be a kid under that lamp. response:	But why would there be kids outside so late?
context: Did you want more?\I guess you could have handled two.\No, this is good.\Hey, look.\That street lamp.\I used to come down this street when I was out at night during high school.\There'd often be a kid under that lamp.\But why would there be kids outside so late? response:	What's with the horror story all of a sudden?
context: I guess you could have handled two.\No, this is good.\Hey, look.\That street lamp.\I used to come down this street when I was out at night during high school.\There'd often be a kid under that lamp.\But why would there be kids outside so late?\What's with the horror story all of a sudden? response:	It was you.
context: No, this is good.\Hey, look.\That street lamp.\I used to come down this street when I was out at night during high school.\There'd often be a kid under that lamp.\But why would there be kids outside so late?\What's with the horror story all of a sudden?\It was you. response:	You'd be hunting for stag beetles,
context: Hey, look.\That street lamp.\I used to come down this street when I was out at night during high school.\There'd often be a kid under that lamp.\But why would there be kids outside so late?\What's with the horror story all of a sudden?\It was you.\You'd be hunting for stag beetles, response:	at three in the morning.
context: That street lamp.\I used to come down this street when I was out at night during high school.\There'd often be a kid under that lamp.\But why would there be kids outside so late?\What's with the horror story all of a sudden?\It was you.\You'd be hunting for stag beetles,\at three in the morning. response:	That scared me so bad.
context: I used to come down this street when I was out at night during high school.\There'd often be a kid under that lamp.\But why would there be kids outside so late?\What's with the horror story all of a sudden?\It was you.\You'd be hunting for stag beetles,\at three in the morning.\That scared me so bad. response:	Oh yeah, I remember.
context: There'd often be a kid under that lamp.\But why would there be kids outside so late?\What's with the horror story all of a sudden?\It was you.\You'd be hunting for stag beetles,\at three in the morning.\That scared me so bad.\Oh yeah, I remember. response:	I used to wake up so early when I was a kid.
context: But why would there be kids outside so late?\What's with the horror story all of a sudden?\It was you.\You'd be hunting for stag beetles,\at three in the morning.\That scared me so bad.\Oh yeah, I remember.\I used to wake up so early when I was a kid. response:	So we used to walk home together,
context: What's with the horror story all of a sudden?\It was you.\You'd be hunting for stag beetles,\at three in the morning.\That scared me so bad.\Oh yeah, I remember.\I used to wake up so early when I was a kid.\So we used to walk home together, response:	looking at the stars.
context: It was you.\You'd be hunting for stag beetles,\at three in the morning.\That scared me so bad.\Oh yeah, I remember.\I used to wake up so early when I was a kid.\So we used to walk home together,\looking at the stars. response:	Tohru,
context: You'd be hunting for stag beetles,\at three in the morning.\That scared me so bad.\Oh yeah, I remember.\I used to wake up so early when I was a kid.\So we used to walk home together,\looking at the stars.\Tohru, response:	which star is that?
context: at three in the morning.\That scared me so bad.\Oh yeah, I remember.\I used to wake up so early when I was a kid.\So we used to walk home together,\looking at the stars.\Tohru,\which star is that? response:	I don't know, but it's huge.
context: That scared me so bad.\Oh yeah, I remember.\I used to wake up so early when I was a kid.\So we used to walk home together,\looking at the stars.\Tohru,\which star is that?\I don't know, but it's huge. response:	Huge star.
context: Oh yeah, I remember.\I used to wake up so early when I was a kid.\So we used to walk home together,\looking at the stars.\Tohru,\which star is that?\I don't know, but it's huge.\Huge star. response:	I only know about Orion's Belt.
context: I used to wake up so early when I was a kid.\So we used to walk home together,\looking at the stars.\Tohru,\which star is that?\I don't know, but it's huge.\Huge star.\I only know about Orion's Belt. response:	Orion's Belt?
context: So we used to walk home together,\looking at the stars.\Tohru,\which star is that?\I don't know, but it's huge.\Huge star.\I only know about Orion's Belt.\Orion's Belt? response:	Where?
context: looking at the stars.\Tohru,\which star is that?\I don't know, but it's huge.\Huge star.\I only know about Orion's Belt.\Orion's Belt?\Where? response:	What?
context: Tohru,\which star is that?\I don't know, but it's huge.\Huge star.\I only know about Orion's Belt.\Orion's Belt?\Where?\What? response:	Where's Orion's Belt?
context: which star is that?\I don't know, but it's huge.\Huge star.\I only know about Orion's Belt.\Orion's Belt?\Where?\What?\Where's Orion's Belt? response:	I can't find it.
context: I don't know, but it's huge.\Huge star.\I only know about Orion's Belt.\Orion's Belt?\Where?\What?\Where's Orion's Belt?\I can't find it. response:	It's like a triplet of stars.
context: Huge star.\I only know about Orion's Belt.\Orion's Belt?\Where?\What?\Where's Orion's Belt?\I can't find it.\It's like a triplet of stars. response:	Where's the triplet?
context: I only know about Orion's Belt.\Orion's Belt?\Where?\What?\Where's Orion's Belt?\I can't find it.\It's like a triplet of stars.\Where's the triplet? response:	So it was a winter constellation.
context: Orion's Belt?\Where?\What?\Where's Orion's Belt?\I can't find it.\It's like a triplet of stars.\Where's the triplet?\So it was a winter constellation. response:	The sky's so dark in the country.
context: Where?\What?\Where's Orion's Belt?\I can't find it.\It's like a triplet of stars.\Where's the triplet?\So it was a winter constellation.\The sky's so dark in the country. response:	I'm surprised you remember.
context: What?\Where's Orion's Belt?\I can't find it.\It's like a triplet of stars.\Where's the triplet?\So it was a winter constellation.\The sky's so dark in the country.\I'm surprised you remember. response:	Of course I do.
context: Where's Orion's Belt?\I can't find it.\It's like a triplet of stars.\Where's the triplet?\So it was a winter constellation.\The sky's so dark in the country.\I'm surprised you remember.\Of course I do. response:	I wonder if Chizu said what she wanted to say.
context: I can't find it.\It's like a triplet of stars.\Where's the triplet?\So it was a winter constellation.\The sky's so dark in the country.\I'm surprised you remember.\Of course I do.\I wonder if Chizu said what she wanted to say. response:	It must be complicated.
context: It's like a triplet of stars.\Where's the triplet?\So it was a winter constellation.\The sky's so dark in the country.\I'm surprised you remember.\Of course I do.\I wonder if Chizu said what she wanted to say.\It must be complicated. response:	When you like someone.
context: Where's the triplet?\So it was a winter constellation.\The sky's so dark in the country.\I'm surprised you remember.\Of course I do.\I wonder if Chizu said what she wanted to say.\It must be complicated.\When you like someone. response:	Sad things, things that make you cry.
context: So it was a winter constellation.\The sky's so dark in the country.\I'm surprised you remember.\Of course I do.\I wonder if Chizu said what she wanted to say.\It must be complicated.\When you like someone.\Sad things, things that make you cry. response:	But there's a lot of happy things too.
context: The sky's so dark in the country.\I'm surprised you remember.\Of course I do.\I wonder if Chizu said what she wanted to say.\It must be complicated.\When you like someone.\Sad things, things that make you cry.\But there's a lot of happy things too. response:	Do you remember? How you tripped over there,
context: I'm surprised you remember.\Of course I do.\I wonder if Chizu said what she wanted to say.\It must be complicated.\When you like someone.\Sad things, things that make you cry.\But there's a lot of happy things too.\Do you remember? How you tripped over there, response:	how we used to eat here.
context: Of course I do.\I wonder if Chizu said what she wanted to say.\It must be complicated.\When you like someone.\Sad things, things that make you cry.\But there's a lot of happy things too.\Do you remember? How you tripped over there,\how we used to eat here. response:	Tohru was always smiling.
