context: The enemy is completely falling apart. response:	Take it! Now is the time to achieve honor! Take it all now!
context: Musketmen! Keep reloading! Don't let your fuse extinguish!\When Toyo falls back, we provide cover fire.\But since Toyo is Toyo, he probably won't fall back...\In that case, we will also charge forward.\Can we keep this going?\No, I have a bad feeling about this.\It has the same smell as Kanegasaki.\Abandon the vanguard. response:	Infantry, temporarily pull back. Rearguard, spread out.
context: When Toyo falls back, we provide cover fire.\But since Toyo is Toyo, he probably won't fall back...\In that case, we will also charge forward.\Can we keep this going?\No, I have a bad feeling about this.\It has the same smell as Kanegasaki.\Abandon the vanguard.\Infantry, temporarily pull back. Rearguard, spread out. response:	Break down into smaller units.
context: But since Toyo is Toyo, he probably won't fall back...\In that case, we will also charge forward.\Can we keep this going?\No, I have a bad feeling about this.\It has the same smell as Kanegasaki.\Abandon the vanguard.\Infantry, temporarily pull back. Rearguard, spread out.\Break down into smaller units. response:	Disperse through narrow streets and make your way towards the Capitol Building.
context: In that case, we will also charge forward.\Can we keep this going?\No, I have a bad feeling about this.\It has the same smell as Kanegasaki.\Abandon the vanguard.\Infantry, temporarily pull back. Rearguard, spread out.\Break down into smaller units.\Disperse through narrow streets and make your way towards the Capitol Building. response:	I'll take care of the shock troopers.
context: Can we keep this going?\No, I have a bad feeling about this.\It has the same smell as Kanegasaki.\Abandon the vanguard.\Infantry, temporarily pull back. Rearguard, spread out.\Break down into smaller units.\Disperse through narrow streets and make your way towards the Capitol Building.\I'll take care of the shock troopers. response:	Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man
context: No, I have a bad feeling about this.\It has the same smell as Kanegasaki.\Abandon the vanguard.\Infantry, temporarily pull back. Rearguard, spread out.\Break down into smaller units.\Disperse through narrow streets and make your way towards the Capitol Building.\I'll take care of the shock troopers.\Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man response:	Withdraw! Withdraw! Withdraw!
context: It has the same smell as Kanegasaki.\Abandon the vanguard.\Infantry, temporarily pull back. Rearguard, spread out.\Break down into smaller units.\Disperse through narrow streets and make your way towards the Capitol Building.\I'll take care of the shock troopers.\Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man\Withdraw! Withdraw! Withdraw! response:	The enemy is falling back...
context: Abandon the vanguard.\Infantry, temporarily pull back. Rearguard, spread out.\Break down into smaller units.\Disperse through narrow streets and make your way towards the Capitol Building.\I'll take care of the shock troopers.\Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man\Withdraw! Withdraw! Withdraw!\The enemy is falling back... response:	They are retreating.
context: Infantry, temporarily pull back. Rearguard, spread out.\Break down into smaller units.\Disperse through narrow streets and make your way towards the Capitol Building.\I'll take care of the shock troopers.\Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man\Withdraw! Withdraw! Withdraw!\The enemy is falling back...\They are retreating. response:	So, haven't we won this? We won, right?
context: Break down into smaller units.\Disperse through narrow streets and make your way towards the Capitol Building.\I'll take care of the shock troopers.\Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man\Withdraw! Withdraw! Withdraw!\The enemy is falling back...\They are retreating.\So, haven't we won this? We won, right? response:	The timing of that retreat was too good. I have a bad feeling about this.
context: Disperse through narrow streets and make your way towards the Capitol Building.\I'll take care of the shock troopers.\Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man\Withdraw! Withdraw! Withdraw!\The enemy is falling back...\They are retreating.\So, haven't we won this? We won, right?\The timing of that retreat was too good. I have a bad feeling about this. response:	Lord Nobunaga! Lord Nobunaga!
context: I'll take care of the shock troopers.\Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man\Withdraw! Withdraw! Withdraw!\The enemy is falling back...\They are retreating.\So, haven't we won this? We won, right?\The timing of that retreat was too good. I have a bad feeling about this.\Lord Nobunaga! Lord Nobunaga! response:	A message from Yoichi on the roof!
context: Act 12 Staring at Shinsengumi The Song of the Fervid Kyushu Man\Withdraw! Withdraw! Withdraw!\The enemy is falling back...\They are retreating.\So, haven't we won this? We won, right?\The timing of that retreat was too good. I have a bad feeling about this.\Lord Nobunaga! Lord Nobunaga!\A message from Yoichi on the roof! response:	The enemy has split into smaller squads and
context: Withdraw! Withdraw! Withdraw!\The enemy is falling back...\They are retreating.\So, haven't we won this? We won, right?\The timing of that retreat was too good. I have a bad feeling about this.\Lord Nobunaga! Lord Nobunaga!\A message from Yoichi on the roof!\The enemy has split into smaller squads and response:	has started spreading throughout the city!
context: The enemy is falling back...\They are retreating.\So, haven't we won this? We won, right?\The timing of that retreat was too good. I have a bad feeling about this.\Lord Nobunaga! Lord Nobunaga!\A message from Yoichi on the roof!\The enemy has split into smaller squads and\has started spreading throughout the city! response:	They are setting the houses ablaze and obscuring our vision!
context: They are retreating.\So, haven't we won this? We won, right?\The timing of that retreat was too good. I have a bad feeling about this.\Lord Nobunaga! Lord Nobunaga!\A message from Yoichi on the roof!\The enemy has split into smaller squads and\has started spreading throughout the city!\They are setting the houses ablaze and obscuring our vision! response:	Bad... This is really bad.
context: So, haven't we won this? We won, right?\The timing of that retreat was too good. I have a bad feeling about this.\Lord Nobunaga! Lord Nobunaga!\A message from Yoichi on the roof!\The enemy has split into smaller squads and\has started spreading throughout the city!\They are setting the houses ablaze and obscuring our vision!\Bad... This is really bad. response:	Hold it... What does that mean?!
context: The timing of that retreat was too good. I have a bad feeling about this.\Lord Nobunaga! Lord Nobunaga!\A message from Yoichi on the roof!\The enemy has split into smaller squads and\has started spreading throughout the city!\They are setting the houses ablaze and obscuring our vision!\Bad... This is really bad.\Hold it... What does that mean?! response:	But something is still off.
context: Lord Nobunaga! Lord Nobunaga!\A message from Yoichi on the roof!\The enemy has split into smaller squads and\has started spreading throughout the city!\They are setting the houses ablaze and obscuring our vision!\Bad... This is really bad.\Hold it... What does that mean?!\But something is still off. response:	They are adapting far too quickly! No way! Could the enemy leader...
context: A message from Yoichi on the roof!\The enemy has split into smaller squads and\has started spreading throughout the city!\They are setting the houses ablaze and obscuring our vision!\Bad... This is really bad.\Hold it... What does that mean?!\But something is still off.\They are adapting far too quickly! No way! Could the enemy leader... response:	Someone is coming... all alone.
context: The enemy has split into smaller squads and\has started spreading throughout the city!\They are setting the houses ablaze and obscuring our vision!\Bad... This is really bad.\Hold it... What does that mean?!\But something is still off.\They are adapting far too quickly! No way! Could the enemy leader...\Someone is coming... all alone. response:	Toyo! Toyo! Nobunaga is calling for you!
context: has started spreading throughout the city!\They are setting the houses ablaze and obscuring our vision!\Bad... This is really bad.\Hold it... What does that mean?!\But something is still off.\They are adapting far too quickly! No way! Could the enemy leader...\Someone is coming... all alone.\Toyo! Toyo! Nobunaga is calling for you! response:	The enemy... The enemy...
context: They are setting the houses ablaze and obscuring our vision!\Bad... This is really bad.\Hold it... What does that mean?!\But something is still off.\They are adapting far too quickly! No way! Could the enemy leader...\Someone is coming... all alone.\Toyo! Toyo! Nobunaga is calling for you!\The enemy... The enemy... response:	You all return to the main force. This head is mine.
context: Bad... This is really bad.\Hold it... What does that mean?!\But something is still off.\They are adapting far too quickly! No way! Could the enemy leader...\Someone is coming... all alone.\Toyo! Toyo! Nobunaga is calling for you!\The enemy... The enemy...\You all return to the main force. This head is mine. response:	The Shimazu cross... I will never forget that crest.
context: Hold it... What does that mean?!\But something is still off.\They are adapting far too quickly! No way! Could the enemy leader...\Someone is coming... all alone.\Toyo! Toyo! Nobunaga is calling for you!\The enemy... The enemy...\You all return to the main force. This head is mine.\The Shimazu cross... I will never forget that crest. response:	You know of the Shimazu clan?
context: But something is still off.\They are adapting far too quickly! No way! Could the enemy leader...\Someone is coming... all alone.\Toyo! Toyo! Nobunaga is calling for you!\The enemy... The enemy...\You all return to the main force. This head is mine.\The Shimazu cross... I will never forget that crest.\You know of the Shimazu clan? response:	Who are you?
context: They are adapting far too quickly! No way! Could the enemy leader...\Someone is coming... all alone.\Toyo! Toyo! Nobunaga is calling for you!\The enemy... The enemy...\You all return to the main force. This head is mine.\The Shimazu cross... I will never forget that crest.\You know of the Shimazu clan?\Who are you? response:	Hijikata Toshizou Yoshitoyo of the Shinsengumi.
context: Someone is coming... all alone.\Toyo! Toyo! Nobunaga is calling for you!\The enemy... The enemy...\You all return to the main force. This head is mine.\The Shimazu cross... I will never forget that crest.\You know of the Shimazu clan?\Who are you?\Hijikata Toshizou Yoshitoyo of the Shinsengumi. response:	Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.
context: Toyo! Toyo! Nobunaga is calling for you!\The enemy... The enemy...\You all return to the main force. This head is mine.\The Shimazu cross... I will never forget that crest.\You know of the Shimazu clan?\Who are you?\Hijikata Toshizou Yoshitoyo of the Shinsengumi.\Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center. response:	You are a warrior of the Land of the Rising Sun, are you not?
context: The enemy... The enemy...\You all return to the main force. This head is mine.\The Shimazu cross... I will never forget that crest.\You know of the Shimazu clan?\Who are you?\Hijikata Toshizou Yoshitoyo of the Shinsengumi.\Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.\You are a warrior of the Land of the Rising Sun, are you not? response:	The mere fact that you wear that crest...
context: You all return to the main force. This head is mine.\The Shimazu cross... I will never forget that crest.\You know of the Shimazu clan?\Who are you?\Hijikata Toshizou Yoshitoyo of the Shinsengumi.\Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.\You are a warrior of the Land of the Rising Sun, are you not?\The mere fact that you wear that crest... response:	The mere fact that you are of the Shimazu clan of Satsuma...
context: The Shimazu cross... I will never forget that crest.\You know of the Shimazu clan?\Who are you?\Hijikata Toshizou Yoshitoyo of the Shinsengumi.\Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.\You are a warrior of the Land of the Rising Sun, are you not?\The mere fact that you wear that crest...\The mere fact that you are of the Shimazu clan of Satsuma... response:	You must hold real resentment towards the Shimazu clan.
context: You know of the Shimazu clan?\Who are you?\Hijikata Toshizou Yoshitoyo of the Shinsengumi.\Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.\You are a warrior of the Land of the Rising Sun, are you not?\The mere fact that you wear that crest...\The mere fact that you are of the Shimazu clan of Satsuma...\You must hold real resentment towards the Shimazu clan. response:	Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...
context: Who are you?\Hijikata Toshizou Yoshitoyo of the Shinsengumi.\Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.\You are a warrior of the Land of the Rising Sun, are you not?\The mere fact that you wear that crest...\The mere fact that you are of the Shimazu clan of Satsuma...\You must hold real resentment towards the Shimazu clan.\Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara... response:	Or was it the Invasion of Korea?
context: Hijikata Toshizou Yoshitoyo of the Shinsengumi.\Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.\You are a warrior of the Land of the Rising Sun, are you not?\The mere fact that you wear that crest...\The mere fact that you are of the Shimazu clan of Satsuma...\You must hold real resentment towards the Shimazu clan.\Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...\Or was it the Invasion of Korea? response:	I can think of so many possible reasons.
context: Shimazu Toyohisa, undersecretary to the Imperial Minister of the Center.\You are a warrior of the Land of the Rising Sun, are you not?\The mere fact that you wear that crest...\The mere fact that you are of the Shimazu clan of Satsuma...\You must hold real resentment towards the Shimazu clan.\Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...\Or was it the Invasion of Korea?\I can think of so many possible reasons. response:	Just by looking at you, I can tell you are not from my era.
context: You are a warrior of the Land of the Rising Sun, are you not?\The mere fact that you wear that crest...\The mere fact that you are of the Shimazu clan of Satsuma...\You must hold real resentment towards the Shimazu clan.\Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...\Or was it the Invasion of Korea?\I can think of so many possible reasons.\Just by looking at you, I can tell you are not from my era. response:	Aha, I see. What have my descendants done to you?
context: The mere fact that you wear that crest...\The mere fact that you are of the Shimazu clan of Satsuma...\You must hold real resentment towards the Shimazu clan.\Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...\Or was it the Invasion of Korea?\I can think of so many possible reasons.\Just by looking at you, I can tell you are not from my era.\Aha, I see. What have my descendants done to you? response:	Die, Shimazu. You will never be allowed to live.
context: The mere fact that you are of the Shimazu clan of Satsuma...\You must hold real resentment towards the Shimazu clan.\Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...\Or was it the Invasion of Korea?\I can think of so many possible reasons.\Just by looking at you, I can tell you are not from my era.\Aha, I see. What have my descendants done to you?\Die, Shimazu. You will never be allowed to live. response:	Die. Do nothing but die.
context: You must hold real resentment towards the Shimazu clan.\Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...\Or was it the Invasion of Korea?\I can think of so many possible reasons.\Just by looking at you, I can tell you are not from my era.\Aha, I see. What have my descendants done to you?\Die, Shimazu. You will never be allowed to live.\Die. Do nothing but die. response:	Hmm?
context: Kizakibaru, Mimikawa, Okitanawate, Hetzugigawa, Sekigahara...\Or was it the Invasion of Korea?\I can think of so many possible reasons.\Just by looking at you, I can tell you are not from my era.\Aha, I see. What have my descendants done to you?\Die, Shimazu. You will never be allowed to live.\Die. Do nothing but die.\Hmm? response:	They will never pardon you either.
context: Or was it the Invasion of Korea?\I can think of so many possible reasons.\Just by looking at you, I can tell you are not from my era.\Aha, I see. What have my descendants done to you?\Die, Shimazu. You will never be allowed to live.\Die. Do nothing but die.\Hmm?\They will never pardon you either. response:	Rebellious Satsuma, your death shall come to pass!
context: I can think of so many possible reasons.\Just by looking at you, I can tell you are not from my era.\Aha, I see. What have my descendants done to you?\Die, Shimazu. You will never be allowed to live.\Die. Do nothing but die.\Hmm?\They will never pardon you either.\Rebellious Satsuma, your death shall come to pass! response:	What should we do, Nobu? The enemy is...! Nobu!
context: Just by looking at you, I can tell you are not from my era.\Aha, I see. What have my descendants done to you?\Die, Shimazu. You will never be allowed to live.\Die. Do nothing but die.\Hmm?\They will never pardon you either.\Rebellious Satsuma, your death shall come to pass!\What should we do, Nobu? The enemy is...! Nobu! response:	What should we do...? Should we spread out, too?
context: Aha, I see. What have my descendants done to you?\Die, Shimazu. You will never be allowed to live.\Die. Do nothing but die.\Hmm?\They will never pardon you either.\Rebellious Satsuma, your death shall come to pass!\What should we do, Nobu? The enemy is...! Nobu!\What should we do...? Should we spread out, too? response:	No, that won't work.
context: Die, Shimazu. You will never be allowed to live.\Die. Do nothing but die.\Hmm?\They will never pardon you either.\Rebellious Satsuma, your death shall come to pass!\What should we do, Nobu? The enemy is...! Nobu!\What should we do...? Should we spread out, too?\No, that won't work. response:	The destructive power of muskets can only be fully brought out in a large unit.
context: Die. Do nothing but die.\Hmm?\They will never pardon you either.\Rebellious Satsuma, your death shall come to pass!\What should we do, Nobu? The enemy is...! Nobu!\What should we do...? Should we spread out, too?\No, that won't work.\The destructive power of muskets can only be fully brought out in a large unit. response:	First of all, they are lacking in experience.
context: Hmm?\They will never pardon you either.\Rebellious Satsuma, your death shall come to pass!\What should we do, Nobu? The enemy is...! Nobu!\What should we do...? Should we spread out, too?\No, that won't work.\The destructive power of muskets can only be fully brought out in a large unit.\First of all, they are lacking in experience. response:	If I break the force into squads, no one will be qualified to lead them.
context: They will never pardon you either.\Rebellious Satsuma, your death shall come to pass!\What should we do, Nobu? The enemy is...! Nobu!\What should we do...? Should we spread out, too?\No, that won't work.\The destructive power of muskets can only be fully brought out in a large unit.\First of all, they are lacking in experience.\If I break the force into squads, no one will be qualified to lead them. response:	Should I send them all out together?
context: Rebellious Satsuma, your death shall come to pass!\What should we do, Nobu? The enemy is...! Nobu!\What should we do...? Should we spread out, too?\No, that won't work.\The destructive power of muskets can only be fully brought out in a large unit.\First of all, they are lacking in experience.\If I break the force into squads, no one will be qualified to lead them.\Should I send them all out together? response:	No, that will take too long, and this castle town will be devastated.
context: What should we do, Nobu? The enemy is...! Nobu!\What should we do...? Should we spread out, too?\No, that won't work.\The destructive power of muskets can only be fully brought out in a large unit.\First of all, they are lacking in experience.\If I break the force into squads, no one will be qualified to lead them.\Should I send them all out together?\No, that will take too long, and this castle town will be devastated. response:	What should I do?
context: What should we do...? Should we spread out, too?\No, that won't work.\The destructive power of muskets can only be fully brought out in a large unit.\First of all, they are lacking in experience.\If I break the force into squads, no one will be qualified to lead them.\Should I send them all out together?\No, that will take too long, and this castle town will be devastated.\What should I do? response:	What shall we do?
context: No, that won't work.\The destructive power of muskets can only be fully brought out in a large unit.\First of all, they are lacking in experience.\If I break the force into squads, no one will be qualified to lead them.\Should I send them all out together?\No, that will take too long, and this castle town will be devastated.\What should I do?\What shall we do? response:	You're heavy, old fool!
context: The destructive power of muskets can only be fully brought out in a large unit.\First of all, they are lacking in experience.\If I break the force into squads, no one will be qualified to lead them.\Should I send them all out together?\No, that will take too long, and this castle town will be devastated.\What should I do?\What shall we do?\You're heavy, old fool! response:	This is easy.
context: First of all, they are lacking in experience.\If I break the force into squads, no one will be qualified to lead them.\Should I send them all out together?\No, that will take too long, and this castle town will be devastated.\What should I do?\What shall we do?\You're heavy, old fool!\This is easy. response:	We'll do berry smashing.
context: If I break the force into squads, no one will be qualified to lead them.\Should I send them all out together?\No, that will take too long, and this castle town will be devastated.\What should I do?\What shall we do?\You're heavy, old fool!\This is easy.\We'll do berry smashing. response:	What the heck has the old man started to do now?
context: Should I send them all out together?\No, that will take too long, and this castle town will be devastated.\What should I do?\What shall we do?\You're heavy, old fool!\This is easy.\We'll do berry smashing.\What the heck has the old man started to do now? response:	Don't know. He's just an old man. Please let him be.
context: No, that will take too long, and this castle town will be devastated.\What should I do?\What shall we do?\You're heavy, old fool!\This is easy.\We'll do berry smashing.\What the heck has the old man started to do now?\Don't know. He's just an old man. Please let him be. response:	What are you doing, old fool?! I've had it with you, Lightning of Carthage!
context: What should I do?\What shall we do?\You're heavy, old fool!\This is easy.\We'll do berry smashing.\What the heck has the old man started to do now?\Don't know. He's just an old man. Please let him be.\What are you doing, old fool?! I've had it with you, Lightning of Carthage! response:	It's much easier to smash them all at once! They taste better smashed!
context: What shall we do?\You're heavy, old fool!\This is easy.\We'll do berry smashing.\What the heck has the old man started to do now?\Don't know. He's just an old man. Please let him be.\What are you doing, old fool?! I've had it with you, Lightning of Carthage!\It's much easier to smash them all at once! They taste better smashed! response:	Ah!
context: You're heavy, old fool!\This is easy.\We'll do berry smashing.\What the heck has the old man started to do now?\Don't know. He's just an old man. Please let him be.\What are you doing, old fool?! I've had it with you, Lightning of Carthage!\It's much easier to smash them all at once! They taste better smashed!\Ah! response:	Yoichi! Yoichi!
context: This is easy.\We'll do berry smashing.\What the heck has the old man started to do now?\Don't know. He's just an old man. Please let him be.\What are you doing, old fool?! I've had it with you, Lightning of Carthage!\It's much easier to smash them all at once! They taste better smashed!\Ah!\Yoichi! Yoichi! response:	We have a situation here, too. Toyo... and the enemy...
context: We'll do berry smashing.\What the heck has the old man started to do now?\Don't know. He's just an old man. Please let him be.\What are you doing, old fool?! I've had it with you, Lightning of Carthage!\It's much easier to smash them all at once! They taste better smashed!\Ah!\Yoichi! Yoichi!\We have a situation here, too. Toyo... and the enemy... response:	Nobu said to monitor the enemy's movement from above.
context: What the heck has the old man started to do now?\Don't know. He's just an old man. Please let him be.\What are you doing, old fool?! I've had it with you, Lightning of Carthage!\It's much easier to smash them all at once! They taste better smashed!\Ah!\Yoichi! Yoichi!\We have a situation here, too. Toyo... and the enemy...\Nobu said to monitor the enemy's movement from above. response:	Look down upon the entire city! Are they rampaging on the streets?
context: Don't know. He's just an old man. Please let him be.\What are you doing, old fool?! I've had it with you, Lightning of Carthage!\It's much easier to smash them all at once! They taste better smashed!\Ah!\Yoichi! Yoichi!\We have a situation here, too. Toyo... and the enemy...\Nobu said to monitor the enemy's movement from above.\Look down upon the entire city! Are they rampaging on the streets? response:	Smoke... Are they randomly setting fires?
context: What are you doing, old fool?! I've had it with you, Lightning of Carthage!\It's much easier to smash them all at once! They taste better smashed!\Ah!\Yoichi! Yoichi!\We have a situation here, too. Toyo... and the enemy...\Nobu said to monitor the enemy's movement from above.\Look down upon the entire city! Are they rampaging on the streets?\Smoke... Are they randomly setting fires? response:	Just a moment. Please hold.
context: It's much easier to smash them all at once! They taste better smashed!\Ah!\Yoichi! Yoichi!\We have a situation here, too. Toyo... and the enemy...\Nobu said to monitor the enemy's movement from above.\Look down upon the entire city! Are they rampaging on the streets?\Smoke... Are they randomly setting fires?\Just a moment. Please hold. response:	Shake shake Creak creak
context: Ah!\Yoichi! Yoichi!\We have a situation here, too. Toyo... and the enemy...\Nobu said to monitor the enemy's movement from above.\Look down upon the entire city! Are they rampaging on the streets?\Smoke... Are they randomly setting fires?\Just a moment. Please hold.\Shake shake Creak creak response:	The height of Elves sure comes in handy.
context: Yoichi! Yoichi!\We have a situation here, too. Toyo... and the enemy...\Nobu said to monitor the enemy's movement from above.\Look down upon the entire city! Are they rampaging on the streets?\Smoke... Are they randomly setting fires?\Just a moment. Please hold.\Shake shake Creak creak\The height of Elves sure comes in handy. response:	Uh... Umm... Yoichi...
context: We have a situation here, too. Toyo... and the enemy...\Nobu said to monitor the enemy's movement from above.\Look down upon the entire city! Are they rampaging on the streets?\Smoke... Are they randomly setting fires?\Just a moment. Please hold.\Shake shake Creak creak\The height of Elves sure comes in handy.\Uh... Umm... Yoichi... response:	Ah... Abs... My abs...
context: Nobu said to monitor the enemy's movement from above.\Look down upon the entire city! Are they rampaging on the streets?\Smoke... Are they randomly setting fires?\Just a moment. Please hold.\Shake shake Creak creak\The height of Elves sure comes in handy.\Uh... Umm... Yoichi...\Ah... Abs... My abs... response:	Indeed, the enemy forces are scattered and moving in a disorderly way.
context: Look down upon the entire city! Are they rampaging on the streets?\Smoke... Are they randomly setting fires?\Just a moment. Please hold.\Shake shake Creak creak\The height of Elves sure comes in handy.\Uh... Umm... Yoichi...\Ah... Abs... My abs...\Indeed, the enemy forces are scattered and moving in a disorderly way. response:	They appear to be chaotic at a glance, but...
context: Smoke... Are they randomly setting fires?\Just a moment. Please hold.\Shake shake Creak creak\The height of Elves sure comes in handy.\Uh... Umm... Yoichi...\Ah... Abs... My abs...\Indeed, the enemy forces are scattered and moving in a disorderly way.\They appear to be chaotic at a glance, but... response:	There's a method to it.
context: Just a moment. Please hold.\Shake shake Creak creak\The height of Elves sure comes in handy.\Uh... Umm... Yoichi...\Ah... Abs... My abs...\Indeed, the enemy forces are scattered and moving in a disorderly way.\They appear to be chaotic at a glance, but...\There's a method to it. response:	They are making a detour,
context: Shake shake Creak creak\The height of Elves sure comes in handy.\Uh... Umm... Yoichi...\Ah... Abs... My abs...\Indeed, the enemy forces are scattered and moving in a disorderly way.\They appear to be chaotic at a glance, but...\There's a method to it.\They are making a detour, response:	but they are probably heading towards the Capital Building over there.
context: The height of Elves sure comes in handy.\Uh... Umm... Yoichi...\Ah... Abs... My abs...\Indeed, the enemy forces are scattered and moving in a disorderly way.\They appear to be chaotic at a glance, but...\There's a method to it.\They are making a detour,\but they are probably heading towards the Capital Building over there. response:	Is that so?
context: Uh... Umm... Yoichi...\Ah... Abs... My abs...\Indeed, the enemy forces are scattered and moving in a disorderly way.\They appear to be chaotic at a glance, but...\There's a method to it.\They are making a detour,\but they are probably heading towards the Capital Building over there.\Is that so? response:	I see.
context: Ah... Abs... My abs...\Indeed, the enemy forces are scattered and moving in a disorderly way.\They appear to be chaotic at a glance, but...\There's a method to it.\They are making a detour,\but they are probably heading towards the Capital Building over there.\Is that so?\I see. response:	I totally see!
context: Indeed, the enemy forces are scattered and moving in a disorderly way.\They appear to be chaotic at a glance, but...\There's a method to it.\They are making a detour,\but they are probably heading towards the Capital Building over there.\Is that so?\I see.\I totally see! response:	I know their intention now.
context: They appear to be chaotic at a glance, but...\There's a method to it.\They are making a detour,\but they are probably heading towards the Capital Building over there.\Is that so?\I see.\I totally see!\I know their intention now. response:	They haven't given up the plot to conquer this state.
context: There's a method to it.\They are making a detour,\but they are probably heading towards the Capital Building over there.\Is that so?\I see.\I totally see!\I know their intention now.\They haven't given up the plot to conquer this state. response:	Their plan hasn't shifted...
context: They are making a detour,\but they are probably heading towards the Capital Building over there.\Is that so?\I see.\I totally see!\I know their intention now.\They haven't given up the plot to conquer this state.\Their plan hasn't shifted... response:	They are persistent in executing their plan.
