context: I'm hungry, Nako. response:	Me too.
context: gonna steal your belly button!\No!\I don't agree.\Praising a child too much is counterproductive.\What if they get accustomed to it and grow up to be lazy?\No, children are clever.\If they're praised,\they'll work even harder to become response:	someone that deserves the praise.
context: No!\I don't agree.\Praising a child too much is counterproductive.\What if they get accustomed to it and grow up to be lazy?\No, children are clever.\If they're praised,\they'll work even harder to become\someone that deserves the praise. response:	You're thinking way too positively.
context: I don't agree.\Praising a child too much is counterproductive.\What if they get accustomed to it and grow up to be lazy?\No, children are clever.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\You're thinking way too positively. response:	Can't you discuss this kind of thing at school?
context: Praising a child too much is counterproductive.\What if they get accustomed to it and grow up to be lazy?\No, children are clever.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\You're thinking way too positively.\Can't you discuss this kind of thing at school? response:	Now, get changed before dinner!
context: What if they get accustomed to it and grow up to be lazy?\No, children are clever.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\You're thinking way too positively.\Can't you discuss this kind of thing at school?\Now, get changed before dinner! response:	And clean this place up please!
context: No, children are clever.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\You're thinking way too positively.\Can't you discuss this kind of thing at school?\Now, get changed before dinner!\And clean this place up please! response:	Sorry... Sorry.
context: If they're praised,\they'll work even harder to become\someone that deserves the praise.\You're thinking way too positively.\Can't you discuss this kind of thing at school?\Now, get changed before dinner!\And clean this place up please!\Sorry... Sorry. response:	Nako, you make our lives so much easier.
context: they'll work even harder to become\someone that deserves the praise.\You're thinking way too positively.\Can't you discuss this kind of thing at school?\Now, get changed before dinner!\And clean this place up please!\Sorry... Sorry.\Nako, you make our lives so much easier. response:	Yeah, definitely.
context: someone that deserves the praise.\You're thinking way too positively.\Can't you discuss this kind of thing at school?\Now, get changed before dinner!\And clean this place up please!\Sorry... Sorry.\Nako, you make our lives so much easier.\Yeah, definitely. response:	What would we do without you?
context: You're thinking way too positively.\Can't you discuss this kind of thing at school?\Now, get changed before dinner!\And clean this place up please!\Sorry... Sorry.\Nako, you make our lives so much easier.\Yeah, definitely.\What would we do without you? response:	Considering what I heard you just say,
context: Can't you discuss this kind of thing at school?\Now, get changed before dinner!\And clean this place up please!\Sorry... Sorry.\Nako, you make our lives so much easier.\Yeah, definitely.\What would we do without you?\Considering what I heard you just say, response:	those words don't hold much credibility.
context: Now, get changed before dinner!\And clean this place up please!\Sorry... Sorry.\Nako, you make our lives so much easier.\Yeah, definitely.\What would we do without you?\Considering what I heard you just say,\those words don't hold much credibility. response:	Nako, the meal's gonna burn.
context: And clean this place up please!\Sorry... Sorry.\Nako, you make our lives so much easier.\Yeah, definitely.\What would we do without you?\Considering what I heard you just say,\those words don't hold much credibility.\Nako, the meal's gonna burn. response:	Coming...
context: Sorry... Sorry.\Nako, you make our lives so much easier.\Yeah, definitely.\What would we do without you?\Considering what I heard you just say,\those words don't hold much credibility.\Nako, the meal's gonna burn.\Coming... response:	Hey!
context: Nako, you make our lives so much easier.\Yeah, definitely.\What would we do without you?\Considering what I heard you just say,\those words don't hold much credibility.\Nako, the meal's gonna burn.\Coming...\Hey! response:	How many times do I have to tell
context: Yeah, definitely.\What would we do without you?\Considering what I heard you just say,\those words don't hold much credibility.\Nako, the meal's gonna burn.\Coming...\Hey!\How many times do I have to tell response:	Nako's so reliable.
context: What would we do without you?\Considering what I heard you just say,\those words don't hold much credibility.\Nako, the meal's gonna burn.\Coming...\Hey!\How many times do I have to tell\Nako's so reliable. response:	you not to steal food?!
context: Considering what I heard you just say,\those words don't hold much credibility.\Nako, the meal's gonna burn.\Coming...\Hey!\How many times do I have to tell\Nako's so reliable.\you not to steal food?! response:	I bet it's because I raised her by praising her.
context: those words don't hold much credibility.\Nako, the meal's gonna burn.\Coming...\Hey!\How many times do I have to tell\Nako's so reliable.\you not to steal food?!\I bet it's because I raised her by praising her. response:	Now you're going to say
context: Nako, the meal's gonna burn.\Coming...\Hey!\How many times do I have to tell\Nako's so reliable.\you not to steal food?!\I bet it's because I raised her by praising her.\Now you're going to say response:	Hey! Raising a child and teaching aren't-
context: Coming...\Hey!\How many times do I have to tell\Nako's so reliable.\you not to steal food?!\I bet it's because I raised her by praising her.\Now you're going to say\Hey! Raising a child and teaching aren't- response:	that you're full when dinner's ready!
context: Hey!\How many times do I have to tell\Nako's so reliable.\you not to steal food?!\I bet it's because I raised her by praising her.\Now you're going to say\Hey! Raising a child and teaching aren't-\that you're full when dinner's ready! response:	Hey!
context: How many times do I have to tell\Nako's so reliable.\you not to steal food?!\I bet it's because I raised her by praising her.\Now you're going to say\Hey! Raising a child and teaching aren't-\that you're full when dinner's ready!\Hey! response:	Sorry.
context: Nako's so reliable.\you not to steal food?!\I bet it's because I raised her by praising her.\Now you're going to say\Hey! Raising a child and teaching aren't-\that you're full when dinner's ready!\Hey!\Sorry. response:	The mermaid princess who admired
context: you not to steal food?!\I bet it's because I raised her by praising her.\Now you're going to say\Hey! Raising a child and teaching aren't-\that you're full when dinner's ready!\Hey!\Sorry.\The mermaid princess who admired response:	the prince wanted to see the outside world.
context: I bet it's because I raised her by praising her.\Now you're going to say\Hey! Raising a child and teaching aren't-\that you're full when dinner's ready!\Hey!\Sorry.\The mermaid princess who admired\the prince wanted to see the outside world. response:	The prince, seen from above the water,
context: Now you're going to say\Hey! Raising a child and teaching aren't-\that you're full when dinner's ready!\Hey!\Sorry.\The mermaid princess who admired\the prince wanted to see the outside world.\The prince, seen from above the water, response:	was very handsome
context: Hey! Raising a child and teaching aren't-\that you're full when dinner's ready!\Hey!\Sorry.\The mermaid princess who admired\the prince wanted to see the outside world.\The prince, seen from above the water,\was very handsome response:	If I were a mermaid princess,
context: that you're full when dinner's ready!\Hey!\Sorry.\The mermaid princess who admired\the prince wanted to see the outside world.\The prince, seen from above the water,\was very handsome\If I were a mermaid princess, response:	I wouldn't admire a prince...
context: Hey!\Sorry.\The mermaid princess who admired\the prince wanted to see the outside world.\The prince, seen from above the water,\was very handsome\If I were a mermaid princess,\I wouldn't admire a prince... response:	I would swim freely in the water,
context: Sorry.\The mermaid princess who admired\the prince wanted to see the outside world.\The prince, seen from above the water,\was very handsome\If I were a mermaid princess,\I wouldn't admire a prince...\I would swim freely in the water, response:	and take a break whenever I got tired...
context: The mermaid princess who admired\the prince wanted to see the outside world.\The prince, seen from above the water,\was very handsome\If I were a mermaid princess,\I wouldn't admire a prince...\I would swim freely in the water,\and take a break whenever I got tired... response:	because land is... scary.
context: the prince wanted to see the outside world.\The prince, seen from above the water,\was very handsome\If I were a mermaid princess,\I wouldn't admire a prince...\I would swim freely in the water,\and take a break whenever I got tired...\because land is... scary. response:	To me,
context: The prince, seen from above the water,\was very handsome\If I were a mermaid princess,\I wouldn't admire a prince...\I would swim freely in the water,\and take a break whenever I got tired...\because land is... scary.\To me, response:	my home is like the ocean.
context: was very handsome\If I were a mermaid princess,\I wouldn't admire a prince...\I would swim freely in the water,\and take a break whenever I got tired...\because land is... scary.\To me,\my home is like the ocean. response:	I'm off!
context: If I were a mermaid princess,\I wouldn't admire a prince...\I would swim freely in the water,\and take a break whenever I got tired...\because land is... scary.\To me,\my home is like the ocean.\I'm off! response:	Nako, I can't find my right shoe!
context: I wouldn't admire a prince...\I would swim freely in the water,\and take a break whenever I got tired...\because land is... scary.\To me,\my home is like the ocean.\I'm off!\Nako, I can't find my right shoe! response:	What?!
context: I would swim freely in the water,\and take a break whenever I got tired...\because land is... scary.\To me,\my home is like the ocean.\I'm off!\Nako, I can't find my right shoe!\What?! response:	How many times do
context: and take a break whenever I got tired...\because land is... scary.\To me,\my home is like the ocean.\I'm off!\Nako, I can't find my right shoe!\What?!\How many times do response:	I have to tell you to put them away together?
context: because land is... scary.\To me,\my home is like the ocean.\I'm off!\Nako, I can't find my right shoe!\What?!\How many times do\I have to tell you to put them away together? response:	Really!
context: To me,\my home is like the ocean.\I'm off!\Nako, I can't find my right shoe!\What?!\How many times do\I have to tell you to put them away together?\Really! response:	Looking after my siblings is a difficult task,
context: my home is like the ocean.\I'm off!\Nako, I can't find my right shoe!\What?!\How many times do\I have to tell you to put them away together?\Really!\Looking after my siblings is a difficult task, response:	but I'm most like myself when I do...
context: I'm off!\Nako, I can't find my right shoe!\What?!\How many times do\I have to tell you to put them away together?\Really!\Looking after my siblings is a difficult task,\but I'm most like myself when I do... response:	Bad boy!
context: Nako, I can't find my right shoe!\What?!\How many times do\I have to tell you to put them away together?\Really!\Looking after my siblings is a difficult task,\but I'm most like myself when I do...\Bad boy! response:	Morning, Nako.
context: What?!\How many times do\I have to tell you to put them away together?\Really!\Looking after my siblings is a difficult task,\but I'm most like myself when I do...\Bad boy!\Morning, Nako. response:	You don't have work this morning?
context: How many times do\I have to tell you to put them away together?\Really!\Looking after my siblings is a difficult task,\but I'm most like myself when I do...\Bad boy!\Morning, Nako.\You don't have work this morning? response:	N-No...
context: I have to tell you to put them away together?\Really!\Looking after my siblings is a difficult task,\but I'm most like myself when I do...\Bad boy!\Morning, Nako.\You don't have work this morning?\N-No... response:	Good morning
context: Really!\Looking after my siblings is a difficult task,\but I'm most like myself when I do...\Bad boy!\Morning, Nako.\You don't have work this morning?\N-No...\Good morning response:	Nako, my shoe!
context: Looking after my siblings is a difficult task,\but I'm most like myself when I do...\Bad boy!\Morning, Nako.\You don't have work this morning?\N-No...\Good morning\Nako, my shoe! response:	My job doesn't start until late this afternoon...
context: but I'm most like myself when I do...\Bad boy!\Morning, Nako.\You don't have work this morning?\N-No...\Good morning\Nako, my shoe!\My job doesn't start until late this afternoon... response:	My shoe! My shoe!
context: Bad boy!\Morning, Nako.\You don't have work this morning?\N-No...\Good morning\Nako, my shoe!\My job doesn't start until late this afternoon...\My shoe! My shoe! response:	Nako!
context: Morning, Nako.\You don't have work this morning?\N-No...\Good morning\Nako, my shoe!\My job doesn't start until late this afternoon...\My shoe! My shoe!\Nako! response:	Yes... it's difficult to breathe above the water.
context: You don't have work this morning?\N-No...\Good morning\Nako, my shoe!\My job doesn't start until late this afternoon...\My shoe! My shoe!\Nako!\Yes... it's difficult to breathe above the water. response:	Shoe!
context: N-No...\Good morning\Nako, my shoe!\My job doesn't start until late this afternoon...\My shoe! My shoe!\Nako!\Yes... it's difficult to breathe above the water.\Shoe! response:	Episode 18 A Mermaid Princess and a Shell Bra
context: Good morning\Nako, my shoe!\My job doesn't start until late this afternoon...\My shoe! My shoe!\Nako!\Yes... it's difficult to breathe above the water.\Shoe!\Episode 18 A Mermaid Princess and a Shell Bra response:	Excuse me,
context: Nako, my shoe!\My job doesn't start until late this afternoon...\My shoe! My shoe!\Nako!\Yes... it's difficult to breathe above the water.\Shoe!\Episode 18 A Mermaid Princess and a Shell Bra\Excuse me, response:	do you happen to
context: My job doesn't start until late this afternoon...\My shoe! My shoe!\Nako!\Yes... it's difficult to breathe above the water.\Shoe!\Episode 18 A Mermaid Princess and a Shell Bra\Excuse me,\do you happen to response:	know what flower is especially in bloom right now around here?
context: My shoe! My shoe!\Nako!\Yes... it's difficult to breathe above the water.\Shoe!\Episode 18 A Mermaid Princess and a Shell Bra\Excuse me,\do you happen to\know what flower is especially in bloom right now around here? response:	Oh which flower?
context: Nako!\Yes... it's difficult to breathe above the water.\Shoe!\Episode 18 A Mermaid Princess and a Shell Bra\Excuse me,\do you happen to\know what flower is especially in bloom right now around here?\Oh which flower? response:	Yeah, I'd love to take some pictures of
context: Yes... it's difficult to breathe above the water.\Shoe!\Episode 18 A Mermaid Princess and a Shell Bra\Excuse me,\do you happen to\know what flower is especially in bloom right now around here?\Oh which flower?\Yeah, I'd love to take some pictures of response:	wild, dynamic flowers instead of just small ones.
context: Shoe!\Episode 18 A Mermaid Princess and a Shell Bra\Excuse me,\do you happen to\know what flower is especially in bloom right now around here?\Oh which flower?\Yeah, I'd love to take some pictures of\wild, dynamic flowers instead of just small ones. response:	D-Dynamic?
context: Episode 18 A Mermaid Princess and a Shell Bra\Excuse me,\do you happen to\know what flower is especially in bloom right now around here?\Oh which flower?\Yeah, I'd love to take some pictures of\wild, dynamic flowers instead of just small ones.\D-Dynamic? response:	U-Umm
context: Excuse me,\do you happen to\know what flower is especially in bloom right now around here?\Oh which flower?\Yeah, I'd love to take some pictures of\wild, dynamic flowers instead of just small ones.\D-Dynamic?\U-Umm response:	Oh, don't worry about it.
context: do you happen to\know what flower is especially in bloom right now around here?\Oh which flower?\Yeah, I'd love to take some pictures of\wild, dynamic flowers instead of just small ones.\D-Dynamic?\U-Umm\Oh, don't worry about it. response:	Looking for flowers in bloom while going on our walk
context: know what flower is especially in bloom right now around here?\Oh which flower?\Yeah, I'd love to take some pictures of\wild, dynamic flowers instead of just small ones.\D-Dynamic?\U-Umm\Oh, don't worry about it.\Looking for flowers in bloom while going on our walk response:	sounds pleasant as well, right?
context: Oh which flower?\Yeah, I'd love to take some pictures of\wild, dynamic flowers instead of just small ones.\D-Dynamic?\U-Umm\Oh, don't worry about it.\Looking for flowers in bloom while going on our walk\sounds pleasant as well, right? response:	Yeah, we should sleep early tonight
context: Yeah, I'd love to take some pictures of\wild, dynamic flowers instead of just small ones.\D-Dynamic?\U-Umm\Oh, don't worry about it.\Looking for flowers in bloom while going on our walk\sounds pleasant as well, right?\Yeah, we should sleep early tonight response:	in preparation for tomorrow.
context: wild, dynamic flowers instead of just small ones.\D-Dynamic?\U-Umm\Oh, don't worry about it.\Looking for flowers in bloom while going on our walk\sounds pleasant as well, right?\Yeah, we should sleep early tonight\in preparation for tomorrow. response:	Buckwheat flowers grow in clumps past the lake.
context: D-Dynamic?\U-Umm\Oh, don't worry about it.\Looking for flowers in bloom while going on our walk\sounds pleasant as well, right?\Yeah, we should sleep early tonight\in preparation for tomorrow.\Buckwheat flowers grow in clumps past the lake. response:	They should be really pretty this time of year.
context: U-Umm\Oh, don't worry about it.\Looking for flowers in bloom while going on our walk\sounds pleasant as well, right?\Yeah, we should sleep early tonight\in preparation for tomorrow.\Buckwheat flowers grow in clumps past the lake.\They should be really pretty this time of year. response:	But the path is filled with steep slopes, so hiking boots would be...
context: Oh, don't worry about it.\Looking for flowers in bloom while going on our walk\sounds pleasant as well, right?\Yeah, we should sleep early tonight\in preparation for tomorrow.\Buckwheat flowers grow in clumps past the lake.\They should be really pretty this time of year.\But the path is filled with steep slopes, so hiking boots would be... response:	Why couldn't I just say this to them earlier?
context: Looking for flowers in bloom while going on our walk\sounds pleasant as well, right?\Yeah, we should sleep early tonight\in preparation for tomorrow.\Buckwheat flowers grow in clumps past the lake.\They should be really pretty this time of year.\But the path is filled with steep slopes, so hiking boots would be...\Why couldn't I just say this to them earlier? response:	As I thought, I can't swim the way I want above the water.
context: sounds pleasant as well, right?\Yeah, we should sleep early tonight\in preparation for tomorrow.\Buckwheat flowers grow in clumps past the lake.\They should be really pretty this time of year.\But the path is filled with steep slopes, so hiking boots would be...\Why couldn't I just say this to them earlier?\As I thought, I can't swim the way I want above the water. response:	What's up?
context: Yeah, we should sleep early tonight\in preparation for tomorrow.\Buckwheat flowers grow in clumps past the lake.\They should be really pretty this time of year.\But the path is filled with steep slopes, so hiking boots would be...\Why couldn't I just say this to them earlier?\As I thought, I can't swim the way I want above the water.\What's up? response:	N-Nothing.
context: in preparation for tomorrow.\Buckwheat flowers grow in clumps past the lake.\They should be really pretty this time of year.\But the path is filled with steep slopes, so hiking boots would be...\Why couldn't I just say this to them earlier?\As I thought, I can't swim the way I want above the water.\What's up?\N-Nothing. response:	There you are!
context: Buckwheat flowers grow in clumps past the lake.\They should be really pretty this time of year.\But the path is filled with steep slopes, so hiking boots would be...\Why couldn't I just say this to them earlier?\As I thought, I can't swim the way I want above the water.\What's up?\N-Nothing.\There you are! response:	You two, we're meeting in the office!
context: They should be really pretty this time of year.\But the path is filled with steep slopes, so hiking boots would be...\Why couldn't I just say this to them earlier?\As I thought, I can't swim the way I want above the water.\What's up?\N-Nothing.\There you are!\You two, we're meeting in the office! response:	What?
context: But the path is filled with steep slopes, so hiking boots would be...\Why couldn't I just say this to them earlier?\As I thought, I can't swim the way I want above the water.\What's up?\N-Nothing.\There you are!\You two, we're meeting in the office!\What? response:	It's the payday we've all been waiting for!
context: Why couldn't I just say this to them earlier?\As I thought, I can't swim the way I want above the water.\What's up?\N-Nothing.\There you are!\You two, we're meeting in the office!\What?\It's the payday we've all been waiting for! response:	All right!
context: As I thought, I can't swim the way I want above the water.\What's up?\N-Nothing.\There you are!\You two, we're meeting in the office!\What?\It's the payday we've all been waiting for!\All right! response:	I-It's gone down by 15,000 yen...
context: What's up?\N-Nothing.\There you are!\You two, we're meeting in the office!\What?\It's the payday we've all been waiting for!\All right!\I-It's gone down by 15,000 yen... response:	You broke the vase in the Crane Room, didn't you?
context: N-Nothing.\There you are!\You two, we're meeting in the office!\What?\It's the payday we've all been waiting for!\All right!\I-It's gone down by 15,000 yen...\You broke the vase in the Crane Room, didn't you? response:	I-I'm sorry,
context: There you are!\You two, we're meeting in the office!\What?\It's the payday we've all been waiting for!\All right!\I-It's gone down by 15,000 yen...\You broke the vase in the Crane Room, didn't you?\I-I'm sorry, response:	but a child bumped into me from behind, and-
context: You two, we're meeting in the office!\What?\It's the payday we've all been waiting for!\All right!\I-It's gone down by 15,000 yen...\You broke the vase in the Crane Room, didn't you?\I-I'm sorry,\but a child bumped into me from behind, and- response:	If you prefer, I can deduct the entire cost of it from your salary.
context: What?\It's the payday we've all been waiting for!\All right!\I-It's gone down by 15,000 yen...\You broke the vase in the Crane Room, didn't you?\I-I'm sorry,\but a child bumped into me from behind, and-\If you prefer, I can deduct the entire cost of it from your salary. response:	That was very expensive Kutani ware.
context: It's the payday we've all been waiting for!\All right!\I-It's gone down by 15,000 yen...\You broke the vase in the Crane Room, didn't you?\I-I'm sorry,\but a child bumped into me from behind, and-\If you prefer, I can deduct the entire cost of it from your salary.\That was very expensive Kutani ware. response:	It's definitely worth more than twenty to thirty thousand yen.
context: All right!\I-It's gone down by 15,000 yen...\You broke the vase in the Crane Room, didn't you?\I-I'm sorry,\but a child bumped into me from behind, and-\If you prefer, I can deduct the entire cost of it from your salary.\That was very expensive Kutani ware.\It's definitely worth more than twenty to thirty thousand yen. response:	What do you want to do?
context: I-It's gone down by 15,000 yen...\You broke the vase in the Crane Room, didn't you?\I-I'm sorry,\but a child bumped into me from behind, and-\If you prefer, I can deduct the entire cost of it from your salary.\That was very expensive Kutani ware.\It's definitely worth more than twenty to thirty thousand yen.\What do you want to do? response:	I'll gladly take this.
context: You broke the vase in the Crane Room, didn't you?\I-I'm sorry,\but a child bumped into me from behind, and-\If you prefer, I can deduct the entire cost of it from your salary.\That was very expensive Kutani ware.\It's definitely worth more than twenty to thirty thousand yen.\What do you want to do?\I'll gladly take this. response:	Huh?
context: I-I'm sorry,\but a child bumped into me from behind, and-\If you prefer, I can deduct the entire cost of it from your salary.\That was very expensive Kutani ware.\It's definitely worth more than twenty to thirty thousand yen.\What do you want to do?\I'll gladly take this.\Huh? response:	Wow!
context: but a child bumped into me from behind, and-\If you prefer, I can deduct the entire cost of it from your salary.\That was very expensive Kutani ware.\It's definitely worth more than twenty to thirty thousand yen.\What do you want to do?\I'll gladly take this.\Huh?\Wow! response:	This is more than I usually get...
context: If you prefer, I can deduct the entire cost of it from your salary.\That was very expensive Kutani ware.\It's definitely worth more than twenty to thirty thousand yen.\What do you want to do?\I'll gladly take this.\Huh?\Wow!\This is more than I usually get... response:	I bet she has high expectations, Nako.
context: That was very expensive Kutani ware.\It's definitely worth more than twenty to thirty thousand yen.\What do you want to do?\I'll gladly take this.\Huh?\Wow!\This is more than I usually get...\I bet she has high expectations, Nako. response:	If they're praised,
context: It's definitely worth more than twenty to thirty thousand yen.\What do you want to do?\I'll gladly take this.\Huh?\Wow!\This is more than I usually get...\I bet she has high expectations, Nako.\If they're praised, response:	they'll work even harder to become
context: What do you want to do?\I'll gladly take this.\Huh?\Wow!\This is more than I usually get...\I bet she has high expectations, Nako.\If they're praised,\they'll work even harder to become response:	someone that deserves the praise.
context: I'll gladly take this.\Huh?\Wow!\This is more than I usually get...\I bet she has high expectations, Nako.\If they're praised,\they'll work even harder to become\someone that deserves the praise. response:	Madam Manager
context: Huh?\Wow!\This is more than I usually get...\I bet she has high expectations, Nako.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\Madam Manager response:	What do you say to leaving me
context: Wow!\This is more than I usually get...\I bet she has high expectations, Nako.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\Madam Manager\What do you say to leaving me response:	in charge of that money, Miss Nako?
context: This is more than I usually get...\I bet she has high expectations, Nako.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\Madam Manager\What do you say to leaving me\in charge of that money, Miss Nako? response:	I'm in the middle of writing a novel about currency exchange, and-
context: I bet she has high expectations, Nako.\If they're praised,\they'll work even harder to become\someone that deserves the praise.\Madam Manager\What do you say to leaving me\in charge of that money, Miss Nako?\I'm in the middle of writing a novel about currency exchange, and- response:	Don't you dare ask a high schooler for an investment!
context: If they're praised,\they'll work even harder to become\someone that deserves the praise.\Madam Manager\What do you say to leaving me\in charge of that money, Miss Nako?\I'm in the middle of writing a novel about currency exchange, and-\Don't you dare ask a high schooler for an investment! response:	Man
context: they'll work even harder to become\someone that deserves the praise.\Madam Manager\What do you say to leaving me\in charge of that money, Miss Nako?\I'm in the middle of writing a novel about currency exchange, and-\Don't you dare ask a high schooler for an investment!\Man response:	The kinako mochi-flavored tirol chocolates are 20 yen each,
context: someone that deserves the praise.\Madam Manager\What do you say to leaving me\in charge of that money, Miss Nako?\I'm in the middle of writing a novel about currency exchange, and-\Don't you dare ask a high schooler for an investment!\Man\The kinako mochi-flavored tirol chocolates are 20 yen each, response:	so if I had 15,000 yen, I'd be able to buy...
context: Madam Manager\What do you say to leaving me\in charge of that money, Miss Nako?\I'm in the middle of writing a novel about currency exchange, and-\Don't you dare ask a high schooler for an investment!\Man\The kinako mochi-flavored tirol chocolates are 20 yen each,\so if I had 15,000 yen, I'd be able to buy... response:	750.
context: What do you say to leaving me\in charge of that money, Miss Nako?\I'm in the middle of writing a novel about currency exchange, and-\Don't you dare ask a high schooler for an investment!\Man\The kinako mochi-flavored tirol chocolates are 20 yen each,\so if I had 15,000 yen, I'd be able to buy...\750. response:	That's a lot!
context: in charge of that money, Miss Nako?\I'm in the middle of writing a novel about currency exchange, and-\Don't you dare ask a high schooler for an investment!\Man\The kinako mochi-flavored tirol chocolates are 20 yen each,\so if I had 15,000 yen, I'd be able to buy...\750.\That's a lot! response:	You can buy a lot, can't you?
context: I'm in the middle of writing a novel about currency exchange, and-\Don't you dare ask a high schooler for an investment!\Man\The kinako mochi-flavored tirol chocolates are 20 yen each,\so if I had 15,000 yen, I'd be able to buy...\750.\That's a lot!\You can buy a lot, can't you? response:	I'm so jealous!
context: Don't you dare ask a high schooler for an investment!\Man\The kinako mochi-flavored tirol chocolates are 20 yen each,\so if I had 15,000 yen, I'd be able to buy...\750.\That's a lot!\You can buy a lot, can't you?\I'm so jealous! response:	Can I have one?
context: Man\The kinako mochi-flavored tirol chocolates are 20 yen each,\so if I had 15,000 yen, I'd be able to buy...\750.\That's a lot!\You can buy a lot, can't you?\I'm so jealous!\Can I have one? response:	But I'm not planning to buy any.
context: The kinako mochi-flavored tirol chocolates are 20 yen each,\so if I had 15,000 yen, I'd be able to buy...\750.\That's a lot!\You can buy a lot, can't you?\I'm so jealous!\Can I have one?\But I'm not planning to buy any. response:	I think Madam Manager wants me to change.
context: so if I had 15,000 yen, I'd be able to buy...\750.\That's a lot!\You can buy a lot, can't you?\I'm so jealous!\Can I have one?\But I'm not planning to buy any.\I think Madam Manager wants me to change. response:	What?
context: 750.\That's a lot!\You can buy a lot, can't you?\I'm so jealous!\Can I have one?\But I'm not planning to buy any.\I think Madam Manager wants me to change.\What? response:	I think she wants me to work hard to
context: That's a lot!\You can buy a lot, can't you?\I'm so jealous!\Can I have one?\But I'm not planning to buy any.\I think Madam Manager wants me to change.\What?\I think she wants me to work hard to response:	become someone who deserves the amount I was given.
context: You can buy a lot, can't you?\I'm so jealous!\Can I have one?\But I'm not planning to buy any.\I think Madam Manager wants me to change.\What?\I think she wants me to work hard to\become someone who deserves the amount I was given. response:	Yeah?
context: I'm so jealous!\Can I have one?\But I'm not planning to buy any.\I think Madam Manager wants me to change.\What?\I think she wants me to work hard to\become someone who deserves the amount I was given.\Yeah? response:	In that case, I'd better...
context: Can I have one?\But I'm not planning to buy any.\I think Madam Manager wants me to change.\What?\I think she wants me to work hard to\become someone who deserves the amount I was given.\Yeah?\In that case, I'd better... response:	I think you're the type
context: But I'm not planning to buy any.\I think Madam Manager wants me to change.\What?\I think she wants me to work hard to\become someone who deserves the amount I was given.\Yeah?\In that case, I'd better...\I think you're the type response:	who gets carried away when praised, so...
context: I think Madam Manager wants me to change.\What?\I think she wants me to work hard to\become someone who deserves the amount I was given.\Yeah?\In that case, I'd better...\I think you're the type\who gets carried away when praised, so... response:	Get carried away...
