context: hajimete no kimochi my first feelings response:	shonbori no mune ni upon my downhearted chest
context: kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe response:	I want to touch her.
context: maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\I want to touch her. response:	I want to hold her tight.
context: sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\I want to touch her.\I want to hold her tight. response:	I want to be closer to her.
context: soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\I want to touch her.\I want to hold her tight.\I want to be closer to her. response:	No...
context: tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\I want to touch her.\I want to hold her tight.\I want to be closer to her.\No... response:	I am such a pervert.
context: bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\I want to touch her.\I want to hold her tight.\I want to be closer to her.\No...\I am such a pervert. response:	No!
context: kurushikute it's so painful\ikiga tomarisou desu I can't breathe\I want to touch her.\I want to hold her tight.\I want to be closer to her.\No...\I am such a pervert.\No! response:	Wintry moon
context: ikiga tomarisou desu I can't breathe\I want to touch her.\I want to hold her tight.\I want to be closer to her.\No...\I am such a pervert.\No!\Wintry moon response:	It's not like I wanted to hurt her.
context: I want to touch her.\I want to hold her tight.\I want to be closer to her.\No...\I am such a pervert.\No!\Wintry moon\It's not like I wanted to hurt her. response:	Good morning!
context: I want to hold her tight.\I want to be closer to her.\No...\I am such a pervert.\No!\Wintry moon\It's not like I wanted to hurt her.\Good morning! response:	Good morning.
context: I want to be closer to her.\No...\I am such a pervert.\No!\Wintry moon\It's not like I wanted to hurt her.\Good morning!\Good morning. response:	Is she... still sleeping?
context: No...\I am such a pervert.\No!\Wintry moon\It's not like I wanted to hurt her.\Good morning!\Good morning.\Is she... still sleeping? response:	Nanoka already left.
context: I am such a pervert.\No!\Wintry moon\It's not like I wanted to hurt her.\Good morning!\Good morning.\Is she... still sleeping?\Nanoka already left. response:	She wanted to leave early today.
context: No!\Wintry moon\It's not like I wanted to hurt her.\Good morning!\Good morning.\Is she... still sleeping?\Nanoka already left.\She wanted to leave early today. response:	I see...
context: Wintry moon\It's not like I wanted to hurt her.\Good morning!\Good morning.\Is she... still sleeping?\Nanoka already left.\She wanted to leave early today.\I see... response:	Come on, let's eat.
context: It's not like I wanted to hurt her.\Good morning!\Good morning.\Is she... still sleeping?\Nanoka already left.\She wanted to leave early today.\I see...\Come on, let's eat. response:	She won't even give me a chance to apologize, huh?
context: Good morning!\Good morning.\Is she... still sleeping?\Nanoka already left.\She wanted to leave early today.\I see...\Come on, let's eat.\She won't even give me a chance to apologize, huh? response:	No, maybe there isn't even a need for that anymore.
context: Good morning.\Is she... still sleeping?\Nanoka already left.\She wanted to leave early today.\I see...\Come on, let's eat.\She won't even give me a chance to apologize, huh?\No, maybe there isn't even a need for that anymore. response:	If I just disappear from her life, won't that solve everything?
context: Is she... still sleeping?\Nanoka already left.\She wanted to leave early today.\I see...\Come on, let's eat.\She won't even give me a chance to apologize, huh?\No, maybe there isn't even a need for that anymore.\If I just disappear from her life, won't that solve everything? response:	Don't say it!
context: Nanoka already left.\She wanted to leave early today.\I see...\Come on, let's eat.\She won't even give me a chance to apologize, huh?\No, maybe there isn't even a need for that anymore.\If I just disappear from her life, won't that solve everything?\Don't say it! response:	You love me like a sister would love her brother.
context: She wanted to leave early today.\I see...\Come on, let's eat.\She won't even give me a chance to apologize, huh?\No, maybe there isn't even a need for that anymore.\If I just disappear from her life, won't that solve everything?\Don't say it!\You love me like a sister would love her brother. response:	Saying that you love your sibling like that...
context: I see...\Come on, let's eat.\She won't even give me a chance to apologize, huh?\No, maybe there isn't even a need for that anymore.\If I just disappear from her life, won't that solve everything?\Don't say it!\You love me like a sister would love her brother.\Saying that you love your sibling like that... response:	Something's wrong with you.
context: Come on, let's eat.\She won't even give me a chance to apologize, huh?\No, maybe there isn't even a need for that anymore.\If I just disappear from her life, won't that solve everything?\Don't say it!\You love me like a sister would love her brother.\Saying that you love your sibling like that...\Something's wrong with you. response:	I know that it's strange.
context: She won't even give me a chance to apologize, huh?\No, maybe there isn't even a need for that anymore.\If I just disappear from her life, won't that solve everything?\Don't say it!\You love me like a sister would love her brother.\Saying that you love your sibling like that...\Something's wrong with you.\I know that it's strange. response:	I got a bit ahead of myself.
context: No, maybe there isn't even a need for that anymore.\If I just disappear from her life, won't that solve everything?\Don't say it!\You love me like a sister would love her brother.\Saying that you love your sibling like that...\Something's wrong with you.\I know that it's strange.\I got a bit ahead of myself. response:	What do you think of me?
context: If I just disappear from her life, won't that solve everything?\Don't say it!\You love me like a sister would love her brother.\Saying that you love your sibling like that...\Something's wrong with you.\I know that it's strange.\I got a bit ahead of myself.\What do you think of me? response:	I shouldn't have asked such a shameless question.
context: Don't say it!\You love me like a sister would love her brother.\Saying that you love your sibling like that...\Something's wrong with you.\I know that it's strange.\I got a bit ahead of myself.\What do you think of me?\I shouldn't have asked such a shameless question. response:	But then, why did he...?
context: You love me like a sister would love her brother.\Saying that you love your sibling like that...\Something's wrong with you.\I know that it's strange.\I got a bit ahead of myself.\What do you think of me?\I shouldn't have asked such a shameless question.\But then, why did he...? response:	You're moving? Why?
context: Saying that you love your sibling like that...\Something's wrong with you.\I know that it's strange.\I got a bit ahead of myself.\What do you think of me?\I shouldn't have asked such a shameless question.\But then, why did he...?\You're moving? Why? response:	A man your age living in your parent's home...
context: Something's wrong with you.\I know that it's strange.\I got a bit ahead of myself.\What do you think of me?\I shouldn't have asked such a shameless question.\But then, why did he...?\You're moving? Why?\A man your age living in your parent's home... response:	I was so envious of your situation.
context: I know that it's strange.\I got a bit ahead of myself.\What do you think of me?\I shouldn't have asked such a shameless question.\But then, why did he...?\You're moving? Why?\A man your age living in your parent's home...\I was so envious of your situation. response:	Stuff happened.
context: I got a bit ahead of myself.\What do you think of me?\I shouldn't have asked such a shameless question.\But then, why did he...?\You're moving? Why?\A man your age living in your parent's home...\I was so envious of your situation.\Stuff happened. response:	You... do understand how busy the office is during this season.
context: What do you think of me?\I shouldn't have asked such a shameless question.\But then, why did he...?\You're moving? Why?\A man your age living in your parent's home...\I was so envious of your situation.\Stuff happened.\You... do understand how busy the office is during this season. response:	We got a Christmas party, and end of the year party, a New Year's party,
context: I shouldn't have asked such a shameless question.\But then, why did he...?\You're moving? Why?\A man your age living in your parent's home...\I was so envious of your situation.\Stuff happened.\You... do understand how busy the office is during this season.\We got a Christmas party, and end of the year party, a New Year's party, response:	and in just a few more weeks there's going to be a Valentine's party.
context: But then, why did he...?\You're moving? Why?\A man your age living in your parent's home...\I was so envious of your situation.\Stuff happened.\You... do understand how busy the office is during this season.\We got a Christmas party, and end of the year party, a New Year's party,\and in just a few more weeks there's going to be a Valentine's party. response:	In other words, it's going to be a hellish time of party planning.
context: You're moving? Why?\A man your age living in your parent's home...\I was so envious of your situation.\Stuff happened.\You... do understand how busy the office is during this season.\We got a Christmas party, and end of the year party, a New Year's party,\and in just a few more weeks there's going to be a Valentine's party.\In other words, it's going to be a hellish time of party planning. response:	And you say you're moving tomorrow?!
context: A man your age living in your parent's home...\I was so envious of your situation.\Stuff happened.\You... do understand how busy the office is during this season.\We got a Christmas party, and end of the year party, a New Year's party,\and in just a few more weeks there's going to be a Valentine's party.\In other words, it's going to be a hellish time of party planning.\And you say you're moving tomorrow?! response:	A lot happened.
context: I was so envious of your situation.\Stuff happened.\You... do understand how busy the office is during this season.\We got a Christmas party, and end of the year party, a New Year's party,\and in just a few more weeks there's going to be a Valentine's party.\In other words, it's going to be a hellish time of party planning.\And you say you're moving tomorrow?!\A lot happened. response:	So I guess you've already found your apartment?
context: Stuff happened.\You... do understand how busy the office is during this season.\We got a Christmas party, and end of the year party, a New Year's party,\and in just a few more weeks there's going to be a Valentine's party.\In other words, it's going to be a hellish time of party planning.\And you say you're moving tomorrow?!\A lot happened.\So I guess you've already found your apartment? response:	Not yet.
context: You... do understand how busy the office is during this season.\We got a Christmas party, and end of the year party, a New Year's party,\and in just a few more weeks there's going to be a Valentine's party.\In other words, it's going to be a hellish time of party planning.\And you say you're moving tomorrow?!\A lot happened.\So I guess you've already found your apartment?\Not yet. response:	Any likely targets?
context: We got a Christmas party, and end of the year party, a New Year's party,\and in just a few more weeks there's going to be a Valentine's party.\In other words, it's going to be a hellish time of party planning.\And you say you're moving tomorrow?!\A lot happened.\So I guess you've already found your apartment?\Not yet.\Any likely targets? response:	None.
context: and in just a few more weeks there's going to be a Valentine's party.\In other words, it's going to be a hellish time of party planning.\And you say you're moving tomorrow?!\A lot happened.\So I guess you've already found your apartment?\Not yet.\Any likely targets?\None. response:	Well, what are you going to do?
context: In other words, it's going to be a hellish time of party planning.\And you say you're moving tomorrow?!\A lot happened.\So I guess you've already found your apartment?\Not yet.\Any likely targets?\None.\Well, what are you going to do? response:	Who knows?
context: And you say you're moving tomorrow?!\A lot happened.\So I guess you've already found your apartment?\Not yet.\Any likely targets?\None.\Well, what are you going to do?\Who knows? response:	Then decide now while we're working outside!
context: A lot happened.\So I guess you've already found your apartment?\Not yet.\Any likely targets?\None.\Well, what are you going to do?\Who knows?\Then decide now while we're working outside! response:	Hey, stop.
context: So I guess you've already found your apartment?\Not yet.\Any likely targets?\None.\Well, what are you going to do?\Who knows?\Then decide now while we're working outside!\Hey, stop. response:	What do you think?
context: Not yet.\Any likely targets?\None.\Well, what are you going to do?\Who knows?\Then decide now while we're working outside!\Hey, stop.\What do you think? response:	If there are any conditions you want, let's hear it.
context: Any likely targets?\None.\Well, what are you going to do?\Who knows?\Then decide now while we're working outside!\Hey, stop.\What do you think?\If there are any conditions you want, let's hear it. response:	But I believe there's enough to suit you in here already.
context: None.\Well, what are you going to do?\Who knows?\Then decide now while we're working outside!\Hey, stop.\What do you think?\If there are any conditions you want, let's hear it.\But I believe there's enough to suit you in here already. response:	Yeah.
context: Well, what are you going to do?\Who knows?\Then decide now while we're working outside!\Hey, stop.\What do you think?\If there are any conditions you want, let's hear it.\But I believe there's enough to suit you in here already.\Yeah. response:	It's fine, isn't it?
context: Who knows?\Then decide now while we're working outside!\Hey, stop.\What do you think?\If there are any conditions you want, let's hear it.\But I believe there's enough to suit you in here already.\Yeah.\It's fine, isn't it? response:	It's close to the station and there's a convenience store right there, so shopping should be easy too.
context: Then decide now while we're working outside!\Hey, stop.\What do you think?\If there are any conditions you want, let's hear it.\But I believe there's enough to suit you in here already.\Yeah.\It's fine, isn't it?\It's close to the station and there's a convenience store right there, so shopping should be easy too. response:	This place is closer to the office than my home.
context: Hey, stop.\What do you think?\If there are any conditions you want, let's hear it.\But I believe there's enough to suit you in here already.\Yeah.\It's fine, isn't it?\It's close to the station and there's a convenience store right there, so shopping should be easy too.\This place is closer to the office than my home. response:	It's a very convenient apartment.
context: What do you think?\If there are any conditions you want, let's hear it.\But I believe there's enough to suit you in here already.\Yeah.\It's fine, isn't it?\It's close to the station and there's a convenience store right there, so shopping should be easy too.\This place is closer to the office than my home.\It's a very convenient apartment. response:	Why do we have to decide on your conditions?
context: If there are any conditions you want, let's hear it.\But I believe there's enough to suit you in here already.\Yeah.\It's fine, isn't it?\It's close to the station and there's a convenience store right there, so shopping should be easy too.\This place is closer to the office than my home.\It's a very convenient apartment.\Why do we have to decide on your conditions? response:	Can he move in tomorrow?
context: But I believe there's enough to suit you in here already.\Yeah.\It's fine, isn't it?\It's close to the station and there's a convenience store right there, so shopping should be easy too.\This place is closer to the office than my home.\It's a very convenient apartment.\Why do we have to decide on your conditions?\Can he move in tomorrow? response:	Sure. If I have the deposit and take care of some paperwork,
context: Yeah.\It's fine, isn't it?\It's close to the station and there's a convenience store right there, so shopping should be easy too.\This place is closer to the office than my home.\It's a very convenient apartment.\Why do we have to decide on your conditions?\Can he move in tomorrow?\Sure. If I have the deposit and take care of some paperwork, response:	then I'll be able to talk with the landlord.
context: It's fine, isn't it?\It's close to the station and there's a convenience store right there, so shopping should be easy too.\This place is closer to the office than my home.\It's a very convenient apartment.\Why do we have to decide on your conditions?\Can he move in tomorrow?\Sure. If I have the deposit and take care of some paperwork,\then I'll be able to talk with the landlord. response:	Paperwork as in...?
context: It's close to the station and there's a convenience store right there, so shopping should be easy too.\This place is closer to the office than my home.\It's a very convenient apartment.\Why do we have to decide on your conditions?\Can he move in tomorrow?\Sure. If I have the deposit and take care of some paperwork,\then I'll be able to talk with the landlord.\Paperwork as in...? response:	At the very least, the lease contract.
context: This place is closer to the office than my home.\It's a very convenient apartment.\Why do we have to decide on your conditions?\Can he move in tomorrow?\Sure. If I have the deposit and take care of some paperwork,\then I'll be able to talk with the landlord.\Paperwork as in...?\At the very least, the lease contract. response:	I can wait for the guarantor's seal until tomorrow though.
context: It's a very convenient apartment.\Why do we have to decide on your conditions?\Can he move in tomorrow?\Sure. If I have the deposit and take care of some paperwork,\then I'll be able to talk with the landlord.\Paperwork as in...?\At the very least, the lease contract.\I can wait for the guarantor's seal until tomorrow though. response:	And if that's the case...
context: Why do we have to decide on your conditions?\Can he move in tomorrow?\Sure. If I have the deposit and take care of some paperwork,\then I'll be able to talk with the landlord.\Paperwork as in...?\At the very least, the lease contract.\I can wait for the guarantor's seal until tomorrow though.\And if that's the case... response:	Nanoka!
context: Can he move in tomorrow?\Sure. If I have the deposit and take care of some paperwork,\then I'll be able to talk with the landlord.\Paperwork as in...?\At the very least, the lease contract.\I can wait for the guarantor's seal until tomorrow though.\And if that's the case...\Nanoka! response:	I thought you went home already.
context: Sure. If I have the deposit and take care of some paperwork,\then I'll be able to talk with the landlord.\Paperwork as in...?\At the very least, the lease contract.\I can wait for the guarantor's seal until tomorrow though.\And if that's the case...\Nanoka!\I thought you went home already. response:	And what are you gazing at by yourself?
context: then I'll be able to talk with the landlord.\Paperwork as in...?\At the very least, the lease contract.\I can wait for the guarantor's seal until tomorrow though.\And if that's the case...\Nanoka!\I thought you went home already.\And what are you gazing at by yourself? response:	I'm not gazing at anything in particular.
context: Paperwork as in...?\At the very least, the lease contract.\I can wait for the guarantor's seal until tomorrow though.\And if that's the case...\Nanoka!\I thought you went home already.\And what are you gazing at by yourself?\I'm not gazing at anything in particular. response:	That's such a stupid answer.
context: At the very least, the lease contract.\I can wait for the guarantor's seal until tomorrow though.\And if that's the case...\Nanoka!\I thought you went home already.\And what are you gazing at by yourself?\I'm not gazing at anything in particular.\That's such a stupid answer. response:	Did something happen?
context: I can wait for the guarantor's seal until tomorrow though.\And if that's the case...\Nanoka!\I thought you went home already.\And what are you gazing at by yourself?\I'm not gazing at anything in particular.\That's such a stupid answer.\Did something happen? response:	You've seemed so lifeless since this morning.
context: And if that's the case...\Nanoka!\I thought you went home already.\And what are you gazing at by yourself?\I'm not gazing at anything in particular.\That's such a stupid answer.\Did something happen?\You've seemed so lifeless since this morning. response:	I'm fine.
context: Nanoka!\I thought you went home already.\And what are you gazing at by yourself?\I'm not gazing at anything in particular.\That's such a stupid answer.\Did something happen?\You've seemed so lifeless since this morning.\I'm fine. response:	It's just that I don't really feel like going home.
context: I thought you went home already.\And what are you gazing at by yourself?\I'm not gazing at anything in particular.\That's such a stupid answer.\Did something happen?\You've seemed so lifeless since this morning.\I'm fine.\It's just that I don't really feel like going home. response:	That's not fine at all, then!
context: And what are you gazing at by yourself?\I'm not gazing at anything in particular.\That's such a stupid answer.\Did something happen?\You've seemed so lifeless since this morning.\I'm fine.\It's just that I don't really feel like going home.\That's not fine at all, then! response:	Let's play games as much as we want!
context: I'm not gazing at anything in particular.\That's such a stupid answer.\Did something happen?\You've seemed so lifeless since this morning.\I'm fine.\It's just that I don't really feel like going home.\That's not fine at all, then!\Let's play games as much as we want! response:	Let's listen to CDs as much as we want!
context: That's such a stupid answer.\Did something happen?\You've seemed so lifeless since this morning.\I'm fine.\It's just that I don't really feel like going home.\That's not fine at all, then!\Let's play games as much as we want!\Let's listen to CDs as much as we want! response:	Let's eat snacks as much as we want!
context: Did something happen?\You've seemed so lifeless since this morning.\I'm fine.\It's just that I don't really feel like going home.\That's not fine at all, then!\Let's play games as much as we want!\Let's listen to CDs as much as we want!\Let's eat snacks as much as we want! response:	And can also chit-chat as much as we want.
context: You've seemed so lifeless since this morning.\I'm fine.\It's just that I don't really feel like going home.\That's not fine at all, then!\Let's play games as much as we want!\Let's listen to CDs as much as we want!\Let's eat snacks as much as we want!\And can also chit-chat as much as we want. response:	So cheer up, okay?
context: I'm fine.\It's just that I don't really feel like going home.\That's not fine at all, then!\Let's play games as much as we want!\Let's listen to CDs as much as we want!\Let's eat snacks as much as we want!\And can also chit-chat as much as we want.\So cheer up, okay? response:	Yeah.
context: It's just that I don't really feel like going home.\That's not fine at all, then!\Let's play games as much as we want!\Let's listen to CDs as much as we want!\Let's eat snacks as much as we want!\And can also chit-chat as much as we want.\So cheer up, okay?\Yeah. response:	Hello Nanoka-chan.
context: That's not fine at all, then!\Let's play games as much as we want!\Let's listen to CDs as much as we want!\Let's eat snacks as much as we want!\And can also chit-chat as much as we want.\So cheer up, okay?\Yeah.\Hello Nanoka-chan. response:	Hello.
context: Let's play games as much as we want!\Let's listen to CDs as much as we want!\Let's eat snacks as much as we want!\And can also chit-chat as much as we want.\So cheer up, okay?\Yeah.\Hello Nanoka-chan.\Hello. response:	What's up with this room?
context: Let's listen to CDs as much as we want!\Let's eat snacks as much as we want!\And can also chit-chat as much as we want.\So cheer up, okay?\Yeah.\Hello Nanoka-chan.\Hello.\What's up with this room? response:	You should clean this place up.
context: Let's eat snacks as much as we want!\And can also chit-chat as much as we want.\So cheer up, okay?\Yeah.\Hello Nanoka-chan.\Hello.\What's up with this room?\You should clean this place up. response:	Stop being so noisy.
context: And can also chit-chat as much as we want.\So cheer up, okay?\Yeah.\Hello Nanoka-chan.\Hello.\What's up with this room?\You should clean this place up.\Stop being so noisy. response:	I know, I will, so just shut up, sis.
context: So cheer up, okay?\Yeah.\Hello Nanoka-chan.\Hello.\What's up with this room?\You should clean this place up.\Stop being so noisy.\I know, I will, so just shut up, sis. response:	You never do it when no one tells you to.
context: Yeah.\Hello Nanoka-chan.\Hello.\What's up with this room?\You should clean this place up.\Stop being so noisy.\I know, I will, so just shut up, sis.\You never do it when no one tells you to. response:	Geez, Nanoka and I have something important to talk about.
context: Hello Nanoka-chan.\Hello.\What's up with this room?\You should clean this place up.\Stop being so noisy.\I know, I will, so just shut up, sis.\You never do it when no one tells you to.\Geez, Nanoka and I have something important to talk about. response:	It's a complicated issue that you'll never get,sis.
context: Hello.\What's up with this room?\You should clean this place up.\Stop being so noisy.\I know, I will, so just shut up, sis.\You never do it when no one tells you to.\Geez, Nanoka and I have something important to talk about.\It's a complicated issue that you'll never get,sis. response:	fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.
context: What's up with this room?\You should clean this place up.\Stop being so noisy.\I know, I will, so just shut up, sis.\You never do it when no one tells you to.\Geez, Nanoka and I have something important to talk about.\It's a complicated issue that you'll never get,sis.\fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt. response:	You said you gave it to me and would never wear it again!
context: You should clean this place up.\Stop being so noisy.\I know, I will, so just shut up, sis.\You never do it when no one tells you to.\Geez, Nanoka and I have something important to talk about.\It's a complicated issue that you'll never get,sis.\fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.\You said you gave it to me and would never wear it again! response:	I changed my mind now. Hand it back.
context: Stop being so noisy.\I know, I will, so just shut up, sis.\You never do it when no one tells you to.\Geez, Nanoka and I have something important to talk about.\It's a complicated issue that you'll never get,sis.\fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.\You said you gave it to me and would never wear it again!\I changed my mind now. Hand it back. response:	That's so cheap!
context: I know, I will, so just shut up, sis.\You never do it when no one tells you to.\Geez, Nanoka and I have something important to talk about.\It's a complicated issue that you'll never get,sis.\fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.\You said you gave it to me and would never wear it again!\I changed my mind now. Hand it back.\That's so cheap! response:	Monster! Devil!
context: You never do it when no one tells you to.\Geez, Nanoka and I have something important to talk about.\It's a complicated issue that you'll never get,sis.\fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.\You said you gave it to me and would never wear it again!\I changed my mind now. Hand it back.\That's so cheap!\Monster! Devil! response:	Are you sure it's okay?
context: Geez, Nanoka and I have something important to talk about.\It's a complicated issue that you'll never get,sis.\fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.\You said you gave it to me and would never wear it again!\I changed my mind now. Hand it back.\That's so cheap!\Monster! Devil!\Are you sure it's okay? response:	Huh? You're moving tomorrow, right?
context: It's a complicated issue that you'll never get,sis.\fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.\You said you gave it to me and would never wear it again!\I changed my mind now. Hand it back.\That's so cheap!\Monster! Devil!\Are you sure it's okay?\Huh? You're moving tomorrow, right? response:	You'll be busy with this and that, right?
context: fukuzatsu = complicated, fuku = clothing Speaking of clothing, let me borrow that blue shirt.\You said you gave it to me and would never wear it again!\I changed my mind now. Hand it back.\That's so cheap!\Monster! Devil!\Are you sure it's okay?\Huh? You're moving tomorrow, right?\You'll be busy with this and that, right? response:	I'm sorry.
context: You said you gave it to me and would never wear it again!\I changed my mind now. Hand it back.\That's so cheap!\Monster! Devil!\Are you sure it's okay?\Huh? You're moving tomorrow, right?\You'll be busy with this and that, right?\I'm sorry. response:	I'll make sure I pay you back.
context: I changed my mind now. Hand it back.\That's so cheap!\Monster! Devil!\Are you sure it's okay?\Huh? You're moving tomorrow, right?\You'll be busy with this and that, right?\I'm sorry.\I'll make sure I pay you back. response:	Well, what happened?
context: That's so cheap!\Monster! Devil!\Are you sure it's okay?\Huh? You're moving tomorrow, right?\You'll be busy with this and that, right?\I'm sorry.\I'll make sure I pay you back.\Well, what happened? response:	It's nothing.
context: Monster! Devil!\Are you sure it's okay?\Huh? You're moving tomorrow, right?\You'll be busy with this and that, right?\I'm sorry.\I'll make sure I pay you back.\Well, what happened?\It's nothing. response:	You wouldn't be running away in the middle of the night if it really was nothing.
context: Are you sure it's okay?\Huh? You're moving tomorrow, right?\You'll be busy with this and that, right?\I'm sorry.\I'll make sure I pay you back.\Well, what happened?\It's nothing.\You wouldn't be running away in the middle of the night if it really was nothing. response:	Don't say such cynical things.
context: Huh? You're moving tomorrow, right?\You'll be busy with this and that, right?\I'm sorry.\I'll make sure I pay you back.\Well, what happened?\It's nothing.\You wouldn't be running away in the middle of the night if it really was nothing.\Don't say such cynical things. response:	But what you're doing is pretty much a night flight.
context: You'll be busy with this and that, right?\I'm sorry.\I'll make sure I pay you back.\Well, what happened?\It's nothing.\You wouldn't be running away in the middle of the night if it really was nothing.\Don't say such cynical things.\But what you're doing is pretty much a night flight. response:	I guess so.
context: I'm sorry.\I'll make sure I pay you back.\Well, what happened?\It's nothing.\You wouldn't be running away in the middle of the night if it really was nothing.\Don't say such cynical things.\But what you're doing is pretty much a night flight.\I guess so. response:	Thanks for your work.
context: I'll make sure I pay you back.\Well, what happened?\It's nothing.\You wouldn't be running away in the middle of the night if it really was nothing.\Don't say such cynical things.\But what you're doing is pretty much a night flight.\I guess so.\Thanks for your work. response:	Thanks for your work.
context: Well, what happened?\It's nothing.\You wouldn't be running away in the middle of the night if it really was nothing.\Don't say such cynical things.\But what you're doing is pretty much a night flight.\I guess so.\Thanks for your work.\Thanks for your work. response:	What's up with him...?
context: It's nothing.\You wouldn't be running away in the middle of the night if it really was nothing.\Don't say such cynical things.\But what you're doing is pretty much a night flight.\I guess so.\Thanks for your work.\Thanks for your work.\What's up with him...? response:	One more time!
