context: Starting tomorrow, I'm going to China for high-altitude training. response:	I wanted to encourage Kiyose before leaving Japan,
context: People have always dealt with that criticism.\There are two reasons not to let it bother you.\First, there's the logic that recruiting an exchange student is unfair.\What about the Olympics then?\It's only natural that there's some difference in individual physical ability.\Moreover, sports are fair and impartial.\Those who question its fairness don't understand\what it means to compete in the same sport on the same stage. response:	The other reason is that they think winning is everything.
context: There are two reasons not to let it bother you.\First, there's the logic that recruiting an exchange student is unfair.\What about the Olympics then?\It's only natural that there's some difference in individual physical ability.\Moreover, sports are fair and impartial.\Those who question its fairness don't understand\what it means to compete in the same sport on the same stage.\The other reason is that they think winning is everything. response:	Mens Relay Spectacular Achievement”
context: First, there's the logic that recruiting an exchange student is unfair.\What about the Olympics then?\It's only natural that there's some difference in individual physical ability.\Moreover, sports are fair and impartial.\Those who question its fairness don't understand\what it means to compete in the same sport on the same stage.\The other reason is that they think winning is everything.\Mens Relay Spectacular Achievement” response:	Is the only thing that matters that a Japanese person places first?
context: What about the Olympics then?\It's only natural that there's some difference in individual physical ability.\Moreover, sports are fair and impartial.\Those who question its fairness don't understand\what it means to compete in the same sport on the same stage.\The other reason is that they think winning is everything.\Mens Relay Spectacular Achievement”\Is the only thing that matters that a Japanese person places first? response:	New Japanese Record
context: It's only natural that there's some difference in individual physical ability.\Moreover, sports are fair and impartial.\Those who question its fairness don't understand\what it means to compete in the same sport on the same stage.\The other reason is that they think winning is everything.\Mens Relay Spectacular Achievement”\Is the only thing that matters that a Japanese person places first?\New Japanese Record response:	Spectacular Achieve in Track and Field
context: Moreover, sports are fair and impartial.\Those who question its fairness don't understand\what it means to compete in the same sport on the same stage.\The other reason is that they think winning is everything.\Mens Relay Spectacular Achievement”\Is the only thing that matters that a Japanese person places first?\New Japanese Record\Spectacular Achieve in Track and Field response:	No. That's not the true nature of competition.
context: Those who question its fairness don't understand\what it means to compete in the same sport on the same stage.\The other reason is that they think winning is everything.\Mens Relay Spectacular Achievement”\Is the only thing that matters that a Japanese person places first?\New Japanese Record\Spectacular Achieve in Track and Field\No. That's not the true nature of competition. response:	Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono
context: what it means to compete in the same sport on the same stage.\The other reason is that they think winning is everything.\Mens Relay Spectacular Achievement”\Is the only thing that matters that a Japanese person places first?\New Japanese Record\Spectacular Achieve in Track and Field\No. That's not the true nature of competition.\Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono response:	Even if I finish first,
context: The other reason is that they think winning is everything.\Mens Relay Spectacular Achievement”\Is the only thing that matters that a Japanese person places first?\New Japanese Record\Spectacular Achieve in Track and Field\No. That's not the true nature of competition.\Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono\Even if I finish first, response:	if I feel like I've lost to myself, then it's a loss.
context: Mens Relay Spectacular Achievement”\Is the only thing that matters that a Japanese person places first?\New Japanese Record\Spectacular Achieve in Track and Field\No. That's not the true nature of competition.\Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono\Even if I finish first,\if I feel like I've lost to myself, then it's a loss. response:	In this world where times and standings change at dizzying speeds,
context: Is the only thing that matters that a Japanese person places first?\New Japanese Record\Spectacular Achieve in Track and Field\No. That's not the true nature of competition.\Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono\Even if I finish first,\if I feel like I've lost to myself, then it's a loss.\In this world where times and standings change at dizzying speeds, response:	what determines who's the best?
context: New Japanese Record\Spectacular Achieve in Track and Field\No. That's not the true nature of competition.\Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono\Even if I finish first,\if I feel like I've lost to myself, then it's a loss.\In this world where times and standings change at dizzying speeds,\what determines who's the best? response:	Don't we keep running because there are ideals and goals we value more than that?
context: Spectacular Achieve in Track and Field\No. That's not the true nature of competition.\Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono\Even if I finish first,\if I feel like I've lost to myself, then it's a loss.\In this world where times and standings change at dizzying speeds,\what determines who's the best?\Don't we keep running because there are ideals and goals we value more than that? response:	You've gathered good members. It's his kind of team.
context: No. That's not the true nature of competition.\Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono\Even if I finish first,\if I feel like I've lost to myself, then it's a loss.\In this world where times and standings change at dizzying speeds,\what determines who's the best?\Don't we keep running because there are ideals and goals we value more than that?\You've gathered good members. It's his kind of team. response:	Are you and Haiji close?
context: Mens 10000m Finals 1 Fujioka Kazuma Rikudo 2 Yamamoto Hayato Kofu Academy 3 Kobayashi Ryutaro Boso 4 Suzuki Riku Manaka 5 Nakagawa Kenta Jonan Bunka 6 Ito Kaito Dochido 7 Takagi Kazuki North Kanto 8 Uemura Akira Akebono\Even if I finish first,\if I feel like I've lost to myself, then it's a loss.\In this world where times and standings change at dizzying speeds,\what determines who's the best?\Don't we keep running because there are ideals and goals we value more than that?\You've gathered good members. It's his kind of team.\Are you and Haiji close? response:	We were teammates in high school.
context: Even if I finish first,\if I feel like I've lost to myself, then it's a loss.\In this world where times and standings change at dizzying speeds,\what determines who's the best?\Don't we keep running because there are ideals and goals we value more than that?\You've gathered good members. It's his kind of team.\Are you and Haiji close?\We were teammates in high school. response:	He was supposed to be wearing a Rikudo uniform, too.
context: if I feel like I've lost to myself, then it's a loss.\In this world where times and standings change at dizzying speeds,\what determines who's the best?\Don't we keep running because there are ideals and goals we value more than that?\You've gathered good members. It's his kind of team.\Are you and Haiji close?\We were teammates in high school.\He was supposed to be wearing a Rikudo uniform, too. response:	What?
context: In this world where times and standings change at dizzying speeds,\what determines who's the best?\Don't we keep running because there are ideals and goals we value more than that?\You've gathered good members. It's his kind of team.\Are you and Haiji close?\We were teammates in high school.\He was supposed to be wearing a Rikudo uniform, too.\What? response:	Run with the Wind
context: what determines who's the best?\Don't we keep running because there are ideals and goals we value more than that?\You've gathered good members. It's his kind of team.\Are you and Haiji close?\We were teammates in high school.\He was supposed to be wearing a Rikudo uniform, too.\What?\Run with the Wind response:	4 Years Earlier
context: Don't we keep running because there are ideals and goals we value more than that?\You've gathered good members. It's his kind of team.\Are you and Haiji close?\We were teammates in high school.\He was supposed to be wearing a Rikudo uniform, too.\What?\Run with the Wind\4 Years Earlier response:	Congratulations Track and Field Team
context: You've gathered good members. It's his kind of team.\Are you and Haiji close?\We were teammates in high school.\He was supposed to be wearing a Rikudo uniform, too.\What?\Run with the Wind\4 Years Earlier\Congratulations Track and Field Team response:	One, two, three, four.
context: Are you and Haiji close?\We were teammates in high school.\He was supposed to be wearing a Rikudo uniform, too.\What?\Run with the Wind\4 Years Earlier\Congratulations Track and Field Team\One, two, three, four. response:	Five, six, seven, eight.
context: We were teammates in high school.\He was supposed to be wearing a Rikudo uniform, too.\What?\Run with the Wind\4 Years Earlier\Congratulations Track and Field Team\One, two, three, four.\Five, six, seven, eight. response:	Two, two, three, four.
context: He was supposed to be wearing a Rikudo uniform, too.\What?\Run with the Wind\4 Years Earlier\Congratulations Track and Field Team\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four. response:	Five, six, seven, eight.
context: What?\Run with the Wind\4 Years Earlier\Congratulations Track and Field Team\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight. response:	Three, two, three, four.
context: Run with the Wind\4 Years Earlier\Congratulations Track and Field Team\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Three, two, three, four. response:	Five, six, seven, eight.
context: 4 Years Earlier\Congratulations Track and Field Team\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Three, two, three, four.\Five, six, seven, eight. response:	Four, two, three, four
context: Congratulations Track and Field Team\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Three, two, three, four.\Five, six, seven, eight.\Four, two, three, four response:	Those fireflies you hate so much will be back soon.
context: One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Three, two, three, four.\Five, six, seven, eight.\Four, two, three, four\Those fireflies you hate so much will be back soon. response:	I don't hate them.
context: Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Three, two, three, four.\Five, six, seven, eight.\Four, two, three, four\Those fireflies you hate so much will be back soon.\I don't hate them. response:	There are just too many around here.
context: Two, two, three, four.\Five, six, seven, eight.\Three, two, three, four.\Five, six, seven, eight.\Four, two, three, four\Those fireflies you hate so much will be back soon.\I don't hate them.\There are just too many around here. response:	This is our last year. Savor it.
context: Five, six, seven, eight.\Three, two, three, four.\Five, six, seven, eight.\Four, two, three, four\Those fireflies you hate so much will be back soon.\I don't hate them.\There are just too many around here.\This is our last year. Savor it. response:	Let's go together.
context: Three, two, three, four.\Five, six, seven, eight.\Four, two, three, four\Those fireflies you hate so much will be back soon.\I don't hate them.\There are just too many around here.\This is our last year. Savor it.\Let's go together. response:	To Rikudo. Then we can
context: Five, six, seven, eight.\Four, two, three, four\Those fireflies you hate so much will be back soon.\I don't hate them.\There are just too many around here.\This is our last year. Savor it.\Let's go together.\To Rikudo. Then we can response:	It's already been decided.
context: Four, two, three, four\Those fireflies you hate so much will be back soon.\I don't hate them.\There are just too many around here.\This is our last year. Savor it.\Let's go together.\To Rikudo. Then we can\It's already been decided. response:	But you were recruited.
context: Those fireflies you hate so much will be back soon.\I don't hate them.\There are just too many around here.\This is our last year. Savor it.\Let's go together.\To Rikudo. Then we can\It's already been decided.\But you were recruited. response:	The care they offer their athletes is top-class.
context: I don't hate them.\There are just too many around here.\This is our last year. Savor it.\Let's go together.\To Rikudo. Then we can\It's already been decided.\But you were recruited.\The care they offer their athletes is top-class. response:	I've already spent two years with this leg.
context: There are just too many around here.\This is our last year. Savor it.\Let's go together.\To Rikudo. Then we can\It's already been decided.\But you were recruited.\The care they offer their athletes is top-class.\I've already spent two years with this leg. response:	I know my body better than anyone else.
context: This is our last year. Savor it.\Let's go together.\To Rikudo. Then we can\It's already been decided.\But you were recruited.\The care they offer their athletes is top-class.\I've already spent two years with this leg.\I know my body better than anyone else. response:	What did the coach say?
context: Let's go together.\To Rikudo. Then we can\It's already been decided.\But you were recruited.\The care they offer their athletes is top-class.\I've already spent two years with this leg.\I know my body better than anyone else.\What did the coach say? response:	Be patient.” That's all.
context: To Rikudo. Then we can\It's already been decided.\But you were recruited.\The care they offer their athletes is top-class.\I've already spent two years with this leg.\I know my body better than anyone else.\What did the coach say?\Be patient.” That's all. response:	That was a lot of talking for him.
context: It's already been decided.\But you were recruited.\The care they offer their athletes is top-class.\I've already spent two years with this leg.\I know my body better than anyone else.\What did the coach say?\Be patient.” That's all.\That was a lot of talking for him. response:	I'm happy about this year, though.
context: But you were recruited.\The care they offer their athletes is top-class.\I've already spent two years with this leg.\I know my body better than anyone else.\What did the coach say?\Be patient.” That's all.\That was a lot of talking for him.\I'm happy about this year, though. response:	Last year, I didn't get to run with you once because of PT.
context: The care they offer their athletes is top-class.\I've already spent two years with this leg.\I know my body better than anyone else.\What did the coach say?\Be patient.” That's all.\That was a lot of talking for him.\I'm happy about this year, though.\Last year, I didn't get to run with you once because of PT. response:	My athletic career may be over, but we
context: I've already spent two years with this leg.\I know my body better than anyone else.\What did the coach say?\Be patient.” That's all.\That was a lot of talking for him.\I'm happy about this year, though.\Last year, I didn't get to run with you once because of PT.\My athletic career may be over, but we response:	It's not over!
context: I know my body better than anyone else.\What did the coach say?\Be patient.” That's all.\That was a lot of talking for him.\I'm happy about this year, though.\Last year, I didn't get to run with you once because of PT.\My athletic career may be over, but we\It's not over! response:	Believe in yourself.
context: What did the coach say?\Be patient.” That's all.\That was a lot of talking for him.\I'm happy about this year, though.\Last year, I didn't get to run with you once because of PT.\My athletic career may be over, but we\It's not over!\Believe in yourself. response:	I'm not that strong.
context: Be patient.” That's all.\That was a lot of talking for him.\I'm happy about this year, though.\Last year, I didn't get to run with you once because of PT.\My athletic career may be over, but we\It's not over!\Believe in yourself.\I'm not that strong. response:	He should be telling you this himself.
context: That was a lot of talking for him.\I'm happy about this year, though.\Last year, I didn't get to run with you once because of PT.\My athletic career may be over, but we\It's not over!\Believe in yourself.\I'm not that strong.\He should be telling you this himself. response:	If he hasn't told you yet, then he probably doesn't think it's the right time.
context: I'm happy about this year, though.\Last year, I didn't get to run with you once because of PT.\My athletic career may be over, but we\It's not over!\Believe in yourself.\I'm not that strong.\He should be telling you this himself.\If he hasn't told you yet, then he probably doesn't think it's the right time. response:	I shouldn't have said anything.
context: Last year, I didn't get to run with you once because of PT.\My athletic career may be over, but we\It's not over!\Believe in yourself.\I'm not that strong.\He should be telling you this himself.\If he hasn't told you yet, then he probably doesn't think it's the right time.\I shouldn't have said anything. response:	And Then, Morning
context: My athletic career may be over, but we\It's not over!\Believe in yourself.\I'm not that strong.\He should be telling you this himself.\If he hasn't told you yet, then he probably doesn't think it's the right time.\I shouldn't have said anything.\And Then, Morning response:	Haiji isn't back yet.
context: It's not over!\Believe in yourself.\I'm not that strong.\He should be telling you this himself.\If he hasn't told you yet, then he probably doesn't think it's the right time.\I shouldn't have said anything.\And Then, Morning\Haiji isn't back yet. response:	He's not answering his phone either.
context: Believe in yourself.\I'm not that strong.\He should be telling you this himself.\If he hasn't told you yet, then he probably doesn't think it's the right time.\I shouldn't have said anything.\And Then, Morning\Haiji isn't back yet.\He's not answering his phone either. response:	I see.
context: I'm not that strong.\He should be telling you this himself.\If he hasn't told you yet, then he probably doesn't think it's the right time.\I shouldn't have said anything.\And Then, Morning\Haiji isn't back yet.\He's not answering his phone either.\I see. response:	I'm sorry.
context: He should be telling you this himself.\If he hasn't told you yet, then he probably doesn't think it's the right time.\I shouldn't have said anything.\And Then, Morning\Haiji isn't back yet.\He's not answering his phone either.\I see.\I'm sorry. response:	Then, the next time I'll see him will be in the new year.
context: If he hasn't told you yet, then he probably doesn't think it's the right time.\I shouldn't have said anything.\And Then, Morning\Haiji isn't back yet.\He's not answering his phone either.\I see.\I'm sorry.\Then, the next time I'll see him will be in the new year. response:	Good luck to both of us.
context: I shouldn't have said anything.\And Then, Morning\Haiji isn't back yet.\He's not answering his phone either.\I see.\I'm sorry.\Then, the next time I'll see him will be in the new year.\Good luck to both of us. response:	Tell him that.
context: And Then, Morning\Haiji isn't back yet.\He's not answering his phone either.\I see.\I'm sorry.\Then, the next time I'll see him will be in the new year.\Good luck to both of us.\Tell him that. response:	I will.
context: Haiji isn't back yet.\He's not answering his phone either.\I see.\I'm sorry.\Then, the next time I'll see him will be in the new year.\Good luck to both of us.\Tell him that.\I will. response:	Oh, this is for you guys.
context: He's not answering his phone either.\I see.\I'm sorry.\Then, the next time I'll see him will be in the new year.\Good luck to both of us.\Tell him that.\I will.\Oh, this is for you guys. response:	Red bean paste. Better than cream, right?
context: I see.\I'm sorry.\Then, the next time I'll see him will be in the new year.\Good luck to both of us.\Tell him that.\I will.\Oh, this is for you guys.\Red bean paste. Better than cream, right? response:	Oh, yeah. Thank you.
context: I'm sorry.\Then, the next time I'll see him will be in the new year.\Good luck to both of us.\Tell him that.\I will.\Oh, this is for you guys.\Red bean paste. Better than cream, right?\Oh, yeah. Thank you. response:	I'll be waiting at Hakone!
context: Then, the next time I'll see him will be in the new year.\Good luck to both of us.\Tell him that.\I will.\Oh, this is for you guys.\Red bean paste. Better than cream, right?\Oh, yeah. Thank you.\I'll be waiting at Hakone! response:	I wish I could've seen him.
context: Good luck to both of us.\Tell him that.\I will.\Oh, this is for you guys.\Red bean paste. Better than cream, right?\Oh, yeah. Thank you.\I'll be waiting at Hakone!\I wish I could've seen him. response:	What did you talk about with Fujioka?
context: Tell him that.\I will.\Oh, this is for you guys.\Red bean paste. Better than cream, right?\Oh, yeah. Thank you.\I'll be waiting at Hakone!\I wish I could've seen him.\What did you talk about with Fujioka? response:	What did we...
context: I will.\Oh, this is for you guys.\Red bean paste. Better than cream, right?\Oh, yeah. Thank you.\I'll be waiting at Hakone!\I wish I could've seen him.\What did you talk about with Fujioka?\What did we... response:	I was just wondering if you got along.
context: Oh, this is for you guys.\Red bean paste. Better than cream, right?\Oh, yeah. Thank you.\I'll be waiting at Hakone!\I wish I could've seen him.\What did you talk about with Fujioka?\What did we...\I was just wondering if you got along. response:	More or less. It went fine.
context: Red bean paste. Better than cream, right?\Oh, yeah. Thank you.\I'll be waiting at Hakone!\I wish I could've seen him.\What did you talk about with Fujioka?\What did we...\I was just wondering if you got along.\More or less. It went fine. response:	What does that mean?
context: Oh, yeah. Thank you.\I'll be waiting at Hakone!\I wish I could've seen him.\What did you talk about with Fujioka?\What did we...\I was just wondering if you got along.\More or less. It went fine.\What does that mean? response:	Haiji.
context: I'll be waiting at Hakone!\I wish I could've seen him.\What did you talk about with Fujioka?\What did we...\I was just wondering if you got along.\More or less. It went fine.\What does that mean?\Haiji. response:	I think I'm finally starting to understand.
context: I wish I could've seen him.\What did you talk about with Fujioka?\What did we...\I was just wondering if you got along.\More or less. It went fine.\What does that mean?\Haiji.\I think I'm finally starting to understand. response:	I mean, I don't understand yet.
context: What did you talk about with Fujioka?\What did we...\I was just wondering if you got along.\More or less. It went fine.\What does that mean?\Haiji.\I think I'm finally starting to understand.\I mean, I don't understand yet. response:	What are you talking about?
context: What did we...\I was just wondering if you got along.\More or less. It went fine.\What does that mean?\Haiji.\I think I'm finally starting to understand.\I mean, I don't understand yet.\What are you talking about? response:	What it means to be strong.
context: I was just wondering if you got along.\More or less. It went fine.\What does that mean?\Haiji.\I think I'm finally starting to understand.\I mean, I don't understand yet.\What are you talking about?\What it means to be strong. response:	You told me about how Fujioka is strong.
context: More or less. It went fine.\What does that mean?\Haiji.\I think I'm finally starting to understand.\I mean, I don't understand yet.\What are you talking about?\What it means to be strong.\You told me about how Fujioka is strong. response:	I understand now what you meant.
context: What does that mean?\Haiji.\I think I'm finally starting to understand.\I mean, I don't understand yet.\What are you talking about?\What it means to be strong.\You told me about how Fujioka is strong.\I understand now what you meant. response:	He's been pursuing a much higher level of running than I've been.
context: Haiji.\I think I'm finally starting to understand.\I mean, I don't understand yet.\What are you talking about?\What it means to be strong.\You told me about how Fujioka is strong.\I understand now what you meant.\He's been pursuing a much higher level of running than I've been. response:	It's hard to explain, but
context: I think I'm finally starting to understand.\I mean, I don't understand yet.\What are you talking about?\What it means to be strong.\You told me about how Fujioka is strong.\I understand now what you meant.\He's been pursuing a much higher level of running than I've been.\It's hard to explain, but response:	You can, too.
context: I mean, I don't understand yet.\What are you talking about?\What it means to be strong.\You told me about how Fujioka is strong.\I understand now what you meant.\He's been pursuing a much higher level of running than I've been.\It's hard to explain, but\You can, too. response:	Become strong, Kakeru.
context: What are you talking about?\What it means to be strong.\You told me about how Fujioka is strong.\I understand now what you meant.\He's been pursuing a much higher level of running than I've been.\It's hard to explain, but\You can, too.\Become strong, Kakeru. response:	I will.
context: What it means to be strong.\You told me about how Fujioka is strong.\I understand now what you meant.\He's been pursuing a much higher level of running than I've been.\It's hard to explain, but\You can, too.\Become strong, Kakeru.\I will. response:	By the way, I brought Fujioka here once,
context: You told me about how Fujioka is strong.\I understand now what you meant.\He's been pursuing a much higher level of running than I've been.\It's hard to explain, but\You can, too.\Become strong, Kakeru.\I will.\By the way, I brought Fujioka here once, response:	but he didn't last ten seconds.
context: I understand now what you meant.\He's been pursuing a much higher level of running than I've been.\It's hard to explain, but\You can, too.\Become strong, Kakeru.\I will.\By the way, I brought Fujioka here once,\but he didn't last ten seconds. response:	Tsuru-no-yu
context: He's been pursuing a much higher level of running than I've been.\It's hard to explain, but\You can, too.\Become strong, Kakeru.\I will.\By the way, I brought Fujioka here once,\but he didn't last ten seconds.\Tsuru-no-yu response:	In that regard, I'm stronger than him.
context: It's hard to explain, but\You can, too.\Become strong, Kakeru.\I will.\By the way, I brought Fujioka here once,\but he didn't last ten seconds.\Tsuru-no-yu\In that regard, I'm stronger than him. response:	You two sure are close.
context: You can, too.\Become strong, Kakeru.\I will.\By the way, I brought Fujioka here once,\but he didn't last ten seconds.\Tsuru-no-yu\In that regard, I'm stronger than him.\You two sure are close. response:	Race Completion Certificates Issued Here Saitama Ageo Athletic Field
context: Become strong, Kakeru.\I will.\By the way, I brought Fujioka here once,\but he didn't last ten seconds.\Tsuru-no-yu\In that regard, I'm stronger than him.\You two sure are close.\Race Completion Certificates Issued Here Saitama Ageo Athletic Field response:	The Ageo City Marathon is about as long as Hakone's sections.
context: I will.\By the way, I brought Fujioka here once,\but he didn't last ten seconds.\Tsuru-no-yu\In that regard, I'm stronger than him.\You two sure are close.\Race Completion Certificates Issued Here Saitama Ageo Athletic Field\The Ageo City Marathon is about as long as Hakone's sections. response:	It's the perfect dry run.
context: By the way, I brought Fujioka here once,\but he didn't last ten seconds.\Tsuru-no-yu\In that regard, I'm stronger than him.\You two sure are close.\Race Completion Certificates Issued Here Saitama Ageo Athletic Field\The Ageo City Marathon is about as long as Hakone's sections.\It's the perfect dry run. response:	Make sure you experience what it's like to run on city streets
context: but he didn't last ten seconds.\Tsuru-no-yu\In that regard, I'm stronger than him.\You two sure are close.\Race Completion Certificates Issued Here Saitama Ageo Athletic Field\The Ageo City Marathon is about as long as Hakone's sections.\It's the perfect dry run.\Make sure you experience what it's like to run on city streets response:	and the tension of a race.
context: Tsuru-no-yu\In that regard, I'm stronger than him.\You two sure are close.\Race Completion Certificates Issued Here Saitama Ageo Athletic Field\The Ageo City Marathon is about as long as Hakone's sections.\It's the perfect dry run.\Make sure you experience what it's like to run on city streets\and the tension of a race. response:	Anyway, I won't say anything else.
context: In that regard, I'm stronger than him.\You two sure are close.\Race Completion Certificates Issued Here Saitama Ageo Athletic Field\The Ageo City Marathon is about as long as Hakone's sections.\It's the perfect dry run.\Make sure you experience what it's like to run on city streets\and the tension of a race.\Anyway, I won't say anything else. response:	Go enjoy yourselves.
