context: The moon's pretty. response:	Is that, like...
context: I still can't hear it.\You can't hear the fragments of the future anymore?\But why?\Is it because you met Touko?\Maybe you don't need it anymore.\Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.\Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2\Blacks 1, Whites 2, huh? response:	Issen Ichibyou Monogatari
context: You can't hear the fragments of the future anymore?\But why?\Is it because you met Touko?\Maybe you don't need it anymore.\Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.\Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2\Blacks 1, Whites 2, huh?\Issen Ichibyou Monogatari response:	Hey.
context: But why?\Is it because you met Touko?\Maybe you don't need it anymore.\Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.\Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2\Blacks 1, Whites 2, huh?\Issen Ichibyou Monogatari\Hey. response:	Your order?
context: Is it because you met Touko?\Maybe you don't need it anymore.\Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.\Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2\Blacks 1, Whites 2, huh?\Issen Ichibyou Monogatari\Hey.\Your order? response:	Oolong tea.
context: Maybe you don't need it anymore.\Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.\Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2\Blacks 1, Whites 2, huh?\Issen Ichibyou Monogatari\Hey.\Your order?\Oolong tea. response:	We don't have any.
context: Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.\Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2\Blacks 1, Whites 2, huh?\Issen Ichibyou Monogatari\Hey.\Your order?\Oolong tea.\We don't have any. response:	Here's your blend.
context: Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2\Blacks 1, Whites 2, huh?\Issen Ichibyou Monogatari\Hey.\Your order?\Oolong tea.\We don't have any.\Here's your blend. response:	Hot coffee in mid-summer. You're totally a grown-up.
context: Blacks 1, Whites 2, huh?\Issen Ichibyou Monogatari\Hey.\Your order?\Oolong tea.\We don't have any.\Here's your blend.\Hot coffee in mid-summer. You're totally a grown-up. response:	Her name was
context: Issen Ichibyou Monogatari\Hey.\Your order?\Oolong tea.\We don't have any.\Here's your blend.\Hot coffee in mid-summer. You're totally a grown-up.\Her name was response:	Sachi Nagamiya, right?
context: Hey.\Your order?\Oolong tea.\We don't have any.\Here's your blend.\Hot coffee in mid-summer. You're totally a grown-up.\Her name was\Sachi Nagamiya, right? response:	If you know where she lives, I want you to tell me.
context: Your order?\Oolong tea.\We don't have any.\Here's your blend.\Hot coffee in mid-summer. You're totally a grown-up.\Her name was\Sachi Nagamiya, right?\If you know where she lives, I want you to tell me. response:	Uh, I can't tell you for nothing.
context: Oolong tea.\We don't have any.\Here's your blend.\Hot coffee in mid-summer. You're totally a grown-up.\Her name was\Sachi Nagamiya, right?\If you know where she lives, I want you to tell me.\Uh, I can't tell you for nothing. response:	Figures. What do you want to know?
context: We don't have any.\Here's your blend.\Hot coffee in mid-summer. You're totally a grown-up.\Her name was\Sachi Nagamiya, right?\If you know where she lives, I want you to tell me.\Uh, I can't tell you for nothing.\Figures. What do you want to know? response:	Do you like Touko-san?
context: Here's your blend.\Hot coffee in mid-summer. You're totally a grown-up.\Her name was\Sachi Nagamiya, right?\If you know where she lives, I want you to tell me.\Uh, I can't tell you for nothing.\Figures. What do you want to know?\Do you like Touko-san? response:	You better be treating her well.
context: Hot coffee in mid-summer. You're totally a grown-up.\Her name was\Sachi Nagamiya, right?\If you know where she lives, I want you to tell me.\Uh, I can't tell you for nothing.\Figures. What do you want to know?\Do you like Touko-san?\You better be treating her well. response:	Touko-san's really important to us.
context: Her name was\Sachi Nagamiya, right?\If you know where she lives, I want you to tell me.\Uh, I can't tell you for nothing.\Figures. What do you want to know?\Do you like Touko-san?\You better be treating her well.\Touko-san's really important to us. response:	I'll tell you where Sacchan lives.
context: Sachi Nagamiya, right?\If you know where she lives, I want you to tell me.\Uh, I can't tell you for nothing.\Figures. What do you want to know?\Do you like Touko-san?\You better be treating her well.\Touko-san's really important to us.\I'll tell you where Sacchan lives. response:	I haven't answered anything you wanted to ask.
context: If you know where she lives, I want you to tell me.\Uh, I can't tell you for nothing.\Figures. What do you want to know?\Do you like Touko-san?\You better be treating her well.\Touko-san's really important to us.\I'll tell you where Sacchan lives.\I haven't answered anything you wanted to ask. response:	I can't really find the words,
context: Uh, I can't tell you for nothing.\Figures. What do you want to know?\Do you like Touko-san?\You better be treating her well.\Touko-san's really important to us.\I'll tell you where Sacchan lives.\I haven't answered anything you wanted to ask.\I can't really find the words, response:	but you don't have to answer me.
context: Figures. What do you want to know?\Do you like Touko-san?\You better be treating her well.\Touko-san's really important to us.\I'll tell you where Sacchan lives.\I haven't answered anything you wanted to ask.\I can't really find the words,\but you don't have to answer me. response:	Clear skies today again. The sky is high.
context: Do you like Touko-san?\You better be treating her well.\Touko-san's really important to us.\I'll tell you where Sacchan lives.\I haven't answered anything you wanted to ask.\I can't really find the words,\but you don't have to answer me.\Clear skies today again. The sky is high. response:	Hello.
context: You better be treating her well.\Touko-san's really important to us.\I'll tell you where Sacchan lives.\I haven't answered anything you wanted to ask.\I can't really find the words,\but you don't have to answer me.\Clear skies today again. The sky is high.\Hello. response:	I heard from Hiro Shirasaki.
context: Touko-san's really important to us.\I'll tell you where Sacchan lives.\I haven't answered anything you wanted to ask.\I can't really find the words,\but you don't have to answer me.\Clear skies today again. The sky is high.\Hello.\I heard from Hiro Shirasaki. response:	Oh.
context: I'll tell you where Sacchan lives.\I haven't answered anything you wanted to ask.\I can't really find the words,\but you don't have to answer me.\Clear skies today again. The sky is high.\Hello.\I heard from Hiro Shirasaki.\Oh. response:	Why did the 5:30 guy become a girl?
context: I haven't answered anything you wanted to ask.\I can't really find the words,\but you don't have to answer me.\Clear skies today again. The sky is high.\Hello.\I heard from Hiro Shirasaki.\Oh.\Why did the 5:30 guy become a girl? response:	Boring.
context: I can't really find the words,\but you don't have to answer me.\Clear skies today again. The sky is high.\Hello.\I heard from Hiro Shirasaki.\Oh.\Why did the 5:30 guy become a girl?\Boring. response:	You know something about this, don't you?
context: but you don't have to answer me.\Clear skies today again. The sky is high.\Hello.\I heard from Hiro Shirasaki.\Oh.\Why did the 5:30 guy become a girl?\Boring.\You know something about this, don't you? response:	Hey, tell us.
context: Clear skies today again. The sky is high.\Hello.\I heard from Hiro Shirasaki.\Oh.\Why did the 5:30 guy become a girl?\Boring.\You know something about this, don't you?\Hey, tell us. response:	That's my 5:30 girl.
context: Hello.\I heard from Hiro Shirasaki.\Oh.\Why did the 5:30 guy become a girl?\Boring.\You know something about this, don't you?\Hey, tell us.\That's my 5:30 girl. response:	Can you tell me about the shiny things?
context: I heard from Hiro Shirasaki.\Oh.\Why did the 5:30 guy become a girl?\Boring.\You know something about this, don't you?\Hey, tell us.\That's my 5:30 girl.\Can you tell me about the shiny things? response:	Yanagi-chan heard the other day.
context: Oh.\Why did the 5:30 guy become a girl?\Boring.\You know something about this, don't you?\Hey, tell us.\That's my 5:30 girl.\Can you tell me about the shiny things?\Yanagi-chan heard the other day. response:	I see.
context: Why did the 5:30 guy become a girl?\Boring.\You know something about this, don't you?\Hey, tell us.\That's my 5:30 girl.\Can you tell me about the shiny things?\Yanagi-chan heard the other day.\I see. response:	You aren't taking care of Touko-chan at all.
context: Boring.\You know something about this, don't you?\Hey, tell us.\That's my 5:30 girl.\Can you tell me about the shiny things?\Yanagi-chan heard the other day.\I see.\You aren't taking care of Touko-chan at all. response:	I guess not.
context: You know something about this, don't you?\Hey, tell us.\That's my 5:30 girl.\Can you tell me about the shiny things?\Yanagi-chan heard the other day.\I see.\You aren't taking care of Touko-chan at all.\I guess not. response:	Takayama said that to me, too.
context: Hey, tell us.\That's my 5:30 girl.\Can you tell me about the shiny things?\Yanagi-chan heard the other day.\I see.\You aren't taking care of Touko-chan at all.\I guess not.\Takayama said that to me, too. response:	But does Fukami Touko want to be taken care of?
context: That's my 5:30 girl.\Can you tell me about the shiny things?\Yanagi-chan heard the other day.\I see.\You aren't taking care of Touko-chan at all.\I guess not.\Takayama said that to me, too.\But does Fukami Touko want to be taken care of? response:	She makes me feel at home.
context: Can you tell me about the shiny things?\Yanagi-chan heard the other day.\I see.\You aren't taking care of Touko-chan at all.\I guess not.\Takayama said that to me, too.\But does Fukami Touko want to be taken care of?\She makes me feel at home. response:	Is it okay if she helps me?
context: Yanagi-chan heard the other day.\I see.\You aren't taking care of Touko-chan at all.\I guess not.\Takayama said that to me, too.\But does Fukami Touko want to be taken care of?\She makes me feel at home.\Is it okay if she helps me? response:	I think she's helping me, too.
context: I see.\You aren't taking care of Touko-chan at all.\I guess not.\Takayama said that to me, too.\But does Fukami Touko want to be taken care of?\She makes me feel at home.\Is it okay if she helps me?\I think she's helping me, too. response:	I don't think I know more than
context: You aren't taking care of Touko-chan at all.\I guess not.\Takayama said that to me, too.\But does Fukami Touko want to be taken care of?\She makes me feel at home.\Is it okay if she helps me?\I think she's helping me, too.\I don't think I know more than response:	you do about the shiny thing.
context: I guess not.\Takayama said that to me, too.\But does Fukami Touko want to be taken care of?\She makes me feel at home.\Is it okay if she helps me?\I think she's helping me, too.\I don't think I know more than\you do about the shiny thing. response:	Do you
context: Takayama said that to me, too.\But does Fukami Touko want to be taken care of?\She makes me feel at home.\Is it okay if she helps me?\I think she's helping me, too.\I don't think I know more than\you do about the shiny thing.\Do you response:	like Touko-chan?
context: But does Fukami Touko want to be taken care of?\She makes me feel at home.\Is it okay if she helps me?\I think she's helping me, too.\I don't think I know more than\you do about the shiny thing.\Do you\like Touko-chan? response:	She's
context: She makes me feel at home.\Is it okay if she helps me?\I think she's helping me, too.\I don't think I know more than\you do about the shiny thing.\Do you\like Touko-chan?\She's response:	no way.
context: Is it okay if she helps me?\I think she's helping me, too.\I don't think I know more than\you do about the shiny thing.\Do you\like Touko-chan?\She's\no way. response:	Hello?
context: I think she's helping me, too.\I don't think I know more than\you do about the shiny thing.\Do you\like Touko-chan?\She's\no way.\Hello? response:	Oh.
context: I don't think I know more than\you do about the shiny thing.\Do you\like Touko-chan?\She's\no way.\Hello?\Oh. response:	Are you the one who called Kakeru the other day?
context: you do about the shiny thing.\Do you\like Touko-chan?\She's\no way.\Hello?\Oh.\Are you the one who called Kakeru the other day? response:	Yes.
context: Do you\like Touko-chan?\She's\no way.\Hello?\Oh.\Are you the one who called Kakeru the other day?\Yes. response:	So cute.
context: like Touko-chan?\She's\no way.\Hello?\Oh.\Are you the one who called Kakeru the other day?\Yes.\So cute. response:	Forgive me, but what's your name?
context: She's\no way.\Hello?\Oh.\Are you the one who called Kakeru the other day?\Yes.\So cute.\Forgive me, but what's your name? response:	My name's Touko Fukami.
context: no way.\Hello?\Oh.\Are you the one who called Kakeru the other day?\Yes.\So cute.\Forgive me, but what's your name?\My name's Touko Fukami. response:	Is Kakeru-kun home?
context: Hello?\Oh.\Are you the one who called Kakeru the other day?\Yes.\So cute.\Forgive me, but what's your name?\My name's Touko Fukami.\Is Kakeru-kun home? response:	Unfortunately, he's not home right now.
context: Oh.\Are you the one who called Kakeru the other day?\Yes.\So cute.\Forgive me, but what's your name?\My name's Touko Fukami.\Is Kakeru-kun home?\Unfortunately, he's not home right now. response:	Oh, I'll be leaving then.
context: Are you the one who called Kakeru the other day?\Yes.\So cute.\Forgive me, but what's your name?\My name's Touko Fukami.\Is Kakeru-kun home?\Unfortunately, he's not home right now.\Oh, I'll be leaving then. response:	Since you're here, why not have a cup of tea or something?
context: Yes.\So cute.\Forgive me, but what's your name?\My name's Touko Fukami.\Is Kakeru-kun home?\Unfortunately, he's not home right now.\Oh, I'll be leaving then.\Since you're here, why not have a cup of tea or something? response:	Would you like to talk for a bit?
context: So cute.\Forgive me, but what's your name?\My name's Touko Fukami.\Is Kakeru-kun home?\Unfortunately, he's not home right now.\Oh, I'll be leaving then.\Since you're here, why not have a cup of tea or something?\Would you like to talk for a bit? response:	Umm...
context: Forgive me, but what's your name?\My name's Touko Fukami.\Is Kakeru-kun home?\Unfortunately, he's not home right now.\Oh, I'll be leaving then.\Since you're here, why not have a cup of tea or something?\Would you like to talk for a bit?\Umm... response:	Okay?
context: My name's Touko Fukami.\Is Kakeru-kun home?\Unfortunately, he's not home right now.\Oh, I'll be leaving then.\Since you're here, why not have a cup of tea or something?\Would you like to talk for a bit?\Umm...\Okay? response:	Sorry to keep you waiting.
context: Is Kakeru-kun home?\Unfortunately, he's not home right now.\Oh, I'll be leaving then.\Since you're here, why not have a cup of tea or something?\Would you like to talk for a bit?\Umm...\Okay?\Sorry to keep you waiting. response:	Not at all.
context: Unfortunately, he's not home right now.\Oh, I'll be leaving then.\Since you're here, why not have a cup of tea or something?\Would you like to talk for a bit?\Umm...\Okay?\Sorry to keep you waiting.\Not at all. response:	He's a strange kid, isn't he?
