context: Sharl, response:	are you okay?
context: I'm glad you're safe.\Sorry to worry you.\Gaul and the others already went looking for you.\We'll be on our way, too.\Thanks!\I'm glad they're safe.\That's right!\Sorry, sorry. response:	Anyway, we're safe for now.
context: Sorry to worry you.\Gaul and the others already went looking for you.\We'll be on our way, too.\Thanks!\I'm glad they're safe.\That's right!\Sorry, sorry.\Anyway, we're safe for now. response:	We and Pastillage's high-speed flyers
context: Gaul and the others already went looking for you.\We'll be on our way, too.\Thanks!\I'm glad they're safe.\That's right!\Sorry, sorry.\Anyway, we're safe for now.\We and Pastillage's high-speed flyers response:	are on our way.
context: We'll be on our way, too.\Thanks!\I'm glad they're safe.\That's right!\Sorry, sorry.\Anyway, we're safe for now.\We and Pastillage's high-speed flyers\are on our way. response:	We should see you soon.
context: Thanks!\I'm glad they're safe.\That's right!\Sorry, sorry.\Anyway, we're safe for now.\We and Pastillage's high-speed flyers\are on our way.\We should see you soon. response:	Just wait a little while longer.
context: I'm glad they're safe.\That's right!\Sorry, sorry.\Anyway, we're safe for now.\We and Pastillage's high-speed flyers\are on our way.\We should see you soon.\Just wait a little while longer. response:	Thank you, Kuu-sama, Becky.
context: That's right!\Sorry, sorry.\Anyway, we're safe for now.\We and Pastillage's high-speed flyers\are on our way.\We should see you soon.\Just wait a little while longer.\Thank you, Kuu-sama, Becky. response:	But you don't need to hurry.
context: Sorry, sorry.\Anyway, we're safe for now.\We and Pastillage's high-speed flyers\are on our way.\We should see you soon.\Just wait a little while longer.\Thank you, Kuu-sama, Becky.\But you don't need to hurry. response:	I want to take the chance to explore
context: Anyway, we're safe for now.\We and Pastillage's high-speed flyers\are on our way.\We should see you soon.\Just wait a little while longer.\Thank you, Kuu-sama, Becky.\But you don't need to hurry.\I want to take the chance to explore response:	this place before we meet up with you.
context: We and Pastillage's high-speed flyers\are on our way.\We should see you soon.\Just wait a little while longer.\Thank you, Kuu-sama, Becky.\But you don't need to hurry.\I want to take the chance to explore\this place before we meet up with you. response:	I see.
context: are on our way.\We should see you soon.\Just wait a little while longer.\Thank you, Kuu-sama, Becky.\But you don't need to hurry.\I want to take the chance to explore\this place before we meet up with you.\I see. response:	Dragon Priestess!
context: We should see you soon.\Just wait a little while longer.\Thank you, Kuu-sama, Becky.\But you don't need to hurry.\I want to take the chance to explore\this place before we meet up with you.\I see.\Dragon Priestess! response:	Take care of our two Heroes, would you?
context: Just wait a little while longer.\Thank you, Kuu-sama, Becky.\But you don't need to hurry.\I want to take the chance to explore\this place before we meet up with you.\I see.\Dragon Priestess!\Take care of our two Heroes, would you? response:	R-Right!
context: Thank you, Kuu-sama, Becky.\But you don't need to hurry.\I want to take the chance to explore\this place before we meet up with you.\I see.\Dragon Priestess!\Take care of our two Heroes, would you?\R-Right! response:	Wow!
context: But you don't need to hurry.\I want to take the chance to explore\this place before we meet up with you.\I see.\Dragon Priestess!\Take care of our two Heroes, would you?\R-Right!\Wow! response:	There's only half as much water as normal.
context: I want to take the chance to explore\this place before we meet up with you.\I see.\Dragon Priestess!\Take care of our two Heroes, would you?\R-Right!\Wow!\There's only half as much water as normal. response:	Even though it's so amazing?
context: this place before we meet up with you.\I see.\Dragon Priestess!\Take care of our two Heroes, would you?\R-Right!\Wow!\There's only half as much water as normal.\Even though it's so amazing? response:	Do dragons live here, too?
context: I see.\Dragon Priestess!\Take care of our two Heroes, would you?\R-Right!\Wow!\There's only half as much water as normal.\Even though it's so amazing?\Do dragons live here, too? response:	Yeah.
context: Dragon Priestess!\Take care of our two Heroes, would you?\R-Right!\Wow!\There's only half as much water as normal.\Even though it's so amazing?\Do dragons live here, too?\Yeah. response:	Where are they?
context: Take care of our two Heroes, would you?\R-Right!\Wow!\There's only half as much water as normal.\Even though it's so amazing?\Do dragons live here, too?\Yeah.\Where are they? response:	That is the True Dragon of this place.
context: R-Right!\Wow!\There's only half as much water as normal.\Even though it's so amazing?\Do dragons live here, too?\Yeah.\Where are they?\That is the True Dragon of this place. response:	She controls water and thunder.
context: Wow!\There's only half as much water as normal.\Even though it's so amazing?\Do dragons live here, too?\Yeah.\Where are they?\That is the True Dragon of this place.\She controls water and thunder. response:	Wow!
context: There's only half as much water as normal.\Even though it's so amazing?\Do dragons live here, too?\Yeah.\Where are they?\That is the True Dragon of this place.\She controls water and thunder.\Wow! response:	The True Dragons control the blessings of the land.
context: Even though it's so amazing?\Do dragons live here, too?\Yeah.\Where are they?\That is the True Dragon of this place.\She controls water and thunder.\Wow!\The True Dragons control the blessings of the land. response:	Water, fire, wind, and greenery...
context: Do dragons live here, too?\Yeah.\Where are they?\That is the True Dragon of this place.\She controls water and thunder.\Wow!\The True Dragons control the blessings of the land.\Water, fire, wind, and greenery... response:	So they're like the land gods?
context: Yeah.\Where are they?\That is the True Dragon of this place.\She controls water and thunder.\Wow!\The True Dragons control the blessings of the land.\Water, fire, wind, and greenery...\So they're like the land gods? response:	Perhaps they're the same to you humans,
context: Where are they?\That is the True Dragon of this place.\She controls water and thunder.\Wow!\The True Dragons control the blessings of the land.\Water, fire, wind, and greenery...\So they're like the land gods?\Perhaps they're the same to you humans, response:	but to us they're very different.
context: That is the True Dragon of this place.\She controls water and thunder.\Wow!\The True Dragons control the blessings of the land.\Water, fire, wind, and greenery...\So they're like the land gods?\Perhaps they're the same to you humans,\but to us they're very different. response:	The dragons are the life and nature of this land itself.
context: She controls water and thunder.\Wow!\The True Dragons control the blessings of the land.\Water, fire, wind, and greenery...\So they're like the land gods?\Perhaps they're the same to you humans,\but to us they're very different.\The dragons are the life and nature of this land itself. response:	This is amazing, but...
context: Wow!\The True Dragons control the blessings of the land.\Water, fire, wind, and greenery...\So they're like the land gods?\Perhaps they're the same to you humans,\but to us they're very different.\The dragons are the life and nature of this land itself.\This is amazing, but... response:	Is it normally even more amazing?
context: The True Dragons control the blessings of the land.\Water, fire, wind, and greenery...\So they're like the land gods?\Perhaps they're the same to you humans,\but to us they're very different.\The dragons are the life and nature of this land itself.\This is amazing, but...\Is it normally even more amazing? response:	Yeah.
context: Water, fire, wind, and greenery...\So they're like the land gods?\Perhaps they're the same to you humans,\but to us they're very different.\The dragons are the life and nature of this land itself.\This is amazing, but...\Is it normally even more amazing?\Yeah. response:	That's the fire dragon.
context: So they're like the land gods?\Perhaps they're the same to you humans,\but to us they're very different.\The dragons are the life and nature of this land itself.\This is amazing, but...\Is it normally even more amazing?\Yeah.\That's the fire dragon. response:	It gives energy to the land via the power of the volcano.
context: Perhaps they're the same to you humans,\but to us they're very different.\The dragons are the life and nature of this land itself.\This is amazing, but...\Is it normally even more amazing?\Yeah.\That's the fire dragon.\It gives energy to the land via the power of the volcano. response:	Sorry!
context: but to us they're very different.\The dragons are the life and nature of this land itself.\This is amazing, but...\Is it normally even more amazing?\Yeah.\That's the fire dragon.\It gives energy to the land via the power of the volcano.\Sorry! response:	It's fine.
context: The dragons are the life and nature of this land itself.\This is amazing, but...\Is it normally even more amazing?\Yeah.\That's the fire dragon.\It gives energy to the land via the power of the volcano.\Sorry!\It's fine. response:	Once upon a time, the dragons were thought to be harbingers of natural disasters.
context: This is amazing, but...\Is it normally even more amazing?\Yeah.\That's the fire dragon.\It gives energy to the land via the power of the volcano.\Sorry!\It's fine.\Once upon a time, the dragons were thought to be harbingers of natural disasters. response:	They would cause storms and make volcanoes erupt.
context: Is it normally even more amazing?\Yeah.\That's the fire dragon.\It gives energy to the land via the power of the volcano.\Sorry!\It's fine.\Once upon a time, the dragons were thought to be harbingers of natural disasters.\They would cause storms and make volcanoes erupt. response:	But we realized that after the disasters like
context: Yeah.\That's the fire dragon.\It gives energy to the land via the power of the volcano.\Sorry!\It's fine.\Once upon a time, the dragons were thought to be harbingers of natural disasters.\They would cause storms and make volcanoes erupt.\But we realized that after the disasters like response:	heavy rains, storms, and volcanic eruptions,
context: That's the fire dragon.\It gives energy to the land via the power of the volcano.\Sorry!\It's fine.\Once upon a time, the dragons were thought to be harbingers of natural disasters.\They would cause storms and make volcanoes erupt.\But we realized that after the disasters like\heavy rains, storms, and volcanic eruptions, response:	the land would always regain its energy.
context: It gives energy to the land via the power of the volcano.\Sorry!\It's fine.\Once upon a time, the dragons were thought to be harbingers of natural disasters.\They would cause storms and make volcanoes erupt.\But we realized that after the disasters like\heavy rains, storms, and volcanic eruptions,\the land would always regain its energy. response:	I think Rico-chan might've told me that before.
context: Sorry!\It's fine.\Once upon a time, the dragons were thought to be harbingers of natural disasters.\They would cause storms and make volcanoes erupt.\But we realized that after the disasters like\heavy rains, storms, and volcanic eruptions,\the land would always regain its energy.\I think Rico-chan might've told me that before. response:	It's said that the dragons
context: It's fine.\Once upon a time, the dragons were thought to be harbingers of natural disasters.\They would cause storms and make volcanoes erupt.\But we realized that after the disasters like\heavy rains, storms, and volcanic eruptions,\the land would always regain its energy.\I think Rico-chan might've told me that before.\It's said that the dragons response:	restore balance to the scales of nature,
context: Once upon a time, the dragons were thought to be harbingers of natural disasters.\They would cause storms and make volcanoes erupt.\But we realized that after the disasters like\heavy rains, storms, and volcanic eruptions,\the land would always regain its energy.\I think Rico-chan might've told me that before.\It's said that the dragons\restore balance to the scales of nature, response:	and undo the damage caused by humans and other life forms.
context: They would cause storms and make volcanoes erupt.\But we realized that after the disasters like\heavy rains, storms, and volcanic eruptions,\the land would always regain its energy.\I think Rico-chan might've told me that before.\It's said that the dragons\restore balance to the scales of nature,\and undo the damage caused by humans and other life forms. response:	I see.
context: But we realized that after the disasters like\heavy rains, storms, and volcanic eruptions,\the land would always regain its energy.\I think Rico-chan might've told me that before.\It's said that the dragons\restore balance to the scales of nature,\and undo the damage caused by humans and other life forms.\I see. response:	And it's the Dragon Priestesses who
context: heavy rains, storms, and volcanic eruptions,\the land would always regain its energy.\I think Rico-chan might've told me that before.\It's said that the dragons\restore balance to the scales of nature,\and undo the damage caused by humans and other life forms.\I see.\And it's the Dragon Priestesses who response:	connect the dragons and humans.
context: the land would always regain its energy.\I think Rico-chan might've told me that before.\It's said that the dragons\restore balance to the scales of nature,\and undo the damage caused by humans and other life forms.\I see.\And it's the Dragon Priestesses who\connect the dragons and humans. response:	She tells us what the dragons are going to do
context: I think Rico-chan might've told me that before.\It's said that the dragons\restore balance to the scales of nature,\and undo the damage caused by humans and other life forms.\I see.\And it's the Dragon Priestesses who\connect the dragons and humans.\She tells us what the dragons are going to do response:	ahead of time, so that we don't become enemies.
context: It's said that the dragons\restore balance to the scales of nature,\and undo the damage caused by humans and other life forms.\I see.\And it's the Dragon Priestesses who\connect the dragons and humans.\She tells us what the dragons are going to do\ahead of time, so that we don't become enemies. response:	And sometimes she lends the power of the dragons to arid lands.
context: restore balance to the scales of nature,\and undo the damage caused by humans and other life forms.\I see.\And it's the Dragon Priestesses who\connect the dragons and humans.\She tells us what the dragons are going to do\ahead of time, so that we don't become enemies.\And sometimes she lends the power of the dragons to arid lands. response:	So they're amazing people.
context: and undo the damage caused by humans and other life forms.\I see.\And it's the Dragon Priestesses who\connect the dragons and humans.\She tells us what the dragons are going to do\ahead of time, so that we don't become enemies.\And sometimes she lends the power of the dragons to arid lands.\So they're amazing people. response:	I see.
context: I see.\And it's the Dragon Priestesses who\connect the dragons and humans.\She tells us what the dragons are going to do\ahead of time, so that we don't become enemies.\And sometimes she lends the power of the dragons to arid lands.\So they're amazing people.\I see. response:	That must've been rough for Shinku and Nanami.
context: And it's the Dragon Priestesses who\connect the dragons and humans.\She tells us what the dragons are going to do\ahead of time, so that we don't become enemies.\And sometimes she lends the power of the dragons to arid lands.\So they're amazing people.\I see.\That must've been rough for Shinku and Nanami. response:	They've both been confirmed as safe,
context: connect the dragons and humans.\She tells us what the dragons are going to do\ahead of time, so that we don't become enemies.\And sometimes she lends the power of the dragons to arid lands.\So they're amazing people.\I see.\That must've been rough for Shinku and Nanami.\They've both been confirmed as safe, response:	so we'll be waiting here.
context: She tells us what the dragons are going to do\ahead of time, so that we don't become enemies.\And sometimes she lends the power of the dragons to arid lands.\So they're amazing people.\I see.\That must've been rough for Shinku and Nanami.\They've both been confirmed as safe,\so we'll be waiting here. response:	I see.
context: ahead of time, so that we don't become enemies.\And sometimes she lends the power of the dragons to arid lands.\So they're amazing people.\I see.\That must've been rough for Shinku and Nanami.\They've both been confirmed as safe,\so we'll be waiting here.\I see. response:	But the Dragon Forest is
context: And sometimes she lends the power of the dragons to arid lands.\So they're amazing people.\I see.\That must've been rough for Shinku and Nanami.\They've both been confirmed as safe,\so we'll be waiting here.\I see.\But the Dragon Forest is response:	a rare place to end up.
context: So they're amazing people.\I see.\That must've been rough for Shinku and Nanami.\They've both been confirmed as safe,\so we'll be waiting here.\I see.\But the Dragon Forest is\a rare place to end up. response:	It may be a good place for them
context: I see.\That must've been rough for Shinku and Nanami.\They've both been confirmed as safe,\so we'll be waiting here.\I see.\But the Dragon Forest is\a rare place to end up.\It may be a good place for them response:	to expand their knowledge as heroes.
context: That must've been rough for Shinku and Nanami.\They've both been confirmed as safe,\so we'll be waiting here.\I see.\But the Dragon Forest is\a rare place to end up.\It may be a good place for them\to expand their knowledge as heroes. response:	But I've heard something about
context: They've both been confirmed as safe,\so we'll be waiting here.\I see.\But the Dragon Forest is\a rare place to end up.\It may be a good place for them\to expand their knowledge as heroes.\But I've heard something about response:	demon-like creatures appearing there,
context: so we'll be waiting here.\I see.\But the Dragon Forest is\a rare place to end up.\It may be a good place for them\to expand their knowledge as heroes.\But I've heard something about\demon-like creatures appearing there, response:	so I'm worried.
context: I see.\But the Dragon Forest is\a rare place to end up.\It may be a good place for them\to expand their knowledge as heroes.\But I've heard something about\demon-like creatures appearing there,\so I'm worried. response:	In the dragon's forest?
context: But the Dragon Forest is\a rare place to end up.\It may be a good place for them\to expand their knowledge as heroes.\But I've heard something about\demon-like creatures appearing there,\so I'm worried.\In the dragon's forest? response:	Yukikaze, I'd like you
context: a rare place to end up.\It may be a good place for them\to expand their knowledge as heroes.\But I've heard something about\demon-like creatures appearing there,\so I'm worried.\In the dragon's forest?\Yukikaze, I'd like you response:	to give me more details.
context: It may be a good place for them\to expand their knowledge as heroes.\But I've heard something about\demon-like creatures appearing there,\so I'm worried.\In the dragon's forest?\Yukikaze, I'd like you\to give me more details. response:	Okay.
context: to expand their knowledge as heroes.\But I've heard something about\demon-like creatures appearing there,\so I'm worried.\In the dragon's forest?\Yukikaze, I'd like you\to give me more details.\Okay. response:	This is my home.
context: But I've heard something about\demon-like creatures appearing there,\so I'm worried.\In the dragon's forest?\Yukikaze, I'd like you\to give me more details.\Okay.\This is my home. response:	It's on the edge of the forest.
context: demon-like creatures appearing there,\so I'm worried.\In the dragon's forest?\Yukikaze, I'd like you\to give me more details.\Okay.\This is my home.\It's on the edge of the forest. response:	Even if a lot of humans come here, it won't surprise the dragons,
context: so I'm worried.\In the dragon's forest?\Yukikaze, I'd like you\to give me more details.\Okay.\This is my home.\It's on the edge of the forest.\Even if a lot of humans come here, it won't surprise the dragons, response:	and won't bother anybody.
context: In the dragon's forest?\Yukikaze, I'd like you\to give me more details.\Okay.\This is my home.\It's on the edge of the forest.\Even if a lot of humans come here, it won't surprise the dragons,\and won't bother anybody. response:	Wait here until your people come to get you.
context: Yukikaze, I'd like you\to give me more details.\Okay.\This is my home.\It's on the edge of the forest.\Even if a lot of humans come here, it won't surprise the dragons,\and won't bother anybody.\Wait here until your people come to get you. response:	So then
context: to give me more details.\Okay.\This is my home.\It's on the edge of the forest.\Even if a lot of humans come here, it won't surprise the dragons,\and won't bother anybody.\Wait here until your people come to get you.\So then response:	the things that attacked you back there were...
context: Okay.\This is my home.\It's on the edge of the forest.\Even if a lot of humans come here, it won't surprise the dragons,\and won't bother anybody.\Wait here until your people come to get you.\So then\the things that attacked you back there were... response:	Demons.
context: This is my home.\It's on the edge of the forest.\Even if a lot of humans come here, it won't surprise the dragons,\and won't bother anybody.\Wait here until your people come to get you.\So then\the things that attacked you back there were...\Demons. response:	Around the end of summer, they suddenly appeared.
context: It's on the edge of the forest.\Even if a lot of humans come here, it won't surprise the dragons,\and won't bother anybody.\Wait here until your people come to get you.\So then\the things that attacked you back there were...\Demons.\Around the end of summer, they suddenly appeared. response:	They attack dragons,
context: Even if a lot of humans come here, it won't surprise the dragons,\and won't bother anybody.\Wait here until your people come to get you.\So then\the things that attacked you back there were...\Demons.\Around the end of summer, they suddenly appeared.\They attack dragons, response:	and hurt the creatures in this forest.
context: and won't bother anybody.\Wait here until your people come to get you.\So then\the things that attacked you back there were...\Demons.\Around the end of summer, they suddenly appeared.\They attack dragons,\and hurt the creatures in this forest. response:	Ever since they appeared, the dragons have been scared
context: Wait here until your people come to get you.\So then\the things that attacked you back there were...\Demons.\Around the end of summer, they suddenly appeared.\They attack dragons,\and hurt the creatures in this forest.\Ever since they appeared, the dragons have been scared response:	and the land and the plants are going crazy.
context: So then\the things that attacked you back there were...\Demons.\Around the end of summer, they suddenly appeared.\They attack dragons,\and hurt the creatures in this forest.\Ever since they appeared, the dragons have been scared\and the land and the plants are going crazy. response:	So there are others besides the one we defeated?
context: the things that attacked you back there were...\Demons.\Around the end of summer, they suddenly appeared.\They attack dragons,\and hurt the creatures in this forest.\Ever since they appeared, the dragons have been scared\and the land and the plants are going crazy.\So there are others besides the one we defeated? response:	I keep defeating them and they keep appearing.
context: Demons.\Around the end of summer, they suddenly appeared.\They attack dragons,\and hurt the creatures in this forest.\Ever since they appeared, the dragons have been scared\and the land and the plants are going crazy.\So there are others besides the one we defeated?\I keep defeating them and they keep appearing. response:	I think they're being born somewhere in this forest.
