context: Inside the human body... response:	are working hard every day.
context: Neutrophils comprise over half of the White Blood Cells in the blood.\LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!\Listen up! Don't let a single bacterium get away!\Because there'll be hell to pay if even one escapes!\Whoa! It's the White Blood Cells!\Scary!\CELL\Seriously, talk about merciless! He's splattered with blood! response:	Hey, any over there?
context: LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!\Listen up! Don't let a single bacterium get away!\Because there'll be hell to pay if even one escapes!\Whoa! It's the White Blood Cells!\Scary!\CELL\Seriously, talk about merciless! He's splattered with blood!\Hey, any over there? response:	Negative.
context: Listen up! Don't let a single bacterium get away!\Because there'll be hell to pay if even one escapes!\Whoa! It's the White Blood Cells!\Scary!\CELL\Seriously, talk about merciless! He's splattered with blood!\Hey, any over there?\Negative. response:	S-So they're the White Blood Cells?
context: Because there'll be hell to pay if even one escapes!\Whoa! It's the White Blood Cells!\Scary!\CELL\Seriously, talk about merciless! He's splattered with blood!\Hey, any over there?\Negative.\S-So they're the White Blood Cells? response:	Hey, what are you looking at?
context: Whoa! It's the White Blood Cells!\Scary!\CELL\Seriously, talk about merciless! He's splattered with blood!\Hey, any over there?\Negative.\S-So they're the White Blood Cells?\Hey, what are you looking at? response:	Can I help you?
context: Scary!\CELL\Seriously, talk about merciless! He's splattered with blood!\Hey, any over there?\Negative.\S-So they're the White Blood Cells?\Hey, what are you looking at?\Can I help you? response:	Y-Yes! I mean, um...
context: CELL\Seriously, talk about merciless! He's splattered with blood!\Hey, any over there?\Negative.\S-So they're the White Blood Cells?\Hey, what are you looking at?\Can I help you?\Y-Yes! I mean, um... response:	Th-Thank you for saving me!
context: Seriously, talk about merciless! He's splattered with blood!\Hey, any over there?\Negative.\S-So they're the White Blood Cells?\Hey, what are you looking at?\Can I help you?\Y-Yes! I mean, um...\Th-Thank you for saving me! response:	I was in such danger...
context: Hey, any over there?\Negative.\S-So they're the White Blood Cells?\Hey, what are you looking at?\Can I help you?\Y-Yes! I mean, um...\Th-Thank you for saving me!\I was in such danger... response:	No need to thank me.
context: Negative.\S-So they're the White Blood Cells?\Hey, what are you looking at?\Can I help you?\Y-Yes! I mean, um...\Th-Thank you for saving me!\I was in such danger...\No need to thank me. response:	I was only doing my job.
context: S-So they're the White Blood Cells?\Hey, what are you looking at?\Can I help you?\Y-Yes! I mean, um...\Th-Thank you for saving me!\I was in such danger...\No need to thank me.\I was only doing my job. response:	Right!
context: Hey, what are you looking at?\Can I help you?\Y-Yes! I mean, um...\Th-Thank you for saving me!\I was in such danger...\No need to thank me.\I was only doing my job.\Right! response:	Any more over there?
context: Can I help you?\Y-Yes! I mean, um...\Th-Thank you for saving me!\I was in such danger...\No need to thank me.\I was only doing my job.\Right!\Any more over there? response:	I'll kill them! I swear I'm gonna kill them!
context: Y-Yes! I mean, um...\Th-Thank you for saving me!\I was in such danger...\No need to thank me.\I was only doing my job.\Right!\Any more over there?\I'll kill them! I swear I'm gonna kill them! response:	Dammit!
context: Th-Thank you for saving me!\I was in such danger...\No need to thank me.\I was only doing my job.\Right!\Any more over there?\I'll kill them! I swear I'm gonna kill them!\Dammit! response:	You wretched White Blood Cells! Don't think it's over yet!
context: I was in such danger...\No need to thank me.\I was only doing my job.\Right!\Any more over there?\I'll kill them! I swear I'm gonna kill them!\Dammit!\You wretched White Blood Cells! Don't think it's over yet! response:	Boy, that was scary!
context: No need to thank me.\I was only doing my job.\Right!\Any more over there?\I'll kill them! I swear I'm gonna kill them!\Dammit!\You wretched White Blood Cells! Don't think it's over yet!\Boy, that was scary! response:	I'm gonna deliver this to the lungs fast!
context: I was only doing my job.\Right!\Any more over there?\I'll kill them! I swear I'm gonna kill them!\Dammit!\You wretched White Blood Cells! Don't think it's over yet!\Boy, that was scary!\I'm gonna deliver this to the lungs fast! response:	THE RED BLOOD CELLS' JOB
context: Right!\Any more over there?\I'll kill them! I swear I'm gonna kill them!\Dammit!\You wretched White Blood Cells! Don't think it's over yet!\Boy, that was scary!\I'm gonna deliver this to the lungs fast!\THE RED BLOOD CELLS' JOB response:	Well, to get to the lungs, I need to make a right here.
context: Any more over there?\I'll kill them! I swear I'm gonna kill them!\Dammit!\You wretched White Blood Cells! Don't think it's over yet!\Boy, that was scary!\I'm gonna deliver this to the lungs fast!\THE RED BLOOD CELLS' JOB\Well, to get to the lungs, I need to make a right here. response:	VENOUS VALVE
context: I'll kill them! I swear I'm gonna kill them!\Dammit!\You wretched White Blood Cells! Don't think it's over yet!\Boy, that was scary!\I'm gonna deliver this to the lungs fast!\THE RED BLOOD CELLS' JOB\Well, to get to the lungs, I need to make a right here.\VENOUS VALVE response:	Hey, that entrance is one-way.
context: Dammit!\You wretched White Blood Cells! Don't think it's over yet!\Boy, that was scary!\I'm gonna deliver this to the lungs fast!\THE RED BLOOD CELLS' JOB\Well, to get to the lungs, I need to make a right here.\VENOUS VALVE\Hey, that entrance is one-way. response:	I-I'm sorry! I'm new here!
context: You wretched White Blood Cells! Don't think it's over yet!\Boy, that was scary!\I'm gonna deliver this to the lungs fast!\THE RED BLOOD CELLS' JOB\Well, to get to the lungs, I need to make a right here.\VENOUS VALVE\Hey, that entrance is one-way.\I-I'm sorry! I'm new here! response:	Lungs are that way.
context: Boy, that was scary!\I'm gonna deliver this to the lungs fast!\THE RED BLOOD CELLS' JOB\Well, to get to the lungs, I need to make a right here.\VENOUS VALVE\Hey, that entrance is one-way.\I-I'm sorry! I'm new here!\Lungs are that way. response:	Again?
context: I'm gonna deliver this to the lungs fast!\THE RED BLOOD CELLS' JOB\Well, to get to the lungs, I need to make a right here.\VENOUS VALVE\Hey, that entrance is one-way.\I-I'm sorry! I'm new here!\Lungs are that way.\Again? response:	Where?
context: THE RED BLOOD CELLS' JOB\Well, to get to the lungs, I need to make a right here.\VENOUS VALVE\Hey, that entrance is one-way.\I-I'm sorry! I'm new here!\Lungs are that way.\Again?\Where? response:	Where?
context: Well, to get to the lungs, I need to make a right here.\VENOUS VALVE\Hey, that entrance is one-way.\I-I'm sorry! I'm new here!\Lungs are that way.\Again?\Where?\Where? response:	Where?
context: VENOUS VALVE\Hey, that entrance is one-way.\I-I'm sorry! I'm new here!\Lungs are that way.\Again?\Where?\Where?\Where? response:	This is it!
context: Hey, that entrance is one-way.\I-I'm sorry! I'm new here!\Lungs are that way.\Again?\Where?\Where?\Where?\This is it! response:	Oh, this is the spleen...
context: I-I'm sorry! I'm new here!\Lungs are that way.\Again?\Where?\Where?\Where?\This is it!\Oh, this is the spleen... response:	MACROPHAGE
context: Lungs are that way.\Again?\Where?\Where?\Where?\This is it!\Oh, this is the spleen...\MACROPHAGE response:	SPLEEN
context: Again?\Where?\Where?\Where?\This is it!\Oh, this is the spleen...\MACROPHAGE\SPLEEN response:	Are you lost perhaps?
context: Where?\Where?\Where?\This is it!\Oh, this is the spleen...\MACROPHAGE\SPLEEN\Are you lost perhaps? response:	Y-Yes! I'm sorry! I made a mistake!
context: Where?\Where?\This is it!\Oh, this is the spleen...\MACROPHAGE\SPLEEN\Are you lost perhaps?\Y-Yes! I'm sorry! I made a mistake! response:	Don't worry!
context: Where?\This is it!\Oh, this is the spleen...\MACROPHAGE\SPLEEN\Are you lost perhaps?\Y-Yes! I'm sorry! I made a mistake!\Don't worry! response:	Hey, you! This is a lymph duct!
context: This is it!\Oh, this is the spleen...\MACROPHAGE\SPLEEN\Are you lost perhaps?\Y-Yes! I'm sorry! I made a mistake!\Don't worry!\Hey, you! This is a lymph duct! response:	What do you think you're doing here?
context: Oh, this is the spleen...\MACROPHAGE\SPLEEN\Are you lost perhaps?\Y-Yes! I'm sorry! I made a mistake!\Don't worry!\Hey, you! This is a lymph duct!\What do you think you're doing here? response:	No Red Blood Cells allowed! Moron!
context: MACROPHAGE\SPLEEN\Are you lost perhaps?\Y-Yes! I'm sorry! I made a mistake!\Don't worry!\Hey, you! This is a lymph duct!\What do you think you're doing here?\No Red Blood Cells allowed! Moron! response:	Another blunder!
context: SPLEEN\Are you lost perhaps?\Y-Yes! I'm sorry! I made a mistake!\Don't worry!\Hey, you! This is a lymph duct!\What do you think you're doing here?\No Red Blood Cells allowed! Moron!\Another blunder! response:	Please forgive me!
context: Are you lost perhaps?\Y-Yes! I'm sorry! I made a mistake!\Don't worry!\Hey, you! This is a lymph duct!\What do you think you're doing here?\No Red Blood Cells allowed! Moron!\Another blunder!\Please forgive me! response:	They're always doing construction around here.
context: Y-Yes! I'm sorry! I made a mistake!\Don't worry!\Hey, you! This is a lymph duct!\What do you think you're doing here?\No Red Blood Cells allowed! Moron!\Another blunder!\Please forgive me!\They're always doing construction around here. response:	So these maps are hard to figure out!
context: Don't worry!\Hey, you! This is a lymph duct!\What do you think you're doing here?\No Red Blood Cells allowed! Moron!\Another blunder!\Please forgive me!\They're always doing construction around here.\So these maps are hard to figure out! response:	I-Is that right?
context: Hey, you! This is a lymph duct!\What do you think you're doing here?\No Red Blood Cells allowed! Moron!\Another blunder!\Please forgive me!\They're always doing construction around here.\So these maps are hard to figure out!\I-Is that right? response:	I don't think I'll ever get there...
context: What do you think you're doing here?\No Red Blood Cells allowed! Moron!\Another blunder!\Please forgive me!\They're always doing construction around here.\So these maps are hard to figure out!\I-Is that right?\I don't think I'll ever get there... response:	STORAGE 7
context: No Red Blood Cells allowed! Moron!\Another blunder!\Please forgive me!\They're always doing construction around here.\So these maps are hard to figure out!\I-Is that right?\I don't think I'll ever get there...\STORAGE 7 response:	Let's see... The lungs, the lungs...
context: Another blunder!\Please forgive me!\They're always doing construction around here.\So these maps are hard to figure out!\I-Is that right?\I don't think I'll ever get there...\STORAGE 7\Let's see... The lungs, the lungs... response:	WASTE
context: Please forgive me!\They're always doing construction around here.\So these maps are hard to figure out!\I-Is that right?\I don't think I'll ever get there...\STORAGE 7\Let's see... The lungs, the lungs...\WASTE response:	There's nobody here!
context: They're always doing construction around here.\So these maps are hard to figure out!\I-Is that right?\I don't think I'll ever get there...\STORAGE 7\Let's see... The lungs, the lungs...\WASTE\There's nobody here! response:	I wonder if anyone's in here.
context: So these maps are hard to figure out!\I-Is that right?\I don't think I'll ever get there...\STORAGE 7\Let's see... The lungs, the lungs...\WASTE\There's nobody here!\I wonder if anyone's in here. response:	Excuse me? There's something I'd like to ask you!
context: I-Is that right?\I don't think I'll ever get there...\STORAGE 7\Let's see... The lungs, the lungs...\WASTE\There's nobody here!\I wonder if anyone's in here.\Excuse me? There's something I'd like to ask you! response:	Um... Excuse me...
context: I don't think I'll ever get there...\STORAGE 7\Let's see... The lungs, the lungs...\WASTE\There's nobody here!\I wonder if anyone's in here.\Excuse me? There's something I'd like to ask you!\Um... Excuse me... response:	Don't act like nothing happened!
context: STORAGE 7\Let's see... The lungs, the lungs...\WASTE\There's nobody here!\I wonder if anyone's in here.\Excuse me? There's something I'd like to ask you!\Um... Excuse me...\Don't act like nothing happened! response:	Target sighted!
context: Let's see... The lungs, the lungs...\WASTE\There's nobody here!\I wonder if anyone's in here.\Excuse me? There's something I'd like to ask you!\Um... Excuse me...\Don't act like nothing happened!\Target sighted! response:	I found you, you bastard!
context: WASTE\There's nobody here!\I wonder if anyone's in here.\Excuse me? There's something I'd like to ask you!\Um... Excuse me...\Don't act like nothing happened!\Target sighted!\I found you, you bastard! response:	Die!
context: There's nobody here!\I wonder if anyone's in here.\Excuse me? There's something I'd like to ask you!\Um... Excuse me...\Don't act like nothing happened!\Target sighted!\I found you, you bastard!\Die! response:	You germ!
context: I wonder if anyone's in here.\Excuse me? There's something I'd like to ask you!\Um... Excuse me...\Don't act like nothing happened!\Target sighted!\I found you, you bastard!\Die!\You germ! response:	Sniffed me out already, you damn White Blood Cell?
context: Excuse me? There's something I'd like to ask you!\Um... Excuse me...\Don't act like nothing happened!\Target sighted!\I found you, you bastard!\Die!\You germ!\Sniffed me out already, you damn White Blood Cell? response:	No way am I gonna let you capture me!
context: Um... Excuse me...\Don't act like nothing happened!\Target sighted!\I found you, you bastard!\Die!\You germ!\Sniffed me out already, you damn White Blood Cell?\No way am I gonna let you capture me! response:	So long!
context: Don't act like nothing happened!\Target sighted!\I found you, you bastard!\Die!\You germ!\Sniffed me out already, you damn White Blood Cell?\No way am I gonna let you capture me!\So long! response:	O-Oh no!
context: Target sighted!\I found you, you bastard!\Die!\You germ!\Sniffed me out already, you damn White Blood Cell?\No way am I gonna let you capture me!\So long!\O-Oh no! response:	CAPSULE
context: I found you, you bastard!\Die!\You germ!\Sniffed me out already, you damn White Blood Cell?\No way am I gonna let you capture me!\So long!\O-Oh no!\CAPSULE response:	Is this a bacterial capsule?
context: Die!\You germ!\Sniffed me out already, you damn White Blood Cell?\No way am I gonna let you capture me!\So long!\O-Oh no!\CAPSULE\Is this a bacterial capsule? response:	Dammit! I can't see the bacterium!
context: You germ!\Sniffed me out already, you damn White Blood Cell?\No way am I gonna let you capture me!\So long!\O-Oh no!\CAPSULE\Is this a bacterial capsule?\Dammit! I can't see the bacterium! response:	Please stop pulling!
context: Sniffed me out already, you damn White Blood Cell?\No way am I gonna let you capture me!\So long!\O-Oh no!\CAPSULE\Is this a bacterial capsule?\Dammit! I can't see the bacterium!\Please stop pulling! response:	Did he get away?
context: No way am I gonna let you capture me!\So long!\O-Oh no!\CAPSULE\Is this a bacterial capsule?\Dammit! I can't see the bacterium!\Please stop pulling!\Did he get away? response:	Um, thank you for earlier!
context: So long!\O-Oh no!\CAPSULE\Is this a bacterial capsule?\Dammit! I can't see the bacterium!\Please stop pulling!\Did he get away?\Um, thank you for earlier! response:	Oh, right. Sure.
context: O-Oh no!\CAPSULE\Is this a bacterial capsule?\Dammit! I can't see the bacterium!\Please stop pulling!\Did he get away?\Um, thank you for earlier!\Oh, right. Sure. response:	You're that Red Blood Cell from before!
context: CAPSULE\Is this a bacterial capsule?\Dammit! I can't see the bacterium!\Please stop pulling!\Did he get away?\Um, thank you for earlier!\Oh, right. Sure.\You're that Red Blood Cell from before! response:	Yes! What was that bacterium?
context: Is this a bacterial capsule?\Dammit! I can't see the bacterium!\Please stop pulling!\Did he get away?\Um, thank you for earlier!\Oh, right. Sure.\You're that Red Blood Cell from before!\Yes! What was that bacterium? response:	The survivor of the group that just invaded us! Damn!
context: Dammit! I can't see the bacterium!\Please stop pulling!\Did he get away?\Um, thank you for earlier!\Oh, right. Sure.\You're that Red Blood Cell from before!\Yes! What was that bacterium?\The survivor of the group that just invaded us! Damn! response:	This isn't looking good!
context: Please stop pulling!\Did he get away?\Um, thank you for earlier!\Oh, right. Sure.\You're that Red Blood Cell from before!\Yes! What was that bacterium?\The survivor of the group that just invaded us! Damn!\This isn't looking good! response:	He's a Pneumococcus!
context: Did he get away?\Um, thank you for earlier!\Oh, right. Sure.\You're that Red Blood Cell from before!\Yes! What was that bacterium?\The survivor of the group that just invaded us! Damn!\This isn't looking good!\He's a Pneumococcus! response:	If I don't kill him right away, he'll start dividing!
context: Um, thank you for earlier!\Oh, right. Sure.\You're that Red Blood Cell from before!\Yes! What was that bacterium?\The survivor of the group that just invaded us! Damn!\This isn't looking good!\He's a Pneumococcus!\If I don't kill him right away, he'll start dividing! response:	And if that happens, this world will...
context: Oh, right. Sure.\You're that Red Blood Cell from before!\Yes! What was that bacterium?\The survivor of the group that just invaded us! Damn!\This isn't looking good!\He's a Pneumococcus!\If I don't kill him right away, he'll start dividing!\And if that happens, this world will... response:	Pn-Pneumococcus?
context: You're that Red Blood Cell from before!\Yes! What was that bacterium?\The survivor of the group that just invaded us! Damn!\This isn't looking good!\He's a Pneumococcus!\If I don't kill him right away, he'll start dividing!\And if that happens, this world will...\Pn-Pneumococcus? response:	Yeah.
context: Yes! What was that bacterium?\The survivor of the group that just invaded us! Damn!\This isn't looking good!\He's a Pneumococcus!\If I don't kill him right away, he'll start dividing!\And if that happens, this world will...\Pn-Pneumococcus?\Yeah. response:	The Pneumococci are pathogenic bacteria of the respiratory system
context: The survivor of the group that just invaded us! Damn!\This isn't looking good!\He's a Pneumococcus!\If I don't kill him right away, he'll start dividing!\And if that happens, this world will...\Pn-Pneumococcus?\Yeah.\The Pneumococci are pathogenic bacteria of the respiratory system response:	that trigger pneumonia and other diseases,
context: This isn't looking good!\He's a Pneumococcus!\If I don't kill him right away, he'll start dividing!\And if that happens, this world will...\Pn-Pneumococcus?\Yeah.\The Pneumococci are pathogenic bacteria of the respiratory system\that trigger pneumonia and other diseases, response:	not to mention highly toxic germs that wield capsules!
context: He's a Pneumococcus!\If I don't kill him right away, he'll start dividing!\And if that happens, this world will...\Pn-Pneumococcus?\Yeah.\The Pneumococci are pathogenic bacteria of the respiratory system\that trigger pneumonia and other diseases,\not to mention highly toxic germs that wield capsules! response:	No way! I'm actually on my way to the lungs myself!
context: If I don't kill him right away, he'll start dividing!\And if that happens, this world will...\Pn-Pneumococcus?\Yeah.\The Pneumococci are pathogenic bacteria of the respiratory system\that trigger pneumonia and other diseases,\not to mention highly toxic germs that wield capsules!\No way! I'm actually on my way to the lungs myself! response:	URINE
context: And if that happens, this world will...\Pn-Pneumococcus?\Yeah.\The Pneumococci are pathogenic bacteria of the respiratory system\that trigger pneumonia and other diseases,\not to mention highly toxic germs that wield capsules!\No way! I'm actually on my way to the lungs myself!\URINE response:	This is a kidney.
context: Pn-Pneumococcus?\Yeah.\The Pneumococci are pathogenic bacteria of the respiratory system\that trigger pneumonia and other diseases,\not to mention highly toxic germs that wield capsules!\No way! I'm actually on my way to the lungs myself!\URINE\This is a kidney. response:	Oh, I'm lost!
