context: I'm surprised you're knockin' back the booze during an emergency like this. response:	Hey, I know this guy. He's Gryder, a notorious drunk around these parts.
context: There's no need for you to fixate on justice.\Right now, I need your strength.\That's why I'm here.\Lahar...\Come with me, Doranbolt.\I'll apologize if it'll help.\Alright?\I'm not Doranbolt. response:	My name is Mest. Call me that.
context: Right now, I need your strength.\That's why I'm here.\Lahar...\Come with me, Doranbolt.\I'll apologize if it'll help.\Alright?\I'm not Doranbolt.\My name is Mest. Call me that. response:	Alright. First, lay off the booze.
context: That's why I'm here.\Lahar...\Come with me, Doranbolt.\I'll apologize if it'll help.\Alright?\I'm not Doranbolt.\My name is Mest. Call me that.\Alright. First, lay off the booze. response:	Battle Discord!
context: Lahar...\Come with me, Doranbolt.\I'll apologize if it'll help.\Alright?\I'm not Doranbolt.\My name is Mest. Call me that.\Alright. First, lay off the booze.\Battle Discord! response:	Jackass! You're no Man!
context: Come with me, Doranbolt.\I'll apologize if it'll help.\Alright?\I'm not Doranbolt.\My name is Mest. Call me that.\Alright. First, lay off the booze.\Battle Discord!\Jackass! You're no Man! response:	I'll take care of you later, Octopus Man!
context: I'll apologize if it'll help.\Alright?\I'm not Doranbolt.\My name is Mest. Call me that.\Alright. First, lay off the booze.\Battle Discord!\Jackass! You're no Man!\I'll take care of you later, Octopus Man! response:	You must be really confident to look away!
context: Alright?\I'm not Doranbolt.\My name is Mest. Call me that.\Alright. First, lay off the booze.\Battle Discord!\Jackass! You're no Man!\I'll take care of you later, Octopus Man!\You must be really confident to look away! response:	Here it comes!
context: I'm not Doranbolt.\My name is Mest. Call me that.\Alright. First, lay off the booze.\Battle Discord!\Jackass! You're no Man!\I'll take care of you later, Octopus Man!\You must be really confident to look away!\Here it comes! response:	Magic Crunchy-kun!
context: My name is Mest. Call me that.\Alright. First, lay off the booze.\Battle Discord!\Jackass! You're no Man!\I'll take care of you later, Octopus Man!\You must be really confident to look away!\Here it comes!\Magic Crunchy-kun! response:	I can't see anything!
context: Alright. First, lay off the booze.\Battle Discord!\Jackass! You're no Man!\I'll take care of you later, Octopus Man!\You must be really confident to look away!\Here it comes!\Magic Crunchy-kun!\I can't see anything! response:	What the hell are you doin'?!
context: Battle Discord!\Jackass! You're no Man!\I'll take care of you later, Octopus Man!\You must be really confident to look away!\Here it comes!\Magic Crunchy-kun!\I can't see anything!\What the hell are you doin'?! response:	Sorry!
context: Jackass! You're no Man!\I'll take care of you later, Octopus Man!\You must be really confident to look away!\Here it comes!\Magic Crunchy-kun!\I can't see anything!\What the hell are you doin'?!\Sorry! response:	Wait!
context: I'll take care of you later, Octopus Man!\You must be really confident to look away!\Here it comes!\Magic Crunchy-kun!\I can't see anything!\What the hell are you doin'?!\Sorry!\Wait! response:	He's a tough opponent. We need to beat him with teamwork!
context: You must be really confident to look away!\Here it comes!\Magic Crunchy-kun!\I can't see anything!\What the hell are you doin'?!\Sorry!\Wait!\He's a tough opponent. We need to beat him with teamwork! response:	Alright!
context: Here it comes!\Magic Crunchy-kun!\I can't see anything!\What the hell are you doin'?!\Sorry!\Wait!\He's a tough opponent. We need to beat him with teamwork!\Alright! response:	Fine!
context: Magic Crunchy-kun!\I can't see anything!\What the hell are you doin'?!\Sorry!\Wait!\He's a tough opponent. We need to beat him with teamwork!\Alright!\Fine! response:	Cancer, please!
context: I can't see anything!\What the hell are you doin'?!\Sorry!\Wait!\He's a tough opponent. We need to beat him with teamwork!\Alright!\Fine!\Cancer, please! response:	Leave it to me-ebi!
context: What the hell are you doin'?!\Sorry!\Wait!\He's a tough opponent. We need to beat him with teamwork!\Alright!\Fine!\Cancer, please!\Leave it to me-ebi! response:	Man!
context: Sorry!\Wait!\He's a tough opponent. We need to beat him with teamwork!\Alright!\Fine!\Cancer, please!\Leave it to me-ebi!\Man! response:	Wing Slash of the Fire Dragon!
context: Wait!\He's a tough opponent. We need to beat him with teamwork!\Alright!\Fine!\Cancer, please!\Leave it to me-ebi!\Man!\Wing Slash of the Fire Dragon! response:	Here it comes! Steel Wall!
context: He's a tough opponent. We need to beat him with teamwork!\Alright!\Fine!\Cancer, please!\Leave it to me-ebi!\Man!\Wing Slash of the Fire Dragon!\Here it comes! Steel Wall! response:	Natsu, you moron!
context: Alright!\Fine!\Cancer, please!\Leave it to me-ebi!\Man!\Wing Slash of the Fire Dragon!\Here it comes! Steel Wall!\Natsu, you moron! response:	Do you mean to cook and eat me-ebi?!
context: Fine!\Cancer, please!\Leave it to me-ebi!\Man!\Wing Slash of the Fire Dragon!\Here it comes! Steel Wall!\Natsu, you moron!\Do you mean to cook and eat me-ebi?! response:	Uh-oh...
context: Cancer, please!\Leave it to me-ebi!\Man!\Wing Slash of the Fire Dragon!\Here it comes! Steel Wall!\Natsu, you moron!\Do you mean to cook and eat me-ebi?!\Uh-oh... response:	It's my fault?!
context: Leave it to me-ebi!\Man!\Wing Slash of the Fire Dragon!\Here it comes! Steel Wall!\Natsu, you moron!\Do you mean to cook and eat me-ebi?!\Uh-oh...\It's my fault?! response:	Who are you glarin' at?! I'll punch you first!
context: Man!\Wing Slash of the Fire Dragon!\Here it comes! Steel Wall!\Natsu, you moron!\Do you mean to cook and eat me-ebi?!\Uh-oh...\It's my fault?!\Who are you glarin' at?! I'll punch you first! response:	I wanna cut that hair-ebi!
context: Wing Slash of the Fire Dragon!\Here it comes! Steel Wall!\Natsu, you moron!\Do you mean to cook and eat me-ebi?!\Uh-oh...\It's my fault?!\Who are you glarin' at?! I'll punch you first!\I wanna cut that hair-ebi! response:	Don't fight amongst yourselves!
context: Here it comes! Steel Wall!\Natsu, you moron!\Do you mean to cook and eat me-ebi?!\Uh-oh...\It's my fault?!\Who are you glarin' at?! I'll punch you first!\I wanna cut that hair-ebi!\Don't fight amongst yourselves! response:	It looks like they just don't get along.
context: Natsu, you moron!\Do you mean to cook and eat me-ebi?!\Uh-oh...\It's my fault?!\Who are you glarin' at?! I'll punch you first!\I wanna cut that hair-ebi!\Don't fight amongst yourselves!\It looks like they just don't get along. response:	But...
context: Do you mean to cook and eat me-ebi?!\Uh-oh...\It's my fault?!\Who are you glarin' at?! I'll punch you first!\I wanna cut that hair-ebi!\Don't fight amongst yourselves!\It looks like they just don't get along.\But... response:	The combos should have good chemistry and their destinations should be on target.
context: Uh-oh...\It's my fault?!\Who are you glarin' at?! I'll punch you first!\I wanna cut that hair-ebi!\Don't fight amongst yourselves!\It looks like they just don't get along.\But...\The combos should have good chemistry and their destinations should be on target. response:	Chemistry, huh?
context: It's my fault?!\Who are you glarin' at?! I'll punch you first!\I wanna cut that hair-ebi!\Don't fight amongst yourselves!\It looks like they just don't get along.\But...\The combos should have good chemistry and their destinations should be on target.\Chemistry, huh? response:	Come on, already. My feet hurt...
context: Who are you glarin' at?! I'll punch you first!\I wanna cut that hair-ebi!\Don't fight amongst yourselves!\It looks like they just don't get along.\But...\The combos should have good chemistry and their destinations should be on target.\Chemistry, huh?\Come on, already. My feet hurt... response:	Who goes mountain climbing in heels?
context: I wanna cut that hair-ebi!\Don't fight amongst yourselves!\It looks like they just don't get along.\But...\The combos should have good chemistry and their destinations should be on target.\Chemistry, huh?\Come on, already. My feet hurt...\Who goes mountain climbing in heels? response:	Well, after all, I'm a fairy...
context: Don't fight amongst yourselves!\It looks like they just don't get along.\But...\The combos should have good chemistry and their destinations should be on target.\Chemistry, huh?\Come on, already. My feet hurt...\Who goes mountain climbing in heels?\Well, after all, I'm a fairy... response:	You lost me...
context: It looks like they just don't get along.\But...\The combos should have good chemistry and their destinations should be on target.\Chemistry, huh?\Come on, already. My feet hurt...\Who goes mountain climbing in heels?\Well, after all, I'm a fairy...\You lost me... response:	It hurts, it hurts...
context: But...\The combos should have good chemistry and their destinations should be on target.\Chemistry, huh?\Come on, already. My feet hurt...\Who goes mountain climbing in heels?\Well, after all, I'm a fairy...\You lost me...\It hurts, it hurts... response:	Shut up and walk.
context: The combos should have good chemistry and their destinations should be on target.\Chemistry, huh?\Come on, already. My feet hurt...\Who goes mountain climbing in heels?\Well, after all, I'm a fairy...\You lost me...\It hurts, it hurts...\Shut up and walk. response:	What's your problem?! I told you I'm in pain here!
context: Chemistry, huh?\Come on, already. My feet hurt...\Who goes mountain climbing in heels?\Well, after all, I'm a fairy...\You lost me...\It hurts, it hurts...\Shut up and walk.\What's your problem?! I told you I'm in pain here! response:	You should worry about me at least a little!
context: Come on, already. My feet hurt...\Who goes mountain climbing in heels?\Well, after all, I'm a fairy...\You lost me...\It hurts, it hurts...\Shut up and walk.\What's your problem?! I told you I'm in pain here!\You should worry about me at least a little! response:	You make a fuss just over that?
context: Who goes mountain climbing in heels?\Well, after all, I'm a fairy...\You lost me...\It hurts, it hurts...\Shut up and walk.\What's your problem?! I told you I'm in pain here!\You should worry about me at least a little!\You make a fuss just over that? response:	You should stop whining and focus on moving ahead.
context: Well, after all, I'm a fairy...\You lost me...\It hurts, it hurts...\Shut up and walk.\What's your problem?! I told you I'm in pain here!\You should worry about me at least a little!\You make a fuss just over that?\You should stop whining and focus on moving ahead. response:	Give me a break. Acting like she's the leader... Who appointed her?
context: You lost me...\It hurts, it hurts...\Shut up and walk.\What's your problem?! I told you I'm in pain here!\You should worry about me at least a little!\You make a fuss just over that?\You should stop whining and focus on moving ahead.\Give me a break. Acting like she's the leader... Who appointed her? response:	Did you say something?
context: It hurts, it hurts...\Shut up and walk.\What's your problem?! I told you I'm in pain here!\You should worry about me at least a little!\You make a fuss just over that?\You should stop whining and focus on moving ahead.\Give me a break. Acting like she's the leader... Who appointed her?\Did you say something? response:	Not especially...
context: Shut up and walk.\What's your problem?! I told you I'm in pain here!\You should worry about me at least a little!\You make a fuss just over that?\You should stop whining and focus on moving ahead.\Give me a break. Acting like she's the leader... Who appointed her?\Did you say something?\Not especially... response:	What a pain in the ass. Why were they put together?
context: What's your problem?! I told you I'm in pain here!\You should worry about me at least a little!\You make a fuss just over that?\You should stop whining and focus on moving ahead.\Give me a break. Acting like she's the leader... Who appointed her?\Did you say something?\Not especially...\What a pain in the ass. Why were they put together? response:	Somebody is complimenting me again.
context: You should worry about me at least a little!\You make a fuss just over that?\You should stop whining and focus on moving ahead.\Give me a break. Acting like she's the leader... Who appointed her?\Did you say something?\Not especially...\What a pain in the ass. Why were they put together?\Somebody is complimenting me again. response:	I wouldn't be too sure of that...
context: You make a fuss just over that?\You should stop whining and focus on moving ahead.\Give me a break. Acting like she's the leader... Who appointed her?\Did you say something?\Not especially...\What a pain in the ass. Why were they put together?\Somebody is complimenting me again.\I wouldn't be too sure of that... response:	What do you mean?!
context: You should stop whining and focus on moving ahead.\Give me a break. Acting like she's the leader... Who appointed her?\Did you say something?\Not especially...\What a pain in the ass. Why were they put together?\Somebody is complimenting me again.\I wouldn't be too sure of that...\What do you mean?! response:	There it is! Lightning Bonus!
context: Give me a break. Acting like she's the leader... Who appointed her?\Did you say something?\Not especially...\What a pain in the ass. Why were they put together?\Somebody is complimenting me again.\I wouldn't be too sure of that...\What do you mean?!\There it is! Lightning Bonus! response:	Nee-san, are you okay?!
context: Did you say something?\Not especially...\What a pain in the ass. Why were they put together?\Somebody is complimenting me again.\I wouldn't be too sure of that...\What do you mean?!\There it is! Lightning Bonus!\Nee-san, are you okay?! response:	I don't think I am...
context: Not especially...\What a pain in the ass. Why were they put together?\Somebody is complimenting me again.\I wouldn't be too sure of that...\What do you mean?!\There it is! Lightning Bonus!\Nee-san, are you okay?!\I don't think I am... response:	Up against my Slot Magic, you're less than worms!
context: What a pain in the ass. Why were they put together?\Somebody is complimenting me again.\I wouldn't be too sure of that...\What do you mean?!\There it is! Lightning Bonus!\Nee-san, are you okay?!\I don't think I am...\Up against my Slot Magic, you're less than worms! response:	I think I'll bombard you with dizzying changes!
context: Somebody is complimenting me again.\I wouldn't be too sure of that...\What do you mean?!\There it is! Lightning Bonus!\Nee-san, are you okay?!\I don't think I am...\Up against my Slot Magic, you're less than worms!\I think I'll bombard you with dizzying changes! response:	Bastard!
context: I wouldn't be too sure of that...\What do you mean?!\There it is! Lightning Bonus!\Nee-san, are you okay?!\I don't think I am...\Up against my Slot Magic, you're less than worms!\I think I'll bombard you with dizzying changes!\Bastard! response:	We won't accomplish anything like this! What do we do?
context: What do you mean?!\There it is! Lightning Bonus!\Nee-san, are you okay?!\I don't think I am...\Up against my Slot Magic, you're less than worms!\I think I'll bombard you with dizzying changes!\Bastard!\We won't accomplish anything like this! What do we do? response:	Ain't nothin' to think about! There's only one thing to do!
context: There it is! Lightning Bonus!\Nee-san, are you okay?!\I don't think I am...\Up against my Slot Magic, you're less than worms!\I think I'll bombard you with dizzying changes!\Bastard!\We won't accomplish anything like this! What do we do?\Ain't nothin' to think about! There's only one thing to do! response:	Kick his ass!
context: Nee-san, are you okay?!\I don't think I am...\Up against my Slot Magic, you're less than worms!\I think I'll bombard you with dizzying changes!\Bastard!\We won't accomplish anything like this! What do we do?\Ain't nothin' to think about! There's only one thing to do!\Kick his ass! response:	Okay!
context: I don't think I am...\Up against my Slot Magic, you're less than worms!\I think I'll bombard you with dizzying changes!\Bastard!\We won't accomplish anything like this! What do we do?\Ain't nothin' to think about! There's only one thing to do!\Kick his ass!\Okay! response:	Totally hot! A shaggy pool!
context: Up against my Slot Magic, you're less than worms!\I think I'll bombard you with dizzying changes!\Bastard!\We won't accomplish anything like this! What do we do?\Ain't nothin' to think about! There's only one thing to do!\Kick his ass!\Okay!\Totally hot! A shaggy pool! response:	Now this is my moment to shine-ebi!
context: I think I'll bombard you with dizzying changes!\Bastard!\We won't accomplish anything like this! What do we do?\Ain't nothin' to think about! There's only one thing to do!\Kick his ass!\Okay!\Totally hot! A shaggy pool!\Now this is my moment to shine-ebi! response:	Nobody asked you to do this!
context: Bastard!\We won't accomplish anything like this! What do we do?\Ain't nothin' to think about! There's only one thing to do!\Kick his ass!\Okay!\Totally hot! A shaggy pool!\Now this is my moment to shine-ebi!\Nobody asked you to do this! response:	Ebi... It was out of habit...
context: We won't accomplish anything like this! What do we do?\Ain't nothin' to think about! There's only one thing to do!\Kick his ass!\Okay!\Totally hot! A shaggy pool!\Now this is my moment to shine-ebi!\Nobody asked you to do this!\Ebi... It was out of habit... response:	Never mind teamwork, at this rate...
context: Ain't nothin' to think about! There's only one thing to do!\Kick his ass!\Okay!\Totally hot! A shaggy pool!\Now this is my moment to shine-ebi!\Nobody asked you to do this!\Ebi... It was out of habit...\Never mind teamwork, at this rate... response:	We're all different!
context: Kick his ass!\Okay!\Totally hot! A shaggy pool!\Now this is my moment to shine-ebi!\Nobody asked you to do this!\Ebi... It was out of habit...\Never mind teamwork, at this rate...\We're all different! response:	It can't be helped! Like they say, each to their own taste, right?
context: Okay!\Totally hot! A shaggy pool!\Now this is my moment to shine-ebi!\Nobody asked you to do this!\Ebi... It was out of habit...\Never mind teamwork, at this rate...\We're all different!\It can't be helped! Like they say, each to their own taste, right? response:	Yeah, but I've got fish, you have Darjeeling tea...
context: Totally hot! A shaggy pool!\Now this is my moment to shine-ebi!\Nobody asked you to do this!\Ebi... It was out of habit...\Never mind teamwork, at this rate...\We're all different!\It can't be helped! Like they say, each to their own taste, right?\Yeah, but I've got fish, you have Darjeeling tea... response:	It's delicious when you sink your teeth into it, skin and all.
context: Now this is my moment to shine-ebi!\Nobody asked you to do this!\Ebi... It was out of habit...\Never mind teamwork, at this rate...\We're all different!\It can't be helped! Like they say, each to their own taste, right?\Yeah, but I've got fish, you have Darjeeling tea...\It's delicious when you sink your teeth into it, skin and all. response:	Is that how you're supposed to eat it?
context: Nobody asked you to do this!\Ebi... It was out of habit...\Never mind teamwork, at this rate...\We're all different!\It can't be helped! Like they say, each to their own taste, right?\Yeah, but I've got fish, you have Darjeeling tea...\It's delicious when you sink your teeth into it, skin and all.\Is that how you're supposed to eat it? response:	The sour taste spreads through my mouth, along with a subtle sweetness,
context: Ebi... It was out of habit...\Never mind teamwork, at this rate...\We're all different!\It can't be helped! Like they say, each to their own taste, right?\Yeah, but I've got fish, you have Darjeeling tea...\It's delicious when you sink your teeth into it, skin and all.\Is that how you're supposed to eat it?\The sour taste spreads through my mouth, along with a subtle sweetness, response:	and the sensation of the skin!
context: Never mind teamwork, at this rate...\We're all different!\It can't be helped! Like they say, each to their own taste, right?\Yeah, but I've got fish, you have Darjeeling tea...\It's delicious when you sink your teeth into it, skin and all.\Is that how you're supposed to eat it?\The sour taste spreads through my mouth, along with a subtle sweetness,\and the sensation of the skin! response:	It's delicious! I can't get enough!
context: We're all different!\It can't be helped! Like they say, each to their own taste, right?\Yeah, but I've got fish, you have Darjeeling tea...\It's delicious when you sink your teeth into it, skin and all.\Is that how you're supposed to eat it?\The sour taste spreads through my mouth, along with a subtle sweetness,\and the sensation of the skin!\It's delicious! I can't get enough! response:	The sensation of the skin?
context: It can't be helped! Like they say, each to their own taste, right?\Yeah, but I've got fish, you have Darjeeling tea...\It's delicious when you sink your teeth into it, skin and all.\Is that how you're supposed to eat it?\The sour taste spreads through my mouth, along with a subtle sweetness,\and the sensation of the skin!\It's delicious! I can't get enough!\The sensation of the skin? response:	What's that smell?
context: Yeah, but I've got fish, you have Darjeeling tea...\It's delicious when you sink your teeth into it, skin and all.\Is that how you're supposed to eat it?\The sour taste spreads through my mouth, along with a subtle sweetness,\and the sensation of the skin!\It's delicious! I can't get enough!\The sensation of the skin?\What's that smell? response:	As for me, I like this...
context: It's delicious when you sink your teeth into it, skin and all.\Is that how you're supposed to eat it?\The sour taste spreads through my mouth, along with a subtle sweetness,\and the sensation of the skin!\It's delicious! I can't get enough!\The sensation of the skin?\What's that smell?\As for me, I like this... response:	Mushrooms sauteed in butter.
context: Is that how you're supposed to eat it?\The sour taste spreads through my mouth, along with a subtle sweetness,\and the sensation of the skin!\It's delicious! I can't get enough!\The sensation of the skin?\What's that smell?\As for me, I like this...\Mushrooms sauteed in butter. response:	Sammy!
context: The sour taste spreads through my mouth, along with a subtle sweetness,\and the sensation of the skin!\It's delicious! I can't get enough!\The sensation of the skin?\What's that smell?\As for me, I like this...\Mushrooms sauteed in butter.\Sammy! response:	Hello, Nii-san. Happy and Carla, too.
context: and the sensation of the skin!\It's delicious! I can't get enough!\The sensation of the skin?\What's that smell?\As for me, I like this...\Mushrooms sauteed in butter.\Sammy!\Hello, Nii-san. Happy and Carla, too. response:	You're all silly little brats!
context: It's delicious! I can't get enough!\The sensation of the skin?\What's that smell?\As for me, I like this...\Mushrooms sauteed in butter.\Sammy!\Hello, Nii-san. Happy and Carla, too.\You're all silly little brats! response:	It's comin' again!
context: The sensation of the skin?\What's that smell?\As for me, I like this...\Mushrooms sauteed in butter.\Sammy!\Hello, Nii-san. Happy and Carla, too.\You're all silly little brats!\It's comin' again! response:	Rain...
context: What's that smell?\As for me, I like this...\Mushrooms sauteed in butter.\Sammy!\Hello, Nii-san. Happy and Carla, too.\You're all silly little brats!\It's comin' again!\Rain... response:	Rain? I see!
context: As for me, I like this...\Mushrooms sauteed in butter.\Sammy!\Hello, Nii-san. Happy and Carla, too.\You're all silly little brats!\It's comin' again!\Rain...\Rain? I see! response:	Gate of the Water Bearer, I open thee!
context: Mushrooms sauteed in butter.\Sammy!\Hello, Nii-san. Happy and Carla, too.\You're all silly little brats!\It's comin' again!\Rain...\Rain? I see!\Gate of the Water Bearer, I open thee! response:	Aquarius!
context: Sammy!\Hello, Nii-san. Happy and Carla, too.\You're all silly little brats!\It's comin' again!\Rain...\Rain? I see!\Gate of the Water Bearer, I open thee!\Aquarius! response:	You called, girl?
context: Hello, Nii-san. Happy and Carla, too.\You're all silly little brats!\It's comin' again!\Rain...\Rain? I see!\Gate of the Water Bearer, I open thee!\Aquarius!\You called, girl? response:	And you summoned me again from muddy water...
context: You're all silly little brats!\It's comin' again!\Rain...\Rain? I see!\Gate of the Water Bearer, I open thee!\Aquarius!\You called, girl?\And you summoned me again from muddy water... response:	You looking to get hurt?!
context: It's comin' again!\Rain...\Rain? I see!\Gate of the Water Bearer, I open thee!\Aquarius!\You called, girl?\And you summoned me again from muddy water...\You looking to get hurt?! response:	I-I'm sorry...
context: Rain...\Rain? I see!\Gate of the Water Bearer, I open thee!\Aquarius!\You called, girl?\And you summoned me again from muddy water...\You looking to get hurt?!\I-I'm sorry... response:	But don't threaten me! Do something about that machine monster!
context: Rain? I see!\Gate of the Water Bearer, I open thee!\Aquarius!\You called, girl?\And you summoned me again from muddy water...\You looking to get hurt?!\I-I'm sorry...\But don't threaten me! Do something about that machine monster! response:	Why do you always summon me when I'm on a date?
context: Gate of the Water Bearer, I open thee!\Aquarius!\You called, girl?\And you summoned me again from muddy water...\You looking to get hurt?!\I-I'm sorry...\But don't threaten me! Do something about that machine monster!\Why do you always summon me when I'm on a date? response:	Out of jealousy?
context: Aquarius!\You called, girl?\And you summoned me again from muddy water...\You looking to get hurt?!\I-I'm sorry...\But don't threaten me! Do something about that machine monster!\Why do you always summon me when I'm on a date?\Out of jealousy? response:	No...
