context: Hina response:	Hina was deeply troubled.
context: And they're so neat. You're good with your hands, Kiriyama.\I'm glad I asked you to come over. After all, I bought 4 kilograms.\The baseball team from Hina's middle school is having a game.\I've never eaten boiled chestnuts before.\But you can eat this inner brown skin, huh?\That's right. You have to boil it for a while, though.\It keeps well, so it's the perfect winter snack.\And it seems the boy Hina is concerned about will be playing in the game. response:	He's the son of the milkman. The tall boy named Takahashi.
context: I'm glad I asked you to come over. After all, I bought 4 kilograms.\The baseball team from Hina's middle school is having a game.\I've never eaten boiled chestnuts before.\But you can eat this inner brown skin, huh?\That's right. You have to boil it for a while, though.\It keeps well, so it's the perfect winter snack.\And it seems the boy Hina is concerned about will be playing in the game.\He's the son of the milkman. The tall boy named Takahashi. response:	It's like he drank every drop from his parent's milk shop.
context: The baseball team from Hina's middle school is having a game.\I've never eaten boiled chestnuts before.\But you can eat this inner brown skin, huh?\That's right. You have to boil it for a while, though.\It keeps well, so it's the perfect winter snack.\And it seems the boy Hina is concerned about will be playing in the game.\He's the son of the milkman. The tall boy named Takahashi.\It's like he drank every drop from his parent's milk shop. response:	Takahashi Milk
context: I've never eaten boiled chestnuts before.\But you can eat this inner brown skin, huh?\That's right. You have to boil it for a while, though.\It keeps well, so it's the perfect winter snack.\And it seems the boy Hina is concerned about will be playing in the game.\He's the son of the milkman. The tall boy named Takahashi.\It's like he drank every drop from his parent's milk shop.\Takahashi Milk response:	He was even shorter than Hina back in elementary school.
context: But you can eat this inner brown skin, huh?\That's right. You have to boil it for a while, though.\It keeps well, so it's the perfect winter snack.\And it seems the boy Hina is concerned about will be playing in the game.\He's the son of the milkman. The tall boy named Takahashi.\It's like he drank every drop from his parent's milk shop.\Takahashi Milk\He was even shorter than Hina back in elementary school. response:	Takahashi Milk
context: That's right. You have to boil it for a while, though.\It keeps well, so it's the perfect winter snack.\And it seems the boy Hina is concerned about will be playing in the game.\He's the son of the milkman. The tall boy named Takahashi.\It's like he drank every drop from his parent's milk shop.\Takahashi Milk\He was even shorter than Hina back in elementary school.\Takahashi Milk response:	And now he's the baseball team's ace and the idol of Hina's school.
context: It keeps well, so it's the perfect winter snack.\And it seems the boy Hina is concerned about will be playing in the game.\He's the son of the milkman. The tall boy named Takahashi.\It's like he drank every drop from his parent's milk shop.\Takahashi Milk\He was even shorter than Hina back in elementary school.\Takahashi Milk\And now he's the baseball team's ace and the idol of Hina's school. response:	So it seems Hina wants to give this boy
context: And it seems the boy Hina is concerned about will be playing in the game.\He's the son of the milkman. The tall boy named Takahashi.\It's like he drank every drop from his parent's milk shop.\Takahashi Milk\He was even shorter than Hina back in elementary school.\Takahashi Milk\And now he's the baseball team's ace and the idol of Hina's school.\So it seems Hina wants to give this boy response:	named Takahashi, who she's concerned about, a homemade lunch.
context: He's the son of the milkman. The tall boy named Takahashi.\It's like he drank every drop from his parent's milk shop.\Takahashi Milk\He was even shorter than Hina back in elementary school.\Takahashi Milk\And now he's the baseball team's ace and the idol of Hina's school.\So it seems Hina wants to give this boy\named Takahashi, who she's concerned about, a homemade lunch. response:	You've got more competition now, huh?
context: It's like he drank every drop from his parent's milk shop.\Takahashi Milk\He was even shorter than Hina back in elementary school.\Takahashi Milk\And now he's the baseball team's ace and the idol of Hina's school.\So it seems Hina wants to give this boy\named Takahashi, who she's concerned about, a homemade lunch.\You've got more competition now, huh? response:	Even though Hina's had a crush on Takahashi since elementary school.
context: Takahashi Milk\He was even shorter than Hina back in elementary school.\Takahashi Milk\And now he's the baseball team's ace and the idol of Hina's school.\So it seems Hina wants to give this boy\named Takahashi, who she's concerned about, a homemade lunch.\You've got more competition now, huh?\Even though Hina's had a crush on Takahashi since elementary school. response:	I-I do not! It's not like that!
context: He was even shorter than Hina back in elementary school.\Takahashi Milk\And now he's the baseball team's ace and the idol of Hina's school.\So it seems Hina wants to give this boy\named Takahashi, who she's concerned about, a homemade lunch.\You've got more competition now, huh?\Even though Hina's had a crush on Takahashi since elementary school.\I-I do not! It's not like that! response:	Don't say it like it's that kind of thing!
context: Takahashi Milk\And now he's the baseball team's ace and the idol of Hina's school.\So it seems Hina wants to give this boy\named Takahashi, who she's concerned about, a homemade lunch.\You've got more competition now, huh?\Even though Hina's had a crush on Takahashi since elementary school.\I-I do not! It's not like that!\Don't say it like it's that kind of thing! response:	Stupid Sis!
context: And now he's the baseball team's ace and the idol of Hina's school.\So it seems Hina wants to give this boy\named Takahashi, who she's concerned about, a homemade lunch.\You've got more competition now, huh?\Even though Hina's had a crush on Takahashi since elementary school.\I-I do not! It's not like that!\Don't say it like it's that kind of thing!\Stupid Sis! response:	Yes, yes. Sorry, sorry.
context: So it seems Hina wants to give this boy\named Takahashi, who she's concerned about, a homemade lunch.\You've got more competition now, huh?\Even though Hina's had a crush on Takahashi since elementary school.\I-I do not! It's not like that!\Don't say it like it's that kind of thing!\Stupid Sis!\Yes, yes. Sorry, sorry. response:	And it's the night before this young lady's big event, playing out before my very eyes.
context: named Takahashi, who she's concerned about, a homemade lunch.\You've got more competition now, huh?\Even though Hina's had a crush on Takahashi since elementary school.\I-I do not! It's not like that!\Don't say it like it's that kind of thing!\Stupid Sis!\Yes, yes. Sorry, sorry.\And it's the night before this young lady's big event, playing out before my very eyes. response:	HmHm
context: You've got more competition now, huh?\Even though Hina's had a crush on Takahashi since elementary school.\I-I do not! It's not like that!\Don't say it like it's that kind of thing!\Stupid Sis!\Yes, yes. Sorry, sorry.\And it's the night before this young lady's big event, playing out before my very eyes.\HmHm response:	Loves attentive work
context: Even though Hina's had a crush on Takahashi since elementary school.\I-I do not! It's not like that!\Don't say it like it's that kind of thing!\Stupid Sis!\Yes, yes. Sorry, sorry.\And it's the night before this young lady's big event, playing out before my very eyes.\HmHm\Loves attentive work response:	Crunch Crunch
context: I-I do not! It's not like that!\Don't say it like it's that kind of thing!\Stupid Sis!\Yes, yes. Sorry, sorry.\And it's the night before this young lady's big event, playing out before my very eyes.\HmHm\Loves attentive work\Crunch Crunch response:	While I peel the skin off of chestnuts that are due to be boiled.
context: Don't say it like it's that kind of thing!\Stupid Sis!\Yes, yes. Sorry, sorry.\And it's the night before this young lady's big event, playing out before my very eyes.\HmHm\Loves attentive work\Crunch Crunch\While I peel the skin off of chestnuts that are due to be boiled. response:	How about this?
context: Stupid Sis!\Yes, yes. Sorry, sorry.\And it's the night before this young lady's big event, playing out before my very eyes.\HmHm\Loves attentive work\Crunch Crunch\While I peel the skin off of chestnuts that are due to be boiled.\How about this? response:	Here, let me see.
context: Yes, yes. Sorry, sorry.\And it's the night before this young lady's big event, playing out before my very eyes.\HmHm\Loves attentive work\Crunch Crunch\While I peel the skin off of chestnuts that are due to be boiled.\How about this?\Here, let me see. response:	Pumpkin croquettes shaped like apples and a flower bed made of onigiri...
context: And it's the night before this young lady's big event, playing out before my very eyes.\HmHm\Loves attentive work\Crunch Crunch\While I peel the skin off of chestnuts that are due to be boiled.\How about this?\Here, let me see.\Pumpkin croquettes shaped like apples and a flower bed made of onigiri... response:	Boil the pumpkin, mash it, form it into balls, cover them with flour,
context: HmHm\Loves attentive work\Crunch Crunch\While I peel the skin off of chestnuts that are due to be boiled.\How about this?\Here, let me see.\Pumpkin croquettes shaped like apples and a flower bed made of onigiri...\Boil the pumpkin, mash it, form it into balls, cover them with flour, response:	then coat them with egg yolk and bread crumbs...
context: Loves attentive work\Crunch Crunch\While I peel the skin off of chestnuts that are due to be boiled.\How about this?\Here, let me see.\Pumpkin croquettes shaped like apples and a flower bed made of onigiri...\Boil the pumpkin, mash it, form it into balls, cover them with flour,\then coat them with egg yolk and bread crumbs... response:	Let's see.
context: Crunch Crunch\While I peel the skin off of chestnuts that are due to be boiled.\How about this?\Here, let me see.\Pumpkin croquettes shaped like apples and a flower bed made of onigiri...\Boil the pumpkin, mash it, form it into balls, cover them with flour,\then coat them with egg yolk and bread crumbs...\Let's see. response:	The game starts at 10, right? If you leave the house at 9:30...
context: While I peel the skin off of chestnuts that are due to be boiled.\How about this?\Here, let me see.\Pumpkin croquettes shaped like apples and a flower bed made of onigiri...\Boil the pumpkin, mash it, form it into balls, cover them with flour,\then coat them with egg yolk and bread crumbs...\Let's see.\The game starts at 10, right? If you leave the house at 9:30... response:	If you make something you've never made before, I think it's risky.
context: How about this?\Here, let me see.\Pumpkin croquettes shaped like apples and a flower bed made of onigiri...\Boil the pumpkin, mash it, form it into balls, cover them with flour,\then coat them with egg yolk and bread crumbs...\Let's see.\The game starts at 10, right? If you leave the house at 9:30...\If you make something you've never made before, I think it's risky. response:	You won't know how long it'll take, and it'll make you panic.
context: Here, let me see.\Pumpkin croquettes shaped like apples and a flower bed made of onigiri...\Boil the pumpkin, mash it, form it into balls, cover them with flour,\then coat them with egg yolk and bread crumbs...\Let's see.\The game starts at 10, right? If you leave the house at 9:30...\If you make something you've never made before, I think it's risky.\You won't know how long it'll take, and it'll make you panic. response:	If you panic, you'll make mistakes, like with the seasoning...
context: Pumpkin croquettes shaped like apples and a flower bed made of onigiri...\Boil the pumpkin, mash it, form it into balls, cover them with flour,\then coat them with egg yolk and bread crumbs...\Let's see.\The game starts at 10, right? If you leave the house at 9:30...\If you make something you've never made before, I think it's risky.\You won't know how long it'll take, and it'll make you panic.\If you panic, you'll make mistakes, like with the seasoning... response:	Th-Then what should I do?
context: Boil the pumpkin, mash it, form it into balls, cover them with flour,\then coat them with egg yolk and bread crumbs...\Let's see.\The game starts at 10, right? If you leave the house at 9:30...\If you make something you've never made before, I think it's risky.\You won't know how long it'll take, and it'll make you panic.\If you panic, you'll make mistakes, like with the seasoning...\Th-Then what should I do? response:	Like I said, fried chicken, rolled omelette,
context: then coat them with egg yolk and bread crumbs...\Let's see.\The game starts at 10, right? If you leave the house at 9:30...\If you make something you've never made before, I think it's risky.\You won't know how long it'll take, and it'll make you panic.\If you panic, you'll make mistakes, like with the seasoning...\Th-Then what should I do?\Like I said, fried chicken, rolled omelette, response:	and if you want something red, maybe cherry tomatoes.
context: Let's see.\The game starts at 10, right? If you leave the house at 9:30...\If you make something you've never made before, I think it's risky.\You won't know how long it'll take, and it'll make you panic.\If you panic, you'll make mistakes, like with the seasoning...\Th-Then what should I do?\Like I said, fried chicken, rolled omelette,\and if you want something red, maybe cherry tomatoes. response:	Is there anything I can eat, meow?
context: The game starts at 10, right? If you leave the house at 9:30...\If you make something you've never made before, I think it's risky.\You won't know how long it'll take, and it'll make you panic.\If you panic, you'll make mistakes, like with the seasoning...\Th-Then what should I do?\Like I said, fried chicken, rolled omelette,\and if you want something red, maybe cherry tomatoes.\Is there anything I can eat, meow? response:	No way, that's too normal! It's like an old woman's lunch! Forget it!
context: If you make something you've never made before, I think it's risky.\You won't know how long it'll take, and it'll make you panic.\If you panic, you'll make mistakes, like with the seasoning...\Th-Then what should I do?\Like I said, fried chicken, rolled omelette,\and if you want something red, maybe cherry tomatoes.\Is there anything I can eat, meow?\No way, that's too normal! It's like an old woman's lunch! Forget it! response:	Gong
context: You won't know how long it'll take, and it'll make you panic.\If you panic, you'll make mistakes, like with the seasoning...\Th-Then what should I do?\Like I said, fried chicken, rolled omelette,\and if you want something red, maybe cherry tomatoes.\Is there anything I can eat, meow?\No way, that's too normal! It's like an old woman's lunch! Forget it!\Gong response:	O-Old woman?
context: If you panic, you'll make mistakes, like with the seasoning...\Th-Then what should I do?\Like I said, fried chicken, rolled omelette,\and if you want something red, maybe cherry tomatoes.\Is there anything I can eat, meow?\No way, that's too normal! It's like an old woman's lunch! Forget it!\Gong\O-Old woman? response:	Hmph!
context: Th-Then what should I do?\Like I said, fried chicken, rolled omelette,\and if you want something red, maybe cherry tomatoes.\Is there anything I can eat, meow?\No way, that's too normal! It's like an old woman's lunch! Forget it!\Gong\O-Old woman?\Hmph! response:	Never mind! I'm going to decide on this one!
context: Like I said, fried chicken, rolled omelette,\and if you want something red, maybe cherry tomatoes.\Is there anything I can eat, meow?\No way, that's too normal! It's like an old woman's lunch! Forget it!\Gong\O-Old woman?\Hmph!\Never mind! I'm going to decide on this one! response:	Harumph!
context: and if you want something red, maybe cherry tomatoes.\Is there anything I can eat, meow?\No way, that's too normal! It's like an old woman's lunch! Forget it!\Gong\O-Old woman?\Hmph!\Never mind! I'm going to decide on this one!\Harumph! response:	Fine! Go ahead, do what you want! I won't give you anymore advice!
context: Is there anything I can eat, meow?\No way, that's too normal! It's like an old woman's lunch! Forget it!\Gong\O-Old woman?\Hmph!\Never mind! I'm going to decide on this one!\Harumph!\Fine! Go ahead, do what you want! I won't give you anymore advice! response:	Thump Thump
context: No way, that's too normal! It's like an old woman's lunch! Forget it!\Gong\O-Old woman?\Hmph!\Never mind! I'm going to decide on this one!\Harumph!\Fine! Go ahead, do what you want! I won't give you anymore advice!\Thump Thump response:	Nervous Nervous
context: Gong\O-Old woman?\Hmph!\Never mind! I'm going to decide on this one!\Harumph!\Fine! Go ahead, do what you want! I won't give you anymore advice!\Thump Thump\Nervous Nervous response:	Oh no, it's already this late?
context: O-Old woman?\Hmph!\Never mind! I'm going to decide on this one!\Harumph!\Fine! Go ahead, do what you want! I won't give you anymore advice!\Thump Thump\Nervous Nervous\Oh no, it's already this late? response:	Maru S closes at 10!
context: Hmph!\Never mind! I'm going to decide on this one!\Harumph!\Fine! Go ahead, do what you want! I won't give you anymore advice!\Thump Thump\Nervous Nervous\Oh no, it's already this late?\Maru S closes at 10! response:	M-My money...
context: Never mind! I'm going to decide on this one!\Harumph!\Fine! Go ahead, do what you want! I won't give you anymore advice!\Thump Thump\Nervous Nervous\Oh no, it's already this late?\Maru S closes at 10!\M-My money... response:	Empty
context: Harumph!\Fine! Go ahead, do what you want! I won't give you anymore advice!\Thump Thump\Nervous Nervous\Oh no, it's already this late?\Maru S closes at 10!\M-My money...\Empty response:	Um... Sis...
context: Fine! Go ahead, do what you want! I won't give you anymore advice!\Thump Thump\Nervous Nervous\Oh no, it's already this late?\Maru S closes at 10!\M-My money...\Empty\Um... Sis... response:	I want to buy all this, but I don't have enough money.
context: Thump Thump\Nervous Nervous\Oh no, it's already this late?\Maru S closes at 10!\M-My money...\Empty\Um... Sis...\I want to buy all this, but I don't have enough money. response:	Roll Roll
context: Nervous Nervous\Oh no, it's already this late?\Maru S closes at 10!\M-My money...\Empty\Um... Sis...\I want to buy all this, but I don't have enough money.\Roll Roll response:	Let's see...
context: Oh no, it's already this late?\Maru S closes at 10!\M-My money...\Empty\Um... Sis...\I want to buy all this, but I don't have enough money.\Roll Roll\Let's see... response:	Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,
context: Maru S closes at 10!\M-My money...\Empty\Um... Sis...\I want to buy all this, but I don't have enough money.\Roll Roll\Let's see...\Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs, response:	black pepper, radishes, olives, avocado, asparagus, baby corn,
context: M-My money...\Empty\Um... Sis...\I want to buy all this, but I don't have enough money.\Roll Roll\Let's see...\Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,\black pepper, radishes, olives, avocado, asparagus, baby corn, response:	balsamic vinegar, lemons, mushroom, red and yellow bell peppers,
context: Empty\Um... Sis...\I want to buy all this, but I don't have enough money.\Roll Roll\Let's see...\Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,\black pepper, radishes, olives, avocado, asparagus, baby corn,\balsamic vinegar, lemons, mushroom, red and yellow bell peppers, response:	Pet me some more! Purr, vroom, purr!
context: Um... Sis...\I want to buy all this, but I don't have enough money.\Roll Roll\Let's see...\Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,\black pepper, radishes, olives, avocado, asparagus, baby corn,\balsamic vinegar, lemons, mushroom, red and yellow bell peppers,\Pet me some more! Purr, vroom, purr! response:	king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...
context: I want to buy all this, but I don't have enough money.\Roll Roll\Let's see...\Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,\black pepper, radishes, olives, avocado, asparagus, baby corn,\balsamic vinegar, lemons, mushroom, red and yellow bell peppers,\Pet me some more! Purr, vroom, purr!\king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary... response:	How much do you intend to make?
context: Roll Roll\Let's see...\Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,\black pepper, radishes, olives, avocado, asparagus, baby corn,\balsamic vinegar, lemons, mushroom, red and yellow bell peppers,\Pet me some more! Purr, vroom, purr!\king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...\How much do you intend to make? response:	Or more like, how much do you intend to spend?
context: Let's see...\Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,\black pepper, radishes, olives, avocado, asparagus, baby corn,\balsamic vinegar, lemons, mushroom, red and yellow bell peppers,\Pet me some more! Purr, vroom, purr!\king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...\How much do you intend to make?\Or more like, how much do you intend to spend? response:	This is not cost-effective!
context: Chestnut pumpkin, ground beef, breadcrumbs, onions, eggs,\black pepper, radishes, olives, avocado, asparagus, baby corn,\balsamic vinegar, lemons, mushroom, red and yellow bell peppers,\Pet me some more! Purr, vroom, purr!\king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...\How much do you intend to make?\Or more like, how much do you intend to spend?\This is not cost-effective! response:	At a glance, this'll cost over 3,000 yen.
context: black pepper, radishes, olives, avocado, asparagus, baby corn,\balsamic vinegar, lemons, mushroom, red and yellow bell peppers,\Pet me some more! Purr, vroom, purr!\king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...\How much do you intend to make?\Or more like, how much do you intend to spend?\This is not cost-effective!\At a glance, this'll cost over 3,000 yen. response:	It's like a box lunch from a fancy restaurant!
context: balsamic vinegar, lemons, mushroom, red and yellow bell peppers,\Pet me some more! Purr, vroom, purr!\king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...\How much do you intend to make?\Or more like, how much do you intend to spend?\This is not cost-effective!\At a glance, this'll cost over 3,000 yen.\It's like a box lunch from a fancy restaurant! response:	Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?
context: Pet me some more! Purr, vroom, purr!\king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...\How much do you intend to make?\Or more like, how much do you intend to spend?\This is not cost-effective!\At a glance, this'll cost over 3,000 yen.\It's like a box lunch from a fancy restaurant!\Why do we have to take 3,000 yen from our food expenses for some other kid's lunch? response:	And we only buy milk when it's on sale for 158 yen!
context: king oyster mushrooms, fresh basil, decorative cups and toothpicks, rosemary...\How much do you intend to make?\Or more like, how much do you intend to spend?\This is not cost-effective!\At a glance, this'll cost over 3,000 yen.\It's like a box lunch from a fancy restaurant!\Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?\And we only buy milk when it's on sale for 158 yen! response:	Clench!
context: How much do you intend to make?\Or more like, how much do you intend to spend?\This is not cost-effective!\At a glance, this'll cost over 3,000 yen.\It's like a box lunch from a fancy restaurant!\Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?\And we only buy milk when it's on sale for 158 yen!\Clench! response:	I don't want to!
context: Or more like, how much do you intend to spend?\This is not cost-effective!\At a glance, this'll cost over 3,000 yen.\It's like a box lunch from a fancy restaurant!\Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?\And we only buy milk when it's on sale for 158 yen!\Clench!\I don't want to! response:	What, you say some other kid,
context: This is not cost-effective!\At a glance, this'll cost over 3,000 yen.\It's like a box lunch from a fancy restaurant!\Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?\And we only buy milk when it's on sale for 158 yen!\Clench!\I don't want to!\What, you say some other kid, response:	but aren't the cats and Kiriyama the same?!
context: At a glance, this'll cost over 3,000 yen.\It's like a box lunch from a fancy restaurant!\Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?\And we only buy milk when it's on sale for 158 yen!\Clench!\I don't want to!\What, you say some other kid,\but aren't the cats and Kiriyama the same?! response:	Bloomph...
context: It's like a box lunch from a fancy restaurant!\Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?\And we only buy milk when it's on sale for 158 yen!\Clench!\I don't want to!\What, you say some other kid,\but aren't the cats and Kiriyama the same?!\Bloomph... response:	Glossy
context: Why do we have to take 3,000 yen from our food expenses for some other kid's lunch?\And we only buy milk when it's on sale for 158 yen!\Clench!\I don't want to!\What, you say some other kid,\but aren't the cats and Kiriyama the same?!\Bloomph...\Glossy response:	Some other kids
context: And we only buy milk when it's on sale for 158 yen!\Clench!\I don't want to!\What, you say some other kid,\but aren't the cats and Kiriyama the same?!\Bloomph...\Glossy\Some other kids response:	Why do you get to use up all the money on some other peoples' kids?
context: Clench!\I don't want to!\What, you say some other kid,\but aren't the cats and Kiriyama the same?!\Bloomph...\Glossy\Some other kids\Why do you get to use up all the money on some other peoples' kids? response:	Rei, are you someone else's kid?
context: I don't want to!\What, you say some other kid,\but aren't the cats and Kiriyama the same?!\Bloomph...\Glossy\Some other kids\Why do you get to use up all the money on some other peoples' kids?\Rei, are you someone else's kid? response:	Where did you come from? You're not Momo's big brother?
context: What, you say some other kid,\but aren't the cats and Kiriyama the same?!\Bloomph...\Glossy\Some other kids\Why do you get to use up all the money on some other peoples' kids?\Rei, are you someone else's kid?\Where did you come from? You're not Momo's big brother? response:	Uh... Well... I'm sorry.
context: but aren't the cats and Kiriyama the same?!\Bloomph...\Glossy\Some other kids\Why do you get to use up all the money on some other peoples' kids?\Rei, are you someone else's kid?\Where did you come from? You're not Momo's big brother?\Uh... Well... I'm sorry. response:	This is awkward...
context: Bloomph...\Glossy\Some other kids\Why do you get to use up all the money on some other peoples' kids?\Rei, are you someone else's kid?\Where did you come from? You're not Momo's big brother?\Uh... Well... I'm sorry.\This is awkward... response:	Um... er... I'm sorry.
context: Glossy\Some other kids\Why do you get to use up all the money on some other peoples' kids?\Rei, are you someone else's kid?\Where did you come from? You're not Momo's big brother?\Uh... Well... I'm sorry.\This is awkward...\Um... er... I'm sorry. response:	No, I'm the one who's sorry.
context: Some other kids\Why do you get to use up all the money on some other peoples' kids?\Rei, are you someone else's kid?\Where did you come from? You're not Momo's big brother?\Uh... Well... I'm sorry.\This is awkward...\Um... er... I'm sorry.\No, I'm the one who's sorry. response:	I tried to pay for my share of the food before, but Akari wouldn't let me.
