context: So here's where you were. response:	What are you reading?
context: Is that right?\Then I'll make puppets out of you!\Nee-chan, what's wrong?!\Mira-nee!\Conducting Magic, Second Movement!\This is a forbidden move, but I'll show it to you just this once!\Coming out of Mira-nee's body...\Satan Soul?! response:	Nee-chan!
context: Then I'll make puppets out of you!\Nee-chan, what's wrong?!\Mira-nee!\Conducting Magic, Second Movement!\This is a forbidden move, but I'll show it to you just this once!\Coming out of Mira-nee's body...\Satan Soul?!\Nee-chan! response:	Mira-nee!
context: Nee-chan, what's wrong?!\Mira-nee!\Conducting Magic, Second Movement!\This is a forbidden move, but I'll show it to you just this once!\Coming out of Mira-nee's body...\Satan Soul?!\Nee-chan!\Mira-nee! response:	Do away with these adorable siblings!
context: Mira-nee!\Conducting Magic, Second Movement!\This is a forbidden move, but I'll show it to you just this once!\Coming out of Mira-nee's body...\Satan Soul?!\Nee-chan!\Mira-nee!\Do away with these adorable siblings! response:	No...
context: Conducting Magic, Second Movement!\This is a forbidden move, but I'll show it to you just this once!\Coming out of Mira-nee's body...\Satan Soul?!\Nee-chan!\Mira-nee!\Do away with these adorable siblings!\No... response:	Beast Soul!
context: This is a forbidden move, but I'll show it to you just this once!\Coming out of Mira-nee's body...\Satan Soul?!\Nee-chan!\Mira-nee!\Do away with these adorable siblings!\No...\Beast Soul! response:	Awesome!
context: Coming out of Mira-nee's body...\Satan Soul?!\Nee-chan!\Mira-nee!\Do away with these adorable siblings!\No...\Beast Soul!\Awesome! response:	Oh, no... What should I do?!
context: Satan Soul?!\Nee-chan!\Mira-nee!\Do away with these adorable siblings!\No...\Beast Soul!\Awesome!\Oh, no... What should I do?! response:	This is friggin' awesome.
context: Nee-chan!\Mira-nee!\Do away with these adorable siblings!\No...\Beast Soul!\Awesome!\Oh, no... What should I do?!\This is friggin' awesome. response:	Everybody who opposes His Grace are bad guys...
context: Mira-nee!\Do away with these adorable siblings!\No...\Beast Soul!\Awesome!\Oh, no... What should I do?!\This is friggin' awesome.\Everybody who opposes His Grace are bad guys... response:	And I'm gonna punish the bad guys!
context: Do away with these adorable siblings!\No...\Beast Soul!\Awesome!\Oh, no... What should I do?!\This is friggin' awesome.\Everybody who opposes His Grace are bad guys...\And I'm gonna punish the bad guys! response:	That was some fight between Lily and Sammy, huh?
context: No...\Beast Soul!\Awesome!\Oh, no... What should I do?!\This is friggin' awesome.\Everybody who opposes His Grace are bad guys...\And I'm gonna punish the bad guys!\That was some fight between Lily and Sammy, huh? response:	It was the first fight I saw between two Exceeds.
context: Beast Soul!\Awesome!\Oh, no... What should I do?!\This is friggin' awesome.\Everybody who opposes His Grace are bad guys...\And I'm gonna punish the bad guys!\That was some fight between Lily and Sammy, huh?\It was the first fight I saw between two Exceeds. response:	Since they're the same race and all, they ought to become friends, you know?
context: Awesome!\Oh, no... What should I do?!\This is friggin' awesome.\Everybody who opposes His Grace are bad guys...\And I'm gonna punish the bad guys!\That was some fight between Lily and Sammy, huh?\It was the first fight I saw between two Exceeds.\Since they're the same race and all, they ought to become friends, you know? response:	That one is incredibly conceited, though...
context: Oh, no... What should I do?!\This is friggin' awesome.\Everybody who opposes His Grace are bad guys...\And I'm gonna punish the bad guys!\That was some fight between Lily and Sammy, huh?\It was the first fight I saw between two Exceeds.\Since they're the same race and all, they ought to become friends, you know?\That one is incredibly conceited, though... response:	By the way...
context: This is friggin' awesome.\Everybody who opposes His Grace are bad guys...\And I'm gonna punish the bad guys!\That was some fight between Lily and Sammy, huh?\It was the first fight I saw between two Exceeds.\Since they're the same race and all, they ought to become friends, you know?\That one is incredibly conceited, though...\By the way... response:	Why is that Sammy cat following us?
context: Everybody who opposes His Grace are bad guys...\And I'm gonna punish the bad guys!\That was some fight between Lily and Sammy, huh?\It was the first fight I saw between two Exceeds.\Since they're the same race and all, they ought to become friends, you know?\That one is incredibly conceited, though...\By the way...\Why is that Sammy cat following us? response:	Pushy cat...
context: And I'm gonna punish the bad guys!\That was some fight between Lily and Sammy, huh?\It was the first fight I saw between two Exceeds.\Since they're the same race and all, they ought to become friends, you know?\That one is incredibly conceited, though...\By the way...\Why is that Sammy cat following us?\Pushy cat... response:	I'm not following you. I'm just observing.
context: That was some fight between Lily and Sammy, huh?\It was the first fight I saw between two Exceeds.\Since they're the same race and all, they ought to become friends, you know?\That one is incredibly conceited, though...\By the way...\Why is that Sammy cat following us?\Pushy cat...\I'm not following you. I'm just observing. response:	I'll tell you right now, we're not giving you this clock face!
context: It was the first fight I saw between two Exceeds.\Since they're the same race and all, they ought to become friends, you know?\That one is incredibly conceited, though...\By the way...\Why is that Sammy cat following us?\Pushy cat...\I'm not following you. I'm just observing.\I'll tell you right now, we're not giving you this clock face! response:	According to my calculations, it's better that I didn't collect it anyway.
context: Since they're the same race and all, they ought to become friends, you know?\That one is incredibly conceited, though...\By the way...\Why is that Sammy cat following us?\Pushy cat...\I'm not following you. I'm just observing.\I'll tell you right now, we're not giving you this clock face!\According to my calculations, it's better that I didn't collect it anyway. response:	What's that mean?
context: That one is incredibly conceited, though...\By the way...\Why is that Sammy cat following us?\Pushy cat...\I'm not following you. I'm just observing.\I'll tell you right now, we're not giving you this clock face!\According to my calculations, it's better that I didn't collect it anyway.\What's that mean? response:	I can't give you specifics, but...
context: By the way...\Why is that Sammy cat following us?\Pushy cat...\I'm not following you. I'm just observing.\I'll tell you right now, we're not giving you this clock face!\According to my calculations, it's better that I didn't collect it anyway.\What's that mean?\I can't give you specifics, but... response:	Nii-san. Can I have a moment?
context: Why is that Sammy cat following us?\Pushy cat...\I'm not following you. I'm just observing.\I'll tell you right now, we're not giving you this clock face!\According to my calculations, it's better that I didn't collect it anyway.\What's that mean?\I can't give you specifics, but...\Nii-san. Can I have a moment? response:	Look at this! There's a table that practically begs us to sit a spell.
context: Pushy cat...\I'm not following you. I'm just observing.\I'll tell you right now, we're not giving you this clock face!\According to my calculations, it's better that I didn't collect it anyway.\What's that mean?\I can't give you specifics, but...\Nii-san. Can I have a moment?\Look at this! There's a table that practically begs us to sit a spell. response:	How nice! Shall we have lunch here?
context: I'm not following you. I'm just observing.\I'll tell you right now, we're not giving you this clock face!\According to my calculations, it's better that I didn't collect it anyway.\What's that mean?\I can't give you specifics, but...\Nii-san. Can I have a moment?\Look at this! There's a table that practically begs us to sit a spell.\How nice! Shall we have lunch here? response:	That's fine...
context: I'll tell you right now, we're not giving you this clock face!\According to my calculations, it's better that I didn't collect it anyway.\What's that mean?\I can't give you specifics, but...\Nii-san. Can I have a moment?\Look at this! There's a table that practically begs us to sit a spell.\How nice! Shall we have lunch here?\That's fine... response:	And why was there a size that fit me?!
context: According to my calculations, it's better that I didn't collect it anyway.\What's that mean?\I can't give you specifics, but...\Nii-san. Can I have a moment?\Look at this! There's a table that practically begs us to sit a spell.\How nice! Shall we have lunch here?\That's fine...\And why was there a size that fit me?! response:	Well prepared means no worries!
context: What's that mean?\I can't give you specifics, but...\Nii-san. Can I have a moment?\Look at this! There's a table that practically begs us to sit a spell.\How nice! Shall we have lunch here?\That's fine...\And why was there a size that fit me?!\Well prepared means no worries! response:	What kind of preparation is this?!
context: I can't give you specifics, but...\Nii-san. Can I have a moment?\Look at this! There's a table that practically begs us to sit a spell.\How nice! Shall we have lunch here?\That's fine...\And why was there a size that fit me?!\Well prepared means no worries!\What kind of preparation is this?! response:	Part of it is to help you get over your trauma, Carla!
context: Nii-san. Can I have a moment?\Look at this! There's a table that practically begs us to sit a spell.\How nice! Shall we have lunch here?\That's fine...\And why was there a size that fit me?!\Well prepared means no worries!\What kind of preparation is this?!\Part of it is to help you get over your trauma, Carla! response:	Can she get over it this way?
context: Look at this! There's a table that practically begs us to sit a spell.\How nice! Shall we have lunch here?\That's fine...\And why was there a size that fit me?!\Well prepared means no worries!\What kind of preparation is this?!\Part of it is to help you get over your trauma, Carla!\Can she get over it this way? response:	Whether they like it or not, they're all into it...
context: How nice! Shall we have lunch here?\That's fine...\And why was there a size that fit me?!\Well prepared means no worries!\What kind of preparation is this?!\Part of it is to help you get over your trauma, Carla!\Can she get over it this way?\Whether they like it or not, they're all into it... response:	Besides, to try again to have the first picnic of my life...
context: That's fine...\And why was there a size that fit me?!\Well prepared means no worries!\What kind of preparation is this?!\Part of it is to help you get over your trauma, Carla!\Can she get over it this way?\Whether they like it or not, they're all into it...\Besides, to try again to have the first picnic of my life... response:	Is that right?
context: And why was there a size that fit me?!\Well prepared means no worries!\What kind of preparation is this?!\Part of it is to help you get over your trauma, Carla!\Can she get over it this way?\Whether they like it or not, they're all into it...\Besides, to try again to have the first picnic of my life...\Is that right? response:	We have to go this far for a first picnic...?
context: Well prepared means no worries!\What kind of preparation is this?!\Part of it is to help you get over your trauma, Carla!\Can she get over it this way?\Whether they like it or not, they're all into it...\Besides, to try again to have the first picnic of my life...\Is that right?\We have to go this far for a first picnic...? response:	But at that last picnic attempt, about this time...
context: What kind of preparation is this?!\Part of it is to help you get over your trauma, Carla!\Can she get over it this way?\Whether they like it or not, they're all into it...\Besides, to try again to have the first picnic of my life...\Is that right?\We have to go this far for a first picnic...?\But at that last picnic attempt, about this time... response:	Come on! Let's get started!
context: Part of it is to help you get over your trauma, Carla!\Can she get over it this way?\Whether they like it or not, they're all into it...\Besides, to try again to have the first picnic of my life...\Is that right?\We have to go this far for a first picnic...?\But at that last picnic attempt, about this time...\Come on! Let's get started! response:	Stop right where you are!
context: Can she get over it this way?\Whether they like it or not, they're all into it...\Besides, to try again to have the first picnic of my life...\Is that right?\We have to go this far for a first picnic...?\But at that last picnic attempt, about this time...\Come on! Let's get started!\Stop right where you are! response:	Who gave you permission to have a picnic here?!
context: Whether they like it or not, they're all into it...\Besides, to try again to have the first picnic of my life...\Is that right?\We have to go this far for a first picnic...?\But at that last picnic attempt, about this time...\Come on! Let's get started!\Stop right where you are!\Who gave you permission to have a picnic here?! response:	Wanna suck some mayonnaise?
context: Besides, to try again to have the first picnic of my life...\Is that right?\We have to go this far for a first picnic...?\But at that last picnic attempt, about this time...\Come on! Let's get started!\Stop right where you are!\Who gave you permission to have a picnic here?!\Wanna suck some mayonnaise? response:	Lackey A! Lackey B!
context: Is that right?\We have to go this far for a first picnic...?\But at that last picnic attempt, about this time...\Come on! Let's get started!\Stop right where you are!\Who gave you permission to have a picnic here?!\Wanna suck some mayonnaise?\Lackey A! Lackey B! response:	Tell'em who owns this plane!
context: We have to go this far for a first picnic...?\But at that last picnic attempt, about this time...\Come on! Let's get started!\Stop right where you are!\Who gave you permission to have a picnic here?!\Wanna suck some mayonnaise?\Lackey A! Lackey B!\Tell'em who owns this plane! response:	Gotcha, Boss!
context: But at that last picnic attempt, about this time...\Come on! Let's get started!\Stop right where you are!\Who gave you permission to have a picnic here?!\Wanna suck some mayonnaise?\Lackey A! Lackey B!\Tell'em who owns this plane!\Gotcha, Boss! response:	The owners of this grassy plane...
