context: 23rd - Summer Break 25th - Summer School Starts response:	x becomes 4. Substitute this value in the formula to calculate the value of y.
context: This piece just reeks too much of my mom.\So raw... and vivid... It closes in on me...\My mother must've had despised me, right?\No mother on earth despises her own child.\That day...\That was the moment you grew up, both as a person and as a pianist.\There's no way that wouldn't make Saki happy.\There you are! Sorry! response:	But it is just a little bit sad, you know.
context: So raw... and vivid... It closes in on me...\My mother must've had despised me, right?\No mother on earth despises her own child.\That day...\That was the moment you grew up, both as a person and as a pianist.\There's no way that wouldn't make Saki happy.\There you are! Sorry!\But it is just a little bit sad, you know. response:	To see your kid grow away from you...
context: My mother must've had despised me, right?\No mother on earth despises her own child.\That day...\That was the moment you grew up, both as a person and as a pianist.\There's no way that wouldn't make Saki happy.\There you are! Sorry!\But it is just a little bit sad, you know.\To see your kid grow away from you... response:	My mom...
context: No mother on earth despises her own child.\That day...\That was the moment you grew up, both as a person and as a pianist.\There's no way that wouldn't make Saki happy.\There you are! Sorry!\But it is just a little bit sad, you know.\To see your kid grow away from you...\My mom... response:	Do you think she'll forgive me?
context: That day...\That was the moment you grew up, both as a person and as a pianist.\There's no way that wouldn't make Saki happy.\There you are! Sorry!\But it is just a little bit sad, you know.\To see your kid grow away from you...\My mom...\Do you think she'll forgive me? response:	For trying so hard to forget all about her?
context: That was the moment you grew up, both as a person and as a pianist.\There's no way that wouldn't make Saki happy.\There you are! Sorry!\But it is just a little bit sad, you know.\To see your kid grow away from you...\My mom...\Do you think she'll forgive me?\For trying so hard to forget all about her? response:	Is it all right for me to play the piano?
context: There's no way that wouldn't make Saki happy.\There you are! Sorry!\But it is just a little bit sad, you know.\To see your kid grow away from you...\My mom...\Do you think she'll forgive me?\For trying so hard to forget all about her?\Is it all right for me to play the piano? response:	If that's how you feel, play.
context: There you are! Sorry!\But it is just a little bit sad, you know.\To see your kid grow away from you...\My mom...\Do you think she'll forgive me?\For trying so hard to forget all about her?\Is it all right for me to play the piano?\If that's how you feel, play. response:	If there's something holding you back, then play with conviction,
context: But it is just a little bit sad, you know.\To see your kid grow away from you...\My mom...\Do you think she'll forgive me?\For trying so hard to forget all about her?\Is it all right for me to play the piano?\If that's how you feel, play.\If there's something holding you back, then play with conviction, response:	and try to hear Saki's voice.
context: To see your kid grow away from you...\My mom...\Do you think she'll forgive me?\For trying so hard to forget all about her?\Is it all right for me to play the piano?\If that's how you feel, play.\If there's something holding you back, then play with conviction,\and try to hear Saki's voice. response:	Voice...
context: My mom...\Do you think she'll forgive me?\For trying so hard to forget all about her?\Is it all right for me to play the piano?\If that's how you feel, play.\If there's something holding you back, then play with conviction,\and try to hear Saki's voice.\Voice... response:	Don't sit there brooding over ridiculous matters,
context: Do you think she'll forgive me?\For trying so hard to forget all about her?\Is it all right for me to play the piano?\If that's how you feel, play.\If there's something holding you back, then play with conviction,\and try to hear Saki's voice.\Voice...\Don't sit there brooding over ridiculous matters, response:	it's high time you manned up!
context: For trying so hard to forget all about her?\Is it all right for me to play the piano?\If that's how you feel, play.\If there's something holding you back, then play with conviction,\and try to hear Saki's voice.\Voice...\Don't sit there brooding over ridiculous matters,\it's high time you manned up! response:	Play. You and I are pianists, you know.
context: Is it all right for me to play the piano?\If that's how you feel, play.\If there's something holding you back, then play with conviction,\and try to hear Saki's voice.\Voice...\Don't sit there brooding over ridiculous matters,\it's high time you manned up!\Play. You and I are pianists, you know. response:	A candy apple.
context: If that's how you feel, play.\If there's something holding you back, then play with conviction,\and try to hear Saki's voice.\Voice...\Don't sit there brooding over ridiculous matters,\it's high time you manned up!\Play. You and I are pianists, you know.\A candy apple. response:	You don't like candy apples?
context: If there's something holding you back, then play with conviction,\and try to hear Saki's voice.\Voice...\Don't sit there brooding over ridiculous matters,\it's high time you manned up!\Play. You and I are pianists, you know.\A candy apple.\You don't like candy apples? response:	It's not like that. It's just that I've never had one before...
context: and try to hear Saki's voice.\Voice...\Don't sit there brooding over ridiculous matters,\it's high time you manned up!\Play. You and I are pianists, you know.\A candy apple.\You don't like candy apples?\It's not like that. It's just that I've never had one before... response:	Don't cry! I'll eat it! I'll eat it, okay? Thanks!
context: Voice...\Don't sit there brooding over ridiculous matters,\it's high time you manned up!\Play. You and I are pianists, you know.\A candy apple.\You don't like candy apples?\It's not like that. It's just that I've never had one before...\Don't cry! I'll eat it! I'll eat it, okay? Thanks! response:	Am I being too harsh with him? But he's got to play.
context: Don't sit there brooding over ridiculous matters,\it's high time you manned up!\Play. You and I are pianists, you know.\A candy apple.\You don't like candy apples?\It's not like that. It's just that I've never had one before...\Don't cry! I'll eat it! I'll eat it, okay? Thanks!\Am I being too harsh with him? But he's got to play. response:	So that he can mature as a pianist...
context: it's high time you manned up!\Play. You and I are pianists, you know.\A candy apple.\You don't like candy apples?\It's not like that. It's just that I've never had one before...\Don't cry! I'll eat it! I'll eat it, okay? Thanks!\Am I being too harsh with him? But he's got to play.\So that he can mature as a pianist... response:	So that he can say goodbye.
context: Play. You and I are pianists, you know.\A candy apple.\You don't like candy apples?\It's not like that. It's just that I've never had one before...\Don't cry! I'll eat it! I'll eat it, okay? Thanks!\Am I being too harsh with him? But he's got to play.\So that he can mature as a pianist...\So that he can say goodbye. response:	Jeez!
context: A candy apple.\You don't like candy apples?\It's not like that. It's just that I've never had one before...\Don't cry! I'll eat it! I'll eat it, okay? Thanks!\Am I being too harsh with him? But he's got to play.\So that he can mature as a pianist...\So that he can say goodbye.\Jeez! response:	31st - Gala Concert
context: You don't like candy apples?\It's not like that. It's just that I've never had one before...\Don't cry! I'll eat it! I'll eat it, okay? Thanks!\Am I being too harsh with him? But he's got to play.\So that he can mature as a pianist...\So that he can say goodbye.\Jeez!\31st - Gala Concert response:	Look how late it is!
context: It's not like that. It's just that I've never had one before...\Don't cry! I'll eat it! I'll eat it, okay? Thanks!\Am I being too harsh with him? But he's got to play.\So that he can mature as a pianist...\So that he can say goodbye.\Jeez!\31st - Gala Concert\Look how late it is! response:	Yeah, because you wouldn't give up. What a baby!
context: Don't cry! I'll eat it! I'll eat it, okay? Thanks!\Am I being too harsh with him? But he's got to play.\So that he can mature as a pianist...\So that he can say goodbye.\Jeez!\31st - Gala Concert\Look how late it is!\Yeah, because you wouldn't give up. What a baby! response:	What about you, you kept whining about the piece!
context: Am I being too harsh with him? But he's got to play.\So that he can mature as a pianist...\So that he can say goodbye.\Jeez!\31st - Gala Concert\Look how late it is!\Yeah, because you wouldn't give up. What a baby!\What about you, you kept whining about the piece! response:	Since we're so late coming home, I wonder if your folks are mad...
context: So that he can mature as a pianist...\So that he can say goodbye.\Jeez!\31st - Gala Concert\Look how late it is!\Yeah, because you wouldn't give up. What a baby!\What about you, you kept whining about the piece!\Since we're so late coming home, I wonder if your folks are mad... response:	Hey, look up there! At the sky!
context: So that he can say goodbye.\Jeez!\31st - Gala Concert\Look how late it is!\Yeah, because you wouldn't give up. What a baby!\What about you, you kept whining about the piece!\Since we're so late coming home, I wonder if your folks are mad...\Hey, look up there! At the sky! response:	You're ignoring me?
context: Jeez!\31st - Gala Concert\Look how late it is!\Yeah, because you wouldn't give up. What a baby!\What about you, you kept whining about the piece!\Since we're so late coming home, I wonder if your folks are mad...\Hey, look up there! At the sky!\You're ignoring me? response:	The stars are so beautiful. It's like the stars are speaking to us!
context: 31st - Gala Concert\Look how late it is!\Yeah, because you wouldn't give up. What a baby!\What about you, you kept whining about the piece!\Since we're so late coming home, I wonder if your folks are mad...\Hey, look up there! At the sky!\You're ignoring me?\The stars are so beautiful. It's like the stars are speaking to us! response:	Twinkle, twinkle, little star, how I wonder what you are.
context: Look how late it is!\Yeah, because you wouldn't give up. What a baby!\What about you, you kept whining about the piece!\Since we're so late coming home, I wonder if your folks are mad...\Hey, look up there! At the sky!\You're ignoring me?\The stars are so beautiful. It's like the stars are speaking to us!\Twinkle, twinkle, little star, how I wonder what you are. response:	Up above the world so high, like a diamond in the sky.
context: Yeah, because you wouldn't give up. What a baby!\What about you, you kept whining about the piece!\Since we're so late coming home, I wonder if your folks are mad...\Hey, look up there! At the sky!\You're ignoring me?\The stars are so beautiful. It's like the stars are speaking to us!\Twinkle, twinkle, little star, how I wonder what you are.\Up above the world so high, like a diamond in the sky. response:	Twinkle, twinkle, little star, how I wonder what you are.
context: What about you, you kept whining about the piece!\Since we're so late coming home, I wonder if your folks are mad...\Hey, look up there! At the sky!\You're ignoring me?\The stars are so beautiful. It's like the stars are speaking to us!\Twinkle, twinkle, little star, how I wonder what you are.\Up above the world so high, like a diamond in the sky.\Twinkle, twinkle, little star, how I wonder what you are. response:	A cake shop?
context: Since we're so late coming home, I wonder if your folks are mad...\Hey, look up there! At the sky!\You're ignoring me?\The stars are so beautiful. It's like the stars are speaking to us!\Twinkle, twinkle, little star, how I wonder what you are.\Up above the world so high, like a diamond in the sky.\Twinkle, twinkle, little star, how I wonder what you are.\A cake shop? response:	I'm home!
context: Hey, look up there! At the sky!\You're ignoring me?\The stars are so beautiful. It's like the stars are speaking to us!\Twinkle, twinkle, little star, how I wonder what you are.\Up above the world so high, like a diamond in the sky.\Twinkle, twinkle, little star, how I wonder what you are.\A cake shop?\I'm home! response:	Hold on a sec!
context: You're ignoring me?\The stars are so beautiful. It's like the stars are speaking to us!\Twinkle, twinkle, little star, how I wonder what you are.\Up above the world so high, like a diamond in the sky.\Twinkle, twinkle, little star, how I wonder what you are.\A cake shop?\I'm home!\Hold on a sec! response:	I'll be heading home now.
context: The stars are so beautiful. It's like the stars are speaking to us!\Twinkle, twinkle, little star, how I wonder what you are.\Up above the world so high, like a diamond in the sky.\Twinkle, twinkle, little star, how I wonder what you are.\A cake shop?\I'm home!\Hold on a sec!\I'll be heading home now. response:	What do you want with my daughter?
context: Twinkle, twinkle, little star, how I wonder what you are.\Up above the world so high, like a diamond in the sky.\Twinkle, twinkle, little star, how I wonder what you are.\A cake shop?\I'm home!\Hold on a sec!\I'll be heading home now.\What do you want with my daughter? response:	Uh... I...
context: Up above the world so high, like a diamond in the sky.\Twinkle, twinkle, little star, how I wonder what you are.\A cake shop?\I'm home!\Hold on a sec!\I'll be heading home now.\What do you want with my daughter?\Uh... I... response:	Arima-kun?
context: Twinkle, twinkle, little star, how I wonder what you are.\A cake shop?\I'm home!\Hold on a sec!\I'll be heading home now.\What do you want with my daughter?\Uh... I...\Arima-kun? response:	Arima-kun?
context: A cake shop?\I'm home!\Hold on a sec!\I'll be heading home now.\What do you want with my daughter?\Uh... I...\Arima-kun?\Arima-kun? response:	Hey, if it isn't Arima-kun!
context: I'm home!\Hold on a sec!\I'll be heading home now.\What do you want with my daughter?\Uh... I...\Arima-kun?\Arima-kun?\Hey, if it isn't Arima-kun! response:	These are just leftovers, but have your fill, all right?
context: Hold on a sec!\I'll be heading home now.\What do you want with my daughter?\Uh... I...\Arima-kun?\Arima-kun?\Hey, if it isn't Arima-kun!\These are just leftovers, but have your fill, all right? response:	Th-Thank you very much!
context: I'll be heading home now.\What do you want with my daughter?\Uh... I...\Arima-kun?\Arima-kun?\Hey, if it isn't Arima-kun!\These are just leftovers, but have your fill, all right?\Th-Thank you very much! response:	We've got some test samples, too, right?
context: What do you want with my daughter?\Uh... I...\Arima-kun?\Arima-kun?\Hey, if it isn't Arima-kun!\These are just leftovers, but have your fill, all right?\Th-Thank you very much!\We've got some test samples, too, right? response:	Oh, but I've already had more than enough...
context: Uh... I...\Arima-kun?\Arima-kun?\Hey, if it isn't Arima-kun!\These are just leftovers, but have your fill, all right?\Th-Thank you very much!\We've got some test samples, too, right?\Oh, but I've already had more than enough... response:	My parents are fans of yours.
context: Arima-kun?\Arima-kun?\Hey, if it isn't Arima-kun!\These are just leftovers, but have your fill, all right?\Th-Thank you very much!\We've got some test samples, too, right?\Oh, but I've already had more than enough...\My parents are fans of yours. response:	When I was little, they came to hear you a lot.
context: Arima-kun?\Hey, if it isn't Arima-kun!\These are just leftovers, but have your fill, all right?\Th-Thank you very much!\We've got some test samples, too, right?\Oh, but I've already had more than enough...\My parents are fans of yours.\When I was little, they came to hear you a lot. response:	I heard all about it, Arima-kun!
context: Hey, if it isn't Arima-kun!\These are just leftovers, but have your fill, all right?\Th-Thank you very much!\We've got some test samples, too, right?\Oh, but I've already had more than enough...\My parents are fans of yours.\When I was little, they came to hear you a lot.\I heard all about it, Arima-kun! response:	You shouldn't abort your performances.
context: These are just leftovers, but have your fill, all right?\Th-Thank you very much!\We've got some test samples, too, right?\Oh, but I've already had more than enough...\My parents are fans of yours.\When I was little, they came to hear you a lot.\I heard all about it, Arima-kun!\You shouldn't abort your performances. response:	That's like flushing all your struggles till now down the drain!
context: Th-Thank you very much!\We've got some test samples, too, right?\Oh, but I've already had more than enough...\My parents are fans of yours.\When I was little, they came to hear you a lot.\I heard all about it, Arima-kun!\You shouldn't abort your performances.\That's like flushing all your struggles till now down the drain! response:	It's like baking a moist sponge cake,
context: We've got some test samples, too, right?\Oh, but I've already had more than enough...\My parents are fans of yours.\When I was little, they came to hear you a lot.\I heard all about it, Arima-kun!\You shouldn't abort your performances.\That's like flushing all your struggles till now down the drain!\It's like baking a moist sponge cake, response:	only for it to be totally ruined by some horrible-tasting cream!
context: Oh, but I've already had more than enough...\My parents are fans of yours.\When I was little, they came to hear you a lot.\I heard all about it, Arima-kun!\You shouldn't abort your performances.\That's like flushing all your struggles till now down the drain!\It's like baking a moist sponge cake,\only for it to be totally ruined by some horrible-tasting cream! response:	Sorry about that.
context: My parents are fans of yours.\When I was little, they came to hear you a lot.\I heard all about it, Arima-kun!\You shouldn't abort your performances.\That's like flushing all your struggles till now down the drain!\It's like baking a moist sponge cake,\only for it to be totally ruined by some horrible-tasting cream!\Sorry about that. response:	But I like a young man who does the unheard-of!
context: When I was little, they came to hear you a lot.\I heard all about it, Arima-kun!\You shouldn't abort your performances.\That's like flushing all your struggles till now down the drain!\It's like baking a moist sponge cake,\only for it to be totally ruined by some horrible-tasting cream!\Sorry about that.\But I like a young man who does the unheard-of! response:	Good for you!
context: I heard all about it, Arima-kun!\You shouldn't abort your performances.\That's like flushing all your struggles till now down the drain!\It's like baking a moist sponge cake,\only for it to be totally ruined by some horrible-tasting cream!\Sorry about that.\But I like a young man who does the unheard-of!\Good for you! response:	Once it's inside your stomach, there's no difference.
context: You shouldn't abort your performances.\That's like flushing all your struggles till now down the drain!\It's like baking a moist sponge cake,\only for it to be totally ruined by some horrible-tasting cream!\Sorry about that.\But I like a young man who does the unheard-of!\Good for you!\Once it's inside your stomach, there's no difference. response:	Since the ingredients are all the same.
context: That's like flushing all your struggles till now down the drain!\It's like baking a moist sponge cake,\only for it to be totally ruined by some horrible-tasting cream!\Sorry about that.\But I like a young man who does the unheard-of!\Good for you!\Once it's inside your stomach, there's no difference.\Since the ingredients are all the same. response:	Thank you very much!
context: It's like baking a moist sponge cake,\only for it to be totally ruined by some horrible-tasting cream!\Sorry about that.\But I like a young man who does the unheard-of!\Good for you!\Once it's inside your stomach, there's no difference.\Since the ingredients are all the same.\Thank you very much! response:	Want to see some pictures of Kaori back in grade school?
context: only for it to be totally ruined by some horrible-tasting cream!\Sorry about that.\But I like a young man who does the unheard-of!\Good for you!\Once it's inside your stomach, there's no difference.\Since the ingredients are all the same.\Thank you very much!\Want to see some pictures of Kaori back in grade school? response:	She was so adorable!
