context: Let's go out the rear entrance. response:	Shirou!
context: I don't know exactly what happened, but she was probably taken out by Caster.\The coward.\Then she really was all talk.\Archer, Rider died protecting her Master.\You are in no position to call her a coward.\A coward is a coward.\One who calls herself a hero should at least try to take her opponent out with her.\That she was defeated without resistance suggests she was unable to do so. response:	You insult the manner of her death, and you call yourself a hero?
context: The coward.\Then she really was all talk.\Archer, Rider died protecting her Master.\You are in no position to call her a coward.\A coward is a coward.\One who calls herself a hero should at least try to take her opponent out with her.\That she was defeated without resistance suggests she was unable to do so.\You insult the manner of her death, and you call yourself a hero? response:	Hero or not, anyone not suited to fight this battle should disappear early on.
context: Then she really was all talk.\Archer, Rider died protecting her Master.\You are in no position to call her a coward.\A coward is a coward.\One who calls herself a hero should at least try to take her opponent out with her.\That she was defeated without resistance suggests she was unable to do so.\You insult the manner of her death, and you call yourself a hero?\Hero or not, anyone not suited to fight this battle should disappear early on. response:	Well said.
context: Archer, Rider died protecting her Master.\You are in no position to call her a coward.\A coward is a coward.\One who calls herself a hero should at least try to take her opponent out with her.\That she was defeated without resistance suggests she was unable to do so.\You insult the manner of her death, and you call yourself a hero?\Hero or not, anyone not suited to fight this battle should disappear early on.\Well said. response:	In that case, do you wish to fight me, Archer?
context: You are in no position to call her a coward.\A coward is a coward.\One who calls herself a hero should at least try to take her opponent out with her.\That she was defeated without resistance suggests she was unable to do so.\You insult the manner of her death, and you call yourself a hero?\Hero or not, anyone not suited to fight this battle should disappear early on.\Well said.\In that case, do you wish to fight me, Archer? response:	I am compelled by Command Seal not to fight you.
context: A coward is a coward.\One who calls herself a hero should at least try to take her opponent out with her.\That she was defeated without resistance suggests she was unable to do so.\You insult the manner of her death, and you call yourself a hero?\Hero or not, anyone not suited to fight this battle should disappear early on.\Well said.\In that case, do you wish to fight me, Archer?\I am compelled by Command Seal not to fight you. response:	If we were to fight now, I would die just like Rider.
context: One who calls herself a hero should at least try to take her opponent out with her.\That she was defeated without resistance suggests she was unable to do so.\You insult the manner of her death, and you call yourself a hero?\Hero or not, anyone not suited to fight this battle should disappear early on.\Well said.\In that case, do you wish to fight me, Archer?\I am compelled by Command Seal not to fight you.\If we were to fight now, I would die just like Rider. response:	Is that in keeping with your code of chivalry, Saber?
context: That she was defeated without resistance suggests she was unable to do so.\You insult the manner of her death, and you call yourself a hero?\Hero or not, anyone not suited to fight this battle should disappear early on.\Well said.\In that case, do you wish to fight me, Archer?\I am compelled by Command Seal not to fight you.\If we were to fight now, I would die just like Rider.\Is that in keeping with your code of chivalry, Saber? response:	Archer, that's enough.
context: You insult the manner of her death, and you call yourself a hero?\Hero or not, anyone not suited to fight this battle should disappear early on.\Well said.\In that case, do you wish to fight me, Archer?\I am compelled by Command Seal not to fight you.\If we were to fight now, I would die just like Rider.\Is that in keeping with your code of chivalry, Saber?\Archer, that's enough. response:	My alliance with Emiya-kun is only until we defeat the Master hiding in the school.
context: Hero or not, anyone not suited to fight this battle should disappear early on.\Well said.\In that case, do you wish to fight me, Archer?\I am compelled by Command Seal not to fight you.\If we were to fight now, I would die just like Rider.\Is that in keeping with your code of chivalry, Saber?\Archer, that's enough.\My alliance with Emiya-kun is only until we defeat the Master hiding in the school. response:	Or what? Do you want to force me to use another Command Seal on you?
context: Well said.\In that case, do you wish to fight me, Archer?\I am compelled by Command Seal not to fight you.\If we were to fight now, I would die just like Rider.\Is that in keeping with your code of chivalry, Saber?\Archer, that's enough.\My alliance with Emiya-kun is only until we defeat the Master hiding in the school.\Or what? Do you want to force me to use another Command Seal on you? response:	Perhaps.
context: In that case, do you wish to fight me, Archer?\I am compelled by Command Seal not to fight you.\If we were to fight now, I would die just like Rider.\Is that in keeping with your code of chivalry, Saber?\Archer, that's enough.\My alliance with Emiya-kun is only until we defeat the Master hiding in the school.\Or what? Do you want to force me to use another Command Seal on you?\Perhaps. response:	Saber is so noble and righteous, I got carried away teasing her.
context: I am compelled by Command Seal not to fight you.\If we were to fight now, I would die just like Rider.\Is that in keeping with your code of chivalry, Saber?\Archer, that's enough.\My alliance with Emiya-kun is only until we defeat the Master hiding in the school.\Or what? Do you want to force me to use another Command Seal on you?\Perhaps.\Saber is so noble and righteous, I got carried away teasing her. response:	My apologies, Saber.
context: If we were to fight now, I would die just like Rider.\Is that in keeping with your code of chivalry, Saber?\Archer, that's enough.\My alliance with Emiya-kun is only until we defeat the Master hiding in the school.\Or what? Do you want to force me to use another Command Seal on you?\Perhaps.\Saber is so noble and righteous, I got carried away teasing her.\My apologies, Saber. response:	No, my behavior was immature, as well.
context: Is that in keeping with your code of chivalry, Saber?\Archer, that's enough.\My alliance with Emiya-kun is only until we defeat the Master hiding in the school.\Or what? Do you want to force me to use another Command Seal on you?\Perhaps.\Saber is so noble and righteous, I got carried away teasing her.\My apologies, Saber.\No, my behavior was immature, as well. response:	Out of respect for Rin, I shall overlook your words.
context: Archer, that's enough.\My alliance with Emiya-kun is only until we defeat the Master hiding in the school.\Or what? Do you want to force me to use another Command Seal on you?\Perhaps.\Saber is so noble and righteous, I got carried away teasing her.\My apologies, Saber.\No, my behavior was immature, as well.\Out of respect for Rin, I shall overlook your words. response:	Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.
context: My alliance with Emiya-kun is only until we defeat the Master hiding in the school.\Or what? Do you want to force me to use another Command Seal on you?\Perhaps.\Saber is so noble and righteous, I got carried away teasing her.\My apologies, Saber.\No, my behavior was immature, as well.\Out of respect for Rin, I shall overlook your words.\Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master. response:	Fortunately or not, Caster's Master comes to this school every day.
context: Or what? Do you want to force me to use another Command Seal on you?\Perhaps.\Saber is so noble and righteous, I got carried away teasing her.\My apologies, Saber.\No, my behavior was immature, as well.\Out of respect for Rin, I shall overlook your words.\Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.\Fortunately or not, Caster's Master comes to this school every day. response:	Rather than spooking them and putting them on guard, we should let them be.
context: Perhaps.\Saber is so noble and righteous, I got carried away teasing her.\My apologies, Saber.\No, my behavior was immature, as well.\Out of respect for Rin, I shall overlook your words.\Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.\Fortunately or not, Caster's Master comes to this school every day.\Rather than spooking them and putting them on guard, we should let them be. response:	In other words,
context: Saber is so noble and righteous, I got carried away teasing her.\My apologies, Saber.\No, my behavior was immature, as well.\Out of respect for Rin, I shall overlook your words.\Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.\Fortunately or not, Caster's Master comes to this school every day.\Rather than spooking them and putting them on guard, we should let them be.\In other words, response:	after we identify the Master, we attack before they can return to Ryuudou Temple?
context: My apologies, Saber.\No, my behavior was immature, as well.\Out of respect for Rin, I shall overlook your words.\Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.\Fortunately or not, Caster's Master comes to this school every day.\Rather than spooking them and putting them on guard, we should let them be.\In other words,\after we identify the Master, we attack before they can return to Ryuudou Temple? response:	Exactly.
context: No, my behavior was immature, as well.\Out of respect for Rin, I shall overlook your words.\Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.\Fortunately or not, Caster's Master comes to this school every day.\Rather than spooking them and putting them on guard, we should let them be.\In other words,\after we identify the Master, we attack before they can return to Ryuudou Temple?\Exactly. response:	But after a big ruckus like this, won't they stop coming to school because it's too risky?
context: Out of respect for Rin, I shall overlook your words.\Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.\Fortunately or not, Caster's Master comes to this school every day.\Rather than spooking them and putting them on guard, we should let them be.\In other words,\after we identify the Master, we attack before they can return to Ryuudou Temple?\Exactly.\But after a big ruckus like this, won't they stop coming to school because it's too risky? response:	That's unlikely.
context: Anyway, if we're going to defeat Caster, the first thing we need to do is locate her Master.\Fortunately or not, Caster's Master comes to this school every day.\Rather than spooking them and putting them on guard, we should let them be.\In other words,\after we identify the Master, we attack before they can return to Ryuudou Temple?\Exactly.\But after a big ruckus like this, won't they stop coming to school because it's too risky?\That's unlikely. response:	I doubt Caster's Master still possesses their free will.
context: Fortunately or not, Caster's Master comes to this school every day.\Rather than spooking them and putting them on guard, we should let them be.\In other words,\after we identify the Master, we attack before they can return to Ryuudou Temple?\Exactly.\But after a big ruckus like this, won't they stop coming to school because it's too risky?\That's unlikely.\I doubt Caster's Master still possesses their free will. response:	That's her style.
context: Rather than spooking them and putting them on guard, we should let them be.\In other words,\after we identify the Master, we attack before they can return to Ryuudou Temple?\Exactly.\But after a big ruckus like this, won't they stop coming to school because it's too risky?\That's unlikely.\I doubt Caster's Master still possesses their free will.\That's her style. response:	Her very first move was probably to turn her Master into a puppet.
context: In other words,\after we identify the Master, we attack before they can return to Ryuudou Temple?\Exactly.\But after a big ruckus like this, won't they stop coming to school because it's too risky?\That's unlikely.\I doubt Caster's Master still possesses their free will.\That's her style.\Her very first move was probably to turn her Master into a puppet. response:	That makes sense.
context: after we identify the Master, we attack before they can return to Ryuudou Temple?\Exactly.\But after a big ruckus like this, won't they stop coming to school because it's too risky?\That's unlikely.\I doubt Caster's Master still possesses their free will.\That's her style.\Her very first move was probably to turn her Master into a puppet.\That makes sense. response:	Anyway, we'll continue our investigation of the school.
context: Exactly.\But after a big ruckus like this, won't they stop coming to school because it's too risky?\That's unlikely.\I doubt Caster's Master still possesses their free will.\That's her style.\Her very first move was probably to turn her Master into a puppet.\That makes sense.\Anyway, we'll continue our investigation of the school. response:	When we locate Caster's Master, we strike.
context: But after a big ruckus like this, won't they stop coming to school because it's too risky?\That's unlikely.\I doubt Caster's Master still possesses their free will.\That's her style.\Her very first move was probably to turn her Master into a puppet.\That makes sense.\Anyway, we'll continue our investigation of the school.\When we locate Caster's Master, we strike. response:	Okay, that's a reasonable course of action, but how do we look for them?
context: That's unlikely.\I doubt Caster's Master still possesses their free will.\That's her style.\Her very first move was probably to turn her Master into a puppet.\That makes sense.\Anyway, we'll continue our investigation of the school.\When we locate Caster's Master, we strike.\Okay, that's a reasonable course of action, but how do we look for them? response:	That's our homework for next time.
context: I doubt Caster's Master still possesses their free will.\That's her style.\Her very first move was probably to turn her Master into a puppet.\That makes sense.\Anyway, we'll continue our investigation of the school.\When we locate Caster's Master, we strike.\Okay, that's a reasonable course of action, but how do we look for them?\That's our homework for next time. response:	We're all tired.
context: That's her style.\Her very first move was probably to turn her Master into a puppet.\That makes sense.\Anyway, we'll continue our investigation of the school.\When we locate Caster's Master, we strike.\Okay, that's a reasonable course of action, but how do we look for them?\That's our homework for next time.\We're all tired. response:	Let's call it a day.
context: Her very first move was probably to turn her Master into a puppet.\That makes sense.\Anyway, we'll continue our investigation of the school.\When we locate Caster's Master, we strike.\Okay, that's a reasonable course of action, but how do we look for them?\That's our homework for next time.\We're all tired.\Let's call it a day. response:	No, I can still
context: That makes sense.\Anyway, we'll continue our investigation of the school.\When we locate Caster's Master, we strike.\Okay, that's a reasonable course of action, but how do we look for them?\That's our homework for next time.\We're all tired.\Let's call it a day.\No, I can still response:	Hey... Tohsaka!
context: Anyway, we'll continue our investigation of the school.\When we locate Caster's Master, we strike.\Okay, that's a reasonable course of action, but how do we look for them?\That's our homework for next time.\We're all tired.\Let's call it a day.\No, I can still\Hey... Tohsaka! response:	Can't you see that Archer is acting strange?
context: When we locate Caster's Master, we strike.\Okay, that's a reasonable course of action, but how do we look for them?\That's our homework for next time.\We're all tired.\Let's call it a day.\No, I can still\Hey... Tohsaka!\Can't you see that Archer is acting strange? response:	After what happened yesterday, we need to be on the same page.
context: Okay, that's a reasonable course of action, but how do we look for them?\That's our homework for next time.\We're all tired.\Let's call it a day.\No, I can still\Hey... Tohsaka!\Can't you see that Archer is acting strange?\After what happened yesterday, we need to be on the same page. response:	Okay, I get it! I'll go home. I'll do as you say and go home.
context: That's our homework for next time.\We're all tired.\Let's call it a day.\No, I can still\Hey... Tohsaka!\Can't you see that Archer is acting strange?\After what happened yesterday, we need to be on the same page.\Okay, I get it! I'll go home. I'll do as you say and go home. response:	See you tomorrow, then.
context: We're all tired.\Let's call it a day.\No, I can still\Hey... Tohsaka!\Can't you see that Archer is acting strange?\After what happened yesterday, we need to be on the same page.\Okay, I get it! I'll go home. I'll do as you say and go home.\See you tomorrow, then. response:	Oh, and good work today.
context: Let's call it a day.\No, I can still\Hey... Tohsaka!\Can't you see that Archer is acting strange?\After what happened yesterday, we need to be on the same page.\Okay, I get it! I'll go home. I'll do as you say and go home.\See you tomorrow, then.\Oh, and good work today. response:	Even if only a little, I was able to see you as a Master.
context: No, I can still\Hey... Tohsaka!\Can't you see that Archer is acting strange?\After what happened yesterday, we need to be on the same page.\Okay, I get it! I'll go home. I'll do as you say and go home.\See you tomorrow, then.\Oh, and good work today.\Even if only a little, I was able to see you as a Master. response:	Let's go, Archer!
context: Hey... Tohsaka!\Can't you see that Archer is acting strange?\After what happened yesterday, we need to be on the same page.\Okay, I get it! I'll go home. I'll do as you say and go home.\See you tomorrow, then.\Oh, and good work today.\Even if only a little, I was able to see you as a Master.\Let's go, Archer! response:	When we get home, we'll get to the bottom of this screw-up!
context: Can't you see that Archer is acting strange?\After what happened yesterday, we need to be on the same page.\Okay, I get it! I'll go home. I'll do as you say and go home.\See you tomorrow, then.\Oh, and good work today.\Even if only a little, I was able to see you as a Master.\Let's go, Archer!\When we get home, we'll get to the bottom of this screw-up! response:	Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.
context: After what happened yesterday, we need to be on the same page.\Okay, I get it! I'll go home. I'll do as you say and go home.\See you tomorrow, then.\Oh, and good work today.\Even if only a little, I was able to see you as a Master.\Let's go, Archer!\When we get home, we'll get to the bottom of this screw-up!\Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me. response:	Now, look here... Am I going to have to lay down the law?
context: Okay, I get it! I'll go home. I'll do as you say and go home.\See you tomorrow, then.\Oh, and good work today.\Even if only a little, I was able to see you as a Master.\Let's go, Archer!\When we get home, we'll get to the bottom of this screw-up!\Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.\Now, look here... Am I going to have to lay down the law? response:	You want to sleep in my room?
context: See you tomorrow, then.\Oh, and good work today.\Even if only a little, I was able to see you as a Master.\Let's go, Archer!\When we get home, we'll get to the bottom of this screw-up!\Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.\Now, look here... Am I going to have to lay down the law?\You want to sleep in my room? response:	Of course.
context: Oh, and good work today.\Even if only a little, I was able to see you as a Master.\Let's go, Archer!\When we get home, we'll get to the bottom of this screw-up!\Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.\Now, look here... Am I going to have to lay down the law?\You want to sleep in my room?\Of course. response:	To prevent a repeat of last night's error,
context: Even if only a little, I was able to see you as a Master.\Let's go, Archer!\When we get home, we'll get to the bottom of this screw-up!\Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.\Now, look here... Am I going to have to lay down the law?\You want to sleep in my room?\Of course.\To prevent a repeat of last night's error, response:	I shall sleep in your room.
context: Let's go, Archer!\When we get home, we'll get to the bottom of this screw-up!\Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.\Now, look here... Am I going to have to lay down the law?\You want to sleep in my room?\Of course.\To prevent a repeat of last night's error,\I shall sleep in your room. response:	Surely you have no objections?
context: When we get home, we'll get to the bottom of this screw-up!\Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.\Now, look here... Am I going to have to lay down the law?\You want to sleep in my room?\Of course.\To prevent a repeat of last night's error,\I shall sleep in your room.\Surely you have no objections? response:	I do! Big ones!
context: Ah, there it is. The uncharacteristic lack of verbal abuse was troubling me.\Now, look here... Am I going to have to lay down the law?\You want to sleep in my room?\Of course.\To prevent a repeat of last night's error,\I shall sleep in your room.\Surely you have no objections?\I do! Big ones! response:	When it comes down to it,
context: Now, look here... Am I going to have to lay down the law?\You want to sleep in my room?\Of course.\To prevent a repeat of last night's error,\I shall sleep in your room.\Surely you have no objections?\I do! Big ones!\When it comes down to it, response:	it's your fault for falling victim to remote hypnosis from such a great distance.
context: You want to sleep in my room?\Of course.\To prevent a repeat of last night's error,\I shall sleep in your room.\Surely you have no objections?\I do! Big ones!\When it comes down to it,\it's your fault for falling victim to remote hypnosis from such a great distance. response:	I cannot protect you from Caster's magic,
context: Of course.\To prevent a repeat of last night's error,\I shall sleep in your room.\Surely you have no objections?\I do! Big ones!\When it comes down to it,\it's your fault for falling victim to remote hypnosis from such a great distance.\I cannot protect you from Caster's magic, response:	so it's natural that I at least stay in the same room.
context: To prevent a repeat of last night's error,\I shall sleep in your room.\Surely you have no objections?\I do! Big ones!\When it comes down to it,\it's your fault for falling victim to remote hypnosis from such a great distance.\I cannot protect you from Caster's magic,\so it's natural that I at least stay in the same room. response:	Well, that's a perfectly sound argument.
context: I shall sleep in your room.\Surely you have no objections?\I do! Big ones!\When it comes down to it,\it's your fault for falling victim to remote hypnosis from such a great distance.\I cannot protect you from Caster's magic,\so it's natural that I at least stay in the same room.\Well, that's a perfectly sound argument. response:	Look, tonight
context: Surely you have no objections?\I do! Big ones!\When it comes down to it,\it's your fault for falling victim to remote hypnosis from such a great distance.\I cannot protect you from Caster's magic,\so it's natural that I at least stay in the same room.\Well, that's a perfectly sound argument.\Look, tonight response:	All right.
context: I do! Big ones!\When it comes down to it,\it's your fault for falling victim to remote hypnosis from such a great distance.\I cannot protect you from Caster's magic,\so it's natural that I at least stay in the same room.\Well, that's a perfectly sound argument.\Look, tonight\All right. response:	I'll have you sleep nearby.
context: When it comes down to it,\it's your fault for falling victim to remote hypnosis from such a great distance.\I cannot protect you from Caster's magic,\so it's natural that I at least stay in the same room.\Well, that's a perfectly sound argument.\Look, tonight\All right.\I'll have you sleep nearby. response:	Good. That's the logical choice for a Master.
context: it's your fault for falling victim to remote hypnosis from such a great distance.\I cannot protect you from Caster's magic,\so it's natural that I at least stay in the same room.\Well, that's a perfectly sound argument.\Look, tonight\All right.\I'll have you sleep nearby.\Good. That's the logical choice for a Master. response:	But only nearby.
context: I cannot protect you from Caster's magic,\so it's natural that I at least stay in the same room.\Well, that's a perfectly sound argument.\Look, tonight\All right.\I'll have you sleep nearby.\Good. That's the logical choice for a Master.\But only nearby. response:	Yeah, as if I can fall asleep just like that, idiot.
context: so it's natural that I at least stay in the same room.\Well, that's a perfectly sound argument.\Look, tonight\All right.\I'll have you sleep nearby.\Good. That's the logical choice for a Master.\But only nearby.\Yeah, as if I can fall asleep just like that, idiot. response:	It is the sixth day since the war commenced.
context: Well, that's a perfectly sound argument.\Look, tonight\All right.\I'll have you sleep nearby.\Good. That's the logical choice for a Master.\But only nearby.\Yeah, as if I can fall asleep just like that, idiot.\It is the sixth day since the war commenced. response:	You are the first to make their way here.
context: Look, tonight\All right.\I'll have you sleep nearby.\Good. That's the logical choice for a Master.\But only nearby.\Yeah, as if I can fall asleep just like that, idiot.\It is the sixth day since the war commenced.\You are the first to make their way here. response:	Then you are withdrawing from the war, boy?
context: All right.\I'll have you sleep nearby.\Good. That's the logical choice for a Master.\But only nearby.\Yeah, as if I can fall asleep just like that, idiot.\It is the sixth day since the war commenced.\You are the first to make their way here.\Then you are withdrawing from the war, boy? response:	O-Of course I am!
context: I'll have you sleep nearby.\Good. That's the logical choice for a Master.\But only nearby.\Yeah, as if I can fall asleep just like that, idiot.\It is the sixth day since the war commenced.\You are the first to make their way here.\Then you are withdrawing from the war, boy?\O-Of course I am! response:	You want me to die?!
context: Good. That's the logical choice for a Master.\But only nearby.\Yeah, as if I can fall asleep just like that, idiot.\It is the sixth day since the war commenced.\You are the first to make their way here.\Then you are withdrawing from the war, boy?\O-Of course I am!\You want me to die?! response:	Without a Servant, I can't kill anyone, and I'm no longer a Master!
context: But only nearby.\Yeah, as if I can fall asleep just like that, idiot.\It is the sixth day since the war commenced.\You are the first to make their way here.\Then you are withdrawing from the war, boy?\O-Of course I am!\You want me to die?!\Without a Servant, I can't kill anyone, and I'm no longer a Master! response:	I-I'm just an ordinary human.
context: Yeah, as if I can fall asleep just like that, idiot.\It is the sixth day since the war commenced.\You are the first to make their way here.\Then you are withdrawing from the war, boy?\O-Of course I am!\You want me to die?!\Without a Servant, I can't kill anyone, and I'm no longer a Master!\I-I'm just an ordinary human. response:	I'm just a victim in all this!
context: It is the sixth day since the war commenced.\You are the first to make their way here.\Then you are withdrawing from the war, boy?\O-Of course I am!\You want me to die?!\Without a Servant, I can't kill anyone, and I'm no longer a Master!\I-I'm just an ordinary human.\I'm just a victim in all this! response:	It's unfair to have people coming to kill us, when we can't do anything!
context: You are the first to make their way here.\Then you are withdrawing from the war, boy?\O-Of course I am!\You want me to die?!\Without a Servant, I can't kill anyone, and I'm no longer a Master!\I-I'm just an ordinary human.\I'm just a victim in all this!\It's unfair to have people coming to kill us, when we can't do anything! response:	What? Do you have a problem with that?
context: Then you are withdrawing from the war, boy?\O-Of course I am!\You want me to die?!\Without a Servant, I can't kill anyone, and I'm no longer a Master!\I-I'm just an ordinary human.\I'm just a victim in all this!\It's unfair to have people coming to kill us, when we can't do anything!\What? Do you have a problem with that? response:	Of course not.
context: O-Of course I am!\You want me to die?!\Without a Servant, I can't kill anyone, and I'm no longer a Master!\I-I'm just an ordinary human.\I'm just a victim in all this!\It's unfair to have people coming to kill us, when we can't do anything!\What? Do you have a problem with that?\Of course not. response:	You are the first to withdraw from this war,
context: You want me to die?!\Without a Servant, I can't kill anyone, and I'm no longer a Master!\I-I'm just an ordinary human.\I'm just a victim in all this!\It's unfair to have people coming to kill us, when we can't do anything!\What? Do you have a problem with that?\Of course not.\You are the first to withdraw from this war, response:	and to use this church's services since it was founded.
context: Without a Servant, I can't kill anyone, and I'm no longer a Master!\I-I'm just an ordinary human.\I'm just a victim in all this!\It's unfair to have people coming to kill us, when we can't do anything!\What? Do you have a problem with that?\Of course not.\You are the first to withdraw from this war,\and to use this church's services since it was founded. response:	I will offer you every hospitality.
context: I-I'm just an ordinary human.\I'm just a victim in all this!\It's unfair to have people coming to kill us, when we can't do anything!\What? Do you have a problem with that?\Of course not.\You are the first to withdraw from this war,\and to use this church's services since it was founded.\I will offer you every hospitality. response:	What? You're saying I'm the only one that's been knocked out?
