context: By the decree of the Heavenly Lord response:	I've come to invite High God Zhe Yan to the Nine Heavens to save a person.
context: and the Medicine King is at his wits' end.\Could it be Prince Ye Hua again?\Who knew that you'd use up all your cultivation just to make the elixir?\It's no wonder that the Heavenly Lord would sent for me.\You were lucky.\If even a couple more hours had passed, even I wouldn't be able to save you.\Have you given the elixir to Qian Qian?\I have. response:	That's good then.
context: Could it be Prince Ye Hua again?\Who knew that you'd use up all your cultivation just to make the elixir?\It's no wonder that the Heavenly Lord would sent for me.\You were lucky.\If even a couple more hours had passed, even I wouldn't be able to save you.\Have you given the elixir to Qian Qian?\I have.\That's good then. response:	What's good about that?
context: Who knew that you'd use up all your cultivation just to make the elixir?\It's no wonder that the Heavenly Lord would sent for me.\You were lucky.\If even a couple more hours had passed, even I wouldn't be able to save you.\Have you given the elixir to Qian Qian?\I have.\That's good then.\What's good about that? response:	Look at you!
context: It's no wonder that the Heavenly Lord would sent for me.\You were lucky.\If even a couple more hours had passed, even I wouldn't be able to save you.\Have you given the elixir to Qian Qian?\I have.\That's good then.\What's good about that?\Look at you! response:	As the Crown Prince of the Celestial Tribe
context: You were lucky.\If even a couple more hours had passed, even I wouldn't be able to save you.\Have you given the elixir to Qian Qian?\I have.\That's good then.\What's good about that?\Look at you!\As the Crown Prince of the Celestial Tribe response:	not only have you lost an arm, but you also used up all your cultivation.
context: If even a couple more hours had passed, even I wouldn't be able to save you.\Have you given the elixir to Qian Qian?\I have.\That's good then.\What's good about that?\Look at you!\As the Crown Prince of the Celestial Tribe\not only have you lost an arm, but you also used up all your cultivation. response:	If you still wish to inherit the position of Heavenly Lord
context: Have you given the elixir to Qian Qian?\I have.\That's good then.\What's good about that?\Look at you!\As the Crown Prince of the Celestial Tribe\not only have you lost an arm, but you also used up all your cultivation.\If you still wish to inherit the position of Heavenly Lord response:	who knows when you'll be fit enough
context: I have.\That's good then.\What's good about that?\Look at you!\As the Crown Prince of the Celestial Tribe\not only have you lost an arm, but you also used up all your cultivation.\If you still wish to inherit the position of Heavenly Lord\who knows when you'll be fit enough response:	to withstand all the sacred blazes and thunderbolts?
context: That's good then.\What's good about that?\Look at you!\As the Crown Prince of the Celestial Tribe\not only have you lost an arm, but you also used up all your cultivation.\If you still wish to inherit the position of Heavenly Lord\who knows when you'll be fit enough\to withstand all the sacred blazes and thunderbolts? response:	None of that matters.
context: What's good about that?\Look at you!\As the Crown Prince of the Celestial Tribe\not only have you lost an arm, but you also used up all your cultivation.\If you still wish to inherit the position of Heavenly Lord\who knows when you'll be fit enough\to withstand all the sacred blazes and thunderbolts?\None of that matters. response:	Yes, nothing matters anymore.
context: Look at you!\As the Crown Prince of the Celestial Tribe\not only have you lost an arm, but you also used up all your cultivation.\If you still wish to inherit the position of Heavenly Lord\who knows when you'll be fit enough\to withstand all the sacred blazes and thunderbolts?\None of that matters.\Yes, nothing matters anymore. response:	What matters is that little fox on your mind.
context: As the Crown Prince of the Celestial Tribe\not only have you lost an arm, but you also used up all your cultivation.\If you still wish to inherit the position of Heavenly Lord\who knows when you'll be fit enough\to withstand all the sacred blazes and thunderbolts?\None of that matters.\Yes, nothing matters anymore.\What matters is that little fox on your mind. response:	She'll be able to revive her mentor
context: not only have you lost an arm, but you also used up all your cultivation.\If you still wish to inherit the position of Heavenly Lord\who knows when you'll be fit enough\to withstand all the sacred blazes and thunderbolts?\None of that matters.\Yes, nothing matters anymore.\What matters is that little fox on your mind.\She'll be able to revive her mentor response:	without knowing anything, right?
context: If you still wish to inherit the position of Heavenly Lord\who knows when you'll be fit enough\to withstand all the sacred blazes and thunderbolts?\None of that matters.\Yes, nothing matters anymore.\What matters is that little fox on your mind.\She'll be able to revive her mentor\without knowing anything, right? response:	Why don't I see that son of yours around?
context: who knows when you'll be fit enough\to withstand all the sacred blazes and thunderbolts?\None of that matters.\Yes, nothing matters anymore.\What matters is that little fox on your mind.\She'll be able to revive her mentor\without knowing anything, right?\Why don't I see that son of yours around? response:	His father nearly died but he isn't even crying by your bedside?
context: to withstand all the sacred blazes and thunderbolts?\None of that matters.\Yes, nothing matters anymore.\What matters is that little fox on your mind.\She'll be able to revive her mentor\without knowing anything, right?\Why don't I see that son of yours around?\His father nearly died but he isn't even crying by your bedside? response:	I raised A-Li all on my own.
context: None of that matters.\Yes, nothing matters anymore.\What matters is that little fox on your mind.\She'll be able to revive her mentor\without knowing anything, right?\Why don't I see that son of yours around?\His father nearly died but he isn't even crying by your bedside?\I raised A-Li all on my own. response:	However, I'm terribly scared to see him cry.
context: Yes, nothing matters anymore.\What matters is that little fox on your mind.\She'll be able to revive her mentor\without knowing anything, right?\Why don't I see that son of yours around?\His father nearly died but he isn't even crying by your bedside?\I raised A-Li all on my own.\However, I'm terribly scared to see him cry. response:	Right after I returned to the palace
context: What matters is that little fox on your mind.\She'll be able to revive her mentor\without knowing anything, right?\Why don't I see that son of yours around?\His father nearly died but he isn't even crying by your bedside?\I raised A-Li all on my own.\However, I'm terribly scared to see him cry.\Right after I returned to the palace response:	I had someone take him to the assembly at Sacred Mountain to avoid seeing me.
context: She'll be able to revive her mentor\without knowing anything, right?\Why don't I see that son of yours around?\His father nearly died but he isn't even crying by your bedside?\I raised A-Li all on my own.\However, I'm terribly scared to see him cry.\Right after I returned to the palace\I had someone take him to the assembly at Sacred Mountain to avoid seeing me. response:	Indeed, you're both a father and a mother.
context: without knowing anything, right?\Why don't I see that son of yours around?\His father nearly died but he isn't even crying by your bedside?\I raised A-Li all on my own.\However, I'm terribly scared to see him cry.\Right after I returned to the palace\I had someone take him to the assembly at Sacred Mountain to avoid seeing me.\Indeed, you're both a father and a mother. response:	That's not an easy task.
context: Why don't I see that son of yours around?\His father nearly died but he isn't even crying by your bedside?\I raised A-Li all on my own.\However, I'm terribly scared to see him cry.\Right after I returned to the palace\I had someone take him to the assembly at Sacred Mountain to avoid seeing me.\Indeed, you're both a father and a mother.\That's not an easy task. response:	Not easy at all!
context: His father nearly died but he isn't even crying by your bedside?\I raised A-Li all on my own.\However, I'm terribly scared to see him cry.\Right after I returned to the palace\I had someone take him to the assembly at Sacred Mountain to avoid seeing me.\Indeed, you're both a father and a mother.\That's not an easy task.\Not easy at all! response:	Emissary.
context: I raised A-Li all on my own.\However, I'm terribly scared to see him cry.\Right after I returned to the palace\I had someone take him to the assembly at Sacred Mountain to avoid seeing me.\Indeed, you're both a father and a mother.\That's not an easy task.\Not easy at all!\Emissary. response:	You're awake?
context: However, I'm terribly scared to see him cry.\Right after I returned to the palace\I had someone take him to the assembly at Sacred Mountain to avoid seeing me.\Indeed, you're both a father and a mother.\That's not an easy task.\Not easy at all!\Emissary.\You're awake? response:	You're now almost cured.
context: Right after I returned to the palace\I had someone take him to the assembly at Sacred Mountain to avoid seeing me.\Indeed, you're both a father and a mother.\That's not an easy task.\Not easy at all!\Emissary.\You're awake?\You're now almost cured. response:	You've been by my side all these days while I was in coma?
context: I had someone take him to the assembly at Sacred Mountain to avoid seeing me.\Indeed, you're both a father and a mother.\That's not an easy task.\Not easy at all!\Emissary.\You're awake?\You're now almost cured.\You've been by my side all these days while I was in coma? response:	Do you still feel unwell?
context: Indeed, you're both a father and a mother.\That's not an easy task.\Not easy at all!\Emissary.\You're awake?\You're now almost cured.\You've been by my side all these days while I was in coma?\Do you still feel unwell? response:	I wonder if you still remember the announcement that my father posted?
context: That's not an easy task.\Not easy at all!\Emissary.\You're awake?\You're now almost cured.\You've been by my side all these days while I was in coma?\Do you still feel unwell?\I wonder if you still remember the announcement that my father posted? response:	I do.
context: Not easy at all!\Emissary.\You're awake?\You're now almost cured.\You've been by my side all these days while I was in coma?\Do you still feel unwell?\I wonder if you still remember the announcement that my father posted?\I do. response:	It says that whoever cures Your Highness can marry into the West Sea as a consort.
context: Emissary.\You're awake?\You're now almost cured.\You've been by my side all these days while I was in coma?\Do you still feel unwell?\I wonder if you still remember the announcement that my father posted?\I do.\It says that whoever cures Your Highness can marry into the West Sea as a consort. response:	I didn't consent to that announcement when my father posted it.
context: You're awake?\You're now almost cured.\You've been by my side all these days while I was in coma?\Do you still feel unwell?\I wonder if you still remember the announcement that my father posted?\I do.\It says that whoever cures Your Highness can marry into the West Sea as a consort.\I didn't consent to that announcement when my father posted it. response:	Although you are very beautiful...
context: You're now almost cured.\You've been by my side all these days while I was in coma?\Do you still feel unwell?\I wonder if you still remember the announcement that my father posted?\I do.\It says that whoever cures Your Highness can marry into the West Sea as a consort.\I didn't consent to that announcement when my father posted it.\Although you are very beautiful... response:	You are not my type.
context: You've been by my side all these days while I was in coma?\Do you still feel unwell?\I wonder if you still remember the announcement that my father posted?\I do.\It says that whoever cures Your Highness can marry into the West Sea as a consort.\I didn't consent to that announcement when my father posted it.\Although you are very beautiful...\You are not my type. response:	Are you really feeling well now?
context: Do you still feel unwell?\I wonder if you still remember the announcement that my father posted?\I do.\It says that whoever cures Your Highness can marry into the West Sea as a consort.\I didn't consent to that announcement when my father posted it.\Although you are very beautiful...\You are not my type.\Are you really feeling well now? response:	You've been looking after me without getting any rest.
context: I wonder if you still remember the announcement that my father posted?\I do.\It says that whoever cures Your Highness can marry into the West Sea as a consort.\I didn't consent to that announcement when my father posted it.\Although you are very beautiful...\You are not my type.\Are you really feeling well now?\You've been looking after me without getting any rest. response:	I'm very grateful to you.
context: I do.\It says that whoever cures Your Highness can marry into the West Sea as a consort.\I didn't consent to that announcement when my father posted it.\Although you are very beautiful...\You are not my type.\Are you really feeling well now?\You've been looking after me without getting any rest.\I'm very grateful to you. response:	If the maids hadn't informed me
context: It says that whoever cures Your Highness can marry into the West Sea as a consort.\I didn't consent to that announcement when my father posted it.\Although you are very beautiful...\You are not my type.\Are you really feeling well now?\You've been looking after me without getting any rest.\I'm very grateful to you.\If the maids hadn't informed me response:	I wouldn't have noticed your feelings for me.
context: I didn't consent to that announcement when my father posted it.\Although you are very beautiful...\You are not my type.\Are you really feeling well now?\You've been looking after me without getting any rest.\I'm very grateful to you.\If the maids hadn't informed me\I wouldn't have noticed your feelings for me. response:	I've only read about such scenarios in plays that Die Feng brought me.
context: Although you are very beautiful...\You are not my type.\Are you really feeling well now?\You've been looking after me without getting any rest.\I'm very grateful to you.\If the maids hadn't informed me\I wouldn't have noticed your feelings for me.\I've only read about such scenarios in plays that Die Feng brought me. response:	Who would have known a story that only exists in plays would happen to us?
context: You are not my type.\Are you really feeling well now?\You've been looking after me without getting any rest.\I'm very grateful to you.\If the maids hadn't informed me\I wouldn't have noticed your feelings for me.\I've only read about such scenarios in plays that Die Feng brought me.\Who would have known a story that only exists in plays would happen to us? response:	I heard from the maids that the Crown Prince was here to visit you.
context: Are you really feeling well now?\You've been looking after me without getting any rest.\I'm very grateful to you.\If the maids hadn't informed me\I wouldn't have noticed your feelings for me.\I've only read about such scenarios in plays that Die Feng brought me.\Who would have known a story that only exists in plays would happen to us?\I heard from the maids that the Crown Prince was here to visit you. response:	Apparently, he's interested in you.
context: You've been looking after me without getting any rest.\I'm very grateful to you.\If the maids hadn't informed me\I wouldn't have noticed your feelings for me.\I've only read about such scenarios in plays that Die Feng brought me.\Who would have known a story that only exists in plays would happen to us?\I heard from the maids that the Crown Prince was here to visit you.\Apparently, he's interested in you. response:	Why would you still devote yourself to me?
context: I'm very grateful to you.\If the maids hadn't informed me\I wouldn't have noticed your feelings for me.\I've only read about such scenarios in plays that Die Feng brought me.\Who would have known a story that only exists in plays would happen to us?\I heard from the maids that the Crown Prince was here to visit you.\Apparently, he's interested in you.\Why would you still devote yourself to me? response:	You're right.
context: If the maids hadn't informed me\I wouldn't have noticed your feelings for me.\I've only read about such scenarios in plays that Die Feng brought me.\Who would have known a story that only exists in plays would happen to us?\I heard from the maids that the Crown Prince was here to visit you.\Apparently, he's interested in you.\Why would you still devote yourself to me?\You're right. response:	Why should I devote myself to you?
context: I wouldn't have noticed your feelings for me.\I've only read about such scenarios in plays that Die Feng brought me.\Who would have known a story that only exists in plays would happen to us?\I heard from the maids that the Crown Prince was here to visit you.\Apparently, he's interested in you.\Why would you still devote yourself to me?\You're right.\Why should I devote myself to you? response:	How... How dare you!
context: I've only read about such scenarios in plays that Die Feng brought me.\Who would have known a story that only exists in plays would happen to us?\I heard from the maids that the Crown Prince was here to visit you.\Apparently, he's interested in you.\Why would you still devote yourself to me?\You're right.\Why should I devote myself to you?\How... How dare you! response:	What made you so happy?
context: Who would have known a story that only exists in plays would happen to us?\I heard from the maids that the Crown Prince was here to visit you.\Apparently, he's interested in you.\Why would you still devote yourself to me?\You're right.\Why should I devote myself to you?\How... How dare you!\What made you so happy? response:	Senior, don't tease me.
context: I heard from the maids that the Crown Prince was here to visit you.\Apparently, he's interested in you.\Why would you still devote yourself to me?\You're right.\Why should I devote myself to you?\How... How dare you!\What made you so happy?\Senior, don't tease me. response:	Do you know what your brother just said to me
context: Apparently, he's interested in you.\Why would you still devote yourself to me?\You're right.\Why should I devote myself to you?\How... How dare you!\What made you so happy?\Senior, don't tease me.\Do you know what your brother just said to me response:	for looking after him around the clock?
context: Why would you still devote yourself to me?\You're right.\Why should I devote myself to you?\How... How dare you!\What made you so happy?\Senior, don't tease me.\Do you know what your brother just said to me\for looking after him around the clock? response:	What did he say?
context: You're right.\Why should I devote myself to you?\How... How dare you!\What made you so happy?\Senior, don't tease me.\Do you know what your brother just said to me\for looking after him around the clock?\What did he say? response:	He's very grateful to me but he also turned down my affection.
context: Why should I devote myself to you?\How... How dare you!\What made you so happy?\Senior, don't tease me.\Do you know what your brother just said to me\for looking after him around the clock?\What did he say?\He's very grateful to me but he also turned down my affection. response:	My older brother has never been in love before.
context: How... How dare you!\What made you so happy?\Senior, don't tease me.\Do you know what your brother just said to me\for looking after him around the clock?\What did he say?\He's very grateful to me but he also turned down my affection.\My older brother has never been in love before. response:	You look at him is as if you're looking at Master.
context: What made you so happy?\Senior, don't tease me.\Do you know what your brother just said to me\for looking after him around the clock?\What did he say?\He's very grateful to me but he also turned down my affection.\My older brother has never been in love before.\You look at him is as if you're looking at Master. response:	It's no wonder that he misunderstood you.
context: Senior, don't tease me.\Do you know what your brother just said to me\for looking after him around the clock?\What did he say?\He's very grateful to me but he also turned down my affection.\My older brother has never been in love before.\You look at him is as if you're looking at Master.\It's no wonder that he misunderstood you. response:	If you find it uncomfortable, just leave him to me.
context: Do you know what your brother just said to me\for looking after him around the clock?\What did he say?\He's very grateful to me but he also turned down my affection.\My older brother has never been in love before.\You look at him is as if you're looking at Master.\It's no wonder that he misunderstood you.\If you find it uncomfortable, just leave him to me. response:	He's awake now, so he's already all right.
context: for looking after him around the clock?\What did he say?\He's very grateful to me but he also turned down my affection.\My older brother has never been in love before.\You look at him is as if you're looking at Master.\It's no wonder that he misunderstood you.\If you find it uncomfortable, just leave him to me.\He's awake now, so he's already all right. response:	That's good.
context: What did he say?\He's very grateful to me but he also turned down my affection.\My older brother has never been in love before.\You look at him is as if you're looking at Master.\It's no wonder that he misunderstood you.\If you find it uncomfortable, just leave him to me.\He's awake now, so he's already all right.\That's good. response:	I'll leave him to you then.
context: He's very grateful to me but he also turned down my affection.\My older brother has never been in love before.\You look at him is as if you're looking at Master.\It's no wonder that he misunderstood you.\If you find it uncomfortable, just leave him to me.\He's awake now, so he's already all right.\That's good.\I'll leave him to you then. response:	I just took his pulse.
context: My older brother has never been in love before.\You look at him is as if you're looking at Master.\It's no wonder that he misunderstood you.\If you find it uncomfortable, just leave him to me.\He's awake now, so he's already all right.\That's good.\I'll leave him to you then.\I just took his pulse. response:	It's very stable.
context: You look at him is as if you're looking at Master.\It's no wonder that he misunderstood you.\If you find it uncomfortable, just leave him to me.\He's awake now, so he's already all right.\That's good.\I'll leave him to you then.\I just took his pulse.\It's very stable. response:	Use soul-tracking magic on him later to check
context: It's no wonder that he misunderstood you.\If you find it uncomfortable, just leave him to me.\He's awake now, so he's already all right.\That's good.\I'll leave him to you then.\I just took his pulse.\It's very stable.\Use soul-tracking magic on him later to check response:	if Zhe Yan's celestial power is really steady and how Master is doing.
context: If you find it uncomfortable, just leave him to me.\He's awake now, so he's already all right.\That's good.\I'll leave him to you then.\I just took his pulse.\It's very stable.\Use soul-tracking magic on him later to check\if Zhe Yan's celestial power is really steady and how Master is doing. response:	Sure.
context: He's awake now, so he's already all right.\That's good.\I'll leave him to you then.\I just took his pulse.\It's very stable.\Use soul-tracking magic on him later to check\if Zhe Yan's celestial power is really steady and how Master is doing.\Sure. response:	I'll leave now.
context: That's good.\I'll leave him to you then.\I just took his pulse.\It's very stable.\Use soul-tracking magic on him later to check\if Zhe Yan's celestial power is really steady and how Master is doing.\Sure.\I'll leave now. response:	What's wrong?
context: I'll leave him to you then.\I just took his pulse.\It's very stable.\Use soul-tracking magic on him later to check\if Zhe Yan's celestial power is really steady and how Master is doing.\Sure.\I'll leave now.\What's wrong? response:	Is there a problem with Master's spirit?
context: I just took his pulse.\It's very stable.\Use soul-tracking magic on him later to check\if Zhe Yan's celestial power is really steady and how Master is doing.\Sure.\I'll leave now.\What's wrong?\Is there a problem with Master's spirit? response:	Come with me.
context: It's very stable.\Use soul-tracking magic on him later to check\if Zhe Yan's celestial power is really steady and how Master is doing.\Sure.\I'll leave now.\What's wrong?\Is there a problem with Master's spirit?\Come with me. response:	- Second Prince. - Keep watch out here.
context: Use soul-tracking magic on him later to check\if Zhe Yan's celestial power is really steady and how Master is doing.\Sure.\I'll leave now.\What's wrong?\Is there a problem with Master's spirit?\Come with me.\- Second Prince. - Keep watch out here. response:	- Let no one in to disturb us. - Yes.
context: if Zhe Yan's celestial power is really steady and how Master is doing.\Sure.\I'll leave now.\What's wrong?\Is there a problem with Master's spirit?\Come with me.\- Second Prince. - Keep watch out here.\- Let no one in to disturb us. - Yes. response:	Go on.
context: Sure.\I'll leave now.\What's wrong?\Is there a problem with Master's spirit?\Come with me.\- Second Prince. - Keep watch out here.\- Let no one in to disturb us. - Yes.\Go on. response:	I've already cast a spell on my brother.
context: I'll leave now.\What's wrong?\Is there a problem with Master's spirit?\Come with me.\- Second Prince. - Keep watch out here.\- Let no one in to disturb us. - Yes.\Go on.\I've already cast a spell on my brother. response:	He's fast asleep.
context: What's wrong?\Is there a problem with Master's spirit?\Come with me.\- Second Prince. - Keep watch out here.\- Let no one in to disturb us. - Yes.\Go on.\I've already cast a spell on my brother.\He's fast asleep. response:	You can use soul-tracking magic on him lightly and you'll see.
context: Is there a problem with Master's spirit?\Come with me.\- Second Prince. - Keep watch out here.\- Let no one in to disturb us. - Yes.\Go on.\I've already cast a spell on my brother.\He's fast asleep.\You can use soul-tracking magic on him lightly and you'll see. response:	When I last came in here
context: Come with me.\- Second Prince. - Keep watch out here.\- Let no one in to disturb us. - Yes.\Go on.\I've already cast a spell on my brother.\He's fast asleep.\You can use soul-tracking magic on him lightly and you'll see.\When I last came in here response:	there was only Die Yong's frail celestial aura guarding Master.
context: - Second Prince. - Keep watch out here.\- Let no one in to disturb us. - Yes.\Go on.\I've already cast a spell on my brother.\He's fast asleep.\You can use soul-tracking magic on him lightly and you'll see.\When I last came in here\there was only Die Yong's frail celestial aura guarding Master. response:	Yet now, this aura nursing Master is so powerful
context: - Let no one in to disturb us. - Yes.\Go on.\I've already cast a spell on my brother.\He's fast asleep.\You can use soul-tracking magic on him lightly and you'll see.\When I last came in here\there was only Die Yong's frail celestial aura guarding Master.\Yet now, this aura nursing Master is so powerful response:	that I can't even get near him.
context: Go on.\I've already cast a spell on my brother.\He's fast asleep.\You can use soul-tracking magic on him lightly and you'll see.\When I last came in here\there was only Die Yong's frail celestial aura guarding Master.\Yet now, this aura nursing Master is so powerful\that I can't even get near him. response:	Such a strong celestial aura must have come from
context: I've already cast a spell on my brother.\He's fast asleep.\You can use soul-tracking magic on him lightly and you'll see.\When I last came in here\there was only Die Yong's frail celestial aura guarding Master.\Yet now, this aura nursing Master is so powerful\that I can't even get near him.\Such a strong celestial aura must have come from response:	tens of thousands of years of cultivation.
context: He's fast asleep.\You can use soul-tracking magic on him lightly and you'll see.\When I last came in here\there was only Die Yong's frail celestial aura guarding Master.\Yet now, this aura nursing Master is so powerful\that I can't even get near him.\Such a strong celestial aura must have come from\tens of thousands of years of cultivation. response:	It seems that Master will soon wake up.
context: You can use soul-tracking magic on him lightly and you'll see.\When I last came in here\there was only Die Yong's frail celestial aura guarding Master.\Yet now, this aura nursing Master is so powerful\that I can't even get near him.\Such a strong celestial aura must have come from\tens of thousands of years of cultivation.\It seems that Master will soon wake up. response:	However, this celestial aura nursing Master is not that of Zhe Yan's.
context: When I last came in here\there was only Die Yong's frail celestial aura guarding Master.\Yet now, this aura nursing Master is so powerful\that I can't even get near him.\Such a strong celestial aura must have come from\tens of thousands of years of cultivation.\It seems that Master will soon wake up.\However, this celestial aura nursing Master is not that of Zhe Yan's. response:	This power is fierce but steady, calm and yet majestic...
context: there was only Die Yong's frail celestial aura guarding Master.\Yet now, this aura nursing Master is so powerful\that I can't even get near him.\Such a strong celestial aura must have come from\tens of thousands of years of cultivation.\It seems that Master will soon wake up.\However, this celestial aura nursing Master is not that of Zhe Yan's.\This power is fierce but steady, calm and yet majestic... response:	This is...
context: Yet now, this aura nursing Master is so powerful\that I can't even get near him.\Such a strong celestial aura must have come from\tens of thousands of years of cultivation.\It seems that Master will soon wake up.\However, this celestial aura nursing Master is not that of Zhe Yan's.\This power is fierce but steady, calm and yet majestic...\This is... response:	Ye Hua?
context: that I can't even get near him.\Such a strong celestial aura must have come from\tens of thousands of years of cultivation.\It seems that Master will soon wake up.\However, this celestial aura nursing Master is not that of Zhe Yan's.\This power is fierce but steady, calm and yet majestic...\This is...\Ye Hua? response:	I've known the Crown Prince for years.
context: Such a strong celestial aura must have come from\tens of thousands of years of cultivation.\It seems that Master will soon wake up.\However, this celestial aura nursing Master is not that of Zhe Yan's.\This power is fierce but steady, calm and yet majestic...\This is...\Ye Hua?\I've known the Crown Prince for years. response:	That's surely his celestial aura.
context: tens of thousands of years of cultivation.\It seems that Master will soon wake up.\However, this celestial aura nursing Master is not that of Zhe Yan's.\This power is fierce but steady, calm and yet majestic...\This is...\Ye Hua?\I've known the Crown Prince for years.\That's surely his celestial aura. response:	It's no wonder that Zhe Yan seemed so hesitant when he came over.
context: It seems that Master will soon wake up.\However, this celestial aura nursing Master is not that of Zhe Yan's.\This power is fierce but steady, calm and yet majestic...\This is...\Ye Hua?\I've known the Crown Prince for years.\That's surely his celestial aura.\It's no wonder that Zhe Yan seemed so hesitant when he came over. response:	He wasn't injured at all because he never went to Yingzhou.
context: However, this celestial aura nursing Master is not that of Zhe Yan's.\This power is fierce but steady, calm and yet majestic...\This is...\Ye Hua?\I've known the Crown Prince for years.\That's surely his celestial aura.\It's no wonder that Zhe Yan seemed so hesitant when he came over.\He wasn't injured at all because he never went to Yingzhou. response:	Why would he keep this from me?
context: This power is fierce but steady, calm and yet majestic...\This is...\Ye Hua?\I've known the Crown Prince for years.\That's surely his celestial aura.\It's no wonder that Zhe Yan seemed so hesitant when he came over.\He wasn't injured at all because he never went to Yingzhou.\Why would he keep this from me? response:	Seventeenth, don't panic.
context: This is...\Ye Hua?\I've known the Crown Prince for years.\That's surely his celestial aura.\It's no wonder that Zhe Yan seemed so hesitant when he came over.\He wasn't injured at all because he never went to Yingzhou.\Why would he keep this from me?\Seventeenth, don't panic. response:	The Crown Prince is very powerful.
context: Ye Hua?\I've known the Crown Prince for years.\That's surely his celestial aura.\It's no wonder that Zhe Yan seemed so hesitant when he came over.\He wasn't injured at all because he never went to Yingzhou.\Why would he keep this from me?\Seventeenth, don't panic.\The Crown Prince is very powerful. response:	He must be worried that you might not accept his elixir
context: I've known the Crown Prince for years.\That's surely his celestial aura.\It's no wonder that Zhe Yan seemed so hesitant when he came over.\He wasn't injured at all because he never went to Yingzhou.\Why would he keep this from me?\Seventeenth, don't panic.\The Crown Prince is very powerful.\He must be worried that you might not accept his elixir response:	so he had Zhe Yan bring it to you.
context: That's surely his celestial aura.\It's no wonder that Zhe Yan seemed so hesitant when he came over.\He wasn't injured at all because he never went to Yingzhou.\Why would he keep this from me?\Seventeenth, don't panic.\The Crown Prince is very powerful.\He must be worried that you might not accept his elixir\so he had Zhe Yan bring it to you. response:	What happened?
