context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground' response:	I- indeed. It appears that somehow you really are a Super Saiyan.
context: -I'm waiting here for you! -Wait, Gohan! Wait, I say!\If it is to come down to me being killed by the likes of you,\I will choose death by my own hand!\Whichever you like.\Fool. You expect me to die? It is you who will die.\I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?\Now perish, together with this whole planet!!\Blow up!! response:	-W- what is it? What's that light!? -Gohan-chan! Gohan-chan!
context: If it is to come down to me being killed by the likes of you,\I will choose death by my own hand!\Whichever you like.\Fool. You expect me to die? It is you who will die.\I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?\Now perish, together with this whole planet!!\Blow up!!\-W- what is it? What's that light!? -Gohan-chan! Gohan-chan! response:	What is this? What's happening!?
context: I will choose death by my own hand!\Whichever you like.\Fool. You expect me to die? It is you who will die.\I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?\Now perish, together with this whole planet!!\Blow up!!\-W- what is it? What's that light!? -Gohan-chan! Gohan-chan!\What is this? What's happening!? response:	Father!
context: Whichever you like.\Fool. You expect me to die? It is you who will die.\I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?\Now perish, together with this whole planet!!\Blow up!!\-W- what is it? What's that light!? -Gohan-chan! Gohan-chan!\What is this? What's happening!?\Father! response:	K- Kaio-sama!
context: Fool. You expect me to die? It is you who will die.\I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?\Now perish, together with this whole planet!!\Blow up!!\-W- what is it? What's that light!? -Gohan-chan! Gohan-chan!\What is this? What's happening!?\Father!\K- Kaio-sama! response:	D- don't tell me...!
context: I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?\Now perish, together with this whole planet!!\Blow up!!\-W- what is it? What's that light!? -Gohan-chan! Gohan-chan!\What is this? What's happening!?\Father!\K- Kaio-sama!\D- don't tell me...! response:	Son Goku did well.
context: Now perish, together with this whole planet!!\Blow up!!\-W- what is it? What's that light!? -Gohan-chan! Gohan-chan!\What is this? What's happening!?\Father!\K- Kaio-sama!\D- don't tell me...!\Son Goku did well. response:	Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.
context: Blow up!!\-W- what is it? What's that light!? -Gohan-chan! Gohan-chan!\What is this? What's happening!?\Father!\K- Kaio-sama!\D- don't tell me...!\Son Goku did well.\Against Freeza, his overwhelming strength proved him entirely triumphant in their battle. response:	So then, Goku is...?
context: -W- what is it? What's that light!? -Gohan-chan! Gohan-chan!\What is this? What's happening!?\Father!\K- Kaio-sama!\D- don't tell me...!\Son Goku did well.\Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.\So then, Goku is...? response:	He's defeated Freeza, hasn't he?
context: What is this? What's happening!?\Father!\K- Kaio-sama!\D- don't tell me...!\Son Goku did well.\Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.\So then, Goku is...?\He's defeated Freeza, hasn't he? response:	No. Having been cornered, Freeza...
context: Father!\K- Kaio-sama!\D- don't tell me...!\Son Goku did well.\Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.\So then, Goku is...?\He's defeated Freeza, hasn't he?\No. Having been cornered, Freeza... response:	So then, what about Goku and the others?
context: K- Kaio-sama!\D- don't tell me...!\Son Goku did well.\Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.\So then, Goku is...?\He's defeated Freeza, hasn't he?\No. Having been cornered, Freeza...\So then, what about Goku and the others? response:	If the planet is lost, no one can survive. No one except Freeza.
context: D- don't tell me...!\Son Goku did well.\Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.\So then, Goku is...?\He's defeated Freeza, hasn't he?\No. Having been cornered, Freeza...\So then, what about Goku and the others?\If the planet is lost, no one can survive. No one except Freeza. response:	T- that can't be!
context: Son Goku did well.\Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.\So then, Goku is...?\He's defeated Freeza, hasn't he?\No. Having been cornered, Freeza...\So then, what about Goku and the others?\If the planet is lost, no one can survive. No one except Freeza.\T- that can't be! response:	It's over. All of it.
context: Against Freeza, his overwhelming strength proved him entirely triumphant in their battle.\So then, Goku is...?\He's defeated Freeza, hasn't he?\No. Having been cornered, Freeza...\So then, what about Goku and the others?\If the planet is lost, no one can survive. No one except Freeza.\T- that can't be!\It's over. All of it. response:	Kaio-sama...
context: So then, Goku is...?\He's defeated Freeza, hasn't he?\No. Having been cornered, Freeza...\So then, what about Goku and the others?\If the planet is lost, no one can survive. No one except Freeza.\T- that can't be!\It's over. All of it.\Kaio-sama... response:	Kaio-sama, are you able to hear me?
context: He's defeated Freeza, hasn't he?\No. Having been cornered, Freeza...\So then, what about Goku and the others?\If the planet is lost, no one can survive. No one except Freeza.\T- that can't be!\It's over. All of it.\Kaio-sama...\Kaio-sama, are you able to hear me? response:	It is I, the Kami of Earth.
context: No. Having been cornered, Freeza...\So then, what about Goku and the others?\If the planet is lost, no one can survive. No one except Freeza.\T- that can't be!\It's over. All of it.\Kaio-sama...\Kaio-sama, are you able to hear me?\It is I, the Kami of Earth. response:	Yeah. What is it? I hear you!
context: So then, what about Goku and the others?\If the planet is lost, no one can survive. No one except Freeza.\T- that can't be!\It's over. All of it.\Kaio-sama...\Kaio-sama, are you able to hear me?\It is I, the Kami of Earth.\Yeah. What is it? I hear you! response:	I am now having Mister Popo gather the Dragonballs of Earth.
context: If the planet is lost, no one can survive. No one except Freeza.\T- that can't be!\It's over. All of it.\Kaio-sama...\Kaio-sama, are you able to hear me?\It is I, the Kami of Earth.\Yeah. What is it? I hear you!\I am now having Mister Popo gather the Dragonballs of Earth. response:	I believe he will have all seven together very shortly.
context: T- that can't be!\It's over. All of it.\Kaio-sama...\Kaio-sama, are you able to hear me?\It is I, the Kami of Earth.\Yeah. What is it? I hear you!\I am now having Mister Popo gather the Dragonballs of Earth.\I believe he will have all seven together very shortly. response:	Is that so?
context: It's over. All of it.\Kaio-sama...\Kaio-sama, are you able to hear me?\It is I, the Kami of Earth.\Yeah. What is it? I hear you!\I am now having Mister Popo gather the Dragonballs of Earth.\I believe he will have all seven together very shortly.\Is that so? response:	If I could have you wait briefly, I can have those who have been in your care resurrected.
context: Kaio-sama...\Kaio-sama, are you able to hear me?\It is I, the Kami of Earth.\Yeah. What is it? I hear you!\I am now having Mister Popo gather the Dragonballs of Earth.\I believe he will have all seven together very shortly.\Is that so?\If I could have you wait briefly, I can have those who have been in your care resurrected. response:	However, Chaozu there is now dead a second time, and so...
context: Kaio-sama, are you able to hear me?\It is I, the Kami of Earth.\Yeah. What is it? I hear you!\I am now having Mister Popo gather the Dragonballs of Earth.\I believe he will have all seven together very shortly.\Is that so?\If I could have you wait briefly, I can have those who have been in your care resurrected.\However, Chaozu there is now dead a second time, and so... response:	That is...
context: It is I, the Kami of Earth.\Yeah. What is it? I hear you!\I am now having Mister Popo gather the Dragonballs of Earth.\I believe he will have all seven together very shortly.\Is that so?\If I could have you wait briefly, I can have those who have been in your care resurrected.\However, Chaozu there is now dead a second time, and so...\That is... response:	J- just a moment! Are you alive?
context: Yeah. What is it? I hear you!\I am now having Mister Popo gather the Dragonballs of Earth.\I believe he will have all seven together very shortly.\Is that so?\If I could have you wait briefly, I can have those who have been in your care resurrected.\However, Chaozu there is now dead a second time, and so...\That is...\J- just a moment! Are you alive? response:	Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...
context: I am now having Mister Popo gather the Dragonballs of Earth.\I believe he will have all seven together very shortly.\Is that so?\If I could have you wait briefly, I can have those who have been in your care resurrected.\However, Chaozu there is now dead a second time, and so...\That is...\J- just a moment! Are you alive?\Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek... response:	Which would mean that Piccolo is not dead either, correct?
context: I believe he will have all seven together very shortly.\Is that so?\If I could have you wait briefly, I can have those who have been in your care resurrected.\However, Chaozu there is now dead a second time, and so...\That is...\J- just a moment! Are you alive?\Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...\Which would mean that Piccolo is not dead either, correct? response:	A- as I believe you are aware, myself and Piccolo were originally one single...
context: Is that so?\If I could have you wait briefly, I can have those who have been in your care resurrected.\However, Chaozu there is now dead a second time, and so...\That is...\J- just a moment! Are you alive?\Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...\Which would mean that Piccolo is not dead either, correct?\A- as I believe you are aware, myself and Piccolo were originally one single... response:	-That's right! Then perhaps... -Kaio-sama!
