context: We finally defeated the commander of Oracion Seis, Brain! response:	That dude Jura's crazy powerful!
context: Nirvana is heading this way?\Is this fate? Or merely coincidence-nabula?\I hope that Wendy is safe...\Yeah.\We're not actually any help in a pinch.\Swallow, then talk!\The power of the magic of light still lives!\Nabula! It shines brightly! response:	But, this is no coincidence...
context: Is this fate? Or merely coincidence-nabula?\I hope that Wendy is safe...\Yeah.\We're not actually any help in a pinch.\Swallow, then talk!\The power of the magic of light still lives!\Nabula! It shines brightly!\But, this is no coincidence... response:	There's someone who knows our real identity.
context: I hope that Wendy is safe...\Yeah.\We're not actually any help in a pinch.\Swallow, then talk!\The power of the magic of light still lives!\Nabula! It shines brightly!\But, this is no coincidence...\There's someone who knows our real identity. response:	That must be why they're aiming for here.
context: Yeah.\We're not actually any help in a pinch.\Swallow, then talk!\The power of the magic of light still lives!\Nabula! It shines brightly!\But, this is no coincidence...\There's someone who knows our real identity.\That must be why they're aiming for here. response:	Nabula...
context: We're not actually any help in a pinch.\Swallow, then talk!\The power of the magic of light still lives!\Nabula! It shines brightly!\But, this is no coincidence...\There's someone who knows our real identity.\That must be why they're aiming for here.\Nabula... response:	We've been together for who knows how long, and I still don't know what nabula means.
context: Swallow, then talk!\The power of the magic of light still lives!\Nabula! It shines brightly!\But, this is no coincidence...\There's someone who knows our real identity.\That must be why they're aiming for here.\Nabula...\We've been together for who knows how long, and I still don't know what nabula means. response:	Master, let's evacuate!
context: The power of the magic of light still lives!\Nabula! It shines brightly!\But, this is no coincidence...\There's someone who knows our real identity.\That must be why they're aiming for here.\Nabula...\We've been together for who knows how long, and I still don't know what nabula means.\Master, let's evacuate! response:	Our barrier can't protect against Nirvana!
context: Nabula! It shines brightly!\But, this is no coincidence...\There's someone who knows our real identity.\That must be why they're aiming for here.\Nabula...\We've been together for who knows how long, and I still don't know what nabula means.\Master, let's evacuate!\Our barrier can't protect against Nirvana! response:	You fools!
context: But, this is no coincidence...\There's someone who knows our real identity.\That must be why they're aiming for here.\Nabula...\We've been together for who knows how long, and I still don't know what nabula means.\Master, let's evacuate!\Our barrier can't protect against Nirvana!\You fools! response:	There are people who are fighting-nabula, and trying to stop it!
context: There's someone who knows our real identity.\That must be why they're aiming for here.\Nabula...\We've been together for who knows how long, and I still don't know what nabula means.\Master, let's evacuate!\Our barrier can't protect against Nirvana!\You fools!\There are people who are fighting-nabula, and trying to stop it! response:	For those who believe in victory, there is no need to move!
context: That must be why they're aiming for here.\Nabula...\We've been together for who knows how long, and I still don't know what nabula means.\Master, let's evacuate!\Our barrier can't protect against Nirvana!\You fools!\There are people who are fighting-nabula, and trying to stop it!\For those who believe in victory, there is no need to move! response:	So I say...
context: Nabula...\We've been together for who knows how long, and I still don't know what nabula means.\Master, let's evacuate!\Our barrier can't protect against Nirvana!\You fools!\There are people who are fighting-nabula, and trying to stop it!\For those who believe in victory, there is no need to move!\So I say... response:	But perhaps the time has come.
context: We've been together for who knows how long, and I still don't know what nabula means.\Master, let's evacuate!\Our barrier can't protect against Nirvana!\You fools!\There are people who are fighting-nabula, and trying to stop it!\For those who believe in victory, there is no need to move!\So I say...\But perhaps the time has come. response:	The time for us to pay for our crimes.
context: Master, let's evacuate!\Our barrier can't protect against Nirvana!\You fools!\There are people who are fighting-nabula, and trying to stop it!\For those who believe in victory, there is no need to move!\So I say...\But perhaps the time has come.\The time for us to pay for our crimes. response:	It is Your Words.
context: Our barrier can't protect against Nirvana!\You fools!\There are people who are fighting-nabula, and trying to stop it!\For those who believe in victory, there is no need to move!\So I say...\But perhaps the time has come.\The time for us to pay for our crimes.\It is Your Words. response:	Stop it?
context: You fools!\There are people who are fighting-nabula, and trying to stop it!\For those who believe in victory, there is no need to move!\So I say...\But perhaps the time has come.\The time for us to pay for our crimes.\It is Your Words.\Stop it? response:	But we don't know how to stop it!
context: There are people who are fighting-nabula, and trying to stop it!\For those who believe in victory, there is no need to move!\So I say...\But perhaps the time has come.\The time for us to pay for our crimes.\It is Your Words.\Stop it?\But we don't know how to stop it! response:	Like, breaking it?
context: For those who believe in victory, there is no need to move!\So I say...\But perhaps the time has come.\The time for us to pay for our crimes.\It is Your Words.\Stop it?\But we don't know how to stop it!\Like, breaking it? response:	Yup, figures you'd think like that.
context: So I say...\But perhaps the time has come.\The time for us to pay for our crimes.\It is Your Words.\Stop it?\But we don't know how to stop it!\Like, breaking it?\Yup, figures you'd think like that. response:	How do you plan on breaking something this huge?
context: But perhaps the time has come.\The time for us to pay for our crimes.\It is Your Words.\Stop it?\But we don't know how to stop it!\Like, breaking it?\Yup, figures you'd think like that.\How do you plan on breaking something this huge? response:	It would be faster to ask Brain.
context: The time for us to pay for our crimes.\It is Your Words.\Stop it?\But we don't know how to stop it!\Like, breaking it?\Yup, figures you'd think like that.\How do you plan on breaking something this huge?\It would be faster to ask Brain. response:	Will he tell us just like that, I wonder?
context: It is Your Words.\Stop it?\But we don't know how to stop it!\Like, breaking it?\Yup, figures you'd think like that.\How do you plan on breaking something this huge?\It would be faster to ask Brain.\Will he tell us just like that, I wonder? response:	Maybe Jellal would know...
context: Stop it?\But we don't know how to stop it!\Like, breaking it?\Yup, figures you'd think like that.\How do you plan on breaking something this huge?\It would be faster to ask Brain.\Will he tell us just like that, I wonder?\Maybe Jellal would know... response:	Did you say something?
context: But we don't know how to stop it!\Like, breaking it?\Yup, figures you'd think like that.\How do you plan on breaking something this huge?\It would be faster to ask Brain.\Will he tell us just like that, I wonder?\Maybe Jellal would know...\Did you say something? response:	Is something the matter?
context: Like, breaking it?\Yup, figures you'd think like that.\How do you plan on breaking something this huge?\It would be faster to ask Brain.\Will he tell us just like that, I wonder?\Maybe Jellal would know...\Did you say something?\Is something the matter? response:	No, it's nothing.
context: Yup, figures you'd think like that.\How do you plan on breaking something this huge?\It would be faster to ask Brain.\Will he tell us just like that, I wonder?\Maybe Jellal would know...\Did you say something?\Is something the matter?\No, it's nothing. response:	I think I might be on to something. I want to check it out.
context: How do you plan on breaking something this huge?\It would be faster to ask Brain.\Will he tell us just like that, I wonder?\Maybe Jellal would know...\Did you say something?\Is something the matter?\No, it's nothing.\I think I might be on to something. I want to check it out. response:	Wendy, wait!
context: It would be faster to ask Brain.\Will he tell us just like that, I wonder?\Maybe Jellal would know...\Did you say something?\Is something the matter?\No, it's nothing.\I think I might be on to something. I want to check it out.\Wendy, wait! response:	Hey!
context: Will he tell us just like that, I wonder?\Maybe Jellal would know...\Did you say something?\Is something the matter?\No, it's nothing.\I think I might be on to something. I want to check it out.\Wendy, wait!\Hey! response:	What's with her?
context: Maybe Jellal would know...\Did you say something?\Is something the matter?\No, it's nothing.\I think I might be on to something. I want to check it out.\Wendy, wait!\Hey!\What's with her? response:	Everyone, can you hear me?
context: Did you say something?\Is something the matter?\No, it's nothing.\I think I might be on to something. I want to check it out.\Wendy, wait!\Hey!\What's with her?\Everyone, can you hear me? response:	It is me, Hot Eye.
context: Is something the matter?\No, it's nothing.\I think I might be on to something. I want to check it out.\Wendy, wait!\Hey!\What's with her?\Everyone, can you hear me?\It is me, Hot Eye. response:	Mass telepathy?
context: No, it's nothing.\I think I might be on to something. I want to check it out.\Wendy, wait!\Hey!\What's with her?\Everyone, can you hear me?\It is me, Hot Eye.\Mass telepathy? response:	Who is it?
context: I think I might be on to something. I want to check it out.\Wendy, wait!\Hey!\What's with her?\Everyone, can you hear me?\It is me, Hot Eye.\Mass telepathy?\Who is it? response:	It is Richard-dono! You are unharmed?
context: Wendy, wait!\Hey!\What's with her?\Everyone, can you hear me?\It is me, Hot Eye.\Mass telepathy?\Who is it?\It is Richard-dono! You are unharmed? response:	Unfortunately, I am injured.
context: Hey!\What's with her?\Everyone, can you hear me?\It is me, Hot Eye.\Mass telepathy?\Who is it?\It is Richard-dono! You are unharmed?\Unfortunately, I am injured. response:	I was no match for Midnight, as I feared.
context: What's with her?\Everyone, can you hear me?\It is me, Hot Eye.\Mass telepathy?\Who is it?\It is Richard-dono! You are unharmed?\Unfortunately, I am injured.\I was no match for Midnight, as I feared. response:	Everyone, please work together to defeat Midnight!
context: Everyone, can you hear me?\It is me, Hot Eye.\Mass telepathy?\Who is it?\It is Richard-dono! You are unharmed?\Unfortunately, I am injured.\I was no match for Midnight, as I feared.\Everyone, please work together to defeat Midnight! response:	If you defeat him, Nirvana's supply of magical power will be cut off,
context: It is me, Hot Eye.\Mass telepathy?\Who is it?\It is Richard-dono! You are unharmed?\Unfortunately, I am injured.\I was no match for Midnight, as I feared.\Everyone, please work together to defeat Midnight!\If you defeat him, Nirvana's supply of magical power will be cut off, response:	and the city should come to a halt.
context: Mass telepathy?\Who is it?\It is Richard-dono! You are unharmed?\Unfortunately, I am injured.\I was no match for Midnight, as I feared.\Everyone, please work together to defeat Midnight!\If you defeat him, Nirvana's supply of magical power will be cut off,\and the city should come to a halt. response:	Who is it?
context: Who is it?\It is Richard-dono! You are unharmed?\Unfortunately, I am injured.\I was no match for Midnight, as I feared.\Everyone, please work together to defeat Midnight!\If you defeat him, Nirvana's supply of magical power will be cut off,\and the city should come to a halt.\Who is it? response:	So, it moves using Body Link magic...
context: It is Richard-dono! You are unharmed?\Unfortunately, I am injured.\I was no match for Midnight, as I feared.\Everyone, please work together to defeat Midnight!\If you defeat him, Nirvana's supply of magical power will be cut off,\and the city should come to a halt.\Who is it?\So, it moves using Body Link magic... response:	He is directly below the King's Summit.
context: Unfortunately, I am injured.\I was no match for Midnight, as I feared.\Everyone, please work together to defeat Midnight!\If you defeat him, Nirvana's supply of magical power will be cut off,\and the city should come to a halt.\Who is it?\So, it moves using Body Link magic...\He is directly below the King's Summit. response:	Be careful. He is very, very powerful!
context: I was no match for Midnight, as I feared.\Everyone, please work together to defeat Midnight!\If you defeat him, Nirvana's supply of magical power will be cut off,\and the city should come to a halt.\Who is it?\So, it moves using Body Link magic...\He is directly below the King's Summit.\Be careful. He is very, very powerful! response:	Richard-dono...
context: Everyone, please work together to defeat Midnight!\If you defeat him, Nirvana's supply of magical power will be cut off,\and the city should come to a halt.\Who is it?\So, it moves using Body Link magic...\He is directly below the King's Summit.\Be careful. He is very, very powerful!\Richard-dono... response:	Directly below us?
context: If you defeat him, Nirvana's supply of magical power will be cut off,\and the city should come to a halt.\Who is it?\So, it moves using Body Link magic...\He is directly below the King's Summit.\Be careful. He is very, very powerful!\Richard-dono...\Directly below us? response:	Okay! I can see the light at the end of the tunnel!
context: and the city should come to a halt.\Who is it?\So, it moves using Body Link magic...\He is directly below the King's Summit.\Be careful. He is very, very powerful!\Richard-dono...\Directly below us?\Okay! I can see the light at the end of the tunnel! response:	Powerful, huh?
context: Who is it?\So, it moves using Body Link magic...\He is directly below the King's Summit.\Be careful. He is very, very powerful!\Richard-dono...\Directly below us?\Okay! I can see the light at the end of the tunnel!\Powerful, huh? response:	I'm getting fired up!
context: So, it moves using Body Link magic...\He is directly below the King's Summit.\Be careful. He is very, very powerful!\Richard-dono...\Directly below us?\Okay! I can see the light at the end of the tunnel!\Powerful, huh?\I'm getting fired up! response:	Natsu... It's to stop this thing, remember?
context: He is directly below the King's Summit.\Be careful. He is very, very powerful!\Richard-dono...\Directly below us?\Okay! I can see the light at the end of the tunnel!\Powerful, huh?\I'm getting fired up!\Natsu... It's to stop this thing, remember? response:	Right! Let's go!
context: Be careful. He is very, very powerful!\Richard-dono...\Directly below us?\Okay! I can see the light at the end of the tunnel!\Powerful, huh?\I'm getting fired up!\Natsu... It's to stop this thing, remember?\Right! Let's go! response:	Of the six prayers, only one is left.
context: Richard-dono...\Directly below us?\Okay! I can see the light at the end of the tunnel!\Powerful, huh?\I'm getting fired up!\Natsu... It's to stop this thing, remember?\Right! Let's go!\Of the six prayers, only one is left. response:	I believe in everyone!
context: Directly below us?\Okay! I can see the light at the end of the tunnel!\Powerful, huh?\I'm getting fired up!\Natsu... It's to stop this thing, remember?\Right! Let's go!\Of the six prayers, only one is left.\I believe in everyone! response:	You will surely win, and be able to stop Nirvana!
context: Okay! I can see the light at the end of the tunnel!\Powerful, huh?\I'm getting fired up!\Natsu... It's to stop this thing, remember?\Right! Let's go!\Of the six prayers, only one is left.\I believe in everyone!\You will surely win, and be able to stop Nirvana! response:	Please...
context: Powerful, huh?\I'm getting fired up!\Natsu... It's to stop this thing, remember?\Right! Let's go!\Of the six prayers, only one is left.\I believe in everyone!\You will surely win, and be able to stop Nirvana!\Please... response:	Richard-dono!
context: I'm getting fired up!\Natsu... It's to stop this thing, remember?\Right! Let's go!\Of the six prayers, only one is left.\I believe in everyone!\You will surely win, and be able to stop Nirvana!\Please...\Richard-dono! response:	You won't get away with this...
context: Natsu... It's to stop this thing, remember?\Right! Let's go!\Of the six prayers, only one is left.\I believe in everyone!\You will surely win, and be able to stop Nirvana!\Please...\Richard-dono!\You won't get away with this... response:	You'll pay...
context: Right! Let's go!\Of the six prayers, only one is left.\I believe in everyone!\You will surely win, and be able to stop Nirvana!\Please...\Richard-dono!\You won't get away with this...\You'll pay... response:	There?
context: Of the six prayers, only one is left.\I believe in everyone!\You will surely win, and be able to stop Nirvana!\Please...\Richard-dono!\You won't get away with this...\You'll pay...\There? response:	Okay!
context: I believe in everyone!\You will surely win, and be able to stop Nirvana!\Please...\Richard-dono!\You won't get away with this...\You'll pay...\There?\Okay! response:	Show yourself, you drowsy bastard!
context: You will surely win, and be able to stop Nirvana!\Please...\Richard-dono!\You won't get away with this...\You'll pay...\There?\Okay!\Show yourself, you drowsy bastard! response:	It's a trap!
context: Please...\Richard-dono!\You won't get away with this...\You'll pay...\There?\Okay!\Show yourself, you drowsy bastard!\It's a trap! response:	What was that explosion?
context: Richard-dono!\You won't get away with this...\You'll pay...\There?\Okay!\Show yourself, you drowsy bastard!\It's a trap!\What was that explosion? response:	It was toward the King's Summit...
context: You won't get away with this...\You'll pay...\There?\Okay!\Show yourself, you drowsy bastard!\It's a trap!\What was that explosion?\It was toward the King's Summit... response:	Father is such a bad person, taking away all my fun.
context: You'll pay...\There?\Okay!\Show yourself, you drowsy bastard!\It's a trap!\What was that explosion?\It was toward the King's Summit...\Father is such a bad person, taking away all my fun. response:	You two are now the final prey.
context: There?\Okay!\Show yourself, you drowsy bastard!\It's a trap!\What was that explosion?\It was toward the King's Summit...\Father is such a bad person, taking away all my fun.\You two are now the final prey. response:	I do hope this will be entertaining.
context: Okay!\Show yourself, you drowsy bastard!\It's a trap!\What was that explosion?\It was toward the King's Summit...\Father is such a bad person, taking away all my fun.\You two are now the final prey.\I do hope this will be entertaining. response:	Stand back, Erza.
context: Show yourself, you drowsy bastard!\It's a trap!\What was that explosion?\It was toward the King's Summit...\Father is such a bad person, taking away all my fun.\You two are now the final prey.\I do hope this will be entertaining.\Stand back, Erza. response:	Jellal...
context: It's a trap!\What was that explosion?\It was toward the King's Summit...\Father is such a bad person, taking away all my fun.\You two are now the final prey.\I do hope this will be entertaining.\Stand back, Erza.\Jellal... response:	Damn it... That hurt.
context: What was that explosion?\It was toward the King's Summit...\Father is such a bad person, taking away all my fun.\You two are now the final prey.\I do hope this will be entertaining.\Stand back, Erza.\Jellal...\Damn it... That hurt. response:	Is everyone alive?
context: It was toward the King's Summit...\Father is such a bad person, taking away all my fun.\You two are now the final prey.\I do hope this will be entertaining.\Stand back, Erza.\Jellal...\Damn it... That hurt.\Is everyone alive? response:	Aye...
context: Father is such a bad person, taking away all my fun.\You two are now the final prey.\I do hope this will be entertaining.\Stand back, Erza.\Jellal...\Damn it... That hurt.\Is everyone alive?\Aye... response:	What happened? We were caught up in that giant explosion and...
context: You two are now the final prey.\I do hope this will be entertaining.\Stand back, Erza.\Jellal...\Damn it... That hurt.\Is everyone alive?\Aye...\What happened? We were caught up in that giant explosion and... response:	We're buried?
context: I do hope this will be entertaining.\Stand back, Erza.\Jellal...\Damn it... That hurt.\Is everyone alive?\Aye...\What happened? We were caught up in that giant explosion and...\We're buried? response:	Wait, this is...
context: Stand back, Erza.\Jellal...\Damn it... That hurt.\Is everyone alive?\Aye...\What happened? We were caught up in that giant explosion and...\We're buried?\Wait, this is... response:	Old dude!
context: Jellal...\Damn it... That hurt.\Is everyone alive?\Aye...\What happened? We were caught up in that giant explosion and...\We're buried?\Wait, this is...\Old dude! response:	Jura!
context: Damn it... That hurt.\Is everyone alive?\Aye...\What happened? We were caught up in that giant explosion and...\We're buried?\Wait, this is...\Old dude!\Jura! response:	He protected us?
context: Is everyone alive?\Aye...\What happened? We were caught up in that giant explosion and...\We're buried?\Wait, this is...\Old dude!\Jura!\He protected us? response:	Gramps!
context: Aye...\What happened? We were caught up in that giant explosion and...\We're buried?\Wait, this is...\Old dude!\Jura!\He protected us?\Gramps! response:	Stay well, young ones...
context: What happened? We were caught up in that giant explosion and...\We're buried?\Wait, this is...\Old dude!\Jura!\He protected us?\Gramps!\Stay well, young ones... response:	I am glad you are safe.
context: We're buried?\Wait, this is...\Old dude!\Jura!\He protected us?\Gramps!\Stay well, young ones...\I am glad you are safe. response:	Old dude!
context: Wait, this is...\Old dude!\Jura!\He protected us?\Gramps!\Stay well, young ones...\I am glad you are safe.\Old dude! response:	Hang in there!
context: Old dude!\Jura!\He protected us?\Gramps!\Stay well, young ones...\I am glad you are safe.\Old dude!\Hang in there! response:	Jura!
context: Jura!\He protected us?\Gramps!\Stay well, young ones...\I am glad you are safe.\Old dude!\Hang in there!\Jura! response:	Damn it all!
context: He protected us?\Gramps!\Stay well, young ones...\I am glad you are safe.\Old dude!\Hang in there!\Jura!\Damn it all! response:	It's definitely heading toward Caitshelter.
context: Gramps!\Stay well, young ones...\I am glad you are safe.\Old dude!\Hang in there!\Jura!\Damn it all!\It's definitely heading toward Caitshelter. response:	Wendy, I'm sorry, but I can't fly much farther.
context: Stay well, young ones...\I am glad you are safe.\Old dude!\Hang in there!\Jura!\Damn it all!\It's definitely heading toward Caitshelter.\Wendy, I'm sorry, but I can't fly much farther. response:	Okay. Sorry, Carla.
context: I am glad you are safe.\Old dude!\Hang in there!\Jura!\Damn it all!\It's definitely heading toward Caitshelter.\Wendy, I'm sorry, but I can't fly much farther.\Okay. Sorry, Carla. response:	Let's search for Jellal on foot.
context: Old dude!\Hang in there!\Jura!\Damn it all!\It's definitely heading toward Caitshelter.\Wendy, I'm sorry, but I can't fly much farther.\Okay. Sorry, Carla.\Let's search for Jellal on foot. response:	You have a good sense of smell, after all.
context: Hang in there!\Jura!\Damn it all!\It's definitely heading toward Caitshelter.\Wendy, I'm sorry, but I can't fly much farther.\Okay. Sorry, Carla.\Let's search for Jellal on foot.\You have a good sense of smell, after all. response:	But that Jellal smells a little different than the one I know.
context: Jura!\Damn it all!\It's definitely heading toward Caitshelter.\Wendy, I'm sorry, but I can't fly much farther.\Okay. Sorry, Carla.\Let's search for Jellal on foot.\You have a good sense of smell, after all.\But that Jellal smells a little different than the one I know. response:	A-Anyway, let's search for Jellal.
context: Damn it all!\It's definitely heading toward Caitshelter.\Wendy, I'm sorry, but I can't fly much farther.\Okay. Sorry, Carla.\Let's search for Jellal on foot.\You have a good sense of smell, after all.\But that Jellal smells a little different than the one I know.\A-Anyway, let's search for Jellal. response:	He might be able to stop this thing.
context: It's definitely heading toward Caitshelter.\Wendy, I'm sorry, but I can't fly much farther.\Okay. Sorry, Carla.\Let's search for Jellal on foot.\You have a good sense of smell, after all.\But that Jellal smells a little different than the one I know.\A-Anyway, let's search for Jellal.\He might be able to stop this thing. response:	Right.
context: Wendy, I'm sorry, but I can't fly much farther.\Okay. Sorry, Carla.\Let's search for Jellal on foot.\You have a good sense of smell, after all.\But that Jellal smells a little different than the one I know.\A-Anyway, let's search for Jellal.\He might be able to stop this thing.\Right. response:	Please be safe, Jellal...
context: Okay. Sorry, Carla.\Let's search for Jellal on foot.\You have a good sense of smell, after all.\But that Jellal smells a little different than the one I know.\A-Anyway, let's search for Jellal.\He might be able to stop this thing.\Right.\Please be safe, Jellal... response:	It seems like you forgot about me, but I haven't forgotten about you for a single day.
context: Let's search for Jellal on foot.\You have a good sense of smell, after all.\But that Jellal smells a little different than the one I know.\A-Anyway, let's search for Jellal.\He might be able to stop this thing.\Right.\Please be safe, Jellal...\It seems like you forgot about me, but I haven't forgotten about you for a single day. response:	It didn't hit?
context: You have a good sense of smell, after all.\But that Jellal smells a little different than the one I know.\A-Anyway, let's search for Jellal.\He might be able to stop this thing.\Right.\Please be safe, Jellal...\It seems like you forgot about me, but I haven't forgotten about you for a single day.\It didn't hit? response:	Stop it, Jellal...
context: But that Jellal smells a little different than the one I know.\A-Anyway, let's search for Jellal.\He might be able to stop this thing.\Right.\Please be safe, Jellal...\It seems like you forgot about me, but I haven't forgotten about you for a single day.\It didn't hit?\Stop it, Jellal... response:	It's impossible for you with your body like that.
context: A-Anyway, let's search for Jellal.\He might be able to stop this thing.\Right.\Please be safe, Jellal...\It seems like you forgot about me, but I haven't forgotten about you for a single day.\It didn't hit?\Stop it, Jellal...\It's impossible for you with your body like that. response:	I will...
context: He might be able to stop this thing.\Right.\Please be safe, Jellal...\It seems like you forgot about me, but I haven't forgotten about you for a single day.\It didn't hit?\Stop it, Jellal...\It's impossible for you with your body like that.\I will... response:	Come here.
context: Right.\Please be safe, Jellal...\It seems like you forgot about me, but I haven't forgotten about you for a single day.\It didn't hit?\Stop it, Jellal...\It's impossible for you with your body like that.\I will...\Come here. response:	Pitiful... This is that Jellal?
context: Please be safe, Jellal...\It seems like you forgot about me, but I haven't forgotten about you for a single day.\It didn't hit?\Stop it, Jellal...\It's impossible for you with your body like that.\I will...\Come here.\Pitiful... This is that Jellal? response:	Just a pathetic clown.
context: It seems like you forgot about me, but I haven't forgotten about you for a single day.\It didn't hit?\Stop it, Jellal...\It's impossible for you with your body like that.\I will...\Come here.\Pitiful... This is that Jellal?\Just a pathetic clown. response:	Did you forget how to use magic along with your memories, Jellal-kun?
context: It didn't hit?\Stop it, Jellal...\It's impossible for you with your body like that.\I will...\Come here.\Pitiful... This is that Jellal?\Just a pathetic clown.\Did you forget how to use magic along with your memories, Jellal-kun? response:	Someone like Jellal defeated so easily?
