context: Miss Kobayashi, Miss Kobayashi! response:	I'm the ultimate maid, aren't I?
context: So, I returned victorious!\Is that maid cafe going to be okay?\Well, I have had a lot of free time on my hands lately while you and Kanna are gone.\You're like a wife getting a part-time job because she's bored!\So, you are going to try working, then?\Will you be okay?\What are you talking about?\I work as a maid every day. response:	I'm used to it!
context: Is that maid cafe going to be okay?\Well, I have had a lot of free time on my hands lately while you and Kanna are gone.\You're like a wife getting a part-time job because she's bored!\So, you are going to try working, then?\Will you be okay?\What are you talking about?\I work as a maid every day.\I'm used to it! response:	No.
context: Well, I have had a lot of free time on my hands lately while you and Kanna are gone.\You're like a wife getting a part-time job because she's bored!\So, you are going to try working, then?\Will you be okay?\What are you talking about?\I work as a maid every day.\I'm used to it!\No. response:	Tohru, I may work at a company now,
context: You're like a wife getting a part-time job because she's bored!\So, you are going to try working, then?\Will you be okay?\What are you talking about?\I work as a maid every day.\I'm used to it!\No.\Tohru, I may work at a company now, response:	but when I lived with my parents I worked at a restaurant.
context: So, you are going to try working, then?\Will you be okay?\What are you talking about?\I work as a maid every day.\I'm used to it!\No.\Tohru, I may work at a company now,\but when I lived with my parents I worked at a restaurant. response:	So, listen.
context: Will you be okay?\What are you talking about?\I work as a maid every day.\I'm used to it!\No.\Tohru, I may work at a company now,\but when I lived with my parents I worked at a restaurant.\So, listen. response:	You shouldn't underestimate the service industry.
context: What are you talking about?\I work as a maid every day.\I'm used to it!\No.\Tohru, I may work at a company now,\but when I lived with my parents I worked at a restaurant.\So, listen.\You shouldn't underestimate the service industry. response:	M-Miss Kobayashi?!
context: I work as a maid every day.\I'm used to it!\No.\Tohru, I may work at a company now,\but when I lived with my parents I worked at a restaurant.\So, listen.\You shouldn't underestimate the service industry.\M-Miss Kobayashi?! response:	The cosplay maids at maid cafes go against my personal principles,
context: I'm used to it!\No.\Tohru, I may work at a company now,\but when I lived with my parents I worked at a restaurant.\So, listen.\You shouldn't underestimate the service industry.\M-Miss Kobayashi?!\The cosplay maids at maid cafes go against my personal principles, response:	but their spirit of service is worthy of respect.
context: No.\Tohru, I may work at a company now,\but when I lived with my parents I worked at a restaurant.\So, listen.\You shouldn't underestimate the service industry.\M-Miss Kobayashi?!\The cosplay maids at maid cafes go against my personal principles,\but their spirit of service is worthy of respect. response:	This is a good opportunity, Tohru.
context: Tohru, I may work at a company now,\but when I lived with my parents I worked at a restaurant.\So, listen.\You shouldn't underestimate the service industry.\M-Miss Kobayashi?!\The cosplay maids at maid cafes go against my personal principles,\but their spirit of service is worthy of respect.\This is a good opportunity, Tohru. response:	You should go learn about the service industry.
context: but when I lived with my parents I worked at a restaurant.\So, listen.\You shouldn't underestimate the service industry.\M-Miss Kobayashi?!\The cosplay maids at maid cafes go against my personal principles,\but their spirit of service is worthy of respect.\This is a good opportunity, Tohru.\You should go learn about the service industry. response:	You're making me kind of scared now.
context: So, listen.\You shouldn't underestimate the service industry.\M-Miss Kobayashi?!\The cosplay maids at maid cafes go against my personal principles,\but their spirit of service is worthy of respect.\This is a good opportunity, Tohru.\You should go learn about the service industry.\You're making me kind of scared now. response:	Several Days Later...
context: You shouldn't underestimate the service industry.\M-Miss Kobayashi?!\The cosplay maids at maid cafes go against my personal principles,\but their spirit of service is worthy of respect.\This is a good opportunity, Tohru.\You should go learn about the service industry.\You're making me kind of scared now.\Several Days Later... response:	Well,
context: M-Miss Kobayashi?!\The cosplay maids at maid cafes go against my personal principles,\but their spirit of service is worthy of respect.\This is a good opportunity, Tohru.\You should go learn about the service industry.\You're making me kind of scared now.\Several Days Later...\Well, response:	it's been some time since then,
context: The cosplay maids at maid cafes go against my personal principles,\but their spirit of service is worthy of respect.\This is a good opportunity, Tohru.\You should go learn about the service industry.\You're making me kind of scared now.\Several Days Later...\Well,\it's been some time since then, response:	so I wonder if Tohru is doing a good job at work.
context: but their spirit of service is worthy of respect.\This is a good opportunity, Tohru.\You should go learn about the service industry.\You're making me kind of scared now.\Several Days Later...\Well,\it's been some time since then,\so I wonder if Tohru is doing a good job at work. response:	Kanna Kamui (Actually a Dragon)
context: This is a good opportunity, Tohru.\You should go learn about the service industry.\You're making me kind of scared now.\Several Days Later...\Well,\it's been some time since then,\so I wonder if Tohru is doing a good job at work.\Kanna Kamui (Actually a Dragon) response:	Kobayashi, you're a worrywart.
context: You should go learn about the service industry.\You're making me kind of scared now.\Several Days Later...\Well,\it's been some time since then,\so I wonder if Tohru is doing a good job at work.\Kanna Kamui (Actually a Dragon)\Kobayashi, you're a worrywart. response:	Is this it?
context: You're making me kind of scared now.\Several Days Later...\Well,\it's been some time since then,\so I wonder if Tohru is doing a good job at work.\Kanna Kamui (Actually a Dragon)\Kobayashi, you're a worrywart.\Is this it? response:	Oh!
context: Several Days Later...\Well,\it's been some time since then,\so I wonder if Tohru is doing a good job at work.\Kanna Kamui (Actually a Dragon)\Kobayashi, you're a worrywart.\Is this it?\Oh! response:	And young lady.
context: Well,\it's been some time since then,\so I wonder if Tohru is doing a good job at work.\Kanna Kamui (Actually a Dragon)\Kobayashi, you're a worrywart.\Is this it?\Oh!\And young lady. response:	Oh!
context: it's been some time since then,\so I wonder if Tohru is doing a good job at work.\Kanna Kamui (Actually a Dragon)\Kobayashi, you're a worrywart.\Is this it?\Oh!\And young lady.\Oh! response:	There're so many people like Lady Tohru!
context: so I wonder if Tohru is doing a good job at work.\Kanna Kamui (Actually a Dragon)\Kobayashi, you're a worrywart.\Is this it?\Oh!\And young lady.\Oh!\There're so many people like Lady Tohru! response:	Looks like this maid cafe went with plain style maids.
context: Kanna Kamui (Actually a Dragon)\Kobayashi, you're a worrywart.\Is this it?\Oh!\And young lady.\Oh!\There're so many people like Lady Tohru!\Looks like this maid cafe went with plain style maids. response:	People don't use the word moe very much anymore,
context: Kobayashi, you're a worrywart.\Is this it?\Oh!\And young lady.\Oh!\There're so many people like Lady Tohru!\Looks like this maid cafe went with plain style maids.\People don't use the word moe very much anymore, response:	but they've kept the spirit of those times.
context: Is this it?\Oh!\And young lady.\Oh!\There're so many people like Lady Tohru!\Looks like this maid cafe went with plain style maids.\People don't use the word moe very much anymore,\but they've kept the spirit of those times. response:	Now, the menu...
context: Oh!\And young lady.\Oh!\There're so many people like Lady Tohru!\Looks like this maid cafe went with plain style maids.\People don't use the word moe very much anymore,\but they've kept the spirit of those times.\Now, the menu... response:	Yeah!
context: And young lady.\Oh!\There're so many people like Lady Tohru!\Looks like this maid cafe went with plain style maids.\People don't use the word moe very much anymore,\but they've kept the spirit of those times.\Now, the menu...\Yeah! response:	This is also true to those roots.
context: Oh!\There're so many people like Lady Tohru!\Looks like this maid cafe went with plain style maids.\People don't use the word moe very much anymore,\but they've kept the spirit of those times.\Now, the menu...\Yeah!\This is also true to those roots. response:	There's a special service with every menu item.
context: There're so many people like Lady Tohru!\Looks like this maid cafe went with plain style maids.\People don't use the word moe very much anymore,\but they've kept the spirit of those times.\Now, the menu...\Yeah!\This is also true to those roots.\There's a special service with every menu item. response:	I'm betting the magic chants like Turn delicious, moemoe kyun
context: Looks like this maid cafe went with plain style maids.\People don't use the word moe very much anymore,\but they've kept the spirit of those times.\Now, the menu...\Yeah!\This is also true to those roots.\There's a special service with every menu item.\I'm betting the magic chants like Turn delicious, moemoe kyun response:	are different for each one.
context: People don't use the word moe very much anymore,\but they've kept the spirit of those times.\Now, the menu...\Yeah!\This is also true to those roots.\There's a special service with every menu item.\I'm betting the magic chants like Turn delicious, moemoe kyun\are different for each one. response:	You know a lot, Kobayashi.
context: but they've kept the spirit of those times.\Now, the menu...\Yeah!\This is also true to those roots.\There's a special service with every menu item.\I'm betting the magic chants like Turn delicious, moemoe kyun\are different for each one.\You know a lot, Kobayashi. response:	Just between you and me,
context: Now, the menu...\Yeah!\This is also true to those roots.\There's a special service with every menu item.\I'm betting the magic chants like Turn delicious, moemoe kyun\are different for each one.\You know a lot, Kobayashi.\Just between you and me, response:	long ago I tried to work in a cafe like this.
context: Yeah!\This is also true to those roots.\There's a special service with every menu item.\I'm betting the magic chants like Turn delicious, moemoe kyun\are different for each one.\You know a lot, Kobayashi.\Just between you and me,\long ago I tried to work in a cafe like this. response:	It didn't work.
context: This is also true to those roots.\There's a special service with every menu item.\I'm betting the magic chants like Turn delicious, moemoe kyun\are different for each one.\You know a lot, Kobayashi.\Just between you and me,\long ago I tried to work in a cafe like this.\It didn't work. response:	It didn't work out.
context: There's a special service with every menu item.\I'm betting the magic chants like Turn delicious, moemoe kyun\are different for each one.\You know a lot, Kobayashi.\Just between you and me,\long ago I tried to work in a cafe like this.\It didn't work.\It didn't work out. response:	I don't get it, but poor you.
context: I'm betting the magic chants like Turn delicious, moemoe kyun\are different for each one.\You know a lot, Kobayashi.\Just between you and me,\long ago I tried to work in a cafe like this.\It didn't work.\It didn't work out.\I don't get it, but poor you. response:	More importantly, where's Tohru?
context: are different for each one.\You know a lot, Kobayashi.\Just between you and me,\long ago I tried to work in a cafe like this.\It didn't work.\It didn't work out.\I don't get it, but poor you.\More importantly, where's Tohru? response:	Back there.
context: You know a lot, Kobayashi.\Just between you and me,\long ago I tried to work in a cafe like this.\It didn't work.\It didn't work out.\I don't get it, but poor you.\More importantly, where's Tohru?\Back there. response:	Table 10, order's up!
context: Just between you and me,\long ago I tried to work in a cafe like this.\It didn't work.\It didn't work out.\I don't get it, but poor you.\More importantly, where's Tohru?\Back there.\Table 10, order's up! response:	On it!
context: long ago I tried to work in a cafe like this.\It didn't work.\It didn't work out.\I don't get it, but poor you.\More importantly, where's Tohru?\Back there.\Table 10, order's up!\On it! response:	I'm running low on plates, so lay them out, lay them out!
context: It didn't work.\It didn't work out.\I don't get it, but poor you.\More importantly, where's Tohru?\Back there.\Table 10, order's up!\On it!\I'm running low on plates, so lay them out, lay them out! response:	Right away!
context: It didn't work out.\I don't get it, but poor you.\More importantly, where's Tohru?\Back there.\Table 10, order's up!\On it!\I'm running low on plates, so lay them out, lay them out!\Right away! response:	That's incredible skill!
context: I don't get it, but poor you.\More importantly, where's Tohru?\Back there.\Table 10, order's up!\On it!\I'm running low on plates, so lay them out, lay them out!\Right away!\That's incredible skill! response:	Way to go, Head Chef!
context: More importantly, where's Tohru?\Back there.\Table 10, order's up!\On it!\I'm running low on plates, so lay them out, lay them out!\Right away!\That's incredible skill!\Way to go, Head Chef! response:	You're really a huge help, Head Chef!
context: Back there.\Table 10, order's up!\On it!\I'm running low on plates, so lay them out, lay them out!\Right away!\That's incredible skill!\Way to go, Head Chef!\You're really a huge help, Head Chef! response:	Head Chef Tohru-sama!
context: Table 10, order's up!\On it!\I'm running low on plates, so lay them out, lay them out!\Right away!\That's incredible skill!\Way to go, Head Chef!\You're really a huge help, Head Chef!\Head Chef Tohru-sama! response:	No, no, it's thanks to you all working efficiently...
context: On it!\I'm running low on plates, so lay them out, lay them out!\Right away!\That's incredible skill!\Way to go, Head Chef!\You're really a huge help, Head Chef!\Head Chef Tohru-sama!\No, no, it's thanks to you all working efficiently... response:	Miss Kobayashi!
context: I'm running low on plates, so lay them out, lay them out!\Right away!\That's incredible skill!\Way to go, Head Chef!\You're really a huge help, Head Chef!\Head Chef Tohru-sama!\No, no, it's thanks to you all working efficiently...\Miss Kobayashi! response:	You came to see me?!
context: Right away!\That's incredible skill!\Way to go, Head Chef!\You're really a huge help, Head Chef!\Head Chef Tohru-sama!\No, no, it's thanks to you all working efficiently...\Miss Kobayashi!\You came to see me?! response:	You're doing a splendid job.
context: That's incredible skill!\Way to go, Head Chef!\You're really a huge help, Head Chef!\Head Chef Tohru-sama!\No, no, it's thanks to you all working efficiently...\Miss Kobayashi!\You came to see me?!\You're doing a splendid job. response:	I'm surprised.
context: Way to go, Head Chef!\You're really a huge help, Head Chef!\Head Chef Tohru-sama!\No, no, it's thanks to you all working efficiently...\Miss Kobayashi!\You came to see me?!\You're doing a splendid job.\I'm surprised. response:	You see that?
context: You're really a huge help, Head Chef!\Head Chef Tohru-sama!\No, no, it's thanks to you all working efficiently...\Miss Kobayashi!\You came to see me?!\You're doing a splendid job.\I'm surprised.\You see that? response:	It's easy for me to handle!
context: Head Chef Tohru-sama!\No, no, it's thanks to you all working efficiently...\Miss Kobayashi!\You came to see me?!\You're doing a splendid job.\I'm surprised.\You see that?\It's easy for me to handle! response:	I've taken another step forward as a maid...
context: No, no, it's thanks to you all working efficiently...\Miss Kobayashi!\You came to see me?!\You're doing a splendid job.\I'm surprised.\You see that?\It's easy for me to handle!\I've taken another step forward as a maid... response:	As a maid...
context: Miss Kobayashi!\You came to see me?!\You're doing a splendid job.\I'm surprised.\You see that?\It's easy for me to handle!\I've taken another step forward as a maid...\As a maid... response:	I'm not working as a maid at all!
context: You came to see me?!\You're doing a splendid job.\I'm surprised.\You see that?\It's easy for me to handle!\I've taken another step forward as a maid...\As a maid...\I'm not working as a maid at all! response:	Yeah, you're the chef.
context: You're doing a splendid job.\I'm surprised.\You see that?\It's easy for me to handle!\I've taken another step forward as a maid...\As a maid...\I'm not working as a maid at all!\Yeah, you're the chef. response:	Hold on, I'll go ask someone on the floor to swap with me!
context: I'm surprised.\You see that?\It's easy for me to handle!\I've taken another step forward as a maid...\As a maid...\I'm not working as a maid at all!\Yeah, you're the chef.\Hold on, I'll go ask someone on the floor to swap with me! response:	No, I think they put you in the right position.
context: You see that?\It's easy for me to handle!\I've taken another step forward as a maid...\As a maid...\I'm not working as a maid at all!\Yeah, you're the chef.\Hold on, I'll go ask someone on the floor to swap with me!\No, I think they put you in the right position. response:	No, it's the right position for a volcanic dragon!
context: It's easy for me to handle!\I've taken another step forward as a maid...\As a maid...\I'm not working as a maid at all!\Yeah, you're the chef.\Hold on, I'll go ask someone on the floor to swap with me!\No, I think they put you in the right position.\No, it's the right position for a volcanic dragon! response:	Please go out and come back in again!
context: I've taken another step forward as a maid...\As a maid...\I'm not working as a maid at all!\Yeah, you're the chef.\Hold on, I'll go ask someone on the floor to swap with me!\No, I think they put you in the right position.\No, it's the right position for a volcanic dragon!\Please go out and come back in again! response:	Eh?
context: As a maid...\I'm not working as a maid at all!\Yeah, you're the chef.\Hold on, I'll go ask someone on the floor to swap with me!\No, I think they put you in the right position.\No, it's the right position for a volcanic dragon!\Please go out and come back in again!\Eh? response:	Turn delicious.
context: I'm not working as a maid at all!\Yeah, you're the chef.\Hold on, I'll go ask someone on the floor to swap with me!\No, I think they put you in the right position.\No, it's the right position for a volcanic dragon!\Please go out and come back in again!\Eh?\Turn delicious. response:	It's good.
context: Yeah, you're the chef.\Hold on, I'll go ask someone on the floor to swap with me!\No, I think they put you in the right position.\No, it's the right position for a volcanic dragon!\Please go out and come back in again!\Eh?\Turn delicious.\It's good. response:	Tch, it's supposed to be Master!
context: Hold on, I'll go ask someone on the floor to swap with me!\No, I think they put you in the right position.\No, it's the right position for a volcanic dragon!\Please go out and come back in again!\Eh?\Turn delicious.\It's good.\Tch, it's supposed to be Master! response:	When Head Chef first started on the floor she said,
context: No, I think they put you in the right position.\No, it's the right position for a volcanic dragon!\Please go out and come back in again!\Eh?\Turn delicious.\It's good.\Tch, it's supposed to be Master!\When Head Chef first started on the floor she said, response:	I refuse to call anyone but Miss Kobayashi'Master'!
context: No, it's the right position for a volcanic dragon!\Please go out and come back in again!\Eh?\Turn delicious.\It's good.\Tch, it's supposed to be Master!\When Head Chef first started on the floor she said,\I refuse to call anyone but Miss Kobayashi'Master'! response:	Wait, she doesn't even call me Master, though.
context: Please go out and come back in again!\Eh?\Turn delicious.\It's good.\Tch, it's supposed to be Master!\When Head Chef first started on the floor she said,\I refuse to call anyone but Miss Kobayashi'Master'!\Wait, she doesn't even call me Master, though. response:	Please have a seat over here!
context: Eh?\Turn delicious.\It's good.\Tch, it's supposed to be Master!\When Head Chef first started on the floor she said,\I refuse to call anyone but Miss Kobayashi'Master'!\Wait, she doesn't even call me Master, though.\Please have a seat over here! response:	Now I can finally order.
context: Turn delicious.\It's good.\Tch, it's supposed to be Master!\When Head Chef first started on the floor she said,\I refuse to call anyone but Miss Kobayashi'Master'!\Wait, she doesn't even call me Master, though.\Please have a seat over here!\Now I can finally order. response:	Omelet rice! Omelet rice!
context: It's good.\Tch, it's supposed to be Master!\When Head Chef first started on the floor she said,\I refuse to call anyone but Miss Kobayashi'Master'!\Wait, she doesn't even call me Master, though.\Please have a seat over here!\Now I can finally order.\Omelet rice! Omelet rice! response:	Okay, two omelet rices.
context: Tch, it's supposed to be Master!\When Head Chef first started on the floor she said,\I refuse to call anyone but Miss Kobayashi'Master'!\Wait, she doesn't even call me Master, though.\Please have a seat over here!\Now I can finally order.\Omelet rice! Omelet rice!\Okay, two omelet rices. response:	Yes, coming right up!
context: When Head Chef first started on the floor she said,\I refuse to call anyone but Miss Kobayashi'Master'!\Wait, she doesn't even call me Master, though.\Please have a seat over here!\Now I can finally order.\Omelet rice! Omelet rice!\Okay, two omelet rices.\Yes, coming right up! response:	Now I'll cast a spell to make it delicious!
context: I refuse to call anyone but Miss Kobayashi'Master'!\Wait, she doesn't even call me Master, though.\Please have a seat over here!\Now I can finally order.\Omelet rice! Omelet rice!\Okay, two omelet rices.\Yes, coming right up!\Now I'll cast a spell to make it delicious! response:	Be cute about it.
context: Wait, she doesn't even call me Master, though.\Please have a seat over here!\Now I can finally order.\Omelet rice! Omelet rice!\Okay, two omelet rices.\Yes, coming right up!\Now I'll cast a spell to make it delicious!\Be cute about it. response:	Of course!
context: Please have a seat over here!\Now I can finally order.\Omelet rice! Omelet rice!\Okay, two omelet rices.\Yes, coming right up!\Now I'll cast a spell to make it delicious!\Be cute about it.\Of course! response:	I call upon the Shadow King that rules over this world,
context: Now I can finally order.\Omelet rice! Omelet rice!\Okay, two omelet rices.\Yes, coming right up!\Now I'll cast a spell to make it delicious!\Be cute about it.\Of course!\I call upon the Shadow King that rules over this world, response:	make this the greatest it can be with these dark arts!
context: Omelet rice! Omelet rice!\Okay, two omelet rices.\Yes, coming right up!\Now I'll cast a spell to make it delicious!\Be cute about it.\Of course!\I call upon the Shadow King that rules over this world,\make this the greatest it can be with these dark arts! response:	I beseech thee for abundance and quality worth praise!
context: Okay, two omelet rices.\Yes, coming right up!\Now I'll cast a spell to make it delicious!\Be cute about it.\Of course!\I call upon the Shadow King that rules over this world,\make this the greatest it can be with these dark arts!\I beseech thee for abundance and quality worth praise! response:	Change its value and bring forth another monument to your glory!
