context: A recently opened restaurant in a corner of Hargeon, 8island. response:	I would like a blue-sky with meat sauce, and a holly soda-poyo.
context: Yes. I learned a lot today.\She's into the outfit...\I think I understand better how Mira-chan must feel...\Man, what a feast!\You ate too much of the store's food!\What's the big deal about it?\What's with your attitude?\By the way, Yajima-san... What has happened with the Council? response:	Well, I've already retired.
context: She's into the outfit...\I think I understand better how Mira-chan must feel...\Man, what a feast!\You ate too much of the store's food!\What's the big deal about it?\What's with your attitude?\By the way, Yajima-san... What has happened with the Council?\Well, I've already retired. response:	The Council?!
context: I think I understand better how Mira-chan must feel...\Man, what a feast!\You ate too much of the store's food!\What's the big deal about it?\What's with your attitude?\By the way, Yajima-san... What has happened with the Council?\Well, I've already retired.\The Council?! response:	What, you didn't know?
context: Man, what a feast!\You ate too much of the store's food!\What's the big deal about it?\What's with your attitude?\By the way, Yajima-san... What has happened with the Council?\Well, I've already retired.\The Council?!\What, you didn't know? response:	Yajima-san used to be a member of the Council.
context: You ate too much of the store's food!\What's the big deal about it?\What's with your attitude?\By the way, Yajima-san... What has happened with the Council?\Well, I've already retired.\The Council?!\What, you didn't know?\Yajima-san used to be a member of the Council. response:	Zuuku...
context: What's the big deal about it?\What's with your attitude?\By the way, Yajima-san... What has happened with the Council?\Well, I've already retired.\The Council?!\What, you didn't know?\Yajima-san used to be a member of the Council.\Zuuku... response:	Or was it Zullal?
context: What's with your attitude?\By the way, Yajima-san... What has happened with the Council?\Well, I've already retired.\The Council?!\What, you didn't know?\Yajima-san used to be a member of the Council.\Zuuku...\Or was it Zullal? response:	Jellal.
context: By the way, Yajima-san... What has happened with the Council?\Well, I've already retired.\The Council?!\What, you didn't know?\Yajima-san used to be a member of the Council.\Zuuku...\Or was it Zullal?\Jellal. response:	Ah yes, that's right.
context: Well, I've already retired.\The Council?!\What, you didn't know?\Yajima-san used to be a member of the Council.\Zuuku...\Or was it Zullal?\Jellal.\Ah yes, that's right. response:	The betrayal of Zullal and Ultear was quite the blunder for the Council.
context: The Council?!\What, you didn't know?\Yajima-san used to be a member of the Council.\Zuuku...\Or was it Zullal?\Jellal.\Ah yes, that's right.\The betrayal of Zullal and Ultear was quite the blunder for the Council. response:	Now should be the time to establish a fresh, new Magic Council,
context: What, you didn't know?\Yajima-san used to be a member of the Council.\Zuuku...\Or was it Zullal?\Jellal.\Ah yes, that's right.\The betrayal of Zullal and Ultear was quite the blunder for the Council.\Now should be the time to establish a fresh, new Magic Council, response:	and the groundwork for it seems to be being laid in all quarters.
context: Yajima-san used to be a member of the Council.\Zuuku...\Or was it Zullal?\Jellal.\Ah yes, that's right.\The betrayal of Zullal and Ultear was quite the blunder for the Council.\Now should be the time to establish a fresh, new Magic Council,\and the groundwork for it seems to be being laid in all quarters. response:	It caused you all quite a lot of grief, it did...
context: Zuuku...\Or was it Zullal?\Jellal.\Ah yes, that's right.\The betrayal of Zullal and Ultear was quite the blunder for the Council.\Now should be the time to establish a fresh, new Magic Council,\and the groundwork for it seems to be being laid in all quarters.\It caused you all quite a lot of grief, it did... response:	I am really sorry about it.
context: Or was it Zullal?\Jellal.\Ah yes, that's right.\The betrayal of Zullal and Ultear was quite the blunder for the Council.\Now should be the time to establish a fresh, new Magic Council,\and the groundwork for it seems to be being laid in all quarters.\It caused you all quite a lot of grief, it did...\I am really sorry about it. response:	No... I've heard that you were set against firing Etherion the entire time.
context: Jellal.\Ah yes, that's right.\The betrayal of Zullal and Ultear was quite the blunder for the Council.\Now should be the time to establish a fresh, new Magic Council,\and the groundwork for it seems to be being laid in all quarters.\It caused you all quite a lot of grief, it did...\I am really sorry about it.\No... I've heard that you were set against firing Etherion the entire time. response:	And you even retired out of shame for the actions of the Council.
context: Ah yes, that's right.\The betrayal of Zullal and Ultear was quite the blunder for the Council.\Now should be the time to establish a fresh, new Magic Council,\and the groundwork for it seems to be being laid in all quarters.\It caused you all quite a lot of grief, it did...\I am really sorry about it.\No... I've heard that you were set against firing Etherion the entire time.\And you even retired out of shame for the actions of the Council. response:	I'm not fit for governing...
context: The betrayal of Zullal and Ultear was quite the blunder for the Council.\Now should be the time to establish a fresh, new Magic Council,\and the groundwork for it seems to be being laid in all quarters.\It caused you all quite a lot of grief, it did...\I am really sorry about it.\No... I've heard that you were set against firing Etherion the entire time.\And you even retired out of shame for the actions of the Council.\I'm not fit for governing... response:	As I thought...
context: Now should be the time to establish a fresh, new Magic Council,\and the groundwork for it seems to be being laid in all quarters.\It caused you all quite a lot of grief, it did...\I am really sorry about it.\No... I've heard that you were set against firing Etherion the entire time.\And you even retired out of shame for the actions of the Council.\I'm not fit for governing...\As I thought... response:	I have a lot more fun being a cook!
context: and the groundwork for it seems to be being laid in all quarters.\It caused you all quite a lot of grief, it did...\I am really sorry about it.\No... I've heard that you were set against firing Etherion the entire time.\And you even retired out of shame for the actions of the Council.\I'm not fit for governing...\As I thought...\I have a lot more fun being a cook! response:	By the way, Natsu-kun, Gray-kun...
context: It caused you all quite a lot of grief, it did...\I am really sorry about it.\No... I've heard that you were set against firing Etherion the entire time.\And you even retired out of shame for the actions of the Council.\I'm not fit for governing...\As I thought...\I have a lot more fun being a cook!\By the way, Natsu-kun, Gray-kun... response:	There will be a new Council now.
context: I am really sorry about it.\No... I've heard that you were set against firing Etherion the entire time.\And you even retired out of shame for the actions of the Council.\I'm not fit for governing...\As I thought...\I have a lot more fun being a cook!\By the way, Natsu-kun, Gray-kun...\There will be a new Council now. response:	I won't be there any longer.
context: No... I've heard that you were set against firing Etherion the entire time.\And you even retired out of shame for the actions of the Council.\I'm not fit for governing...\As I thought...\I have a lot more fun being a cook!\By the way, Natsu-kun, Gray-kun...\There will be a new Council now.\I won't be there any longer. response:	That means that no one will be there to speak up for Fairy Tail.
context: And you even retired out of shame for the actions of the Council.\I'm not fit for governing...\As I thought...\I have a lot more fun being a cook!\By the way, Natsu-kun, Gray-kun...\There will be a new Council now.\I won't be there any longer.\That means that no one will be there to speak up for Fairy Tail. response:	Be sure to behave in a way that keeps that in mind!
context: I'm not fit for governing...\As I thought...\I have a lot more fun being a cook!\By the way, Natsu-kun, Gray-kun...\There will be a new Council now.\I won't be there any longer.\That means that no one will be there to speak up for Fairy Tail.\Be sure to behave in a way that keeps that in mind! response:	We'll behave!
context: As I thought...\I have a lot more fun being a cook!\By the way, Natsu-kun, Gray-kun...\There will be a new Council now.\I won't be there any longer.\That means that no one will be there to speak up for Fairy Tail.\Be sure to behave in a way that keeps that in mind!\We'll behave! response:	Say hi to Macky for me!
context: I have a lot more fun being a cook!\By the way, Natsu-kun, Gray-kun...\There will be a new Council now.\I won't be there any longer.\That means that no one will be there to speak up for Fairy Tail.\Be sure to behave in a way that keeps that in mind!\We'll behave!\Say hi to Macky for me! response:	Thank you very much for today!
context: By the way, Natsu-kun, Gray-kun...\There will be a new Council now.\I won't be there any longer.\That means that no one will be there to speak up for Fairy Tail.\Be sure to behave in a way that keeps that in mind!\We'll behave!\Say hi to Macky for me!\Thank you very much for today! response:	Ultear, huh?
context: There will be a new Council now.\I won't be there any longer.\That means that no one will be there to speak up for Fairy Tail.\Be sure to behave in a way that keeps that in mind!\We'll behave!\Say hi to Macky for me!\Thank you very much for today!\Ultear, huh? response:	I wonder where she is now...
context: I won't be there any longer.\That means that no one will be there to speak up for Fairy Tail.\Be sure to behave in a way that keeps that in mind!\We'll behave!\Say hi to Macky for me!\Thank you very much for today!\Ultear, huh?\I wonder where she is now... response:	This is the ship of the Dark Guild Grimoire Heart.
context: That means that no one will be there to speak up for Fairy Tail.\Be sure to behave in a way that keeps that in mind!\We'll behave!\Say hi to Macky for me!\Thank you very much for today!\Ultear, huh?\I wonder where she is now...\This is the ship of the Dark Guild Grimoire Heart. response:	Oracion Seis is what?
context: Be sure to behave in a way that keeps that in mind!\We'll behave!\Say hi to Macky for me!\Thank you very much for today!\Ultear, huh?\I wonder where she is now...\This is the ship of the Dark Guild Grimoire Heart.\Oracion Seis is what? response:	I see... So they're making their move.
context: We'll behave!\Say hi to Macky for me!\Thank you very much for today!\Ultear, huh?\I wonder where she is now...\This is the ship of the Dark Guild Grimoire Heart.\Oracion Seis is what?\I see... So they're making their move. response:	And this woman, Ultear, who used to be a member of the Council,
context: Say hi to Macky for me!\Thank you very much for today!\Ultear, huh?\I wonder where she is now...\This is the ship of the Dark Guild Grimoire Heart.\Oracion Seis is what?\I see... So they're making their move.\And this woman, Ultear, who used to be a member of the Council, response:	has actually been a member of Grimoire Heart from the beginning.
context: Thank you very much for today!\Ultear, huh?\I wonder where she is now...\This is the ship of the Dark Guild Grimoire Heart.\Oracion Seis is what?\I see... So they're making their move.\And this woman, Ultear, who used to be a member of the Council,\has actually been a member of Grimoire Heart from the beginning. response:	What do you think, Master Hades?
context: Ultear, huh?\I wonder where she is now...\This is the ship of the Dark Guild Grimoire Heart.\Oracion Seis is what?\I see... So they're making their move.\And this woman, Ultear, who used to be a member of the Council,\has actually been a member of Grimoire Heart from the beginning.\What do you think, Master Hades? response:	Leave them be.
context: I wonder where she is now...\This is the ship of the Dark Guild Grimoire Heart.\Oracion Seis is what?\I see... So they're making their move.\And this woman, Ultear, who used to be a member of the Council,\has actually been a member of Grimoire Heart from the beginning.\What do you think, Master Hades?\Leave them be. response:	With them making their move, the ones on the other side will not be able to stand silent.
context: This is the ship of the Dark Guild Grimoire Heart.\Oracion Seis is what?\I see... So they're making their move.\And this woman, Ultear, who used to be a member of the Council,\has actually been a member of Grimoire Heart from the beginning.\What do you think, Master Hades?\Leave them be.\With them making their move, the ones on the other side will not be able to stand silent. response:	We will take that opening to find the key to unlocking the seal on Zeref.
context: Oracion Seis is what?\I see... So they're making their move.\And this woman, Ultear, who used to be a member of the Council,\has actually been a member of Grimoire Heart from the beginning.\What do you think, Master Hades?\Leave them be.\With them making their move, the ones on the other side will not be able to stand silent.\We will take that opening to find the key to unlocking the seal on Zeref. response:	Let us hope that they are able to take the opportunity to eliminate the pesky guilds.
context: I see... So they're making their move.\And this woman, Ultear, who used to be a member of the Council,\has actually been a member of Grimoire Heart from the beginning.\What do you think, Master Hades?\Leave them be.\With them making their move, the ones on the other side will not be able to stand silent.\We will take that opening to find the key to unlocking the seal on Zeref.\Let us hope that they are able to take the opportunity to eliminate the pesky guilds. response:	Like... Fairy Tail?
context: And this woman, Ultear, who used to be a member of the Council,\has actually been a member of Grimoire Heart from the beginning.\What do you think, Master Hades?\Leave them be.\With them making their move, the ones on the other side will not be able to stand silent.\We will take that opening to find the key to unlocking the seal on Zeref.\Let us hope that they are able to take the opportunity to eliminate the pesky guilds.\Like... Fairy Tail? response:	What's this?
context: has actually been a member of Grimoire Heart from the beginning.\What do you think, Master Hades?\Leave them be.\With them making their move, the ones on the other side will not be able to stand silent.\We will take that opening to find the key to unlocking the seal on Zeref.\Let us hope that they are able to take the opportunity to eliminate the pesky guilds.\Like... Fairy Tail?\What's this? response:	It's an organization chart of the Dark Guilds.
context: What do you think, Master Hades?\Leave them be.\With them making their move, the ones on the other side will not be able to stand silent.\We will take that opening to find the key to unlocking the seal on Zeref.\Let us hope that they are able to take the opportunity to eliminate the pesky guilds.\Like... Fairy Tail?\What's this?\It's an organization chart of the Dark Guilds. response:	Yes. I drew it.
context: Leave them be.\With them making their move, the ones on the other side will not be able to stand silent.\We will take that opening to find the key to unlocking the seal on Zeref.\Let us hope that they are able to take the opportunity to eliminate the pesky guilds.\Like... Fairy Tail?\What's this?\It's an organization chart of the Dark Guilds.\Yes. I drew it. response:	When you look at it overall, there are quite a lot of them.
context: With them making their move, the ones on the other side will not be able to stand silent.\We will take that opening to find the key to unlocking the seal on Zeref.\Let us hope that they are able to take the opportunity to eliminate the pesky guilds.\Like... Fairy Tail?\What's this?\It's an organization chart of the Dark Guilds.\Yes. I drew it.\When you look at it overall, there are quite a lot of them. response:	Why?
context: We will take that opening to find the key to unlocking the seal on Zeref.\Let us hope that they are able to take the opportunity to eliminate the pesky guilds.\Like... Fairy Tail?\What's this?\It's an organization chart of the Dark Guilds.\Yes. I drew it.\When you look at it overall, there are quite a lot of them.\Why? response:	Because lately it seems like their activity has increased.
context: Let us hope that they are able to take the opportunity to eliminate the pesky guilds.\Like... Fairy Tail?\What's this?\It's an organization chart of the Dark Guilds.\Yes. I drew it.\When you look at it overall, there are quite a lot of them.\Why?\Because lately it seems like their activity has increased. response:	We have to strengthen the bonds between guilds.
context: Like... Fairy Tail?\What's this?\It's an organization chart of the Dark Guilds.\Yes. I drew it.\When you look at it overall, there are quite a lot of them.\Why?\Because lately it seems like their activity has increased.\We have to strengthen the bonds between guilds. response:	What's the big oval?
context: What's this?\It's an organization chart of the Dark Guilds.\Yes. I drew it.\When you look at it overall, there are quite a lot of them.\Why?\Because lately it seems like their activity has increased.\We have to strengthen the bonds between guilds.\What's the big oval? response:	Juvia knows. It is the Baram Alliance.
context: It's an organization chart of the Dark Guilds.\Yes. I drew it.\When you look at it overall, there are quite a lot of them.\Why?\Because lately it seems like their activity has increased.\We have to strengthen the bonds between guilds.\What's the big oval?\Juvia knows. It is the Baram Alliance. response:	The Baram Alliance is the most powerful force of Dark Guilds,
context: Yes. I drew it.\When you look at it overall, there are quite a lot of them.\Why?\Because lately it seems like their activity has increased.\We have to strengthen the bonds between guilds.\What's the big oval?\Juvia knows. It is the Baram Alliance.\The Baram Alliance is the most powerful force of Dark Guilds, response:	combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.
