context: P- please listen to us! response:	We come from a planet called Earth, and in no way do we mean you any-
context: If we don't hurry, we won't be spared, either!\But that's why we can't just leave these needy people like this...\Who are you calling needy people!?\Are you okay?\All right!\W- who are these guys?\Somebody help!\Oh, no! response:	Take care of things here!
context: But that's why we can't just leave these needy people like this...\Who are you calling needy people!?\Are you okay?\All right!\W- who are these guys?\Somebody help!\Oh, no!\Take care of things here! response:	Geez, you two are just too nice to others...
context: Who are you calling needy people!?\Are you okay?\All right!\W- who are these guys?\Somebody help!\Oh, no!\Take care of things here!\Geez, you two are just too nice to others... response:	Hey! What kind of piloting is that!?
context: Are you okay?\All right!\W- who are these guys?\Somebody help!\Oh, no!\Take care of things here!\Geez, you two are just too nice to others...\Hey! What kind of piloting is that!? response:	Which one is-? Damn!
context: All right!\W- who are these guys?\Somebody help!\Oh, no!\Take care of things here!\Geez, you two are just too nice to others...\Hey! What kind of piloting is that!?\Which one is-? Damn! response:	I can't stand to watch this! Move it!
context: W- who are these guys?\Somebody help!\Oh, no!\Take care of things here!\Geez, you two are just too nice to others...\Hey! What kind of piloting is that!?\Which one is-? Damn!\I can't stand to watch this! Move it! response:	What are you doing!?
context: Somebody help!\Oh, no!\Take care of things here!\Geez, you two are just too nice to others...\Hey! What kind of piloting is that!?\Which one is-? Damn!\I can't stand to watch this! Move it!\What are you doing!? response:	Let me do this. I'm a pro at this sort of thing, after all.
context: Oh, no!\Take care of things here!\Geez, you two are just too nice to others...\Hey! What kind of piloting is that!?\Which one is-? Damn!\I can't stand to watch this! Move it!\What are you doing!?\Let me do this. I'm a pro at this sort of thing, after all. response:	How can we trust you!?
context: Take care of things here!\Geez, you two are just too nice to others...\Hey! What kind of piloting is that!?\Which one is-? Damn!\I can't stand to watch this! Move it!\What are you doing!?\Let me do this. I'm a pro at this sort of thing, after all.\How can we trust you!? response:	W- we don't need your help!
context: Geez, you two are just too nice to others...\Hey! What kind of piloting is that!?\Which one is-? Damn!\I can't stand to watch this! Move it!\What are you doing!?\Let me do this. I'm a pro at this sort of thing, after all.\How can we trust you!?\W- we don't need your help! response:	Letting me do this is better than getting everyone killed, right?
context: Hey! What kind of piloting is that!?\Which one is-? Damn!\I can't stand to watch this! Move it!\What are you doing!?\Let me do this. I'm a pro at this sort of thing, after all.\How can we trust you!?\W- we don't need your help!\Letting me do this is better than getting everyone killed, right? response:	Let's see... this and this controls the ascent, and this is left and right.
context: Which one is-? Damn!\I can't stand to watch this! Move it!\What are you doing!?\Let me do this. I'm a pro at this sort of thing, after all.\How can we trust you!?\W- we don't need your help!\Letting me do this is better than getting everyone killed, right?\Let's see... this and this controls the ascent, and this is left and right. response:	Which one is the speed control?
context: I can't stand to watch this! Move it!\What are you doing!?\Let me do this. I'm a pro at this sort of thing, after all.\How can we trust you!?\W- we don't need your help!\Letting me do this is better than getting everyone killed, right?\Let's see... this and this controls the ascent, and this is left and right.\Which one is the speed control? response:	Hurry up and tell me! You don't want to die, do you!?
context: What are you doing!?\Let me do this. I'm a pro at this sort of thing, after all.\How can we trust you!?\W- we don't need your help!\Letting me do this is better than getting everyone killed, right?\Let's see... this and this controls the ascent, and this is left and right.\Which one is the speed control?\Hurry up and tell me! You don't want to die, do you!? response:	T- the keys on the left side.
context: Let me do this. I'm a pro at this sort of thing, after all.\How can we trust you!?\W- we don't need your help!\Letting me do this is better than getting everyone killed, right?\Let's see... this and this controls the ascent, and this is left and right.\Which one is the speed control?\Hurry up and tell me! You don't want to die, do you!?\T- the keys on the left side. response:	Okay.
context: How can we trust you!?\W- we don't need your help!\Letting me do this is better than getting everyone killed, right?\Let's see... this and this controls the ascent, and this is left and right.\Which one is the speed control?\Hurry up and tell me! You don't want to die, do you!?\T- the keys on the left side.\Okay. response:	Awesome!
context: W- we don't need your help!\Letting me do this is better than getting everyone killed, right?\Let's see... this and this controls the ascent, and this is left and right.\Which one is the speed control?\Hurry up and tell me! You don't want to die, do you!?\T- the keys on the left side.\Okay.\Awesome! response:	Looks like we somehow managed to pull through, huh?
context: Letting me do this is better than getting everyone killed, right?\Let's see... this and this controls the ascent, and this is left and right.\Which one is the speed control?\Hurry up and tell me! You don't want to die, do you!?\T- the keys on the left side.\Okay.\Awesome!\Looks like we somehow managed to pull through, huh? response:	W- what is this? Don't you trust us yet?
context: Let's see... this and this controls the ascent, and this is left and right.\Which one is the speed control?\Hurry up and tell me! You don't want to die, do you!?\T- the keys on the left side.\Okay.\Awesome!\Looks like we somehow managed to pull through, huh?\W- what is this? Don't you trust us yet? response:	How can we ever trust you!?
context: Which one is the speed control?\Hurry up and tell me! You don't want to die, do you!?\T- the keys on the left side.\Okay.\Awesome!\Looks like we somehow managed to pull through, huh?\W- what is this? Don't you trust us yet?\How can we ever trust you!? response:	Your pals are the ones who destroyed our planet, after all!
context: Hurry up and tell me! You don't want to die, do you!?\T- the keys on the left side.\Okay.\Awesome!\Looks like we somehow managed to pull through, huh?\W- what is this? Don't you trust us yet?\How can we ever trust you!?\Your pals are the ones who destroyed our planet, after all! response:	What do you mean, our pals?
context: T- the keys on the left side.\Okay.\Awesome!\Looks like we somehow managed to pull through, huh?\W- what is this? Don't you trust us yet?\How can we ever trust you!?\Your pals are the ones who destroyed our planet, after all!\What do you mean, our pals? response:	Hmph, don't play dumb!
context: Okay.\Awesome!\Looks like we somehow managed to pull through, huh?\W- what is this? Don't you trust us yet?\How can we ever trust you!?\Your pals are the ones who destroyed our planet, after all!\What do you mean, our pals?\Hmph, don't play dumb! response:	You guys are Freeza's men, aren't you?
context: Awesome!\Looks like we somehow managed to pull through, huh?\W- what is this? Don't you trust us yet?\How can we ever trust you!?\Your pals are the ones who destroyed our planet, after all!\What do you mean, our pals?\Hmph, don't play dumb!\You guys are Freeza's men, aren't you? response:	Freeza?
context: Looks like we somehow managed to pull through, huh?\W- what is this? Don't you trust us yet?\How can we ever trust you!?\Your pals are the ones who destroyed our planet, after all!\What do you mean, our pals?\Hmph, don't play dumb!\You guys are Freeza's men, aren't you?\Freeza? response:	Bulma- san!
context: W- what is this? Don't you trust us yet?\How can we ever trust you!?\Your pals are the ones who destroyed our planet, after all!\What do you mean, our pals?\Hmph, don't play dumb!\You guys are Freeza's men, aren't you?\Freeza?\Bulma- san! response:	Help me out here, Kuririn.
context: How can we ever trust you!?\Your pals are the ones who destroyed our planet, after all!\What do you mean, our pals?\Hmph, don't play dumb!\You guys are Freeza's men, aren't you?\Freeza?\Bulma- san!\Help me out here, Kuririn. response:	These kids still seem to have us all wrong.
context: Your pals are the ones who destroyed our planet, after all!\What do you mean, our pals?\Hmph, don't play dumb!\You guys are Freeza's men, aren't you?\Freeza?\Bulma- san!\Help me out here, Kuririn.\These kids still seem to have us all wrong. response:	We don't have anything wrong!
context: What do you mean, our pals?\Hmph, don't play dumb!\You guys are Freeza's men, aren't you?\Freeza?\Bulma- san!\Help me out here, Kuririn.\These kids still seem to have us all wrong.\We don't have anything wrong! response:	We were convinced when we saw that barbaric power you have!
context: Hmph, don't play dumb!\You guys are Freeza's men, aren't you?\Freeza?\Bulma- san!\Help me out here, Kuririn.\These kids still seem to have us all wrong.\We don't have anything wrong!\We were convinced when we saw that barbaric power you have! response:	Barbaric, he says?
context: You guys are Freeza's men, aren't you?\Freeza?\Bulma- san!\Help me out here, Kuririn.\These kids still seem to have us all wrong.\We don't have anything wrong!\We were convinced when we saw that barbaric power you have!\Barbaric, he says? response:	That's mean.
context: Freeza?\Bulma- san!\Help me out here, Kuririn.\These kids still seem to have us all wrong.\We don't have anything wrong!\We were convinced when we saw that barbaric power you have!\Barbaric, he says?\That's mean. response:	I will admit that those two are barbarians,
context: Bulma- san!\Help me out here, Kuririn.\These kids still seem to have us all wrong.\We don't have anything wrong!\We were convinced when we saw that barbaric power you have!\Barbaric, he says?\That's mean.\I will admit that those two are barbarians, response:	but I am a sincere person, who loves peace and justice.
context: Help me out here, Kuririn.\These kids still seem to have us all wrong.\We don't have anything wrong!\We were convinced when we saw that barbaric power you have!\Barbaric, he says?\That's mean.\I will admit that those two are barbarians,\but I am a sincere person, who loves peace and justice. response:	N- now hold on...
context: These kids still seem to have us all wrong.\We don't have anything wrong!\We were convinced when we saw that barbaric power you have!\Barbaric, he says?\That's mean.\I will admit that those two are barbarians,\but I am a sincere person, who loves peace and justice.\N- now hold on... response:	How can we believe what you're saying!?
context: We don't have anything wrong!\We were convinced when we saw that barbaric power you have!\Barbaric, he says?\That's mean.\I will admit that those two are barbarians,\but I am a sincere person, who loves peace and justice.\N- now hold on...\How can we believe what you're saying!? response:	Hold it!
context: We were convinced when we saw that barbaric power you have!\Barbaric, he says?\That's mean.\I will admit that those two are barbarians,\but I am a sincere person, who loves peace and justice.\N- now hold on...\How can we believe what you're saying!?\Hold it! response:	Z- Zeshin...
context: Barbaric, he says?\That's mean.\I will admit that those two are barbarians,\but I am a sincere person, who loves peace and justice.\N- now hold on...\How can we believe what you're saying!?\Hold it!\Z- Zeshin... response:	Guys, it's okay for you to put your guns down.
context: That's mean.\I will admit that those two are barbarians,\but I am a sincere person, who loves peace and justice.\N- now hold on...\How can we believe what you're saying!?\Hold it!\Z- Zeshin...\Guys, it's okay for you to put your guns down. response:	Why, Zeshin!? These guys are Freeza's men!
context: I will admit that those two are barbarians,\but I am a sincere person, who loves peace and justice.\N- now hold on...\How can we believe what you're saying!?\Hold it!\Z- Zeshin...\Guys, it's okay for you to put your guns down.\Why, Zeshin!? These guys are Freeza's men! response:	Their pals are the ones who killed our moms and dads!
context: but I am a sincere person, who loves peace and justice.\N- now hold on...\How can we believe what you're saying!?\Hold it!\Z- Zeshin...\Guys, it's okay for you to put your guns down.\Why, Zeshin!? These guys are Freeza's men!\Their pals are the ones who killed our moms and dads! response:	If they were Freeza's men, they wouldn't have saved us.
context: N- now hold on...\How can we believe what you're saying!?\Hold it!\Z- Zeshin...\Guys, it's okay for you to put your guns down.\Why, Zeshin!? These guys are Freeza's men!\Their pals are the ones who killed our moms and dads!\If they were Freeza's men, they wouldn't have saved us. response:	They would have just suddenly come attacking us, and have killed us all.
context: How can we believe what you're saying!?\Hold it!\Z- Zeshin...\Guys, it's okay for you to put your guns down.\Why, Zeshin!? These guys are Freeza's men!\Their pals are the ones who killed our moms and dads!\If they were Freeza's men, they wouldn't have saved us.\They would have just suddenly come attacking us, and have killed us all. response:	That's right. Before, they came without warning,
context: Hold it!\Z- Zeshin...\Guys, it's okay for you to put your guns down.\Why, Zeshin!? These guys are Freeza's men!\Their pals are the ones who killed our moms and dads!\If they were Freeza's men, they wouldn't have saved us.\They would have just suddenly come attacking us, and have killed us all.\That's right. Before, they came without warning, response:	and killed Dad and Mom without saying anything, didn't they!?
context: Z- Zeshin...\Guys, it's okay for you to put your guns down.\Why, Zeshin!? These guys are Freeza's men!\Their pals are the ones who killed our moms and dads!\If they were Freeza's men, they wouldn't have saved us.\They would have just suddenly come attacking us, and have killed us all.\That's right. Before, they came without warning,\and killed Dad and Mom without saying anything, didn't they!? response:	Maybe so, but...
context: Guys, it's okay for you to put your guns down.\Why, Zeshin!? These guys are Freeza's men!\Their pals are the ones who killed our moms and dads!\If they were Freeza's men, they wouldn't have saved us.\They would have just suddenly come attacking us, and have killed us all.\That's right. Before, they came without warning,\and killed Dad and Mom without saying anything, didn't they!?\Maybe so, but... response:	Dad! Mom!
context: Why, Zeshin!? These guys are Freeza's men!\Their pals are the ones who killed our moms and dads!\If they were Freeza's men, they wouldn't have saved us.\They would have just suddenly come attacking us, and have killed us all.\That's right. Before, they came without warning,\and killed Dad and Mom without saying anything, didn't they!?\Maybe so, but...\Dad! Mom! response:	You've got a nice look in your eyes.
context: Their pals are the ones who killed our moms and dads!\If they were Freeza's men, they wouldn't have saved us.\They would have just suddenly come attacking us, and have killed us all.\That's right. Before, they came without warning,\and killed Dad and Mom without saying anything, didn't they!?\Maybe so, but...\Dad! Mom!\You've got a nice look in your eyes. response:	Bun...
context: If they were Freeza's men, they wouldn't have saved us.\They would have just suddenly come attacking us, and have killed us all.\That's right. Before, they came without warning,\and killed Dad and Mom without saying anything, didn't they!?\Maybe so, but...\Dad! Mom!\You've got a nice look in your eyes.\Bun... response:	Thanks for believing us.
context: They would have just suddenly come attacking us, and have killed us all.\That's right. Before, they came without warning,\and killed Dad and Mom without saying anything, didn't they!?\Maybe so, but...\Dad! Mom!\You've got a nice look in your eyes.\Bun...\Thanks for believing us. response:	Then again, those guys sound just like Saiyans, huh?
context: That's right. Before, they came without warning,\and killed Dad and Mom without saying anything, didn't they!?\Maybe so, but...\Dad! Mom!\You've got a nice look in your eyes.\Bun...\Thanks for believing us.\Then again, those guys sound just like Saiyans, huh? response:	Say, by any chance, did the guys that attacked you have tails?
context: and killed Dad and Mom without saying anything, didn't they!?\Maybe so, but...\Dad! Mom!\You've got a nice look in your eyes.\Bun...\Thanks for believing us.\Then again, those guys sound just like Saiyans, huh?\Say, by any chance, did the guys that attacked you have tails? response:	Tails? No, they didn't have those.
context: Maybe so, but...\Dad! Mom!\You've got a nice look in your eyes.\Bun...\Thanks for believing us.\Then again, those guys sound just like Saiyans, huh?\Say, by any chance, did the guys that attacked you have tails?\Tails? No, they didn't have those. response:	I- I see. Then they weren't Saiyans, huh?
context: Dad! Mom!\You've got a nice look in your eyes.\Bun...\Thanks for believing us.\Then again, those guys sound just like Saiyans, huh?\Say, by any chance, did the guys that attacked you have tails?\Tails? No, they didn't have those.\I- I see. Then they weren't Saiyans, huh? response:	Which would mean that there are other bad folks out here in space.
context: You've got a nice look in your eyes.\Bun...\Thanks for believing us.\Then again, those guys sound just like Saiyans, huh?\Say, by any chance, did the guys that attacked you have tails?\Tails? No, they didn't have those.\I- I see. Then they weren't Saiyans, huh?\Which would mean that there are other bad folks out here in space. response:	So, what happened to your planet?
context: Bun...\Thanks for believing us.\Then again, those guys sound just like Saiyans, huh?\Say, by any chance, did the guys that attacked you have tails?\Tails? No, they didn't have those.\I- I see. Then they weren't Saiyans, huh?\Which would mean that there are other bad folks out here in space.\So, what happened to your planet? response:	Our planet was peaceful, and a very easy place to live.
