context: I got a boyfriend recently. response:	Naoya is way too proper, and he can be a bit weird,
context: The Three of Us\Living Together\What's going to happen to us?!\I don't think I can go through with this.\There are way too many problems with him dating the two of us.\And my rival just has to be so...\So cute and big-boobed and irresistible!\Why did a girl like her have to ask out Naoya? response:	I'd like to do it with both of you... the three of us, together!
context: Living Together\What's going to happen to us?!\I don't think I can go through with this.\There are way too many problems with him dating the two of us.\And my rival just has to be so...\So cute and big-boobed and irresistible!\Why did a girl like her have to ask out Naoya?\I'd like to do it with both of you... the three of us, together! response:	That pervert!
context: What's going to happen to us?!\I don't think I can go through with this.\There are way too many problems with him dating the two of us.\And my rival just has to be so...\So cute and big-boobed and irresistible!\Why did a girl like her have to ask out Naoya?\I'd like to do it with both of you... the three of us, together!\That pervert! response:	That guy!
context: I don't think I can go through with this.\There are way too many problems with him dating the two of us.\And my rival just has to be so...\So cute and big-boobed and irresistible!\Why did a girl like her have to ask out Naoya?\I'd like to do it with both of you... the three of us, together!\That pervert!\That guy! response:	Wait... Oh, right!
context: There are way too many problems with him dating the two of us.\And my rival just has to be so...\So cute and big-boobed and irresistible!\Why did a girl like her have to ask out Naoya?\I'd like to do it with both of you... the three of us, together!\That pervert!\That guy!\Wait... Oh, right! response:	You must be sick of him now that you know what a freak he is!
context: And my rival just has to be so...\So cute and big-boobed and irresistible!\Why did a girl like her have to ask out Naoya?\I'd like to do it with both of you... the three of us, together!\That pervert!\That guy!\Wait... Oh, right!\You must be sick of him now that you know what a freak he is! response:	If it's something Naoya-kun wants, I wouldn't mind a th-threesome.
context: So cute and big-boobed and irresistible!\Why did a girl like her have to ask out Naoya?\I'd like to do it with both of you... the three of us, together!\That pervert!\That guy!\Wait... Oh, right!\You must be sick of him now that you know what a freak he is!\If it's something Naoya-kun wants, I wouldn't mind a th-threesome. response:	C-Cute, big-boobed, and horny as hell...
context: Why did a girl like her have to ask out Naoya?\I'd like to do it with both of you... the three of us, together!\That pervert!\That guy!\Wait... Oh, right!\You must be sick of him now that you know what a freak he is!\If it's something Naoya-kun wants, I wouldn't mind a th-threesome.\C-Cute, big-boobed, and horny as hell... response:	H-Horny as hell?!
context: I'd like to do it with both of you... the three of us, together!\That pervert!\That guy!\Wait... Oh, right!\You must be sick of him now that you know what a freak he is!\If it's something Naoya-kun wants, I wouldn't mind a th-threesome.\C-Cute, big-boobed, and horny as hell...\H-Horny as hell?! response:	Even I want to be your girlfriend!
context: That pervert!\That guy!\Wait... Oh, right!\You must be sick of him now that you know what a freak he is!\If it's something Naoya-kun wants, I wouldn't mind a th-threesome.\C-Cute, big-boobed, and horny as hell...\H-Horny as hell?!\Even I want to be your girlfriend! response:	Huh?
context: That guy!\Wait... Oh, right!\You must be sick of him now that you know what a freak he is!\If it's something Naoya-kun wants, I wouldn't mind a th-threesome.\C-Cute, big-boobed, and horny as hell...\H-Horny as hell?!\Even I want to be your girlfriend!\Huh? response:	Saki-san?
context: Wait... Oh, right!\You must be sick of him now that you know what a freak he is!\If it's something Naoya-kun wants, I wouldn't mind a th-threesome.\C-Cute, big-boobed, and horny as hell...\H-Horny as hell?!\Even I want to be your girlfriend!\Huh?\Saki-san? response:	No, I'm completely losing here.
context: You must be sick of him now that you know what a freak he is!\If it's something Naoya-kun wants, I wouldn't mind a th-threesome.\C-Cute, big-boobed, and horny as hell...\H-Horny as hell?!\Even I want to be your girlfriend!\Huh?\Saki-san?\No, I'm completely losing here. response:	Naoya might lose interest in me if Nagisa-chan seduced him.
context: If it's something Naoya-kun wants, I wouldn't mind a th-threesome.\C-Cute, big-boobed, and horny as hell...\H-Horny as hell?!\Even I want to be your girlfriend!\Huh?\Saki-san?\No, I'm completely losing here.\Naoya might lose interest in me if Nagisa-chan seduced him. response:	Hey, I set up our futons.
context: C-Cute, big-boobed, and horny as hell...\H-Horny as hell?!\Even I want to be your girlfriend!\Huh?\Saki-san?\No, I'm completely losing here.\Naoya might lose interest in me if Nagisa-chan seduced him.\Hey, I set up our futons. response:	Girlfriend, Girlfriend
context: H-Horny as hell?!\Even I want to be your girlfriend!\Huh?\Saki-san?\No, I'm completely losing here.\Naoya might lose interest in me if Nagisa-chan seduced him.\Hey, I set up our futons.\Girlfriend, Girlfriend response:	Girlfriend, Girlfriend
context: Even I want to be your girlfriend!\Huh?\Saki-san?\No, I'm completely losing here.\Naoya might lose interest in me if Nagisa-chan seduced him.\Hey, I set up our futons.\Girlfriend, Girlfriend\Girlfriend, Girlfriend response:	Episode 2
context: Huh?\Saki-san?\No, I'm completely losing here.\Naoya might lose interest in me if Nagisa-chan seduced him.\Hey, I set up our futons.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 2 response:	How Nagisa Feels
context: Saki-san?\No, I'm completely losing here.\Naoya might lose interest in me if Nagisa-chan seduced him.\Hey, I set up our futons.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 2\How Nagisa Feels response:	Wh-Wh-Why are there three futons lined up?!
context: No, I'm completely losing here.\Naoya might lose interest in me if Nagisa-chan seduced him.\Hey, I set up our futons.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 2\How Nagisa Feels\Wh-Wh-Why are there three futons lined up?! response:	I thought we might be able to get closer if we talked in bed.
context: Naoya might lose interest in me if Nagisa-chan seduced him.\Hey, I set up our futons.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 2\How Nagisa Feels\Wh-Wh-Why are there three futons lined up?!\I thought we might be able to get closer if we talked in bed. response:	Y-Y-You're going to try to pull something naughty, aren't you?!
context: Hey, I set up our futons.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 2\How Nagisa Feels\Wh-Wh-Why are there three futons lined up?!\I thought we might be able to get closer if we talked in bed.\Y-Y-You're going to try to pull something naughty, aren't you?! response:	Especially on Nagisa-chan!
context: Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 2\How Nagisa Feels\Wh-Wh-Why are there three futons lined up?!\I thought we might be able to get closer if we talked in bed.\Y-Y-You're going to try to pull something naughty, aren't you?!\Especially on Nagisa-chan! response:	No, I promised I wouldn't!
context: Girlfriend, Girlfriend\Episode 2\How Nagisa Feels\Wh-Wh-Why are there three futons lined up?!\I thought we might be able to get closer if we talked in bed.\Y-Y-You're going to try to pull something naughty, aren't you?!\Especially on Nagisa-chan!\No, I promised I wouldn't! response:	But if I were you, I totally would!
context: Episode 2\How Nagisa Feels\Wh-Wh-Why are there three futons lined up?!\I thought we might be able to get closer if we talked in bed.\Y-Y-You're going to try to pull something naughty, aren't you?!\Especially on Nagisa-chan!\No, I promised I wouldn't!\But if I were you, I totally would! response:	In that case...
context: How Nagisa Feels\Wh-Wh-Why are there three futons lined up?!\I thought we might be able to get closer if we talked in bed.\Y-Y-You're going to try to pull something naughty, aren't you?!\Especially on Nagisa-chan!\No, I promised I wouldn't!\But if I were you, I totally would!\In that case... response:	I'll have to have my dick surgically removed.
context: Wh-Wh-Why are there three futons lined up?!\I thought we might be able to get closer if we talked in bed.\Y-Y-You're going to try to pull something naughty, aren't you?!\Especially on Nagisa-chan!\No, I promised I wouldn't!\But if I were you, I totally would!\In that case...\I'll have to have my dick surgically removed. response:	That's too extreme!
context: I thought we might be able to get closer if we talked in bed.\Y-Y-You're going to try to pull something naughty, aren't you?!\Especially on Nagisa-chan!\No, I promised I wouldn't!\But if I were you, I totally would!\In that case...\I'll have to have my dick surgically removed.\That's too extreme! response:	Fine, then. You scare me.
context: Y-Y-You're going to try to pull something naughty, aren't you?!\Especially on Nagisa-chan!\No, I promised I wouldn't!\But if I were you, I totally would!\In that case...\I'll have to have my dick surgically removed.\That's too extreme!\Fine, then. You scare me. response:	Th-Thanks.
context: Especially on Nagisa-chan!\No, I promised I wouldn't!\But if I were you, I totally would!\In that case...\I'll have to have my dick surgically removed.\That's too extreme!\Fine, then. You scare me.\Th-Thanks. response:	But...
context: No, I promised I wouldn't!\But if I were you, I totally would!\In that case...\I'll have to have my dick surgically removed.\That's too extreme!\Fine, then. You scare me.\Th-Thanks.\But... response:	Is it okay with you, Minase-san?
context: But if I were you, I totally would!\In that case...\I'll have to have my dick surgically removed.\That's too extreme!\Fine, then. You scare me.\Th-Thanks.\But...\Is it okay with you, Minase-san? response:	Nagisa-chan might be the one to start something.
context: In that case...\I'll have to have my dick surgically removed.\That's too extreme!\Fine, then. You scare me.\Th-Thanks.\But...\Is it okay with you, Minase-san?\Nagisa-chan might be the one to start something. response:	O-Of course. Yes.
context: I'll have to have my dick surgically removed.\That's too extreme!\Fine, then. You scare me.\Th-Thanks.\But...\Is it okay with you, Minase-san?\Nagisa-chan might be the one to start something.\O-Of course. Yes. response:	She's a total pervert.
context: That's too extreme!\Fine, then. You scare me.\Th-Thanks.\But...\Is it okay with you, Minase-san?\Nagisa-chan might be the one to start something.\O-Of course. Yes.\She's a total pervert. response:	Prevention
context: Fine, then. You scare me.\Th-Thanks.\But...\Is it okay with you, Minase-san?\Nagisa-chan might be the one to start something.\O-Of course. Yes.\She's a total pervert.\Prevention response:	Whatever!
context: Th-Thanks.\But...\Is it okay with you, Minase-san?\Nagisa-chan might be the one to start something.\O-Of course. Yes.\She's a total pervert.\Prevention\Whatever! response:	I won't let them have their way!
context: But...\Is it okay with you, Minase-san?\Nagisa-chan might be the one to start something.\O-Of course. Yes.\She's a total pervert.\Prevention\Whatever!\I won't let them have their way! response:	I'm going to watch them all night.
context: Is it okay with you, Minase-san?\Nagisa-chan might be the one to start something.\O-Of course. Yes.\She's a total pervert.\Prevention\Whatever!\I won't let them have their way!\I'm going to watch them all night. response:	Saki-chan...
context: Nagisa-chan might be the one to start something.\O-Of course. Yes.\She's a total pervert.\Prevention\Whatever!\I won't let them have their way!\I'm going to watch them all night.\Saki-chan... response:	Thank you for putting up with my selfishness.
context: O-Of course. Yes.\She's a total pervert.\Prevention\Whatever!\I won't let them have their way!\I'm going to watch them all night.\Saki-chan...\Thank you for putting up with my selfishness. response:	Saki-chan?
context: She's a total pervert.\Prevention\Whatever!\I won't let them have their way!\I'm going to watch them all night.\Saki-chan...\Thank you for putting up with my selfishness.\Saki-chan? response:	She must be tired. Maybe she's fallen asleep.
context: Prevention\Whatever!\I won't let them have their way!\I'm going to watch them all night.\Saki-chan...\Thank you for putting up with my selfishness.\Saki-chan?\She must be tired. Maybe she's fallen asleep. response:	It was a busy day.
context: Whatever!\I won't let them have their way!\I'm going to watch them all night.\Saki-chan...\Thank you for putting up with my selfishness.\Saki-chan?\She must be tired. Maybe she's fallen asleep.\It was a busy day. response:	And all my fault!
context: I won't let them have their way!\I'm going to watch them all night.\Saki-chan...\Thank you for putting up with my selfishness.\Saki-chan?\She must be tired. Maybe she's fallen asleep.\It was a busy day.\And all my fault! response:	So, what's your move?
context: I'm going to watch them all night.\Saki-chan...\Thank you for putting up with my selfishness.\Saki-chan?\She must be tired. Maybe she's fallen asleep.\It was a busy day.\And all my fault!\So, what's your move? response:	Um, Naoya-kun...
context: Saki-chan...\Thank you for putting up with my selfishness.\Saki-chan?\She must be tired. Maybe she's fallen asleep.\It was a busy day.\And all my fault!\So, what's your move?\Um, Naoya-kun... response:	May I come closer to you for a bit?
context: Thank you for putting up with my selfishness.\Saki-chan?\She must be tired. Maybe she's fallen asleep.\It was a busy day.\And all my fault!\So, what's your move?\Um, Naoya-kun...\May I come closer to you for a bit? response:	N-Nagisa!
context: Saki-chan?\She must be tired. Maybe she's fallen asleep.\It was a busy day.\And all my fault!\So, what's your move?\Um, Naoya-kun...\May I come closer to you for a bit?\N-Nagisa! response:	Minase-san?
context: She must be tired. Maybe she's fallen asleep.\It was a busy day.\And all my fault!\So, what's your move?\Um, Naoya-kun...\May I come closer to you for a bit?\N-Nagisa!\Minase-san? response:	You're going to do him already?!
context: It was a busy day.\And all my fault!\So, what's your move?\Um, Naoya-kun...\May I come closer to you for a bit?\N-Nagisa!\Minase-san?\You're going to do him already?! response:	Are you a slut?
context: And all my fault!\So, what's your move?\Um, Naoya-kun...\May I come closer to you for a bit?\N-Nagisa!\Minase-san?\You're going to do him already?!\Are you a slut? response:	Is Nagisa a slut?!
context: So, what's your move?\Um, Naoya-kun...\May I come closer to you for a bit?\N-Nagisa!\Minase-san?\You're going to do him already?!\Are you a slut?\Is Nagisa a slut?! response:	I see.
context: Um, Naoya-kun...\May I come closer to you for a bit?\N-Nagisa!\Minase-san?\You're going to do him already?!\Are you a slut?\Is Nagisa a slut?!\I see. response:	You must be lonely, being here in an unfamiliar place.
context: May I come closer to you for a bit?\N-Nagisa!\Minase-san?\You're going to do him already?!\Are you a slut?\Is Nagisa a slut?!\I see.\You must be lonely, being here in an unfamiliar place. response:	I-I am.
context: N-Nagisa!\Minase-san?\You're going to do him already?!\Are you a slut?\Is Nagisa a slut?!\I see.\You must be lonely, being here in an unfamiliar place.\I-I am. response:	Well? Is that better?
context: Minase-san?\You're going to do him already?!\Are you a slut?\Is Nagisa a slut?!\I see.\You must be lonely, being here in an unfamiliar place.\I-I am.\Well? Is that better? response:	You adorable little slut!
context: You're going to do him already?!\Are you a slut?\Is Nagisa a slut?!\I see.\You must be lonely, being here in an unfamiliar place.\I-I am.\Well? Is that better?\You adorable little slut! response:	I can't believe I'm sleeping with the person I've always liked.
context: Are you a slut?\Is Nagisa a slut?!\I see.\You must be lonely, being here in an unfamiliar place.\I-I am.\Well? Is that better?\You adorable little slut!\I can't believe I'm sleeping with the person I've always liked. response:	It's like a dream.
context: Is Nagisa a slut?!\I see.\You must be lonely, being here in an unfamiliar place.\I-I am.\Well? Is that better?\You adorable little slut!\I can't believe I'm sleeping with the person I've always liked.\It's like a dream. response:	Sleeping with, in a dirty way, right?
context: I see.\You must be lonely, being here in an unfamiliar place.\I-I am.\Well? Is that better?\You adorable little slut!\I can't believe I'm sleeping with the person I've always liked.\It's like a dream.\Sleeping with, in a dirty way, right? response:	I'd like to get to know you a lot better, Naoya-kun.
context: You must be lonely, being here in an unfamiliar place.\I-I am.\Well? Is that better?\You adorable little slut!\I can't believe I'm sleeping with the person I've always liked.\It's like a dream.\Sleeping with, in a dirty way, right?\I'd like to get to know you a lot better, Naoya-kun. response:	In a sexy way!
context: I-I am.\Well? Is that better?\You adorable little slut!\I can't believe I'm sleeping with the person I've always liked.\It's like a dream.\Sleeping with, in a dirty way, right?\I'd like to get to know you a lot better, Naoya-kun.\In a sexy way! response:	Minase-san...
context: Well? Is that better?\You adorable little slut!\I can't believe I'm sleeping with the person I've always liked.\It's like a dream.\Sleeping with, in a dirty way, right?\I'd like to get to know you a lot better, Naoya-kun.\In a sexy way!\Minase-san... response:	I want you to tell me more about you, too.
context: You adorable little slut!\I can't believe I'm sleeping with the person I've always liked.\It's like a dream.\Sleeping with, in a dirty way, right?\I'd like to get to know you a lot better, Naoya-kun.\In a sexy way!\Minase-san...\I want you to tell me more about you, too. response:	In a sexy way, Naoya?!
context: I can't believe I'm sleeping with the person I've always liked.\It's like a dream.\Sleeping with, in a dirty way, right?\I'd like to get to know you a lot better, Naoya-kun.\In a sexy way!\Minase-san...\I want you to tell me more about you, too.\In a sexy way, Naoya?! response:	Naoya-kun...
context: It's like a dream.\Sleeping with, in a dirty way, right?\I'd like to get to know you a lot better, Naoya-kun.\In a sexy way!\Minase-san...\I want you to tell me more about you, too.\In a sexy way, Naoya?!\Naoya-kun... response:	If you do that, I'll...
context: Sleeping with, in a dirty way, right?\I'd like to get to know you a lot better, Naoya-kun.\In a sexy way!\Minase-san...\I want you to tell me more about you, too.\In a sexy way, Naoya?!\Naoya-kun...\If you do that, I'll... response:	Is it her boobs? Are you squeezing her boobs?
context: I'd like to get to know you a lot better, Naoya-kun.\In a sexy way!\Minase-san...\I want you to tell me more about you, too.\In a sexy way, Naoya?!\Naoya-kun...\If you do that, I'll...\Is it her boobs? Are you squeezing her boobs? response:	Sorry, did you not like that?
context: In a sexy way!\Minase-san...\I want you to tell me more about you, too.\In a sexy way, Naoya?!\Naoya-kun...\If you do that, I'll...\Is it her boobs? Are you squeezing her boobs?\Sorry, did you not like that? response:	No, it just startled me a little.
context: Minase-san...\I want you to tell me more about you, too.\In a sexy way, Naoya?!\Naoya-kun...\If you do that, I'll...\Is it her boobs? Are you squeezing her boobs?\Sorry, did you not like that?\No, it just startled me a little. response:	But...
context: I want you to tell me more about you, too.\In a sexy way, Naoya?!\Naoya-kun...\If you do that, I'll...\Is it her boobs? Are you squeezing her boobs?\Sorry, did you not like that?\No, it just startled me a little.\But... response:	I'm so happy.
context: In a sexy way, Naoya?!\Naoya-kun...\If you do that, I'll...\Is it her boobs? Are you squeezing her boobs?\Sorry, did you not like that?\No, it just startled me a little.\But...\I'm so happy. response:	Don't be happy about it!
context: Naoya-kun...\If you do that, I'll...\Is it her boobs? Are you squeezing her boobs?\Sorry, did you not like that?\No, it just startled me a little.\But...\I'm so happy.\Don't be happy about it! response:	I wouldn't mind doing this forever.
context: If you do that, I'll...\Is it her boobs? Are you squeezing her boobs?\Sorry, did you not like that?\No, it just startled me a little.\But...\I'm so happy.\Don't be happy about it!\I wouldn't mind doing this forever. response:	She's totally enjoying it!
context: Is it her boobs? Are you squeezing her boobs?\Sorry, did you not like that?\No, it just startled me a little.\But...\I'm so happy.\Don't be happy about it!\I wouldn't mind doing this forever.\She's totally enjoying it! response:	You're making me so happy.
context: Sorry, did you not like that?\No, it just startled me a little.\But...\I'm so happy.\Don't be happy about it!\I wouldn't mind doing this forever.\She's totally enjoying it!\You're making me so happy. response:	I'm going to lose my mind.
context: No, it just startled me a little.\But...\I'm so happy.\Don't be happy about it!\I wouldn't mind doing this forever.\She's totally enjoying it!\You're making me so happy.\I'm going to lose my mind. response:	Naoya hasn't done anything with me yet!
context: But...\I'm so happy.\Don't be happy about it!\I wouldn't mind doing this forever.\She's totally enjoying it!\You're making me so happy.\I'm going to lose my mind.\Naoya hasn't done anything with me yet! response:	You totally put it in!
context: I'm so happy.\Don't be happy about it!\I wouldn't mind doing this forever.\She's totally enjoying it!\You're making me so happy.\I'm going to lose my mind.\Naoya hasn't done anything with me yet!\You totally put it in! response:	Put what in?
context: Don't be happy about it!\I wouldn't mind doing this forever.\She's totally enjoying it!\You're making me so happy.\I'm going to lose my mind.\Naoya hasn't done anything with me yet!\You totally put it in!\Put what in? response:	Naoya, you idiot! Idiot! Idiot!
context: I wouldn't mind doing this forever.\She's totally enjoying it!\You're making me so happy.\I'm going to lose my mind.\Naoya hasn't done anything with me yet!\You totally put it in!\Put what in?\Naoya, you idiot! Idiot! Idiot! response:	H-Huh?
context: She's totally enjoying it!\You're making me so happy.\I'm going to lose my mind.\Naoya hasn't done anything with me yet!\You totally put it in!\Put what in?\Naoya, you idiot! Idiot! Idiot!\H-Huh? response:	It's not in.
context: You're making me so happy.\I'm going to lose my mind.\Naoya hasn't done anything with me yet!\You totally put it in!\Put what in?\Naoya, you idiot! Idiot! Idiot!\H-Huh?\It's not in. response:	What's the matter, Saki-chan?
context: I'm going to lose my mind.\Naoya hasn't done anything with me yet!\You totally put it in!\Put what in?\Naoya, you idiot! Idiot! Idiot!\H-Huh?\It's not in.\What's the matter, Saki-chan? response:	No, I, you s-see...
context: Naoya hasn't done anything with me yet!\You totally put it in!\Put what in?\Naoya, you idiot! Idiot! Idiot!\H-Huh?\It's not in.\What's the matter, Saki-chan?\No, I, you s-see... response:	What do you mean, put it in?
context: You totally put it in!\Put what in?\Naoya, you idiot! Idiot! Idiot!\H-Huh?\It's not in.\What's the matter, Saki-chan?\No, I, you s-see...\What do you mean, put it in? response:	Are you all right?
context: Put what in?\Naoya, you idiot! Idiot! Idiot!\H-Huh?\It's not in.\What's the matter, Saki-chan?\No, I, you s-see...\What do you mean, put it in?\Are you all right? response:	N-No, I m-mean...
context: Naoya, you idiot! Idiot! Idiot!\H-Huh?\It's not in.\What's the matter, Saki-chan?\No, I, you s-see...\What do you mean, put it in?\Are you all right?\N-No, I m-mean... response:	I mean...
context: H-Huh?\It's not in.\What's the matter, Saki-chan?\No, I, you s-see...\What do you mean, put it in?\Are you all right?\N-No, I m-mean...\I mean... response:	I'm going to put myself in your futon, too.
context: It's not in.\What's the matter, Saki-chan?\No, I, you s-see...\What do you mean, put it in?\Are you all right?\N-No, I m-mean...\I mean...\I'm going to put myself in your futon, too. response:	Kill me.
context: What's the matter, Saki-chan?\No, I, you s-see...\What do you mean, put it in?\Are you all right?\N-No, I m-mean...\I mean...\I'm going to put myself in your futon, too.\Kill me. response:	Just kill me.
context: No, I, you s-see...\What do you mean, put it in?\Are you all right?\N-No, I m-mean...\I mean...\I'm going to put myself in your futon, too.\Kill me.\Just kill me. response:	Were you...
context: What do you mean, put it in?\Are you all right?\N-No, I m-mean...\I mean...\I'm going to put myself in your futon, too.\Kill me.\Just kill me.\Were you... response:	You must have been feeling lonely, too.
context: Are you all right?\N-No, I m-mean...\I mean...\I'm going to put myself in your futon, too.\Kill me.\Just kill me.\Were you...\You must have been feeling lonely, too. response:	Y-Yes.
context: N-No, I m-mean...\I mean...\I'm going to put myself in your futon, too.\Kill me.\Just kill me.\Were you...\You must have been feeling lonely, too.\Y-Yes. response:	You're cute when you act lonely, too, Saki-chan.
context: I mean...\I'm going to put myself in your futon, too.\Kill me.\Just kill me.\Were you...\You must have been feeling lonely, too.\Y-Yes.\You're cute when you act lonely, too, Saki-chan. response:	Let's sleep together tonight, the three of us.
context: I'm going to put myself in your futon, too.\Kill me.\Just kill me.\Were you...\You must have been feeling lonely, too.\Y-Yes.\You're cute when you act lonely, too, Saki-chan.\Let's sleep together tonight, the three of us. response:	Y-Yay.
context: Kill me.\Just kill me.\Were you...\You must have been feeling lonely, too.\Y-Yes.\You're cute when you act lonely, too, Saki-chan.\Let's sleep together tonight, the three of us.\Y-Yay. response:	I'm so happy.
context: Just kill me.\Were you...\You must have been feeling lonely, too.\Y-Yes.\You're cute when you act lonely, too, Saki-chan.\Let's sleep together tonight, the three of us.\Y-Yay.\I'm so happy. response:	She definitely had the wrong idea.
context: Were you...\You must have been feeling lonely, too.\Y-Yes.\You're cute when you act lonely, too, Saki-chan.\Let's sleep together tonight, the three of us.\Y-Yay.\I'm so happy.\She definitely had the wrong idea. response:	5 Minutes Later...
context: You must have been feeling lonely, too.\Y-Yes.\You're cute when you act lonely, too, Saki-chan.\Let's sleep together tonight, the three of us.\Y-Yay.\I'm so happy.\She definitely had the wrong idea.\5 Minutes Later... response:	5 Minutes Later...
context: Y-Yes.\You're cute when you act lonely, too, Saki-chan.\Let's sleep together tonight, the three of us.\Y-Yay.\I'm so happy.\She definitely had the wrong idea.\5 Minutes Later...\5 Minutes Later... response:	Girlfriend, Girlfriend
context: You're cute when you act lonely, too, Saki-chan.\Let's sleep together tonight, the three of us.\Y-Yay.\I'm so happy.\She definitely had the wrong idea.\5 Minutes Later...\5 Minutes Later...\Girlfriend, Girlfriend response:	Saki's Sleepover Gear
context: Let's sleep together tonight, the three of us.\Y-Yay.\I'm so happy.\She definitely had the wrong idea.\5 Minutes Later...\5 Minutes Later...\Girlfriend, Girlfriend\Saki's Sleepover Gear response:	Stuffed Animals
context: Y-Yay.\I'm so happy.\She definitely had the wrong idea.\5 Minutes Later...\5 Minutes Later...\Girlfriend, Girlfriend\Saki's Sleepover Gear\Stuffed Animals response:	Duck
context: I'm so happy.\She definitely had the wrong idea.\5 Minutes Later...\5 Minutes Later...\Girlfriend, Girlfriend\Saki's Sleepover Gear\Stuffed Animals\Duck response:	Animal Onesie
context: She definitely had the wrong idea.\5 Minutes Later...\5 Minutes Later...\Girlfriend, Girlfriend\Saki's Sleepover Gear\Stuffed Animals\Duck\Animal Onesie response:	Cuteness is crucial!
context: 5 Minutes Later...\5 Minutes Later...\Girlfriend, Girlfriend\Saki's Sleepover Gear\Stuffed Animals\Duck\Animal Onesie\Cuteness is crucial! response:	U-Um... And lucky panties.
context: 5 Minutes Later...\Girlfriend, Girlfriend\Saki's Sleepover Gear\Stuffed Animals\Duck\Animal Onesie\Cuteness is crucial!\U-Um... And lucky panties. response:	Naoya, snacks please.
context: Girlfriend, Girlfriend\Saki's Sleepover Gear\Stuffed Animals\Duck\Animal Onesie\Cuteness is crucial!\U-Um... And lucky panties.\Naoya, snacks please. response:	I never would have thought Naoya-kun would suggest dating Saki-san along with me.
context: Saki's Sleepover Gear\Stuffed Animals\Duck\Animal Onesie\Cuteness is crucial!\U-Um... And lucky panties.\Naoya, snacks please.\I never would have thought Naoya-kun would suggest dating Saki-san along with me. response:	This relationship...
context: Stuffed Animals\Duck\Animal Onesie\Cuteness is crucial!\U-Um... And lucky panties.\Naoya, snacks please.\I never would have thought Naoya-kun would suggest dating Saki-san along with me.\This relationship... response:	It's great.
