context: Be careful, alright? response:	And it's fine if you decide to head right on back here, you know!
context: Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\Uh, Reg... wake up.\Who's there?!\Reg?\Huh?\Huh? response:	I wonder when I drifted off to sleep...
context: Kodou wa honmono\Nidoto akogare wa tomaranai\Uh, Reg... wake up.\Who's there?!\Reg?\Huh?\Huh?\I wonder when I drifted off to sleep... response:	Sorry about that... Your belly was just so warm, Reg.
context: Nidoto akogare wa tomaranai\Uh, Reg... wake up.\Who's there?!\Reg?\Huh?\Huh?\I wonder when I drifted off to sleep...\Sorry about that... Your belly was just so warm, Reg. response:	It's understandable.
context: Uh, Reg... wake up.\Who's there?!\Reg?\Huh?\Huh?\I wonder when I drifted off to sleep...\Sorry about that... Your belly was just so warm, Reg.\It's understandable. response:	We hardly ever stay up that late, after all.
context: Who's there?!\Reg?\Huh?\Huh?\I wonder when I drifted off to sleep...\Sorry about that... Your belly was just so warm, Reg.\It's understandable.\We hardly ever stay up that late, after all. response:	Here.
context: Reg?\Huh?\Huh?\I wonder when I drifted off to sleep...\Sorry about that... Your belly was just so warm, Reg.\It's understandable.\We hardly ever stay up that late, after all.\Here. response:	Thanks.
context: Huh?\Huh?\I wonder when I drifted off to sleep...\Sorry about that... Your belly was just so warm, Reg.\It's understandable.\We hardly ever stay up that late, after all.\Here.\Thanks. response:	Reg...
context: Huh?\I wonder when I drifted off to sleep...\Sorry about that... Your belly was just so warm, Reg.\It's understandable.\We hardly ever stay up that late, after all.\Here.\Thanks.\Reg... response:	you have any idea where we are?
context: I wonder when I drifted off to sleep...\Sorry about that... Your belly was just so warm, Reg.\It's understandable.\We hardly ever stay up that late, after all.\Here.\Thanks.\Reg...\you have any idea where we are? response:	We dropped directly down from the Wharf District, but I couldn't really say what area we're in...
context: Sorry about that... Your belly was just so warm, Reg.\It's understandable.\We hardly ever stay up that late, after all.\Here.\Thanks.\Reg...\you have any idea where we are?\We dropped directly down from the Wharf District, but I couldn't really say what area we're in... response:	The depth gauge is indicating 820 meters.
context: It's understandable.\We hardly ever stay up that late, after all.\Here.\Thanks.\Reg...\you have any idea where we are?\We dropped directly down from the Wharf District, but I couldn't really say what area we're in...\The depth gauge is indicating 820 meters. response:	Riko, what is it?
context: We hardly ever stay up that late, after all.\Here.\Thanks.\Reg...\you have any idea where we are?\We dropped directly down from the Wharf District, but I couldn't really say what area we're in...\The depth gauge is indicating 820 meters.\Riko, what is it? response:	Amazing...
context: Here.\Thanks.\Reg...\you have any idea where we are?\We dropped directly down from the Wharf District, but I couldn't really say what area we're in...\The depth gauge is indicating 820 meters.\Riko, what is it?\Amazing... response:	It's way brighter here than up on the surface, huh?
context: Thanks.\Reg...\you have any idea where we are?\We dropped directly down from the Wharf District, but I couldn't really say what area we're in...\The depth gauge is indicating 820 meters.\Riko, what is it?\Amazing...\It's way brighter here than up on the surface, huh? response:	Ah, over there!
context: Reg...\you have any idea where we are?\We dropped directly down from the Wharf District, but I couldn't really say what area we're in...\The depth gauge is indicating 820 meters.\Riko, what is it?\Amazing...\It's way brighter here than up on the surface, huh?\Ah, over there! response:	It's the Rock Ark, located at a depth of 600 meters...
context: you have any idea where we are?\We dropped directly down from the Wharf District, but I couldn't really say what area we're in...\The depth gauge is indicating 820 meters.\Riko, what is it?\Amazing...\It's way brighter here than up on the surface, huh?\Ah, over there!\It's the Rock Ark, located at a depth of 600 meters... response:	It's so far above us!
context: We dropped directly down from the Wharf District, but I couldn't really say what area we're in...\The depth gauge is indicating 820 meters.\Riko, what is it?\Amazing...\It's way brighter here than up on the surface, huh?\Ah, over there!\It's the Rock Ark, located at a depth of 600 meters...\It's so far above us! response:	Not long ago, I was aiming for a depth of 400 meters...
context: The depth gauge is indicating 820 meters.\Riko, what is it?\Amazing...\It's way brighter here than up on the surface, huh?\Ah, over there!\It's the Rock Ark, located at a depth of 600 meters...\It's so far above us!\Not long ago, I was aiming for a depth of 400 meters... response:	and now we can't even see it anymore!
context: Riko, what is it?\Amazing...\It's way brighter here than up on the surface, huh?\Ah, over there!\It's the Rock Ark, located at a depth of 600 meters...\It's so far above us!\Not long ago, I was aiming for a depth of 400 meters...\and now we can't even see it anymore! response:	So, due to the distortion in the force field, we can't see the surface, huh?
context: Amazing...\It's way brighter here than up on the surface, huh?\Ah, over there!\It's the Rock Ark, located at a depth of 600 meters...\It's so far above us!\Not long ago, I was aiming for a depth of 400 meters...\and now we can't even see it anymore!\So, due to the distortion in the force field, we can't see the surface, huh? response:	That boundary looks awfully bright...
context: It's way brighter here than up on the surface, huh?\Ah, over there!\It's the Rock Ark, located at a depth of 600 meters...\It's so far above us!\Not long ago, I was aiming for a depth of 400 meters...\and now we can't even see it anymore!\So, due to the distortion in the force field, we can't see the surface, huh?\That boundary looks awfully bright... response:	Is that distortion carrying the light downward?
context: Ah, over there!\It's the Rock Ark, located at a depth of 600 meters...\It's so far above us!\Not long ago, I was aiming for a depth of 400 meters...\and now we can't even see it anymore!\So, due to the distortion in the force field, we can't see the surface, huh?\That boundary looks awfully bright...\Is that distortion carrying the light downward? response:	How terrific, Reg!
context: It's the Rock Ark, located at a depth of 600 meters...\It's so far above us!\Not long ago, I was aiming for a depth of 400 meters...\and now we can't even see it anymore!\So, due to the distortion in the force field, we can't see the surface, huh?\That boundary looks awfully bright...\Is that distortion carrying the light downward?\How terrific, Reg! response:	At this pace we can make it to the bottom of the netherworld!
context: It's so far above us!\Not long ago, I was aiming for a depth of 400 meters...\and now we can't even see it anymore!\So, due to the distortion in the force field, we can't see the surface, huh?\That boundary looks awfully bright...\Is that distortion carrying the light downward?\How terrific, Reg!\At this pace we can make it to the bottom of the netherworld! response:	Of course, we can't let our guard down, you know.
context: Not long ago, I was aiming for a depth of 400 meters...\and now we can't even see it anymore!\So, due to the distortion in the force field, we can't see the surface, huh?\That boundary looks awfully bright...\Is that distortion carrying the light downward?\How terrific, Reg!\At this pace we can make it to the bottom of the netherworld!\Of course, we can't let our guard down, you know. response:	We might even make it all way to the second layer before anyone comes after us.
context: and now we can't even see it anymore!\So, due to the distortion in the force field, we can't see the surface, huh?\That boundary looks awfully bright...\Is that distortion carrying the light downward?\How terrific, Reg!\At this pace we can make it to the bottom of the netherworld!\Of course, we can't let our guard down, you know.\We might even make it all way to the second layer before anyone comes after us. response:	W-well that's good to hear.
context: So, due to the distortion in the force field, we can't see the surface, huh?\That boundary looks awfully bright...\Is that distortion carrying the light downward?\How terrific, Reg!\At this pace we can make it to the bottom of the netherworld!\Of course, we can't let our guard down, you know.\We might even make it all way to the second layer before anyone comes after us.\W-well that's good to hear. response:	By the way, Riko...
context: That boundary looks awfully bright...\Is that distortion carrying the light downward?\How terrific, Reg!\At this pace we can make it to the bottom of the netherworld!\Of course, we can't let our guard down, you know.\We might even make it all way to the second layer before anyone comes after us.\W-well that's good to hear.\By the way, Riko... response:	Let's have some breakfast...
context: Is that distortion carrying the light downward?\How terrific, Reg!\At this pace we can make it to the bottom of the netherworld!\Of course, we can't let our guard down, you know.\We might even make it all way to the second layer before anyone comes after us.\W-well that's good to hear.\By the way, Riko...\Let's have some breakfast... response:	Yeah.
context: How terrific, Reg!\At this pace we can make it to the bottom of the netherworld!\Of course, we can't let our guard down, you know.\We might even make it all way to the second layer before anyone comes after us.\W-well that's good to hear.\By the way, Riko...\Let's have some breakfast...\Yeah. response:	Take out the demonfish innards making sure not to damage them,
context: At this pace we can make it to the bottom of the netherworld!\Of course, we can't let our guard down, you know.\We might even make it all way to the second layer before anyone comes after us.\W-well that's good to hear.\By the way, Riko...\Let's have some breakfast...\Yeah.\Take out the demonfish innards making sure not to damage them, response:	and smoke them to keep as preserved food.
context: Of course, we can't let our guard down, you know.\We might even make it all way to the second layer before anyone comes after us.\W-well that's good to hear.\By the way, Riko...\Let's have some breakfast...\Yeah.\Take out the demonfish innards making sure not to damage them,\and smoke them to keep as preserved food. response:	As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.
context: We might even make it all way to the second layer before anyone comes after us.\W-well that's good to hear.\By the way, Riko...\Let's have some breakfast...\Yeah.\Take out the demonfish innards making sure not to damage them,\and smoke them to keep as preserved food.\As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top. response:	Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...
context: W-well that's good to hear.\By the way, Riko...\Let's have some breakfast...\Yeah.\Take out the demonfish innards making sure not to damage them,\and smoke them to keep as preserved food.\As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.\Mix in some stick miso, and then once you throw in a bunch of diced sainona greens... response:	Ta-da! My special Riko Soup is ready!
context: By the way, Riko...\Let's have some breakfast...\Yeah.\Take out the demonfish innards making sure not to damage them,\and smoke them to keep as preserved food.\As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.\Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...\Ta-da! My special Riko Soup is ready! response:	Irredeemable...
context: Let's have some breakfast...\Yeah.\Take out the demonfish innards making sure not to damage them,\and smoke them to keep as preserved food.\As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.\Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...\Ta-da! My special Riko Soup is ready!\Irredeemable... response:	Oh, it tastes better than Riko Bombs!
context: Yeah.\Take out the demonfish innards making sure not to damage them,\and smoke them to keep as preserved food.\As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.\Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...\Ta-da! My special Riko Soup is ready!\Irredeemable...\Oh, it tastes better than Riko Bombs! response:	Riko, what's that you're playing around with?
context: Take out the demonfish innards making sure not to damage them,\and smoke them to keep as preserved food.\As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.\Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...\Ta-da! My special Riko Soup is ready!\Irredeemable...\Oh, it tastes better than Riko Bombs!\Riko, what's that you're playing around with? response:	It's my Star Compass.
context: and smoke them to keep as preserved food.\As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.\Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...\Ta-da! My special Riko Soup is ready!\Irredeemable...\Oh, it tastes better than Riko Bombs!\Riko, what's that you're playing around with?\It's my Star Compass. response:	Ah, something that helps you tell up from down...?
context: As for the meat, put a hearty helping in a pot and sprinkle a bit of ground-up Eternal Fortunes on top.\Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...\Ta-da! My special Riko Soup is ready!\Irredeemable...\Oh, it tastes better than Riko Bombs!\Riko, what's that you're playing around with?\It's my Star Compass.\Ah, something that helps you tell up from down...? response:	Wrong! It points to the bottom of the netherworld!
context: Mix in some stick miso, and then once you throw in a bunch of diced sainona greens...\Ta-da! My special Riko Soup is ready!\Irredeemable...\Oh, it tastes better than Riko Bombs!\Riko, what's that you're playing around with?\It's my Star Compass.\Ah, something that helps you tell up from down...?\Wrong! It points to the bottom of the netherworld! response:	Let me take a look.
context: Ta-da! My special Riko Soup is ready!\Irredeemable...\Oh, it tastes better than Riko Bombs!\Riko, what's that you're playing around with?\It's my Star Compass.\Ah, something that helps you tell up from down...?\Wrong! It points to the bottom of the netherworld!\Let me take a look. response:	It's not magnetic or weighted...
context: Irredeemable...\Oh, it tastes better than Riko Bombs!\Riko, what's that you're playing around with?\It's my Star Compass.\Ah, something that helps you tell up from down...?\Wrong! It points to the bottom of the netherworld!\Let me take a look.\It's not magnetic or weighted... response:	How strange.
context: Oh, it tastes better than Riko Bombs!\Riko, what's that you're playing around with?\It's my Star Compass.\Ah, something that helps you tell up from down...?\Wrong! It points to the bottom of the netherworld!\Let me take a look.\It's not magnetic or weighted...\How strange. response:	Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.
context: Riko, what's that you're playing around with?\It's my Star Compass.\Ah, something that helps you tell up from down...?\Wrong! It points to the bottom of the netherworld!\Let me take a look.\It's not magnetic or weighted...\How strange.\Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit. response:	Really?! Give it here!
context: It's my Star Compass.\Ah, something that helps you tell up from down...?\Wrong! It points to the bottom of the netherworld!\Let me take a look.\It's not magnetic or weighted...\How strange.\Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.\Really?! Give it here! response:	Another Relic of the Abyss, huh?
context: Ah, something that helps you tell up from down...?\Wrong! It points to the bottom of the netherworld!\Let me take a look.\It's not magnetic or weighted...\How strange.\Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.\Really?! Give it here!\Another Relic of the Abyss, huh? response:	I get the feeling there's some incomprehensible principle at work...
context: Wrong! It points to the bottom of the netherworld!\Let me take a look.\It's not magnetic or weighted...\How strange.\Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.\Really?! Give it here!\Another Relic of the Abyss, huh?\I get the feeling there's some incomprehensible principle at work... response:	However, is that thing really even useful?
context: Let me take a look.\It's not magnetic or weighted...\How strange.\Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.\Really?! Give it here!\Another Relic of the Abyss, huh?\I get the feeling there's some incomprehensible principle at work...\However, is that thing really even useful? response:	It's fine. It's fine, really...
context: It's not magnetic or weighted...\How strange.\Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.\Really?! Give it here!\Another Relic of the Abyss, huh?\I get the feeling there's some incomprehensible principle at work...\However, is that thing really even useful?\It's fine. It's fine, really... response:	All that which is taken from the Abyss will someday be returned to it.
context: How strange.\Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.\Really?! Give it here!\Another Relic of the Abyss, huh?\I get the feeling there's some incomprehensible principle at work...\However, is that thing really even useful?\It's fine. It's fine, really...\All that which is taken from the Abyss will someday be returned to it. response:	Whether it be an object or a life...
context: Even if you shake it or rotate it around, the direction of the needle doesn't budge a bit.\Really?! Give it here!\Another Relic of the Abyss, huh?\I get the feeling there's some incomprehensible principle at work...\However, is that thing really even useful?\It's fine. It's fine, really...\All that which is taken from the Abyss will someday be returned to it.\Whether it be an object or a life... response:	The Abyss is greedy like that, you know?
context: Really?! Give it here!\Another Relic of the Abyss, huh?\I get the feeling there's some incomprehensible principle at work...\However, is that thing really even useful?\It's fine. It's fine, really...\All that which is taken from the Abyss will someday be returned to it.\Whether it be an object or a life...\The Abyss is greedy like that, you know? response:	I-I see...
context: Another Relic of the Abyss, huh?\I get the feeling there's some incomprehensible principle at work...\However, is that thing really even useful?\It's fine. It's fine, really...\All that which is taken from the Abyss will someday be returned to it.\Whether it be an object or a life...\The Abyss is greedy like that, you know?\I-I see... response:	The teachings of cave raiders are quite humble...
context: I get the feeling there's some incomprehensible principle at work...\However, is that thing really even useful?\It's fine. It's fine, really...\All that which is taken from the Abyss will someday be returned to it.\Whether it be an object or a life...\The Abyss is greedy like that, you know?\I-I see...\The teachings of cave raiders are quite humble... response:	Yeah, Leader taught that to me.
context: However, is that thing really even useful?\It's fine. It's fine, really...\All that which is taken from the Abyss will someday be returned to it.\Whether it be an object or a life...\The Abyss is greedy like that, you know?\I-I see...\The teachings of cave raiders are quite humble...\Yeah, Leader taught that to me. response:	Ah! That's right!
context: It's fine. It's fine, really...\All that which is taken from the Abyss will someday be returned to it.\Whether it be an object or a life...\The Abyss is greedy like that, you know?\I-I see...\The teachings of cave raiders are quite humble...\Yeah, Leader taught that to me.\Ah! That's right! response:	We were rushing around so much I forgot all about this!
context: All that which is taken from the Abyss will someday be returned to it.\Whether it be an object or a life...\The Abyss is greedy like that, you know?\I-I see...\The teachings of cave raiders are quite humble...\Yeah, Leader taught that to me.\Ah! That's right!\We were rushing around so much I forgot all about this! response:	What's this?
context: Whether it be an object or a life...\The Abyss is greedy like that, you know?\I-I see...\The teachings of cave raiders are quite humble...\Yeah, Leader taught that to me.\Ah! That's right!\We were rushing around so much I forgot all about this!\What's this? response:	An envelope...?
context: The Abyss is greedy like that, you know?\I-I see...\The teachings of cave raiders are quite humble...\Yeah, Leader taught that to me.\Ah! That's right!\We were rushing around so much I forgot all about this!\What's this?\An envelope...? response:	Well, go ahead and take a look inside.
context: I-I see...\The teachings of cave raiders are quite humble...\Yeah, Leader taught that to me.\Ah! That's right!\We were rushing around so much I forgot all about this!\What's this?\An envelope...?\Well, go ahead and take a look inside. response:	This is...
context: The teachings of cave raiders are quite humble...\Yeah, Leader taught that to me.\Ah! That's right!\We were rushing around so much I forgot all about this!\What's this?\An envelope...?\Well, go ahead and take a look inside.\This is... response:	my mother's sealed letter!
context: Yeah, Leader taught that to me.\Ah! That's right!\We were rushing around so much I forgot all about this!\What's this?\An envelope...?\Well, go ahead and take a look inside.\This is...\my mother's sealed letter! response:	Reg, did you make off with this?!
context: Ah! That's right!\We were rushing around so much I forgot all about this!\What's this?\An envelope...?\Well, go ahead and take a look inside.\This is...\my mother's sealed letter!\Reg, did you make off with this?! response:	Nope, take a closer look.
context: We were rushing around so much I forgot all about this!\What's this?\An envelope...?\Well, go ahead and take a look inside.\This is...\my mother's sealed letter!\Reg, did you make off with this?!\Nope, take a closer look. response:	The pages we saw last time were tattered.
context: What's this?\An envelope...?\Well, go ahead and take a look inside.\This is...\my mother's sealed letter!\Reg, did you make off with this?!\Nope, take a closer look.\The pages we saw last time were tattered. response:	So this is probably just a copy, right?
context: An envelope...?\Well, go ahead and take a look inside.\This is...\my mother's sealed letter!\Reg, did you make off with this?!\Nope, take a closer look.\The pages we saw last time were tattered.\So this is probably just a copy, right? response:	You're right.
context: Well, go ahead and take a look inside.\This is...\my mother's sealed letter!\Reg, did you make off with this?!\Nope, take a closer look.\The pages we saw last time were tattered.\So this is probably just a copy, right?\You're right. response:	Before we left the orphanage, I actually bumped into Leader.
context: This is...\my mother's sealed letter!\Reg, did you make off with this?!\Nope, take a closer look.\The pages we saw last time were tattered.\So this is probably just a copy, right?\You're right.\Before we left the orphanage, I actually bumped into Leader. response:	Huh?!
context: my mother's sealed letter!\Reg, did you make off with this?!\Nope, take a closer look.\The pages we saw last time were tattered.\So this is probably just a copy, right?\You're right.\Before we left the orphanage, I actually bumped into Leader.\Huh?! response:	I thought that I really had him fooled, but...
context: Reg, did you make off with this?!\Nope, take a closer look.\The pages we saw last time were tattered.\So this is probably just a copy, right?\You're right.\Before we left the orphanage, I actually bumped into Leader.\Huh?!\I thought that I really had him fooled, but... response:	I suddenly realized that thing was in my back pocket, and...
context: Nope, take a closer look.\The pages we saw last time were tattered.\So this is probably just a copy, right?\You're right.\Before we left the orphanage, I actually bumped into Leader.\Huh?!\I thought that I really had him fooled, but...\I suddenly realized that thing was in my back pocket, and... response:	I think he's pretty much the only one who could've done it.
context: The pages we saw last time were tattered.\So this is probably just a copy, right?\You're right.\Before we left the orphanage, I actually bumped into Leader.\Huh?!\I thought that I really had him fooled, but...\I suddenly realized that thing was in my back pocket, and...\I think he's pretty much the only one who could've done it. response:	Leader... I wonder if he's cheering us on...
context: So this is probably just a copy, right?\You're right.\Before we left the orphanage, I actually bumped into Leader.\Huh?!\I thought that I really had him fooled, but...\I suddenly realized that thing was in my back pocket, and...\I think he's pretty much the only one who could've done it.\Leader... I wonder if he's cheering us on... response:	There's a page that's a different size than the others.
context: You're right.\Before we left the orphanage, I actually bumped into Leader.\Huh?!\I thought that I really had him fooled, but...\I suddenly realized that thing was in my back pocket, and...\I think he's pretty much the only one who could've done it.\Leader... I wonder if he's cheering us on...\There's a page that's a different size than the others. response:	I'll depart at dawn to come capture you?!
context: Before we left the orphanage, I actually bumped into Leader.\Huh?!\I thought that I really had him fooled, but...\I suddenly realized that thing was in my back pocket, and...\I think he's pretty much the only one who could've done it.\Leader... I wonder if he's cheering us on...\There's a page that's a different size than the others.\I'll depart at dawn to come capture you?! response:	Reg, do you have any idea how long it's been since dawn?!
context: Huh?!\I thought that I really had him fooled, but...\I suddenly realized that thing was in my back pocket, and...\I think he's pretty much the only one who could've done it.\Leader... I wonder if he's cheering us on...\There's a page that's a different size than the others.\I'll depart at dawn to come capture you?!\Reg, do you have any idea how long it's been since dawn?! response:	Nope...
context: I thought that I really had him fooled, but...\I suddenly realized that thing was in my back pocket, and...\I think he's pretty much the only one who could've done it.\Leader... I wonder if he's cheering us on...\There's a page that's a different size than the others.\I'll depart at dawn to come capture you?!\Reg, do you have any idea how long it's been since dawn?!\Nope... response:	But, considering that it was already bright out when we woke up...
