context: Wow, it's cold! response:	Hey, this window pane is completely smashed.
context: I couldn't even fight; he just kicked my butt.\Not even trying to make yourself sound good?\I see. When it comes to you, what you see really is what you get.\All right, let's get down to business.\You don't have any idea what you're caught up in, do you?\To be blunt, you've been chosen as a Master.\Have you noticed a brand somewhere on your body?\A brand? response:	She is referring to the Command Seals, Shirou.
context: Not even trying to make yourself sound good?\I see. When it comes to you, what you see really is what you get.\All right, let's get down to business.\You don't have any idea what you're caught up in, do you?\To be blunt, you've been chosen as a Master.\Have you noticed a brand somewhere on your body?\A brand?\She is referring to the Command Seals, Shirou. response:	O-Oh, these...
context: I see. When it comes to you, what you see really is what you get.\All right, let's get down to business.\You don't have any idea what you're caught up in, do you?\To be blunt, you've been chosen as a Master.\Have you noticed a brand somewhere on your body?\A brand?\She is referring to the Command Seals, Shirou.\O-Oh, these... response:	Yes. Those brand you as a Master.
context: All right, let's get down to business.\You don't have any idea what you're caught up in, do you?\To be blunt, you've been chosen as a Master.\Have you noticed a brand somewhere on your body?\A brand?\She is referring to the Command Seals, Shirou.\O-Oh, these...\Yes. Those brand you as a Master. response:	They're also spells to control your Servant.
context: You don't have any idea what you're caught up in, do you?\To be blunt, you've been chosen as a Master.\Have you noticed a brand somewhere on your body?\A brand?\She is referring to the Command Seals, Shirou.\O-Oh, these...\Yes. Those brand you as a Master.\They're also spells to control your Servant. response:	So, as long as you have those, you can control your Servant.
context: To be blunt, you've been chosen as a Master.\Have you noticed a brand somewhere on your body?\A brand?\She is referring to the Command Seals, Shirou.\O-Oh, these...\Yes. Those brand you as a Master.\They're also spells to control your Servant.\So, as long as you have those, you can control your Servant. response:	What do you mean, as long as I have them?
context: Have you noticed a brand somewhere on your body?\A brand?\She is referring to the Command Seals, Shirou.\O-Oh, these...\Yes. Those brand you as a Master.\They're also spells to control your Servant.\So, as long as you have those, you can control your Servant.\What do you mean, as long as I have them? response:	Command Seals are inviolable orders.
context: A brand?\She is referring to the Command Seals, Shirou.\O-Oh, these...\Yes. Those brand you as a Master.\They're also spells to control your Servant.\So, as long as you have those, you can control your Servant.\What do you mean, as long as I have them?\Command Seals are inviolable orders. response:	They force your Servant's obedience, even if it means bending them to your will.
context: She is referring to the Command Seals, Shirou.\O-Oh, these...\Yes. Those brand you as a Master.\They're also spells to control your Servant.\So, as long as you have those, you can control your Servant.\What do you mean, as long as I have them?\Command Seals are inviolable orders.\They force your Servant's obedience, even if it means bending them to your will. response:	Saber broke off her attack earlier, remember?
context: O-Oh, these...\Yes. Those brand you as a Master.\They're also spells to control your Servant.\So, as long as you have those, you can control your Servant.\What do you mean, as long as I have them?\Command Seals are inviolable orders.\They force your Servant's obedience, even if it means bending them to your will.\Saber broke off her attack earlier, remember? response:	However, you only get three inviolable orders, so try not to waste them.
context: Yes. Those brand you as a Master.\They're also spells to control your Servant.\So, as long as you have those, you can control your Servant.\What do you mean, as long as I have them?\Command Seals are inviolable orders.\They force your Servant's obedience, even if it means bending them to your will.\Saber broke off her attack earlier, remember?\However, you only get three inviolable orders, so try not to waste them. response:	If you use them all, you'll probably be killed, so I suggest you take care with them.
context: They're also spells to control your Servant.\So, as long as you have those, you can control your Servant.\What do you mean, as long as I have them?\Command Seals are inviolable orders.\They force your Servant's obedience, even if it means bending them to your will.\Saber broke off her attack earlier, remember?\However, you only get three inviolable orders, so try not to waste them.\If you use them all, you'll probably be killed, so I suggest you take care with them. response:	I'll be killed?
context: So, as long as you have those, you can control your Servant.\What do you mean, as long as I have them?\Command Seals are inviolable orders.\They force your Servant's obedience, even if it means bending them to your will.\Saber broke off her attack earlier, remember?\However, you only get three inviolable orders, so try not to waste them.\If you use them all, you'll probably be killed, so I suggest you take care with them.\I'll be killed? response:	That's right.
context: What do you mean, as long as I have them?\Command Seals are inviolable orders.\They force your Servant's obedience, even if it means bending them to your will.\Saber broke off her attack earlier, remember?\However, you only get three inviolable orders, so try not to waste them.\If you use them all, you'll probably be killed, so I suggest you take care with them.\I'll be killed?\That's right. response:	The Holy Grail War is based upon Masters defeating other Masters.
context: Command Seals are inviolable orders.\They force your Servant's obedience, even if it means bending them to your will.\Saber broke off her attack earlier, remember?\However, you only get three inviolable orders, so try not to waste them.\If you use them all, you'll probably be killed, so I suggest you take care with them.\I'll be killed?\That's right.\The Holy Grail War is based upon Masters defeating other Masters. response:	The Master that beats the other six will win the Holy Grail, which can grant any wish.
context: They force your Servant's obedience, even if it means bending them to your will.\Saber broke off her attack earlier, remember?\However, you only get three inviolable orders, so try not to waste them.\If you use them all, you'll probably be killed, so I suggest you take care with them.\I'll be killed?\That's right.\The Holy Grail War is based upon Masters defeating other Masters.\The Master that beats the other six will win the Holy Grail, which can grant any wish. response:	Hey, hold on a second... What do you mean by Holy Grail?
context: Saber broke off her attack earlier, remember?\However, you only get three inviolable orders, so try not to waste them.\If you use them all, you'll probably be killed, so I suggest you take care with them.\I'll be killed?\That's right.\The Holy Grail War is based upon Masters defeating other Masters.\The Master that beats the other six will win the Holy Grail, which can grant any wish.\Hey, hold on a second... What do you mean by Holy Grail? response:	To make a long story short, you've been dragged into a ritual.
context: However, you only get three inviolable orders, so try not to waste them.\If you use them all, you'll probably be killed, so I suggest you take care with them.\I'll be killed?\That's right.\The Holy Grail War is based upon Masters defeating other Masters.\The Master that beats the other six will win the Holy Grail, which can grant any wish.\Hey, hold on a second... What do you mean by Holy Grail?\To make a long story short, you've been dragged into a ritual. response:	One called the Holy Grail War, fought by seven Masters,
context: If you use them all, you'll probably be killed, so I suggest you take care with them.\I'll be killed?\That's right.\The Holy Grail War is based upon Masters defeating other Masters.\The Master that beats the other six will win the Holy Grail, which can grant any wish.\Hey, hold on a second... What do you mean by Holy Grail?\To make a long story short, you've been dragged into a ritual.\One called the Holy Grail War, fought by seven Masters, response:	a battle to the death between mages.
context: I'll be killed?\That's right.\The Holy Grail War is based upon Masters defeating other Masters.\The Master that beats the other six will win the Holy Grail, which can grant any wish.\Hey, hold on a second... What do you mean by Holy Grail?\To make a long story short, you've been dragged into a ritual.\One called the Holy Grail War, fought by seven Masters,\a battle to the death between mages. response:	Do you even know what you're saying?
context: That's right.\The Holy Grail War is based upon Masters defeating other Masters.\The Master that beats the other six will win the Holy Grail, which can grant any wish.\Hey, hold on a second... What do you mean by Holy Grail?\To make a long story short, you've been dragged into a ritual.\One called the Holy Grail War, fought by seven Masters,\a battle to the death between mages.\Do you even know what you're saying? response:	I'm simply laying out the facts.
context: The Holy Grail War is based upon Masters defeating other Masters.\The Master that beats the other six will win the Holy Grail, which can grant any wish.\Hey, hold on a second... What do you mean by Holy Grail?\To make a long story short, you've been dragged into a ritual.\One called the Holy Grail War, fought by seven Masters,\a battle to the death between mages.\Do you even know what you're saying?\I'm simply laying out the facts. response:	Besides, it should be clear, even to you.
context: The Master that beats the other six will win the Holy Grail, which can grant any wish.\Hey, hold on a second... What do you mean by Holy Grail?\To make a long story short, you've been dragged into a ritual.\One called the Holy Grail War, fought by seven Masters,\a battle to the death between mages.\Do you even know what you're saying?\I'm simply laying out the facts.\Besides, it should be clear, even to you. response:	After all, a Servant nearly killed you, not once, but twice.
context: Hey, hold on a second... What do you mean by Holy Grail?\To make a long story short, you've been dragged into a ritual.\One called the Holy Grail War, fought by seven Masters,\a battle to the death between mages.\Do you even know what you're saying?\I'm simply laying out the facts.\Besides, it should be clear, even to you.\After all, a Servant nearly killed you, not once, but twice. response:	Convinced yet?
context: To make a long story short, you've been dragged into a ritual.\One called the Holy Grail War, fought by seven Masters,\a battle to the death between mages.\Do you even know what you're saying?\I'm simply laying out the facts.\Besides, it should be clear, even to you.\After all, a Servant nearly killed you, not once, but twice.\Convinced yet? response:	I was also chosen as a Master.
context: One called the Holy Grail War, fought by seven Masters,\a battle to the death between mages.\Do you even know what you're saying?\I'm simply laying out the facts.\Besides, it should be clear, even to you.\After all, a Servant nearly killed you, not once, but twice.\Convinced yet?\I was also chosen as a Master. response:	Think of your Servant as a familiar, which the Holy Grail granted to you,
context: a battle to the death between mages.\Do you even know what you're saying?\I'm simply laying out the facts.\Besides, it should be clear, even to you.\After all, a Servant nearly killed you, not once, but twice.\Convinced yet?\I was also chosen as a Master.\Think of your Servant as a familiar, which the Holy Grail granted to you, response:	to help you survive the Holy Grail War.
context: Do you even know what you're saying?\I'm simply laying out the facts.\Besides, it should be clear, even to you.\After all, a Servant nearly killed you, not once, but twice.\Convinced yet?\I was also chosen as a Master.\Think of your Servant as a familiar, which the Holy Grail granted to you,\to help you survive the Holy Grail War. response:	She doesn't look much like a familiar to me.
context: I'm simply laying out the facts.\Besides, it should be clear, even to you.\After all, a Servant nearly killed you, not once, but twice.\Convinced yet?\I was also chosen as a Master.\Think of your Servant as a familiar, which the Holy Grail granted to you,\to help you survive the Holy Grail War.\She doesn't look much like a familiar to me. response:	Of course not.
context: Besides, it should be clear, even to you.\After all, a Servant nearly killed you, not once, but twice.\Convinced yet?\I was also chosen as a Master.\Think of your Servant as a familiar, which the Holy Grail granted to you,\to help you survive the Holy Grail War.\She doesn't look much like a familiar to me.\Of course not. response:	Technically, Servants are familiars, but they're actually superhuman beings,
context: After all, a Servant nearly killed you, not once, but twice.\Convinced yet?\I was also chosen as a Master.\Think of your Servant as a familiar, which the Holy Grail granted to you,\to help you survive the Holy Grail War.\She doesn't look much like a familiar to me.\Of course not.\Technically, Servants are familiars, but they're actually superhuman beings, response:	heroes from the past.
context: Convinced yet?\I was also chosen as a Master.\Think of your Servant as a familiar, which the Holy Grail granted to you,\to help you survive the Holy Grail War.\She doesn't look much like a familiar to me.\Of course not.\Technically, Servants are familiars, but they're actually superhuman beings,\heroes from the past. response:	A hero from the past? Saber?
context: I was also chosen as a Master.\Think of your Servant as a familiar, which the Holy Grail granted to you,\to help you survive the Holy Grail War.\She doesn't look much like a familiar to me.\Of course not.\Technically, Servants are familiars, but they're actually superhuman beings,\heroes from the past.\A hero from the past? Saber? response:	That's right.
context: Think of your Servant as a familiar, which the Holy Grail granted to you,\to help you survive the Holy Grail War.\She doesn't look much like a familiar to me.\Of course not.\Technically, Servants are familiars, but they're actually superhuman beings,\heroes from the past.\A hero from the past? Saber?\That's right. response:	Servants are heroes pulled from legends,
context: to help you survive the Holy Grail War.\She doesn't look much like a familiar to me.\Of course not.\Technically, Servants are familiars, but they're actually superhuman beings,\heroes from the past.\A hero from the past? Saber?\That's right.\Servants are heroes pulled from legends, response:	be they ancient or modern, into our time and given physical forms.
context: She doesn't look much like a familiar to me.\Of course not.\Technically, Servants are familiars, but they're actually superhuman beings,\heroes from the past.\A hero from the past? Saber?\That's right.\Servants are heroes pulled from legends,\be they ancient or modern, into our time and given physical forms. response:	It's the Master's role to summon them,
context: Of course not.\Technically, Servants are familiars, but they're actually superhuman beings,\heroes from the past.\A hero from the past? Saber?\That's right.\Servants are heroes pulled from legends,\be they ancient or modern, into our time and given physical forms.\It's the Master's role to summon them, response:	and a phenomenon of the Grail manifests them afterward.
context: Technically, Servants are familiars, but they're actually superhuman beings,\heroes from the past.\A hero from the past? Saber?\That's right.\Servants are heroes pulled from legends,\be they ancient or modern, into our time and given physical forms.\It's the Master's role to summon them,\and a phenomenon of the Grail manifests them afterward. response:	Basically, a Servant is always with you in spirit form.
context: heroes from the past.\A hero from the past? Saber?\That's right.\Servants are heroes pulled from legends,\be they ancient or modern, into our time and given physical forms.\It's the Master's role to summon them,\and a phenomenon of the Grail manifests them afterward.\Basically, a Servant is always with you in spirit form. response:	And should the need arise, you can materialize them and make them fight.
context: A hero from the past? Saber?\That's right.\Servants are heroes pulled from legends,\be they ancient or modern, into our time and given physical forms.\It's the Master's role to summon them,\and a phenomenon of the Grail manifests them afterward.\Basically, a Servant is always with you in spirit form.\And should the need arise, you can materialize them and make them fight. response:	So you can transform them at will between spirit and physical form.
context: That's right.\Servants are heroes pulled from legends,\be they ancient or modern, into our time and given physical forms.\It's the Master's role to summon them,\and a phenomenon of the Grail manifests them afterward.\Basically, a Servant is always with you in spirit form.\And should the need arise, you can materialize them and make them fight.\So you can transform them at will between spirit and physical form. response:	That's how that guy in red...
context: Servants are heroes pulled from legends,\be they ancient or modern, into our time and given physical forms.\It's the Master's role to summon them,\and a phenomenon of the Grail manifests them afterward.\Basically, a Servant is always with you in spirit form.\And should the need arise, you can materialize them and make them fight.\So you can transform them at will between spirit and physical form.\That's how that guy in red... response:	That's Archer.
context: be they ancient or modern, into our time and given physical forms.\It's the Master's role to summon them,\and a phenomenon of the Grail manifests them afterward.\Basically, a Servant is always with you in spirit form.\And should the need arise, you can materialize them and make them fight.\So you can transform them at will between spirit and physical form.\That's how that guy in red...\That's Archer. response:	For the time being, I'm having him keep watch outside.
context: It's the Master's role to summon them,\and a phenomenon of the Grail manifests them afterward.\Basically, a Servant is always with you in spirit form.\And should the need arise, you can materialize them and make them fight.\So you can transform them at will between spirit and physical form.\That's how that guy in red...\That's Archer.\For the time being, I'm having him keep watch outside. response:	Do you understand everything so far?
context: and a phenomenon of the Grail manifests them afterward.\Basically, a Servant is always with you in spirit form.\And should the need arise, you can materialize them and make them fight.\So you can transform them at will between spirit and physical form.\That's how that guy in red...\That's Archer.\For the time being, I'm having him keep watch outside.\Do you understand everything so far? response:	The individual words, sure.
context: Basically, a Servant is always with you in spirit form.\And should the need arise, you can materialize them and make them fight.\So you can transform them at will between spirit and physical form.\That's how that guy in red...\That's Archer.\For the time being, I'm having him keep watch outside.\Do you understand everything so far?\The individual words, sure. response:	For a more detailed explanation, you should talk to the man who oversees the Grail War.
context: And should the need arise, you can materialize them and make them fight.\So you can transform them at will between spirit and physical form.\That's how that guy in red...\That's Archer.\For the time being, I'm having him keep watch outside.\Do you understand everything so far?\The individual words, sure.\For a more detailed explanation, you should talk to the man who oversees the Grail War. response:	All I can tell you
context: So you can transform them at will between spirit and physical form.\That's how that guy in red...\That's Archer.\For the time being, I'm having him keep watch outside.\Do you understand everything so far?\The individual words, sure.\For a more detailed explanation, you should talk to the man who oversees the Grail War.\All I can tell you response:	is that you have no choice but to fight,
context: That's how that guy in red...\That's Archer.\For the time being, I'm having him keep watch outside.\Do you understand everything so far?\The individual words, sure.\For a more detailed explanation, you should talk to the man who oversees the Grail War.\All I can tell you\is that you have no choice but to fight, response:	and that Servants are powerful familiars, so you should use yours well.
context: That's Archer.\For the time being, I'm having him keep watch outside.\Do you understand everything so far?\The individual words, sure.\For a more detailed explanation, you should talk to the man who oversees the Grail War.\All I can tell you\is that you have no choice but to fight,\and that Servants are powerful familiars, so you should use yours well. response:	Now, then...
context: For the time being, I'm having him keep watch outside.\Do you understand everything so far?\The individual words, sure.\For a more detailed explanation, you should talk to the man who oversees the Grail War.\All I can tell you\is that you have no choice but to fight,\and that Servants are powerful familiars, so you should use yours well.\Now, then... response:	From what Emiya-kun has said,
context: Do you understand everything so far?\The individual words, sure.\For a more detailed explanation, you should talk to the man who oversees the Grail War.\All I can tell you\is that you have no choice but to fight,\and that Servants are powerful familiars, so you should use yours well.\Now, then...\From what Emiya-kun has said, response:	I gather that you're in an incomplete state, Saber?
context: The individual words, sure.\For a more detailed explanation, you should talk to the man who oversees the Grail War.\All I can tell you\is that you have no choice but to fight,\and that Servants are powerful familiars, so you should use yours well.\Now, then...\From what Emiya-kun has said,\I gather that you're in an incomplete state, Saber? response:	Yes.
context: For a more detailed explanation, you should talk to the man who oversees the Grail War.\All I can tell you\is that you have no choice but to fight,\and that Servants are powerful familiars, so you should use yours well.\Now, then...\From what Emiya-kun has said,\I gather that you're in an incomplete state, Saber?\Yes. response:	As you say, I am not at full fighting strength.
context: All I can tell you\is that you have no choice but to fight,\and that Servants are powerful familiars, so you should use yours well.\Now, then...\From what Emiya-kun has said,\I gather that you're in an incomplete state, Saber?\Yes.\As you say, I am not at full fighting strength. response:	Shirou is not a fully trained Master,
context: is that you have no choice but to fight,\and that Servants are powerful familiars, so you should use yours well.\Now, then...\From what Emiya-kun has said,\I gather that you're in an incomplete state, Saber?\Yes.\As you say, I am not at full fighting strength.\Shirou is not a fully trained Master, response:	so even replenishing my mana will likely be difficult for him.
context: and that Servants are powerful familiars, so you should use yours well.\Now, then...\From what Emiya-kun has said,\I gather that you're in an incomplete state, Saber?\Yes.\As you say, I am not at full fighting strength.\Shirou is not a fully trained Master,\so even replenishing my mana will likely be difficult for him. response:	That's surprising.
context: Now, then...\From what Emiya-kun has said,\I gather that you're in an incomplete state, Saber?\Yes.\As you say, I am not at full fighting strength.\Shirou is not a fully trained Master,\so even replenishing my mana will likely be difficult for him.\That's surprising. response:	Hey, what's she talking about, Tohsaka?
context: From what Emiya-kun has said,\I gather that you're in an incomplete state, Saber?\Yes.\As you say, I am not at full fighting strength.\Shirou is not a fully trained Master,\so even replenishing my mana will likely be difficult for him.\That's surprising.\Hey, what's she talking about, Tohsaka? response:	Servants maintain their existence here with mana supplied by their Masters.
context: I gather that you're in an incomplete state, Saber?\Yes.\As you say, I am not at full fighting strength.\Shirou is not a fully trained Master,\so even replenishing my mana will likely be difficult for him.\That's surprising.\Hey, what's she talking about, Tohsaka?\Servants maintain their existence here with mana supplied by their Masters. response:	But because you're a novice, she can't get mana from you,
context: Yes.\As you say, I am not at full fighting strength.\Shirou is not a fully trained Master,\so even replenishing my mana will likely be difficult for him.\That's surprising.\Hey, what's she talking about, Tohsaka?\Servants maintain their existence here with mana supplied by their Masters.\But because you're a novice, she can't get mana from you, response:	so before long, it'll become a problem.
context: As you say, I am not at full fighting strength.\Shirou is not a fully trained Master,\so even replenishing my mana will likely be difficult for him.\That's surprising.\Hey, what's she talking about, Tohsaka?\Servants maintain their existence here with mana supplied by their Masters.\But because you're a novice, she can't get mana from you,\so before long, it'll become a problem. response:	Would you like some, Emiya-kun?
context: Shirou is not a fully trained Master,\so even replenishing my mana will likely be difficult for him.\That's surprising.\Hey, what's she talking about, Tohsaka?\Servants maintain their existence here with mana supplied by their Masters.\But because you're a novice, she can't get mana from you,\so before long, it'll become a problem.\Would you like some, Emiya-kun? response:	I'm good.
context: so even replenishing my mana will likely be difficult for him.\That's surprising.\Hey, what's she talking about, Tohsaka?\Servants maintain their existence here with mana supplied by their Masters.\But because you're a novice, she can't get mana from you,\so before long, it'll become a problem.\Would you like some, Emiya-kun?\I'm good. response:	I have to admit, I didn't expect you to be so forthcoming with me.
context: That's surprising.\Hey, what's she talking about, Tohsaka?\Servants maintain their existence here with mana supplied by their Masters.\But because you're a novice, she can't get mana from you,\so before long, it'll become a problem.\Would you like some, Emiya-kun?\I'm good.\I have to admit, I didn't expect you to be so forthcoming with me. response:	You'd already realized something was wrong, so there was no point in concealing it.
context: Hey, what's she talking about, Tohsaka?\Servants maintain their existence here with mana supplied by their Masters.\But because you're a novice, she can't get mana from you,\so before long, it'll become a problem.\Would you like some, Emiya-kun?\I'm good.\I have to admit, I didn't expect you to be so forthcoming with me.\You'd already realized something was wrong, so there was no point in concealing it. response:	Given that,
context: Servants maintain their existence here with mana supplied by their Masters.\But because you're a novice, she can't get mana from you,\so before long, it'll become a problem.\Would you like some, Emiya-kun?\I'm good.\I have to admit, I didn't expect you to be so forthcoming with me.\You'd already realized something was wrong, so there was no point in concealing it.\Given that, response:	the best course was to enlighten Shirou as to his situation,
context: But because you're a novice, she can't get mana from you,\so before long, it'll become a problem.\Would you like some, Emiya-kun?\I'm good.\I have to admit, I didn't expect you to be so forthcoming with me.\You'd already realized something was wrong, so there was no point in concealing it.\Given that,\the best course was to enlighten Shirou as to his situation, response:	by revealing the truth to an enemy.
context: so before long, it'll become a problem.\Would you like some, Emiya-kun?\I'm good.\I have to admit, I didn't expect you to be so forthcoming with me.\You'd already realized something was wrong, so there was no point in concealing it.\Given that,\the best course was to enlighten Shirou as to his situation,\by revealing the truth to an enemy. response:	You're a woman of outstanding character, too...
context: Would you like some, Emiya-kun?\I'm good.\I have to admit, I didn't expect you to be so forthcoming with me.\You'd already realized something was wrong, so there was no point in concealing it.\Given that,\the best course was to enlighten Shirou as to his situation,\by revealing the truth to an enemy.\You're a woman of outstanding character, too... response:	Damn it, what a waste!
context: I'm good.\I have to admit, I didn't expect you to be so forthcoming with me.\You'd already realized something was wrong, so there was no point in concealing it.\Given that,\the best course was to enlighten Shirou as to his situation,\by revealing the truth to an enemy.\You're a woman of outstanding character, too...\Damn it, what a waste! response:	If I were Saber's Master, this war would be as good as won!
context: I have to admit, I didn't expect you to be so forthcoming with me.\You'd already realized something was wrong, so there was no point in concealing it.\Given that,\the best course was to enlighten Shirou as to his situation,\by revealing the truth to an enemy.\You're a woman of outstanding character, too...\Damn it, what a waste!\If I were Saber's Master, this war would be as good as won! response:	Hey, are you saying I'm not worthy of her?
context: You'd already realized something was wrong, so there was no point in concealing it.\Given that,\the best course was to enlighten Shirou as to his situation,\by revealing the truth to an enemy.\You're a woman of outstanding character, too...\Damn it, what a waste!\If I were Saber's Master, this war would be as good as won!\Hey, are you saying I'm not worthy of her? response:	Of course I am, you hack!
context: Given that,\the best course was to enlighten Shirou as to his situation,\by revealing the truth to an enemy.\You're a woman of outstanding character, too...\Damn it, what a waste!\If I were Saber's Master, this war would be as good as won!\Hey, are you saying I'm not worthy of her?\Of course I am, you hack! response:	Okay, shall we go?
context: the best course was to enlighten Shirou as to his situation,\by revealing the truth to an enemy.\You're a woman of outstanding character, too...\Damn it, what a waste!\If I were Saber's Master, this war would be as good as won!\Hey, are you saying I'm not worthy of her?\Of course I am, you hack!\Okay, shall we go? response:	Go? Where?
context: by revealing the truth to an enemy.\You're a woman of outstanding character, too...\Damn it, what a waste!\If I were Saber's Master, this war would be as good as won!\Hey, are you saying I'm not worthy of her?\Of course I am, you hack!\Okay, shall we go?\Go? Where? response:	To see the man who knows all about the Holy Grail War.
context: You're a woman of outstanding character, too...\Damn it, what a waste!\If I were Saber's Master, this war would be as good as won!\Hey, are you saying I'm not worthy of her?\Of course I am, you hack!\Okay, shall we go?\Go? Where?\To see the man who knows all about the Holy Grail War. response:	You want to know the reason behind it, don't you?
context: Damn it, what a waste!\If I were Saber's Master, this war would be as good as won!\Hey, are you saying I'm not worthy of her?\Of course I am, you hack!\Okay, shall we go?\Go? Where?\To see the man who knows all about the Holy Grail War.\You want to know the reason behind it, don't you? response:	Of course I do.
context: If I were Saber's Master, this war would be as good as won!\Hey, are you saying I'm not worthy of her?\Of course I am, you hack!\Okay, shall we go?\Go? Where?\To see the man who knows all about the Holy Grail War.\You want to know the reason behind it, don't you?\Of course I do. response:	But it's really late.
context: Hey, are you saying I'm not worthy of her?\Of course I am, you hack!\Okay, shall we go?\Go? Where?\To see the man who knows all about the Holy Grail War.\You want to know the reason behind it, don't you?\Of course I do.\But it's really late. response:	What? You won't go?
context: Of course I am, you hack!\Okay, shall we go?\Go? Where?\To see the man who knows all about the Holy Grail War.\You want to know the reason behind it, don't you?\Of course I do.\But it's really late.\What? You won't go? response:	If you say so, it's your call. What about you, Saber?
context: Okay, shall we go?\Go? Where?\To see the man who knows all about the Holy Grail War.\You want to know the reason behind it, don't you?\Of course I do.\But it's really late.\What? You won't go?\If you say so, it's your call. What about you, Saber? response:	Leave Saber out of this!
context: Go? Where?\To see the man who knows all about the Holy Grail War.\You want to know the reason behind it, don't you?\Of course I do.\But it's really late.\What? You won't go?\If you say so, it's your call. What about you, Saber?\Leave Saber out of this! response:	Don't try to strong-arm her.
context: To see the man who knows all about the Holy Grail War.\You want to know the reason behind it, don't you?\Of course I do.\But it's really late.\What? You won't go?\If you say so, it's your call. What about you, Saber?\Leave Saber out of this!\Don't try to strong-arm her. response:	Oh, so you do think like a Master...
context: You want to know the reason behind it, don't you?\Of course I do.\But it's really late.\What? You won't go?\If you say so, it's your call. What about you, Saber?\Leave Saber out of this!\Don't try to strong-arm her.\Oh, so you do think like a Master... response:	You don't want me talking to Saber?
context: Of course I do.\But it's really late.\What? You won't go?\If you say so, it's your call. What about you, Saber?\Leave Saber out of this!\Don't try to strong-arm her.\Oh, so you do think like a Master...\You don't want me talking to Saber? response:	Why would I care?
context: But it's really late.\What? You won't go?\If you say so, it's your call. What about you, Saber?\Leave Saber out of this!\Don't try to strong-arm her.\Oh, so you do think like a Master...\You don't want me talking to Saber?\Why would I care? response:	Crap, I'm starting to feel that something is wrong with her.
context: What? You won't go?\If you say so, it's your call. What about you, Saber?\Leave Saber out of this!\Don't try to strong-arm her.\Oh, so you do think like a Master...\You don't want me talking to Saber?\Why would I care?\Crap, I'm starting to feel that something is wrong with her. response:	Anyway, Saber's a hero from the past, right?
context: If you say so, it's your call. What about you, Saber?\Leave Saber out of this!\Don't try to strong-arm her.\Oh, so you do think like a Master...\You don't want me talking to Saber?\Why would I care?\Crap, I'm starting to feel that something is wrong with her.\Anyway, Saber's a hero from the past, right? response:	So she won't be able to make sense of the modern world.
context: Leave Saber out of this!\Don't try to strong-arm her.\Oh, so you do think like a Master...\You don't want me talking to Saber?\Why would I care?\Crap, I'm starting to feel that something is wrong with her.\Anyway, Saber's a hero from the past, right?\So she won't be able to make sense of the modern world. response:	That isn't true, Shirou.
