context: Listen to me, Kousei, response:	I want you to study the sheet music over and over,
context: just as the composer intended,\perfectly and precisely.\You're off again! How many times do I have to tell you?\You're not going to bed until you can play that passage!\Take a good look at it! It's all there in the sheet music!\Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.\I bet there's sheet music plastered onto those glasses!\Plus they'll hide the bruises from when she hits him. response:	He practices seven or eight hours a day, right? Everyday!
context: perfectly and precisely.\You're off again! How many times do I have to tell you?\You're not going to bed until you can play that passage!\Take a good look at it! It's all there in the sheet music!\Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.\I bet there's sheet music plastered onto those glasses!\Plus they'll hide the bruises from when she hits him.\He practices seven or eight hours a day, right? Everyday! response:	When does he get to play?
context: You're off again! How many times do I have to tell you?\You're not going to bed until you can play that passage!\Take a good look at it! It's all there in the sheet music!\Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.\I bet there's sheet music plastered onto those glasses!\Plus they'll hide the bruises from when she hits him.\He practices seven or eight hours a day, right? Everyday!\When does he get to play? response:	Most people couldn't stand a life like that.
context: You're not going to bed until you can play that passage!\Take a good look at it! It's all there in the sheet music!\Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.\I bet there's sheet music plastered onto those glasses!\Plus they'll hide the bruises from when she hits him.\He practices seven or eight hours a day, right? Everyday!\When does he get to play?\Most people couldn't stand a life like that. response:	He really is just like a machine.
context: Take a good look at it! It's all there in the sheet music!\Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.\I bet there's sheet music plastered onto those glasses!\Plus they'll hide the bruises from when she hits him.\He practices seven or eight hours a day, right? Everyday!\When does he get to play?\Most people couldn't stand a life like that.\He really is just like a machine. response:	None of them know what they're talking about.
context: Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.\I bet there's sheet music plastered onto those glasses!\Plus they'll hide the bruises from when she hits him.\He practices seven or eight hours a day, right? Everyday!\When does he get to play?\Most people couldn't stand a life like that.\He really is just like a machine.\None of them know what they're talking about. response:	I'm the only one who's on Mom's side.
context: I bet there's sheet music plastered onto those glasses!\Plus they'll hide the bruises from when she hits him.\He practices seven or eight hours a day, right? Everyday!\When does he get to play?\Most people couldn't stand a life like that.\He really is just like a machine.\None of them know what they're talking about.\I'm the only one who's on Mom's side. response:	Go!
context: Plus they'll hide the bruises from when she hits him.\He practices seven or eight hours a day, right? Everyday!\When does he get to play?\Most people couldn't stand a life like that.\He really is just like a machine.\None of them know what they're talking about.\I'm the only one who's on Mom's side.\Go! response:	But will you be okay? What about practice? Have you rehearsed together?
context: He practices seven or eight hours a day, right? Everyday!\When does he get to play?\Most people couldn't stand a life like that.\He really is just like a machine.\None of them know what they're talking about.\I'm the only one who's on Mom's side.\Go!\But will you be okay? What about practice? Have you rehearsed together? response:	No worries! We'll figure it out! Because we rule!
context: When does he get to play?\Most people couldn't stand a life like that.\He really is just like a machine.\None of them know what they're talking about.\I'm the only one who's on Mom's side.\Go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule! response:	Don't underestimate us jocks! I can make you time to rehearse!
context: Most people couldn't stand a life like that.\He really is just like a machine.\None of them know what they're talking about.\I'm the only one who's on Mom's side.\Go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse! response:	Wait, shouldn't you guys be in school? And whose bike is this?
context: He really is just like a machine.\None of them know what they're talking about.\I'm the only one who's on Mom's side.\Go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this? response:	Hey, don't sweat the small stuff!
context: None of them know what they're talking about.\I'm the only one who's on Mom's side.\Go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff! response:	Just barely, but...
context: I'm the only one who's on Mom's side.\Go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\Just barely, but... response:	Safe!
context: Go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\Just barely, but...\Safe! response:	Kousei!
context: But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\Just barely, but...\Safe!\Kousei! response:	*Twitch*
context: No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\Just barely, but...\Safe!\Kousei!\*Twitch* response:	We're here!
context: Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\Just barely, but...\Safe!\Kousei!\*Twitch*\We're here! response:	We made it!
context: Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\Just barely, but...\Safe!\Kousei!\*Twitch*\We're here!\We made it! response:	Let's do this!
context: Hey, don't sweat the small stuff!\Just barely, but...\Safe!\Kousei!\*Twitch*\We're here!\We made it!\Let's do this! response:	*Grab*
context: Just barely, but...\Safe!\Kousei!\*Twitch*\We're here!\We made it!\Let's do this!\*Grab* response:	*Drag*
context: Safe!\Kousei!\*Twitch*\We're here!\We made it!\Let's do this!\*Grab*\*Drag* response:	Thank you both! We'll be going, then!
context: Kousei!\*Twitch*\We're here!\We made it!\Let's do this!\*Grab*\*Drag*\Thank you both! We'll be going, then! response:	Kousei, your shoes! Sneakers aren't gonna cut it!
context: *Twitch*\We're here!\We made it!\Let's do this!\*Grab*\*Drag*\Thank you both! We'll be going, then!\Kousei, your shoes! Sneakers aren't gonna cut it! response:	Put mine on!
context: We're here!\We made it!\Let's do this!\*Grab*\*Drag*\Thank you both! We'll be going, then!\Kousei, your shoes! Sneakers aren't gonna cut it!\Put mine on! response:	Hurry! Hurry!
context: We made it!\Let's do this!\*Grab*\*Drag*\Thank you both! We'll be going, then!\Kousei, your shoes! Sneakers aren't gonna cut it!\Put mine on!\Hurry! Hurry! response:	Better than sneakers, at least!
context: Let's do this!\*Grab*\*Drag*\Thank you both! We'll be going, then!\Kousei, your shoes! Sneakers aren't gonna cut it!\Put mine on!\Hurry! Hurry!\Better than sneakers, at least! response:	Tsubaki... Watari...
context: *Grab*\*Drag*\Thank you both! We'll be going, then!\Kousei, your shoes! Sneakers aren't gonna cut it!\Put mine on!\Hurry! Hurry!\Better than sneakers, at least!\Tsubaki... Watari... response:	Thanks. I'll be going now.
context: *Drag*\Thank you both! We'll be going, then!\Kousei, your shoes! Sneakers aren't gonna cut it!\Put mine on!\Hurry! Hurry!\Better than sneakers, at least!\Tsubaki... Watari...\Thanks. I'll be going now. response:	Get out of here, moron!
context: Thank you both! We'll be going, then!\Kousei, your shoes! Sneakers aren't gonna cut it!\Put mine on!\Hurry! Hurry!\Better than sneakers, at least!\Tsubaki... Watari...\Thanks. I'll be going now.\Get out of here, moron! response:	Come on! We're cutting it close. Run!
context: Kousei, your shoes! Sneakers aren't gonna cut it!\Put mine on!\Hurry! Hurry!\Better than sneakers, at least!\Tsubaki... Watari...\Thanks. I'll be going now.\Get out of here, moron!\Come on! We're cutting it close. Run! response:	Slow down a little...
context: Put mine on!\Hurry! Hurry!\Better than sneakers, at least!\Tsubaki... Watari...\Thanks. I'll be going now.\Get out of here, moron!\Come on! We're cutting it close. Run!\Slow down a little... response:	Move!
context: Hurry! Hurry!\Better than sneakers, at least!\Tsubaki... Watari...\Thanks. I'll be going now.\Get out of here, moron!\Come on! We're cutting it close. Run!\Slow down a little...\Move! response:	You think Kousei can pull this off?
context: Better than sneakers, at least!\Tsubaki... Watari...\Thanks. I'll be going now.\Get out of here, moron!\Come on! We're cutting it close. Run!\Slow down a little...\Move!\You think Kousei can pull this off? response:	Spring will be here soon.
context: Tsubaki... Watari...\Thanks. I'll be going now.\Get out of here, moron!\Come on! We're cutting it close. Run!\Slow down a little...\Move!\You think Kousei can pull this off?\Spring will be here soon. response:	Huh? It's almost May, when the cherry blossoms scatter.
context: Thanks. I'll be going now.\Get out of here, moron!\Come on! We're cutting it close. Run!\Slow down a little...\Move!\You think Kousei can pull this off?\Spring will be here soon.\Huh? It's almost May, when the cherry blossoms scatter. response:	Yeah. But... I just know...
context: Get out of here, moron!\Come on! We're cutting it close. Run!\Slow down a little...\Move!\You think Kousei can pull this off?\Spring will be here soon.\Huh? It's almost May, when the cherry blossoms scatter.\Yeah. But... I just know... response:	Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison
context: Come on! We're cutting it close. Run!\Slow down a little...\Move!\You think Kousei can pull this off?\Spring will be here soon.\Huh? It's almost May, when the cherry blossoms scatter.\Yeah. But... I just know...\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison response:	Next, No. 12, Nashida. Please get ready.
context: Slow down a little...\Move!\You think Kousei can pull this off?\Spring will be here soon.\Huh? It's almost May, when the cherry blossoms scatter.\Yeah. But... I just know...\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison\Next, No. 12, Nashida. Please get ready. response:	All right! Your goal is to go out on top!
context: Move!\You think Kousei can pull this off?\Spring will be here soon.\Huh? It's almost May, when the cherry blossoms scatter.\Yeah. But... I just know...\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison\Next, No. 12, Nashida. Please get ready.\All right! Your goal is to go out on top! response:	Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!
context: You think Kousei can pull this off?\Spring will be here soon.\Huh? It's almost May, when the cherry blossoms scatter.\Yeah. But... I just know...\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison\Next, No. 12, Nashida. Please get ready.\All right! Your goal is to go out on top!\Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best! response:	Oh, man, that's putting the pressure on...
context: Spring will be here soon.\Huh? It's almost May, when the cherry blossoms scatter.\Yeah. But... I just know...\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison\Next, No. 12, Nashida. Please get ready.\All right! Your goal is to go out on top!\Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!\Oh, man, that's putting the pressure on... response:	This is beyond crazy. I should have spent a lot of time practicing this,
context: Huh? It's almost May, when the cherry blossoms scatter.\Yeah. But... I just know...\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison\Next, No. 12, Nashida. Please get ready.\All right! Your goal is to go out on top!\Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!\Oh, man, that's putting the pressure on...\This is beyond crazy. I should have spent a lot of time practicing this, response:	memorizing it with my whole body,
context: Yeah. But... I just know...\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison\Next, No. 12, Nashida. Please get ready.\All right! Your goal is to go out on top!\Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!\Oh, man, that's putting the pressure on...\This is beyond crazy. I should have spent a lot of time practicing this,\memorizing it with my whole body, response:	fine-tuning it to the point where I don't need the sheet music anymore...
context: Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Divison\Next, No. 12, Nashida. Please get ready.\All right! Your goal is to go out on top!\Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!\Oh, man, that's putting the pressure on...\This is beyond crazy. I should have spent a lot of time practicing this,\memorizing it with my whole body,\fine-tuning it to the point where I don't need the sheet music anymore... response:	But I'll practically be sight-reading when I coordinate the piece with her.
context: Next, No. 12, Nashida. Please get ready.\All right! Your goal is to go out on top!\Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!\Oh, man, that's putting the pressure on...\This is beyond crazy. I should have spent a lot of time practicing this,\memorizing it with my whole body,\fine-tuning it to the point where I don't need the sheet music anymore...\But I'll practically be sight-reading when I coordinate the piece with her. response:	And on top of that, such a...
context: All right! Your goal is to go out on top!\Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!\Oh, man, that's putting the pressure on...\This is beyond crazy. I should have spent a lot of time practicing this,\memorizing it with my whole body,\fine-tuning it to the point where I don't need the sheet music anymore...\But I'll practically be sight-reading when I coordinate the piece with her.\And on top of that, such a... response:	Such an insanely out-of-control violinist!
context: Y-Yes, ma'am! I'm gonna try to go out on top... I-I'll do my best!\Oh, man, that's putting the pressure on...\This is beyond crazy. I should have spent a lot of time practicing this,\memorizing it with my whole body,\fine-tuning it to the point where I don't need the sheet music anymore...\But I'll practically be sight-reading when I coordinate the piece with her.\And on top of that, such a...\Such an insanely out-of-control violinist! response:	All set!
context: Oh, man, that's putting the pressure on...\This is beyond crazy. I should have spent a lot of time practicing this,\memorizing it with my whole body,\fine-tuning it to the point where I don't need the sheet music anymore...\But I'll practically be sight-reading when I coordinate the piece with her.\And on top of that, such a...\Such an insanely out-of-control violinist!\All set! response:	What tempo should we use? Take-no-prisoners, maybe?
context: This is beyond crazy. I should have spent a lot of time practicing this,\memorizing it with my whole body,\fine-tuning it to the point where I don't need the sheet music anymore...\But I'll practically be sight-reading when I coordinate the piece with her.\And on top of that, such a...\Such an insanely out-of-control violinist!\All set!\What tempo should we use? Take-no-prisoners, maybe? response:	This is crazy, it's reckless!
context: memorizing it with my whole body,\fine-tuning it to the point where I don't need the sheet music anymore...\But I'll practically be sight-reading when I coordinate the piece with her.\And on top of that, such a...\Such an insanely out-of-control violinist!\All set!\What tempo should we use? Take-no-prisoners, maybe?\This is crazy, it's reckless! response:	No way can I turn in a decent performance like this.
context: fine-tuning it to the point where I don't need the sheet music anymore...\But I'll practically be sight-reading when I coordinate the piece with her.\And on top of that, such a...\Such an insanely out-of-control violinist!\All set!\What tempo should we use? Take-no-prisoners, maybe?\This is crazy, it's reckless!\No way can I turn in a decent performance like this. response:	Do I look good in this dress?
context: But I'll practically be sight-reading when I coordinate the piece with her.\And on top of that, such a...\Such an insanely out-of-control violinist!\All set!\What tempo should we use? Take-no-prisoners, maybe?\This is crazy, it's reckless!\No way can I turn in a decent performance like this.\Do I look good in this dress? response:	It's brand-new.
context: And on top of that, such a...\Such an insanely out-of-control violinist!\All set!\What tempo should we use? Take-no-prisoners, maybe?\This is crazy, it's reckless!\No way can I turn in a decent performance like this.\Do I look good in this dress?\It's brand-new. response:	If I just man up and back out of this, it won't sting as much.
context: Such an insanely out-of-control violinist!\All set!\What tempo should we use? Take-no-prisoners, maybe?\This is crazy, it's reckless!\No way can I turn in a decent performance like this.\Do I look good in this dress?\It's brand-new.\If I just man up and back out of this, it won't sting as much. response:	We're only gonna humiliate ourselves, going out like this.
context: All set!\What tempo should we use? Take-no-prisoners, maybe?\This is crazy, it's reckless!\No way can I turn in a decent performance like this.\Do I look good in this dress?\It's brand-new.\If I just man up and back out of this, it won't sting as much.\We're only gonna humiliate ourselves, going out like this. response:	Ignoring me?
context: What tempo should we use? Take-no-prisoners, maybe?\This is crazy, it's reckless!\No way can I turn in a decent performance like this.\Do I look good in this dress?\It's brand-new.\If I just man up and back out of this, it won't sting as much.\We're only gonna humiliate ourselves, going out like this.\Ignoring me? response:	Whaaat?
context: This is crazy, it's reckless!\No way can I turn in a decent performance like this.\Do I look good in this dress?\It's brand-new.\If I just man up and back out of this, it won't sting as much.\We're only gonna humiliate ourselves, going out like this.\Ignoring me?\Whaaat? response:	So tell me, did that calm you down?
context: No way can I turn in a decent performance like this.\Do I look good in this dress?\It's brand-new.\If I just man up and back out of this, it won't sting as much.\We're only gonna humiliate ourselves, going out like this.\Ignoring me?\Whaaat?\So tell me, did that calm you down? response:	What's the big idea, all of a sudden?
context: Do I look good in this dress?\It's brand-new.\If I just man up and back out of this, it won't sting as much.\We're only gonna humiliate ourselves, going out like this.\Ignoring me?\Whaaat?\So tell me, did that calm you down?\What's the big idea, all of a sudden? response:	Look at me.
context: It's brand-new.\If I just man up and back out of this, it won't sting as much.\We're only gonna humiliate ourselves, going out like this.\Ignoring me?\Whaaat?\So tell me, did that calm you down?\What's the big idea, all of a sudden?\Look at me. response:	Look up, and look at me.
context: If I just man up and back out of this, it won't sting as much.\We're only gonna humiliate ourselves, going out like this.\Ignoring me?\Whaaat?\So tell me, did that calm you down?\What's the big idea, all of a sudden?\Look at me.\Look up, and look at me. response:	You're always looking down.
context: We're only gonna humiliate ourselves, going out like this.\Ignoring me?\Whaaat?\So tell me, did that calm you down?\What's the big idea, all of a sudden?\Look at me.\Look up, and look at me.\You're always looking down. response:	That's why you're imprisoned inside that cage of music scores.
context: Ignoring me?\Whaaat?\So tell me, did that calm you down?\What's the big idea, all of a sudden?\Look at me.\Look up, and look at me.\You're always looking down.\That's why you're imprisoned inside that cage of music scores. response:	Don't worry, I know you can do it.
context: Whaaat?\So tell me, did that calm you down?\What's the big idea, all of a sudden?\Look at me.\Look up, and look at me.\You're always looking down.\That's why you're imprisoned inside that cage of music scores.\Don't worry, I know you can do it. response:	You were listening to it all during lunch break, right?
context: So tell me, did that calm you down?\What's the big idea, all of a sudden?\Look at me.\Look up, and look at me.\You're always looking down.\That's why you're imprisoned inside that cage of music scores.\Don't worry, I know you can do it.\You were listening to it all during lunch break, right? response:	The sheet music was always somewhere in view, right?
context: What's the big idea, all of a sudden?\Look at me.\Look up, and look at me.\You're always looking down.\That's why you're imprisoned inside that cage of music scores.\Don't worry, I know you can do it.\You were listening to it all during lunch break, right?\The sheet music was always somewhere in view, right? response:	Mozart's telling us from up in the sky... Go on a journey, he's saying.
context: Look at me.\Look up, and look at me.\You're always looking down.\That's why you're imprisoned inside that cage of music scores.\Don't worry, I know you can do it.\You were listening to it all during lunch break, right?\The sheet music was always somewhere in view, right?\Mozart's telling us from up in the sky... Go on a journey, he's saying. response:	A man away from home need feel no shame.
context: Look up, and look at me.\You're always looking down.\That's why you're imprisoned inside that cage of music scores.\Don't worry, I know you can do it.\You were listening to it all during lunch break, right?\The sheet music was always somewhere in view, right?\Mozart's telling us from up in the sky... Go on a journey, he's saying.\A man away from home need feel no shame. response:	Let's go out there and shame ourselves like crazy!
context: You're always looking down.\That's why you're imprisoned inside that cage of music scores.\Don't worry, I know you can do it.\You were listening to it all during lunch break, right?\The sheet music was always somewhere in view, right?\Mozart's telling us from up in the sky... Go on a journey, he's saying.\A man away from home need feel no shame.\Let's go out there and shame ourselves like crazy! response:	Together...
context: That's why you're imprisoned inside that cage of music scores.\Don't worry, I know you can do it.\You were listening to it all during lunch break, right?\The sheet music was always somewhere in view, right?\Mozart's telling us from up in the sky... Go on a journey, he's saying.\A man away from home need feel no shame.\Let's go out there and shame ourselves like crazy!\Together... response:	No. 14, Ms. Kaori Miyazono,
context: Don't worry, I know you can do it.\You were listening to it all during lunch break, right?\The sheet music was always somewhere in view, right?\Mozart's telling us from up in the sky... Go on a journey, he's saying.\A man away from home need feel no shame.\Let's go out there and shame ourselves like crazy!\Together...\No. 14, Ms. Kaori Miyazono, response:	please get ready to go on.
context: You were listening to it all during lunch break, right?\The sheet music was always somewhere in view, right?\Mozart's telling us from up in the sky... Go on a journey, he's saying.\A man away from home need feel no shame.\Let's go out there and shame ourselves like crazy!\Together...\No. 14, Ms. Kaori Miyazono,\please get ready to go on. response:	Let's go!
context: The sheet music was always somewhere in view, right?\Mozart's telling us from up in the sky... Go on a journey, he's saying.\A man away from home need feel no shame.\Let's go out there and shame ourselves like crazy!\Together...\No. 14, Ms. Kaori Miyazono,\please get ready to go on.\Let's go! response:	Are you listening, Kousei?
context: Mozart's telling us from up in the sky... Go on a journey, he's saying.\A man away from home need feel no shame.\Let's go out there and shame ourselves like crazy!\Together...\No. 14, Ms. Kaori Miyazono,\please get ready to go on.\Let's go!\Are you listening, Kousei? response:	Just what the score calls for... It's all there in the sheet music.
context: A man away from home need feel no shame.\Let's go out there and shame ourselves like crazy!\Together...\No. 14, Ms. Kaori Miyazono,\please get ready to go on.\Let's go!\Are you listening, Kousei?\Just what the score calls for... It's all there in the sheet music. response:	NaIve... Bizarre...
context: Let's go out there and shame ourselves like crazy!\Together...\No. 14, Ms. Kaori Miyazono,\please get ready to go on.\Let's go!\Are you listening, Kousei?\Just what the score calls for... It's all there in the sheet music.\NaIve... Bizarre... response:	It's like I'm on a rollercoaster. I'm being jerked around and around.
context: Together...\No. 14, Ms. Kaori Miyazono,\please get ready to go on.\Let's go!\Are you listening, Kousei?\Just what the score calls for... It's all there in the sheet music.\NaIve... Bizarre...\It's like I'm on a rollercoaster. I'm being jerked around and around. response:	It's like this girl herself is the journey with no clear destination.
context: No. 14, Ms. Kaori Miyazono,\please get ready to go on.\Let's go!\Are you listening, Kousei?\Just what the score calls for... It's all there in the sheet music.\NaIve... Bizarre...\It's like I'm on a rollercoaster. I'm being jerked around and around.\It's like this girl herself is the journey with no clear destination. response:	You're freedom itself.
context: please get ready to go on.\Let's go!\Are you listening, Kousei?\Just what the score calls for... It's all there in the sheet music.\NaIve... Bizarre...\It's like I'm on a rollercoaster. I'm being jerked around and around.\It's like this girl herself is the journey with no clear destination.\You're freedom itself. response:	No, I'm not.
context: Let's go!\Are you listening, Kousei?\Just what the score calls for... It's all there in the sheet music.\NaIve... Bizarre...\It's like I'm on a rollercoaster. I'm being jerked around and around.\It's like this girl herself is the journey with no clear destination.\You're freedom itself.\No, I'm not. response:	Music is freedom.
context: Are you listening, Kousei?\Just what the score calls for... It's all there in the sheet music.\NaIve... Bizarre...\It's like I'm on a rollercoaster. I'm being jerked around and around.\It's like this girl herself is the journey with no clear destination.\You're freedom itself.\No, I'm not.\Music is freedom. response:	This silence belongs to us. Every single person here...
context: Just what the score calls for... It's all there in the sheet music.\NaIve... Bizarre...\It's like I'm on a rollercoaster. I'm being jerked around and around.\It's like this girl herself is the journey with no clear destination.\You're freedom itself.\No, I'm not.\Music is freedom.\This silence belongs to us. Every single person here... response:	Come on, let's go on a journey.
context: NaIve... Bizarre...\It's like I'm on a rollercoaster. I'm being jerked around and around.\It's like this girl herself is the journey with no clear destination.\You're freedom itself.\No, I'm not.\Music is freedom.\This silence belongs to us. Every single person here...\Come on, let's go on a journey. response:	Saint-Saens is waiting for us!
context: It's like I'm on a rollercoaster. I'm being jerked around and around.\It's like this girl herself is the journey with no clear destination.\You're freedom itself.\No, I'm not.\Music is freedom.\This silence belongs to us. Every single person here...\Come on, let's go on a journey.\Saint-Saens is waiting for us! response:	Here they are!
context: It's like this girl herself is the journey with no clear destination.\You're freedom itself.\No, I'm not.\Music is freedom.\This silence belongs to us. Every single person here...\Come on, let's go on a journey.\Saint-Saens is waiting for us!\Here they are! response:	My Kaori-chan!
context: You're freedom itself.\No, I'm not.\Music is freedom.\This silence belongs to us. Every single person here...\Come on, let's go on a journey.\Saint-Saens is waiting for us!\Here they are!\My Kaori-chan! response:	Hey, the accompanist is a kid, too.
context: No, I'm not.\Music is freedom.\This silence belongs to us. Every single person here...\Come on, let's go on a journey.\Saint-Saens is waiting for us!\Here they are!\My Kaori-chan!\Hey, the accompanist is a kid, too. response:	Huh?
context: Music is freedom.\This silence belongs to us. Every single person here...\Come on, let's go on a journey.\Saint-Saens is waiting for us!\Here they are!\My Kaori-chan!\Hey, the accompanist is a kid, too.\Huh? response:	Wait, could that be...
context: This silence belongs to us. Every single person here...\Come on, let's go on a journey.\Saint-Saens is waiting for us!\Here they are!\My Kaori-chan!\Hey, the accompanist is a kid, too.\Huh?\Wait, could that be... response:	I've been waiting for you, Kaori Miyazono... Hmm?
context: Come on, let's go on a journey.\Saint-Saens is waiting for us!\Here they are!\My Kaori-chan!\Hey, the accompanist is a kid, too.\Huh?\Wait, could that be...\I've been waiting for you, Kaori Miyazono... Hmm? response:	She's got a different accompanist. A kid, at that.
context: Saint-Saens is waiting for us!\Here they are!\My Kaori-chan!\Hey, the accompanist is a kid, too.\Huh?\Wait, could that be...\I've been waiting for you, Kaori Miyazono... Hmm?\She's got a different accompanist. A kid, at that. response:	What are you doing?
context: Here they are!\My Kaori-chan!\Hey, the accompanist is a kid, too.\Huh?\Wait, could that be...\I've been waiting for you, Kaori Miyazono... Hmm?\She's got a different accompanist. A kid, at that.\What are you doing? response:	I can't set my chair just right.
context: My Kaori-chan!\Hey, the accompanist is a kid, too.\Huh?\Wait, could that be...\I've been waiting for you, Kaori Miyazono... Hmm?\She's got a different accompanist. A kid, at that.\What are you doing?\I can't set my chair just right. response:	Hurry it up, you slowpoke. Adjust it with both hands!
context: Hey, the accompanist is a kid, too.\Huh?\Wait, could that be...\I've been waiting for you, Kaori Miyazono... Hmm?\She's got a different accompanist. A kid, at that.\What are you doing?\I can't set my chair just right.\Hurry it up, you slowpoke. Adjust it with both hands! response:	He somehow looks familiar...
context: Huh?\Wait, could that be...\I've been waiting for you, Kaori Miyazono... Hmm?\She's got a different accompanist. A kid, at that.\What are you doing?\I can't set my chair just right.\Hurry it up, you slowpoke. Adjust it with both hands!\He somehow looks familiar... response:	It's Arima. The pianist.
