context: Intro response:	Ashiya, you okay?
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish response:	Don't fade away
context: Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away response:	I'm sure you'll be able to meet your future self
context: Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	Get out of your cage
context: Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage response:	Overlord at Work!
context: There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work! response:	Overlord at Work!
context: I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Fly toward the sky
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
