context: Choose some kind of bread and a drink for tomorrow's breakfast. response:	Aye-aye!
context: I don't want your mom fussing over us.\Okay.\Here. There's food in there, so give it to your mom.\It's heavy.\It's really heavy...\Well, let's go, Rin.\Mom! Daikichi gave us food!\Listen when somebody's talking to you! response:	Kouki, you don't have to...
context: Okay.\Here. There's food in there, so give it to your mom.\It's heavy.\It's really heavy...\Well, let's go, Rin.\Mom! Daikichi gave us food!\Listen when somebody's talking to you!\Kouki, you don't have to... response:	Daikichi-san...
context: Here. There's food in there, so give it to your mom.\It's heavy.\It's really heavy...\Well, let's go, Rin.\Mom! Daikichi gave us food!\Listen when somebody's talking to you!\Kouki, you don't have to...\Daikichi-san... response:	I'm sorry you're always having to look after him...
context: It's heavy.\It's really heavy...\Well, let's go, Rin.\Mom! Daikichi gave us food!\Listen when somebody's talking to you!\Kouki, you don't have to...\Daikichi-san...\I'm sorry you're always having to look after him... response:	O-Oh, no, I owe you for taking care of Rin...
context: It's really heavy...\Well, let's go, Rin.\Mom! Daikichi gave us food!\Listen when somebody's talking to you!\Kouki, you don't have to...\Daikichi-san...\I'm sorry you're always having to look after him...\O-Oh, no, I owe you for taking care of Rin... response:	How is Rin-chan?
context: Well, let's go, Rin.\Mom! Daikichi gave us food!\Listen when somebody's talking to you!\Kouki, you don't have to...\Daikichi-san...\I'm sorry you're always having to look after him...\O-Oh, no, I owe you for taking care of Rin...\How is Rin-chan? response:	She's a lot better now.
context: Mom! Daikichi gave us food!\Listen when somebody's talking to you!\Kouki, you don't have to...\Daikichi-san...\I'm sorry you're always having to look after him...\O-Oh, no, I owe you for taking care of Rin...\How is Rin-chan?\She's a lot better now. response:	She went back to school today. Right?
context: Listen when somebody's talking to you!\Kouki, you don't have to...\Daikichi-san...\I'm sorry you're always having to look after him...\O-Oh, no, I owe you for taking care of Rin...\How is Rin-chan?\She's a lot better now.\She went back to school today. Right? response:	Hello...
context: Kouki, you don't have to...\Daikichi-san...\I'm sorry you're always having to look after him...\O-Oh, no, I owe you for taking care of Rin...\How is Rin-chan?\She's a lot better now.\She went back to school today. Right?\Hello... response:	Hello. I'm glad you're feeling better, Rin-chan.
context: Daikichi-san...\I'm sorry you're always having to look after him...\O-Oh, no, I owe you for taking care of Rin...\How is Rin-chan?\She's a lot better now.\She went back to school today. Right?\Hello...\Hello. I'm glad you're feeling better, Rin-chan. response:	Yeah.
context: I'm sorry you're always having to look after him...\O-Oh, no, I owe you for taking care of Rin...\How is Rin-chan?\She's a lot better now.\She went back to school today. Right?\Hello...\Hello. I'm glad you're feeling better, Rin-chan.\Yeah. response:	I'm making that rice gruel right now.
context: O-Oh, no, I owe you for taking care of Rin...\How is Rin-chan?\She's a lot better now.\She went back to school today. Right?\Hello...\Hello. I'm glad you're feeling better, Rin-chan.\Yeah.\I'm making that rice gruel right now. response:	I'll be better soon, too.
context: How is Rin-chan?\She's a lot better now.\She went back to school today. Right?\Hello...\Hello. I'm glad you're feeling better, Rin-chan.\Yeah.\I'm making that rice gruel right now.\I'll be better soon, too. response:	Yep.
context: She's a lot better now.\She went back to school today. Right?\Hello...\Hello. I'm glad you're feeling better, Rin-chan.\Yeah.\I'm making that rice gruel right now.\I'll be better soon, too.\Yep. response:	Rin, let's go throw my tooth!
context: She went back to school today. Right?\Hello...\Hello. I'm glad you're feeling better, Rin-chan.\Yeah.\I'm making that rice gruel right now.\I'll be better soon, too.\Yep.\Rin, let's go throw my tooth! response:	This way!
context: Hello...\Hello. I'm glad you're feeling better, Rin-chan.\Yeah.\I'm making that rice gruel right now.\I'll be better soon, too.\Yep.\Rin, let's go throw my tooth!\This way! response:	Kouki, be careful.
context: Hello. I'm glad you're feeling better, Rin-chan.\Yeah.\I'm making that rice gruel right now.\I'll be better soon, too.\Yep.\Rin, let's go throw my tooth!\This way!\Kouki, be careful. response:	Gotcha!
context: Yeah.\I'm making that rice gruel right now.\I'll be better soon, too.\Yep.\Rin, let's go throw my tooth!\This way!\Kouki, be careful.\Gotcha! response:	Nitani-san, you may have caught your cold from Rin, taking care of her...
context: I'm making that rice gruel right now.\I'll be better soon, too.\Yep.\Rin, let's go throw my tooth!\This way!\Kouki, be careful.\Gotcha!\Nitani-san, you may have caught your cold from Rin, taking care of her... response:	I'm sorry.
context: I'll be better soon, too.\Yep.\Rin, let's go throw my tooth!\This way!\Kouki, be careful.\Gotcha!\Nitani-san, you may have caught your cold from Rin, taking care of her...\I'm sorry. response:	We're gonna throw it from here!
context: Yep.\Rin, let's go throw my tooth!\This way!\Kouki, be careful.\Gotcha!\Nitani-san, you may have caught your cold from Rin, taking care of her...\I'm sorry.\We're gonna throw it from here! response:	I meet a lot of people every day.
context: Rin, let's go throw my tooth!\This way!\Kouki, be careful.\Gotcha!\Nitani-san, you may have caught your cold from Rin, taking care of her...\I'm sorry.\We're gonna throw it from here!\I meet a lot of people every day. response:	It's so high up...
context: This way!\Kouki, be careful.\Gotcha!\Nitani-san, you may have caught your cold from Rin, taking care of her...\I'm sorry.\We're gonna throw it from here!\I meet a lot of people every day.\It's so high up... response:	I go to the office by train, which is always packed.
context: Kouki, be careful.\Gotcha!\Nitani-san, you may have caught your cold from Rin, taking care of her...\I'm sorry.\We're gonna throw it from here!\I meet a lot of people every day.\It's so high up...\I go to the office by train, which is always packed. response:	I'm gonna throw it on that roof.
context: Gotcha!\Nitani-san, you may have caught your cold from Rin, taking care of her...\I'm sorry.\We're gonna throw it from here!\I meet a lot of people every day.\It's so high up...\I go to the office by train, which is always packed.\I'm gonna throw it on that roof. response:	There's no way to know who I caught it from.
context: Nitani-san, you may have caught your cold from Rin, taking care of her...\I'm sorry.\We're gonna throw it from here!\I meet a lot of people every day.\It's so high up...\I go to the office by train, which is always packed.\I'm gonna throw it on that roof.\There's no way to know who I caught it from. response:	So don't worry about it.
context: I'm sorry.\We're gonna throw it from here!\I meet a lot of people every day.\It's so high up...\I go to the office by train, which is always packed.\I'm gonna throw it on that roof.\There's no way to know who I caught it from.\So don't worry about it. response:	It's just a cold.
context: We're gonna throw it from here!\I meet a lot of people every day.\It's so high up...\I go to the office by train, which is always packed.\I'm gonna throw it on that roof.\There's no way to know who I caught it from.\So don't worry about it.\It's just a cold. response:	Okay.
context: I meet a lot of people every day.\It's so high up...\I go to the office by train, which is always packed.\I'm gonna throw it on that roof.\There's no way to know who I caught it from.\So don't worry about it.\It's just a cold.\Okay. response:	Well, at least let me help with Kouki.
context: It's so high up...\I go to the office by train, which is always packed.\I'm gonna throw it on that roof.\There's no way to know who I caught it from.\So don't worry about it.\It's just a cold.\Okay.\Well, at least let me help with Kouki. response:	Even if it's just picking him up from daycare...
context: I go to the office by train, which is always packed.\I'm gonna throw it on that roof.\There's no way to know who I caught it from.\So don't worry about it.\It's just a cold.\Okay.\Well, at least let me help with Kouki.\Even if it's just picking him up from daycare... response:	Thank you.
context: I'm gonna throw it on that roof.\There's no way to know who I caught it from.\So don't worry about it.\It's just a cold.\Okay.\Well, at least let me help with Kouki.\Even if it's just picking him up from daycare...\Thank you. response:	Rin, we're going home.
context: There's no way to know who I caught it from.\So don't worry about it.\It's just a cold.\Okay.\Well, at least let me help with Kouki.\Even if it's just picking him up from daycare...\Thank you.\Rin, we're going home. response:	Daikichi, let's play video games!
context: So don't worry about it.\It's just a cold.\Okay.\Well, at least let me help with Kouki.\Even if it's just picking him up from daycare...\Thank you.\Rin, we're going home.\Daikichi, let's play video games! response:	Sure. Next time.
context: It's just a cold.\Okay.\Well, at least let me help with Kouki.\Even if it's just picking him up from daycare...\Thank you.\Rin, we're going home.\Daikichi, let's play video games!\Sure. Next time. response:	Kouki, make sure to help your mom out.
context: Okay.\Well, at least let me help with Kouki.\Even if it's just picking him up from daycare...\Thank you.\Rin, we're going home.\Daikichi, let's play video games!\Sure. Next time.\Kouki, make sure to help your mom out. response:	Okay.
context: Well, at least let me help with Kouki.\Even if it's just picking him up from daycare...\Thank you.\Rin, we're going home.\Daikichi, let's play video games!\Sure. Next time.\Kouki, make sure to help your mom out.\Okay. response:	Oh, that's right.
context: Even if it's just picking him up from daycare...\Thank you.\Rin, we're going home.\Daikichi, let's play video games!\Sure. Next time.\Kouki, make sure to help your mom out.\Okay.\Oh, that's right. response:	The pudding and little drink are from Rin.
context: Thank you.\Rin, we're going home.\Daikichi, let's play video games!\Sure. Next time.\Kouki, make sure to help your mom out.\Okay.\Oh, that's right.\The pudding and little drink are from Rin. response:	Thank you, Rin-chan!
context: Rin, we're going home.\Daikichi, let's play video games!\Sure. Next time.\Kouki, make sure to help your mom out.\Okay.\Oh, that's right.\The pudding and little drink are from Rin.\Thank you, Rin-chan! response:	Pudding is my favorite!
context: Daikichi, let's play video games!\Sure. Next time.\Kouki, make sure to help your mom out.\Okay.\Oh, that's right.\The pudding and little drink are from Rin.\Thank you, Rin-chan!\Pudding is my favorite! response:	Good night.
context: Sure. Next time.\Kouki, make sure to help your mom out.\Okay.\Oh, that's right.\The pudding and little drink are from Rin.\Thank you, Rin-chan!\Pudding is my favorite!\Good night. response:	Daikichi, hurry up!
context: Kouki, make sure to help your mom out.\Okay.\Oh, that's right.\The pudding and little drink are from Rin.\Thank you, Rin-chan!\Pudding is my favorite!\Good night.\Daikichi, hurry up! response:	You're up early... It's Sunday!
context: Okay.\Oh, that's right.\The pudding and little drink are from Rin.\Thank you, Rin-chan!\Pudding is my favorite!\Good night.\Daikichi, hurry up!\You're up early... It's Sunday! response:	I told you I'm going to practice for the jump rope contest!
context: Oh, that's right.\The pudding and little drink are from Rin.\Thank you, Rin-chan!\Pudding is my favorite!\Good night.\Daikichi, hurry up!\You're up early... It's Sunday!\I told you I'm going to practice for the jump rope contest! response:	What's wrong?
context: The pudding and little drink are from Rin.\Thank you, Rin-chan!\Pudding is my favorite!\Good night.\Daikichi, hurry up!\You're up early... It's Sunday!\I told you I'm going to practice for the jump rope contest!\What's wrong? response:	This one's wobbly too...
context: Thank you, Rin-chan!\Pudding is my favorite!\Good night.\Daikichi, hurry up!\You're up early... It's Sunday!\I told you I'm going to practice for the jump rope contest!\What's wrong?\This one's wobbly too... response:	Brush slowly.
context: Pudding is my favorite!\Good night.\Daikichi, hurry up!\You're up early... It's Sunday!\I told you I'm going to practice for the jump rope contest!\What's wrong?\This one's wobbly too...\Brush slowly. response:	Okay...
context: Good night.\Daikichi, hurry up!\You're up early... It's Sunday!\I told you I'm going to practice for the jump rope contest!\What's wrong?\This one's wobbly too...\Brush slowly.\Okay... response:	Don't mess with it!
context: Daikichi, hurry up!\You're up early... It's Sunday!\I told you I'm going to practice for the jump rope contest!\What's wrong?\This one's wobbly too...\Brush slowly.\Okay...\Don't mess with it! response:	Okay...
context: You're up early... It's Sunday!\I told you I'm going to practice for the jump rope contest!\What's wrong?\This one's wobbly too...\Brush slowly.\Okay...\Don't mess with it!\Okay... response:	Oww!
context: I told you I'm going to practice for the jump rope contest!\What's wrong?\This one's wobbly too...\Brush slowly.\Okay...\Don't mess with it!\Okay...\Oww! response:	Please don't overdo it too soon.
context: What's wrong?\This one's wobbly too...\Brush slowly.\Okay...\Don't mess with it!\Okay...\Oww!\Please don't overdo it too soon. response:	Oh, I'm fine now.
context: This one's wobbly too...\Brush slowly.\Okay...\Don't mess with it!\Okay...\Oww!\Please don't overdo it too soon.\Oh, I'm fine now. response:	I'm sorry to always be taking advantage of your generosity.
context: Brush slowly.\Okay...\Don't mess with it!\Okay...\Oww!\Please don't overdo it too soon.\Oh, I'm fine now.\I'm sorry to always be taking advantage of your generosity. response:	I think it's the other way around.
context: Okay...\Don't mess with it!\Okay...\Oww!\Please don't overdo it too soon.\Oh, I'm fine now.\I'm sorry to always be taking advantage of your generosity.\I think it's the other way around. response:	Really, thank you.
context: Don't mess with it!\Okay...\Oww!\Please don't overdo it too soon.\Oh, I'm fine now.\I'm sorry to always be taking advantage of your generosity.\I think it's the other way around.\Really, thank you. response:	Not at all.
context: Okay...\Oww!\Please don't overdo it too soon.\Oh, I'm fine now.\I'm sorry to always be taking advantage of your generosity.\I think it's the other way around.\Really, thank you.\Not at all. response:	I'm surprised at Kouki...
context: Oww!\Please don't overdo it too soon.\Oh, I'm fine now.\I'm sorry to always be taking advantage of your generosity.\I think it's the other way around.\Really, thank you.\Not at all.\I'm surprised at Kouki... response:	For some reason, he just can't get that.
context: Please don't overdo it too soon.\Oh, I'm fine now.\I'm sorry to always be taking advantage of your generosity.\I think it's the other way around.\Really, thank you.\Not at all.\I'm surprised at Kouki...\For some reason, he just can't get that. response:	Kouki, you're jumping too soon.
context: Oh, I'm fine now.\I'm sorry to always be taking advantage of your generosity.\I think it's the other way around.\Really, thank you.\Not at all.\I'm surprised at Kouki...\For some reason, he just can't get that.\Kouki, you're jumping too soon. response:	When the jump rope swings around, you jump here, right?
context: I'm sorry to always be taking advantage of your generosity.\I think it's the other way around.\Really, thank you.\Not at all.\I'm surprised at Kouki...\For some reason, he just can't get that.\Kouki, you're jumping too soon.\When the jump rope swings around, you jump here, right? response:	Yeah.
context: I think it's the other way around.\Really, thank you.\Not at all.\I'm surprised at Kouki...\For some reason, he just can't get that.\Kouki, you're jumping too soon.\When the jump rope swings around, you jump here, right?\Yeah. response:	Then you can't move your arms and legs at the same time.
context: Really, thank you.\Not at all.\I'm surprised at Kouki...\For some reason, he just can't get that.\Kouki, you're jumping too soon.\When the jump rope swings around, you jump here, right?\Yeah.\Then you can't move your arms and legs at the same time. response:	I see...
context: Not at all.\I'm surprised at Kouki...\For some reason, he just can't get that.\Kouki, you're jumping too soon.\When the jump rope swings around, you jump here, right?\Yeah.\Then you can't move your arms and legs at the same time.\I see... response:	Your arms go first, then your legs.
context: I'm surprised at Kouki...\For some reason, he just can't get that.\Kouki, you're jumping too soon.\When the jump rope swings around, you jump here, right?\Yeah.\Then you can't move your arms and legs at the same time.\I see...\Your arms go first, then your legs. response:	Try it once slowly.
context: For some reason, he just can't get that.\Kouki, you're jumping too soon.\When the jump rope swings around, you jump here, right?\Yeah.\Then you can't move your arms and legs at the same time.\I see...\Your arms go first, then your legs.\Try it once slowly. response:	Got it!
context: Kouki, you're jumping too soon.\When the jump rope swings around, you jump here, right?\Yeah.\Then you can't move your arms and legs at the same time.\I see...\Your arms go first, then your legs.\Try it once slowly.\Got it! response:	Daikichi! Me too! Me too!
context: When the jump rope swings around, you jump here, right?\Yeah.\Then you can't move your arms and legs at the same time.\I see...\Your arms go first, then your legs.\Try it once slowly.\Got it!\Daikichi! Me too! Me too! response:	Okay, okay. Rin, your problem is you swing your arms in too big circles.
context: Yeah.\Then you can't move your arms and legs at the same time.\I see...\Your arms go first, then your legs.\Try it once slowly.\Got it!\Daikichi! Me too! Me too!\Okay, okay. Rin, your problem is you swing your arms in too big circles. response:	Keep your arms in close like this...
context: Then you can't move your arms and legs at the same time.\I see...\Your arms go first, then your legs.\Try it once slowly.\Got it!\Daikichi! Me too! Me too!\Okay, okay. Rin, your problem is you swing your arms in too big circles.\Keep your arms in close like this... response:	Daikichi-san!
context: I see...\Your arms go first, then your legs.\Try it once slowly.\Got it!\Daikichi! Me too! Me too!\Okay, okay. Rin, your problem is you swing your arms in too big circles.\Keep your arms in close like this...\Daikichi-san! response:	You're early, huh?!
context: Your arms go first, then your legs.\Try it once slowly.\Got it!\Daikichi! Me too! Me too!\Okay, okay. Rin, your problem is you swing your arms in too big circles.\Keep your arms in close like this...\Daikichi-san!\You're early, huh?! response:	Good morning!
context: Try it once slowly.\Got it!\Daikichi! Me too! Me too!\Okay, okay. Rin, your problem is you swing your arms in too big circles.\Keep your arms in close like this...\Daikichi-san!\You're early, huh?!\Good morning! response:	Too much energy this early in the morning...
context: Got it!\Daikichi! Me too! Me too!\Okay, okay. Rin, your problem is you swing your arms in too big circles.\Keep your arms in close like this...\Daikichi-san!\You're early, huh?!\Good morning!\Too much energy this early in the morning... response:	Nobu-kun is good at it.
context: Daikichi! Me too! Me too!\Okay, okay. Rin, your problem is you swing your arms in too big circles.\Keep your arms in close like this...\Daikichi-san!\You're early, huh?!\Good morning!\Too much energy this early in the morning...\Nobu-kun is good at it. response:	It's'cause he's got a big brother.
context: Okay, okay. Rin, your problem is you swing your arms in too big circles.\Keep your arms in close like this...\Daikichi-san!\You're early, huh?!\Good morning!\Too much energy this early in the morning...\Nobu-kun is good at it.\It's'cause he's got a big brother. response:	He'll imitate everything the older one does.
context: Keep your arms in close like this...\Daikichi-san!\You're early, huh?!\Good morning!\Too much energy this early in the morning...\Nobu-kun is good at it.\It's'cause he's got a big brother.\He'll imitate everything the older one does. response:	Huh...
context: Daikichi-san!\You're early, huh?!\Good morning!\Too much energy this early in the morning...\Nobu-kun is good at it.\It's'cause he's got a big brother.\He'll imitate everything the older one does.\Huh... response:	Aren't you gonna do it, Sayaka-chan?
context: You're early, huh?!\Good morning!\Too much energy this early in the morning...\Nobu-kun is good at it.\It's'cause he's got a big brother.\He'll imitate everything the older one does.\Huh...\Aren't you gonna do it, Sayaka-chan? response:	This time, she lost one of her upper teeth...
