context: That's right! response:	We're here to save Kagome
context: Hurry up and move outta the way, or you'll get it!\Go through us if you can.\You!\What!\What is this?!\Damn it!\Over this way!\Move! response:	No way!
context: Go through us if you can.\You!\What!\What is this?!\Damn it!\Over this way!\Move!\No way! response:	Then take this!
context: You!\What!\What is this?!\Damn it!\Over this way!\Move!\No way!\Then take this! response:	Royakan!
context: What!\What is this?!\Damn it!\Over this way!\Move!\No way!\Then take this!\Royakan! response:	Is that thunder?
context: What is this?!\Damn it!\Over this way!\Move!\No way!\Then take this!\Royakan!\Is that thunder? response:	You thwarted my lightning. I'm impressed.
context: Damn it!\Over this way!\Move!\No way!\Then take this!\Royakan!\Is that thunder?\You thwarted my lightning. I'm impressed. response:	The bastard!
context: Over this way!\Move!\No way!\Then take this!\Royakan!\Is that thunder?\You thwarted my lightning. I'm impressed.\The bastard! response:	He doesn't move fast.
context: Move!\No way!\Then take this!\Royakan!\Is that thunder?\You thwarted my lightning. I'm impressed.\The bastard!\He doesn't move fast. response:	But his thunderbolts are dangerous.
context: No way!\Then take this!\Royakan!\Is that thunder?\You thwarted my lightning. I'm impressed.\The bastard!\He doesn't move fast.\But his thunderbolts are dangerous. response:	Now take my fire!
context: Then take this!\Royakan!\Is that thunder?\You thwarted my lightning. I'm impressed.\The bastard!\He doesn't move fast.\But his thunderbolts are dangerous.\Now take my fire! response:	Damn!
context: Royakan!\Is that thunder?\You thwarted my lightning. I'm impressed.\The bastard!\He doesn't move fast.\But his thunderbolts are dangerous.\Now take my fire!\Damn! response:	Sis!
context: Is that thunder?\You thwarted my lightning. I'm impressed.\The bastard!\He doesn't move fast.\But his thunderbolts are dangerous.\Now take my fire!\Damn!\Sis! response:	I'm surprised.
context: You thwarted my lightning. I'm impressed.\The bastard!\He doesn't move fast.\But his thunderbolts are dangerous.\Now take my fire!\Damn!\Sis!\I'm surprised. response:	I thought you'd be weaker than before.
context: The bastard!\He doesn't move fast.\But his thunderbolts are dangerous.\Now take my fire!\Damn!\Sis!\I'm surprised.\I thought you'd be weaker than before. response:	What do you mean?
context: He doesn't move fast.\But his thunderbolts are dangerous.\Now take my fire!\Damn!\Sis!\I'm surprised.\I thought you'd be weaker than before.\What do you mean? response:	That arm.
context: But his thunderbolts are dangerous.\Now take my fire!\Damn!\Sis!\I'm surprised.\I thought you'd be weaker than before.\What do you mean?\That arm. response:	After all, who was it that cut it off?
context: Now take my fire!\Damn!\Sis!\I'm surprised.\I thought you'd be weaker than before.\What do you mean?\That arm.\After all, who was it that cut it off? response:	The party will start very soon.
context: Damn!\Sis!\I'm surprised.\I thought you'd be weaker than before.\What do you mean?\That arm.\After all, who was it that cut it off?\The party will start very soon. response:	Come at your leisure.
context: Sis!\I'm surprised.\I thought you'd be weaker than before.\What do you mean?\That arm.\After all, who was it that cut it off?\The party will start very soon.\Come at your leisure. response:	What's wrong?
context: I'm surprised.\I thought you'd be weaker than before.\What do you mean?\That arm.\After all, who was it that cut it off?\The party will start very soon.\Come at your leisure.\What's wrong? response:	Don't hold back. Come at me.
context: I thought you'd be weaker than before.\What do you mean?\That arm.\After all, who was it that cut it off?\The party will start very soon.\Come at your leisure.\What's wrong?\Don't hold back. Come at me. response:	The thunderbolts are swift,
context: What do you mean?\That arm.\After all, who was it that cut it off?\The party will start very soon.\Come at your leisure.\What's wrong?\Don't hold back. Come at me.\The thunderbolts are swift, response:	but he's the one firing them.
context: That arm.\After all, who was it that cut it off?\The party will start very soon.\Come at your leisure.\What's wrong?\Don't hold back. Come at me.\The thunderbolts are swift,\but he's the one firing them. response:	Awright!
context: After all, who was it that cut it off?\The party will start very soon.\Come at your leisure.\What's wrong?\Don't hold back. Come at me.\The thunderbolts are swift,\but he's the one firing them.\Awright! response:	On guard!
context: The party will start very soon.\Come at your leisure.\What's wrong?\Don't hold back. Come at me.\The thunderbolts are swift,\but he's the one firing them.\Awright!\On guard! response:	Too slow!
context: Come at your leisure.\What's wrong?\Don't hold back. Come at me.\The thunderbolts are swift,\but he's the one firing them.\Awright!\On guard!\Too slow! response:	The slow one...
context: What's wrong?\Don't hold back. Come at me.\The thunderbolts are swift,\but he's the one firing them.\Awright!\On guard!\Too slow!\The slow one... response:	Had enough?
context: Don't hold back. Come at me.\The thunderbolts are swift,\but he's the one firing them.\Awright!\On guard!\Too slow!\The slow one...\Had enough? response:	Everyone... retreat!
context: The thunderbolts are swift,\but he's the one firing them.\Awright!\On guard!\Too slow!\The slow one...\Had enough?\Everyone... retreat! response:	Serves you right!
context: but he's the one firing them.\Awright!\On guard!\Too slow!\The slow one...\Had enough?\Everyone... retreat!\Serves you right! response:	What about the one who's down?
context: Awright!\On guard!\Too slow!\The slow one...\Had enough?\Everyone... retreat!\Serves you right!\What about the one who's down? response:	He's breathing.
context: On guard!\Too slow!\The slow one...\Had enough?\Everyone... retreat!\Serves you right!\What about the one who's down?\He's breathing. response:	I don't think he fainted... more like he's asleep.
context: Too slow!\The slow one...\Had enough?\Everyone... retreat!\Serves you right!\What about the one who's down?\He's breathing.\I don't think he fainted... more like he's asleep. response:	Then leave'im.
context: The slow one...\Had enough?\Everyone... retreat!\Serves you right!\What about the one who's down?\He's breathing.\I don't think he fainted... more like he's asleep.\Then leave'im. response:	Let's go.
context: Had enough?\Everyone... retreat!\Serves you right!\What about the one who's down?\He's breathing.\I don't think he fainted... more like he's asleep.\Then leave'im.\Let's go. response:	I know Kagome is there!
context: Everyone... retreat!\Serves you right!\What about the one who's down?\He's breathing.\I don't think he fainted... more like he's asleep.\Then leave'im.\Let's go.\I know Kagome is there! response:	Damn! Which one is real?!
context: Serves you right!\What about the one who's down?\He's breathing.\I don't think he fainted... more like he's asleep.\Then leave'im.\Let's go.\I know Kagome is there!\Damn! Which one is real?! response:	What are you doing, Inuyasha?
context: What about the one who's down?\He's breathing.\I don't think he fainted... more like he's asleep.\Then leave'im.\Let's go.\I know Kagome is there!\Damn! Which one is real?!\What are you doing, Inuyasha? response:	Shaddup!
context: He's breathing.\I don't think he fainted... more like he's asleep.\Then leave'im.\Let's go.\I know Kagome is there!\Damn! Which one is real?!\What are you doing, Inuyasha?\Shaddup! response:	You are such a burden!
context: I don't think he fainted... more like he's asleep.\Then leave'im.\Let's go.\I know Kagome is there!\Damn! Which one is real?!\What are you doing, Inuyasha?\Shaddup!\You are such a burden! response:	Now... Look, look, look!
context: Then leave'im.\Let's go.\I know Kagome is there!\Damn! Which one is real?!\What are you doing, Inuyasha?\Shaddup!\You are such a burden!\Now... Look, look, look! response:	To see who's real!
context: Let's go.\I know Kagome is there!\Damn! Which one is real?!\What are you doing, Inuyasha?\Shaddup!\You are such a burden!\Now... Look, look, look!\To see who's real! response:	She's the real one?
context: I know Kagome is there!\Damn! Which one is real?!\What are you doing, Inuyasha?\Shaddup!\You are such a burden!\Now... Look, look, look!\To see who's real!\She's the real one? response:	Yes.
context: Damn! Which one is real?!\What are you doing, Inuyasha?\Shaddup!\You are such a burden!\Now... Look, look, look!\To see who's real!\She's the real one?\Yes. response:	Hmm... not bad.
context: What are you doing, Inuyasha?\Shaddup!\You are such a burden!\Now... Look, look, look!\To see who's real!\She's the real one?\Yes.\Hmm... not bad. response:	My name means to perceive right. Do not take me lightly!
context: Shaddup!\You are such a burden!\Now... Look, look, look!\To see who's real!\She's the real one?\Yes.\Hmm... not bad.\My name means to perceive right. Do not take me lightly! response:	As long as I know which is which...
context: You are such a burden!\Now... Look, look, look!\To see who's real!\She's the real one?\Yes.\Hmm... not bad.\My name means to perceive right. Do not take me lightly!\As long as I know which is which... response:	We'll continue this at the castle.
context: Now... Look, look, look!\To see who's real!\She's the real one?\Yes.\Hmm... not bad.\My name means to perceive right. Do not take me lightly!\As long as I know which is which...\We'll continue this at the castle. response:	Damn her and her stupid tricks!
context: To see who's real!\She's the real one?\Yes.\Hmm... not bad.\My name means to perceive right. Do not take me lightly!\As long as I know which is which...\We'll continue this at the castle.\Damn her and her stupid tricks! response:	The time is upon us, Master!
context: She's the real one?\Yes.\Hmm... not bad.\My name means to perceive right. Do not take me lightly!\As long as I know which is which...\We'll continue this at the castle.\Damn her and her stupid tricks!\The time is upon us, Master! response:	It will be very soon.
context: Yes.\Hmm... not bad.\My name means to perceive right. Do not take me lightly!\As long as I know which is which...\We'll continue this at the castle.\Damn her and her stupid tricks!\The time is upon us, Master!\It will be very soon. response:	The moon is almost directly overhead.
context: Hmm... not bad.\My name means to perceive right. Do not take me lightly!\As long as I know which is which...\We'll continue this at the castle.\Damn her and her stupid tricks!\The time is upon us, Master!\It will be very soon.\The moon is almost directly overhead. response:	Soon, the dogs we despise so much will be slaughtered
context: My name means to perceive right. Do not take me lightly!\As long as I know which is which...\We'll continue this at the castle.\Damn her and her stupid tricks!\The time is upon us, Master!\It will be very soon.\The moon is almost directly overhead.\Soon, the dogs we despise so much will be slaughtered response:	and the Panther-Demon Tribe will rule victorious over this land.
context: As long as I know which is which...\We'll continue this at the castle.\Damn her and her stupid tricks!\The time is upon us, Master!\It will be very soon.\The moon is almost directly overhead.\Soon, the dogs we despise so much will be slaughtered\and the Panther-Demon Tribe will rule victorious over this land. response:	A barrier...
context: We'll continue this at the castle.\Damn her and her stupid tricks!\The time is upon us, Master!\It will be very soon.\The moon is almost directly overhead.\Soon, the dogs we despise so much will be slaughtered\and the Panther-Demon Tribe will rule victorious over this land.\A barrier... response:	Soon, our master will be resurrected.
context: Damn her and her stupid tricks!\The time is upon us, Master!\It will be very soon.\The moon is almost directly overhead.\Soon, the dogs we despise so much will be slaughtered\and the Panther-Demon Tribe will rule victorious over this land.\A barrier...\Soon, our master will be resurrected. response:	Sesshomaru, prepare to die!
context: The time is upon us, Master!\It will be very soon.\The moon is almost directly overhead.\Soon, the dogs we despise so much will be slaughtered\and the Panther-Demon Tribe will rule victorious over this land.\A barrier...\Soon, our master will be resurrected.\Sesshomaru, prepare to die! response:	Our... master!
context: It will be very soon.\The moon is almost directly overhead.\Soon, the dogs we despise so much will be slaughtered\and the Panther-Demon Tribe will rule victorious over this land.\A barrier...\Soon, our master will be resurrected.\Sesshomaru, prepare to die!\Our... master! response:	Give me blood... flesh... and a soul!
context: The moon is almost directly overhead.\Soon, the dogs we despise so much will be slaughtered\and the Panther-Demon Tribe will rule victorious over this land.\A barrier...\Soon, our master will be resurrected.\Sesshomaru, prepare to die!\Our... master!\Give me blood... flesh... and a soul! response:	What's this?!
context: Soon, the dogs we despise so much will be slaughtered\and the Panther-Demon Tribe will rule victorious over this land.\A barrier...\Soon, our master will be resurrected.\Sesshomaru, prepare to die!\Our... master!\Give me blood... flesh... and a soul!\What's this?! response:	The cats!
context: and the Panther-Demon Tribe will rule victorious over this land.\A barrier...\Soon, our master will be resurrected.\Sesshomaru, prepare to die!\Our... master!\Give me blood... flesh... and a soul!\What's this?!\The cats! response:	Where is this anyway?!
context: A barrier...\Soon, our master will be resurrected.\Sesshomaru, prepare to die!\Our... master!\Give me blood... flesh... and a soul!\What's this?!\The cats!\Where is this anyway?! response:	Kagome!
context: Soon, our master will be resurrected.\Sesshomaru, prepare to die!\Our... master!\Give me blood... flesh... and a soul!\What's this?!\The cats!\Where is this anyway?!\Kagome! response:	Koga!
context: Sesshomaru, prepare to die!\Our... master!\Give me blood... flesh... and a soul!\What's this?!\The cats!\Where is this anyway?!\Kagome!\Koga! response:	Damn! What is this?!
context: Our... master!\Give me blood... flesh... and a soul!\What's this?!\The cats!\Where is this anyway?!\Kagome!\Koga!\Damn! What is this?! response:	As if you can break the supreme master's barrier!
context: Give me blood... flesh... and a soul!\What's this?!\The cats!\Where is this anyway?!\Kagome!\Koga!\Damn! What is this?!\As if you can break the supreme master's barrier! response:	You can stay there and watch the sacrificial lambs being devoured.
context: What's this?!\The cats!\Where is this anyway?!\Kagome!\Koga!\Damn! What is this?!\As if you can break the supreme master's barrier!\You can stay there and watch the sacrificial lambs being devoured. response:	They're feeding us to him!
context: The cats!\Where is this anyway?!\Kagome!\Koga!\Damn! What is this?!\As if you can break the supreme master's barrier!\You can stay there and watch the sacrificial lambs being devoured.\They're feeding us to him! response:	Miroku!
context: Where is this anyway?!\Kagome!\Koga!\Damn! What is this?!\As if you can break the supreme master's barrier!\You can stay there and watch the sacrificial lambs being devoured.\They're feeding us to him!\Miroku! response:	Give me blood!
context: Kagome!\Koga!\Damn! What is this?!\As if you can break the supreme master's barrier!\You can stay there and watch the sacrificial lambs being devoured.\They're feeding us to him!\Miroku!\Give me blood! response:	Kagome!
context: Koga!\Damn! What is this?!\As if you can break the supreme master's barrier!\You can stay there and watch the sacrificial lambs being devoured.\They're feeding us to him!\Miroku!\Give me blood!\Kagome! response:	What's that?! The color of Tetsusaiga is!
context: Damn! What is this?!\As if you can break the supreme master's barrier!\You can stay there and watch the sacrificial lambs being devoured.\They're feeding us to him!\Miroku!\Give me blood!\Kagome!\What's that?! The color of Tetsusaiga is! response:	Sorry to keep you waiting.
context: As if you can break the supreme master's barrier!\You can stay there and watch the sacrificial lambs being devoured.\They're feeding us to him!\Miroku!\Give me blood!\Kagome!\What's that?! The color of Tetsusaiga is!\Sorry to keep you waiting. response:	That dog! He broke our master's barrier!
context: You can stay there and watch the sacrificial lambs being devoured.\They're feeding us to him!\Miroku!\Give me blood!\Kagome!\What's that?! The color of Tetsusaiga is!\Sorry to keep you waiting.\That dog! He broke our master's barrier! response:	What is he?!
context: They're feeding us to him!\Miroku!\Give me blood!\Kagome!\What's that?! The color of Tetsusaiga is!\Sorry to keep you waiting.\That dog! He broke our master's barrier!\What is he?! response:	Lord Sesshomaru!
context: Miroku!\Give me blood!\Kagome!\What's that?! The color of Tetsusaiga is!\Sorry to keep you waiting.\That dog! He broke our master's barrier!\What is he?!\Lord Sesshomaru! response:	Lord Sesshomaru!
context: Give me blood!\Kagome!\What's that?! The color of Tetsusaiga is!\Sorry to keep you waiting.\That dog! He broke our master's barrier!\What is he?!\Lord Sesshomaru!\Lord Sesshomaru! response:	I searched for you, my lord!
context: Kagome!\What's that?! The color of Tetsusaiga is!\Sorry to keep you waiting.\That dog! He broke our master's barrier!\What is he?!\Lord Sesshomaru!\Lord Sesshomaru!\I searched for you, my lord! response:	That Inuyasha... When did he learn to use Tetsusaiga like that?
context: What's that?! The color of Tetsusaiga is!\Sorry to keep you waiting.\That dog! He broke our master's barrier!\What is he?!\Lord Sesshomaru!\Lord Sesshomaru!\I searched for you, my lord!\That Inuyasha... When did he learn to use Tetsusaiga like that? response:	I am shocked!
context: Sorry to keep you waiting.\That dog! He broke our master's barrier!\What is he?!\Lord Sesshomaru!\Lord Sesshomaru!\I searched for you, my lord!\That Inuyasha... When did he learn to use Tetsusaiga like that?\I am shocked! response:	Inuyasha!
context: That dog! He broke our master's barrier!\What is he?!\Lord Sesshomaru!\Lord Sesshomaru!\I searched for you, my lord!\That Inuyasha... When did he learn to use Tetsusaiga like that?\I am shocked!\Inuyasha! response:	Kagome, are you all right?
context: What is he?!\Lord Sesshomaru!\Lord Sesshomaru!\I searched for you, my lord!\That Inuyasha... When did he learn to use Tetsusaiga like that?\I am shocked!\Inuyasha!\Kagome, are you all right? response:	Uh-huh!
context: Lord Sesshomaru!\Lord Sesshomaru!\I searched for you, my lord!\That Inuyasha... When did he learn to use Tetsusaiga like that?\I am shocked!\Inuyasha!\Kagome, are you all right?\Uh-huh! response:	I knew you'd come.
context: Lord Sesshomaru!\I searched for you, my lord!\That Inuyasha... When did he learn to use Tetsusaiga like that?\I am shocked!\Inuyasha!\Kagome, are you all right?\Uh-huh!\I knew you'd come. response:	No need to worry anymore, Kagome.
context: I searched for you, my lord!\That Inuyasha... When did he learn to use Tetsusaiga like that?\I am shocked!\Inuyasha!\Kagome, are you all right?\Uh-huh!\I knew you'd come.\No need to worry anymore, Kagome. response:	Huh?
context: That Inuyasha... When did he learn to use Tetsusaiga like that?\I am shocked!\Inuyasha!\Kagome, are you all right?\Uh-huh!\I knew you'd come.\No need to worry anymore, Kagome.\Huh? response:	Koga! Why you...!
context: I am shocked!\Inuyasha!\Kagome, are you all right?\Uh-huh!\I knew you'd come.\No need to worry anymore, Kagome.\Huh?\Koga! Why you...! response:	Give me blood!
context: Inuyasha!\Kagome, are you all right?\Uh-huh!\I knew you'd come.\No need to worry anymore, Kagome.\Huh?\Koga! Why you...!\Give me blood! response:	Inuyasha!
context: Kagome, are you all right?\Uh-huh!\I knew you'd come.\No need to worry anymore, Kagome.\Huh?\Koga! Why you...!\Give me blood!\Inuyasha! response:	Rest assured, Kagome.
context: Uh-huh!\I knew you'd come.\No need to worry anymore, Kagome.\Huh?\Koga! Why you...!\Give me blood!\Inuyasha!\Rest assured, Kagome. response:	Freeing you is easily done.
context: I knew you'd come.\No need to worry anymore, Kagome.\Huh?\Koga! Why you...!\Give me blood!\Inuyasha!\Rest assured, Kagome.\Freeing you is easily done. response:	No, Koga!
context: No need to worry anymore, Kagome.\Huh?\Koga! Why you...!\Give me blood!\Inuyasha!\Rest assured, Kagome.\Freeing you is easily done.\No, Koga! response:	He took on the Supreme Master!
context: Huh?\Koga! Why you...!\Give me blood!\Inuyasha!\Rest assured, Kagome.\Freeing you is easily done.\No, Koga!\He took on the Supreme Master! response:	Inuyasha!
context: Koga! Why you...!\Give me blood!\Inuyasha!\Rest assured, Kagome.\Freeing you is easily done.\No, Koga!\He took on the Supreme Master!\Inuyasha! response:	The Sacred Jewel shards are in his throat.
context: Give me blood!\Inuyasha!\Rest assured, Kagome.\Freeing you is easily done.\No, Koga!\He took on the Supreme Master!\Inuyasha!\The Sacred Jewel shards are in his throat. response:	Gotcha!
context: Inuyasha!\Rest assured, Kagome.\Freeing you is easily done.\No, Koga!\He took on the Supreme Master!\Inuyasha!\The Sacred Jewel shards are in his throat.\Gotcha! response:	I'll get'em back.
context: Rest assured, Kagome.\Freeing you is easily done.\No, Koga!\He took on the Supreme Master!\Inuyasha!\The Sacred Jewel shards are in his throat.\Gotcha!\I'll get'em back. response:	Okay.
context: Freeing you is easily done.\No, Koga!\He took on the Supreme Master!\Inuyasha!\The Sacred Jewel shards are in his throat.\Gotcha!\I'll get'em back.\Okay. response:	Everyone, stay together and run!
context: No, Koga!\He took on the Supreme Master!\Inuyasha!\The Sacred Jewel shards are in his throat.\Gotcha!\I'll get'em back.\Okay.\Everyone, stay together and run! response:	This way! Hurry!
context: He took on the Supreme Master!\Inuyasha!\The Sacred Jewel shards are in his throat.\Gotcha!\I'll get'em back.\Okay.\Everyone, stay together and run!\This way! Hurry! response:	You guys, do not let the prisoners escape!
context: Inuyasha!\The Sacred Jewel shards are in his throat.\Gotcha!\I'll get'em back.\Okay.\Everyone, stay together and run!\This way! Hurry!\You guys, do not let the prisoners escape! response:	It's useless!
context: The Sacred Jewel shards are in his throat.\Gotcha!\I'll get'em back.\Okay.\Everyone, stay together and run!\This way! Hurry!\You guys, do not let the prisoners escape!\It's useless! response:	There's no escape!
context: Gotcha!\I'll get'em back.\Okay.\Everyone, stay together and run!\This way! Hurry!\You guys, do not let the prisoners escape!\It's useless!\There's no escape! response:	What're you doing, fools?
context: I'll get'em back.\Okay.\Everyone, stay together and run!\This way! Hurry!\You guys, do not let the prisoners escape!\It's useless!\There's no escape!\What're you doing, fools? response:	Aren't we important sacrificial lambs?
context: Okay.\Everyone, stay together and run!\This way! Hurry!\You guys, do not let the prisoners escape!\It's useless!\There's no escape!\What're you doing, fools?\Aren't we important sacrificial lambs? response:	You're not supposed to kill us, right?
context: Everyone, stay together and run!\This way! Hurry!\You guys, do not let the prisoners escape!\It's useless!\There's no escape!\What're you doing, fools?\Aren't we important sacrificial lambs?\You're not supposed to kill us, right? response:	Now move!
context: This way! Hurry!\You guys, do not let the prisoners escape!\It's useless!\There's no escape!\What're you doing, fools?\Aren't we important sacrificial lambs?\You're not supposed to kill us, right?\Now move! response:	Way to go, Sis!
context: You guys, do not let the prisoners escape!\It's useless!\There's no escape!\What're you doing, fools?\Aren't we important sacrificial lambs?\You're not supposed to kill us, right?\Now move!\Way to go, Sis! response:	That's our gal!
context: It's useless!\There's no escape!\What're you doing, fools?\Aren't we important sacrificial lambs?\You're not supposed to kill us, right?\Now move!\Way to go, Sis!\That's our gal! response:	All right!
context: There's no escape!\What're you doing, fools?\Aren't we important sacrificial lambs?\You're not supposed to kill us, right?\Now move!\Way to go, Sis!\That's our gal!\All right! response:	Don't just stand there. Protect Kagome!
context: What're you doing, fools?\Aren't we important sacrificial lambs?\You're not supposed to kill us, right?\Now move!\Way to go, Sis!\That's our gal!\All right!\Don't just stand there. Protect Kagome! response:	Are you conscious, Miroku?
context: Aren't we important sacrificial lambs?\You're not supposed to kill us, right?\Now move!\Way to go, Sis!\That's our gal!\All right!\Don't just stand there. Protect Kagome!\Are you conscious, Miroku? response:	Miroku!
context: You're not supposed to kill us, right?\Now move!\Way to go, Sis!\That's our gal!\All right!\Don't just stand there. Protect Kagome!\Are you conscious, Miroku?\Miroku! response:	Sango!
context: Now move!\Way to go, Sis!\That's our gal!\All right!\Don't just stand there. Protect Kagome!\Are you conscious, Miroku?\Miroku!\Sango! response:	How gratifying!
context: Way to go, Sis!\That's our gal!\All right!\Don't just stand there. Protect Kagome!\Are you conscious, Miroku?\Miroku!\Sango!\How gratifying! response:	C'mon, Let's go!
context: That's our gal!\All right!\Don't just stand there. Protect Kagome!\Are you conscious, Miroku?\Miroku!\Sango!\How gratifying!\C'mon, Let's go! response:	Hurry! Now's our chance!
context: All right!\Don't just stand there. Protect Kagome!\Are you conscious, Miroku?\Miroku!\Sango!\How gratifying!\C'mon, Let's go!\Hurry! Now's our chance! response:	Yeah!
context: Don't just stand there. Protect Kagome!\Are you conscious, Miroku?\Miroku!\Sango!\How gratifying!\C'mon, Let's go!\Hurry! Now's our chance!\Yeah! response:	Take this!
context: Are you conscious, Miroku?\Miroku!\Sango!\How gratifying!\C'mon, Let's go!\Hurry! Now's our chance!\Yeah!\Take this! response:	Master!
context: Miroku!\Sango!\How gratifying!\C'mon, Let's go!\Hurry! Now's our chance!\Yeah!\Take this!\Master! response:	Give me blood... a soul...
context: Sango!\How gratifying!\C'mon, Let's go!\Hurry! Now's our chance!\Yeah!\Take this!\Master!\Give me blood... a soul... response:	Please wait just a bit longer.
context: How gratifying!\C'mon, Let's go!\Hurry! Now's our chance!\Yeah!\Take this!\Master!\Give me blood... a soul...\Please wait just a bit longer. response:	I will present you...
context: C'mon, Let's go!\Hurry! Now's our chance!\Yeah!\Take this!\Master!\Give me blood... a soul...\Please wait just a bit longer.\I will present you... response:	with the head of our despised enemy's son!
context: Hurry! Now's our chance!\Yeah!\Take this!\Master!\Give me blood... a soul...\Please wait just a bit longer.\I will present you...\with the head of our despised enemy's son! response:	I don't care who he is...
context: Yeah!\Take this!\Master!\Give me blood... a soul...\Please wait just a bit longer.\I will present you...\with the head of our despised enemy's son!\I don't care who he is... response:	But you can't use human blood and flesh to resurrect him!
context: Take this!\Master!\Give me blood... a soul...\Please wait just a bit longer.\I will present you...\with the head of our despised enemy's son!\I don't care who he is...\But you can't use human blood and flesh to resurrect him! response:	Well, you're going to be the first!
context: Master!\Give me blood... a soul...\Please wait just a bit longer.\I will present you...\with the head of our despised enemy's son!\I don't care who he is...\But you can't use human blood and flesh to resurrect him!\Well, you're going to be the first! response:	Come at me!
context: Give me blood... a soul...\Please wait just a bit longer.\I will present you...\with the head of our despised enemy's son!\I don't care who he is...\But you can't use human blood and flesh to resurrect him!\Well, you're going to be the first!\Come at me! response:	And you'll become fodder for Tetsusaiga!
context: Please wait just a bit longer.\I will present you...\with the head of our despised enemy's son!\I don't care who he is...\But you can't use human blood and flesh to resurrect him!\Well, you're going to be the first!\Come at me!\And you'll become fodder for Tetsusaiga! response:	Ohh!
context: I will present you...\with the head of our despised enemy's son!\I don't care who he is...\But you can't use human blood and flesh to resurrect him!\Well, you're going to be the first!\Come at me!\And you'll become fodder for Tetsusaiga!\Ohh! response:	You are the one, Lord Sesshomaru!
