context: A spider on his back... response:	Yes. According to Inuyasha...
context: What's he saying?!\Funny monk!\That woman... She's no ordinary demon.\She's much, much stronger... and evil.\Oh, it's Priestess Kikyo.\We're lucky to have such a wonderful priestess.\Yeah... The sick are cured and the children are healthy.\We must be grateful. response:	I want the spiritual power of a priestess.
context: Funny monk!\That woman... She's no ordinary demon.\She's much, much stronger... and evil.\Oh, it's Priestess Kikyo.\We're lucky to have such a wonderful priestess.\Yeah... The sick are cured and the children are healthy.\We must be grateful.\I want the spiritual power of a priestess. response:	This body...free of bones... burned of flesh...
context: That woman... She's no ordinary demon.\She's much, much stronger... and evil.\Oh, it's Priestess Kikyo.\We're lucky to have such a wonderful priestess.\Yeah... The sick are cured and the children are healthy.\We must be grateful.\I want the spiritual power of a priestess.\This body...free of bones... burned of flesh... response:	This soul which has transmigrated into me...
context: She's much, much stronger... and evil.\Oh, it's Priestess Kikyo.\We're lucky to have such a wonderful priestess.\Yeah... The sick are cured and the children are healthy.\We must be grateful.\I want the spiritual power of a priestess.\This body...free of bones... burned of flesh...\This soul which has transmigrated into me... response:	suits me very well.
context: Oh, it's Priestess Kikyo.\We're lucky to have such a wonderful priestess.\Yeah... The sick are cured and the children are healthy.\We must be grateful.\I want the spiritual power of a priestess.\This body...free of bones... burned of flesh...\This soul which has transmigrated into me...\suits me very well. response:	Why did you betray me, Inuyasha?!
context: We're lucky to have such a wonderful priestess.\Yeah... The sick are cured and the children are healthy.\We must be grateful.\I want the spiritual power of a priestess.\This body...free of bones... burned of flesh...\This soul which has transmigrated into me...\suits me very well.\Why did you betray me, Inuyasha?! response:	You tell me to die again... why do you pity me?
context: Yeah... The sick are cured and the children are healthy.\We must be grateful.\I want the spiritual power of a priestess.\This body...free of bones... burned of flesh...\This soul which has transmigrated into me...\suits me very well.\Why did you betray me, Inuyasha?!\You tell me to die again... why do you pity me? response:	Feel the heat in my hands...
context: We must be grateful.\I want the spiritual power of a priestess.\This body...free of bones... burned of flesh...\This soul which has transmigrated into me...\suits me very well.\Why did you betray me, Inuyasha?!\You tell me to die again... why do you pity me?\Feel the heat in my hands... response:	The heat of anger... of vengeance!
context: I want the spiritual power of a priestess.\This body...free of bones... burned of flesh...\This soul which has transmigrated into me...\suits me very well.\Why did you betray me, Inuyasha?!\You tell me to die again... why do you pity me?\Feel the heat in my hands...\The heat of anger... of vengeance! response:	Kikyo!
context: This body...free of bones... burned of flesh...\This soul which has transmigrated into me...\suits me very well.\Why did you betray me, Inuyasha?!\You tell me to die again... why do you pity me?\Feel the heat in my hands...\The heat of anger... of vengeance!\Kikyo! response:	Priestess Kikyo!
context: This soul which has transmigrated into me...\suits me very well.\Why did you betray me, Inuyasha?!\You tell me to die again... why do you pity me?\Feel the heat in my hands...\The heat of anger... of vengeance!\Kikyo!\Priestess Kikyo! response:	Priestess Kikyo!
context: suits me very well.\Why did you betray me, Inuyasha?!\You tell me to die again... why do you pity me?\Feel the heat in my hands...\The heat of anger... of vengeance!\Kikyo!\Priestess Kikyo!\Priestess Kikyo! response:	Sayo...
context: Why did you betray me, Inuyasha?!\You tell me to die again... why do you pity me?\Feel the heat in my hands...\The heat of anger... of vengeance!\Kikyo!\Priestess Kikyo!\Priestess Kikyo!\Sayo... response:	Priestess Kikyo, you won't go anywhere, will you?
context: You tell me to die again... why do you pity me?\Feel the heat in my hands...\The heat of anger... of vengeance!\Kikyo!\Priestess Kikyo!\Priestess Kikyo!\Sayo...\Priestess Kikyo, you won't go anywhere, will you? response:	Sayo, you like me?
context: Feel the heat in my hands...\The heat of anger... of vengeance!\Kikyo!\Priestess Kikyo!\Priestess Kikyo!\Sayo...\Priestess Kikyo, you won't go anywhere, will you?\Sayo, you like me? response:	Uh-huh.
context: The heat of anger... of vengeance!\Kikyo!\Priestess Kikyo!\Priestess Kikyo!\Sayo...\Priestess Kikyo, you won't go anywhere, will you?\Sayo, you like me?\Uh-huh. response:	Thank you.
context: Kikyo!\Priestess Kikyo!\Priestess Kikyo!\Sayo...\Priestess Kikyo, you won't go anywhere, will you?\Sayo, you like me?\Uh-huh.\Thank you. response:	You are dear to me, too... like a little sister.
context: Priestess Kikyo!\Priestess Kikyo!\Sayo...\Priestess Kikyo, you won't go anywhere, will you?\Sayo, you like me?\Uh-huh.\Thank you.\You are dear to me, too... like a little sister. response:	Really?
context: Priestess Kikyo!\Sayo...\Priestess Kikyo, you won't go anywhere, will you?\Sayo, you like me?\Uh-huh.\Thank you.\You are dear to me, too... like a little sister.\Really? response:	Yes.
context: Sayo...\Priestess Kikyo, you won't go anywhere, will you?\Sayo, you like me?\Uh-huh.\Thank you.\You are dear to me, too... like a little sister.\Really?\Yes. response:	I will live here.
context: Priestess Kikyo, you won't go anywhere, will you?\Sayo, you like me?\Uh-huh.\Thank you.\You are dear to me, too... like a little sister.\Really?\Yes.\I will live here. response:	Here in this village.
context: Sayo, you like me?\Uh-huh.\Thank you.\You are dear to me, too... like a little sister.\Really?\Yes.\I will live here.\Here in this village. response:	I can do that...
context: Uh-huh.\Thank you.\You are dear to me, too... like a little sister.\Really?\Yes.\I will live here.\Here in this village.\I can do that... response:	However, is it not allowed?
context: Thank you.\You are dear to me, too... like a little sister.\Really?\Yes.\I will live here.\Here in this village.\I can do that...\However, is it not allowed? response:	Nothing out of the ordinary outside.
context: You are dear to me, too... like a little sister.\Really?\Yes.\I will live here.\Here in this village.\I can do that...\However, is it not allowed?\Nothing out of the ordinary outside. response:	So how's the deceased?
context: Really?\Yes.\I will live here.\Here in this village.\I can do that...\However, is it not allowed?\Nothing out of the ordinary outside.\So how's the deceased? response:	Hmm... nothing unusual.
context: Yes.\I will live here.\Here in this village.\I can do that...\However, is it not allowed?\Nothing out of the ordinary outside.\So how's the deceased?\Hmm... nothing unusual. response:	I see...
context: I will live here.\Here in this village.\I can do that...\However, is it not allowed?\Nothing out of the ordinary outside.\So how's the deceased?\Hmm... nothing unusual.\I see... response:	Where's Miroku?
context: Here in this village.\I can do that...\However, is it not allowed?\Nothing out of the ordinary outside.\So how's the deceased?\Hmm... nothing unusual.\I see...\Where's Miroku? response:	There's another princess here.
context: I can do that...\However, is it not allowed?\Nothing out of the ordinary outside.\So how's the deceased?\Hmm... nothing unusual.\I see...\Where's Miroku?\There's another princess here. response:	He was worried about her.
context: However, is it not allowed?\Nothing out of the ordinary outside.\So how's the deceased?\Hmm... nothing unusual.\I see...\Where's Miroku?\There's another princess here.\He was worried about her. response:	What?!
context: Nothing out of the ordinary outside.\So how's the deceased?\Hmm... nothing unusual.\I see...\Where's Miroku?\There's another princess here.\He was worried about her.\What?! response:	The younger princess is so terrified.
context: So how's the deceased?\Hmm... nothing unusual.\I see...\Where's Miroku?\There's another princess here.\He was worried about her.\What?!\The younger princess is so terrified. response:	Please leave it to me.
context: Hmm... nothing unusual.\I see...\Where's Miroku?\There's another princess here.\He was worried about her.\What?!\The younger princess is so terrified.\Please leave it to me. response:	The younger sister of the late princess must also be beautiful.
context: I see...\Where's Miroku?\There's another princess here.\He was worried about her.\What?!\The younger princess is so terrified.\Please leave it to me.\The younger sister of the late princess must also be beautiful. response:	Err... never mind.
context: Where's Miroku?\There's another princess here.\He was worried about her.\What?!\The younger princess is so terrified.\Please leave it to me.\The younger sister of the late princess must also be beautiful.\Err... never mind. response:	Miroku... Am I gonna protect that princess, too?
context: There's another princess here.\He was worried about her.\What?!\The younger princess is so terrified.\Please leave it to me.\The younger sister of the late princess must also be beautiful.\Err... never mind.\Miroku... Am I gonna protect that princess, too? response:	She may be nervous at our first meeting.
context: He was worried about her.\What?!\The younger princess is so terrified.\Please leave it to me.\The younger sister of the late princess must also be beautiful.\Err... never mind.\Miroku... Am I gonna protect that princess, too?\She may be nervous at our first meeting. response:	So will you transform or something?
context: What?!\The younger princess is so terrified.\Please leave it to me.\The younger sister of the late princess must also be beautiful.\Err... never mind.\Miroku... Am I gonna protect that princess, too?\She may be nervous at our first meeting.\So will you transform or something? response:	Transform?
context: The younger princess is so terrified.\Please leave it to me.\The younger sister of the late princess must also be beautiful.\Err... never mind.\Miroku... Am I gonna protect that princess, too?\She may be nervous at our first meeting.\So will you transform or something?\Transform? response:	So that she'll go something like, Oh, cute little fox!
context: Please leave it to me.\The younger sister of the late princess must also be beautiful.\Err... never mind.\Miroku... Am I gonna protect that princess, too?\She may be nervous at our first meeting.\So will you transform or something?\Transform?\So that she'll go something like, Oh, cute little fox! response:	What's that?!
context: The younger sister of the late princess must also be beautiful.\Err... never mind.\Miroku... Am I gonna protect that princess, too?\She may be nervous at our first meeting.\So will you transform or something?\Transform?\So that she'll go something like, Oh, cute little fox!\What's that?! response:	When you've grown up a little, you'll understand.
context: Err... never mind.\Miroku... Am I gonna protect that princess, too?\She may be nervous at our first meeting.\So will you transform or something?\Transform?\So that she'll go something like, Oh, cute little fox!\What's that?!\When you've grown up a little, you'll understand. response:	That guy... He's a monk!
context: Miroku... Am I gonna protect that princess, too?\She may be nervous at our first meeting.\So will you transform or something?\Transform?\So that she'll go something like, Oh, cute little fox!\What's that?!\When you've grown up a little, you'll understand.\That guy... He's a monk! response:	And since he acts like a saint, my hands're tied!
context: She may be nervous at our first meeting.\So will you transform or something?\Transform?\So that she'll go something like, Oh, cute little fox!\What's that?!\When you've grown up a little, you'll understand.\That guy... He's a monk!\And since he acts like a saint, my hands're tied! response:	W-what... Kagome?
context: So will you transform or something?\Transform?\So that she'll go something like, Oh, cute little fox!\What's that?!\When you've grown up a little, you'll understand.\That guy... He's a monk!\And since he acts like a saint, my hands're tied!\W-what... Kagome? response:	I'm afraid!
context: Transform?\So that she'll go something like, Oh, cute little fox!\What's that?!\When you've grown up a little, you'll understand.\That guy... He's a monk!\And since he acts like a saint, my hands're tied!\W-what... Kagome?\I'm afraid! response:	Like this princess... might suddenly move.
context: So that she'll go something like, Oh, cute little fox!\What's that?!\When you've grown up a little, you'll understand.\That guy... He's a monk!\And since he acts like a saint, my hands're tied!\W-what... Kagome?\I'm afraid!\Like this princess... might suddenly move. response:	Is that all?
context: What's that?!\When you've grown up a little, you'll understand.\That guy... He's a monk!\And since he acts like a saint, my hands're tied!\W-what... Kagome?\I'm afraid!\Like this princess... might suddenly move.\Is that all? response:	What do you mean?
context: When you've grown up a little, you'll understand.\That guy... He's a monk!\And since he acts like a saint, my hands're tied!\W-what... Kagome?\I'm afraid!\Like this princess... might suddenly move.\Is that all?\What do you mean? response:	Were... you... having dirty thoughts just now?
context: That guy... He's a monk!\And since he acts like a saint, my hands're tied!\W-what... Kagome?\I'm afraid!\Like this princess... might suddenly move.\Is that all?\What do you mean?\Were... you... having dirty thoughts just now? response:	S-stupid!
context: And since he acts like a saint, my hands're tied!\W-what... Kagome?\I'm afraid!\Like this princess... might suddenly move.\Is that all?\What do you mean?\Were... you... having dirty thoughts just now?\S-stupid! response:	That's'cuz you came cuddling up to me!
context: W-what... Kagome?\I'm afraid!\Like this princess... might suddenly move.\Is that all?\What do you mean?\Were... you... having dirty thoughts just now?\S-stupid!\That's'cuz you came cuddling up to me! response:	You were having thoughts!
context: I'm afraid!\Like this princess... might suddenly move.\Is that all?\What do you mean?\Were... you... having dirty thoughts just now?\S-stupid!\That's'cuz you came cuddling up to me!\You were having thoughts! response:	I was not!
context: Like this princess... might suddenly move.\Is that all?\What do you mean?\Were... you... having dirty thoughts just now?\S-stupid!\That's'cuz you came cuddling up to me!\You were having thoughts!\I was not! response:	You were!
context: Is that all?\What do you mean?\Were... you... having dirty thoughts just now?\S-stupid!\That's'cuz you came cuddling up to me!\You were having thoughts!\I was not!\You were! response:	We should go back now.
context: What do you mean?\Were... you... having dirty thoughts just now?\S-stupid!\That's'cuz you came cuddling up to me!\You were having thoughts!\I was not!\You were!\We should go back now. response:	I'm worried about the late princess' soul.
context: Were... you... having dirty thoughts just now?\S-stupid!\That's'cuz you came cuddling up to me!\You were having thoughts!\I was not!\You were!\We should go back now.\I'm worried about the late princess' soul. response:	Please don't go, Master Monk!
context: S-stupid!\That's'cuz you came cuddling up to me!\You were having thoughts!\I was not!\You were!\We should go back now.\I'm worried about the late princess' soul.\Please don't go, Master Monk! response:	I'm so afraid!
context: That's'cuz you came cuddling up to me!\You were having thoughts!\I was not!\You were!\We should go back now.\I'm worried about the late princess' soul.\Please don't go, Master Monk!\I'm so afraid! response:	Oh dear! You are very safe here!
context: You were having thoughts!\I was not!\You were!\We should go back now.\I'm worried about the late princess' soul.\Please don't go, Master Monk!\I'm so afraid!\Oh dear! You are very safe here! response:	Meany!
