context: What's that? response:	Is this for some kind of advertising campaign?
context: Five, six, seven, eight!\June. The middle of the rainy season.\The Tokyo regionals for the National High School Karuta Championship!\Chihaya Furu\Verse 10\Exchange Hellos And Goodbyes\Dressing Room Please take turns\Players wear hakama for the Master and Queen matches. response:	You should get used to it now!
context: June. The middle of the rainy season.\The Tokyo regionals for the National High School Karuta Championship!\Chihaya Furu\Verse 10\Exchange Hellos And Goodbyes\Dressing Room Please take turns\Players wear hakama for the Master and Queen matches.\You should get used to it now! response:	No way!
context: The Tokyo regionals for the National High School Karuta Championship!\Chihaya Furu\Verse 10\Exchange Hellos And Goodbyes\Dressing Room Please take turns\Players wear hakama for the Master and Queen matches.\You should get used to it now!\No way! response:	I'm not trying to become a Master!
context: Chihaya Furu\Verse 10\Exchange Hellos And Goodbyes\Dressing Room Please take turns\Players wear hakama for the Master and Queen matches.\You should get used to it now!\No way!\I'm not trying to become a Master! response:	None of the other high schools are wearing them!
context: Verse 10\Exchange Hellos And Goodbyes\Dressing Room Please take turns\Players wear hakama for the Master and Queen matches.\You should get used to it now!\No way!\I'm not trying to become a Master!\None of the other high schools are wearing them! response:	What are you saying?!
context: Exchange Hellos And Goodbyes\Dressing Room Please take turns\Players wear hakama for the Master and Queen matches.\You should get used to it now!\No way!\I'm not trying to become a Master!\None of the other high schools are wearing them!\What are you saying?! response:	Both of you look much better now
context: Dressing Room Please take turns\Players wear hakama for the Master and Queen matches.\You should get used to it now!\No way!\I'm not trying to become a Master!\None of the other high schools are wearing them!\What are you saying?!\Both of you look much better now response:	than when you were wearing your school or gym uniforms.
context: Players wear hakama for the Master and Queen matches.\You should get used to it now!\No way!\I'm not trying to become a Master!\None of the other high schools are wearing them!\What are you saying?!\Both of you look much better now\than when you were wearing your school or gym uniforms. response:	You would fit in perfectly on a theater stage or at a children's festival!
context: You should get used to it now!\No way!\I'm not trying to become a Master!\None of the other high schools are wearing them!\What are you saying?!\Both of you look much better now\than when you were wearing your school or gym uniforms.\You would fit in perfectly on a theater stage or at a children's festival! response:	What?!
context: No way!\I'm not trying to become a Master!\None of the other high schools are wearing them!\What are you saying?!\Both of you look much better now\than when you were wearing your school or gym uniforms.\You would fit in perfectly on a theater stage or at a children's festival!\What?! response:	Traditional Clothing by Oe
context: I'm not trying to become a Master!\None of the other high schools are wearing them!\What are you saying?!\Both of you look much better now\than when you were wearing your school or gym uniforms.\You would fit in perfectly on a theater stage or at a children's festival!\What?!\Traditional Clothing by Oe response:	120 Years of Serving the Community
context: None of the other high schools are wearing them!\What are you saying?!\Both of you look much better now\than when you were wearing your school or gym uniforms.\You would fit in perfectly on a theater stage or at a children's festival!\What?!\Traditional Clothing by Oe\120 Years of Serving the Community response:	Oe-san's business sense... is really something.
context: What are you saying?!\Both of you look much better now\than when you were wearing your school or gym uniforms.\You would fit in perfectly on a theater stage or at a children's festival!\What?!\Traditional Clothing by Oe\120 Years of Serving the Community\Oe-san's business sense... is really something. response:	Chihaya, why are you just standing there?
context: Both of you look much better now\than when you were wearing your school or gym uniforms.\You would fit in perfectly on a theater stage or at a children's festival!\What?!\Traditional Clothing by Oe\120 Years of Serving the Community\Oe-san's business sense... is really something.\Chihaya, why are you just standing there? response:	The opening ceremony's about to start.
context: than when you were wearing your school or gym uniforms.\You would fit in perfectly on a theater stage or at a children's festival!\What?!\Traditional Clothing by Oe\120 Years of Serving the Community\Oe-san's business sense... is really something.\Chihaya, why are you just standing there?\The opening ceremony's about to start. response:	Isn't this amazing, Taichi?
context: You would fit in perfectly on a theater stage or at a children's festival!\What?!\Traditional Clothing by Oe\120 Years of Serving the Community\Oe-san's business sense... is really something.\Chihaya, why are you just standing there?\The opening ceremony's about to start.\Isn't this amazing, Taichi? response:	Everybody here plays karuta!
context: What?!\Traditional Clothing by Oe\120 Years of Serving the Community\Oe-san's business sense... is really something.\Chihaya, why are you just standing there?\The opening ceremony's about to start.\Isn't this amazing, Taichi?\Everybody here plays karuta! response:	Everybody here is bonkers for karuta!
context: Traditional Clothing by Oe\120 Years of Serving the Community\Oe-san's business sense... is really something.\Chihaya, why are you just standing there?\The opening ceremony's about to start.\Isn't this amazing, Taichi?\Everybody here plays karuta!\Everybody here is bonkers for karuta! response:	Wait, you're being rude.
context: 120 Years of Serving the Community\Oe-san's business sense... is really something.\Chihaya, why are you just standing there?\The opening ceremony's about to start.\Isn't this amazing, Taichi?\Everybody here plays karuta!\Everybody here is bonkers for karuta!\Wait, you're being rude. response:	Okay! I need to text Arata!
context: Oe-san's business sense... is really something.\Chihaya, why are you just standing there?\The opening ceremony's about to start.\Isn't this amazing, Taichi?\Everybody here plays karuta!\Everybody here is bonkers for karuta!\Wait, you're being rude.\Okay! I need to text Arata! response:	You've been texting Arata a lot since your birthday.
context: Chihaya, why are you just standing there?\The opening ceremony's about to start.\Isn't this amazing, Taichi?\Everybody here plays karuta!\Everybody here is bonkers for karuta!\Wait, you're being rude.\Okay! I need to text Arata!\You've been texting Arata a lot since your birthday. response:	Does he reply?
context: The opening ceremony's about to start.\Isn't this amazing, Taichi?\Everybody here plays karuta!\Everybody here is bonkers for karuta!\Wait, you're being rude.\Okay! I need to text Arata!\You've been texting Arata a lot since your birthday.\Does he reply? response:	It's shocking how he never replies!
context: Isn't this amazing, Taichi?\Everybody here plays karuta!\Everybody here is bonkers for karuta!\Wait, you're being rude.\Okay! I need to text Arata!\You've been texting Arata a lot since your birthday.\Does he reply?\It's shocking how he never replies! response:	Huh?
context: Everybody here plays karuta!\Everybody here is bonkers for karuta!\Wait, you're being rude.\Okay! I need to text Arata!\You've been texting Arata a lot since your birthday.\Does he reply?\It's shocking how he never replies!\Huh? response:	I'm sending messages just in case.
context: Everybody here is bonkers for karuta!\Wait, you're being rude.\Okay! I need to text Arata!\You've been texting Arata a lot since your birthday.\Does he reply?\It's shocking how he never replies!\Huh?\I'm sending messages just in case. response:	But why did he text you instead of me?
context: Wait, you're being rude.\Okay! I need to text Arata!\You've been texting Arata a lot since your birthday.\Does he reply?\It's shocking how he never replies!\Huh?\I'm sending messages just in case.\But why did he text you instead of me? response:	I always put my number on my notes and letters,
context: Okay! I need to text Arata!\You've been texting Arata a lot since your birthday.\Does he reply?\It's shocking how he never replies!\Huh?\I'm sending messages just in case.\But why did he text you instead of me?\I always put my number on my notes and letters, response:	so he should know it.
context: You've been texting Arata a lot since your birthday.\Does he reply?\It's shocking how he never replies!\Huh?\I'm sending messages just in case.\But why did he text you instead of me?\I always put my number on my notes and letters,\so he should know it. response:	I can understand.
context: Does he reply?\It's shocking how he never replies!\Huh?\I'm sending messages just in case.\But why did he text you instead of me?\I always put my number on my notes and letters,\so he should know it.\I can understand. response:	Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata
context: It's shocking how he never replies!\Huh?\I'm sending messages just in case.\But why did he text you instead of me?\I always put my number on my notes and letters,\so he should know it.\I can understand.\Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata response:	We both feel that Chihaya...
context: Huh?\I'm sending messages just in case.\But why did he text you instead of me?\I always put my number on my notes and letters,\so he should know it.\I can understand.\Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata\We both feel that Chihaya... response:	What?
context: I'm sending messages just in case.\But why did he text you instead of me?\I always put my number on my notes and letters,\so he should know it.\I can understand.\Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata\We both feel that Chihaya...\What? response:	Sorry, don't take pictures.
context: But why did he text you instead of me?\I always put my number on my notes and letters,\so he should know it.\I can understand.\Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata\We both feel that Chihaya...\What?\Sorry, don't take pictures. response:	Sorry.
context: I always put my number on my notes and letters,\so he should know it.\I can understand.\Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata\We both feel that Chihaya...\What?\Sorry, don't take pictures.\Sorry. response:	Taichi's been acting strange lately.
context: so he should know it.\I can understand.\Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata\We both feel that Chihaya...\What?\Sorry, don't take pictures.\Sorry.\Taichi's been acting strange lately. response:	You always manage to stand out.
context: I can understand.\Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata\We both feel that Chihaya...\What?\Sorry, don't take pictures.\Sorry.\Taichi's been acting strange lately.\You always manage to stand out. response:	Huh?
context: Taichi, sorry about before. Tell Chihaya happy birthday for me. Wataya Arata\We both feel that Chihaya...\What?\Sorry, don't take pictures.\Sorry.\Taichi's been acting strange lately.\You always manage to stand out.\Huh? response:	I didn't expect to see you in the team tournament, Chihaya.
context: We both feel that Chihaya...\What?\Sorry, don't take pictures.\Sorry.\Taichi's been acting strange lately.\You always manage to stand out.\Huh?\I didn't expect to see you in the team tournament, Chihaya. response:	Hokuo
context: What?\Sorry, don't take pictures.\Sorry.\Taichi's been acting strange lately.\You always manage to stand out.\Huh?\I didn't expect to see you in the team tournament, Chihaya.\Hokuo response:	Oh! It's Retro-kun!
context: Sorry, don't take pictures.\Sorry.\Taichi's been acting strange lately.\You always manage to stand out.\Huh?\I didn't expect to see you in the team tournament, Chihaya.\Hokuo\Oh! It's Retro-kun! response:	Er, wait! You forgot about me for a moment there!
context: Sorry.\Taichi's been acting strange lately.\You always manage to stand out.\Huh?\I didn't expect to see you in the team tournament, Chihaya.\Hokuo\Oh! It's Retro-kun!\Er, wait! You forgot about me for a moment there! response:	I forgot, but then I remembered! Long time no see!
context: Taichi's been acting strange lately.\You always manage to stand out.\Huh?\I didn't expect to see you in the team tournament, Chihaya.\Hokuo\Oh! It's Retro-kun!\Er, wait! You forgot about me for a moment there!\I forgot, but then I remembered! Long time no see! response:	What are you saying?!
context: You always manage to stand out.\Huh?\I didn't expect to see you in the team tournament, Chihaya.\Hokuo\Oh! It's Retro-kun!\Er, wait! You forgot about me for a moment there!\I forgot, but then I remembered! Long time no see!\What are you saying?! response:	Your high school is in this tournament?
context: Huh?\I didn't expect to see you in the team tournament, Chihaya.\Hokuo\Oh! It's Retro-kun!\Er, wait! You forgot about me for a moment there!\I forgot, but then I remembered! Long time no see!\What are you saying?!\Your high school is in this tournament? response:	That makes us rivals!
context: I didn't expect to see you in the team tournament, Chihaya.\Hokuo\Oh! It's Retro-kun!\Er, wait! You forgot about me for a moment there!\I forgot, but then I remembered! Long time no see!\What are you saying?!\Your high school is in this tournament?\That makes us rivals! response:	Rivals?
context: Hokuo\Oh! It's Retro-kun!\Er, wait! You forgot about me for a moment there!\I forgot, but then I remembered! Long time no see!\What are you saying?!\Your high school is in this tournament?\That makes us rivals!\Rivals? response:	Don't you realize that you're just a new karuta club?
context: Oh! It's Retro-kun!\Er, wait! You forgot about me for a moment there!\I forgot, but then I remembered! Long time no see!\What are you saying?!\Your high school is in this tournament?\That makes us rivals!\Rivals?\Don't you realize that you're just a new karuta club? response:	Our Hokuo Academy is a karuta powerhouse
context: Er, wait! You forgot about me for a moment there!\I forgot, but then I remembered! Long time no see!\What are you saying?!\Your high school is in this tournament?\That makes us rivals!\Rivals?\Don't you realize that you're just a new karuta club?\Our Hokuo Academy is a karuta powerhouse response:	that's made the national tournament five years in a row.
context: I forgot, but then I remembered! Long time no see!\What are you saying?!\Your high school is in this tournament?\That makes us rivals!\Rivals?\Don't you realize that you're just a new karuta club?\Our Hokuo Academy is a karuta powerhouse\that's made the national tournament five years in a row. response:	Two of the eight members on the team are Class A.
context: What are you saying?!\Your high school is in this tournament?\That makes us rivals!\Rivals?\Don't you realize that you're just a new karuta club?\Our Hokuo Academy is a karuta powerhouse\that's made the national tournament five years in a row.\Two of the eight members on the team are Class A. response:	Huh?
context: Your high school is in this tournament?\That makes us rivals!\Rivals?\Don't you realize that you're just a new karuta club?\Our Hokuo Academy is a karuta powerhouse\that's made the national tournament five years in a row.\Two of the eight members on the team are Class A.\Huh? response:	Our team is incredible!
context: That makes us rivals!\Rivals?\Don't you realize that you're just a new karuta club?\Our Hokuo Academy is a karuta powerhouse\that's made the national tournament five years in a row.\Two of the eight members on the team are Class A.\Huh?\Our team is incredible! response:	Two members in Class A?
context: Rivals?\Don't you realize that you're just a new karuta club?\Our Hokuo Academy is a karuta powerhouse\that's made the national tournament five years in a row.\Two of the eight members on the team are Class A.\Huh?\Our team is incredible!\Two members in Class A? response:	And I might add that I'm performing very well for a first-year...
context: Don't you realize that you're just a new karuta club?\Our Hokuo Academy is a karuta powerhouse\that's made the national tournament five years in a row.\Two of the eight members on the team are Class A.\Huh?\Our team is incredible!\Two members in Class A?\And I might add that I'm performing very well for a first-year... response:	My team is just as amazing!
context: Our Hokuo Academy is a karuta powerhouse\that's made the national tournament five years in a row.\Two of the eight members on the team are Class A.\Huh?\Our team is incredible!\Two members in Class A?\And I might add that I'm performing very well for a first-year...\My team is just as amazing! response:	We'll blow you out of the water!
context: that's made the national tournament five years in a row.\Two of the eight members on the team are Class A.\Huh?\Our team is incredible!\Two members in Class A?\And I might add that I'm performing very well for a first-year...\My team is just as amazing!\We'll blow you out of the water! response:	What are you saying?!
context: Two of the eight members on the team are Class A.\Huh?\Our team is incredible!\Two members in Class A?\And I might add that I'm performing very well for a first-year...\My team is just as amazing!\We'll blow you out of the water!\What are you saying?! response:	What do we do?
context: Huh?\Our team is incredible!\Two members in Class A?\And I might add that I'm performing very well for a first-year...\My team is just as amazing!\We'll blow you out of the water!\What are you saying?!\What do we do? response:	I knew this would be difficult.
context: Our team is incredible!\Two members in Class A?\And I might add that I'm performing very well for a first-year...\My team is just as amazing!\We'll blow you out of the water!\What are you saying?!\What do we do?\I knew this would be difficult. response:	Only one team will make it to Omi Jingu!
context: Two members in Class A?\And I might add that I'm performing very well for a first-year...\My team is just as amazing!\We'll blow you out of the water!\What are you saying?!\What do we do?\I knew this would be difficult.\Only one team will make it to Omi Jingu! response:	Oh, Chihaya-chan!
context: And I might add that I'm performing very well for a first-year...\My team is just as amazing!\We'll blow you out of the water!\What are you saying?!\What do we do?\I knew this would be difficult.\Only one team will make it to Omi Jingu!\Oh, Chihaya-chan! response:	Kana-chan!
context: My team is just as amazing!\We'll blow you out of the water!\What are you saying?!\What do we do?\I knew this would be difficult.\Only one team will make it to Omi Jingu!\Oh, Chihaya-chan!\Kana-chan! response:	That won't do, Chihaya-chan!
context: We'll blow you out of the water!\What are you saying?!\What do we do?\I knew this would be difficult.\Only one team will make it to Omi Jingu!\Oh, Chihaya-chan!\Kana-chan!\That won't do, Chihaya-chan! response:	Huh?
context: What are you saying?!\What do we do?\I knew this would be difficult.\Only one team will make it to Omi Jingu!\Oh, Chihaya-chan!\Kana-chan!\That won't do, Chihaya-chan!\Huh? response:	A woman must always move with grace,
context: What do we do?\I knew this would be difficult.\Only one team will make it to Omi Jingu!\Oh, Chihaya-chan!\Kana-chan!\That won't do, Chihaya-chan!\Huh?\A woman must always move with grace, response:	whether you're wiping a table or drying sheets.
context: I knew this would be difficult.\Only one team will make it to Omi Jingu!\Oh, Chihaya-chan!\Kana-chan!\That won't do, Chihaya-chan!\Huh?\A woman must always move with grace,\whether you're wiping a table or drying sheets. response:	Or in the fight of your life.
context: Only one team will make it to Omi Jingu!\Oh, Chihaya-chan!\Kana-chan!\That won't do, Chihaya-chan!\Huh?\A woman must always move with grace,\whether you're wiping a table or drying sheets.\Or in the fight of your life. response:	Twelve schools are participating.
context: Oh, Chihaya-chan!\Kana-chan!\That won't do, Chihaya-chan!\Huh?\A woman must always move with grace,\whether you're wiping a table or drying sheets.\Or in the fight of your life.\Twelve schools are participating. response:	There's a group stage, followed by the tournament.
context: Kana-chan!\That won't do, Chihaya-chan!\Huh?\A woman must always move with grace,\whether you're wiping a table or drying sheets.\Or in the fight of your life.\Twelve schools are participating.\There's a group stage, followed by the tournament. response:	At least we weren't placed in the same group as Hokuo.
context: That won't do, Chihaya-chan!\Huh?\A woman must always move with grace,\whether you're wiping a table or drying sheets.\Or in the fight of your life.\Twelve schools are participating.\There's a group stage, followed by the tournament.\At least we weren't placed in the same group as Hokuo. response:	We just need three people to win their matches for a victory.
context: Huh?\A woman must always move with grace,\whether you're wiping a table or drying sheets.\Or in the fight of your life.\Twelve schools are participating.\There's a group stage, followed by the tournament.\At least we weren't placed in the same group as Hokuo.\We just need three people to win their matches for a victory. response:	I was able to survive that brutal camp,
context: A woman must always move with grace,\whether you're wiping a table or drying sheets.\Or in the fight of your life.\Twelve schools are participating.\There's a group stage, followed by the tournament.\At least we weren't placed in the same group as Hokuo.\We just need three people to win their matches for a victory.\I was able to survive that brutal camp, response:	and I was up late last night practicing.
context: whether you're wiping a table or drying sheets.\Or in the fight of your life.\Twelve schools are participating.\There's a group stage, followed by the tournament.\At least we weren't placed in the same group as Hokuo.\We just need three people to win their matches for a victory.\I was able to survive that brutal camp,\and I was up late last night practicing. response:	I know that I've improved!
context: Or in the fight of your life.\Twelve schools are participating.\There's a group stage, followed by the tournament.\At least we weren't placed in the same group as Hokuo.\We just need three people to win their matches for a victory.\I was able to survive that brutal camp,\and I was up late last night practicing.\I know that I've improved! response:	My love of classical poetry is greater than anyone else here!
context: Twelve schools are participating.\There's a group stage, followed by the tournament.\At least we weren't placed in the same group as Hokuo.\We just need three people to win their matches for a victory.\I was able to survive that brutal camp,\and I was up late last night practicing.\I know that I've improved!\My love of classical poetry is greater than anyone else here! response:	I want to win!
context: There's a group stage, followed by the tournament.\At least we weren't placed in the same group as Hokuo.\We just need three people to win their matches for a victory.\I was able to survive that brutal camp,\and I was up late last night practicing.\I know that I've improved!\My love of classical poetry is greater than anyone else here!\I want to win! response:	Win and go to the national tournament...
context: At least we weren't placed in the same group as Hokuo.\We just need three people to win their matches for a victory.\I was able to survive that brutal camp,\and I was up late last night practicing.\I know that I've improved!\My love of classical poetry is greater than anyone else here!\I want to win!\Win and go to the national tournament... response:	With this team!
context: We just need three people to win their matches for a victory.\I was able to survive that brutal camp,\and I was up late last night practicing.\I know that I've improved!\My love of classical poetry is greater than anyone else here!\I want to win!\Win and go to the national tournament...\With this team! response:	Naniwa Bay, now the flower blooms, but for winter
context: I was able to survive that brutal camp,\and I was up late last night practicing.\I know that I've improved!\My love of classical poetry is greater than anyone else here!\I want to win!\Win and go to the national tournament...\With this team!\Naniwa Bay, now the flower blooms, but for winter response:	Isn't that school a little too into this?
context: and I was up late last night practicing.\I know that I've improved!\My love of classical poetry is greater than anyone else here!\I want to win!\Win and go to the national tournament...\With this team!\Naniwa Bay, now the flower blooms, but for winter\Isn't that school a little too into this? response:	Here comes spring, now the flower blooms
context: I know that I've improved!\My love of classical poetry is greater than anyone else here!\I want to win!\Win and go to the national tournament...\With this team!\Naniwa Bay, now the flower blooms, but for winter\Isn't that school a little too into this?\Here comes spring, now the flower blooms response:	I heard one of them say,
context: My love of classical poetry is greater than anyone else here!\I want to win!\Win and go to the national tournament...\With this team!\Naniwa Bay, now the flower blooms, but for winter\Isn't that school a little too into this?\Here comes spring, now the flower blooms\I heard one of them say, response:	players wear hakama for the Master and Queen matches,
context: I want to win!\Win and go to the national tournament...\With this team!\Naniwa Bay, now the flower blooms, but for winter\Isn't that school a little too into this?\Here comes spring, now the flower blooms\I heard one of them say,\players wear hakama for the Master and Queen matches, response:	so you should get used to it now.
context: Win and go to the national tournament...\With this team!\Naniwa Bay, now the flower blooms, but for winter\Isn't that school a little too into this?\Here comes spring, now the flower blooms\I heard one of them say,\players wear hakama for the Master and Queen matches,\so you should get used to it now. response:	Wait, that's impossible.
context: With this team!\Naniwa Bay, now the flower blooms, but for winter\Isn't that school a little too into this?\Here comes spring, now the flower blooms\I heard one of them say,\players wear hakama for the Master and Queen matches,\so you should get used to it now.\Wait, that's impossible. response:	Here comes spring, now the flower blooms
context: Naniwa Bay, now the flower blooms, but for winter\Isn't that school a little too into this?\Here comes spring, now the flower blooms\I heard one of them say,\players wear hakama for the Master and Queen matches,\so you should get used to it now.\Wait, that's impossible.\Here comes spring, now the flower blooms response:	They wouldn't say that if they knew
context: Isn't that school a little too into this?\Here comes spring, now the flower blooms\I heard one of them say,\players wear hakama for the Master and Queen matches,\so you should get used to it now.\Wait, that's impossible.\Here comes spring, now the flower blooms\They wouldn't say that if they knew response:	how strong the current Queen is.
context: Here comes spring, now the flower blooms\I heard one of them say,\players wear hakama for the Master and Queen matches,\so you should get used to it now.\Wait, that's impossible.\Here comes spring, now the flower blooms\They wouldn't say that if they knew\how strong the current Queen is. response:	The sky is the road home for the holy maidens,
context: I heard one of them say,\players wear hakama for the Master and Queen matches,\so you should get used to it now.\Wait, that's impossible.\Here comes spring, now the flower blooms\They wouldn't say that if they knew\how strong the current Queen is.\The sky is the road home for the holy maidens, response:	Nice!
context: players wear hakama for the Master and Queen matches,\so you should get used to it now.\Wait, that's impossible.\Here comes spring, now the flower blooms\They wouldn't say that if they knew\how strong the current Queen is.\The sky is the road home for the holy maidens,\Nice! response:	Keep it up!
context: so you should get used to it now.\Wait, that's impossible.\Here comes spring, now the flower blooms\They wouldn't say that if they knew\how strong the current Queen is.\The sky is the road home for the holy maidens,\Nice!\Keep it up! response:	Okay!
context: Wait, that's impossible.\Here comes spring, now the flower blooms\They wouldn't say that if they knew\how strong the current Queen is.\The sky is the road home for the holy maidens,\Nice!\Keep it up!\Okay! response:	Oops. I need to be graceful.
context: Here comes spring, now the flower blooms\They wouldn't say that if they knew\how strong the current Queen is.\The sky is the road home for the holy maidens,\Nice!\Keep it up!\Okay!\Oops. I need to be graceful. response:	may the wind bring clouds to extend their stay
context: They wouldn't say that if they knew\how strong the current Queen is.\The sky is the road home for the holy maidens,\Nice!\Keep it up!\Okay!\Oops. I need to be graceful.\may the wind bring clouds to extend their stay response:	The hazy early morning mist over the Kawagiri River
context: how strong the current Queen is.\The sky is the road home for the holy maidens,\Nice!\Keep it up!\Okay!\Oops. I need to be graceful.\may the wind bring clouds to extend their stay\The hazy early morning mist over the Kawagiri River response:	but from the crystal white snow of Yoshino
context: The sky is the road home for the holy maidens,\Nice!\Keep it up!\Okay!\Oops. I need to be graceful.\may the wind bring clouds to extend their stay\The hazy early morning mist over the Kawagiri River\but from the crystal white snow of Yoshino response:	Shoot! This is the wrong card!
context: Nice!\Keep it up!\Okay!\Oops. I need to be graceful.\may the wind bring clouds to extend their stay\The hazy early morning mist over the Kawagiri River\but from the crystal white snow of Yoshino\Shoot! This is the wrong card! response:	I knew coming in that The cards were
context: Keep it up!\Okay!\Oops. I need to be graceful.\may the wind bring clouds to extend their stay\The hazy early morning mist over the Kawagiri River\but from the crystal white snow of Yoshino\Shoot! This is the wrong card!\I knew coming in that The cards were response:	the ones people usually mix up.
context: Okay!\Oops. I need to be graceful.\may the wind bring clouds to extend their stay\The hazy early morning mist over the Kawagiri River\but from the crystal white snow of Yoshino\Shoot! This is the wrong card!\I knew coming in that The cards were\the ones people usually mix up. response:	No matter where I stand on the shores of Tago,
context: Oops. I need to be graceful.\may the wind bring clouds to extend their stay\The hazy early morning mist over the Kawagiri River\but from the crystal white snow of Yoshino\Shoot! This is the wrong card!\I knew coming in that The cards were\the ones people usually mix up.\No matter where I stand on the shores of Tago, response:	Calm down.
context: may the wind bring clouds to extend their stay\The hazy early morning mist over the Kawagiri River\but from the crystal white snow of Yoshino\Shoot! This is the wrong card!\I knew coming in that The cards were\the ones people usually mix up.\No matter where I stand on the shores of Tago,\Calm down. response:	The match has just started.
context: The hazy early morning mist over the Kawagiri River\but from the crystal white snow of Yoshino\Shoot! This is the wrong card!\I knew coming in that The cards were\the ones people usually mix up.\No matter where I stand on the shores of Tago,\Calm down.\The match has just started. response:	My own home is a retreat lying southeast of the capital
context: but from the crystal white snow of Yoshino\Shoot! This is the wrong card!\I knew coming in that The cards were\the ones people usually mix up.\No matter where I stand on the shores of Tago,\Calm down.\The match has just started.\My own home is a retreat lying southeast of the capital response:	I spent all that time practicing,
context: Shoot! This is the wrong card!\I knew coming in that The cards were\the ones people usually mix up.\No matter where I stand on the shores of Tago,\Calm down.\The match has just started.\My own home is a retreat lying southeast of the capital\I spent all that time practicing, response:	but I can't take any cards!
context: I knew coming in that The cards were\the ones people usually mix up.\No matter where I stand on the shores of Tago,\Calm down.\The match has just started.\My own home is a retreat lying southeast of the capital\I spent all that time practicing,\but I can't take any cards! response:	Group B Preliminaries
context: the ones people usually mix up.\No matter where I stand on the shores of Tago,\Calm down.\The match has just started.\My own home is a retreat lying southeast of the capital\I spent all that time practicing,\but I can't take any cards!\Group B Preliminaries response:	Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy
context: No matter where I stand on the shores of Tago,\Calm down.\The match has just started.\My own home is a retreat lying southeast of the capital\I spent all that time practicing,\but I can't take any cards!\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy response:	Yes! That's one win!
context: Calm down.\The match has just started.\My own home is a retreat lying southeast of the capital\I spent all that time practicing,\but I can't take any cards!\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Yes! That's one win! response:	Gloom
context: The match has just started.\My own home is a retreat lying southeast of the capital\I spent all that time practicing,\but I can't take any cards!\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Yes! That's one win!\Gloom response:	I'm guessing that Komano was up against Eikou's strongest player.
context: My own home is a retreat lying southeast of the capital\I spent all that time practicing,\but I can't take any cards!\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Yes! That's one win!\Gloom\I'm guessing that Komano was up against Eikou's strongest player. response:	Bad luck on your part.
