context: Hosu General Hospital response:	Two days since the Hosu incident,
context: The sports festival again?\He was caught by a villain and looked like he was about to cry, right?\What did you say?!\Did you already forget what I taught you?\Deal with them properly.\All right already!\You know, I wasn't caught by the villain back then,\I was thinking about how to defeat him. response:	It wasn't that I'd lost.
context: He was caught by a villain and looked like he was about to cry, right?\What did you say?!\Did you already forget what I taught you?\Deal with them properly.\All right already!\You know, I wasn't caught by the villain back then,\I was thinking about how to defeat him.\It wasn't that I'd lost. response:	I'm the man who'll become the number one hero!
context: What did you say?!\Did you already forget what I taught you?\Deal with them properly.\All right already!\You know, I wasn't caught by the villain back then,\I was thinking about how to defeat him.\It wasn't that I'd lost.\I'm the man who'll become the number one hero! response:	There's no reason for kids like you to worry about me-
context: Did you already forget what I taught you?\Deal with them properly.\All right already!\You know, I wasn't caught by the villain back then,\I was thinking about how to defeat him.\It wasn't that I'd lost.\I'm the man who'll become the number one hero!\There's no reason for kids like you to worry about me- response:	He's too proud.
context: Deal with them properly.\All right already!\You know, I wasn't caught by the villain back then,\I was thinking about how to defeat him.\It wasn't that I'd lost.\I'm the man who'll become the number one hero!\There's no reason for kids like you to worry about me-\He's too proud. response:	It's fine for those strong feelings to be aimed at becoming a hero,
context: All right already!\You know, I wasn't caught by the villain back then,\I was thinking about how to defeat him.\It wasn't that I'd lost.\I'm the man who'll become the number one hero!\There's no reason for kids like you to worry about me-\He's too proud.\It's fine for those strong feelings to be aimed at becoming a hero, response:	but if that is no longer the case...
context: You know, I wasn't caught by the villain back then,\I was thinking about how to defeat him.\It wasn't that I'd lost.\I'm the man who'll become the number one hero!\There's no reason for kids like you to worry about me-\He's too proud.\It's fine for those strong feelings to be aimed at becoming a hero,\but if that is no longer the case... response:	Now, what shall I do with you?
context: I was thinking about how to defeat him.\It wasn't that I'd lost.\I'm the man who'll become the number one hero!\There's no reason for kids like you to worry about me-\He's too proud.\It's fine for those strong feelings to be aimed at becoming a hero,\but if that is no longer the case...\Now, what shall I do with you? response:	Pro Hero - Gunhead
context: It wasn't that I'd lost.\I'm the man who'll become the number one hero!\There's no reason for kids like you to worry about me-\He's too proud.\It's fine for those strong feelings to be aimed at becoming a hero,\but if that is no longer the case...\Now, what shall I do with you?\Pro Hero - Gunhead response:	How would you fight against an opponent with a knife?
context: I'm the man who'll become the number one hero!\There's no reason for kids like you to worry about me-\He's too proud.\It's fine for those strong feelings to be aimed at becoming a hero,\but if that is no longer the case...\Now, what shall I do with you?\Pro Hero - Gunhead\How would you fight against an opponent with a knife? response:	Uravity, can you try attacking me?
context: There's no reason for kids like you to worry about me-\He's too proud.\It's fine for those strong feelings to be aimed at becoming a hero,\but if that is no longer the case...\Now, what shall I do with you?\Pro Hero - Gunhead\How would you fight against an opponent with a knife?\Uravity, can you try attacking me? response:	You sure?
context: He's too proud.\It's fine for those strong feelings to be aimed at becoming a hero,\but if that is no longer the case...\Now, what shall I do with you?\Pro Hero - Gunhead\How would you fight against an opponent with a knife?\Uravity, can you try attacking me?\You sure? response:	You don't have to hold back.
context: It's fine for those strong feelings to be aimed at becoming a hero,\but if that is no longer the case...\Now, what shall I do with you?\Pro Hero - Gunhead\How would you fight against an opponent with a knife?\Uravity, can you try attacking me?\You sure?\You don't have to hold back. response:	Ochaco Uraraka - Quirk: Zero Gravity
context: but if that is no longer the case...\Now, what shall I do with you?\Pro Hero - Gunhead\How would you fight against an opponent with a knife?\Uravity, can you try attacking me?\You sure?\You don't have to hold back.\Ochaco Uraraka - Quirk: Zero Gravity response:	Then, here I come!
context: Now, what shall I do with you?\Pro Hero - Gunhead\How would you fight against an opponent with a knife?\Uravity, can you try attacking me?\You sure?\You don't have to hold back.\Ochaco Uraraka - Quirk: Zero Gravity\Then, here I come! response:	When someone's waving a knife at you, deal with it by keeping your distance.
context: Pro Hero - Gunhead\How would you fight against an opponent with a knife?\Uravity, can you try attacking me?\You sure?\You don't have to hold back.\Ochaco Uraraka - Quirk: Zero Gravity\Then, here I come!\When someone's waving a knife at you, deal with it by keeping your distance. response:	If they attack directly, use one leg as an axis to turn and dodge,
context: How would you fight against an opponent with a knife?\Uravity, can you try attacking me?\You sure?\You don't have to hold back.\Ochaco Uraraka - Quirk: Zero Gravity\Then, here I come!\When someone's waving a knife at you, deal with it by keeping your distance.\If they attack directly, use one leg as an axis to turn and dodge, response:	then grab their wrist and neck and the same time,
context: Uravity, can you try attacking me?\You sure?\You don't have to hold back.\Ochaco Uraraka - Quirk: Zero Gravity\Then, here I come!\When someone's waving a knife at you, deal with it by keeping your distance.\If they attack directly, use one leg as an axis to turn and dodge,\then grab their wrist and neck and the same time, response:	and then hold them down as you pull their wrist.
context: You sure?\You don't have to hold back.\Ochaco Uraraka - Quirk: Zero Gravity\Then, here I come!\When someone's waving a knife at you, deal with it by keeping your distance.\If they attack directly, use one leg as an axis to turn and dodge,\then grab their wrist and neck and the same time,\and then hold them down as you pull their wrist. response:	If you can twist their wrist to make them drop the knife
context: You don't have to hold back.\Ochaco Uraraka - Quirk: Zero Gravity\Then, here I come!\When someone's waving a knife at you, deal with it by keeping your distance.\If they attack directly, use one leg as an axis to turn and dodge,\then grab their wrist and neck and the same time,\and then hold them down as you pull their wrist.\If you can twist their wrist to make them drop the knife response:	and kick the knife far away, it'll be even more perfect.
context: Ochaco Uraraka - Quirk: Zero Gravity\Then, here I come!\When someone's waving a knife at you, deal with it by keeping your distance.\If they attack directly, use one leg as an axis to turn and dodge,\then grab their wrist and neck and the same time,\and then hold them down as you pull their wrist.\If you can twist their wrist to make them drop the knife\and kick the knife far away, it'll be even more perfect. response:	He moved so smoothly, without hesitation.
context: Then, here I come!\When someone's waving a knife at you, deal with it by keeping your distance.\If they attack directly, use one leg as an axis to turn and dodge,\then grab their wrist and neck and the same time,\and then hold them down as you pull their wrist.\If you can twist their wrist to make them drop the knife\and kick the knife far away, it'll be even more perfect.\He moved so smoothly, without hesitation. response:	Gunhead Martial Arts...
context: When someone's waving a knife at you, deal with it by keeping your distance.\If they attack directly, use one leg as an axis to turn and dodge,\then grab their wrist and neck and the same time,\and then hold them down as you pull their wrist.\If you can twist their wrist to make them drop the knife\and kick the knife far away, it'll be even more perfect.\He moved so smoothly, without hesitation.\Gunhead Martial Arts... response:	So amazing!
context: If they attack directly, use one leg as an axis to turn and dodge,\then grab their wrist and neck and the same time,\and then hold them down as you pull their wrist.\If you can twist their wrist to make them drop the knife\and kick the knife far away, it'll be even more perfect.\He moved so smoothly, without hesitation.\Gunhead Martial Arts...\So amazing! response:	Even though he acts cute...
context: then grab their wrist and neck and the same time,\and then hold them down as you pull their wrist.\If you can twist their wrist to make them drop the knife\and kick the knife far away, it'll be even more perfect.\He moved so smoothly, without hesitation.\Gunhead Martial Arts...\So amazing!\Even though he acts cute... response:	This time, I'll hold the knife,'kay?
context: and then hold them down as you pull their wrist.\If you can twist their wrist to make them drop the knife\and kick the knife far away, it'll be even more perfect.\He moved so smoothly, without hesitation.\Gunhead Martial Arts...\So amazing!\Even though he acts cute...\This time, I'll hold the knife,'kay? response:	We'll keep repeating this until you can do it!
context: If you can twist their wrist to make them drop the knife\and kick the knife far away, it'll be even more perfect.\He moved so smoothly, without hesitation.\Gunhead Martial Arts...\So amazing!\Even though he acts cute...\This time, I'll hold the knife,'kay?\We'll keep repeating this until you can do it! response:	All right?
context: and kick the knife far away, it'll be even more perfect.\He moved so smoothly, without hesitation.\Gunhead Martial Arts...\So amazing!\Even though he acts cute...\This time, I'll hold the knife,'kay?\We'll keep repeating this until you can do it!\All right? response:	Yes, sir!
context: He moved so smoothly, without hesitation.\Gunhead Martial Arts...\So amazing!\Even though he acts cute...\This time, I'll hold the knife,'kay?\We'll keep repeating this until you can do it!\All right?\Yes, sir! response:	-Uwabami, can I have your autograph? -Can I take your picture?
context: Gunhead Martial Arts...\So amazing!\Even though he acts cute...\This time, I'll hold the knife,'kay?\We'll keep repeating this until you can do it!\All right?\Yes, sir!\-Uwabami, can I have your autograph? -Can I take your picture? response:	Pro Hero - Uwabami
context: So amazing!\Even though he acts cute...\This time, I'll hold the knife,'kay?\We'll keep repeating this until you can do it!\All right?\Yes, sir!\-Uwabami, can I have your autograph? -Can I take your picture?\Pro Hero - Uwabami response:	Look this way, please!
context: Even though he acts cute...\This time, I'll hold the knife,'kay?\We'll keep repeating this until you can do it!\All right?\Yes, sir!\-Uwabami, can I have your autograph? -Can I take your picture?\Pro Hero - Uwabami\Look this way, please! response:	Um...
context: This time, I'll hold the knife,'kay?\We'll keep repeating this until you can do it!\All right?\Yes, sir!\-Uwabami, can I have your autograph? -Can I take your picture?\Pro Hero - Uwabami\Look this way, please!\Um... response:	When you work diligently like this, you can eventually make big blossoms bloom.
context: We'll keep repeating this until you can do it!\All right?\Yes, sir!\-Uwabami, can I have your autograph? -Can I take your picture?\Pro Hero - Uwabami\Look this way, please!\Um...\When you work diligently like this, you can eventually make big blossoms bloom. response:	Momo Yaoyorozu - Quirk: Creation
context: All right?\Yes, sir!\-Uwabami, can I have your autograph? -Can I take your picture?\Pro Hero - Uwabami\Look this way, please!\Um...\When you work diligently like this, you can eventually make big blossoms bloom.\Momo Yaoyorozu - Quirk: Creation response:	It's like when an enka singer goes on provincial tours.
context: Yes, sir!\-Uwabami, can I have your autograph? -Can I take your picture?\Pro Hero - Uwabami\Look this way, please!\Um...\When you work diligently like this, you can eventually make big blossoms bloom.\Momo Yaoyorozu - Quirk: Creation\It's like when an enka singer goes on provincial tours. response:	Doesn't work diligently...
context: -Uwabami, can I have your autograph? -Can I take your picture?\Pro Hero - Uwabami\Look this way, please!\Um...\When you work diligently like this, you can eventually make big blossoms bloom.\Momo Yaoyorozu - Quirk: Creation\It's like when an enka singer goes on provincial tours.\Doesn't work diligently... response:	Itsuka Kendo - Quirk: Big Fist
context: Pro Hero - Uwabami\Look this way, please!\Um...\When you work diligently like this, you can eventually make big blossoms bloom.\Momo Yaoyorozu - Quirk: Creation\It's like when an enka singer goes on provincial tours.\Doesn't work diligently...\Itsuka Kendo - Quirk: Big Fist response:	Pro Hero - Fourth Kind
context: Look this way, please!\Um...\When you work diligently like this, you can eventually make big blossoms bloom.\Momo Yaoyorozu - Quirk: Creation\It's like when an enka singer goes on provincial tours.\Doesn't work diligently...\Itsuka Kendo - Quirk: Big Fist\Pro Hero - Fourth Kind response:	Contributing to the community is also an essential part of being a hero.
context: Um...\When you work diligently like this, you can eventually make big blossoms bloom.\Momo Yaoyorozu - Quirk: Creation\It's like when an enka singer goes on provincial tours.\Doesn't work diligently...\Itsuka Kendo - Quirk: Big Fist\Pro Hero - Fourth Kind\Contributing to the community is also an essential part of being a hero. response:	Don't drag your feet doing it!
context: When you work diligently like this, you can eventually make big blossoms bloom.\Momo Yaoyorozu - Quirk: Creation\It's like when an enka singer goes on provincial tours.\Doesn't work diligently...\Itsuka Kendo - Quirk: Big Fist\Pro Hero - Fourth Kind\Contributing to the community is also an essential part of being a hero.\Don't drag your feet doing it! response:	Do you understand?
context: Momo Yaoyorozu - Quirk: Creation\It's like when an enka singer goes on provincial tours.\Doesn't work diligently...\Itsuka Kendo - Quirk: Big Fist\Pro Hero - Fourth Kind\Contributing to the community is also an essential part of being a hero.\Don't drag your feet doing it!\Do you understand? response:	Yes, Mr. Fourth Kind...
context: It's like when an enka singer goes on provincial tours.\Doesn't work diligently...\Itsuka Kendo - Quirk: Big Fist\Pro Hero - Fourth Kind\Contributing to the community is also an essential part of being a hero.\Don't drag your feet doing it!\Do you understand?\Yes, Mr. Fourth Kind... response:	I can't hear you!
context: Doesn't work diligently...\Itsuka Kendo - Quirk: Big Fist\Pro Hero - Fourth Kind\Contributing to the community is also an essential part of being a hero.\Don't drag your feet doing it!\Do you understand?\Yes, Mr. Fourth Kind...\I can't hear you! response:	Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening
context: Itsuka Kendo - Quirk: Big Fist\Pro Hero - Fourth Kind\Contributing to the community is also an essential part of being a hero.\Don't drag your feet doing it!\Do you understand?\Yes, Mr. Fourth Kind...\I can't hear you!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening response:	Yes, Mr. Fourth Kind!
context: Pro Hero - Fourth Kind\Contributing to the community is also an essential part of being a hero.\Don't drag your feet doing it!\Do you understand?\Yes, Mr. Fourth Kind...\I can't hear you!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Yes, Mr. Fourth Kind! response:	Pro Hero - Death Arms
context: Contributing to the community is also an essential part of being a hero.\Don't drag your feet doing it!\Do you understand?\Yes, Mr. Fourth Kind...\I can't hear you!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Yes, Mr. Fourth Kind!\Pro Hero - Death Arms response:	How many hostages are there?
context: Don't drag your feet doing it!\Do you understand?\Yes, Mr. Fourth Kind...\I can't hear you!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Yes, Mr. Fourth Kind!\Pro Hero - Death Arms\How many hostages are there? response:	From what I can hear, there are two.
context: Do you understand?\Yes, Mr. Fourth Kind...\I can't hear you!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Yes, Mr. Fourth Kind!\Pro Hero - Death Arms\How many hostages are there?\From what I can hear, there are two. response:	Kyoka Jiro - Quirk: Earphone Jack
context: Yes, Mr. Fourth Kind...\I can't hear you!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Yes, Mr. Fourth Kind!\Pro Hero - Death Arms\How many hostages are there?\From what I can hear, there are two.\Kyoka Jiro - Quirk: Earphone Jack response:	All right. We're breaking in.
