context: We're Gonna Be *** response:	I know I know, let's play hide and seek!
context: Sh-Shut up!\Come on.\Whatever, little kids are pests.\Whoa, whoa, let's not destroy the environment.\Although if you're trying to relieve stress, it's okay.\It's never okay...\My RC copter's stuck.\RC? response:	Up there.
context: Come on.\Whatever, little kids are pests.\Whoa, whoa, let's not destroy the environment.\Although if you're trying to relieve stress, it's okay.\It's never okay...\My RC copter's stuck.\RC?\Up there. response:	My mom just bought it for me the other day.
context: Whatever, little kids are pests.\Whoa, whoa, let's not destroy the environment.\Although if you're trying to relieve stress, it's okay.\It's never okay...\My RC copter's stuck.\RC?\Up there.\My mom just bought it for me the other day. response:	Why'd you bring it to school?
context: Whoa, whoa, let's not destroy the environment.\Although if you're trying to relieve stress, it's okay.\It's never okay...\My RC copter's stuck.\RC?\Up there.\My mom just bought it for me the other day.\Why'd you bring it to school? response:	I don't have any friends.
context: Although if you're trying to relieve stress, it's okay.\It's never okay...\My RC copter's stuck.\RC?\Up there.\My mom just bought it for me the other day.\Why'd you bring it to school?\I don't have any friends. response:	O-Oh...
context: It's never okay...\My RC copter's stuck.\RC?\Up there.\My mom just bought it for me the other day.\Why'd you bring it to school?\I don't have any friends.\O-Oh... response:	I suppose it's up to me to come to the rescue then!
context: My RC copter's stuck.\RC?\Up there.\My mom just bought it for me the other day.\Why'd you bring it to school?\I don't have any friends.\O-Oh...\I suppose it's up to me to come to the rescue then! response:	But you'll have to be extra polite, call me -sama
context: RC?\Up there.\My mom just bought it for me the other day.\Why'd you bring it to school?\I don't have any friends.\O-Oh...\I suppose it's up to me to come to the rescue then!\But you'll have to be extra polite, call me -sama response:	and be my footstool for a d-
context: Up there.\My mom just bought it for me the other day.\Why'd you bring it to school?\I don't have any friends.\O-Oh...\I suppose it's up to me to come to the rescue then!\But you'll have to be extra polite, call me -sama\and be my footstool for a d- response:	Clam it! Go get my copter!
context: My mom just bought it for me the other day.\Why'd you bring it to school?\I don't have any friends.\O-Oh...\I suppose it's up to me to come to the rescue then!\But you'll have to be extra polite, call me -sama\and be my footstool for a d-\Clam it! Go get my copter! response:	Snotty little brat.
context: Why'd you bring it to school?\I don't have any friends.\O-Oh...\I suppose it's up to me to come to the rescue then!\But you'll have to be extra polite, call me -sama\and be my footstool for a d-\Clam it! Go get my copter!\Snotty little brat. response:	Someone doesn't get disciplined enough.
context: I don't have any friends.\O-Oh...\I suppose it's up to me to come to the rescue then!\But you'll have to be extra polite, call me -sama\and be my footstool for a d-\Clam it! Go get my copter!\Snotty little brat.\Someone doesn't get disciplined enough. response:	Sheesh...move it, would ya?
context: O-Oh...\I suppose it's up to me to come to the rescue then!\But you'll have to be extra polite, call me -sama\and be my footstool for a d-\Clam it! Go get my copter!\Snotty little brat.\Someone doesn't get disciplined enough.\Sheesh...move it, would ya? response:	What?
context: I suppose it's up to me to come to the rescue then!\But you'll have to be extra polite, call me -sama\and be my footstool for a d-\Clam it! Go get my copter!\Snotty little brat.\Someone doesn't get disciplined enough.\Sheesh...move it, would ya?\What? response:	You got it in pink!
context: But you'll have to be extra polite, call me -sama\and be my footstool for a d-\Clam it! Go get my copter!\Snotty little brat.\Someone doesn't get disciplined enough.\Sheesh...move it, would ya?\What?\You got it in pink! response:	You know about the Gachi Rangers?!
context: and be my footstool for a d-\Clam it! Go get my copter!\Snotty little brat.\Someone doesn't get disciplined enough.\Sheesh...move it, would ya?\What?\You got it in pink!\You know about the Gachi Rangers?! response:	Okay, got it. I'm gonna throw it to you, come catch-
context: Clam it! Go get my copter!\Snotty little brat.\Someone doesn't get disciplined enough.\Sheesh...move it, would ya?\What?\You got it in pink!\You know about the Gachi Rangers?!\Okay, got it. I'm gonna throw it to you, come catch- response:	I like the color.
context: Snotty little brat.\Someone doesn't get disciplined enough.\Sheesh...move it, would ya?\What?\You got it in pink!\You know about the Gachi Rangers?!\Okay, got it. I'm gonna throw it to you, come catch-\I like the color. response:	Wh-What're you doing?!
context: Someone doesn't get disciplined enough.\Sheesh...move it, would ya?\What?\You got it in pink!\You know about the Gachi Rangers?!\Okay, got it. I'm gonna throw it to you, come catch-\I like the color.\Wh-What're you doing?! response:	Then there's this...
context: Sheesh...move it, would ya?\What?\You got it in pink!\You know about the Gachi Rangers?!\Okay, got it. I'm gonna throw it to you, come catch-\I like the color.\Wh-What're you doing?!\Then there's this... response:	The Deluxe Gachi-Belt!
context: What?\You got it in pink!\You know about the Gachi Rangers?!\Okay, got it. I'm gonna throw it to you, come catch-\I like the color.\Wh-What're you doing?!\Then there's this...\The Deluxe Gachi-Belt! response:	Awesome! Holy cow! I never knew that existed!
context: You got it in pink!\You know about the Gachi Rangers?!\Okay, got it. I'm gonna throw it to you, come catch-\I like the color.\Wh-What're you doing?!\Then there's this...\The Deluxe Gachi-Belt!\Awesome! Holy cow! I never knew that existed! response:	For the love of... No!
context: You know about the Gachi Rangers?!\Okay, got it. I'm gonna throw it to you, come catch-\I like the color.\Wh-What're you doing?!\Then there's this...\The Deluxe Gachi-Belt!\Awesome! Holy cow! I never knew that existed!\For the love of... No! response:	You can touch it if you want.
context: Okay, got it. I'm gonna throw it to you, come catch-\I like the color.\Wh-What're you doing?!\Then there's this...\The Deluxe Gachi-Belt!\Awesome! Holy cow! I never knew that existed!\For the love of... No!\You can touch it if you want. response:	Stop, stop!
context: I like the color.\Wh-What're you doing?!\Then there's this...\The Deluxe Gachi-Belt!\Awesome! Holy cow! I never knew that existed!\For the love of... No!\You can touch it if you want.\Stop, stop! response:	Hey kid!
context: Wh-What're you doing?!\Then there's this...\The Deluxe Gachi-Belt!\Awesome! Holy cow! I never knew that existed!\For the love of... No!\You can touch it if you want.\Stop, stop!\Hey kid! response:	Now what? You're annoying.
context: Then there's this...\The Deluxe Gachi-Belt!\Awesome! Holy cow! I never knew that existed!\For the love of... No!\You can touch it if you want.\Stop, stop!\Hey kid!\Now what? You're annoying. response:	I can't climb down with one arm, catch your toy or I'll drop it!
context: The Deluxe Gachi-Belt!\Awesome! Holy cow! I never knew that existed!\For the love of... No!\You can touch it if you want.\Stop, stop!\Hey kid!\Now what? You're annoying.\I can't climb down with one arm, catch your toy or I'll drop it! response:	Whatever.
context: Awesome! Holy cow! I never knew that existed!\For the love of... No!\You can touch it if you want.\Stop, stop!\Hey kid!\Now what? You're annoying.\I can't climb down with one arm, catch your toy or I'll drop it!\Whatever. response:	If it breaks she'll just buy me another one.
context: For the love of... No!\You can touch it if you want.\Stop, stop!\Hey kid!\Now what? You're annoying.\I can't climb down with one arm, catch your toy or I'll drop it!\Whatever.\If it breaks she'll just buy me another one. response:	Wait, I wanna look some more!
context: You can touch it if you want.\Stop, stop!\Hey kid!\Now what? You're annoying.\I can't climb down with one arm, catch your toy or I'll drop it!\Whatever.\If it breaks she'll just buy me another one.\Wait, I wanna look some more! response:	I loathe people who don't value their possessions.
context: Stop, stop!\Hey kid!\Now what? You're annoying.\I can't climb down with one arm, catch your toy or I'll drop it!\Whatever.\If it breaks she'll just buy me another one.\Wait, I wanna look some more!\I loathe people who don't value their possessions. response:	Why? My mom buys me whatever I want.
context: Hey kid!\Now what? You're annoying.\I can't climb down with one arm, catch your toy or I'll drop it!\Whatever.\If it breaks she'll just buy me another one.\Wait, I wanna look some more!\I loathe people who don't value their possessions.\Why? My mom buys me whatever I want. response:	For all you know...she might never buy you anything
context: Now what? You're annoying.\I can't climb down with one arm, catch your toy or I'll drop it!\Whatever.\If it breaks she'll just buy me another one.\Wait, I wanna look some more!\I loathe people who don't value their possessions.\Why? My mom buys me whatever I want.\For all you know...she might never buy you anything response:	ever again.
context: I can't climb down with one arm, catch your toy or I'll drop it!\Whatever.\If it breaks she'll just buy me another one.\Wait, I wanna look some more!\I loathe people who don't value their possessions.\Why? My mom buys me whatever I want.\For all you know...she might never buy you anything\ever again. response:	That was close.
context: Whatever.\If it breaks she'll just buy me another one.\Wait, I wanna look some more!\I loathe people who don't value their possessions.\Why? My mom buys me whatever I want.\For all you know...she might never buy you anything\ever again.\That was close. response:	Treasure the gifts you're given.
context: If it breaks she'll just buy me another one.\Wait, I wanna look some more!\I loathe people who don't value their possessions.\Why? My mom buys me whatever I want.\For all you know...she might never buy you anything\ever again.\That was close.\Treasure the gifts you're given. response:	Y-Yeah.
context: Wait, I wanna look some more!\I loathe people who don't value their possessions.\Why? My mom buys me whatever I want.\For all you know...she might never buy you anything\ever again.\That was close.\Treasure the gifts you're given.\Y-Yeah. response:	Why don't you worry about ME?!
context: I loathe people who don't value their possessions.\Why? My mom buys me whatever I want.\For all you know...she might never buy you anything\ever again.\That was close.\Treasure the gifts you're given.\Y-Yeah.\Why don't you worry about ME?! response:	And you, how could you do that just to win over this little jerk,
context: Why? My mom buys me whatever I want.\For all you know...she might never buy you anything\ever again.\That was close.\Treasure the gifts you're given.\Y-Yeah.\Why don't you worry about ME?!\And you, how could you do that just to win over this little jerk, response:	you pervert!
context: For all you know...she might never buy you anything\ever again.\That was close.\Treasure the gifts you're given.\Y-Yeah.\Why don't you worry about ME?!\And you, how could you do that just to win over this little jerk,\you pervert! response:	I'm not saying anyth...pervert?
context: ever again.\That was close.\Treasure the gifts you're given.\Y-Yeah.\Why don't you worry about ME?!\And you, how could you do that just to win over this little jerk,\you pervert!\I'm not saying anyth...pervert? response:	I'm way sexier than this shrimpy little ghoul, aren't I?
context: That was close.\Treasure the gifts you're given.\Y-Yeah.\Why don't you worry about ME?!\And you, how could you do that just to win over this little jerk,\you pervert!\I'm not saying anyth...pervert?\I'm way sexier than this shrimpy little ghoul, aren't I? response:	L-Look...I'm better...yeah?
context: Treasure the gifts you're given.\Y-Yeah.\Why don't you worry about ME?!\And you, how could you do that just to win over this little jerk,\you pervert!\I'm not saying anyth...pervert?\I'm way sexier than this shrimpy little ghoul, aren't I?\L-Look...I'm better...yeah? response:	See?
context: Y-Yeah.\Why don't you worry about ME?!\And you, how could you do that just to win over this little jerk,\you pervert!\I'm not saying anyth...pervert?\I'm way sexier than this shrimpy little ghoul, aren't I?\L-Look...I'm better...yeah?\See? response:	M-Micchan-
context: Why don't you worry about ME?!\And you, how could you do that just to win over this little jerk,\you pervert!\I'm not saying anyth...pervert?\I'm way sexier than this shrimpy little ghoul, aren't I?\L-Look...I'm better...yeah?\See?\M-Micchan- response:	See. See!
context: And you, how could you do that just to win over this little jerk,\you pervert!\I'm not saying anyth...pervert?\I'm way sexier than this shrimpy little ghoul, aren't I?\L-Look...I'm better...yeah?\See?\M-Micchan-\See. See! response:	Ryuuta!
context: you pervert!\I'm not saying anyth...pervert?\I'm way sexier than this shrimpy little ghoul, aren't I?\L-Look...I'm better...yeah?\See?\M-Micchan-\See. See!\Ryuuta! response:	Sis!
context: I'm not saying anyth...pervert?\I'm way sexier than this shrimpy little ghoul, aren't I?\L-Look...I'm better...yeah?\See?\M-Micchan-\See. See!\Ryuuta!\Sis! response:	That girl showed me her panties!
context: I'm way sexier than this shrimpy little ghoul, aren't I?\L-Look...I'm better...yeah?\See?\M-Micchan-\See. See!\Ryuuta!\Sis!\That girl showed me her panties! response:	Uh...Umm...
context: L-Look...I'm better...yeah?\See?\M-Micchan-\See. See!\Ryuuta!\Sis!\That girl showed me her panties!\Uh...Umm... response:	Stay away from my little brother, you sick deviant freak!
context: See?\M-Micchan-\See. See!\Ryuuta!\Sis!\That girl showed me her panties!\Uh...Umm...\Stay away from my little brother, you sick deviant freak! response:	Come on, Ryuuta!
context: M-Micchan-\See. See!\Ryuuta!\Sis!\That girl showed me her panties!\Uh...Umm...\Stay away from my little brother, you sick deviant freak!\Come on, Ryuuta! response:	She wears the same underwear as Megu-chan from my class.
context: See. See!\Ryuuta!\Sis!\That girl showed me her panties!\Uh...Umm...\Stay away from my little brother, you sick deviant freak!\Come on, Ryuuta!\She wears the same underwear as Megu-chan from my class. response:	Mitsudomoe...
context: Ryuuta!\Sis!\That girl showed me her panties!\Uh...Umm...\Stay away from my little brother, you sick deviant freak!\Come on, Ryuuta!\She wears the same underwear as Megu-chan from my class.\Mitsudomoe... response:	A few days later
context: Sis!\That girl showed me her panties!\Uh...Umm...\Stay away from my little brother, you sick deviant freak!\Come on, Ryuuta!\She wears the same underwear as Megu-chan from my class.\Mitsudomoe...\A few days later response:	Y-You!
context: That girl showed me her panties!\Uh...Umm...\Stay away from my little brother, you sick deviant freak!\Come on, Ryuuta!\She wears the same underwear as Megu-chan from my class.\Mitsudomoe...\A few days later\Y-You! response:	What do you want?
context: Uh...Umm...\Stay away from my little brother, you sick deviant freak!\Come on, Ryuuta!\She wears the same underwear as Megu-chan from my class.\Mitsudomoe...\A few days later\Y-You!\What do you want? response:	Sugisaki's absent so I'm bringing you her handouts.
context: Stay away from my little brother, you sick deviant freak!\Come on, Ryuuta!\She wears the same underwear as Megu-chan from my class.\Mitsudomoe...\A few days later\Y-You!\What do you want?\Sugisaki's absent so I'm bringing you her handouts. response:	I don't want'em! Get lost!
context: Come on, Ryuuta!\She wears the same underwear as Megu-chan from my class.\Mitsudomoe...\A few days later\Y-You!\What do you want?\Sugisaki's absent so I'm bringing you her handouts.\I don't want'em! Get lost! response:	They're not for YOU, you're supposed to bring them to your sister!
context: She wears the same underwear as Megu-chan from my class.\Mitsudomoe...\A few days later\Y-You!\What do you want?\Sugisaki's absent so I'm bringing you her handouts.\I don't want'em! Get lost!\They're not for YOU, you're supposed to bring them to your sister! response:	I HATE kids!
context: Mitsudomoe...\A few days later\Y-You!\What do you want?\Sugisaki's absent so I'm bringing you her handouts.\I don't want'em! Get lost!\They're not for YOU, you're supposed to bring them to your sister!\I HATE kids! response:	Who's she?
context: A few days later\Y-You!\What do you want?\Sugisaki's absent so I'm bringing you her handouts.\I don't want'em! Get lost!\They're not for YOU, you're supposed to bring them to your sister!\I HATE kids!\Who's she? response:	She's in my sister's class.
context: Y-You!\What do you want?\Sugisaki's absent so I'm bringing you her handouts.\I don't want'em! Get lost!\They're not for YOU, you're supposed to bring them to your sister!\I HATE kids!\Who's she?\She's in my sister's class. response:	Make sure you stay far, far away from her.
context: What do you want?\Sugisaki's absent so I'm bringing you her handouts.\I don't want'em! Get lost!\They're not for YOU, you're supposed to bring them to your sister!\I HATE kids!\Who's she?\She's in my sister's class.\Make sure you stay far, far away from her. response:	That girl's a total nympho!
context: Sugisaki's absent so I'm bringing you her handouts.\I don't want'em! Get lost!\They're not for YOU, you're supposed to bring them to your sister!\I HATE kids!\Who's she?\She's in my sister's class.\Make sure you stay far, far away from her.\That girl's a total nympho! response:	That's what my sister says.
context: I don't want'em! Get lost!\They're not for YOU, you're supposed to bring them to your sister!\I HATE kids!\Who's she?\She's in my sister's class.\Make sure you stay far, far away from her.\That girl's a total nympho!\That's what my sister says. response:	Damn her...
context: They're not for YOU, you're supposed to bring them to your sister!\I HATE kids!\Who's she?\She's in my sister's class.\Make sure you stay far, far away from her.\That girl's a total nympho!\That's what my sister says.\Damn her... response:	What's a nympho?
context: I HATE kids!\Who's she?\She's in my sister's class.\Make sure you stay far, far away from her.\That girl's a total nympho!\That's what my sister says.\Damn her...\What's a nympho? response:	I dunno.
context: Who's she?\She's in my sister's class.\Make sure you stay far, far away from her.\That girl's a total nympho!\That's what my sister says.\Damn her...\What's a nympho?\I dunno. response:	Me neither.
context: She's in my sister's class.\Make sure you stay far, far away from her.\That girl's a total nympho!\That's what my sister says.\Damn her...\What's a nympho?\I dunno.\Me neither. response:	Hey, what's a nympho?
context: Make sure you stay far, far away from her.\That girl's a total nympho!\That's what my sister says.\Damn her...\What's a nympho?\I dunno.\Me neither.\Hey, what's a nympho? response:	You're asking ME?
context: That girl's a total nympho!\That's what my sister says.\Damn her...\What's a nympho?\I dunno.\Me neither.\Hey, what's a nympho?\You're asking ME? response:	You should really find a grownup-
context: That's what my sister says.\Damn her...\What's a nympho?\I dunno.\Me neither.\Hey, what's a nympho?\You're asking ME?\You should really find a grownup- response:	Sure, I'll tell you.
context: Damn her...\What's a nympho?\I dunno.\Me neither.\Hey, what's a nympho?\You're asking ME?\You should really find a grownup-\Sure, I'll tell you. response:	A-A nympho is...
context: What's a nympho?\I dunno.\Me neither.\Hey, what's a nympho?\You're asking ME?\You should really find a grownup-\Sure, I'll tell you.\A-A nympho is... response:	A class of woman who carries herself with
context: I dunno.\Me neither.\Hey, what's a nympho?\You're asking ME?\You should really find a grownup-\Sure, I'll tell you.\A-A nympho is...\A class of woman who carries herself with response:	a refined sense of grace and dignity.
context: Me neither.\Hey, what's a nympho?\You're asking ME?\You should really find a grownup-\Sure, I'll tell you.\A-A nympho is...\A class of woman who carries herself with\a refined sense of grace and dignity. response:	Like me!
context: Hey, what's a nympho?\You're asking ME?\You should really find a grownup-\Sure, I'll tell you.\A-A nympho is...\A class of woman who carries herself with\a refined sense of grace and dignity.\Like me! response:	Really? It's a good thing?
context: You're asking ME?\You should really find a grownup-\Sure, I'll tell you.\A-A nympho is...\A class of woman who carries herself with\a refined sense of grace and dignity.\Like me!\Really? It's a good thing? response:	O-Of course!
context: You should really find a grownup-\Sure, I'll tell you.\A-A nympho is...\A class of woman who carries herself with\a refined sense of grace and dignity.\Like me!\Really? It's a good thing?\O-Of course! response:	Better than the Prime Minister?
context: Sure, I'll tell you.\A-A nympho is...\A class of woman who carries herself with\a refined sense of grace and dignity.\Like me!\Really? It's a good thing?\O-Of course!\Better than the Prime Minister? response:	Yup!
context: A-A nympho is...\A class of woman who carries herself with\a refined sense of grace and dignity.\Like me!\Really? It's a good thing?\O-Of course!\Better than the Prime Minister?\Yup! response:	Wow!
context: A class of woman who carries herself with\a refined sense of grace and dignity.\Like me!\Really? It's a good thing?\O-Of course!\Better than the Prime Minister?\Yup!\Wow! response:	I thought it was an insult.
context: a refined sense of grace and dignity.\Like me!\Really? It's a good thing?\O-Of course!\Better than the Prime Minister?\Yup!\Wow!\I thought it was an insult. response:	Kids are so stupid.
context: Like me!\Really? It's a good thing?\O-Of course!\Better than the Prime Minister?\Yup!\Wow!\I thought it was an insult.\Kids are so stupid. response:	The Next Day
context: Really? It's a good thing?\O-Of course!\Better than the Prime Minister?\Yup!\Wow!\I thought it was an insult.\Kids are so stupid.\The Next Day response:	It's Miss nympho!
context: O-Of course!\Better than the Prime Minister?\Yup!\Wow!\I thought it was an insult.\Kids are so stupid.\The Next Day\It's Miss nympho! response:	Miss Nympho!
context: Better than the Prime Minister?\Yup!\Wow!\I thought it was an insult.\Kids are so stupid.\The Next Day\It's Miss nympho!\Miss Nympho! response:	Don't be so loud!
context: Yup!\Wow!\I thought it was an insult.\Kids are so stupid.\The Next Day\It's Miss nympho!\Miss Nympho!\Don't be so loud! response:	Listen, nympho means-
context: Wow!\I thought it was an insult.\Kids are so stupid.\The Next Day\It's Miss nympho!\Miss Nympho!\Don't be so loud!\Listen, nympho means- response:	You sure are pretty.
context: I thought it was an insult.\Kids are so stupid.\The Next Day\It's Miss nympho!\Miss Nympho!\Don't be so loud!\Listen, nympho means-\You sure are pretty. response:	P-Pretty?
context: Kids are so stupid.\The Next Day\It's Miss nympho!\Miss Nympho!\Don't be so loud!\Listen, nympho means-\You sure are pretty.\P-Pretty? response:	And fashionable, like a model!
context: The Next Day\It's Miss nympho!\Miss Nympho!\Don't be so loud!\Listen, nympho means-\You sure are pretty.\P-Pretty?\And fashionable, like a model! response:	Must be because she's a nympho!
context: It's Miss nympho!\Miss Nympho!\Don't be so loud!\Listen, nympho means-\You sure are pretty.\P-Pretty?\And fashionable, like a model!\Must be because she's a nympho! response:	Keep going!
context: Miss Nympho!\Don't be so loud!\Listen, nympho means-\You sure are pretty.\P-Pretty?\And fashionable, like a model!\Must be because she's a nympho!\Keep going! response:	Nympho!
context: Don't be so loud!\Listen, nympho means-\You sure are pretty.\P-Pretty?\And fashionable, like a model!\Must be because she's a nympho!\Keep going!\Nympho! response:	Nympho!
context: Listen, nympho means-\You sure are pretty.\P-Pretty?\And fashionable, like a model!\Must be because she's a nympho!\Keep going!\Nympho!\Nympho! response:	Not that!
context: You sure are pretty.\P-Pretty?\And fashionable, like a model!\Must be because she's a nympho!\Keep going!\Nympho!\Nympho!\Not that! response:	Super pretty!
context: P-Pretty?\And fashionable, like a model!\Must be because she's a nympho!\Keep going!\Nympho!\Nympho!\Not that!\Super pretty! response:	Super fashionable!
context: And fashionable, like a model!\Must be because she's a nympho!\Keep going!\Nympho!\Nympho!\Not that!\Super pretty!\Super fashionable! response:	I LOVE kids!
context: Must be because she's a nympho!\Keep going!\Nympho!\Nympho!\Not that!\Super pretty!\Super fashionable!\I LOVE kids! response:	I'm gonna be a nympho too!
context: Keep going!\Nympho!\Nympho!\Not that!\Super pretty!\Super fashionable!\I LOVE kids!\I'm gonna be a nympho too! response:	Me too!
context: Nympho!\Nympho!\Not that!\Super pretty!\Super fashionable!\I LOVE kids!\I'm gonna be a nympho too!\Me too! response:	You're too loud!
context: Nympho!\Not that!\Super pretty!\Super fashionable!\I LOVE kids!\I'm gonna be a nympho too!\Me too!\You're too loud! response:	Listen, the fact that I'm a nympho is a state secret.
context: Not that!\Super pretty!\Super fashionable!\I LOVE kids!\I'm gonna be a nympho too!\Me too!\You're too loud!\Listen, the fact that I'm a nympho is a state secret. response:	Don't tell a soul!
context: Super pretty!\Super fashionable!\I LOVE kids!\I'm gonna be a nympho too!\Me too!\You're too loud!\Listen, the fact that I'm a nympho is a state secret.\Don't tell a soul! response:	Okay...
context: Super fashionable!\I LOVE kids!\I'm gonna be a nympho too!\Me too!\You're too loud!\Listen, the fact that I'm a nympho is a state secret.\Don't tell a soul!\Okay... response:	Morning Futaba, Eldest!
context: I LOVE kids!\I'm gonna be a nympho too!\Me too!\You're too loud!\Listen, the fact that I'm a nympho is a state secret.\Don't tell a soul!\Okay...\Morning Futaba, Eldest! response:	She's not just the eldest, she's a nympho!
context: I'm gonna be a nympho too!\Me too!\You're too loud!\Listen, the fact that I'm a nympho is a state secret.\Don't tell a soul!\Okay...\Morning Futaba, Eldest!\She's not just the eldest, she's a nympho! response:	Did you hear a word I said?!
context: Me too!\You're too loud!\Listen, the fact that I'm a nympho is a state secret.\Don't tell a soul!\Okay...\Morning Futaba, Eldest!\She's not just the eldest, she's a nympho!\Did you hear a word I said?! response:	You're thinking of Futaba. She's just the Eldest.
context: You're too loud!\Listen, the fact that I'm a nympho is a state secret.\Don't tell a soul!\Okay...\Morning Futaba, Eldest!\She's not just the eldest, she's a nympho!\Did you hear a word I said?!\You're thinking of Futaba. She's just the Eldest. response:	He didn't hear what I said...
context: Listen, the fact that I'm a nympho is a state secret.\Don't tell a soul!\Okay...\Morning Futaba, Eldest!\She's not just the eldest, she's a nympho!\Did you hear a word I said?!\You're thinking of Futaba. She's just the Eldest.\He didn't hear what I said... response:	What do we do to become a nympho just like you?
context: Don't tell a soul!\Okay...\Morning Futaba, Eldest!\She's not just the eldest, she's a nympho!\Did you hear a word I said?!\You're thinking of Futaba. She's just the Eldest.\He didn't hear what I said...\What do we do to become a nympho just like you? response:	Umm...well...
context: Okay...\Morning Futaba, Eldest!\She's not just the eldest, she's a nympho!\Did you hear a word I said?!\You're thinking of Futaba. She's just the Eldest.\He didn't hear what I said...\What do we do to become a nympho just like you?\Umm...well... response:	Tell us, tell us!
context: Morning Futaba, Eldest!\She's not just the eldest, she's a nympho!\Did you hear a word I said?!\You're thinking of Futaba. She's just the Eldest.\He didn't hear what I said...\What do we do to become a nympho just like you?\Umm...well...\Tell us, tell us! response:	Always keep yourself clean and well groomed,
