context: I'm home. response:	It's just you?
context: She hasn't said anything since that, either.\What's she thinking?\I'll leave your dinner in the fridge.\Mom and Dad said they'll be back around 10, so eat it whenever.\Hey, are you listening?\Dammit, I want to play it already!\Damn you people who got it on the first day!\She's not even listening... response:	It's here!!
context: What's she thinking?\I'll leave your dinner in the fridge.\Mom and Dad said they'll be back around 10, so eat it whenever.\Hey, are you listening?\Dammit, I want to play it already!\Damn you people who got it on the first day!\She's not even listening...\It's here!! response:	It finally came!
context: I'll leave your dinner in the fridge.\Mom and Dad said they'll be back around 10, so eat it whenever.\Hey, are you listening?\Dammit, I want to play it already!\Damn you people who got it on the first day!\She's not even listening...\It's here!!\It finally came! response:	You're so late!
context: Mom and Dad said they'll be back around 10, so eat it whenever.\Hey, are you listening?\Dammit, I want to play it already!\Damn you people who got it on the first day!\She's not even listening...\It's here!!\It finally came!\You're so late! response:	I've been waiting so long for you!
context: Hey, are you listening?\Dammit, I want to play it already!\Damn you people who got it on the first day!\She's not even listening...\It's here!!\It finally came!\You're so late!\I've been waiting so long for you! response:	What is that?
context: Dammit, I want to play it already!\Damn you people who got it on the first day!\She's not even listening...\It's here!!\It finally came!\You're so late!\I've been waiting so long for you!\What is that? response:	An eroge.
context: Damn you people who got it on the first day!\She's not even listening...\It's here!!\It finally came!\You're so late!\I've been waiting so long for you!\What is that?\An eroge. response:	Ah, I see...
context: She's not even listening...\It's here!!\It finally came!\You're so late!\I've been waiting so long for you!\What is that?\An eroge.\Ah, I see... response:	-OP-
context: It's here!!\It finally came!\You're so late!\I've been waiting so long for you!\What is that?\An eroge.\Ah, I see...\-OP- response:	It's so slow...
context: It finally came!\You're so late!\I've been waiting so long for you!\What is that?\An eroge.\Ah, I see...\-OP-\It's so slow... response:	Game start!
context: You're so late!\I've been waiting so long for you!\What is that?\An eroge.\Ah, I see...\-OP-\It's so slow...\Game start! response:	Good morning.
context: I've been waiting so long for you!\What is that?\An eroge.\Ah, I see...\-OP-\It's so slow...\Game start!\Good morning. response:	It's almost time for lunch.
context: What is that?\An eroge.\Ah, I see...\-OP-\It's so slow...\Game start!\Good morning.\It's almost time for lunch. response:	Good morning...
context: An eroge.\Ah, I see...\-OP-\It's so slow...\Game start!\Good morning.\It's almost time for lunch.\Good morning... response:	This looks good!
context: Ah, I see...\-OP-\It's so slow...\Game start!\Good morning.\It's almost time for lunch.\Good morning...\This looks good! response:	Where's Mom?
context: -OP-\It's so slow...\Game start!\Good morning.\It's almost time for lunch.\Good morning...\This looks good!\Where's Mom? response:	Everyone went out.
context: It's so slow...\Game start!\Good morning.\It's almost time for lunch.\Good morning...\This looks good!\Where's Mom?\Everyone went out. response:	Then it'll be just the two of us all day?
context: Game start!\Good morning.\It's almost time for lunch.\Good morning...\This looks good!\Where's Mom?\Everyone went out.\Then it'll be just the two of us all day? response:	Yeah, I'll be home all today.
context: Good morning.\It's almost time for lunch.\Good morning...\This looks good!\Where's Mom?\Everyone went out.\Then it'll be just the two of us all day?\Yeah, I'll be home all today. response:	Well, maybe I should more often.
context: It's almost time for lunch.\Good morning...\This looks good!\Where's Mom?\Everyone went out.\Then it'll be just the two of us all day?\Yeah, I'll be home all today.\Well, maybe I should more often. response:	I wonder if she plans to go out anywhere...
context: Good morning...\This looks good!\Where's Mom?\Everyone went out.\Then it'll be just the two of us all day?\Yeah, I'll be home all today.\Well, maybe I should more often.\I wonder if she plans to go out anywhere... response:	You're my brother?
context: This looks good!\Where's Mom?\Everyone went out.\Then it'll be just the two of us all day?\Yeah, I'll be home all today.\Well, maybe I should more often.\I wonder if she plans to go out anywhere...\You're my brother? response:	You've got to be kidding me.
context: Where's Mom?\Everyone went out.\Then it'll be just the two of us all day?\Yeah, I'll be home all today.\Well, maybe I should more often.\I wonder if she plans to go out anywhere...\You're my brother?\You've got to be kidding me. response:	This is the worst...
context: Everyone went out.\Then it'll be just the two of us all day?\Yeah, I'll be home all today.\Well, maybe I should more often.\I wonder if she plans to go out anywhere...\You're my brother?\You've got to be kidding me.\This is the worst... response:	So this is Rinko-chan...
context: Then it'll be just the two of us all day?\Yeah, I'll be home all today.\Well, maybe I should more often.\I wonder if she plans to go out anywhere...\You're my brother?\You've got to be kidding me.\This is the worst...\So this is Rinko-chan... response:	Nice to meet you, Onii-chan.
context: Yeah, I'll be home all today.\Well, maybe I should more often.\I wonder if she plans to go out anywhere...\You're my brother?\You've got to be kidding me.\This is the worst...\So this is Rinko-chan...\Nice to meet you, Onii-chan. response:	And this is Miyabi-chan?
context: Well, maybe I should more often.\I wonder if she plans to go out anywhere...\You're my brother?\You've got to be kidding me.\This is the worst...\So this is Rinko-chan...\Nice to meet you, Onii-chan.\And this is Miyabi-chan? response:	This might be pretty good...
context: I wonder if she plans to go out anywhere...\You're my brother?\You've got to be kidding me.\This is the worst...\So this is Rinko-chan...\Nice to meet you, Onii-chan.\And this is Miyabi-chan?\This might be pretty good... response:	Which route should I do first?
context: You're my brother?\You've got to be kidding me.\This is the worst...\So this is Rinko-chan...\Nice to meet you, Onii-chan.\And this is Miyabi-chan?\This might be pretty good...\Which route should I do first? response:	Who is it now?
context: You've got to be kidding me.\This is the worst...\So this is Rinko-chan...\Nice to meet you, Onii-chan.\And this is Miyabi-chan?\This might be pretty good...\Which route should I do first?\Who is it now? response:	Oh, work...
context: This is the worst...\So this is Rinko-chan...\Nice to meet you, Onii-chan.\And this is Miyabi-chan?\This might be pretty good...\Which route should I do first?\Who is it now?\Oh, work... response:	Sensei, thanks for taking care of Ayase today.
context: So this is Rinko-chan...\Nice to meet you, Onii-chan.\And this is Miyabi-chan?\This might be pretty good...\Which route should I do first?\Who is it now?\Oh, work...\Sensei, thanks for taking care of Ayase today. response:	Oh, no problem.
context: Nice to meet you, Onii-chan.\And this is Miyabi-chan?\This might be pretty good...\Which route should I do first?\Who is it now?\Oh, work...\Sensei, thanks for taking care of Ayase today.\Oh, no problem. response:	I wonder what Kirino's doing?
context: And this is Miyabi-chan?\This might be pretty good...\Which route should I do first?\Who is it now?\Oh, work...\Sensei, thanks for taking care of Ayase today.\Oh, no problem.\I wonder what Kirino's doing? response:	The number you have called is unreachable because the phone is either out of service or turned off.
context: This might be pretty good...\Which route should I do first?\Who is it now?\Oh, work...\Sensei, thanks for taking care of Ayase today.\Oh, no problem.\I wonder what Kirino's doing?\The number you have called is unreachable because the phone is either out of service or turned off. response:	Oh, right...
context: Which route should I do first?\Who is it now?\Oh, work...\Sensei, thanks for taking care of Ayase today.\Oh, no problem.\I wonder what Kirino's doing?\The number you have called is unreachable because the phone is either out of service or turned off.\Oh, right... response:	She turns it off when she studies so she can concentrate.
context: Who is it now?\Oh, work...\Sensei, thanks for taking care of Ayase today.\Oh, no problem.\I wonder what Kirino's doing?\The number you have called is unreachable because the phone is either out of service or turned off.\Oh, right...\She turns it off when she studies so she can concentrate. response:	That's so Kirino.
context: Oh, work...\Sensei, thanks for taking care of Ayase today.\Oh, no problem.\I wonder what Kirino's doing?\The number you have called is unreachable because the phone is either out of service or turned off.\Oh, right...\She turns it off when she studies so she can concentrate.\That's so Kirino. response:	I should learn from her, too.
context: Sensei, thanks for taking care of Ayase today.\Oh, no problem.\I wonder what Kirino's doing?\The number you have called is unreachable because the phone is either out of service or turned off.\Oh, right...\She turns it off when she studies so she can concentrate.\That's so Kirino.\I should learn from her, too. response:	Rinko-chwan
context: Oh, no problem.\I wonder what Kirino's doing?\The number you have called is unreachable because the phone is either out of service or turned off.\Oh, right...\She turns it off when she studies so she can concentrate.\That's so Kirino.\I should learn from her, too.\Rinko-chwan response:	Gross! Don't act all friendly.
context: I wonder what Kirino's doing?\The number you have called is unreachable because the phone is either out of service or turned off.\Oh, right...\She turns it off when she studies so she can concentrate.\That's so Kirino.\I should learn from her, too.\Rinko-chwan\Gross! Don't act all friendly. response:	Come on, don't say that...
context: The number you have called is unreachable because the phone is either out of service or turned off.\Oh, right...\She turns it off when she studies so she can concentrate.\That's so Kirino.\I should learn from her, too.\Rinko-chwan\Gross! Don't act all friendly.\Come on, don't say that... response:	Shut up! You're so annoying!
context: Oh, right...\She turns it off when she studies so she can concentrate.\That's so Kirino.\I should learn from her, too.\Rinko-chwan\Gross! Don't act all friendly.\Come on, don't say that...\Shut up! You're so annoying! response:	Are you stupid?
context: She turns it off when she studies so she can concentrate.\That's so Kirino.\I should learn from her, too.\Rinko-chwan\Gross! Don't act all friendly.\Come on, don't say that...\Shut up! You're so annoying!\Are you stupid? response:	You're not mad even after all I've said?
context: That's so Kirino.\I should learn from her, too.\Rinko-chwan\Gross! Don't act all friendly.\Come on, don't say that...\Shut up! You're so annoying!\Are you stupid?\You're not mad even after all I've said? response:	What a pitiful guy.
context: I should learn from her, too.\Rinko-chwan\Gross! Don't act all friendly.\Come on, don't say that...\Shut up! You're so annoying!\Are you stupid?\You're not mad even after all I've said?\What a pitiful guy. response:	What do you want me to do?
context: Rinko-chwan\Gross! Don't act all friendly.\Come on, don't say that...\Shut up! You're so annoying!\Are you stupid?\You're not mad even after all I've said?\What a pitiful guy.\What do you want me to do? response:	You should really just die.
context: Gross! Don't act all friendly.\Come on, don't say that...\Shut up! You're so annoying!\Are you stupid?\You're not mad even after all I've said?\What a pitiful guy.\What do you want me to do?\You should really just die. response:	There's no point to someone like you living anyway, right?
context: Come on, don't say that...\Shut up! You're so annoying!\Are you stupid?\You're not mad even after all I've said?\What a pitiful guy.\What do you want me to do?\You should really just die.\There's no point to someone like you living anyway, right? response:	Th-This damn game...
context: Shut up! You're so annoying!\Are you stupid?\You're not mad even after all I've said?\What a pitiful guy.\What do you want me to do?\You should really just die.\There's no point to someone like you living anyway, right?\Th-This damn game... response:	You've got a pretty big mouth!
context: Are you stupid?\You're not mad even after all I've said?\What a pitiful guy.\What do you want me to do?\You should really just die.\There's no point to someone like you living anyway, right?\Th-This damn game...\You've got a pretty big mouth! response:	Who brought you up like that?
context: You're not mad even after all I've said?\What a pitiful guy.\What do you want me to do?\You should really just die.\There's no point to someone like you living anyway, right?\Th-This damn game...\You've got a pretty big mouth!\Who brought you up like that? response:	Aren't you the little sister?
context: What a pitiful guy.\What do you want me to do?\You should really just die.\There's no point to someone like you living anyway, right?\Th-This damn game...\You've got a pretty big mouth!\Who brought you up like that?\Aren't you the little sister? response:	Shut up! Who do you think you are?
context: What do you want me to do?\You should really just die.\There's no point to someone like you living anyway, right?\Th-This damn game...\You've got a pretty big mouth!\Who brought you up like that?\Aren't you the little sister?\Shut up! Who do you think you are? response:	Stop acting like you're my brother!
context: You should really just die.\There's no point to someone like you living anyway, right?\Th-This damn game...\You've got a pretty big mouth!\Who brought you up like that?\Aren't you the little sister?\Shut up! Who do you think you are?\Stop acting like you're my brother! response:	Wh-Who do you think you are?!
context: There's no point to someone like you living anyway, right?\Th-This damn game...\You've got a pretty big mouth!\Who brought you up like that?\Aren't you the little sister?\Shut up! Who do you think you are?\Stop acting like you're my brother!\Wh-Who do you think you are?! response:	Now you've gone too far!
context: Th-This damn game...\You've got a pretty big mouth!\Who brought you up like that?\Aren't you the little sister?\Shut up! Who do you think you are?\Stop acting like you're my brother!\Wh-Who do you think you are?!\Now you've gone too far! response:	I don't have to sit here and listen to you mouth off!
context: You've got a pretty big mouth!\Who brought you up like that?\Aren't you the little sister?\Shut up! Who do you think you are?\Stop acting like you're my brother!\Wh-Who do you think you are?!\Now you've gone too far!\I don't have to sit here and listen to you mouth off! response:	Who the heck is she arguing with?
context: Who brought you up like that?\Aren't you the little sister?\Shut up! Who do you think you are?\Stop acting like you're my brother!\Wh-Who do you think you are?!\Now you've gone too far!\I don't have to sit here and listen to you mouth off!\Who the heck is she arguing with? response:	Dammit!
context: Aren't you the little sister?\Shut up! Who do you think you are?\Stop acting like you're my brother!\Wh-Who do you think you are?!\Now you've gone too far!\I don't have to sit here and listen to you mouth off!\Who the heck is she arguing with?\Dammit! response:	Dammit! Dammit!
context: Shut up! Who do you think you are?\Stop acting like you're my brother!\Wh-Who do you think you are?!\Now you've gone too far!\I don't have to sit here and listen to you mouth off!\Who the heck is she arguing with?\Dammit!\Dammit! Dammit! response:	Dammit!
context: Stop acting like you're my brother!\Wh-Who do you think you are?!\Now you've gone too far!\I don't have to sit here and listen to you mouth off!\Who the heck is she arguing with?\Dammit!\Dammit! Dammit!\Dammit! response:	I'll do your route later!
context: Wh-Who do you think you are?!\Now you've gone too far!\I don't have to sit here and listen to you mouth off!\Who the heck is she arguing with?\Dammit!\Dammit! Dammit!\Dammit!\I'll do your route later! response:	An eroge?
context: Now you've gone too far!\I don't have to sit here and listen to you mouth off!\Who the heck is she arguing with?\Dammit!\Dammit! Dammit!\Dammit!\I'll do your route later!\An eroge? response:	What are you drawing?
context: I don't have to sit here and listen to you mouth off!\Who the heck is she arguing with?\Dammit!\Dammit! Dammit!\Dammit!\I'll do your route later!\An eroge?\What are you drawing? response:	Meruru!
context: Who the heck is she arguing with?\Dammit!\Dammit! Dammit!\Dammit!\I'll do your route later!\An eroge?\What are you drawing?\Meruru! response:	I see...
context: Dammit!\Dammit! Dammit!\Dammit!\I'll do your route later!\An eroge?\What are you drawing?\Meruru!\I see... response:	Do you want to watch Meruru on TV?
context: Dammit! Dammit!\Dammit!\I'll do your route later!\An eroge?\What are you drawing?\Meruru!\I see...\Do you want to watch Meruru on TV? response:	Yeah!
context: Dammit!\I'll do your route later!\An eroge?\What are you drawing?\Meruru!\I see...\Do you want to watch Meruru on TV?\Yeah! response:	I'm sorry, Onii-chan.
context: I'll do your route later!\An eroge?\What are you drawing?\Meruru!\I see...\Do you want to watch Meruru on TV?\Yeah!\I'm sorry, Onii-chan. response:	Please don't get mad at Rinko.
context: An eroge?\What are you drawing?\Meruru!\I see...\Do you want to watch Meruru on TV?\Yeah!\I'm sorry, Onii-chan.\Please don't get mad at Rinko. response:	I'm sure she feels happy deep down that she got a big brother too.
context: What are you drawing?\Meruru!\I see...\Do you want to watch Meruru on TV?\Yeah!\I'm sorry, Onii-chan.\Please don't get mad at Rinko.\I'm sure she feels happy deep down that she got a big brother too. response:	Really?
context: Meruru!\I see...\Do you want to watch Meruru on TV?\Yeah!\I'm sorry, Onii-chan.\Please don't get mad at Rinko.\I'm sure she feels happy deep down that she got a big brother too.\Really? response:	Yeah. Rinko's pretty shy about these things.
context: I see...\Do you want to watch Meruru on TV?\Yeah!\I'm sorry, Onii-chan.\Please don't get mad at Rinko.\I'm sure she feels happy deep down that she got a big brother too.\Really?\Yeah. Rinko's pretty shy about these things. response:	She's not even on that level.
context: Do you want to watch Meruru on TV?\Yeah!\I'm sorry, Onii-chan.\Please don't get mad at Rinko.\I'm sure she feels happy deep down that she got a big brother too.\Really?\Yeah. Rinko's pretty shy about these things.\She's not even on that level. response:	She's 100 tsun and 0 dere.
context: Yeah!\I'm sorry, Onii-chan.\Please don't get mad at Rinko.\I'm sure she feels happy deep down that she got a big brother too.\Really?\Yeah. Rinko's pretty shy about these things.\She's not even on that level.\She's 100 tsun and 0 dere. response:	I bet this character was just made to make fun of the players.
context: I'm sorry, Onii-chan.\Please don't get mad at Rinko.\I'm sure she feels happy deep down that she got a big brother too.\Really?\Yeah. Rinko's pretty shy about these things.\She's not even on that level.\She's 100 tsun and 0 dere.\I bet this character was just made to make fun of the players. response:	She's a ridiculous heroine.
context: Please don't get mad at Rinko.\I'm sure she feels happy deep down that she got a big brother too.\Really?\Yeah. Rinko's pretty shy about these things.\She's not even on that level.\She's 100 tsun and 0 dere.\I bet this character was just made to make fun of the players.\She's a ridiculous heroine. response:	Can't she show the slightest bit of a cute side?
context: I'm sure she feels happy deep down that she got a big brother too.\Really?\Yeah. Rinko's pretty shy about these things.\She's not even on that level.\She's 100 tsun and 0 dere.\I bet this character was just made to make fun of the players.\She's a ridiculous heroine.\Can't she show the slightest bit of a cute side? response:	You know, Onii-chan...
context: Really?\Yeah. Rinko's pretty shy about these things.\She's not even on that level.\She's 100 tsun and 0 dere.\I bet this character was just made to make fun of the players.\She's a ridiculous heroine.\Can't she show the slightest bit of a cute side?\You know, Onii-chan... response:	I'm really glad that I got to meet you.
context: Yeah. Rinko's pretty shy about these things.\She's not even on that level.\She's 100 tsun and 0 dere.\I bet this character was just made to make fun of the players.\She's a ridiculous heroine.\Can't she show the slightest bit of a cute side?\You know, Onii-chan...\I'm really glad that I got to meet you. response:	I'm sure Rinko feels the same way.
context: She's not even on that level.\She's 100 tsun and 0 dere.\I bet this character was just made to make fun of the players.\She's a ridiculous heroine.\Can't she show the slightest bit of a cute side?\You know, Onii-chan...\I'm really glad that I got to meet you.\I'm sure Rinko feels the same way. response:	I can tell, since we're twins.
context: She's 100 tsun and 0 dere.\I bet this character was just made to make fun of the players.\She's a ridiculous heroine.\Can't she show the slightest bit of a cute side?\You know, Onii-chan...\I'm really glad that I got to meet you.\I'm sure Rinko feels the same way.\I can tell, since we're twins. response:	I love you, Onii-chan!
context: I bet this character was just made to make fun of the players.\She's a ridiculous heroine.\Can't she show the slightest bit of a cute side?\You know, Onii-chan...\I'm really glad that I got to meet you.\I'm sure Rinko feels the same way.\I can tell, since we're twins.\I love you, Onii-chan! response:	I love you, Onii-chan!
context: She's a ridiculous heroine.\Can't she show the slightest bit of a cute side?\You know, Onii-chan...\I'm really glad that I got to meet you.\I'm sure Rinko feels the same way.\I can tell, since we're twins.\I love you, Onii-chan!\I love you, Onii-chan! response:	I love you, Onii-chan!
context: Can't she show the slightest bit of a cute side?\You know, Onii-chan...\I'm really glad that I got to meet you.\I'm sure Rinko feels the same way.\I can tell, since we're twins.\I love you, Onii-chan!\I love you, Onii-chan!\I love you, Onii-chan! response:	Oh man, oh man!
context: You know, Onii-chan...\I'm really glad that I got to meet you.\I'm sure Rinko feels the same way.\I can tell, since we're twins.\I love you, Onii-chan!\I love you, Onii-chan!\I love you, Onii-chan!\Oh man, oh man! response:	You're too cute, Miyabi-chan!
context: I'm really glad that I got to meet you.\I'm sure Rinko feels the same way.\I can tell, since we're twins.\I love you, Onii-chan!\I love you, Onii-chan!\I love you, Onii-chan!\Oh man, oh man!\You're too cute, Miyabi-chan! response:	Are you trying to make me fall for you?
context: I'm sure Rinko feels the same way.\I can tell, since we're twins.\I love you, Onii-chan!\I love you, Onii-chan!\I love you, Onii-chan!\Oh man, oh man!\You're too cute, Miyabi-chan!\Are you trying to make me fall for you? response:	I love you, Onii-chan!
context: I can tell, since we're twins.\I love you, Onii-chan!\I love you, Onii-chan!\I love you, Onii-chan!\Oh man, oh man!\You're too cute, Miyabi-chan!\Are you trying to make me fall for you?\I love you, Onii-chan! response:	This is a godly game!
context: I love you, Onii-chan!\I love you, Onii-chan!\I love you, Onii-chan!\Oh man, oh man!\You're too cute, Miyabi-chan!\Are you trying to make me fall for you?\I love you, Onii-chan!\This is a godly game! response:	What the hell is she doing?
context: I love you, Onii-chan!\I love you, Onii-chan!\Oh man, oh man!\You're too cute, Miyabi-chan!\Are you trying to make me fall for you?\I love you, Onii-chan!\This is a godly game!\What the hell is she doing? response:	Now I'm tired...
context: I love you, Onii-chan!\Oh man, oh man!\You're too cute, Miyabi-chan!\Are you trying to make me fall for you?\I love you, Onii-chan!\This is a godly game!\What the hell is she doing?\Now I'm tired... response:	We haven't even started!
context: Oh man, oh man!\You're too cute, Miyabi-chan!\Are you trying to make me fall for you?\I love you, Onii-chan!\This is a godly game!\What the hell is she doing?\Now I'm tired...\We haven't even started! response:	Go! Meteo Impact!
context: You're too cute, Miyabi-chan!\Are you trying to make me fall for you?\I love you, Onii-chan!\This is a godly game!\What the hell is she doing?\Now I'm tired...\We haven't even started!\Go! Meteo Impact! response:	Is it fun?
context: Are you trying to make me fall for you?\I love you, Onii-chan!\This is a godly game!\What the hell is she doing?\Now I'm tired...\We haven't even started!\Go! Meteo Impact!\Is it fun? response:	Yes!
context: I love you, Onii-chan!\This is a godly game!\What the hell is she doing?\Now I'm tired...\We haven't even started!\Go! Meteo Impact!\Is it fun?\Yes! response:	I see...
context: This is a godly game!\What the hell is she doing?\Now I'm tired...\We haven't even started!\Go! Meteo Impact!\Is it fun?\Yes!\I see... response:	Pomecha-kun, watch out!
context: What the hell is she doing?\Now I'm tired...\We haven't even started!\Go! Meteo Impact!\Is it fun?\Yes!\I see...\Pomecha-kun, watch out! response:	W-Why are you here?!
context: Now I'm tired...\We haven't even started!\Go! Meteo Impact!\Is it fun?\Yes!\I see...\Pomecha-kun, watch out!\W-Why are you here?! response:	That's my line!
context: We haven't even started!\Go! Meteo Impact!\Is it fun?\Yes!\I see...\Pomecha-kun, watch out!\W-Why are you here?!\That's my line! response:	I made a promise to go on a date with Miyabi-chan, so why are you here?!
context: Go! Meteo Impact!\Is it fun?\Yes!\I see...\Pomecha-kun, watch out!\W-Why are you here?!\That's my line!\I made a promise to go on a date with Miyabi-chan, so why are you here?! response:	No way, you too?
context: Is it fun?\Yes!\I see...\Pomecha-kun, watch out!\W-Why are you here?!\That's my line!\I made a promise to go on a date with Miyabi-chan, so why are you here?!\No way, you too? response:	Huh?
context: Yes!\I see...\Pomecha-kun, watch out!\W-Why are you here?!\That's my line!\I made a promise to go on a date with Miyabi-chan, so why are you here?!\No way, you too?\Huh? response:	D-Dammit, Miyabi tricked me!
context: I see...\Pomecha-kun, watch out!\W-Why are you here?!\That's my line!\I made a promise to go on a date with Miyabi-chan, so why are you here?!\No way, you too?\Huh?\D-Dammit, Miyabi tricked me! response:	What's with this plotline...
context: Pomecha-kun, watch out!\W-Why are you here?!\That's my line!\I made a promise to go on a date with Miyabi-chan, so why are you here?!\No way, you too?\Huh?\D-Dammit, Miyabi tricked me!\What's with this plotline... response:	Did I miss the branch point?
context: W-Why are you here?!\That's my line!\I made a promise to go on a date with Miyabi-chan, so why are you here?!\No way, you too?\Huh?\D-Dammit, Miyabi tricked me!\What's with this plotline...\Did I miss the branch point? response:	This one was straight to a bad end, so...
context: That's my line!\I made a promise to go on a date with Miyabi-chan, so why are you here?!\No way, you too?\Huh?\D-Dammit, Miyabi tricked me!\What's with this plotline...\Did I miss the branch point?\This one was straight to a bad end, so... response:	That means...
context: I made a promise to go on a date with Miyabi-chan, so why are you here?!\No way, you too?\Huh?\D-Dammit, Miyabi tricked me!\What's with this plotline...\Did I miss the branch point?\This one was straight to a bad end, so...\That means... response:	Geez...
context: No way, you too?\Huh?\D-Dammit, Miyabi tricked me!\What's with this plotline...\Did I miss the branch point?\This one was straight to a bad end, so...\That means...\Geez... response:	Maybe I picked the wrong choice last time...
context: Huh?\D-Dammit, Miyabi tricked me!\What's with this plotline...\Did I miss the branch point?\This one was straight to a bad end, so...\That means...\Geez...\Maybe I picked the wrong choice last time... response:	No way, Miyabi-chan!
context: D-Dammit, Miyabi tricked me!\What's with this plotline...\Did I miss the branch point?\This one was straight to a bad end, so...\That means...\Geez...\Maybe I picked the wrong choice last time...\No way, Miyabi-chan! response:	Fine, whatever.
context: What's with this plotline...\Did I miss the branch point?\This one was straight to a bad end, so...\That means...\Geez...\Maybe I picked the wrong choice last time...\No way, Miyabi-chan!\Fine, whatever. response:	Since I came all the way here, I'll just put up with you.
context: Did I miss the branch point?\This one was straight to a bad end, so...\That means...\Geez...\Maybe I picked the wrong choice last time...\No way, Miyabi-chan!\Fine, whatever.\Since I came all the way here, I'll just put up with you. response:	That is not cute at all...
context: This one was straight to a bad end, so...\That means...\Geez...\Maybe I picked the wrong choice last time...\No way, Miyabi-chan!\Fine, whatever.\Since I came all the way here, I'll just put up with you.\That is not cute at all... response:	I-It's not a date!
context: That means...\Geez...\Maybe I picked the wrong choice last time...\No way, Miyabi-chan!\Fine, whatever.\Since I came all the way here, I'll just put up with you.\That is not cute at all...\I-It's not a date! response:	You're gross, so don't come any closer!
context: Geez...\Maybe I picked the wrong choice last time...\No way, Miyabi-chan!\Fine, whatever.\Since I came all the way here, I'll just put up with you.\That is not cute at all...\I-It's not a date!\You're gross, so don't come any closer! response:	I'm spending my time on you, so you'd better appreciate it!
context: Maybe I picked the wrong choice last time...\No way, Miyabi-chan!\Fine, whatever.\Since I came all the way here, I'll just put up with you.\That is not cute at all...\I-It's not a date!\You're gross, so don't come any closer!\I'm spending my time on you, so you'd better appreciate it! response:	Fine, I'll finish your route first!
context: No way, Miyabi-chan!\Fine, whatever.\Since I came all the way here, I'll just put up with you.\That is not cute at all...\I-It's not a date!\You're gross, so don't come any closer!\I'm spending my time on you, so you'd better appreciate it!\Fine, I'll finish your route first! response:	You'd better appreciate it!
context: Fine, whatever.\Since I came all the way here, I'll just put up with you.\That is not cute at all...\I-It's not a date!\You're gross, so don't come any closer!\I'm spending my time on you, so you'd better appreciate it!\Fine, I'll finish your route first!\You'd better appreciate it! response:	Yes?
