context: Episode 2 Umaru and Ebina-chan response:	Today was another rough day...
context: This might actually motivate her to do things on her own.\Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...\Hey, Onii-chan, these are wasabi-flavored!\I can't eat wasabi!\Damn it, Umaru!\What?! I'm the one who's mad here!\Onii-san...\I knew it. Umaru-chan's brother is so nice! response:	Onii-san...
context: Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...\Hey, Onii-chan, these are wasabi-flavored!\I can't eat wasabi!\Damn it, Umaru!\What?! I'm the one who's mad here!\Onii-san...\I knew it. Umaru-chan's brother is so nice!\Onii-san... response:	What are you mad about?!
context: Hey, Onii-chan, these are wasabi-flavored!\I can't eat wasabi!\Damn it, Umaru!\What?! I'm the one who's mad here!\Onii-san...\I knew it. Umaru-chan's brother is so nice!\Onii-san...\What are you mad about?! response:	Why shouldn't I be?!
context: I can't eat wasabi!\Damn it, Umaru!\What?! I'm the one who's mad here!\Onii-san...\I knew it. Umaru-chan's brother is so nice!\Onii-san...\What are you mad about?!\Why shouldn't I be?! response:	Sunday
context: Damn it, Umaru!\What?! I'm the one who's mad here!\Onii-san...\I knew it. Umaru-chan's brother is so nice!\Onii-san...\What are you mad about?!\Why shouldn't I be?!\Sunday response:	I ended up playing online games all night again.
context: What?! I'm the one who's mad here!\Onii-san...\I knew it. Umaru-chan's brother is so nice!\Onii-san...\What are you mad about?!\Why shouldn't I be?!\Sunday\I ended up playing online games all night again. response:	Hardly anyone's left online now that it's morning,
context: Onii-san...\I knew it. Umaru-chan's brother is so nice!\Onii-san...\What are you mad about?!\Why shouldn't I be?!\Sunday\I ended up playing online games all night again.\Hardly anyone's left online now that it's morning, response:	so I have nothing to do until Asahi's Sunday morning anime block.
context: I knew it. Umaru-chan's brother is so nice!\Onii-san...\What are you mad about?!\Why shouldn't I be?!\Sunday\I ended up playing online games all night again.\Hardly anyone's left online now that it's morning,\so I have nothing to do until Asahi's Sunday morning anime block. response:	I guess I'll have my morning cola.
context: Onii-san...\What are you mad about?!\Why shouldn't I be?!\Sunday\I ended up playing online games all night again.\Hardly anyone's left online now that it's morning,\so I have nothing to do until Asahi's Sunday morning anime block.\I guess I'll have my morning cola. response:	What to do...
context: What are you mad about?!\Why shouldn't I be?!\Sunday\I ended up playing online games all night again.\Hardly anyone's left online now that it's morning,\so I have nothing to do until Asahi's Sunday morning anime block.\I guess I'll have my morning cola.\What to do... response:	He looks so happy.
context: Why shouldn't I be?!\Sunday\I ended up playing online games all night again.\Hardly anyone's left online now that it's morning,\so I have nothing to do until Asahi's Sunday morning anime block.\I guess I'll have my morning cola.\What to do...\He looks so happy. response:	I wonder if it's because he's been coming home looking like a zombie lately.
context: Sunday\I ended up playing online games all night again.\Hardly anyone's left online now that it's morning,\so I have nothing to do until Asahi's Sunday morning anime block.\I guess I'll have my morning cola.\What to do...\He looks so happy.\I wonder if it's because he's been coming home looking like a zombie lately. response:	It's his first day off in a while, so he's totally out.
context: I ended up playing online games all night again.\Hardly anyone's left online now that it's morning,\so I have nothing to do until Asahi's Sunday morning anime block.\I guess I'll have my morning cola.\What to do...\He looks so happy.\I wonder if it's because he's been coming home looking like a zombie lately.\It's his first day off in a while, so he's totally out. response:	I guess Onii-chan gets tired, too.
context: Hardly anyone's left online now that it's morning,\so I have nothing to do until Asahi's Sunday morning anime block.\I guess I'll have my morning cola.\What to do...\He looks so happy.\I wonder if it's because he's been coming home looking like a zombie lately.\It's his first day off in a while, so he's totally out.\I guess Onii-chan gets tired, too. response:	But I'm still waking him up!
context: so I have nothing to do until Asahi's Sunday morning anime block.\I guess I'll have my morning cola.\What to do...\He looks so happy.\I wonder if it's because he's been coming home looking like a zombie lately.\It's his first day off in a while, so he's totally out.\I guess Onii-chan gets tired, too.\But I'm still waking him up! response:	Onii-chan! It's time for work!
context: I guess I'll have my morning cola.\What to do...\He looks so happy.\I wonder if it's because he's been coming home looking like a zombie lately.\It's his first day off in a while, so he's totally out.\I guess Onii-chan gets tired, too.\But I'm still waking him up!\Onii-chan! It's time for work! response:	Mornin', Onii-chan!
context: What to do...\He looks so happy.\I wonder if it's because he's been coming home looking like a zombie lately.\It's his first day off in a while, so he's totally out.\I guess Onii-chan gets tired, too.\But I'm still waking him up!\Onii-chan! It's time for work!\Mornin', Onii-chan! response:	This little...
context: He looks so happy.\I wonder if it's because he's been coming home looking like a zombie lately.\It's his first day off in a while, so he's totally out.\I guess Onii-chan gets tired, too.\But I'm still waking him up!\Onii-chan! It's time for work!\Mornin', Onii-chan!\This little... response:	Why are you up at this hour?
context: I wonder if it's because he's been coming home looking like a zombie lately.\It's his first day off in a while, so he's totally out.\I guess Onii-chan gets tired, too.\But I'm still waking him up!\Onii-chan! It's time for work!\Mornin', Onii-chan!\This little...\Why are you up at this hour? response:	I pulled an all-nighter.
context: It's his first day off in a while, so he's totally out.\I guess Onii-chan gets tired, too.\But I'm still waking him up!\Onii-chan! It's time for work!\Mornin', Onii-chan!\This little...\Why are you up at this hour?\I pulled an all-nighter. response:	Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!
context: I guess Onii-chan gets tired, too.\But I'm still waking him up!\Onii-chan! It's time for work!\Mornin', Onii-chan!\This little...\Why are you up at this hour?\I pulled an all-nighter.\Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan! response:	You doofus. I'm going back to bed.
context: But I'm still waking him up!\Onii-chan! It's time for work!\Mornin', Onii-chan!\This little...\Why are you up at this hour?\I pulled an all-nighter.\Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!\You doofus. I'm going back to bed. response:	Awaken! Onii-chan fever!
context: Onii-chan! It's time for work!\Mornin', Onii-chan!\This little...\Why are you up at this hour?\I pulled an all-nighter.\Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!\You doofus. I'm going back to bed.\Awaken! Onii-chan fever! response:	So annoying...
context: Mornin', Onii-chan!\This little...\Why are you up at this hour?\I pulled an all-nighter.\Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!\You doofus. I'm going back to bed.\Awaken! Onii-chan fever!\So annoying... response:	I'm exhausted from work.
context: This little...\Why are you up at this hour?\I pulled an all-nighter.\Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!\You doofus. I'm going back to bed.\Awaken! Onii-chan fever!\So annoying...\I'm exhausted from work. response:	Oh, this is his serious, too tired to even fight face.
context: Why are you up at this hour?\I pulled an all-nighter.\Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!\You doofus. I'm going back to bed.\Awaken! Onii-chan fever!\So annoying...\I'm exhausted from work.\Oh, this is his serious, too tired to even fight face. response:	I guess it can't be helped, then. Sleep for a while.
context: I pulled an all-nighter.\Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!\You doofus. I'm going back to bed.\Awaken! Onii-chan fever!\So annoying...\I'm exhausted from work.\Oh, this is his serious, too tired to even fight face.\I guess it can't be helped, then. Sleep for a while. response:	Thanks.
context: Now, come have a Pop's showdown with me until Sunday morning anime time, Onii-chan!\You doofus. I'm going back to bed.\Awaken! Onii-chan fever!\So annoying...\I'm exhausted from work.\Oh, this is his serious, too tired to even fight face.\I guess it can't be helped, then. Sleep for a while.\Thanks. response:	She probably wouldn't even consider why this makes me feel guilty.
context: You doofus. I'm going back to bed.\Awaken! Onii-chan fever!\So annoying...\I'm exhausted from work.\Oh, this is his serious, too tired to even fight face.\I guess it can't be helped, then. Sleep for a while.\Thanks.\She probably wouldn't even consider why this makes me feel guilty. response:	Thirty minutes will be enough, right?
context: Awaken! Onii-chan fever!\So annoying...\I'm exhausted from work.\Oh, this is his serious, too tired to even fight face.\I guess it can't be helped, then. Sleep for a while.\Thanks.\She probably wouldn't even consider why this makes me feel guilty.\Thirty minutes will be enough, right? response:	Teenage standards for required sleep time are scary!
context: So annoying...\I'm exhausted from work.\Oh, this is his serious, too tired to even fight face.\I guess it can't be helped, then. Sleep for a while.\Thanks.\She probably wouldn't even consider why this makes me feel guilty.\Thirty minutes will be enough, right?\Teenage standards for required sleep time are scary! response:	Give me a break, would you?
context: I'm exhausted from work.\Oh, this is his serious, too tired to even fight face.\I guess it can't be helped, then. Sleep for a while.\Thanks.\She probably wouldn't even consider why this makes me feel guilty.\Thirty minutes will be enough, right?\Teenage standards for required sleep time are scary!\Give me a break, would you? response:	I haven't slept at all yet.
context: Oh, this is his serious, too tired to even fight face.\I guess it can't be helped, then. Sleep for a while.\Thanks.\She probably wouldn't even consider why this makes me feel guilty.\Thirty minutes will be enough, right?\Teenage standards for required sleep time are scary!\Give me a break, would you?\I haven't slept at all yet. response:	I haven't slept, either!
context: I guess it can't be helped, then. Sleep for a while.\Thanks.\She probably wouldn't even consider why this makes me feel guilty.\Thirty minutes will be enough, right?\Teenage standards for required sleep time are scary!\Give me a break, would you?\I haven't slept at all yet.\I haven't slept, either! response:	Then you should sleep, too.
context: Thanks.\She probably wouldn't even consider why this makes me feel guilty.\Thirty minutes will be enough, right?\Teenage standards for required sleep time are scary!\Give me a break, would you?\I haven't slept at all yet.\I haven't slept, either!\Then you should sleep, too. response:	But Sunday morning anime...
context: She probably wouldn't even consider why this makes me feel guilty.\Thirty minutes will be enough, right?\Teenage standards for required sleep time are scary!\Give me a break, would you?\I haven't slept at all yet.\I haven't slept, either!\Then you should sleep, too.\But Sunday morning anime... response:	All right. Goodnight, Onii-chan.
context: Thirty minutes will be enough, right?\Teenage standards for required sleep time are scary!\Give me a break, would you?\I haven't slept at all yet.\I haven't slept, either!\Then you should sleep, too.\But Sunday morning anime...\All right. Goodnight, Onii-chan. response:	She took that rather well...
context: Teenage standards for required sleep time are scary!\Give me a break, would you?\I haven't slept at all yet.\I haven't slept, either!\Then you should sleep, too.\But Sunday morning anime...\All right. Goodnight, Onii-chan.\She took that rather well... response:	Huh?
context: Give me a break, would you?\I haven't slept at all yet.\I haven't slept, either!\Then you should sleep, too.\But Sunday morning anime...\All right. Goodnight, Onii-chan.\She took that rather well...\Huh? response:	What are you doing? You should be on the bed.
context: I haven't slept at all yet.\I haven't slept, either!\Then you should sleep, too.\But Sunday morning anime...\All right. Goodnight, Onii-chan.\She took that rather well...\Huh?\What are you doing? You should be on the bed. response:	My innocent Onii-chan won't be able to sleep while I have my outside face on.
context: I haven't slept, either!\Then you should sleep, too.\But Sunday morning anime...\All right. Goodnight, Onii-chan.\She took that rather well...\Huh?\What are you doing? You should be on the bed.\My innocent Onii-chan won't be able to sleep while I have my outside face on. response:	You have no choice but to play with me, Onii-chan!
context: Then you should sleep, too.\But Sunday morning anime...\All right. Goodnight, Onii-chan.\She took that rather well...\Huh?\What are you doing? You should be on the bed.\My innocent Onii-chan won't be able to sleep while I have my outside face on.\You have no choice but to play with me, Onii-chan! response:	Now, give up, Onii-chan!
context: But Sunday morning anime...\All right. Goodnight, Onii-chan.\She took that rather well...\Huh?\What are you doing? You should be on the bed.\My innocent Onii-chan won't be able to sleep while I have my outside face on.\You have no choice but to play with me, Onii-chan!\Now, give up, Onii-chan! response:	I'm sure she was plotting something, but she just fell asleep.
context: All right. Goodnight, Onii-chan.\She took that rather well...\Huh?\What are you doing? You should be on the bed.\My innocent Onii-chan won't be able to sleep while I have my outside face on.\You have no choice but to play with me, Onii-chan!\Now, give up, Onii-chan!\I'm sure she was plotting something, but she just fell asleep. response:	I see... She's been playing one-player games lately.
context: She took that rather well...\Huh?\What are you doing? You should be on the bed.\My innocent Onii-chan won't be able to sleep while I have my outside face on.\You have no choice but to play with me, Onii-chan!\Now, give up, Onii-chan!\I'm sure she was plotting something, but she just fell asleep.\I see... She's been playing one-player games lately. response:	I'll play with you today.
context: Huh?\What are you doing? You should be on the bed.\My innocent Onii-chan won't be able to sleep while I have my outside face on.\You have no choice but to play with me, Onii-chan!\Now, give up, Onii-chan!\I'm sure she was plotting something, but she just fell asleep.\I see... She's been playing one-player games lately.\I'll play with you today. response:	But first, I'm gonna catch some more Z's, too...
context: What are you doing? You should be on the bed.\My innocent Onii-chan won't be able to sleep while I have my outside face on.\You have no choice but to play with me, Onii-chan!\Now, give up, Onii-chan!\I'm sure she was plotting something, but she just fell asleep.\I see... She's been playing one-player games lately.\I'll play with you today.\But first, I'm gonna catch some more Z's, too... response:	Why are you asleep too, Onii-chan?!
context: My innocent Onii-chan won't be able to sleep while I have my outside face on.\You have no choice but to play with me, Onii-chan!\Now, give up, Onii-chan!\I'm sure she was plotting something, but she just fell asleep.\I see... She's been playing one-player games lately.\I'll play with you today.\But first, I'm gonna catch some more Z's, too...\Why are you asleep too, Onii-chan?! response:	I missed both the morning and afternoon anime blocks!
context: You have no choice but to play with me, Onii-chan!\Now, give up, Onii-chan!\I'm sure she was plotting something, but she just fell asleep.\I see... She's been playing one-player games lately.\I'll play with you today.\But first, I'm gonna catch some more Z's, too...\Why are you asleep too, Onii-chan?!\I missed both the morning and afternoon anime blocks! response:	Wait, this is my fault?!
context: Now, give up, Onii-chan!\I'm sure she was plotting something, but she just fell asleep.\I see... She's been playing one-player games lately.\I'll play with you today.\But first, I'm gonna catch some more Z's, too...\Why are you asleep too, Onii-chan?!\I missed both the morning and afternoon anime blocks!\Wait, this is my fault?! response:	Here you go. Please take one!
context: I'm sure she was plotting something, but she just fell asleep.\I see... She's been playing one-player games lately.\I'll play with you today.\But first, I'm gonna catch some more Z's, too...\Why are you asleep too, Onii-chan?!\I missed both the morning and afternoon anime blocks!\Wait, this is my fault?!\Here you go. Please take one! response:	Here you go.
context: I see... She's been playing one-player games lately.\I'll play with you today.\But first, I'm gonna catch some more Z's, too...\Why are you asleep too, Onii-chan?!\I missed both the morning and afternoon anime blocks!\Wait, this is my fault?!\Here you go. Please take one!\Here you go. response:	Aww, how cute.
context: I'll play with you today.\But first, I'm gonna catch some more Z's, too...\Why are you asleep too, Onii-chan?!\I missed both the morning and afternoon anime blocks!\Wait, this is my fault?!\Here you go. Please take one!\Here you go.\Aww, how cute. response:	Huge Rock-Paper-Scissors Contest The Healing Local Mascot Necolumbus Big Plushie! Super Big Size!
context: But first, I'm gonna catch some more Z's, too...\Why are you asleep too, Onii-chan?!\I missed both the morning and afternoon anime blocks!\Wait, this is my fault?!\Here you go. Please take one!\Here you go.\Aww, how cute.\Huge Rock-Paper-Scissors Contest The Healing Local Mascot Necolumbus Big Plushie! Super Big Size! response:	A rock-paper-scissors contest for a super big-sized Necolumbus plushie.
context: Why are you asleep too, Onii-chan?!\I missed both the morning and afternoon anime blocks!\Wait, this is my fault?!\Here you go. Please take one!\Here you go.\Aww, how cute.\Huge Rock-Paper-Scissors Contest The Healing Local Mascot Necolumbus Big Plushie! Super Big Size!\A rock-paper-scissors contest for a super big-sized Necolumbus plushie. response:	I'm home.
context: I missed both the morning and afternoon anime blocks!\Wait, this is my fault?!\Here you go. Please take one!\Here you go.\Aww, how cute.\Huge Rock-Paper-Scissors Contest The Healing Local Mascot Necolumbus Big Plushie! Super Big Size!\A rock-paper-scissors contest for a super big-sized Necolumbus plushie.\I'm home. response:	Onii-chan! It's an emergency!
context: Wait, this is my fault?!\Here you go. Please take one!\Here you go.\Aww, how cute.\Huge Rock-Paper-Scissors Contest The Healing Local Mascot Necolumbus Big Plushie! Super Big Size!\A rock-paper-scissors contest for a super big-sized Necolumbus plushie.\I'm home.\Onii-chan! It's an emergency! response:	Wha What? What's wrong?
context: Here you go. Please take one!\Here you go.\Aww, how cute.\Huge Rock-Paper-Scissors Contest The Healing Local Mascot Necolumbus Big Plushie! Super Big Size!\A rock-paper-scissors contest for a super big-sized Necolumbus plushie.\I'm home.\Onii-chan! It's an emergency!\Wha What? What's wrong? response:	Now, let's go, Onii-chan.
