context: Let's go! response:	Doryo Bridge
context: Now I can never be anyone's bride!\Totsuhara University Hospital\You really threw us a curve, getting hospitalized like this.\Well, my dad's so over-the-top.\I'm only here for routine testing, just to make sure.\Have you ever passed out like that before?\It's the first time.\I've always been a little anemic, response:	but this is a good chance to get thoroughly tested.
context: Totsuhara University Hospital\You really threw us a curve, getting hospitalized like this.\Well, my dad's so over-the-top.\I'm only here for routine testing, just to make sure.\Have you ever passed out like that before?\It's the first time.\I've always been a little anemic,\but this is a good chance to get thoroughly tested. response:	I guess I pushed myself a little too hard.
context: You really threw us a curve, getting hospitalized like this.\Well, my dad's so over-the-top.\I'm only here for routine testing, just to make sure.\Have you ever passed out like that before?\It's the first time.\I've always been a little anemic,\but this is a good chance to get thoroughly tested.\I guess I pushed myself a little too hard. response:	You know, all that violin practice,
context: Well, my dad's so over-the-top.\I'm only here for routine testing, just to make sure.\Have you ever passed out like that before?\It's the first time.\I've always been a little anemic,\but this is a good chance to get thoroughly tested.\I guess I pushed myself a little too hard.\You know, all that violin practice, response:	not to mention chasing after Mr. Escape Artist... all week long!
context: I'm only here for routine testing, just to make sure.\Have you ever passed out like that before?\It's the first time.\I've always been a little anemic,\but this is a good chance to get thoroughly tested.\I guess I pushed myself a little too hard.\You know, all that violin practice,\not to mention chasing after Mr. Escape Artist... all week long! response:	*Looming*
context: Have you ever passed out like that before?\It's the first time.\I've always been a little anemic,\but this is a good chance to get thoroughly tested.\I guess I pushed myself a little too hard.\You know, all that violin practice,\not to mention chasing after Mr. Escape Artist... all week long!\*Looming* response:	*Drip Drip Drip*
context: It's the first time.\I've always been a little anemic,\but this is a good chance to get thoroughly tested.\I guess I pushed myself a little too hard.\You know, all that violin practice,\not to mention chasing after Mr. Escape Artist... all week long!\*Looming*\*Drip Drip Drip* response:	The stress of not being able to rehearse together, and all...
context: I've always been a little anemic,\but this is a good chance to get thoroughly tested.\I guess I pushed myself a little too hard.\You know, all that violin practice,\not to mention chasing after Mr. Escape Artist... all week long!\*Looming*\*Drip Drip Drip*\The stress of not being able to rehearse together, and all... response:	That's right, that's right!
context: but this is a good chance to get thoroughly tested.\I guess I pushed myself a little too hard.\You know, all that violin practice,\not to mention chasing after Mr. Escape Artist... all week long!\*Looming*\*Drip Drip Drip*\The stress of not being able to rehearse together, and all...\That's right, that's right! response:	It's all your fault!
context: I guess I pushed myself a little too hard.\You know, all that violin practice,\not to mention chasing after Mr. Escape Artist... all week long!\*Looming*\*Drip Drip Drip*\The stress of not being able to rehearse together, and all...\That's right, that's right!\It's all your fault! response:	That's right, that's right!
context: You know, all that violin practice,\not to mention chasing after Mr. Escape Artist... all week long!\*Looming*\*Drip Drip Drip*\The stress of not being able to rehearse together, and all...\That's right, that's right!\It's all your fault!\That's right, that's right! response:	Kaori and I didn't make it to the next round.
context: not to mention chasing after Mr. Escape Artist... all week long!\*Looming*\*Drip Drip Drip*\The stress of not being able to rehearse together, and all...\That's right, that's right!\It's all your fault!\That's right, that's right!\Kaori and I didn't make it to the next round. response:	Unprecedented. One mishap after another. A no-brainer for disqualification.
context: *Looming*\*Drip Drip Drip*\The stress of not being able to rehearse together, and all...\That's right, that's right!\It's all your fault!\That's right, that's right!\Kaori and I didn't make it to the next round.\Unprecedented. One mishap after another. A no-brainer for disqualification. response:	Ineligible. Performance interrupted. The worst possible scenario. All my fault.
context: *Drip Drip Drip*\The stress of not being able to rehearse together, and all...\That's right, that's right!\It's all your fault!\That's right, that's right!\Kaori and I didn't make it to the next round.\Unprecedented. One mishap after another. A no-brainer for disqualification.\Ineligible. Performance interrupted. The worst possible scenario. All my fault. response:	You haven't said a word of reproach.
context: The stress of not being able to rehearse together, and all...\That's right, that's right!\It's all your fault!\That's right, that's right!\Kaori and I didn't make it to the next round.\Unprecedented. One mishap after another. A no-brainer for disqualification.\Ineligible. Performance interrupted. The worst possible scenario. All my fault.\You haven't said a word of reproach. response:	Hey, let's get going.
context: That's right, that's right!\It's all your fault!\That's right, that's right!\Kaori and I didn't make it to the next round.\Unprecedented. One mishap after another. A no-brainer for disqualification.\Ineligible. Performance interrupted. The worst possible scenario. All my fault.\You haven't said a word of reproach.\Hey, let's get going. response:	Whaaat? I'm gonna spend the night!
context: It's all your fault!\That's right, that's right!\Kaori and I didn't make it to the next round.\Unprecedented. One mishap after another. A no-brainer for disqualification.\Ineligible. Performance interrupted. The worst possible scenario. All my fault.\You haven't said a word of reproach.\Hey, let's get going.\Whaaat? I'm gonna spend the night! response:	Okay, Kao-chan, see you at school!
context: That's right, that's right!\Kaori and I didn't make it to the next round.\Unprecedented. One mishap after another. A no-brainer for disqualification.\Ineligible. Performance interrupted. The worst possible scenario. All my fault.\You haven't said a word of reproach.\Hey, let's get going.\Whaaat? I'm gonna spend the night!\Okay, Kao-chan, see you at school! response:	Come on!
context: Kaori and I didn't make it to the next round.\Unprecedented. One mishap after another. A no-brainer for disqualification.\Ineligible. Performance interrupted. The worst possible scenario. All my fault.\You haven't said a word of reproach.\Hey, let's get going.\Whaaat? I'm gonna spend the night!\Okay, Kao-chan, see you at school!\Come on! response:	Bye!
context: Unprecedented. One mishap after another. A no-brainer for disqualification.\Ineligible. Performance interrupted. The worst possible scenario. All my fault.\You haven't said a word of reproach.\Hey, let's get going.\Whaaat? I'm gonna spend the night!\Okay, Kao-chan, see you at school!\Come on!\Bye! response:	I'm staying over!
context: Ineligible. Performance interrupted. The worst possible scenario. All my fault.\You haven't said a word of reproach.\Hey, let's get going.\Whaaat? I'm gonna spend the night!\Okay, Kao-chan, see you at school!\Come on!\Bye!\I'm staying over! response:	No, you aren't!
context: You haven't said a word of reproach.\Hey, let's get going.\Whaaat? I'm gonna spend the night!\Okay, Kao-chan, see you at school!\Come on!\Bye!\I'm staying over!\No, you aren't! response:	Hey...
context: Hey, let's get going.\Whaaat? I'm gonna spend the night!\Okay, Kao-chan, see you at school!\Come on!\Bye!\I'm staying over!\No, you aren't!\Hey... response:	Have you been playing the piano?
context: Whaaat? I'm gonna spend the night!\Okay, Kao-chan, see you at school!\Come on!\Bye!\I'm staying over!\No, you aren't!\Hey...\Have you been playing the piano? response:	It would be so much easier if she just chewed me out.
context: Okay, Kao-chan, see you at school!\Come on!\Bye!\I'm staying over!\No, you aren't!\Hey...\Have you been playing the piano?\It would be so much easier if she just chewed me out. response:	No. I haven't been playing.
context: Come on!\Bye!\I'm staying over!\No, you aren't!\Hey...\Have you been playing the piano?\It would be so much easier if she just chewed me out.\No. I haven't been playing. response:	Why not?
context: Bye!\I'm staying over!\No, you aren't!\Hey...\Have you been playing the piano?\It would be so much easier if she just chewed me out.\No. I haven't been playing.\Why not? response:	It's like... I have nothing to offer but my piano playing...
context: I'm staying over!\No, you aren't!\Hey...\Have you been playing the piano?\It would be so much easier if she just chewed me out.\No. I haven't been playing.\Why not?\It's like... I have nothing to offer but my piano playing... response:	Is that a bad thing?
context: No, you aren't!\Hey...\Have you been playing the piano?\It would be so much easier if she just chewed me out.\No. I haven't been playing.\Why not?\It's like... I have nothing to offer but my piano playing...\Is that a bad thing? response:	Do you think you'll be able to forget?
context: Hey...\Have you been playing the piano?\It would be so much easier if she just chewed me out.\No. I haven't been playing.\Why not?\It's like... I have nothing to offer but my piano playing...\Is that a bad thing?\Do you think you'll be able to forget? response:	Gray skies.
context: Have you been playing the piano?\It would be so much easier if she just chewed me out.\No. I haven't been playing.\Why not?\It's like... I have nothing to offer but my piano playing...\Is that a bad thing?\Do you think you'll be able to forget?\Gray skies. response:	Totsuhara University Hospital
context: It would be so much easier if she just chewed me out.\No. I haven't been playing.\Why not?\It's like... I have nothing to offer but my piano playing...\Is that a bad thing?\Do you think you'll be able to forget?\Gray skies.\Totsuhara University Hospital response:	Looks like rain, huh?
context: No. I haven't been playing.\Why not?\It's like... I have nothing to offer but my piano playing...\Is that a bad thing?\Do you think you'll be able to forget?\Gray skies.\Totsuhara University Hospital\Looks like rain, huh? response:	Hurry up, hurry up! What, you're not there?
context: Why not?\It's like... I have nothing to offer but my piano playing...\Is that a bad thing?\Do you think you'll be able to forget?\Gray skies.\Totsuhara University Hospital\Looks like rain, huh?\Hurry up, hurry up! What, you're not there? response:	What were you talking about with Kao-chan?
context: It's like... I have nothing to offer but my piano playing...\Is that a bad thing?\Do you think you'll be able to forget?\Gray skies.\Totsuhara University Hospital\Looks like rain, huh?\Hurry up, hurry up! What, you're not there?\What were you talking about with Kao-chan? response:	Huh? Oh, not anything major...
context: Is that a bad thing?\Do you think you'll be able to forget?\Gray skies.\Totsuhara University Hospital\Looks like rain, huh?\Hurry up, hurry up! What, you're not there?\What were you talking about with Kao-chan?\Huh? Oh, not anything major... response:	Then you shouldn't mind telling me!
context: Do you think you'll be able to forget?\Gray skies.\Totsuhara University Hospital\Looks like rain, huh?\Hurry up, hurry up! What, you're not there?\What were you talking about with Kao-chan?\Huh? Oh, not anything major...\Then you shouldn't mind telling me! response:	Keiko-chan?
context: Gray skies.\Totsuhara University Hospital\Looks like rain, huh?\Hurry up, hurry up! What, you're not there?\What were you talking about with Kao-chan?\Huh? Oh, not anything major...\Then you shouldn't mind telling me!\Keiko-chan? response:	It's me, Ryo-chin. Yeah, yeah. You busy right now?
context: Totsuhara University Hospital\Looks like rain, huh?\Hurry up, hurry up! What, you're not there?\What were you talking about with Kao-chan?\Huh? Oh, not anything major...\Then you shouldn't mind telling me!\Keiko-chan?\It's me, Ryo-chin. Yeah, yeah. You busy right now? response:	Is playing the piano all I have to offer?
context: Looks like rain, huh?\Hurry up, hurry up! What, you're not there?\What were you talking about with Kao-chan?\Huh? Oh, not anything major...\Then you shouldn't mind telling me!\Keiko-chan?\It's me, Ryo-chin. Yeah, yeah. You busy right now?\Is playing the piano all I have to offer? response:	No, not at all. You have lots of good qualities, Kousei.
context: Hurry up, hurry up! What, you're not there?\What were you talking about with Kao-chan?\Huh? Oh, not anything major...\Then you shouldn't mind telling me!\Keiko-chan?\It's me, Ryo-chin. Yeah, yeah. You busy right now?\Is playing the piano all I have to offer?\No, not at all. You have lots of good qualities, Kousei. response:	For example...
context: What were you talking about with Kao-chan?\Huh? Oh, not anything major...\Then you shouldn't mind telling me!\Keiko-chan?\It's me, Ryo-chin. Yeah, yeah. You busy right now?\Is playing the piano all I have to offer?\No, not at all. You have lots of good qualities, Kousei.\For example... response:	Oh, hey! Look at that! The sky!
context: Huh? Oh, not anything major...\Then you shouldn't mind telling me!\Keiko-chan?\It's me, Ryo-chin. Yeah, yeah. You busy right now?\Is playing the piano all I have to offer?\No, not at all. You have lots of good qualities, Kousei.\For example...\Oh, hey! Look at that! The sky! response:	A sunny spell.
context: Then you shouldn't mind telling me!\Keiko-chan?\It's me, Ryo-chin. Yeah, yeah. You busy right now?\Is playing the piano all I have to offer?\No, not at all. You have lots of good qualities, Kousei.\For example...\Oh, hey! Look at that! The sky!\A sunny spell. response:	Do you think you'll be able to forget?
context: Keiko-chan?\It's me, Ryo-chin. Yeah, yeah. You busy right now?\Is playing the piano all I have to offer?\No, not at all. You have lots of good qualities, Kousei.\For example...\Oh, hey! Look at that! The sky!\A sunny spell.\Do you think you'll be able to forget? response:	Did you see me make the shot?!
context: It's me, Ryo-chin. Yeah, yeah. You busy right now?\Is playing the piano all I have to offer?\No, not at all. You have lots of good qualities, Kousei.\For example...\Oh, hey! Look at that! The sky!\A sunny spell.\Do you think you'll be able to forget?\Did you see me make the shot?! response:	You gave me a heart attack.
context: Is playing the piano all I have to offer?\No, not at all. You have lots of good qualities, Kousei.\For example...\Oh, hey! Look at that! The sky!\A sunny spell.\Do you think you'll be able to forget?\Did you see me make the shot?!\You gave me a heart attack. response:	What's that?
context: No, not at all. You have lots of good qualities, Kousei.\For example...\Oh, hey! Look at that! The sky!\A sunny spell.\Do you think you'll be able to forget?\Did you see me make the shot?!\You gave me a heart attack.\What's that? response:	I'm sending this to Kaori-chan.
context: For example...\Oh, hey! Look at that! The sky!\A sunny spell.\Do you think you'll be able to forget?\Did you see me make the shot?!\You gave me a heart attack.\What's that?\I'm sending this to Kaori-chan. response:	Let's stop by the hospital tomorrow.
context: Oh, hey! Look at that! The sky!\A sunny spell.\Do you think you'll be able to forget?\Did you see me make the shot?!\You gave me a heart attack.\What's that?\I'm sending this to Kaori-chan.\Let's stop by the hospital tomorrow. response:	I hear she's getting discharged the day after.
context: A sunny spell.\Do you think you'll be able to forget?\Did you see me make the shot?!\You gave me a heart attack.\What's that?\I'm sending this to Kaori-chan.\Let's stop by the hospital tomorrow.\I hear she's getting discharged the day after. response:	Let's get her a present on the way.
context: Do you think you'll be able to forget?\Did you see me make the shot?!\You gave me a heart attack.\What's that?\I'm sending this to Kaori-chan.\Let's stop by the hospital tomorrow.\I hear she's getting discharged the day after.\Let's get her a present on the way. response:	So he already knows her email address...
context: Did you see me make the shot?!\You gave me a heart attack.\What's that?\I'm sending this to Kaori-chan.\Let's stop by the hospital tomorrow.\I hear she's getting discharged the day after.\Let's get her a present on the way.\So he already knows her email address... response:	I bet she'll get a kick out of that!
context: You gave me a heart attack.\What's that?\I'm sending this to Kaori-chan.\Let's stop by the hospital tomorrow.\I hear she's getting discharged the day after.\Let's get her a present on the way.\So he already knows her email address...\I bet she'll get a kick out of that! response:	I'm gonna pass. You should go by yourself, Watari.
context: What's that?\I'm sending this to Kaori-chan.\Let's stop by the hospital tomorrow.\I hear she's getting discharged the day after.\Let's get her a present on the way.\So he already knows her email address...\I bet she'll get a kick out of that!\I'm gonna pass. You should go by yourself, Watari. response:	I'd feel awkward.
context: I'm sending this to Kaori-chan.\Let's stop by the hospital tomorrow.\I hear she's getting discharged the day after.\Let's get her a present on the way.\So he already knows her email address...\I bet she'll get a kick out of that!\I'm gonna pass. You should go by yourself, Watari.\I'd feel awkward. response:	I'm the one who made a fiasco out of her competition.
context: Let's stop by the hospital tomorrow.\I hear she's getting discharged the day after.\Let's get her a present on the way.\So he already knows her email address...\I bet she'll get a kick out of that!\I'm gonna pass. You should go by yourself, Watari.\I'd feel awkward.\I'm the one who made a fiasco out of her competition. response:	And besides...
context: I hear she's getting discharged the day after.\Let's get her a present on the way.\So he already knows her email address...\I bet she'll get a kick out of that!\I'm gonna pass. You should go by yourself, Watari.\I'd feel awkward.\I'm the one who made a fiasco out of her competition.\And besides... response:	But...
context: Let's get her a present on the way.\So he already knows her email address...\I bet she'll get a kick out of that!\I'm gonna pass. You should go by yourself, Watari.\I'd feel awkward.\I'm the one who made a fiasco out of her competition.\And besides...\But... response:	You were the one she leaned on.
context: So he already knows her email address...\I bet she'll get a kick out of that!\I'm gonna pass. You should go by yourself, Watari.\I'd feel awkward.\I'm the one who made a fiasco out of her competition.\And besides...\But...\You were the one she leaned on. response:	Kousei...
context: I bet she'll get a kick out of that!\I'm gonna pass. You should go by yourself, Watari.\I'd feel awkward.\I'm the one who made a fiasco out of her competition.\And besides...\But...\You were the one she leaned on.\Kousei... response:	But that's only because I'm the one who can play the piano.
context: I'm gonna pass. You should go by yourself, Watari.\I'd feel awkward.\I'm the one who made a fiasco out of her competition.\And besides...\But...\You were the one she leaned on.\Kousei...\But that's only because I'm the one who can play the piano. response:	That's all there is to it. No other reason.
context: I'd feel awkward.\I'm the one who made a fiasco out of her competition.\And besides...\But...\You were the one she leaned on.\Kousei...\But that's only because I'm the one who can play the piano.\That's all there is to it. No other reason. response:	Hey, I know. I know that, but still.
context: I'm the one who made a fiasco out of her competition.\And besides...\But...\You were the one she leaned on.\Kousei...\But that's only because I'm the one who can play the piano.\That's all there is to it. No other reason.\Hey, I know. I know that, but still. response:	I know that but you'll never know.
context: And besides...\But...\You were the one she leaned on.\Kousei...\But that's only because I'm the one who can play the piano.\That's all there is to it. No other reason.\Hey, I know. I know that, but still.\I know that but you'll never know. response:	Don't hold back because of me. Let's go together!
context: But...\You were the one she leaned on.\Kousei...\But that's only because I'm the one who can play the piano.\That's all there is to it. No other reason.\Hey, I know. I know that, but still.\I know that but you'll never know.\Don't hold back because of me. Let's go together! response:	We might catch her naked again!
context: You were the one she leaned on.\Kousei...\But that's only because I'm the one who can play the piano.\That's all there is to it. No other reason.\Hey, I know. I know that, but still.\I know that but you'll never know.\Don't hold back because of me. Let's go together!\We might catch her naked again! response:	Watari! The captain shouldn't be slacking!
context: Kousei...\But that's only because I'm the one who can play the piano.\That's all there is to it. No other reason.\Hey, I know. I know that, but still.\I know that but you'll never know.\Don't hold back because of me. Let's go together!\We might catch her naked again!\Watari! The captain shouldn't be slacking! response:	Just watch all the dazzling plays I make!
context: But that's only because I'm the one who can play the piano.\That's all there is to it. No other reason.\Hey, I know. I know that, but still.\I know that but you'll never know.\Don't hold back because of me. Let's go together!\We might catch her naked again!\Watari! The captain shouldn't be slacking!\Just watch all the dazzling plays I make! response:	Someone's pretty pumped up.
context: That's all there is to it. No other reason.\Hey, I know. I know that, but still.\I know that but you'll never know.\Don't hold back because of me. Let's go together!\We might catch her naked again!\Watari! The captain shouldn't be slacking!\Just watch all the dazzling plays I make!\Someone's pretty pumped up. response:	You got that right!
context: Hey, I know. I know that, but still.\I know that but you'll never know.\Don't hold back because of me. Let's go together!\We might catch her naked again!\Watari! The captain shouldn't be slacking!\Just watch all the dazzling plays I make!\Someone's pretty pumped up.\You got that right! response:	Our final tournament's about to start!
context: I know that but you'll never know.\Don't hold back because of me. Let's go together!\We might catch her naked again!\Watari! The captain shouldn't be slacking!\Just watch all the dazzling plays I make!\Someone's pretty pumped up.\You got that right!\Our final tournament's about to start! response:	And besides, after witnessing that spectacle, how can I not get all fired up?
context: Don't hold back because of me. Let's go together!\We might catch her naked again!\Watari! The captain shouldn't be slacking!\Just watch all the dazzling plays I make!\Someone's pretty pumped up.\You got that right!\Our final tournament's about to start!\And besides, after witnessing that spectacle, how can I not get all fired up? response:	The way you two were that day...
context: We might catch her naked again!\Watari! The captain shouldn't be slacking!\Just watch all the dazzling plays I make!\Someone's pretty pumped up.\You got that right!\Our final tournament's about to start!\And besides, after witnessing that spectacle, how can I not get all fired up?\The way you two were that day... response:	It's burned into my mind! I'll never forget it!
context: Watari! The captain shouldn't be slacking!\Just watch all the dazzling plays I make!\Someone's pretty pumped up.\You got that right!\Our final tournament's about to start!\And besides, after witnessing that spectacle, how can I not get all fired up?\The way you two were that day...\It's burned into my mind! I'll never forget it! response:	I'll never forget it!
context: Just watch all the dazzling plays I make!\Someone's pretty pumped up.\You got that right!\Our final tournament's about to start!\And besides, after witnessing that spectacle, how can I not get all fired up?\The way you two were that day...\It's burned into my mind! I'll never forget it!\I'll never forget it! response:	Do you think you'll be able to forget?
context: Someone's pretty pumped up.\You got that right!\Our final tournament's about to start!\And besides, after witnessing that spectacle, how can I not get all fired up?\The way you two were that day...\It's burned into my mind! I'll never forget it!\I'll never forget it!\Do you think you'll be able to forget? response:	The piano is just one part of you. But in that moment, without a doubt...
context: You got that right!\Our final tournament's about to start!\And besides, after witnessing that spectacle, how can I not get all fired up?\The way you two were that day...\It's burned into my mind! I'll never forget it!\I'll never forget it!\Do you think you'll be able to forget?\The piano is just one part of you. But in that moment, without a doubt... response:	The piano was everything to you.
context: Our final tournament's about to start!\And besides, after witnessing that spectacle, how can I not get all fired up?\The way you two were that day...\It's burned into my mind! I'll never forget it!\I'll never forget it!\Do you think you'll be able to forget?\The piano is just one part of you. But in that moment, without a doubt...\The piano was everything to you. response:	And you're trying to rip that away by force.
context: And besides, after witnessing that spectacle, how can I not get all fired up?\The way you two were that day...\It's burned into my mind! I'll never forget it!\I'll never forget it!\Do you think you'll be able to forget?\The piano is just one part of you. But in that moment, without a doubt...\The piano was everything to you.\And you're trying to rip that away by force. response:	As if you were plucking off your limbs...
context: The way you two were that day...\It's burned into my mind! I'll never forget it!\I'll never forget it!\Do you think you'll be able to forget?\The piano is just one part of you. But in that moment, without a doubt...\The piano was everything to you.\And you're trying to rip that away by force.\As if you were plucking off your limbs... response:	That's why it hurts too much for you to bear.
context: It's burned into my mind! I'll never forget it!\I'll never forget it!\Do you think you'll be able to forget?\The piano is just one part of you. But in that moment, without a doubt...\The piano was everything to you.\And you're trying to rip that away by force.\As if you were plucking off your limbs...\That's why it hurts too much for you to bear. response:	Your face says the suffering is so painful, too painful to bear...
context: I'll never forget it!\Do you think you'll be able to forget?\The piano is just one part of you. But in that moment, without a doubt...\The piano was everything to you.\And you're trying to rip that away by force.\As if you were plucking off your limbs...\That's why it hurts too much for you to bear.\Your face says the suffering is so painful, too painful to bear... response:	Do you think you'll be able to forget?
context: Do you think you'll be able to forget?\The piano is just one part of you. But in that moment, without a doubt...\The piano was everything to you.\And you're trying to rip that away by force.\As if you were plucking off your limbs...\That's why it hurts too much for you to bear.\Your face says the suffering is so painful, too painful to bear...\Do you think you'll be able to forget? response:	No, not a chance!
context: The piano is just one part of you. But in that moment, without a doubt...\The piano was everything to you.\And you're trying to rip that away by force.\As if you were plucking off your limbs...\That's why it hurts too much for you to bear.\Your face says the suffering is so painful, too painful to bear...\Do you think you'll be able to forget?\No, not a chance! response:	Because you and I are living for that moment.
context: The piano was everything to you.\And you're trying to rip that away by force.\As if you were plucking off your limbs...\That's why it hurts too much for you to bear.\Your face says the suffering is so painful, too painful to bear...\Do you think you'll be able to forget?\No, not a chance!\Because you and I are living for that moment. response:	You were great, middle school duo!
context: And you're trying to rip that away by force.\As if you were plucking off your limbs...\That's why it hurts too much for you to bear.\Your face says the suffering is so painful, too painful to bear...\Do you think you'll be able to forget?\No, not a chance!\Because you and I are living for that moment.\You were great, middle school duo! response:	Because you're a musician, just like me.
context: As if you were plucking off your limbs...\That's why it hurts too much for you to bear.\Your face says the suffering is so painful, too painful to bear...\Do you think you'll be able to forget?\No, not a chance!\Because you and I are living for that moment.\You were great, middle school duo!\Because you're a musician, just like me. response:	Good job, pianist!
context: That's why it hurts too much for you to bear.\Your face says the suffering is so painful, too painful to bear...\Do you think you'll be able to forget?\No, not a chance!\Because you and I are living for that moment.\You were great, middle school duo!\Because you're a musician, just like me.\Good job, pianist! response:	Unprecedented. One mishap after another.
