context: The treasure that was stored in your house response:	has definitely been transferred into my hands.
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tristein's Princess\Straighten your back more!\Like this?\Your right arm and right leg are moving together!\You know, I suck at this stuff when I have to think about it. response:	When I am conscious of something,
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tristein's Princess\Straighten your back more!\Like this?\Your right arm and right leg are moving together!\You know, I suck at this stuff when I have to think about it.\When I am conscious of something, response:	I cannot perform as well as I wish to!
context: You, the one who cast magic on this destiny, suddenly appeared\Tristein's Princess\Straighten your back more!\Like this?\Your right arm and right leg are moving together!\You know, I suck at this stuff when I have to think about it.\When I am conscious of something,\I cannot perform as well as I wish to! response:	It's all terrible... Mannerisms, pattern of speech...
context: Tristein's Princess\Straighten your back more!\Like this?\Your right arm and right leg are moving together!\You know, I suck at this stuff when I have to think about it.\When I am conscious of something,\I cannot perform as well as I wish to!\It's all terrible... Mannerisms, pattern of speech... response:	What's with this all of a sudden, complaining about this and that!
context: Straighten your back more!\Like this?\Your right arm and right leg are moving together!\You know, I suck at this stuff when I have to think about it.\When I am conscious of something,\I cannot perform as well as I wish to!\It's all terrible... Mannerisms, pattern of speech...\What's with this all of a sudden, complaining about this and that! response:	I was so careless...
context: Like this?\Your right arm and right leg are moving together!\You know, I suck at this stuff when I have to think about it.\When I am conscious of something,\I cannot perform as well as I wish to!\It's all terrible... Mannerisms, pattern of speech...\What's with this all of a sudden, complaining about this and that!\I was so careless... response:	I had completely forgotten about the exhibition.
context: Your right arm and right leg are moving together!\You know, I suck at this stuff when I have to think about it.\When I am conscious of something,\I cannot perform as well as I wish to!\It's all terrible... Mannerisms, pattern of speech...\What's with this all of a sudden, complaining about this and that!\I was so careless...\I had completely forgotten about the exhibition. response:	Exhibition?
context: You know, I suck at this stuff when I have to think about it.\When I am conscious of something,\I cannot perform as well as I wish to!\It's all terrible... Mannerisms, pattern of speech...\What's with this all of a sudden, complaining about this and that!\I was so careless...\I had completely forgotten about the exhibition.\Exhibition? response:	There is a gathering that happens every year.
context: When I am conscious of something,\I cannot perform as well as I wish to!\It's all terrible... Mannerisms, pattern of speech...\What's with this all of a sudden, complaining about this and that!\I was so careless...\I had completely forgotten about the exhibition.\Exhibition?\There is a gathering that happens every year. response:	All students exhibit their summoned familiars to the whole Institute.
context: I cannot perform as well as I wish to!\It's all terrible... Mannerisms, pattern of speech...\What's with this all of a sudden, complaining about this and that!\I was so careless...\I had completely forgotten about the exhibition.\Exhibition?\There is a gathering that happens every year.\All students exhibit their summoned familiars to the whole Institute. response:	How stupid. Why don't you just skip out?
context: It's all terrible... Mannerisms, pattern of speech...\What's with this all of a sudden, complaining about this and that!\I was so careless...\I had completely forgotten about the exhibition.\Exhibition?\There is a gathering that happens every year.\All students exhibit their summoned familiars to the whole Institute.\How stupid. Why don't you just skip out? response:	All second-year students are required to attend!
context: What's with this all of a sudden, complaining about this and that!\I was so careless...\I had completely forgotten about the exhibition.\Exhibition?\There is a gathering that happens every year.\All students exhibit their summoned familiars to the whole Institute.\How stupid. Why don't you just skip out?\All second-year students are required to attend! response:	In any case... I just want to avoid being embarrassed.
context: I was so careless...\I had completely forgotten about the exhibition.\Exhibition?\There is a gathering that happens every year.\All students exhibit their summoned familiars to the whole Institute.\How stupid. Why don't you just skip out?\All second-year students are required to attend!\In any case... I just want to avoid being embarrassed. response:	Since you can speak,
context: I had completely forgotten about the exhibition.\Exhibition?\There is a gathering that happens every year.\All students exhibit their summoned familiars to the whole Institute.\How stupid. Why don't you just skip out?\All second-year students are required to attend!\In any case... I just want to avoid being embarrassed.\Since you can speak, response:	I thought you could make a witty speech or something.
context: Exhibition?\There is a gathering that happens every year.\All students exhibit their summoned familiars to the whole Institute.\How stupid. Why don't you just skip out?\All second-year students are required to attend!\In any case... I just want to avoid being embarrassed.\Since you can speak,\I thought you could make a witty speech or something. response:	I know! I have something new that I've gotten really good at!
context: There is a gathering that happens every year.\All students exhibit their summoned familiars to the whole Institute.\How stupid. Why don't you just skip out?\All second-year students are required to attend!\In any case... I just want to avoid being embarrassed.\Since you can speak,\I thought you could make a witty speech or something.\I know! I have something new that I've gotten really good at! response:	Really?
context: All students exhibit their summoned familiars to the whole Institute.\How stupid. Why don't you just skip out?\All second-year students are required to attend!\In any case... I just want to avoid being embarrassed.\Since you can speak,\I thought you could make a witty speech or something.\I know! I have something new that I've gotten really good at!\Really? response:	Washing panties!
context: How stupid. Why don't you just skip out?\All second-year students are required to attend!\In any case... I just want to avoid being embarrassed.\Since you can speak,\I thought you could make a witty speech or something.\I know! I have something new that I've gotten really good at!\Really?\Washing panties! response:	So, how about I demonstrate washing your panties?
context: All second-year students are required to attend!\In any case... I just want to avoid being embarrassed.\Since you can speak,\I thought you could make a witty speech or something.\I know! I have something new that I've gotten really good at!\Really?\Washing panties!\So, how about I demonstrate washing your panties? response:	Goodness, my master may have a face like that,
context: In any case... I just want to avoid being embarrassed.\Since you can speak,\I thought you could make a witty speech or something.\I know! I have something new that I've gotten really good at!\Really?\Washing panties!\So, how about I demonstrate washing your panties?\Goodness, my master may have a face like that, response:	but she wears lacy panties like this!
context: Since you can speak,\I thought you could make a witty speech or something.\I know! I have something new that I've gotten really good at!\Really?\Washing panties!\So, how about I demonstrate washing your panties?\Goodness, my master may have a face like that,\but she wears lacy panties like this! response:	She's so fashionable, even where people can't see!
context: I thought you could make a witty speech or something.\I know! I have something new that I've gotten really good at!\Really?\Washing panties!\So, how about I demonstrate washing your panties?\Goodness, my master may have a face like that,\but she wears lacy panties like this!\She's so fashionable, even where people can't see! response:	Is that all you want to say?
context: I know! I have something new that I've gotten really good at!\Really?\Washing panties!\So, how about I demonstrate washing your panties?\Goodness, my master may have a face like that,\but she wears lacy panties like this!\She's so fashionable, even where people can't see!\Is that all you want to say? response:	It wasn't true! I'm just joking!
context: Really?\Washing panties!\So, how about I demonstrate washing your panties?\Goodness, my master may have a face like that,\but she wears lacy panties like this!\She's so fashionable, even where people can't see!\Is that all you want to say?\It wasn't true! I'm just joking! response:	That's right! Saito, you can wield a sword, right?
context: Washing panties!\So, how about I demonstrate washing your panties?\Goodness, my master may have a face like that,\but she wears lacy panties like this!\She's so fashionable, even where people can't see!\Is that all you want to say?\It wasn't true! I'm just joking!\That's right! Saito, you can wield a sword, right? response:	Why don't you show some of your swordsmanship?
context: So, how about I demonstrate washing your panties?\Goodness, my master may have a face like that,\but she wears lacy panties like this!\She's so fashionable, even where people can't see!\Is that all you want to say?\It wasn't true! I'm just joking!\That's right! Saito, you can wield a sword, right?\Why don't you show some of your swordsmanship? response:	That's no good.
context: Goodness, my master may have a face like that,\but she wears lacy panties like this!\She's so fashionable, even where people can't see!\Is that all you want to say?\It wasn't true! I'm just joking!\That's right! Saito, you can wield a sword, right?\Why don't you show some of your swordsmanship?\That's no good. response:	I thought that when I decided to barge into Mott's place.
context: but she wears lacy panties like this!\She's so fashionable, even where people can't see!\Is that all you want to say?\It wasn't true! I'm just joking!\That's right! Saito, you can wield a sword, right?\Why don't you show some of your swordsmanship?\That's no good.\I thought that when I decided to barge into Mott's place. response:	You couldn't even swing once?
context: She's so fashionable, even where people can't see!\Is that all you want to say?\It wasn't true! I'm just joking!\That's right! Saito, you can wield a sword, right?\Why don't you show some of your swordsmanship?\That's no good.\I thought that when I decided to barge into Mott's place.\You couldn't even swing once? response:	That time when I was fighting Guiche...
context: Is that all you want to say?\It wasn't true! I'm just joking!\That's right! Saito, you can wield a sword, right?\Why don't you show some of your swordsmanship?\That's no good.\I thought that when I decided to barge into Mott's place.\You couldn't even swing once?\That time when I was fighting Guiche... response:	I think it was all some sort of mistake.
context: It wasn't true! I'm just joking!\That's right! Saito, you can wield a sword, right?\Why don't you show some of your swordsmanship?\That's no good.\I thought that when I decided to barge into Mott's place.\You couldn't even swing once?\That time when I was fighting Guiche...\I think it was all some sort of mistake. response:	Well, what happened in Count Mott's manor
context: That's right! Saito, you can wield a sword, right?\Why don't you show some of your swordsmanship?\That's no good.\I thought that when I decided to barge into Mott's place.\You couldn't even swing once?\That time when I was fighting Guiche...\I think it was all some sort of mistake.\Well, what happened in Count Mott's manor response:	turned out to be for the best in the end.
context: Why don't you show some of your swordsmanship?\That's no good.\I thought that when I decided to barge into Mott's place.\You couldn't even swing once?\That time when I was fighting Guiche...\I think it was all some sort of mistake.\Well, what happened in Count Mott's manor\turned out to be for the best in the end. response:	But come to think of it, it's strange.
context: That's no good.\I thought that when I decided to barge into Mott's place.\You couldn't even swing once?\That time when I was fighting Guiche...\I think it was all some sort of mistake.\Well, what happened in Count Mott's manor\turned out to be for the best in the end.\But come to think of it, it's strange. response:	What is?
context: I thought that when I decided to barge into Mott's place.\You couldn't even swing once?\That time when I was fighting Guiche...\I think it was all some sort of mistake.\Well, what happened in Count Mott's manor\turned out to be for the best in the end.\But come to think of it, it's strange.\What is? response:	Because my familiar did something like that,
context: You couldn't even swing once?\That time when I was fighting Guiche...\I think it was all some sort of mistake.\Well, what happened in Count Mott's manor\turned out to be for the best in the end.\But come to think of it, it's strange.\What is?\Because my familiar did something like that, response:	it wouldn't be strange for me to receive some kind of scolding.
context: That time when I was fighting Guiche...\I think it was all some sort of mistake.\Well, what happened in Count Mott's manor\turned out to be for the best in the end.\But come to think of it, it's strange.\What is?\Because my familiar did something like that,\it wouldn't be strange for me to receive some kind of scolding. response:	But nothing ever since...
context: I think it was all some sort of mistake.\Well, what happened in Count Mott's manor\turned out to be for the best in the end.\But come to think of it, it's strange.\What is?\Because my familiar did something like that,\it wouldn't be strange for me to receive some kind of scolding.\But nothing ever since... response:	Anyway, we don't have any time.
context: Well, what happened in Count Mott's manor\turned out to be for the best in the end.\But come to think of it, it's strange.\What is?\Because my familiar did something like that,\it wouldn't be strange for me to receive some kind of scolding.\But nothing ever since...\Anyway, we don't have any time. response:	Think up something that you can do before class is over.
context: turned out to be for the best in the end.\But come to think of it, it's strange.\What is?\Because my familiar did something like that,\it wouldn't be strange for me to receive some kind of scolding.\But nothing ever since...\Anyway, we don't have any time.\Think up something that you can do before class is over. response:	Here goes...
context: But come to think of it, it's strange.\What is?\Because my familiar did something like that,\it wouldn't be strange for me to receive some kind of scolding.\But nothing ever since...\Anyway, we don't have any time.\Think up something that you can do before class is over.\Here goes... response:	Hey, what's that? Such a strange dance...
context: What is?\Because my familiar did something like that,\it wouldn't be strange for me to receive some kind of scolding.\But nothing ever since...\Anyway, we don't have any time.\Think up something that you can do before class is over.\Here goes...\Hey, what's that? Such a strange dance... response:	How embarrassing.
context: Because my familiar did something like that,\it wouldn't be strange for me to receive some kind of scolding.\But nothing ever since...\Anyway, we don't have any time.\Think up something that you can do before class is over.\Here goes...\Hey, what's that? Such a strange dance...\How embarrassing. response:	I'm suddenly asked what tricks I can show...
context: it wouldn't be strange for me to receive some kind of scolding.\But nothing ever since...\Anyway, we don't have any time.\Think up something that you can do before class is over.\Here goes...\Hey, what's that? Such a strange dance...\How embarrassing.\I'm suddenly asked what tricks I can show... response:	Well, you just do your best, partner.
context: But nothing ever since...\Anyway, we don't have any time.\Think up something that you can do before class is over.\Here goes...\Hey, what's that? Such a strange dance...\How embarrassing.\I'm suddenly asked what tricks I can show...\Well, you just do your best, partner. response:	Hey, Derf, since you're a sword,
context: Anyway, we don't have any time.\Think up something that you can do before class is over.\Here goes...\Hey, what's that? Such a strange dance...\How embarrassing.\I'm suddenly asked what tricks I can show...\Well, you just do your best, partner.\Hey, Derf, since you're a sword, response:	don't you know at least one trick to knock everyone's socks off?
context: Think up something that you can do before class is over.\Here goes...\Hey, what's that? Such a strange dance...\How embarrassing.\I'm suddenly asked what tricks I can show...\Well, you just do your best, partner.\Hey, Derf, since you're a sword,\don't you know at least one trick to knock everyone's socks off? response:	Don't be stupid!
context: Here goes...\Hey, what's that? Such a strange dance...\How embarrassing.\I'm suddenly asked what tricks I can show...\Well, you just do your best, partner.\Hey, Derf, since you're a sword,\don't you know at least one trick to knock everyone's socks off?\Don't be stupid! response:	Unfortunately, I'm more of a practical model.
context: Hey, what's that? Such a strange dance...\How embarrassing.\I'm suddenly asked what tricks I can show...\Well, you just do your best, partner.\Hey, Derf, since you're a sword,\don't you know at least one trick to knock everyone's socks off?\Don't be stupid!\Unfortunately, I'm more of a practical model. response:	Oh, what should I do?
context: How embarrassing.\I'm suddenly asked what tricks I can show...\Well, you just do your best, partner.\Hey, Derf, since you're a sword,\don't you know at least one trick to knock everyone's socks off?\Don't be stupid!\Unfortunately, I'm more of a practical model.\Oh, what should I do? response:	Mr. Saito?
context: I'm suddenly asked what tricks I can show...\Well, you just do your best, partner.\Hey, Derf, since you're a sword,\don't you know at least one trick to knock everyone's socks off?\Don't be stupid!\Unfortunately, I'm more of a practical model.\Oh, what should I do?\Mr. Saito? response:	What are you doing?
context: Well, you just do your best, partner.\Hey, Derf, since you're a sword,\don't you know at least one trick to knock everyone's socks off?\Don't be stupid!\Unfortunately, I'm more of a practical model.\Oh, what should I do?\Mr. Saito?\What are you doing? response:	Siesta...
context: Hey, Derf, since you're a sword,\don't you know at least one trick to knock everyone's socks off?\Don't be stupid!\Unfortunately, I'm more of a practical model.\Oh, what should I do?\Mr. Saito?\What are you doing?\Siesta... response:	Well, y'know...
context: don't you know at least one trick to knock everyone's socks off?\Don't be stupid!\Unfortunately, I'm more of a practical model.\Oh, what should I do?\Mr. Saito?\What are you doing?\Siesta...\Well, y'know... response:	Perhaps you're practicing for the exhibition?
context: Don't be stupid!\Unfortunately, I'm more of a practical model.\Oh, what should I do?\Mr. Saito?\What are you doing?\Siesta...\Well, y'know...\Perhaps you're practicing for the exhibition? response:	Yeah, that's it! But how did you figure it out?
context: Unfortunately, I'm more of a practical model.\Oh, what should I do?\Mr. Saito?\What are you doing?\Siesta...\Well, y'know...\Perhaps you're practicing for the exhibition?\Yeah, that's it! But how did you figure it out? response:	All the second-year students are training very hard.
context: Oh, what should I do?\Mr. Saito?\What are you doing?\Siesta...\Well, y'know...\Perhaps you're practicing for the exhibition?\Yeah, that's it! But how did you figure it out?\All the second-year students are training very hard. response:	This year, Lady Henrietta will be coming as well.
context: Mr. Saito?\What are you doing?\Siesta...\Well, y'know...\Perhaps you're practicing for the exhibition?\Yeah, that's it! But how did you figure it out?\All the second-year students are training very hard.\This year, Lady Henrietta will be coming as well. response:	Lady Henrietta?
context: What are you doing?\Siesta...\Well, y'know...\Perhaps you're practicing for the exhibition?\Yeah, that's it! But how did you figure it out?\All the second-year students are training very hard.\This year, Lady Henrietta will be coming as well.\Lady Henrietta? response:	About preparations for tomorrow's exhibition...
context: Siesta...\Well, y'know...\Perhaps you're practicing for the exhibition?\Yeah, that's it! But how did you figure it out?\All the second-year students are training very hard.\This year, Lady Henrietta will be coming as well.\Lady Henrietta?\About preparations for tomorrow's exhibition... response:	From cleaning all areas of the Institute,
context: Well, y'know...\Perhaps you're practicing for the exhibition?\Yeah, that's it! But how did you figure it out?\All the second-year students are training very hard.\This year, Lady Henrietta will be coming as well.\Lady Henrietta?\About preparations for tomorrow's exhibition...\From cleaning all areas of the Institute, response:	set-up of the guest seats, preparations for the banquet...
context: Perhaps you're practicing for the exhibition?\Yeah, that's it! But how did you figure it out?\All the second-year students are training very hard.\This year, Lady Henrietta will be coming as well.\Lady Henrietta?\About preparations for tomorrow's exhibition...\From cleaning all areas of the Institute,\set-up of the guest seats, preparations for the banquet... response:	Under Mr. Colbert's guidance,
context: Yeah, that's it! But how did you figure it out?\All the second-year students are training very hard.\This year, Lady Henrietta will be coming as well.\Lady Henrietta?\About preparations for tomorrow's exhibition...\From cleaning all areas of the Institute,\set-up of the guest seats, preparations for the banquet...\Under Mr. Colbert's guidance, response:	everything is moving along without interruption.
context: All the second-year students are training very hard.\This year, Lady Henrietta will be coming as well.\Lady Henrietta?\About preparations for tomorrow's exhibition...\From cleaning all areas of the Institute,\set-up of the guest seats, preparations for the banquet...\Under Mr. Colbert's guidance,\everything is moving along without interruption. response:	Concerning other potential problems...
context: This year, Lady Henrietta will be coming as well.\Lady Henrietta?\About preparations for tomorrow's exhibition...\From cleaning all areas of the Institute,\set-up of the guest seats, preparations for the banquet...\Under Mr. Colbert's guidance,\everything is moving along without interruption.\Concerning other potential problems... response:	Oh, that was rather close, Motsognir.
context: Lady Henrietta?\About preparations for tomorrow's exhibition...\From cleaning all areas of the Institute,\set-up of the guest seats, preparations for the banquet...\Under Mr. Colbert's guidance,\everything is moving along without interruption.\Concerning other potential problems...\Oh, that was rather close, Motsognir. response:	So, today's color was?
context: About preparations for tomorrow's exhibition...\From cleaning all areas of the Institute,\set-up of the guest seats, preparations for the banquet...\Under Mr. Colbert's guidance,\everything is moving along without interruption.\Concerning other potential problems...\Oh, that was rather close, Motsognir.\So, today's color was? response:	What?! You couldn't get a look?
context: From cleaning all areas of the Institute,\set-up of the guest seats, preparations for the banquet...\Under Mr. Colbert's guidance,\everything is moving along without interruption.\Concerning other potential problems...\Oh, that was rather close, Motsognir.\So, today's color was?\What?! You couldn't get a look? response:	That's unfortunate.
context: set-up of the guest seats, preparations for the banquet...\Under Mr. Colbert's guidance,\everything is moving along without interruption.\Concerning other potential problems...\Oh, that was rather close, Motsognir.\So, today's color was?\What?! You couldn't get a look?\That's unfortunate. response:	Be kinder to your elders...
context: Under Mr. Colbert's guidance,\everything is moving along without interruption.\Concerning other potential problems...\Oh, that was rather close, Motsognir.\So, today's color was?\What?! You couldn't get a look?\That's unfortunate.\Be kinder to your elders... response:	Keep it up, Flame!
context: everything is moving along without interruption.\Concerning other potential problems...\Oh, that was rather close, Motsognir.\So, today's color was?\What?! You couldn't get a look?\That's unfortunate.\Be kinder to your elders...\Keep it up, Flame! response:	Right there, a spin, a dance of flames!
context: Concerning other potential problems...\Oh, that was rather close, Motsognir.\So, today's color was?\What?! You couldn't get a look?\That's unfortunate.\Be kinder to your elders...\Keep it up, Flame!\Right there, a spin, a dance of flames! response:	You're the best, Flame!
context: Oh, that was rather close, Motsognir.\So, today's color was?\What?! You couldn't get a look?\That's unfortunate.\Be kinder to your elders...\Keep it up, Flame!\Right there, a spin, a dance of flames!\You're the best, Flame! response:	Right, good job, Kubacil.
context: So, today's color was?\What?! You couldn't get a look?\That's unfortunate.\Be kinder to your elders...\Keep it up, Flame!\Right there, a spin, a dance of flames!\You're the best, Flame!\Right, good job, Kubacil. response:	Maybe the ribbon isn't working...
context: What?! You couldn't get a look?\That's unfortunate.\Be kinder to your elders...\Keep it up, Flame!\Right there, a spin, a dance of flames!\You're the best, Flame!\Right, good job, Kubacil.\Maybe the ribbon isn't working... response:	Verdande...
context: That's unfortunate.\Be kinder to your elders...\Keep it up, Flame!\Right there, a spin, a dance of flames!\You're the best, Flame!\Right, good job, Kubacil.\Maybe the ribbon isn't working...\Verdande... response:	I'm sure the princess will be sure to understand your elegant grace.
context: Be kinder to your elders...\Keep it up, Flame!\Right there, a spin, a dance of flames!\You're the best, Flame!\Right, good job, Kubacil.\Maybe the ribbon isn't working...\Verdande...\I'm sure the princess will be sure to understand your elegant grace. response:	I see...
context: Keep it up, Flame!\Right there, a spin, a dance of flames!\You're the best, Flame!\Right, good job, Kubacil.\Maybe the ribbon isn't working...\Verdande...\I'm sure the princess will be sure to understand your elegant grace.\I see... response:	So the princess will be coming to watch all this.
context: Right there, a spin, a dance of flames!\You're the best, Flame!\Right, good job, Kubacil.\Maybe the ribbon isn't working...\Verdande...\I'm sure the princess will be sure to understand your elegant grace.\I see...\So the princess will be coming to watch all this. response:	Lady Henrietta is a symbolic existence to all the citizenry,
context: You're the best, Flame!\Right, good job, Kubacil.\Maybe the ribbon isn't working...\Verdande...\I'm sure the princess will be sure to understand your elegant grace.\I see...\So the princess will be coming to watch all this.\Lady Henrietta is a symbolic existence to all the citizenry, response:	ever since the King passed away.
context: Right, good job, Kubacil.\Maybe the ribbon isn't working...\Verdande...\I'm sure the princess will be sure to understand your elegant grace.\I see...\So the princess will be coming to watch all this.\Lady Henrietta is a symbolic existence to all the citizenry,\ever since the King passed away. response:	So she's popular.
context: Maybe the ribbon isn't working...\Verdande...\I'm sure the princess will be sure to understand your elegant grace.\I see...\So the princess will be coming to watch all this.\Lady Henrietta is a symbolic existence to all the citizenry,\ever since the King passed away.\So she's popular. response:	The gift from the Palace will be mine!
context: Verdande...\I'm sure the princess will be sure to understand your elegant grace.\I see...\So the princess will be coming to watch all this.\Lady Henrietta is a symbolic existence to all the citizenry,\ever since the King passed away.\So she's popular.\The gift from the Palace will be mine! response:	A couple people out there have a different objective.
context: I'm sure the princess will be sure to understand your elegant grace.\I see...\So the princess will be coming to watch all this.\Lady Henrietta is a symbolic existence to all the citizenry,\ever since the King passed away.\So she's popular.\The gift from the Palace will be mine!\A couple people out there have a different objective. response:	See you later.
context: I see...\So the princess will be coming to watch all this.\Lady Henrietta is a symbolic existence to all the citizenry,\ever since the King passed away.\So she's popular.\The gift from the Palace will be mine!\A couple people out there have a different objective.\See you later. response:	Yeah, later.
context: So the princess will be coming to watch all this.\Lady Henrietta is a symbolic existence to all the citizenry,\ever since the King passed away.\So she's popular.\The gift from the Palace will be mine!\A couple people out there have a different objective.\See you later.\Yeah, later. response:	Please do your best as well, Mr. Saito.
context: Lady Henrietta is a symbolic existence to all the citizenry,\ever since the King passed away.\So she's popular.\The gift from the Palace will be mine!\A couple people out there have a different objective.\See you later.\Yeah, later.\Please do your best as well, Mr. Saito. response:	Sure.
context: ever since the King passed away.\So she's popular.\The gift from the Palace will be mine!\A couple people out there have a different objective.\See you later.\Yeah, later.\Please do your best as well, Mr. Saito.\Sure. response:	Make sure to guard the gates on the actual day.
context: So she's popular.\The gift from the Palace will be mine!\A couple people out there have a different objective.\See you later.\Yeah, later.\Please do your best as well, Mr. Saito.\Sure.\Make sure to guard the gates on the actual day. response:	Yes, sir!
context: The gift from the Palace will be mine!\A couple people out there have a different objective.\See you later.\Yeah, later.\Please do your best as well, Mr. Saito.\Sure.\Make sure to guard the gates on the actual day.\Yes, sir! response:	Mr. Colbert...
context: A couple people out there have a different objective.\See you later.\Yeah, later.\Please do your best as well, Mr. Saito.\Sure.\Make sure to guard the gates on the actual day.\Yes, sir!\Mr. Colbert... response:	You are taking the guard from the vault to guard the gates?
context: See you later.\Yeah, later.\Please do your best as well, Mr. Saito.\Sure.\Make sure to guard the gates on the actual day.\Yes, sir!\Mr. Colbert...\You are taking the guard from the vault to guard the gates? response:	After all, everything is so sudden that we're shorthanded.
context: Yeah, later.\Please do your best as well, Mr. Saito.\Sure.\Make sure to guard the gates on the actual day.\Yes, sir!\Mr. Colbert...\You are taking the guard from the vault to guard the gates?\After all, everything is so sudden that we're shorthanded. response:	But didn't I hear that Fouquet the Sculptor was after the treasure here?
context: Please do your best as well, Mr. Saito.\Sure.\Make sure to guard the gates on the actual day.\Yes, sir!\Mr. Colbert...\You are taking the guard from the vault to guard the gates?\After all, everything is so sudden that we're shorthanded.\But didn't I hear that Fouquet the Sculptor was after the treasure here? response:	Even so, what thief would choose the precise time
